AV LECTEVR.	AU LECTEUR.
I'eus des amis, Mais de fort bons amis, ſans vſer de priere Il me ſeruirent là de la belle maniere.	J'eus des amis, Mais de fort bons amis, sans user de prière Il me servirent là de la belle manière.
LA MONTAGNE.	LA MONTAGNE.
Voila de grands amis, & qui ſont-ils, dy-moy.	Voilà de grands amis, et qui sont-ils, dis-moi.
LVBIN.	LUBIN.
Vn Preſident nommé Monſieur de Sauue-toy, Et Monſieur Gagne au pied, vn Conſeiller encore Monſieur Tire de long, vn Greffier que j’adore L’on me donna va-t-en, vn Auocat d’honneur, Ie pris Iacques deloge apres pour Procureur	Un Président nommé Monsieur de Sauve-toi, Et Monsieur Gagne au pied, un Conseiller encore Monsieur Tire de long, un Greffier que j'adore L'on me donna va-t-en, un Avocat d'honneur, Je pris Jacques déloge après pour Procureur
IOLICOEVR.	JOLICOEUR.
Tu fis fort bien, ceux-là peuuent ſauuer la vie.	Tu fis fort bien, ceux-là peuvent sauver la vie.
LVBIN.	LUBIN.
Voyons donc, que feray-je.	Voyons donc, que ferai-je.
LA MONTAGNE.	LA MONTAGNE.
Vn Grand de Moſcouie, Et tu diras hio lors que tu parleras, H o veut dire ouy, tu baragoüineras Quelque étrange jargõ, mais trouue nous encore Des gens pour t’eſcorter la grande ſuite honore, Tous ſeront bien veſtus & bien payez de nous.	Un Grand de Moscovie, Et tu diras hio lors que tu parleras, H ômme dire ouï, tu baragouineras Quelque étrange jargion, mais trouve nous encore Des gens pour t'escorter la grande suite honore, Tous seront bien vêtus et bien payez de nous.
LVBIN.	LUBIN.
2 Allons, s’il en faut vingt je vous les liure tous, Serons-nous bien nourris, j’ayme à voir des marmites	2 Allons, s'il en faut vingt je vous les livre tous, Serons-nous bien nourris, j'aime à voir des marmites
IOLICOEVR.	JOLICOEUR.
Comment, n’as-tu pas veu diſner les Moſcouites, Tu feras tout comme eux.	Comment, n'as-tu pas vu donner les Moscouites, Tu feras tout comme eux.
LVBIN.	LUBIN.
Ie les ay veus dix fois, Peſte, nous ſerons donc traitez comme des Rois, Les calles, les perdrix, là dedans digerées, Faudra-il faire auſſi toutes leurs ſimagrées.	Je les ai vus dix fois, Peste, nous serons donc traités comme des Rois, Les calles, les perdrix, là dedans digerées, Faudra-il faire aussi toutes leurs simagrées.
LA MONTAGNE.	LA MONTAGNE.
Il les contrefera, c’eſt vn vray ſinge.	Il les contrefera, c'est un vrai singe.
LVBIN.	LUBIN.
Ouy moy, Ie les contreferay comme eux-meſmes, ma foy, I’y ſeruois d’Officier, je demeurois tout proche.	Oui moi, Je les contreferai comme eux-mêmes, ma foi, J'y servais d'Officier, je demeurais tout proche.
IOLICOEVR.	JOLICOEUR.
Ruoy, de Mantre d’hoſtel?	Rois, de Mantre d'hôtel?
LVBIN.	LUBIN.
Non, j’y tournois la broche.	Non, j'y tournais la broche.
LAMONTAGNE.	LAMONTAGNE.
Le temps nous preſſe, allons.	Le temps nous presse, allons.
LVBIN.	LUBIN.
Ilm e faut le plus beau.	Ilm e faut le plus beau.
Les habits ſont-ils preſts,	Les habits sont-ils prêts,
IOLICOEVR.	JOLICOEUR.
Va, tous ſont faits expres.	Va, tous sont faits exprès.
LVBIN.	LUBIN.
Ie veux que tout Paris nous rende des viſites, Car nous allons paſſer pour de vrais Moſcouites, Etans veſtus comme eux nous ſetons tous égaux.	Je veux que tout Paris nous rende des visites, Car nous allons passer pour de vrais Moscouites, Étant vêtus comme eux nous sétons tous égaux.
Hors qu’ils ſeront les vrais & nous ſerons lefaux, Que l’on mette vn baluſtre autour de noſtre table Lors que nous mangerons, car je me donne au diable Nous ſerions accablez dés le premier repas.	Hors qu'ils seront les vrais et nous serons lefaux, Que l'on mette un balustre autour de notre table Lors que nous mangerons, car je me donne au diable Nous serions accable dès le premier repas.
LA MONTAGNE.	LA MONTAGNE.
On en fera mettre vn.	On en fera mettre homme.
LVBIN.	LUBIN.
Peſte, ny manquez pas	Peste, Seigneur manquez pas
IOLICOEVR.	JOLICOEUR.
Allons donc, car il faut pour les bien contrefaire, Inſtruire tous nos gens des choſes qu’il faut faire.	Allons donc, car il faut pour les bien contrefaire, Instruire tous nos gens des choses qu'il faut faire.
LVBIN.	LUBIN.
Ie leur montreray tout.	Je leur montrerai tout.
LA MONTAGNE.	LA MONTAGNE.
Cela n’ira pas mal.	Cela n'ira pas mal.
LVBIN.	LUBIN.
Au moins, Meſſieurs, jamais je ne fus à Cazal.	Au moins, Messieurs, jamais je ne fus à Casal.
IOLICOEVR.	JOLICOEUR.
Non, va querir tes gens, le rendez-vous ſe donne Aux Maillets, les ſçais-tu?	Non, va quérir tes gens, le rendez-vous se donne Aux Maillets, les sais-tu?
LVBIN.	LUBIN.
Moy bon;	Moi bon;
mieux que perſonne.	mieux que personne.
SCENE VIII.	SCÈNE VIII.
GORGIBVS, SVSON,	GORGIBUS, SUSON,
1 ISON.	1 IZON.
y Ous deuriez mon pere attendre encor vn per.	y Ous devriez mon père attendre encor un per.
GORGIBVS.	GORGIBUS.
Non, je n’attendray plus, pour mieux couurir mon jeu Ie me ſuis adoucy deuant eux, c’eſt vn leure Lubine amenera les Sergens tout à l’heure.	Non, je n'attendrai plus, pour mieux couvrir mon jeu Je me suis adouci devant eux, c'est un lèvre Lubine amènera les Sergents tout à l'heure.
VSON.	VSON.
Quoy donc, vous les allez faire mettre en priſon.	Quoi donc, vous les allez faire mettre en prison.
GORGIBVS.	GORGIBUS.
Ouy.	Oui.
VSON.	VSON.
Si les eſtrangers arriuoient, que ſçait-on, Vous vous ſeriez foarré dans vne étrange affaire, Peut-chouout Iis preſt d’icy.	Si les étrangers arrivaient, que sçait-on, Vous vous seriez foarré dans une étrange affaire, Peut-chouout Jis prêt d'ici.
GORGIBVS.	GORGIBUS.
Si ce ſont des coquins.	Si ce sont des coquins.
Mais comment faire,	Mais comment faire,
SVSON.	SUSON.
Renuoyez vos Sergens, moupere, ie fescroy ue fort honneſtes gens.	Renvoyez vos Sergents, moupère, où fécroi ue fort honnêtes gens.
GORGIBVS.	GORGIBUS.
1 Les as-tu veus, dy-moy, pour parler de la ſorte.	1 Les as-tu vus, dis-moi, pour parler de la sorte.
SON.	SON.
Ie les ay regardez par le trou de la porte.	Je les ai regardés par le trou de la porte.
GORGIBVS.	GORGIBUS.
Vous les auez dõc veus, malgré tout mõ pouuoir.	Vous les avez donner veus, malgré tout mon pouvoir.
21 17 SVSON.	21 17 SVSON.
1 Par vn ſi petit trou, qu’eſt-ce que l’on peut voir.	1 Par un si petit trou, qu'est-ce que l'on peut voir.
0 SCENE IX.	0 SCÈNE IX.
11 LVBINE, GORGIBVS, SVSON.	11 LUBINE, GORGIBUS, SVSON.
LVBINE.	LUBINE.
T viſte le couuert, du foin & de l’auoine, 2 LLes Moſcouites ſont au quartier S.	 Tite le couvert, du foin et de l'avoine, 2 LLes Moscouites sont au quartier S.
Antoine, On dit qu’ils ſont montez ſur de petits Bidets, Pour les voir on s’eſtouffe à la porte Baudets, Tout le monde déja s’aſſomme en noſtre ruë, Et dedans leur chemin par ma foy l’on s’yuë, Vous voila dans le gain & dedans le bonheur;	Antoine, On dit qu'ils sont montez sur de petits Bidets, Pour les voir on s'étouffe à la porte Baudets, Tout le monde déjà s'assomme en notre rue, Et dedans leur chemin par ma foi l'on s'ive, Vous voilà dans le gain et dedans le bonheur;
Ah!	Ah!
tout le monde dit que c’eſt vn grand Seigneur	tout le monde dit que c'est un grand Seigneur
SCENE X.	SCÈNE X.
LA MONTAGNE, GORGIBVS, SVSON LVBINE, IOLICOEVR.	LA MONTAGNE, GORGIBUS, SUSON LVBINE, JOLICOEUR.
LA MONTAGNE.	LA MONTAGNE.
Es voicy, ſçauez-vo' les choſes qu’il faut faire.	Es voici, savez-vo' es choses qu'il faut faire.
LPour les ſalïer tous & les bien receuoir.	LPour les salayer tous et les bien recevoir.
GORGIBVS.	GORGIBUS.
Non, je ne les ſçay pas.	Non, je ne les sais pas.
LA MONTAGNE.	LA MONTAGNE.
Mais il les faut ſçauoir?	Mais il les faut savoir?
D’abord le grãd Seigneur ane ſaluëra moy-meſme;	D'abord le grand Seigneur ane saluëra moi-même;
Voyez comme je fais, vous ferez tout de meſme, Voſtre fille ſera ſur tout auecque vous, Car apres mon ſalut il vous ſaluëra tous;	Voyez comme je fais, vous ferez tout de même, Votre fille sera sur tout avec vous, Car après mon salut il vous saluera tous;
D’abord qu’ils ont diſné, qu’ils ont fait bonne chere, Tout ce qu’ils veulét fuire Il leur faut laiſſer faire.	D'abord qu'ils ont dîné, qu'ils ont fait bonne chère, Tout ce qu'ils veulet fuire Il leur faut laisser faire.
GORGIBVS.	GORGIBUS.
Mais ſi ces choſes la vout à mon deshonneur.	Mais si ces choses la vout à mon déshonneur.
LA MONTAGNE.	LA MONTAGNE.
Ahlnon, ce n’eſt pas là le but du grand Seigneur, C’eſt apres le repas l’exercice ordinaire, TTout ſera dãs l'honneur, ce que vous deuez faire Eſt de vous voir d’abord ſur vn ſiege vn peu haut Pour les voir ou combatre, ou monter à l’aſſaut, Ou comme ils ſont d’humeur marcialle & ciuille Ils repreſenteront le ſaq de quelque Ville, Puis clacun va dormir dans ſon appartement.	Ahlon, ce n'est pas là le but du grand Seigneur, C'est après le repas l'exercice ordinaire, TTout sera dans l'honneur, ce que vous devez faire Est de vous voir d'abord sur un siège un peu haut Pour les voir ou combattre, ou monter à l'assaut, Ou comme ils sont d'humeur marciale et civille Ils représenteront le saq de quelque Ville, Puis -lacun va dormir dans son appartement.
GORGIBVS.	GORGIBUS.
Voilà bien des façons.	Voilà bien des façons.
LA MONTAGNE.	LA MONTAGNE.
Cela dure vn moment.	Cela dure un moment.
GORGIBVS.	GORGIBUS.
Toutes ces façons là ne ſe font point en France.	Toutes ces façons là ne se font point en France.
LA MONTAGNE, Mais preparez-vous tous, je l’entens qui s’auance, Là les tambours battent?	LA MONTAGNE, Mais préparez-vous tous, je l'entends qui s'avance, Là les tambours battent?
1	1
GORGIBVS.	GORGIBUS.
Ca, ça, prepuront noumji nous faut tous ranger.	Ça, ça, prépuront noumi nous faut tous ranger.
LA MONTAGNE.	LA MONTAGNE.
Que l’on faſſe ſeruir, car il voudra manger.	Que l'on fasse servir, car il voudra manger.
SCENE XI.	SCÈNE XI.
1 LVBIN, GORGIBVS, LA MONTAGNE, IOLICOEVR, SVSON, FANCHON, AMINTE.	1 LUBIN, GORGIBUS, LA MONTAGNE, IOLICOEVR, SUSON, FANCHON, AMINTE.
LA MONTAGNE.	LA MONTAGNE.
Ous eſtes diſpenſé de luy faire harangue,	Ous êtes dispensé de Seigneur faire harangue,
LVBIN, icy il barragouine.	LUBIN, ici il barragouine.
GORGIBVS.	GORGIBUS.
Mais que demande-t-il je n’entens pas ſa langue.	Mais que demande-t-il je n'entends pas sa langue.
1B	1B
LA MONTAGNE.	LA MONTAGNE.
Il demande les lieux.	Il demande les lieux.
1.	1.
GORGIBVS.	GORGIBUS.
Eſt-ce là ce quil dis, Le baſſin, le bourlet, tout eſt aupres ſon lit.	Est-ce là ce quil dis, Le bassin, le bourlet, tout est auprès son lit.
Il demande les lieux où l’on le pretend mettre.	Il demande les lieux où l'on le prétend mettre.
GORGIBVS.	GORGIBUS.
Ahlie vais l’y mener s’l me le veut permettre.	Ahlie vais l'y mener s'l me le veut permettre.
LVBIN, icy il barragoüine.	LUBIN, ici il barragouine.
UGORGIBVS.	UGORGIBVS.
Mais s’il vouloit diſner auparauant.	Mais s'il voulait dîner auparavant.
1 LVBIN.	1 LUBIN.
Hyo, hyo.	Hyo, hyo.
GORGIBVS.	GORGIBUS.
Eſt-ce quil veut manger.	Est-ce quil veut manger.
Hyo, hyo, hyo	Hyo, hyo, hyo
LA MONTAGNE.	LA MONTAGNE.
Voila ce qu’il demande.	Voilà ce qu'il demande.
GORGIBVS.	GORGIBUS.
I'ay de fort bons Perdreaux;	J'ai de fort bons Perdreaux;
Ayme-t’il cette viande?	Aime-t-il cette viande?
LVBIN.	LUBIN.
Il uargonne.	Il argonne.
Y0,70,70	Y0,70,70
LVBIN.	LUBIN.
La peſte, non, je dis que je les aime bien yo,yo	La peste, non, je dis que je les aime bien yo,yo
IOLICOEVR.	JOLICOEUR.
Hé traiſtre!	Hé traître!
Que fais-tu?	Que fais-tu?
GORGIBVS.	GORGIBUS.
I’entends bien ce langage	J'entends bien ce langage
LVBIN Faites-luy donc ſçauoir que j’ayme tout, j’enrage.	LUBIN Faites-lui donc Savoir que j'aime tout, j'enrage.
Ne parie plus rrançois, ne dis qu’yo, yo.	Ne parie plus rrançois, ne dis qu'yo, yo.
GORGIBVS.	GORGIBUS.
D’vn grand cochon de laict, & d’vn gros alloyau.	D'un grand cochon de lait, et d'un gros alloyau.
En mangeroit-il bien?	En mangerait-il bien?
LVBIN.	LUBIN.
9, y0, y0.	9, y0, y0.
GORGIBVS.	GORGIBUS.
Il ne boit que de l'eau, rien n’eſt plus pitoyable.	Il ne boit que de l'eau, rien n'est plus pitoyable.
LVBIN.	LUBIN.
Ie parleray François, ou je me donne au diable.	Je parlerai Français, ou je me donne au diable.
LA MONTAGNE.	LA MONTAGNE.
L’eau pour le grand Seigneur eſt pire qu’vn poiſon.	L'eau pour le grand Seigneur est pire qu'un poison.
1	1
LVBIN.	LUBIN.
Ie boy mon vin tout pur, au moins, yo, yo.	Je boy mon vin tout pur, au moins, yo, yo.
GORGIBVS.	GORGIBUS.
Il a raiſon:	Il a raison:
Le vin pur en effect eſt vn jus bien aymable, Il en boira de bon, le mien eſt admirable.	Le vin pur en effet est un jus bien aimable, Il en boira de bon, le mien est admirable.
Yo,yo,jo.	Yo,yo,jo.
GORGIBV S.	GORGIBU S.
Là l'on aporte la table toute ſeruie.	Là l'on apporte la table toute servie.
Quand il veut Francizer, on l'entend aſlés bien, Mais quand il Moſcouize on n’y comprend plus rien.	Quand il veut Francizer, on l'entend assez bien, Mais quand il Moscouise on n'y comprend plus rien.
Voila le diné preſt, il peut ſe mettre à tables Des ſieges.	Voila le diné prêt, il peut se mettre à tables Des sièges.
LVBIN en jargonnant.	LUBIN en jargonnant.
LVBIN fait un long jargon en couppant les viandes & les preſentant aux autres.	LUBIN fait un long jargon en couppant les viandes et les présentant aux autres.
IOLICOEVR.	JOLICOEUR.
Cracq	Cracq
41 Crocq.	41 Croc.
LA MONTAGNE.	LA MONTAGNE.
LVRIN en aualant il baragoüine.	LURIN en avez il baragouine.
IOLICOEVR.	JOLICOEUR.
Le Cochon eſt, dit-il, admnirable.	Le Cochon est, dit-il, admnirable.
LVBIN barogoüine long-temps le verre à la main.	LUBIN barogoüine longtemps le verre à la main.
LA MONTAGNE aux Dames.	LA MONTAGNE aux Dames.
Il boit à vos ſantés.	Il boit à vos santés.
M.	M.
AMINTHE.	AMINTHÉ.
Que ce langage eſt ſot!	Que ce langage est sot!
Quoy!	Quoi!
parler ſi long-temps pour ne dire qu’vn mot?	parler si longtemps pour ne dire qu'un mot?
Il vient de boire à vous, il faut faire de meſme, N’heſités pas, Madame.	Il vient de boire à vous, il faut faire de même, N'hésités pas, Madame.
M.	M.
AMINTHE.	AMINTHÉ.
Ah, la rigueur extrême!	Ah, la rigueur extrême!
C’eſt la marque & le ſceau de ſon affection.	C'est la marque et le sceau de son affection.
M.	M.
AMINTHE.	AMINTHÉ.
Parce qu’il m’ayme il faut ſouffrir la queſtion!	Parce qu'il m'aime il faut souffrir la question!
Vous croyés que je boiue vn verre d’eau de vie !	Vous croyez que je boive un verre d'eau de vie !
LA'MONTAGNE.	LAMONTAGNE.
C’eſt l’ordre du pays.	C'est l'ordre du pays.
M.	M.
AMINTHE.	AMINTHÉ.
Hé!	Hé!
ſuis-je en Moſcouie?	suis-je en Moscouie?
SVZON.	SUZON.
Allés le ſuplier de vous en diſpenſer.	Allez le suplier de vous en dispenser.
LVBIN jargonne.	LUBIN jargonne.
LA MONTAGNE.	LA MONTAGNE.
Il vous fait ſigne au moins de ne pas auancer, Madame.	Il vous fait signe au moins de ne pas avancer, Madame.
Il dit qu’il eſt à ſa femme fidelle,	Il dit qu'il est à sa femme fidèle,
Et qu’il ne veut auoir de l’amour que pour elle.	Et qu'il ne veut avoir de l'amour que pour elle.
M.	M.
AMINTHE.	AMINTHÉ.
Comment?	Comment?
IOLICOEVR.	JOLICOEUR.
Il ne faut point vous en mettre en courroux, Il’en a refusé d’auſſi belles que vous.	Il ne faut point vous en mettre en courroux, Il'en a refusé d'aussi belles que vous.
SCENE XIII.	SCÈNE XIII.
LVBINE, LVBIN, GORGIBVS, IOLICOEVR, LA MONTAGNE, GORGIBVS, LARAMEE, SANS-SOVCY, SVZON, M.	LUBINE, LUBIN, GORGIBUS, IOLICOEVR, LA MONTAGNE, GORGIBUS, LARAME, SANS-SOUCY, SUZON, M.
AMINTE.	AMINTE.
LVBINE à l'Interprete aux piceds de Lubin Onſieur.	LUBINE à l'Interprète aux piceds de Lubin Sieurs.
Expliqués ce qu’il faut que M je die.	Expliquez ce qu'il faut que M je die.
LVBIN.	LUBIN.
Ma carogne de femme eſt de la Comedie?	Ma carogne de femme est de la Comédie?
LVRINE.	LURINE.
Mon bon Seigneur, je viens icy pour vous prier D’obtenir le pouuoir de me démarier D’auec vn ſac-à vin, vngueux, vn lâche, vn traiſtre, Bref d’auec vn mary qui ne le ſçauroit eſtre, C’eſt le plus impuiſſant de tous les impuiſſans, Paſſerois-je ſans fruit le plus beau de mes ans?	Mon bon Seigneur, je viens ici pour vous prier D'obtenir le pouvoir de me démarier D'avec un sacà vin, ungueux, un lâche, un traître, Bref d'avec un mari qui ne le saurait être, C'est le plus impuissant de tous les impuissants, Passerais-je sans fruit le plus beau de mes ans?
LVBIN, bas.	LUBIN, bas.
Ah, la carogne!	Ah, la carogne!
à qui s’adreſle ſa harangue?	à qui s'adresle sa harangue?
Dés ceſoir je luy veux faire coupper la langue.	Dès cesoir je te veux faire coupper la langue.
» B iiij.	» " Bijà.
LVBINE.	LUBINE.
C’eſt vn ſot, Monſeigneur, que chacun montre au doigt, Il le ſçait, mais il l’eſt encor plus qu’il ne croit.	C'est un sot, Monseigneur, que chacun montre au doigt, Il le sait, mais il l'est encor plus qu'il ne croit.
Ce Monſeigneur a l’air de mon coquin d’yurogne.	Ce Monseigneur à l'air de mon coquin d'ivrogne.
LVBIN, ſortant de table & courant apres	LUBIN, sortant de table et courant après
LVBINE qui ſ’enfuit.	LUBINE qui s'enfuit.
Tu ne dis que trop vray, c’eſt moy-meſme, Carogne.	Tu ne dis que trop vrai, c'est moi-même, Carogne.
LA MONTAGNE, à Gorgibus.	LA MONTAGNE, à Gorgibus.
C’eſt pour faire exercice, il ne faut craindre rien, Sonnés bien tantarare, allés, tout ira bien.	C'est pour faire exercice, il ne faut craindre rien, Sonnez bien tantarare, assez, tout ira bien.
Tantarare, tantarare, tantarare, tantarare.	Tantarare, tantarare, tantarare, tantarare.
Sçait-il bien le chemin?	Sait-il bien le chemin?
je crains qu’il ne s’égare, Tantatare, tarare, tarare, Tantarare.	je crains qu'il ne s'égare, Tantatare, tarare, tarare, Tantarare.
GORGIBYS monte ſur vn ſiege vn cor à la main, & tandis qu’il corne, les filoux ſortent de chés luy, & enleuent Suzon, & force paquets.	GORGIBYS monte sur un siège un cor à la main, et tandis qu'il corne, les filoux sortent de chezy luy, et enlèvent Vzon, et force paquets.
SCENEXIV.	SCENEXIV.
LVBINE, GORGIBVS.	LUBINE, GORGIBUS.
I  LVBINE.	I LUBINE.
Antare, ha vrayment !	Antare, ha vraiment !
le Marquis de Ionquille 11 S'en va bien autrement tararer voſtre fille, Il l’a fait enleuer, car je le viens de voir, Tous ces faux eſtrangers l’ont miſe en ſon poudonl a	le Marquis de Ionquille 11 S'en va bien autrement tarrer votre fille, Il l'a fait enlever, car je le viens de voir, Tous ces faux étrangers l'ont mise en son poudonl a
SCENE DERNIERE.	SCÈNE DERNIÈRE.
GORGIBVS, SA FILLE, LVBINE, IE BARON DE IONQVILLE.	GORGIBUS, SA FILLE, LUBINE, IE BARON DE IONQUILLE.
GORGIRVS.	GORGIRUS.
A!	À!
Monſieur le Baron, que venez-vous de 1T faire.	Monsieur le Baron, que venez-vous de 1T faire.
VSON.	VSON.
Ne vous empottez pas, il n’a rien fait mon pere, Helas!	Ne vous empottez pas, il n'a rien fait mon père, Hélas!
c’eſt vn mouton;	c'est un mouton;
LE BARON DE IONQVILLE.	LE BARON DE IONQVILLE.
Moderez ce courroux, Et conſentez enfin que ie ſois ſon eſpoux;	Modérez ce courroux, Et consentez enfin que . sois son époux;
Car de force ou de gre, Monſieur, ie le veux eſtre, I’adore voſtre fille & vous l’ay fait connoiſtre, Elle m’aimoit aſſez, puiſque dans ce moment Ie l’ay fait couſentir à ſon enleuement;	Car de force ou de guerre, Monsieur, je le veux être, J'adore votre fille et vous l'ai fait connaître, Elle m'aimait assez, puisque dans ce moment Je l'ai fait cousentir à son enlèvement;
Ie vous l’ay demandée, & voſtre reſiſtance M’a fait vſer icy de cette violence.	Je vous l'ai demandée, et votre résistance M'a fait user ici de cette violence.
GORGIBVS.	GORGIBUS.
I’y conſens, mais mon bien, faut-il qu’il ſoit perdu.	J'y consens, mais mon bien, faut-il qu'il soit perdu.
LE BARON.	LE BARON.
Tout vous ſera rendu.	Tout vous sera rendu.
LVBINE.	LUBINE.
Ha!	Ha!
ſi le grand Seigneur pouuoit eſtre pendu.	si le grand Seigneur pouvait être pendu.
Madame la Baronne, helas!	Madame la Baronne, hélas!
faites en ſorte Qu’il ſoit bani du moins, e’il reuient ie ſuis morte, Si vous ne l’apaiſez, helaslil me tuëra.	faites en sorte Qu'il soit bani du moins, e'il revient tu suis morte, Si vous ne l'apaisez, hélaslil me tuera.
VSON.	VSON.
Viens, viens auec nous, il te pardonnera.	Viens, viens-là nous, il te pardonnera.
BINE.	BINE.
C’eſt tout au moins, Meſſieurs, qu’aucun de vot n’en doute, Quant vne fin languit perſonne ne l'écoûte.	C'est tout au moins, Messieurs, qu'aucun de vot n'en doute, Quant une fin languit personne ne l'écoute.
N.	N.
LE BARON.	LE BARON.
Tout vous ſera rendu.	Tout vous sera rendu.
LVBINE.	LUBINE.
Ha!	Ha!
ſi le grand Seigneur pouuoit eſtre pendu.	si le grand Seigneur pouvait être pendu.
Madame la Baronne, helas!	Madame la Baronne, hélas!
faites en ſorte Qu’il ſoit bani du moins, e’il reuient ie ſuis morte, Si vous ne l’apaiſez, helaslil me tuëra.	faites en sorte Qu'il soit bani du moins, e'il revient tu suis morte, Si vous ne l'apaisez, hélaslil me tuera.
VSON.	VSON.
Viens, viens auec nous, il te pardonnera.	Viens, viens-là nous, il te pardonnera.
BINE.	BINE.
C’eſt tout au moins, Meſſieurs, qu’aucun de vot n’en doute, Quant vne fin languit perſonne ne l'écoûte.	C'est tout au moins, Messieurs, qu'aucun de vot n'en doute, Quant une fin languit personne ne l'écoute.
N.	N.
