A MADAME VLAE .	À MADAME VLAE .
NEREE.	NERE.
A force de m'aymer tute feras haïr:	À force de m'aimer tte feras haïr:
Adieu, n’obtenant pas vne requeſte aiſee, Crois que iamais deux fois ie ne ſuis tefuſee.	Adieu, n'obtenant pas une requête aise, Crois que jamais deux fois ne suis suis tefusee.
CLEONTE.	CLÉONTE.
VouleZ vous auancer l'heure de mon treſpas?	Voulez -vous avancer l'heure de mon trépas?
NEREE.	NERE.
Qu'elle auance ou recule, il ne m'importe pas.	Qu'elle avance ou recule, il ne m'importe pas.
CLEONTE.	CLÉONTE.
Elle s’en va l’ingratte, & ſon œil m’abandonne, Apres les coups mortels que ſa langue me donne, Elle s’en va l’ingratte, & ie me ſens forcer De la ſuiure par tout auecques le penſer, O Dieux, ô iuſtes Dieux!	Elle s'en va l'ingratte, et son œil m'abandonne, Après les coups mortels que sa langue me donne, Elle s'en va l'ingratte, et Seigneur me sens forcer De la suivre par tout avec le penser, Ô Dieux, iustes Dieux!
pour conſeruer ma mie, Eaittes la moy fleſchir, ou m'en oſtez l’enuie.	pour conserve ma mie, Aittes la moi fléchir, ou m'en ôtez l'envie.
Mais changeons de propos, & d’vn front plus raſsis, Gardons nous qu'Arſidor n’y liſe nos ſoucis, Et puis qu'elle reuient, l’occaſion bien priſe, Commençons d'esbaucher vne belle entrepriſe.	Mais changeons de propos, et d'autre front plus rassis, Gardons nous qu'Arsidor n'y lise nos soucis, Et puis qu'elle revient, l'occasion bien prise, Commençons d'ébaucher une belle entreprise.
SCENE IIII.	SCÈNE IIII.
ARSIDOR, CLEONTE, NEREE, CEARIME.	ARSIDOR, CLÉONTE, NEREE, CEARIME.
ARSIDOR.	ARSIDOR.
E tonte qu tmnportun le nt tronoteit cours IDe vos contentemens en rompant vos diſcours.	E tonte qu' mnportun le naît tronoteit cours IDe vos contentements en rompant vos discours.
CLEONTE.	CLÉONTE.
Nullement cher amy, ma bouche peu fertile, Prez de ce bel eſprit, le laiſſoit inutile, Ou ſi ie luy parlois, ce n'eſtoit que de Jeux.	Nullement cher ami, ma bouche peu fertile, Prez de ce bel esprit, le laissait inutile, Ou si ie luy parlais, ce n'était que de Jeux.
EREE.	ÈRE.
Dentnez ſon fetina, & pons ueſenceZ mieux.	Dentnez son fétina, et pons uesenceZ mieux.
ARSIDOR.	ARSIDOR.
Ie n’entens rien du tout à la cageolerie.	Je n'entends rien du tout à la cageolerie.
CLEONTE.	CLÉONTE.
As-tu let yeux collez ſur la Tapiſſerie?	As-tu let yeux collez sur la Tapisserie?
Clarine, eſcoute vn peu, ie te garde vn ſecret Qui vient de	Clarine, écoute un peu, on te garde un secret Qui vient de
CLEONTE.	CLÉONTE.
nommez le, que vous eſtes diſcres.	nommez le, que vous êtes discres.
ARSIDOR.	ARSIDOR.
Auiourd’huy que le Ciel s’eſt paré pour te plaire,	Aujourd'hui que le Ciel s'est paré pour te plaire,
Que pour voir tes beautez le Soleil nous eſclaire, Et qu'à trauers l'azur il darde des rayons, Qui nous viennent baïſer, biex que nous les fuions.	Que pour voir tes beautés le Soleil nous éclaire, Et qu'à travers l'azur il darde des rayons, Qui nous viennent baïser, biex que nous les fuyons.
Viens deſſous ces ormeaux eſuiter leur outrage, Tu t’y mettras à l’ombre, & m’oſtera l’ombrage, Car voy que ce Riual, qu'Amour a ſceu toucher, Abaiſſe ſa lumiere, & ſonge à ſe coucher.	Viens dessous ces ormeaux éviter leur outrage, Tu t'y mettras à l'ombre, et m'ôtera l'ombrage, Car vois que ce Rival, qu'Amour a su toucher, Abaisse sa lumière, et songe à se coucher.
Viens ma belle Deeſſe, & vois dans la fontaine Ces arbres d’alentour tracer leur ombre vaine;	Viens ma belle Déesse, et vois dans la fontaine Ces arbres d'alentour tracer leur ombre vaine;
Souffre qu'en ce ruiſſeau, par vn ſoin diligent, Ie faſſe parmy l’or diſtiler de l’argent, Que lauant tes cheueux, ceſte onde ait l’auantage De prendre la couleur du beau ſable du Tage:	Souffre qu'en ce ruisseau, par un soin diligent, Je fasse parmi l'or distiler de l'argent, Que lavant tes cheveux, cette onde ait l'avantage De prendre la couleur du beau sable du Tage:
Lors faiſant vn miracle au bord de ce ruiſſeau, On verra le Soleil au Signe du Verſe eau, Viens conter le ſablon de ceſte eau transparante, C’eſt le nombre des maux, dont tu fais l’ignorante, Viens voir dans ce Criſtal, où ie ſens m'embraſer, Cõme quoy ſans douleurs, on peut peindre vn baiſer.	Lors faisant un miracle au bord de ce ruisseau, On verra le Soleil au Signe du Verse eau, Viens conter le sablon de cette eau transparante, C'est le nombre des maux, dont tu fais l'ignorante, Viens voir dans ce Cristal, où tu fais m'embraser, Comme quoi sans douleurs, on peut peindre un baiser.
Viens t'en fouler ces fleurs, qui panchent à la veuë De celles dont le Ciel liberal t’a pourueuë.	Viens t'en fouler ces fleurs, qui penchèrent à la vue De celles dont le Ciel libéral t'a pourvue.
Viens tromper le Zephire amoureux de Philis En luy monſtrant ce teint de rozes & de lis, Il te prendra pour elle;	Viens tromper le Zéphire amoureux de Philis En lui monstrant ce teint de roses et de lis, Il te prendra pour elle;
ha ie faus miſerable, Car tes perfections n’ont rien de comparable:	ha ie faus misérable, Car tes perfections n'ont rien de comparable:
Que lon cherche l’obiet le plus remply d’attraits, Que lon faſſe vn portraict de tous les beaux portraits, Les graces de Venus, celles de la Nature, Le plus vif coloris qui ſoit en la peinture, L’albaſtre, le corail, le viſage d’Amour, Les Eſtoiles, la Lune, & la clarté du iour, Les perles, les rubis, toutes les fleurs enſemble N'ontrien qui ſoit ſi beau, ny rien qui te reſſemble.	Que lon cherche l'objet le plus rempli d'attraits, Que lon fasse un portrait de tous les beaux portraits, Les grâces de Venus, celles de la Nature, Le plus vif coloris qui soit en la peinture, L'albâtre, le corail, le visage d'Amour, Les Étoiles, la Lune, et la clarté du jour, Les perles, les rubis, toutes les fleurs ensemble N'ontrien qui soit si beau, ni rien qui te ressemble.
NEREE.	NERE.
Ce diſcours eſt charmant autant que ſon autheur, Et c'eſt à mon regret qu’il eſt vn peu menteur.	Ce discours est charmant autant que son auteur, Et c'est à mon regret qu'il est un peu menteur.
ARSIDOR.	ARSIDOR.
Pour voir ſi i’ay flaté le ſuiet de ma flame, Regarde dans ceſte onde, ou bien dedans mon ame, L’vne & l’autre à l'inſtant te feront auouër, Que tout ce que i'ay dit eſt trop peu te louër.	Pour voir si j'ai flatté le sujet de ma flamme, Regarde dans cette onde, ou bien dedans mon âme, L'une et l'autre à l'instant te feront auouer, Que tout ce que j'ai dit est trop peu te louer.
NEREE.	NERE.
Garde qu'vne loüange exceſsiuement priſe, Me donnant trop d'orgueil faſſe qu’on te mespriſe.	Garde qu'une louange excesivement prise, Me donnant trop d'orgueil fasse qu'on te méprise.
ARSIDOR.	ARSIDOR.
Pour redouter ce mal ton œil eſt trop benin, Et l'Abeille, des fleurs ne fait poins de venin.	Pour redouter ce mal ton œil est trop bénin, Et l'Abeille, des fleurs ne fait poins de venin.
NEREE.	NERE.
Nous nous laiſſons tromper ſouuent aux belles choſe:	Nous nous laissons tromper souvent aux belles chose:
Le feu pour eſtre peint de la couleur des roſes Ne laiſſe de bruſler, & par fois en Eſté, Sous les fleurs que tu dis l’Aſpic eſt arresté.	Le feu pour être peint de la couleur des roses Ne laisse de brûler, et par fois en Été, Sous les fleurs que tu dis l'Aspic est arrêté.
ARSIDOR.	ARSIDOR.
Me morde cet Aſpic?	Me morde cet Aspic?
ſi ma léure le touche, Pourueu qu’il ſoit caché dans ceſte belle bouche, La perle & le cinabre eſtus pour mon tombeau, Ie ne veux vn deſtin plus heureux & plus beau.	si ma lèvre le touche, Pourvu qu'il soit caché dans cette belle bouche, La perle et le cinabre estus pour mon tombeau, Je ne veux un destin plus heureux et plus beau.
NEREE.	NERE.
Voila ctrtes fort bien choiſir ſa ſepulture:	Voilà ctrtes fort bien choisir sa sépulture:
ARSIDOR.	ARSIDOR.
Ce chois, comme tucrois, n'eſt pas à l’auanture, Car ie ſuis aſſuré, mourant en ſi doux lieu, D’eſtre reßuſité par lepouuoir d’vn Dieu:	Ce chois, comme tucrais, n'est pas à l'aventure, Car tu suis assuré, mourant en si doux lieu, D'être ressusité par lepouvoir d'un Dieu:
Mais au nom de celuy que i'ay dans la penſee Pour ſoulager vn peu mom ardeur inſenſee, Allons dans ceſte grotte, où comblé de plaiſir, Ie promets de regler mes feux de ton deſir:	Mais au nom de celui que j'ai dans la pensée Pour soulager un peu ardeur insensée, Allons dans cette grotte, où comblé de plaisir, Je promets de régler mes feux de ton désir:
Parmy l’obſcurité qui regne dans cét antre, Où iamais par reſpect, l’eſclat du Soleil n'entre, Si la honte meſlee auecques tes appas, La rougeur dans ce noir ne s'apperceura pas.	Parmi l'obscurité qui règne dans cet antre, Où jamais par respect, l'éclat du Soleil n'entre, Si la honte mêlée avec tes appas, La rougeur dans ce noir ne s'aperçeura pas.
Ne crains point d’y parler de noſtre amour ſecrette, Pour le redire apres, la Roche est trop diſcrette, En faueur du plaiſir qui rauira nos ſens Elle deuiendra ſourde à nos derniers accens.	Ne crains point d'y parler de notre amour secrète, Pour le redire après, la Roche est trop discrette, En faveur du plaisir qui ravira nos sens Elle deviendra sourde à nos derniers accents.
Au reſte ne crois pas que nul penetre en elle, Nous mettrons ſur la porte Amour en ſentinelle, Paefans nons pour icy meſme, eſtant prine des yeux, Deffendra par ſes traicts d’aprocher de ces lieux.	Au reste ne crois pas que nul pénètre en elle, Nous mettrons sur la porte Amour en sentinelle, Paefants nons pour ici même, étant prine des yeux, Défendra par ses traits d'approcher de ces lieux.
NEREE.	NERE.
Le ſubtil Oiſeleur, d’vn fraude inconnuë, Couure ainſi ſes filets deſſous l’herbe menuë, Le peſcheur de ſa ligne atrape les poiſſons, Trompant leur innocence auec ſes hameçons, La neſ heurte aux rochers, ouſe pert aux arenes, di tindiſcrel Piloie eſcoûte les Sirenes :	Le subtil Oiseleur, d'un fraude inconnue, Couvre ainsi ses filets dessous l'herbe menue, Le pêcheur de sa ligne atrape les poissons, Trompant leur innocence avec ses hameçons, La nés heurte aux rochers, ouse pert aux arène, di tindiscrel Piloie écoute les Sirène :
Ainſi les amoureux pour poſſeder vn bien Iurent, promettent tout, & puis ne tiennent rien.	Ainsi les amoureux pour posséder un bien Jurent, promettent tout, et puis ne tiennent rien.
ARSIDOR.	ARSIDOR.
Pour ne t’obliger pas de te dire tunjte, Scache que mille fois tu te verras baiſee.	Pour ne t'obliger pas de te dire tunjoute, Scache que mille fois tu te verras baise.
NEREE.	NERE.
Et puis ie te ſuiurois, ce beau deſſein connu?	Et puisqu' en suivrais, ce beau dessein connu?
ARSIDOR.	ARSIDOR.
As-tu peur d’vn enfant qui ſans yeux va tout ru?	As-tu peur d'une enfant qui sans yeux va tout ru?
NEREE.	NERE.
Ie n'ay pas peur de luy, mab ie crains pour moy meſme.	Je n'ai pas peur de Seigneur, mab eau crains pour moi -même.
ARSIDOR.	ARSIDOR.
Le danger que tu cours eſt vn danger extreme, Peut eſtre ſon excez te mettroit aux abois;	Le danger que tu cours est un danger extrême, Peut être son excès te mettrait aux abois;
Voy tous les animaux qui viuent dans les bois, Ceux qui vollent en l’air, ceux qui nagent en l’onde, Bref tous les habitans qui demeurent au monde;	Vois tous les animaux qui vivent dans les bois, Ceux qui vollent en l'air, ceux qui nagent en l'onde, Bref tous les habitants qui demeurent au monde;
Fuſſent-ils plus cruels, & plus ſourds que la Mer, La Nature les pouſſe, & les force d’aymer.	Fussent-ils plus cruels, et plus sourds que la Mer, La Nature les pousse, et les force d'aimer.
Tourne, tourne les yeux, regarde ceſte pierre, Qu'eſtraint auec cent bras vn amoureux lierre, Voy ceſte vigne icy, dont les foibles rameaux Tremblent, de peur qu'elle a de quitter ſes ormeaux:	Tourne, tourne les yeux, regarde cette pierre, Qu'étraint avec cent bras un amoureux lierre, Vois cette vigne ici, dont les faibles rameaux Tremblent, de peur qu'elle a de quitter ses ormeaux:
Scay tu pas que le fer de nature inſenſible, Se donne vn mouuement qui nous ſemble impoſsible, Suinant la Calamite en mille tours diuers;	Sais tu pas que le fer de nature insensible, Se donne un mouvement qui nous semble impossible, Suinant la Calamite en mille tours divers;
Toy ſeule ſans amour veux viure en l’Vniuers, Plus froide qu'vne pierre & moins chaude qu'vnarbre Moins humaine qu'vn Tigre, & plus dure qu’vn marbre, Ha cela ne ſe peut,	Toi seule sans amour veux vivre en l'Univers, Plus froide qu'une pierre et moins chaude qu'Harbre Moins humaine qu'Han Nègre, et plus dure qu'un marbre, Ha cela ne se peut,
NEREE.	NERE.
pourquoy ſi ie le veux?	pourquoi si belle le veux?
ARSIDO	ARSIDO
ARSIDOR.	ARSIDOR.
Parce que la raiſon s’accorde auec mes veux, Et que l’occaſion que le Ciel m'a donnee, Me preſente vn laurier cette heureuſe iournee.	Parce que la raison s'accorde avec mes veux, Et que l'occasion que le Ciel m'a donnée, Me présente un laurier cette heureuse journée.
NEREE.	NERE.
Et qui veux-tu combattre auecque tant d’ardeur?	Et qui veux-tu combattre avec tant d'ardeur?
AESIDOR Tes mefpris, tes refus, ma crainte, & ta froideur.	ÀESIDOR Tes mépris, tes refus, ma crainte, et ta froideur.
NEREE.	NERE.
Contre tant d’ennemis ton entrepriſe eſt vaine, Ce beau ſonge finy redoublera ta peine:	Contre tant d'ennemis ton entreprise est vaine, Ce beau songe fini redoublera ta peine:
Toutes fois mon amour ſouffre au tien d’esperer, dauemnaval axyeeesaa naen vayielrer	Toutes fois mon amour souffre au tien d'espérer, davemnaval axyeeesaa naen vayielrer
A RSIDOR.	À RSIDOR.
Adieu beauté cruelle, autant comme diuine.	Adieu beauté cruelle, autant comme divine.
NEREE.	NERE.
Cleonte, diſcoureur, laiſſez venir Clarine, Quel charme trouuez vous dedans ſon entretien?	Cléonte, discoureur, laissez venir Clarine, Quel charme trouvez -vous dedans son entretien?
CLEONTE.	CLÉONTE.
Celuy que voſtre eſprit ne gouſte pas au mien.	Celui que votre esprit ne goûte pas au mien.
ARSIDOR.	ARSIDOR.
Puis qu’ent re vrais amis toute choſe eſt permiſe, Ne t, ouuez pas mauuais, ſuiuant cette franchife, Si i’oſe demander, quel ſecrer important y ons tontte Z à Ciarlne, & uont vons riez tant.	Puis qu'ent re vrais amis toute chose est permise, Ne t, ouvez pas mauvais, suivant cette franchife, Si j'ose demander, quel secrer important y ons tontte Z à Ciarlés, ont vont vons riez tant.
CLEONTE.	CLÉONTE.
Ie m'en vay contenter le deſir qui vous preſſe:	Je m'en vais contenter le désir qui vous presse:
Vous poſſedez ſi fort l’eſprit de la Malſtreſſe, Que pour ne reſter ſeul, quand ie vous voy venir, a dudejla laſuanuntes & vuj temveren D'ouurages, de bouquets, & de choſes pareilles.	Vous possédez si fort l'esprit de la Malstresse, Que pour ne rester seul, quand ie vous vois venir, a dudejla lasuanuntes et vuj merveren D'ouvrages, de bouquets, et de choses pareilles.
ARSIDOR.	ARSIDOR.
Que ces foibles raiſons me chocquent les oreilles:	Que ces faibles raisons me chocquent les oreilles:
Ma fortune amoureuſe eſt touſiours en vn point, Ie ne poſſedois pas, ie ne poſſede point, Touſiours meſme tourment cette belle me liure, Qui donc a fait changer voſtre forme de viure?	Ma fortune amoureuse est toujours en un point, Je ne possédais pas, Seigneur ne possède point, Toujours même tourment cette belle me livre, Qui donc a fait changer votre forme de vivre?
Vous ne reſpondez mot, ce ſouſrire mocqueur Me toncne iuſqu'à l'ame, e me perce le cœur:	Vous ne répondez mot, ce sousrire moqueur Me toncne jusqu'à l'âme, e st perce le cœur:
Si c’eſt à mes deſpens, donneZ moy l’auantage Qu'au moins ce paſſe temps entre nous ſe partage.	Si c'est à mes dépens, donnez -moi l'avantage Qu'au moins ce passe temps entre nous se partage.
CLEONTE, Cemuuiu ſu'on me promette vn ſilence eternel, Pourueu que l’on m'enf.	CLENTE, Cemuviu su'on me promette un silence éternel, Pourvu que l'on m'ens.
ſſe vn ſerment ſolemnel, En faueur d’vn amy, dont la foy m'eſt connuë, Icy la verité paroiſtra toute nuë.	sse un serment solennel, En faveur d'un ami, dont la foi m'est connue, Ici la vérité paraîtra toute nue.
ARSIDOR.	ARSIDOR.
Puiſſay-ie eſtre des Dieux, & des hommes maudit, TROMPEVR PVNY.	Puissé-je être des Dieux, et des hommes maudit, TROMPEUR PUNI.
orte reuntamaute que pous m'aureZ dit.	orte reuntamaute que pous m'aurez dit.
CLEONTE.	CLÉONTE.
Pour vous faire ſçauoir vnechoſe ignoree, Trois mots y ſuffiront;	Pour vous faire savoir vnechose ignorée, Trois mots y suffiront;
ie poſſede Neree.	Les possède Née.
ARSIDOR.	ARSIDOR.
Vous poſſedeZ Neree!	Vous possédez Née!
CL'EONTE.	CL'ENTE.
& deuant des teſmoins, Pour couurir noſtre ieu ie luy parle le moins.	et devant des témoins, Pour couvrir notre jeu ieBout parle le moins.
ARSIDOR.	ARSIDOR.
O Cieux, & le moyen de croire ce prodige?	Ô Cieux, et le moyen de croire ce prodige?
CLEONTE.	CLÉONTE.
Ie voudrois qu'il puje jaua, voyaut quit vous afflige, Mais ie viens de ſçauoir d vnclein d’œil en partant, Que ceste meſme nuict ma Deeſſe m'attend.	Je voudrais qu'il puje java, voyaut quit vous afflige, Mais ie viens de savoir d' vnclein d'œil en partant, Que cette même nuit ma Déesse m'attend.
ARSIDOR.	ARSIDOR.
Vous pouueZ m’obliger plus qu’on ne le peut croire, Me rendant ſpectateur d'vne ſi grande gloire.	Vous pourvez m'obliger plus qu'on ne le peut croire, Me rendant spectateur d'une si grande gloire.
CLEONTE.	CLÉONTE.
Moy ſeul à cette porte, ay droit de penetrer, A moins d'eſtre inuiſible, on n'y ſçauroit entrer.	Moi seul à cette porte, ai droit de pénétrer, À moins d'être invisible, on n'y saurait entrer.
ARSIDOR.	ARSIDOR.
Vous prenez mal le ſens de ce que ie demande, Parmi ma paſsion la raiſon me commande,	Vous prenez mal le sens de ce que je demande, Parmi ma passion la raison me commande,
B2 Ie ne veux pas entrer où mon cœur entrera, Mais bien eſtre preſent quand on vous ouurira.	B2 Je ne veux pas entrer où mon cœur entrera, Mais bien être présent quand on vous ouvrira.
CLEONTE.	CLÉONTE.
Soit, pour vous contenter ie hazarde ma vie, Ma parole dans peu, de ſon effect ſuiuie, S’en va vous faire voir, qu’en l’Empire amoureux Vous eſtes abusé comme ie ſuis heureux.	Soit, pour vous contenter ainsi hasarde ma vie, Ma parole dans peu, de son effet suivie, S'en va vous faire voir, qu'en l'Empire amoureux Vous êtes abusé comme tu suis heureux.
SCENE V.	SCÈNE V.
LE ROY DE DANEMARC, ARGANTE,	LE ROY DE DANEMARC, ARGANTE,
LE ROY.	LE ROY.
Vis qu’en fin nos vaiſſeaux ont vnvent fauorable, I Qui leur promet le calme außi doux que durable, Et que voſtre eſquipage entierement dreßé, Vous permet vn deſpart qui n'a rien de preßé, TrouueZ les Caualiers qui vous font compagnie, Prenez voſtre depeſche, & quittez-là Danie, AlleZ dans l’Angleterre, & demandez au Roy Cette belle qui tient Alcandre ſous ſa loy.	Vis qu'en fin nos vaisseaux ont unvent favorable, I Qui leur promet le calme aussi doux que durable, Et que votre équipage entièrement dressé, Vous permet un départ qui n'a rien de preime, TrouueZ les Cavaliers qui vous font compagnie, Prenez votre dépêche, et quittez-là Danie, Allez dans l'Angleterre, et demandez au Roi Cette belle qui tient Alcandre sous sa lois.
RepreſenteZ-luy bien qu’il eſt iſſu de Princes, Qu'il gouuerne mon cœur ainſi que mes Prouinces, Que de l’ame & du corps on le voit ſi parfait, Que iamis ſon pareil la Nature n'a fait:	Représente-lui bien qu'il est issu de Princes, Qu'il gouverne mon cœur ainsi que mes Provinces, Que de l'âme et du corps on le voit si parfait, Que jamis son pareil la Nature n'a fait:
Que le bruit des vertus que poſſede Neree, Rend ſon ame idolatre, & la belle adoree, Et que ſans demander la richeſſe de l’or, Il croit en l’obtenant, obtenir vn threſor.	Que le bruit des vertus que possède Nère, Rend son âme idolâtre, et la belle adorée, Et que sans demander la richesse de l'or, Il croit en l'obtenant, obtenir un trésor.
Dites que cét himen, aſſemblant deux Couronnes, Vnira nos Eſtats auecque leurs perſonnes, Que l'offre que ie fais ne ſe doit negliger, Et qu’obligeant Alcandre, il me peut obliger.	Dites que cet hymen, assemblant deux Couronnes, Unira nos États avec leurs personnes, Que l'offre que ie sa ne se doit négliger, Et qu'obligeant Alcandre, il me peut obliger.
ARGANTE.	ARGANTE.
En faiſant le deuoir d’Ambaſſadeur fidelle, Que vefere rrrute fee tiunn e nomennque i'ay d'elle, S’aſſure que mes ſoins ameinent à la Cour, Celté dont la peinture à fait naiſtre l'Amour,	En faisant le devoir d'Ambassadeur fidèle, Que veférer rute fée tiunn que j'ai d'elle, S'assure que mes soins âmeinent à la Cour, Celé dont la peinture à fait naître l'Amour,
LE ROY.	LE ROY.
Argante retourné ſçaura ce que ie penſe.	Argante retourné saura ce que Dieu pense.
ARGANTE.	ARGANTE.
Le bien de vous ſeruir m'eſt trop de recompenſe.	Le bien de vous servir m'est trop de récompense.
SCENE SIXIESME.	SCÈNE SIXIÈME.
CAARINE NLARE,	CARINE NLARE,
CLARINE.	CLARINE.
Adame il faut partir, le carroſſe eſt venu.	Adame il faut partir, le carrosse est venu.
NEREF.	NEREF.
Sans ouurir la feneſtre, à quoy l’as-tu connu?	Sans ouvrir la fenêtre, à quoi l'as-tu connu?
LARINE.	LARINE.
OyeZ que le cocher, pratiquant ſa ſcience, Fait preuue à coups de foüet de ſon impatience, Craignons de le faſcher, ces gueux jomuireguns.	Oyez que le cocher, pratiquant sa science, Fait prévue à coups de fouet de son impatience, Craignons de le fâcher, ces gueux jomuireguns.
EREP.	ERÉP.
Ca ma coiffe, mon maſque, vn mouchoir, & des gans.	Ça ma coiffe, mon masque, un mouchoir, et des gans.
SCENE SEPTIESME.	SCÈNE SEPTIÈME.
CLRONTE, ARSIDOR,	CLRONTE, ARSIDOR,
CLEONTE.	CLÉONTE.
E coniure Arſidor, voſtre amitié diſcrette, IDés que vous aurez veu, de faire la retraite, Et ne pas publier par vn martel ialoux, Ce qui n'eſt apperceu que des Dieux e de vons,	E conjure Arsidor, votre amitié discrette, IDez que vous aurez vu, de faire la retraite, Et ne pas publier par un martel jaloux, Ce qui n'est aperçu que des Dieux de vons,
ARSIDOR.	ARSIDOR.
Que cette crainte ceſſe, & ne vous importune;	Que cette crainte cesse, et ne vous importune;
SuiueZ à cela prés voſtre bonne fortune, mur jarensanllea, iuus raua dellre mi joy Qu'Amour vous y ſuiuant, ſortira de chez moy.	Suivez à cela prés votre bonne fortune, mur jarentsanllea, jusqu' a dellre mi joi Qu'Amour vous y suivant, sortira de chez moi.
CLEONTE.	CLÉONTE.
Arreſtez-vous icy que ie heurté à la porte, Ouurãt l’œil & le cœurpuis qu'il faut qu'Amourſorte.	Arrêtez-vous ici que ici heurté à la porte, Ouvrant l'œil et le cœurpuis qu'il faut qu'Amours.
ARSIDOR.	ARSIDOR.
Helas tout reüßit & ſuccede à ſon gré, Chaque fois que ſes pas s’aduancent d’vn degré, Mon eſpoir ſe recule, & ma crainte s’augmente, Et mes yeux ébahis ne iugent plus qu’il mente.	Hélas tout réussit et succède à son gré, Chaque fois que ses pas s'avancent d'un degré, Mon espoir se recule, et ma crainte s'augmente, Et mes yeux ébahis ne jugent plus qu'il mente.
O Dieux de quel ſupplice agitez vous mes ſens!	Ô Dieux de quel supplice agitez -vous mes sens!
S’en eſt fait, ie ſuis mort, il monte & ie deſcends;	S'en est fait, ie suis mort, il monte et tu descends;
Chaque moment icy me deuient touſiours pire, Il commence à toußir, afin que ie jonjpue, Et prest de ſe paſmer dans les bras du vainqueur, En grattant cette porte il m'eſcorche le cœur;	Chaque moment ici me devient toujours pire, Il commence à toussir, afin que ie jonjépue, Et prêt de se pâmer dans les bras du vainqueur, En grattant cette porte il m'écorche le cœur;
Toutesfois il reuient auec mon eſperance.	Toutefois il revient auec mon espérance.
CLEONTE.	CLÉONTE.
Ma belle dans ſon lict ſommeilloit d’aſſeurance.	Ma belle dans son lit sommeillait d'assurance.
D 11i Mais le bruit des rideaux est venu m’aduertir, Que ie ſuis preſt d’entrer comme vous de ſortir;	D 11 Mais le bruit des rideaux est venu m'avertir, Que ie suis prêt d'entrer comme vous de sortir;
Ie m'en vay remonter, qu'elle n’y ſoit premiere:	Je m'en vais remonter, qu'elle n'y soit première:
Mais retournez encor cinq ou ſix pas arriere, De peur que les flambeaux, quand on viendra m'oueirl s N'eſclairent mon peché, vous faiſant découurir.	Mais retournez encor cinq ou six pas arrière, De peur que les flambeaux, quand on viendra m'ouirl s 'éclairent mon péché, vous faisant découvrir.
ARSIDOR.	ARSIDOR.
O Dieux!	Ô Dieux!
il eſt entré, la porte ſe referme, Si ie ſouffre cela, ſuis-ie inſenſible ou ferme?	il est entré, la porte se referme, Si ici souffre cela, suis-je insensible ou ferme?
Suiuant le mouuement d’vn esprit furieux, Vangeons à coups de pied le desplaiſir des yeux Enfonçons cette porte, & poignardant Cleonte, Faiſons rougir l’ingrate, & de ſang & de honte, Mais le respect des lieux, & ma promeſſe außi, En m'attachant les mains medefendent cecy, Cleonte eſt innocent, les loix de la Nature Permettent de chercher vne bonne auanture, Tout homme genereux ne la doit refuſer:	Suivant le mouvement d'Hommes esprit furieux, Vengeons à coups de pied le déplaisir des yeux Enfonçons cette porte, et poignardant Cléonte, Faisons rougir l'ingrate, et de sang et de honte, Mais le respect des lieux, et ma promesse aussi, En m'attachant les mains medefendent ceci, Cléonte est innocent, les lois de la Nature Permettent de chercher une bonne aventure, Tout homme généreux ne la doit refuser:
Mais i’entends quelque bruit;	Mais j'entends quelque bruit;
c'eſt celuy d’vn baiſers Obſerues-tu la foy que tu m’auois iuree?	c'est celui d'un baisers Observes-tu la foi que tu m'avais jure?
Non, ma raiſon a tort de ſe plaindre en ce point, Ta ne pouuois tenir ce que tu n'auois point.	Non, ma raison a tort de se plaindre en ce point, Ta ne pouvais tenir ce que tu n'avais point.
Penſers, mais bien bourreaux, ſortez de ma memoire:	Pensers, mais bien bourreaux, sortez de ma mémoire:
Que ces perfides yeux, de qui la couleur noire Me marquoit mon deſaſtre, & ſa meſchanceté, Ont vn éclat modeſte en leur lubricité:	Que ces perfides yeux, de qui la couleur noire Me marquait mon désastre, et sa méchanceté, Ont un éclat modeste en leur lubricité:
Qui ne ſe tromperoit alors qu’on les approche?	Qui ne se tromperait alors qu'on les approche?
Mais ſans heurter deux fois en vne meſme Roche, Ie fais vœu deſormau, afin de te punir, De me priuer de vie, ou de ton ſouuenir, Et coniure le Ciel de chaſtier tes ruſes, Et qu’au bout de neuf mois, toy meſme tu t’accuſes.	Mais sans heurter deux fois en une même Roche, Je fais vœu désormau, afin de te punir, De me priver de vie, ou de ton souvenir, Et conjure le Ciel de châtier tes ruses, Et qu'au bout de neuf mois, toi -même tu t'accuses.
SCENE HVICTIESME.	SCÈNE HVICTIESME.
CLEONTE.	CLÉONTE.
Nuict, obſeure nuict, fauorable aux trom7 peurs, Double bien ton manteau de ces noires vapeurs, Qui deſrobent aux yeux la lumiere & la ioye, Afin de m’en couurir, ſans que pas vn me voye.	Nuit, obsure nuit, favorable aux trom7 peurs, Double bien ton manteau de ces noires vapeurs, Qui dérobent aux yeux la lumière et la joie, Afin de m'en couvrir, sans que pas un me voie.
Taciturne Silence, & Sommeil plein d’appas, Preſtez moy vos pauots à mettre ſous mes pas, Et ſi quelqu'vn me voit trauerſer ce lieu ſombre,	Taciturne Silence, et Sommeil plein d'appas, Prestez moi vos paulots à mettre sous mes pas, Et si quelqu'un me voit traverser ce lieu sombre,
Qu'il iuge par la peur que mon corps n'eſt qu’vne ombre.	Qu'il juge par la peur que mon corps n'est qu'une ombre.
