TRAGEDIE ORNEE DE MACHINES, & de Muſique.	TRAGÉDIE ORNÉE DE MACHINES, et de Musique.
La Fortune, je le confeſſe, A ſujet de ſe chagriner.	La Fortune, je le confesse, A sujet de se chagriner.
Elle eſt d’un Sexe à voir avec quelque triſteſſe, Que ſes Adorateurs l’oſent abandonner;	Elle est d'un Sexe à voir avec quelque tristesse, Que ses Adorateurs l'osent abandonner;
Mais qu'elle ſe faſſe juſtice, Ses bienfaits ſont ſouvent ſuivis de trahiſon, Elle ne fait jamais de bien que par caprice, Et le Dieu des François n'en fait que par raiſon, Il récompenſe le mérite, Sans meſme qu'on l’en ſollicite, Et pour ſe rétablir, la Forrune aujourd’huy 13 On oublira ſon inconſtance, Et par un ſurprenant effet On lu y croira de la prudence, Et c’eſt ce qu’on n'a jamais fait.	Mais qu'elle se fasse justice, Ses bienfaits sont souvent suivis de trahison, Elle ne fait jamais de bien que par caprice, Et le Dieu des Français n'en fait que par raison, Il récompense le mérite, Sans même qu'on l'en sollicite, Et pour se rétablir, la Forrune aujourd'hui 13 On oublira son inconstance, Et par un surprenant effet On lu y croira de la prudence, Et c'est ce qu'on n'a jamais fait.
A LA RENOMMEE.	À LA RENOMME.
Pour vous répondre auſſi, Déeſſe, Le travail eſt pénible à remplir voſtre employ;	Pour vous répondre aussi, Déesse, Le travail est pénible à remplir votre emploi;
Mais le charme qu’on trouve à parler d’unGrand Roy, (3	Mais le charme qu'on trouve à parler d'unGrand Roi, (3
Ne demande-t-il pas qu'on en parle ſans ceſſe?	Ne demande-t-il pas qu'on en parle sans cesse?
Depuis que par l’ordre des Cieux Vous publiez les merveilles Et des Hommes & des Dieux, En avez-vous jamais raconté de pareilles, Ny de qui le recit vous fût ſi glorieux?	Depuis que par l'ordre des Cieux Vous publiez les merveilles Et des Hommes et des Dieux, En avez-vous jamais raconté de pareilles, Ni de qui le récit vous fut si glorieux?
Quant aux Demy-Héros qui prennent pourofence Que de leurs noms obſcurs vous fafſiez peu d’état, A quoy bon vous charger d’actions ſans éclat, Dont jamais l’Avenir ne prendra connoiſſance?	Quant aux Demi-Héros qui prennent pourofense Que de leurs noms obscurs vous fassiez peu d'état, À quoi bon vous charger d'actions sans éclat, Dont jamais l'Avenir ne prendra connaissance?
Malgré le vain orgueil dont ils ſont éblouis, Laiſſez-les dans la pouſſiere, Et donnez-vous toute entiere A publier des Exploits inouis;	Malgré le vain orgueil dont ils sont éblouis, Laissez-les dans la poussière, Et donnez-vous toute entière A publier des Exploits inouïs;
Dites plus que jamais cent Héros n’ont pû faire, Vous n’aurez qu’à nommer LOUIS, Et dans tout l’Vnivers on vous croira ſincére.	Dites plus que jamais cent Héros n'ont pu faire, Vous n'aurez qu'à nommer LOUIS, Et dans tout l'Univers on vous croira sincère.
8 1e	8 1e
A LAMOUR.	À LAMOUR.
Vous ſoufrez, je le connois bien, I'entre dans voſtre inquiétude;	Vous souffrez, je le connais bien, J'entre dans votre inquiétude;
Demeurer ſans pouvoir, eſt un deſtin bien rude, Et l’Amour eſt à plaindre alors qu’il ne fait rien;	Demeurer sans pouvoir, est un destin bien rude, Et l'Amour est à plaindre alors qu'il ne fait rien;
Mais venez voir LOUIS, & tâchez de luy plaire, Attachez-vous à le conſidérer, A voir ſa gloire, à l'admirer, Et vous aurez aſſez à faire.	Mais venez voir LOUIS, et tâchez de lui plaire, Attachez-vous à le considérer, À voir sa gloire, à l'admirer, Et vous aurez assez à faire.
L’AMOUR.	L'AMOUR.
Ie veux ſuivre voſtre conſeil.	Je veux suivre votre conseil.
LA FORTUNE.	LA FORTUNE.
Chacun doit déférer aux avis de la Gloire.	Chacun doit déférer aux avis de la Gloire.
DIT RETTOMMEE.	DIT RETTOMME.
Ainſy que vous je la veux croire.	Aini que vous je la veux croire.
MARS.	MARS.
Voyons auparavant ce Temple ſans pareil.	Voyons auparavant ce Temple sans pareil.
LA GLOIRE.	LA GLOIRE.
Vous pouvez l’admirer enſemble, Il mérite bien vos regards;	Vous pouvez l'admirer ensemble, Il mérite bien vos regards;
Mais il faut qu'en ce lieu j aſſemble Les Plaiſirs & les plus beaux Arts, Par mon ordre ils s’en vont paroiſtre, Et par leurs Chanſons & leurs Jeux Marquer au plus Grãd Roy que le Ciel ait fait naiſtre, Ce qu'ils doivent au ſoin qu'il daigne prendre d’eux-	Mais il faut qu'en ce lieu j assemble Les Plaisirs et les plus beaux Arts, Par mon ordre ils s'en vont paraître, Et par leurs Chansons et leurs Jeux Marquer au plus Grand Roi que le Ciel ait fait naître, Ce qu'ils doivent au soin qu'il daigne prendre d'eux-la
Dans le temps que Mars & les autres Divinitez qui ont paru dans le Prologue, s’avancent dans le Temple pour en mieux examiner les beautez, la Muſique ſort d’un des coſtez du Théatre, avec un Livre de Tablature à la main;	Dans le temps que Mars et les autres Divinités qui ont paru dans le Prologue, s'avancent dans le Temple pour en mieux examiner les beautés, la Musique sort d'un des côtés du Théâtre, avec un Livre de Tablature à la main;
Elle eſt ſuivie des Arts, tant Libéraux que Mécaniques, qui ſont l’Agriculture, avec un Habit couvert d’Epys d’or, & tenant une Beſche;	Elle est suivie des Arts, tant Libéraux que Mécaniques, qui sont l'Agriculture, avec un Habit couvert d'Epys d'or, et tenant une Besche;
la Navigation, veſtue d’un Tafetas de la Chine, à la maniere des Matelots;	la Navigation, vêtue d'un Tafetas de la Chine, à la manière des Matelots;
l'Orfévrie, chargée de Chaînes d’or & de Pierreries;	l'Orfévrie, chargée de Chaînes d'or et de Pierreries;
la Peinture, tenant une Palete & un Pinceau;	la Peinture, tenant une Palete et un Pinceau;
la Guerre, une Epée;	la Guerre, une Épée;
la Geometrie, un Compas;	la Geométrie, un Compas;
l’Aſtrologie, un Globe;	L'Astrologie, un Globe;
& la Sculpture, un Ciſeau.	et la Sculpture, un Ciseau.
La Comédie paroiſt de l’autre coſte, tenant un Maſque, & accompagnée des Plaiſirs.	La Comédie paraît de l'autre côte, tenant un Masque, et accompagnée des Plaisirs.
La Chaſſe, qu'on met enſemble au nombre des Plaiſirs & des Arts, ſe fait voir la premiere veſtue de verd & tenant un Dard.	La Chasse, qu'on met ensemble au nombre des Plaisirs et des Arts, se fait voir la première vue de verd et tenant un Dard.
La Maſcarade la ſuit bizarement habillée, avec un Cornet à la main.	La Mascarade la suit bizarement habillée, avec un Cornet à la main.
On voit en ſuite la Peſche qui tient une Ligne;	On voit en suite la Pêche qui tient une Ligne;
la Paume, une Raquette;	la Paume, une Raquette;
le leu, des Cartes;	le lev, des Cartes;
la Bonne-chere, un Flacon d’or;	la Bonne-chère, un Flacon d'or;
& la Danſe, une Poche Apres avoir par quelques figures, & par leurs diférentes actions, donne des marques de ce qu’ils repreſentent, la Comédie & la Muſique chantent enſemble le Dialogue ſuivant.	et la Danse, une Poche Après avoir par quelques figures, et par leurs diférentes actions, donne des marques de ce qu'ils représentent, la Comédie et la Musique chantent ensemble le Dialogue suivant.
DIALOGVE DE LA MVSIQVE ET DE LA COMEDIE.	DIALOGUE DE LA MUSIQUE ET DE LA COMÉDIE.
LA COMEDIE.	LA COMÉDIE.
Our divertir LOUIS, uniſſons-nous enſemble, L Il eſt le plus grand des Mortels;	Our divertir LOUIS, unissons-nous ensemble, Il est le plus grand des Mortels;
Et quand pour luy la Gloire éleve des Autels, Il faut que la Muſique aſſemble Ce que ſes tons les plus charmans Peuvent à mon Théatre adjoüter d’ornemens.	Et quand pour lui la Gloire élève des Autels, Il faut que la Musique assemble Ce que ses tons les plus charmants Peuvent à mon Théatre ajouter d'ornements.
LA MUSIQUE.	LA MUSIQUE.
DSvMmee, da Mirauacaire.	DSvMée, da Miravacaire.
Voit ſi ſouvent tes charmes éclater, aimerois aſſez à chanter;	Voit si souvent tes charmes éclater, aimerais assez à chanter;
Mais j’ay ſi peu de voix, qu’on ne m’entend qu’à peine.	Mais j'ai si peu de voix, qu'on ne m'entend qu'à peine.
CEUX DES COMEDIENS qui repreſentent une partie des ARTS & des PLAISIRS.	CEUX DES COMÉDIENS qui représentent une partie des ARTS et des PLAISIRS.
Si tu nous veux ſoufrir, nous pourons t’en preſter.	Si tu nous veux soufrir, nous pourrons t'en prêter.
LA COMEDIE & LA MUSIQUE enſemble.	LA COMÉDIE et LA MUSIQUE ensemble.
Uniſſons-nous pour celebrer la gloire Dont brille l' Auguſte LOUIS.	Unissons-nous pour célébrer la gloire Dont brille l' Auguste LOUIS.
De ſon éclat par tout tes Peuples ébloüis Conſacrent ſon grand Nom au Temple de Mémoire.	De son éclat par tout tes Peuples ébloüis Consacrent son grand Nom au Temple de Mémoire.
LA COMEDIE & LA MUSIQUE enſemble.	LA COMÉDIE et LA MUSIQUE ensemble.
Vniſſons nous pour celébrer ſa gloire.	Unissons nous pour celébrer sa gloire.
Tous enſemble.	Tous ensemble.
acuiavois vo greslo denn conrne cinley Iamais Exploits ſi fameux Ne firent parler l’Hiſtoire.	acviavais vo greslo denn conrne cinlei Iamais Exploits si fameux Ne firent parler l'Histoire.
LA COMEDIE & LA MUSI( AveC UN DES ARIS.	LA COMÉDIE et LA MUZYG AveC UN DES ARIS.
Ils ſont tels, que nos Neveux Refuſeront de les crotre.	Ils sont tels, que nos Neveux Refuseront de les crotre.
VE,	VE,
Tous enſemble.	Tous ensemble.
Chantons, uniſſons-nous pour celébrer ſa gloire.	Chantons, unissons-nous pour celébrer sa gloire.
LA MUSIQUE ſeule.	LA MUSIQUE seule.
Sur des Exploits moins glorieux On a placé parmy les Dieux Les Héros dont le Nom fut grand & redoutable.	Sur des Exploits moins glorieux On a placé parmi les Dieux Les Héros dont le Nom fut grand et redoutable.
LOUIS a droit plus qu’eux à l’Immortalité;	LOUIS a droit plus qu'eux à l'Imortalité;
LOUIS qui tous les jours fait une Uerité Dees catlis proulzes ide la laule.	LOUIS qui tous les jours fait une Uérité Des catlis proulzes ide la laule.
LA COMEDIE ET LA MUSIQUE.	LA COMÉDIE ET LA MUSIQUE.
Ses Ennemis, de ſes Armes frapez, Soni u oumter fon nvom eux emeſmes occupez, Luy voyant entaſſer Victoire ſur Victoire.	Ses Ennemis, de ses Armes frappés, Soni ouv oumer son nvom eux emmes occupez, Luy voyant entasser Victoire sur Victoire.
Tous enſemble.	Tous ensemble.
Y antons ce grana Nom comme eux, Iamais Exploits ſi fameux Ne firent parler l’Hiſtoire.	Y Y ce grana Nom comme eux, Jamais Exploits si fameux Ne firent parler l'Histoire.
LA COMEDIE ET LA MUSIQUE, avec UN DES ARTS.	LA COMÉDIE ET LA MUSIQUE, avec UN DES ARTS.
Ils ſont tels, que nos Neveux Refuſeront de tes troire.	Ils sont tels, que nos Neveux Refuseront de tes troire.
Tous enſemble.	Tous ensemble.
Chantons, uniſſons-nous pour celébrer ſa gloire.	Chantons, unissons-nous pour celébrer sa gloire.
{ICLI I	{ICLI I
E Théatre du Prologue fait place à une Décoratron moms réguliere, mais qui dans ſon irrégularité ne laiſſe pas d’avoir des beautez qui plaiſent également à la veuë Elle repreſente une Plaine, où diverſes Ruines marquent les reſtes de quelques Palais démolis, & le tout dans une ſi agreable varietè, qu’elle n’a aucune partie qui ne faſſe paroiſtre quelque choſe de diférent.	E Théâtre du Prologue fait place à une Décoratron temps réguliere, mais qui dans son irrégularité ne laisse pas d'avoir des beautés qui plaisent également à la vue Elle représente une Plaine, où diverses Ruines marquent les restes de quelques Palais démolis, et le tout dans une si agréable variété, qu'elle n'a aucune partie qui ne fasse paraître quelque chose de dierent.
Au bout de cette Plaine, on découvre une Montagne d’une grandeur prodigieuſe.	Au bout de cette Plaine, on découvre une Montagne d'une grandeur prodigieuse.
Elle eſt fertile dans le bas en Plantes & Fleurs bâtardes;	Elle est fertile dans le bas en Plantes et Fleurs bâtardes;
& à meſure qu’elle s’éleve, elle devient aride, formant des Rochers peu remplis de verdure, & entrecoupez de chemins.	et à mesure qu'elle s'élève, elle devient aride, formant des Rochers peu remplis de verdure, et entrecoupez de chemins.
Le ſommet laiſſe voir un Palais ruiné & deſert, avec un grand Horiſon tout autour, en ſorte que la Montagne eſt iſolée, & paroiſt naturelle aux yeux.	Le sommet laisse voir un Palais ruiné et désert, avec un grand Horison tout autour, en sorte que la Montagne est isolée, et paraît naturelle aux yeux.
C’eſt dans cette Plaine que Glaucus s’entretenant avec Palémon de la paſſion qu’il a pour Sylla, luy en découvre la délicateſſe, qui l’engage à vouloir eſtre aimé par luy-meſme, & ne devoir le cœur de ſa Maiſtreſſe qu’à la force de ſon amour.	C'est dans cette Plaine que Glaucus s'entretenant avec Palémon de la passion qu'il a pour Sylla, lui en découvre la délicatesse, qui l'engage à vouloir avoir aimé par lui-même, et ne devoir le cœur de sa Maîtresse qu'à la force de son amour.
Palémon luy conſeille en vain de ſe faire connoiſtre pour un Dieu, afin que le rang qu’il tient parmy ceux de la Mer, luy ſerve à vaincre les froideurs de Sylla.	Palémon lui conseille en vain de se faire connaître pour un Dieu, afin que le rang qu'il tient parmi ceux de la Mer, lui serve à vaincre les froideurs de Syllà.
Il s’obſtine à conſerver le nom de Prince de Thrace.	Il s'obstine à conserver le nom de Prince de Thrace.
fous lequel il a eſté d’abord connu d’elle, & apprend avec ſurpriſe des Nymphes qui ſont dans ſa confidence, la réſolution qu’elle a priſe d’aller trouver Circé dans ſon Palais, pour ſçavoir la cauſe de la retraite de Mélicerte, qui avoit diſparu depuis quelques jours.	fous lequel il a été d'abord connu d'elle, et apprend avec surprise des Nymphes qui sont dans sa confidence, la résolution qu'elle a prise d'aller trouver Circé dans son Palais, pour savoir la cause de la retraite de Mélicerte, qui avait disparu depuis quelques jours.
Ce Prince fortement aimé de Sylla, la rendoit inſenſible pour Glaucus, qui tâche inutilement de luy faire un crime de la précipitation de ſon départ dont elle ignore les raiſons:	Ce Prince fortement aimé de Sylla, la rendait insensible pour Glaucus, qui tâche inutilement de Seigneur faire un crime de la précipitation de son départ dont elle ignore les raisons:
Il n’en obtient que de nouveaux mépris, & la ſuivant apres qu’elle s’eſt laſſée de l’entendre, il fait place aux Nymphes de Circé, qui en attendant leur Maiſtreſſe qui cüeille quelques herbes ſur la Montagne pour des Enchantemens qu’elle prépare, témoignent la crainte qu’elles ont qu’ils ne ſoient employez contre Melicerte que Circé avoit enlevé, & pour qui elle avoit pris de l’amour, par la force de ce panchant qui luy faiſoit mettre ſa gloire dans le nombre de ſes Conqueſtes.	Il n'en obtient que de nouveaux mépris, et la suivant après qu'elle s'est lassée de l'entendre, il fait place aux Nymphes de Circé, qui en attendant leur Maîtresse qui cueille quelques herbes sur la Montagne pour des Enchantements qu'elle prépare, témoignent la crainte qu'elles ont qu'ils ne soient employés contre Mélicerte que Circé avait enlevé, et pour qui elle avait pris de l'amour, par la force de ce penchant qui lui faisait mettre sa gloire dans le nombre de ses Conquêtes.
Ces Nymphes ſont ſurpriſes par trois Satyres qu’elles écoutent pour ſe divertir, ſe tenant aſſurées du ſecours de Circé, s’ils oſent venir à la violence.	Ces Nymphes sont surprises par trois Satyres qu'elles écoutent pour se divertir, se tenant assurées du secours de Circé, s'ils osent venir à la violence.
Ils acceptent le party qu’elles leur propoſent, que celuy des trois qui chantera le mieux, choiſira celle qui luy plaira davantage.	Ils acceptent le parti qu'elles leur proposent, que celui des trois qui chantera le mieux, choisira celle qui avait plaira davantage.
CHANSON DU PREMIER SATYRE.	CHANSON DU PREMIER SATYRE.
Eux beaux yeux me charment, Leurs traits me deſarment;	Eux beaux yeux me charment, Leurs traits me désarment;
Mais s’ils ne ſont doux, Nargue de leurs coups.	Mais s'ils ne sont doux, Nargue de leurs coups.
I’aime une Maiſtreſſe Qui me tend les bras;	J'aime une Maîtresse Qui me tend les bras;
Fy de la rudeſſe;	Fi de la rudesse;
Avec mille appas La Beauté Tygreſſe Ne me plairoit pas.	Avec mille appas La Beauté Tigresse Ne me plaierait pas.
CHANSON DU SECOND SATYRE.	CHANSON DU SECOND SATYRE.
VN jour la jeune Lyſette V Couchée à lembre o metu, Diſoit d’une triſte voix, Helas!	UN jour la jeune Lysette V Couchée à lembre ô metu, Disait d'une triste voix, Hélas!
helas!	hélas!
faut-il reſver ſeulete, Et ne pourroit-on quelquefois Se trouver deux à rire ſur l’herbete?	faut-il rêver seule, Et ne pourrait-on quelquefois Se trouver deux à rire sur l'herbete?
Vn Berger ſurvint, Qui luy tint Bonne & douce compagnie.	Un Berger survint, Qui Seigneur tint Bonne et douce compagnie.
Sur la rencontre au Bois, dés qu’on en eut le vent.	Sur la rencontre au Bois, dès qu'on en eut le vent.
16.	16.
On fit jazer la Calomnie, Qui mit cent contes en avant;	On fit jaser la Calomnie, Qui mit cent contes en avant;
Mais Lyſette laiſſa médire, Le Berger l’avoit fait rire, Elle y retourna ſouvent.	Mais Lysette laissa médire, Le Berger l'avait fait rire, Elle y retourna souvent.
Dans l’inſtant que le troiſiéme Satyre s’appreſte à chanter, deux autres Satyres ſurviennent, qui voulant partager le bonheur de la rencontre, forment une conteſtation qui ſe termine par l’arrivée de Circé deſcenduë de la Montagne.	Dans l'instant que le troisième Satire s'apprête à chanter, deux autres Satyres surviennent, qui voulant partager le bonheur de la rencontre, forment une contestation qui se termine par l'arrivée de Circé descendue de la Montagne.
Ils quittent les Nymphes ſi-toſt qu’ils l’aperçoivent;	Ils quittent les Nymphes sitôt qu'ils l'aperçoivent;
& pour les punir de leur inſolence, elle commande à cinq Eſprits de les emporter.	et pour les punir de leur insolence, elle commande à cinq Esprits de les emporter.
Ce Vol de dix Perſonnes qui s’enlevent des quatre coins & du milieu du Theatre, fait un effet auſſi ſurprenant qu’agreable, & donne lieu à Glaucus qui a veu de loni la prompeitute de cette vangeance, d’en venir congratuler Circé, qu’il reconnoiſt par cette grande marque pour eſtre la Fille du Soleil.	Ce Vol de dix Personnes qui s'enlèvent des quatre coins et du milieu du Théantre, fait un effet aussi surprenant qu'agréable, et donne lieu à Glaucus qui a vu de loni la prompeitute de cette vengeance, d'en venir congratuler Circé, qu'il reconnaît par cette grande marque pour être la Fille du Soleil.
Les Plaintes qu’il luy fait de l’injuſtice de Sylla, luy découvrent qu’il eſt ce meſme Prince de Thrace dont Mélicerte l’avoit entretenuë comme d’un Rival à qui il a cede toutes ſes pretentions.	Les Plaintes qu'il avait fait de l'injustice de Scylla, Seigneur découvrent qu'il est ce même Prince de Thrace dont Mélicerte l'avait entretenue comme d'un Rival à qui il a cède toutes ses prétentions.
Elle ſe ſent touchée d’amour pour luy;	Elle se sent touchée d'amour pour lui;
& luy promettant de le rendre heureux par ſes Charmes, ſans luy expliquer ſi c’eſt en l’aimant, ou en le faiſant aimer de Sylla, elle l’oblige à prendre place dans ſon Char qui deſcend de l’Air, trainé par des Dragons, & qui les emporte l’un & l’autre dans ſon Palais.	et même promettant de le rendre heureux par ses Charmes, sans lui expliquer si c'est en l'aimant, ou en le faisant aimer de Sylla, elle l'oblige à prendre place dans son Char qui descend de l'Air, trainé par des Dragons, et qui les emporte l'un et l'autre dans son Palais.
CICEM II	CICEM II
Art & la Nature ont également part à ce qui fait la Décoration de cet Acte.	Art et la Nature ont également part à ce qui fait la Décoration de cet Acte.
Cette grande Montagne qui a paru dans le premier, s’abiſme d’une maniere auſſi ſurprenante qu’elle s’eſtoit élevée, & laiſſe paroiſtre en ſa place, un lardin remply de Berceaux, de Fontaines, de Plantes, de Fleurs, & de Vaſes, ſur leſquels ſont des Enfans montez ſur des Cygnes qui jettenc deTeau.	Cette grande Montagne qui a paru dans le premier, s'abîme d'une manière aussi surprenante qu'elle s'était élevée, et laisse paraître en sa place, un lardin rempli de Berceaux, de Fontaines, de Plantes, de Fleurs, et de Vases, sur lesquels sont des Enfants montez sur des Cygnes qui jettenc deTeau.
Onyvoit encor d’autres Vaſes de porcelaine, de terre cizelée, & de marbre blanc.	Onyvait encor d'autres Vases de porcelaine, de terre cizelée, et de marbre blanc.
Les ornemens en ſont d’or, & ces Vaſes ſont remplis d’Orangers, d’Arbres fruitiers, & de Fleurs naturelles.	Les ornements en sont d'or, et ces Vases sont remplis d'Orangers, d'Arbres fruitiers, et de Fleurs naturelles.
Apres quelques Scenes d’enjoüement entre Palémon & les Nymphes de Circé, Circé paroiſt ellemeſme dans ce lardin, & découvre à Dorine ſa Confidente, le dèplaiſir où elle eſt d’avoir eſſayé quelques Charmes pour ſe faire aimer de Glaucus, qu’elle ne connoiſt que comme Prince de Thrace, ſans qu’ils ayent produit ſur luy le meſme effet qu’ils ont produit ſur Mélicerte, à qui elle n’a eu beſoin que de ſe faire voir pour luy faire oublier Sylla.	Après quelques Scène d'enjoinement entre Palémon et les Nymphes de Circé, Circé paraît ellemesme dans ce lardin, et découvre à Dorine sa Confidente, le dèsplaisir où elle est d'avoir essayé quelques Charmes pour se faire aimer de Glaucus, qu'elle ne connaît que comme Prince de Thrace, sans qu'ils aient produit sur lui le même effet qu'ils ont produit sur Mélicerte, à qui elle n'a eu besoin que de se faire voir pour lui faire oublier Syma.
Mélicerte, que ſon abſence du Palais avoit alarmé, luy vient témoigner la joye qu’il a de ſon retour, & en eſt reçeu avec une froideur qui luy fait connoiſtre le changement qui eſt arrivé dans la paſſion qu’elle avoit pour luy.	Mélicerte, que son absence du Palais avait alarmé, Seigneur vient témoigner la joie qu'il a de son retour, et en est reçu avec une froideur qui lui fait connaître le changement qui est arrivé dans la passion qu'elle avait pour donner.
Il eſt obligé de la quitter ſans qu’elle s’en ſoit expliquée;	Il est obligé de la quitter sans qu'elle s'en soit expliquée;
& apres avoir aſſuré Dorine qu’elle ne ſonge plus à s’acquerir le cœur de Glaucus, qu’aſin de ſe vanger du mépris qu’il ſemble faire de ſon amour, elle voit arriver ce Dieu qui luy eſt toüjours inconnu;	et après avoir assuré Dorine qu'elle ne songe plus à s'acquérir le cœur de Glaucus, qu'asin de se venger du mépris qu'il semble faire de son amour, elle voit arriver ce Dieu qui tu est toujours inconnu;
& pour luy donner un eſſay de ſon pouvoir ſur tous les divertiſſemens qui le pourroient empeſcher de s’ennuyer dans ſon Palais, elle fait naiſtre tout-à-coup unBerceau, ſoûtenu par des Statuës de bronze qui le forment, & en ſont comme les ſupoſts.	et pour lui donner un essai de son pouvoir sur tous les divertissements qui le pourraient empêcher de s'ennuyer dans son Palais, elle fait naître tout-à-coup unBerceau, soutenu par des Statues de bronze qui le forment, et en sont comme les supôts.
Il eſt embelly d’un Baſſin, avec un Iet d’eau, & environné de pluſieurs Grenoüilles, ſur leſquelles il y a de petits Enfans aſſis.	Il est embelli d'un Bassin, avec un Jet d'eau, et environné de plusieurs Grenouilles, sur lesquelles il y a de petits Enfants assis.
Glaucus averty que Sylla ſe doit rendre aupres de Circé, par l’impatience qu’elle a de ſçavoir ce qu’eſt devenu Mélicerte, répond à cette ſçavante Magicienne, qu’un ſeur biemele cupabie de ſatisfaire tous ſes deſirs;	Glaucus averti que Sylla se doit rendre auprès de Circé, par l'impatience qu'elle a de savoir ce qu'est devenu Mélicerte, répond à cette savante Magicienne, qu'un seur biemele cupabie de satisfaire tous ses désirs;
& l’aſſurant que tout ce qu’il eſpere dé pend d’elle, & qu’il peut vivre parfaitement heureux dans ſon Palais, il luy donne lieu de ne point douter que ſon Charme n’ait reüſſy, & que ce ne ſoit elle qui ſoit devenuë l’objet de ſa paſſion:	et l'assurant que tout ce qu'il espère dé pend d'elle, et qu'il peut vivre parfaitement heureux dans son Palais, il lui avait lieu de ne point douter que son Charme n'ait reüssy, et que ce ne soit elle qui soit devenue l'objet de sa passion:
mais quand en la priant de retenir Sylla, qu’il a ſçeu qui devoit arriver, il luy fait connoiſtre qu’il n’a point changé de ſentimens, Cir cé ſe trouble, & pour cacher ſon deſordre, ſe ſervant du prétexte de quelques Voix qu’elle eſt bien aiſe d’entendre, elle laiſſe chanter le Dialogue ſuivant.	mais quand en la priant de retenir Sylla, qu'il a su qui devait arriver, il avait fait connaître qu'il n'a point changé de sentiments, Cir cé se trouble, et pour cacher son désordre, se servant du prétexte de quelques Voix qu'elle est bien aise d'entendre, elle laisse chanter le Dialogue suivant.
DIALOGVE DE TYRCIS ET DE SYLVIE.	DIALOGUE DE -THRCIS ET DE SYLVIE.
TYRCIS.	TYRCIS.
DOurquoy me fuyez-vous, ô Beauté trop ſevere, T Quand d’un ſi tendre amour j’ay le cœur enflâmé?	DOurquoy me fuyez-vous, ô Beauté trop sévère, T Quand d'un si tendre amour j'ai le cœur enflammé?
SYLVIE.	SYLVIE.
Je fuis ce que je ſens qui commence à me plaire;	Je fuis ce que je sens qui commence à me plaire;
Si je vous écoutois, vous pourriez eſtre aimé.	Si je vous écoutais, vous pourriez être aimé.
TYRCIS.	TYRCIS.
Quoy, toûjours, aimable Inhumaine, Refuſer de m’entendre?	Quoi, toujours, aimable Inhumaine, Refuser de m'entendre?
Eh de grace, deux mots.	Eh de grâce, deux mots.
SYLVIE.	SYLVIE.
L’Amour cauſe de la peine.	L'Amour cause de la peine.
Et je veux vivre en repos.	Et je veux vivre en repos.
TYRCIS.	TYRCIS.
Eſt-il des Platſirs ſans tendreſſe?	Est-il des Platsirs sans tendresse?
SYLVIE.	SYLVIE.
Eſt-il de l’Amourſans chagrin?	Est-il de l'Amoursants chagrin?
TYRCIS.	TYRCIS.
Par l’Amour tout chagrin ceſſe.	Par l'Amour tout chagrin cesse.
SYLVIE.	SYLVIE.
Tous les Plaiſirs par l’Amour prennent fin	Tous les Plaisirs par l'Amour prennent fin
TYRCIS.	TYRCIS.
C’eſt une erreur;	C'est une erreur;
dans le bel âge, Il faut aimer pour vivre heureux.	dans le bel âge, Il faut aimer pour vivre heureux.
SYLVIE.	SYLVIE.
Ne me dites rien davantage.	Ne me dites rien davantage.
TYRCIS.	TYRCIS.
Soulagez les ennuis de mon cœur amoureux.	Soulagez les ennuis de mon cœur amoureux.
SYLVIE.	SYLVIE.
Que vous ſert que le mien ſoüpire?	Que vous sert que le mien soupire?
TYRCIS.	TYRCIS.
Ah Sylvie!	Ah Sylvie!
SYLVIE.	SYLVIE.
Ah Tyrcis!	Ah Tircis!
Tous deux enſemble.	Tous deux ensemble.
Vniſſons nos ſoûpirs.	Unissons nos soupirs.
Aimons-nous.	Aimons-nous.
TYRCIS.	TYRCIS.
YLVIE.	YLVIE.
Douce peine!	Douce peine!
TYRCIS.	TYRCIS.
Agreable martyre!	Agréable martyre!
SYLVIE.	SYLVIE.
Il fait tout mon bonheur.	Il fait tout mon bonheur.
TYRCIS.	TYRCIS.
Il fait tous mes deſirs.	Il fait tous mes désirs.
Tous deux enſemble.	Tous deux ensemble.
Pour goûter les plus doux Plaiſirs.	Pour goûter les plus doux Plaisirs.
Ne nous laſſons jamais de nous le dire;	Ne nous lassons jamais de nous le dire;
Aimons-nous;	Aimons-nous;
douce peine!	douce peine!
agreable mart yre!	agréable mart ire!
SYLVIE.	SYLVIE.
La liberte m'eſtoirun pien ſi doux!	La liberté m'étoirun pien si doux!
TYRCIS.	TYRCIS.
Vaut il ceux que l’Amour ofre dans ſon Empire?	Vaut -il ceux que l'Amour offre dans son Empire?
Je la pers, ç'en eſt fait.	Je la pers, ç'en est fait.
Y LVIE.	Y LVIE.
TTRCIS.	TTRCIS.
Vous en repentez-vous?	Vous en repentez-vous?
SYLVIE.	SYLVIE.
Ce n’eſt pas dequoy je ſoûpire.	Ce n'est pas dequoy je soupire.
Ah Sylvie!	Ah Sylvie!
TYRCIS.	TYRCIS.
SYLVIE.	SYLVIE.
Ah Tyrcis!	Ah Tircis!
Tous deux enſemble.	Tous deux ensemble.
Uniſſons nos ſoûpirs.	Unissons nos soupirs.
Aimons-nous.	Aimons-nous.
TYRCIS.	TYRCIS.
YLVIE.	YLVIE.
Douce peine!	Douce peine!
TYRCIS.	TYRCIS.
Agreable martyre!	Agréable martyre!
SYLVIE.	SYLVIE.
Il fait tout mon bonheur.	Il fait tout mon bonheur.
