CEQ ESTGONTENV AV PRESENT	CEQ ÉTGONTENV AU PRÉSENT
Que les eſprits ſortis des ondes Stygiales, Qui cernent de neuf tours les plaines infernales, Quittans la triſte horreur de ce profond manoir, Hument l’air inconneu dans leur royaume noir.	Que les esprits sortis des ondes Stygiales, Qui cernent de neuf tours les plaines infernales, Quittant la triste horreur de ce profond manoir, Hument l'air inconnu dans leur royaume noir.
Prince qui ſouſtenez ſur voſtre eſpaule large Le faix de la Cité, commandez que la charge Soit enjointe à quelqu’vn, & le ſacre commis, Car d’y venir vous meſme il ne vous eſt permis.	Prince qui soutenez sur votre épaule large Le faix de la Cité, commandez que la charge Soit enjointe à quelqu'un, et le sacre commis, Car d'y venir vous même il ne vous est permis.
Ed.	Ed.
C’eſt à toy mon Creon, frere de la Princeſſe, En l’abſence dn Roy que la charge s’adreſſe.	C'est à toi mon Creon, frère de la Princesse, En l'absence dn Roi que la charge s'adresse.
Ti.	Ti.
Tandis que nous irons voir les peuples ombreux, Les palles citoyens des Enfers tenebreux, Aſſemblez à lentour du ſang qu’ils viendront boire, Du bon Bacchus Thebain pouſſez au Ciel la gloire.	Tandis que nous irons voir les peuples ombreux, Les palles citoyens des Enfers ténébreux, Assemblés à lentour du sang qu'ils viendront boire, Du bon Bacchus Thebain poussés au Ciel la gloire.
CHŒVR.	CHŒUR.
Aiſſez vos cheueux eſpars LVoltiger de toutes parts, Et de lierre coiffées En ſoient vos temples couuerts, De feuilles de pampres verds Soient vos lances eſtofées.	Aissez vos cheveux épars LÉvoltiger de toutes parts, Et de lierre coiffées En soient vos temples couverts, De feuilles de pampres verts Soient vos lances estofées.
Armez vos mains de ſerpens	Armez vos mains de serpens
Deſſus vos thyrſes rampans, Pouſſez vos cris dont s’eſt nnent Et les champs & les valons, Que vos cornęts Mimallons, Bien loing dans les bois s’ontonneus.	Dessus vos thyrses rampants, Poussés vos cris dont s'est nènent Et les champs et les valons, Que vos cornts Mimallons, Bien loing dans les bois s'ontonnus.
Que le pierreux Citheron Et les monts d’alenuiron, Que les coupeaux de Parnaſſe, Que les foreſts & les champs Retentiſſent de vos chants, Loüans la Thebaine race.	Que le pierreux Cithéron Et les monts d'alenviron, Que les coupeaux de Parnasse, Que les forêts et les champs Retentissent de vos chants, Louvants la Thebaine race.
Eſcoute, ô pere, ô Denis, Loin de ta ville bannis La contagion meurtriere:	Écoute, ô père, ô Denis, Loin de ta ville bannis La contagion meurtrière:
Semele icy te conçeut:	Sème ici te conçut:
Icy Iupiter receut Ta natiuité premiere.	Ici Jupiter reçut Ta nativité première.
Monſtre ton front virginal, Que le courroux infernal, Quiſur nous vomit ſa rage, Et la rigueur du deſtin, Sous ton viſage enfantin Tournent ailleurs ieur orage.	Montre ton front virginal, Que le courroux infernal, Quis nous vomit sa rage, Et la rigueur du destin, Sous ton visage enfantin Tournent ailleurs jeur orage.
Raiſſe aller au gré des vents L’or de tes cheueux mouuants, Pare ton front d’vne mythre, Il faut de cent & cent fleurs Eſmaillée en cent couleurs Vne couronne te tiſtre.	Raisse aller au gré des vents L'or de tes cheveux mouvants, Pare ton front d'une mythre, Il faut de cent et cent fleurs Esmaillée en cent couleurs Une couronne te tître.
Ie voy Silene, & autour Les Satyres en maint tour Hochant leur teſtes cornuët, Danſer, folaſtrer, ſauter, Et dedans vn van portis res orgies ioconnues.	Je vois Silène, et autour Les Satyres en maint tour Hochant leur têtes cornuet, Danser, folâtrer, sauter, Et dedans un van portis rés orgies joconnues.
Les Edonides hurlant Du pied l’herbe vont foulant Ou de Pinde, ou de Pangee, Ou à Thebes de Penthé Ton myſtere inuſité Vange leur troupe eurager.	Les Edonides hurlant Du pied l'herbe vont foulant Ou de Pinde, ou de Pange, Ou à Thèbes de Penthé Ton mystère inusité Range leur troupe eurager.
Dans la mer ta tante Inon, Et ton couſin Palæmon Qui ſeruis des Nereides Entre les flots ont pouuoir, S’eſiouiſſent de te voir Suyui de tes Baſſarides.	Dans la mer ta tante Inon, Et ton cousin Palæmon Qui servis des Nereides Entre les flots ont pouvoir, S'esiouissent de te voir Sui de tes Bassarides.
Aux champs Phlegreans tu desfis Mimus & Gige deſconſits, Qui montoient faire au Ciel la guerre, Entaſſant Oſſe & Pelion, Et ſous la forme d’vn lion Tous deux les renuerſas parterre.	Aux champs Phlégreans tu défis Mimus et Gige desconsits, Qui montaient faire au Ciel la guerre, Entassant Osse et Pélion, Et sous la forme d'être lion Tous deux les renversas parterre.
Lycurgue ta force eſprouuQuand ta main les yeux luy creua, Et l’eſprouua bien Acryſie Qui t’auoit impie, outragé, O pere, & ſi tu t’es vangé Du meſchant ſoldat de Miſie.	Lycurgue ta force esprouuQuand ta main les yeux lui trouva, Et l'éprouva bien Acrysie Qui t'avait impie, outragé, Ô pere, et si tu es vangé Du méchant soldat de Misie.
Quand les auares Nautonniers Dedans leurs vaiſſeaux mariniers T’eurent enuolé pour te vendre, Ils veirent taſchans de ramer Le lierre yſſu de la mer A tous leurs cordages ſe pendre.	Quand les avares Nautonniers Dedans leurs vaisseaux mariniers T'eurent envolé pour te vendre, Ils vérirent taschans de ramer Le lierre issu de la mer À tous leurs cordages se pendre.
Ils veirent außi toſt dedans Et les lynces aux yeux ardans, Et des Tygres la fiere taille, Et penſans fuir de ce danger la Daufins ſe veirent changer,	Ils veirent aussi tôt dedans Et les lynces aux yeux ardans, Et des Tigres la fière taille, Et pensants fuir de ce danger la Daufins se veirent changer,
ChargeZ de poiſſonneuſe eſcaille.	Chargez de poissonneuse écaille.
Iadis Gange ô guerrier fameux Sentit deſſus ſon bord gemmeux L’horreur de tes armes Thebaines Triompher des vaincus Indois, Sur les Lions que tu guidois, Qui tournoient humbles ſous tes reines.	Jadis Gange ô guerrier fameux Sentit dessus son bord gémeux L'horreur de tes armes Thebaines Triompher des vaincus Indais, Sur les Lions que tu guidais, Qui tournaient humbles sous tes reines.
Euan tu vainquis les Gelons, Et les Maſſagetes felons, Et les feminins exercites De leurs armes tu deueſtis:	Euan tu vainquis les Gelons, Et les Massagetes felons, Et les féminins exercites De leurs armes tu devis:
Ceux qui boiuent dans Meotis, Let Daces aſpres, & les Scythes.	Ceux qui boivent dans Meotis, Let Daces âpres, et les Scythes.
Les Thebaines d’vn petit bruit Volent par les maiſons de nuit Qui les feſtes Trieterides, Meſpriſoient, on les veid muer En chauue-ſouris, & ruer Ainſi que vaches les Prœtides, Lors que l’infidelle Thesé Ton Ariadne eut exposé Sur les rocs barbares de Die, Tu la pris à femme, & encor Luy donnas la couronne dor Riche des deſpouilles d’Indie.	Les Thebaines d'vn petit bruit Volent par les maisons de nuit Qui les fêtes Triéterides, Mesprisaient, on les veides muer En chauve-souris, et ruer Ainsi que vaches les Proûtides, Lors que l'infidèle Thésée Ton Ariadne eut exposé Sur les rocs barbares de Die, Tu la pris à femme, et encor Lui donnas la couronne dor Riche dé pouillés d'Indie.
Tandis que les cieux tourneront, Et que les eſtoiles luiront De ceſte couronne doree, Touſiours à Thebes ta cité Sera ta ſaincte deité De nous tes peuples adoree.	Tandis que les cieux tourneront, Et que les étoiles luiront De cette couronne dorée, Toujours à Thebes ta cité Sera ta sainte deité De nous tes peuples adorée.
TRAGEDIE.	TRAGÉDIE.
ACTE III.	ACTE III.
EDIPE CREON.	EDIPE CREON.
Ien que ja la frayeur qui palliſt ſur ta face DMonſtre aſſez le meſchef dont le Ciel nous menace, Dy pourtant qui les Dieux ont demandé de nous, Et qui doit de ſa teſte appaiſer leur courroux?	Jen que ja la frayeur qui pallit sur ta face DMonstre assez le mèches dont le Ciel nous menace, Dis pourtant qui les Dieux ont demandé de nous, Et qui doit de sa tête apaiser leur courroux?
Cr Ce que vous commandez, Sire, que ie reuele La crainte m’en d’eſtourne, & veut que ie le cele.	Cr Ce que vous commandez, Sire, que sans révèle La crainte m'en d'étourne, et veut que ici le cèle.
Ed, Si le malheur Thebain ne t’y peut eſmouuoir, Le ſceptre de ta ſœur ait au moins ce pouuoir.	Ed, Si le malheur Thebain ne t'y peut émouvoir, Le sceptre de ta sœur ait au moins ce pouvoir.
Cr.	Cr.
Vous voudriez ne ſçauoir ce qu’il faut que ie die.	Vous voudriez ne savoir ce qu'il faut que personne die.
Ed.	Ed.
Au malheur inconnu pas vn ne remedie;	Au malheur inconnu pas un ne remédie;
Nous voudrois-tu celer ce qui nous fait perir?	Nous voudrais-tu celer ce qui nous fait périr?
Cr.	Cr.
Ou le remede fache on ne veut point guerir.	Ou le remède fache on ne veut point guérir.
Ed Tu ſentiras bien toſt, ſi tu ne le veux faire, Quel pouuoir ont les Roys quand il ſont en cholere?	Ed Tu sentiras bien tôt, si tu ne le veux faire, Quel pouvoir ont les Rois quand il sont en colère?
Cr.	Cr.
Les Roys s’enquierent bien, mais s’ils ſont obeis, Apres leur auoir dict, nous en ſommes hays.	Les Rois s'enquièrent bien, mais s'ils sont obéis, Apres leur avoir dit, nous en sommes hais.
Ed.	Ed.
Tu le diras pourtant, ou de ta teſte vile I’appaiſeray les Dieux ennemis de ma ville.	Tu le diras pourtant, ou de ta tête vile J'apaiserai les Dieux ennemis de ma ville.
Cr.	Cr.
Souffrez que ie me taiſe, hé!	Souffrez que Seigneur me taise, hé!
peut on demander Choſe qu’vn Roy benin puiſſe mieux accorder?	peut on demander Chose qu'vn Roi bénin puisse mieux accorder?
Ed.	Ed.
Le taire bien ſouuent porte plus de dommage Au royaume & au Roy, qu’vne langue volage.	Le taire bien souvent porte plus de dommage Au royaume et au Roi, qu'une langue volage.
Cr.	Cr.
Où l’on n’oſe ſe taire y a t’il rien permis?	Où l'on n'ose se taire y a -t-il rien permis?
Ed.	Ed.
Qui ſe tait quand vn Roy le parler a commis, Semble le meſpriſer.	Qui se taît quand un Roi le parler a commis, Semble le mépriser.
Cr.	Cr.
PreneZ donc en gré, Sire, Ce que contre mon gré vous me forceZ de dire.	PreneZ donc en gré, Sire, Ce que contre mon gré vous me forcez de dire.
Ed.	Ed.
Punit on iamais ceux qu’on force de parler?	Punit on jamais ceux qu'on force de parler?
Cr.	Cr.
Où l’ondeuſe Dircé fait ſes vagues couler, Vn bois noirci d’reuſe au creux d’vne valee	Où l'ondeuse Dircé fait ses vagues couler, Un bois noirci d'reuse au creux d'une valée
Cache loing de nos murs ſa teſte reculée.	Cache loin de nos murs sa tête reculée.
Làs eleue vn (vpres dent le chef paroiſſant Plus baut que les foreſts, de ſon tronc verdiſſant Hontre le bocage, & la encore allonge Ses longs bras emmouſſe, que la vieilleſſe ronge Vn grand cheſne noueux, à qui l'antiquité D'vne large creuaſſe entr’ouure le coſté.	Là -lève int (vprès dent le chef paraissant Plus baut que les forêts, de son tronc verdissant Hontre le bocage, et la encore allonge Ses longs bras emmousse, que la vieillesse ronge Un grand chaîne noueux, à qui l'antiquité D'une large cruasse entr'ouvre le côté.
La racine luy faut, & a teſte courbée Sur les arbres prochains panche a demy tombée.	La racine même faut, et a tête courbée Sur les arbres prochains penche a demi tombée.
La le Sydonien, quand mort il eſtendit Le ſerpen.	La le Sydonien, quand mort il étendit Le serpen.
Dircean, ſon trophée appendit.	Dircean, son trophée appendit.
Encor du noir poiſon la terre eſt partemée Que vomit en mourant ſa gorge enuenimée.	Encor du noir poison la terre est partemée Que vomit en mourant sa gorge envenimée.
Là ſe void le laurier de graines je charger.	Là se voit le laurier de graines je charger.
La le myrte & le cedre, & là le Teil leger.	La le myrte et le cèdre, et là le Teil léger.
L’aulne qui d auirons battra la mer domtée.	L'aulne qui d irons battra la mer domptée.
Là contre le Soleil leur perruque ont plantée Les ſapins oppoſez à la fureur du vent.	Là contre le Soleil leur perruque ont plantée Les sapins opposés à la fureur du vent.
Au milieu du valon vn arbre s’eſleuent De ſes rameaux eſpars embraſſe la contrée, Et d’vn ombrage eſpais deffend au iour l’entrée.	Au milieu du valon un arbre s'esleuent De ses rameaux épars embrasse la contrée, Et d' ombrage épais défend au jour l'entrée.
Tout au pied de cet arbre au lieu plus ombrageux, Plein d’eternelle horreur, vn lac mareſeageux Creuſe vne foſſe large, ou l’eau morne, & bridee De glace continué, eſt de limon bordee.	Tout au pied de cet arbre au lieu plus ombrageux, Plein d'éternelle horreur, un lac maresageux Creuse une fosse large, ou l'eau morne, et bridée De glace continué, est de limon bordée.
Cet ombrage effroyable en ſon obſcurité, Cache ſous ſon horreur vne diuinité, La Reine des chaſſeurs, vierge Latonienne Qui preſide aux foreſts, en eſt la gardienne.	Cet ombrage effroyable en son obscurité, Cache sous son horreur ton divinité, La Reine des chasseurs, vierge Latonienne Qui preside aux forêts, en est la gardienne.
On oit ſouuent ſes traicts ſiffler parmy le bois, Et de ſes chiens la nuict on entend les abbois.	On oit souvent ses traits siffler parmi le bois, Et de ses chiens la nuit on entend les abois.
Souuent deſſus ſa trouſſe elle y couche endormie Laſſe des baiſers froids du vieillard de Latmie.	Souvent dessus sa trousse elle y couche endormie Lasse des baisers froids du vieillard de Latmie.
Tout ioignint la foreſt s’aplaniſſent les champs Que Cadme importuna de ſes coutres tranchans,	Tout joignint la forêt s'aplanissent les champs Que Cadme importuna de ses coutres tranchants,
Entre les creux fillons creurent des dents ſemées Pour ſes compagnons morts des cohortes armées.	Entre les creux sillons crèrent des dents semées Pour ses compagnons morts des cohortes armées.
Quand l'Agenorien la terre enſemençoit, De chaſque dent couuerte vn champion naiſſoit.	Quand l'Agénorien la terre ensemençait, De chasque dent ouerte un champion naissait.
A peine estoient ſortis ces enfans de la terre Qu’ils s’entre meurtriſſoint d’vne mortelle guerre.	À peine étaient sortis ces enfants de la terre Qu'ils s'entre meurtrissoint d'une mortelle guerre.
Encor les laboureurs voyans dans les ſillons Des champs enſanglantez l’ombre des bataillons, En quittent effrayeZ leur œuure encommencée:	Encorez les laboureurs voyant dans les sillons Des champs ensanglantez l'ombre des bataillons, En quittent effrayeZ leur œuvre encommencée:
Les bœufs trainent apres leur charruë incenſée.	Les bœufs traînent après leur charrue incensée.
Comme le vieil Prophete en ce lieu m’a conduit, Où le ſilence noir luy a preſté la nuict, Ont foüït vn creux en terre, où la flame s’auie D’vne torche enſoulfrée aux ſepulchres rauie, Parmy les oſſemens, & les cendres des morts:	Comme le vieil Prophète en ce lieu m'a conduit, Où le silence noir lui a prêté la nuit, Ont foüït un creux en terre, où la flamme s'avie D'une torche ensoulfrée aux sépulchres ravie, Parmi les ossements, et les cendres des morts:
Il crouſle vn peu la teſte, & ſe veſt tout le corps D’vn noir habit de deuil, la robe ſepulchrale En longs replis courbée aux talons luy deuale.	Il crousle un peu la tête, et se vêt tout le corps D'un noir habit de deuil, la robe sépulchrale En longs replis courbée aux talons lui deuale.
De ce funeste habit veſtu le Preſtre ſainct, D’vne couronne d’yf ſon chef gris il a ceint, Puis pour ſon ſacrifice en arriere il attraine Des brebis de deux ans teintes de noire laine.	De ce funeste habit vêtu le Prêtre saint, D'une couronne d'if son chef gris il a ceint, Puis pour son sacrifice en arrière il attraine Des brebis de deux ans teintes de noire laine.
De, vaches qui tombants dans le buſcher ardant Tirées par le front regardent l’Occident.	De, vaches qui tombants dans le bûcher ardant Tirées par le front regardent l'Occident.
La flame ſe repaiſt de chair qu’elle deuore, Et la victime au feu viue tramblotte encore.	La flamme se repaît de chair qu'elle dévore, Et la victime au feu vive tramblotte encore.
Lors d’vne horrible voix il inuoque à grands cris Et les eſprits, & toy Pluton Roy des eſprits, Goulfres Tartariens, vous Dires implacables, Qui ſur les manes vains regnez eſpouuantubles, Et toy le plus cruel des trois freres germains, Qui de l’auare enfer tiens le ſceptre en tes mains, Inſatiable Dieu, qui te plais de deſtruire Tout ce que ſous le Ciel Nature peut produire, Toy ſa femme endurcie aux pleurs des criminels,	Lors d'une horrible voix il invoque à grands cris Et les esprits, et toi Pluton Roi des esprits, Goulères Tartariens, vous Dires implacables, Qui sur les ma vains régnez espouvantubles, Et toi le plus cruel des trois frères germains, Qui de l'avare enfer tiens le sceptre en tes mains, Insatiable Dieu, qui te plais de détruire Tout ce que sous le Ciel Nature peut produire, Toi sa femme endurcie aux pleurs des criminels,
Ouurez de vos bas lieux en ſilence eternels, Où vous tenez cruels les ames enſerrees Bien loing de noſtre tour, les grands portes ferrees:	Ouvrez de vos bas lieux en silence éternels, Où vous tenez cruels les âmes enserre Bien loing de notre tour, les grands portes ferre:
Fendez la nuîct profonde & que l’orque obſcurcy Ouure vn large ſentier pour remonter icy.	Fendez la nuîct profonde et que l'orque obscurci Ouvre un large sentier pour remonter ici.
Mercure conduira de ſa verge priſée Les eſprits bien-henreux de la plaine Elyſée Aſſemblez d’vn coſté:	Mercure conduira de sa verge prisée Les esprits bienhenreux de la plaine Élysée Assemblés d'un côté:
Tiſiphone & ſes ſœurs, Ceux qu’elles bourrelloient de leurs fouets puniſſeurs.	Tisiphone et ses sœurs, Ceux qu'elles bourrellaient de leurs fouets punisseurs.
Le chien ſuiuant les pas des trois vierges armees Tiendra pour ceſte fois ſes trois gueules fermees.	Le chien suivant les pas des trois vierges armées Tiendra pour cette fois ses trois gueules fermées.
A ces mots ie l’ay veu baſſoment commencer Vn murmure magic, duquel il peut forcer, Ou flater des eſprit la cholere appaiſee.	À ces mots ieclay vu bassoment commencer Un murmure magic, duquel il peut forcer, Ou flatter des esprit la colère apaise.
De tiede ſang verſé la foſſe eſt arrouſee, Il en ſoule ta tevre, & de la gauche main Le ſang de la victime il arrouſe de vin, Il y meſle du miel, & encore il reſpanche Parmy du laict ueigeux de la farine blanche.	De tiède sang versé la fosse est arrouse, Il en soule ta tevre, et de la gauche main Le sang de la victime il arrouse de vin, Il y mêle du miel, et encore il respanche Parmi du lait ouveigeux de la farine blanche.
Puis tourne à ſon murmure, & s’inclinant le chef Surle bord de la foſſe, inuoque de rechef De ſes cris redoublez les ombres pareſſeuſes.	Puis tourne à son murmure, et s'inclinant le chef Surle bord de la fosse, invoque de rêches De ses cris redoublés les ombres paresseuses.
Le bruit a retenti aux barricaues creuſes D’vn long abboy de chiens tout autour entendu, Vn tremblement horrible a la terre fendu:	Le bruit a retenti aux barricaues creuses D'un long aboi de chiens tout autour entendu, Un tremblement horrible a la terre fendu:
Lors le Prestre s’écrie, on m’entend de l’Auerne, Les Eſprits à ma voix ſortent de leur cauerne, L' Acheron ſe deſcouure, & le fieuue flammeux Route contre le Ciel ſes tourbillons fumeux.	Lors le Prêtre s'écrie, on m'entend de l'Auerne, Les Esprits à ma voix sortent de leur caverne, L' Acheron se découvre, et le fieuue flammeux Route contre le Ciel ses tourbillons fumeux.
La terre en a gemy, & tout ſoudain la place S’est ouuerte en beant d’vne large creuace.	La terre en a gémi, et tout soudain la place S'est ouverte en béant d'une large cruace.
La foreſt s’en heriſſe, & commence à branler, Les champs aux enuirons ſemblent ſe reculer Effroyez de l’horreur, on entent ſoubs la terre Grommeler enroüé le bruit ſourd d’vu tonnerre.	La forêt s'en hérisse, et commence à branler, Les champs aux environs semblent se reculer Éffroyez de l'horreur, on entent soubs la terre Grommeler enroüé le bruit sourd d'une tonnerre.
I’ay veu, i’ay veu l’Enfer les fleuues croupiſſans Soubs la nuict eternelle, & les Dieux palliſſans.	J'ai vu, j'ai vu l'Enfer les fleuves croupissants Sous la nuit éternelle, et les Dieux pallissants.
Tiſiphone ſonnoit du grand fouet qu’elle porte, La mort branloit vn dart ſur le ſeuil de la porte, La vieilleſſe chagrine à ſon costé marchoit, Le deüil qui de regret les cheueux s’arrachoit.	Tisiphone sonnait du grand fouet qu'elle porte, La mort branlait un dart sur le seuil de la porte, La vieillesse chagrine à son côté marchait, Le deuil qui de regret les cheveux s'arrachait.
Et tes fiéures tranchans le court filet des vies, De fureur & d’horreur ſont leurs bandes ſuiuies, A l’heure ie chancelle, & de peur qui m’aſſaut, Ie ſens cailler mon ſang, le courage me faut, A peu que ie ne fuye, & le ſacre abandonne, Manton meſme la vierge ainſi que moy s’eſtonne:	Et tes fières tranchants le court filet des vies, De fureur et d'horreur sont leurs bandes suivies, À l'heure ici chancelle, et de peur qui m'assaut, Je sens cailler mon sang, le courage me faut, A peu que je ne fuie, et le sacre abandonne, Manton même la vierge ainsi que moi s'étonne:
Le prophete vieillard ſeullement a reſté Des fantoſmes errans ſans eſtre eſpouuenté.	Le prophète vieillard seullement a resté Des fantômes errants sans être espouuenté.
Les ames à ſa voix greſlettes ſont venuës Voller autour de luy comme legeres nuës, Reſpirant à longs traicts l'air nouueau qui leur luit, Ny iamais Eſté n’a tant de feuilles produit, Ny le mont Hybleantant d’auettes dorees, Deſcampant leur eſſein des ruches encirees, Ny le Ril n’a point veu tant d’oiſſeaux arriuer Sur ſon bord chaleureux, quand ils ſentent l’Hyuer.	Les âmes à sa voix greslettes sont venues Voler autour de même comme légères nues, Respirant à longs traits l'air nouueau qui leur luit, Ny jamais Été n'a tant de feuilles produit, Ni le mont Hybleantant d'avettes dorées, Descampant leur essein des ruches encirees, Ni le Ril n'a point vu tant d'oisseaux arriver Sur son bord chaleureux, quand ils sentent l'Hiver.
Fuyans le froid Strymon, & ſes ondes glacees, Que le ſon de ſes vers a d’ombres amaſſees.	Fuyant le froid Strymon, et ses ondes glacées, Que le son de ses vers a d'ombres amassées.
Elles vont pepiant à lentour du deuin, Manton qui les arroſe & de laict & de vin, De ſe ranger à part aux eſtrangers commande, Et aux Beociens ſe mettre en vne bande.	Elles vont pépiant à lentour du devin, Manton qui les arrose et de lait et de vin, De se ranger à part aux étrangers commande, Et aux Béociens se mettre en une bande.
A ſon commendement lauez par quatre fois Les manes eſtrangers ſe muſſent dans le bois.	À son commendement lavez par quatre fois Les mânes étrangers se mussent dans le bois.
Cadme premier ſa face hors du lac a tiree, Sa femme ſort apres race de Cytheree, Tous deux paſmez d’ennuis, à tous deux, vn ſerpent Du ſommet de la teſte au bas des talons pend.	Cadme premier sa face hors du lac a tirée, Sa femme sort après race de Cytheree, Tous deux pâmés d'ennuis, à tous deux, un serpent Du sommet de la tête au bas des talons pend.
Des ſoldats terrenez Hermione eſt ſuiuie,	Des soldats terrenez Hermione est suivie,
Vn meſme iour vit naiſtre & terminer leur vie.	Un même jour vit naître et terminer leur vie.
Inon fuit Athamas, le furieux archer Qui de l’arc la menace, & ſemble deſchocher Ses traits ſur Melicert qui pend à ſa mammelle.	Inon fuit Athamas, le furieux archer Qui de l'arc la menace, et semble déchocher Ses traits sur Mélicert qui pend à sa mamelle.
Agaue court ſon fils qui s’enfuit deuant elle, O res libre du Dieu:	Agave court son fils qui s'enfuit devant elle, Ô rés libre du Dieu:
Echion l’a pleuré Rapieçant les lambeaux de ſon corps deſchiré.	Échion l'a pleuré Rapieant les lambeaux de son corps déchiré.
Puis voicy i’apperçoy l’engendré d’Ariſtee Miſerable veneur ſortir apres Penthee, Le gibier de ſes chiens, au front de cerf rameux, Antonœ eſſuioyt l’eau de ſon œil larmeux Zete va maiſtriſant vn taureau par la corne, Amphion ſort apres dont la main gauche s’orne D’vne lyre architecte, & qui premierement Des murs Aoniens creuſa le fondement.	Puis voici j'aperçois l'engendré d'Ariste Misérable veneur sortir après Penthe, Le gibier de ses chiens, au front de cerf rameux, Antonœux essuyait l'eau de son œil larmeux Zette va maîtrisant un taureau par la cor, Phion sort après dont la main gauche s'orne D'vne lyre architecte, et qui premièrement Des murs Aoniens creusa le fondement.
La pierre ſans marteau, ſans ouurier qui la taille Au doux ſon de ſes vers ſe rangeoit en muraille.	La pierre sans marteau, sans ouvrier qui la taille Au doux son de ses vers se rangeait en muraille.
Niobe vient en fin braue ſe preſenter, Et ventant ſes enfans ſe plaiſt à les conter Sans crainte de Latone, encore glorieuſe Elle eſmeut blaſphemant ſa langue inturieuſe.	Niobe vient en fin brave se présenter, Et ventant ses enfants se plaît à les conter Sans crainte de Latone, encore glorieuse Elle émut blasphémant sa langue inturieuse.
Ed.	Ed.
Des que l’Agenoride en nos champs rencontra Le taureau qui le plan de Thebes luy monſtra, Touſiours, touſiours des Dieux la cholere effrenee A faict pleuuoir ſur nous d’vne ſuite encheſnee Eſclandre ſur eſclandre, & malheur ſur malheur.	Des que l'Agénoride en nos champs rencontra Le taureau qui le plan de Thebes lui montra, Toujours, toujours des Dieux la colère effrénée A fait pleuvoir sur nous d'une suite enchesnee Esclandre sur esclandre, et malheur sur malheur.
Touſiours, Cadme, touſiours deſpuis que le voleur Sous vn veau deſguisé deſſus ſa blanche crope Aux champs Phoeniciens rauit ta ſeur Europe, Les maux qui te ſuiuoient ont ſuiny tes neueux.	Toujours, Cadme, toujours despuis que le voleur Sous un veau déguisé dessus sa blanche crope Aux champs Phoeniciens ravit ta sûr Ope, Les maux qui te suivaient ont suiny tes neueux.
Mais Laye eſtoit-il point en ce penple larueux.	Mais Laye était-il point en ce pénple larueux.
Cr.	Cr.
Bien loing ſans compaignie apres cét exercite Il ſe tenoit caché ſur le bord de Cocyte.	Bien loing sans compagnie après cet exercite Il se tenait caché sur le bord de Cocyte.
Plus preſſoit Tireſie & plus il reculoit, Et craignant d’eſtre veu, honteux, il ſe celoit	Plus pressait Tiresie et plus il reculait, Et craignant d'être vu, honteux, il se celait
Sans s’approcher du ſang parmy la nuict obſeure.	Sans s'approcher du sang parmi la nuit obsure.
Le prophete pourſuit redoublant ſon murmure, Le preſſe, le contrainct, tant qu’il a deſcouuert Le ſemblant deſcharné de ſon viſage ouuert, Haue, palle, desfaict, le ſang d’horreur m’en glace:	Le prophète poursuit redoublant son murmure, Le presse, le contraint, tant qu'il a découvert Le semblant décharné de son visage ouvert, Have, pale, défait, le sang d'horreur m'en glace:
Sa barbe eſtoit poudreuſe, & ſon poil plein de craſſe Colé s’amoncelloit, ſon front eſtoit moüillé, Et du ſang de ſes coups ſon veſtement ſouillé.	Sa barbe était poudreuse, et son poil plein de crasse Colé s'amoncelait, son front était mouillé, Et du sang de ses coups son vêtement souillé.
Dans leurs cercles profonds il roua deux prunelles Regardant de trauers, puis de parolles telles Il s’aigrit contre nous;	Dans leurs cercles profonds il roua deux prunelles Regardant de travers, puis de paroles telles Il s'aigrit contre nous;
ô plein de cruauté, O du meurtre des tiens touſiours enſanglanté, Abominable ſceptre, ô maiſon malheureuſe, Branlez vos Thyrſes verds, d’vne main furieuſe DemembreZ vos enfans, pluſtoſt, pluſtoſt que voir L’inceſtueuſe mere en ſon lict receuoir Sa race inceſtueuſe, ô miſerable femme, O malheureux enfant, voſtre impudique flame Conſume voſtre ville, ô chetiue cité, Ce ne ſont point les Dieux, mais la meſehanceté De la mere & du fils, Thebes, c’est leur inceſte Qui rend ton Ciel infect, & te donne la peſte.	ô plein de cruauté, Ô du meurtre des tiens toujours ensanglanté, Abominable sceptre, ô maison malheureuse, Branlez vos Thyrses verds, d'une main furieuse DemembreZ vos enfants, plutôt, plutôt que voir L'incestueuse mère en son lit recevoir Sa race incestueuse, ô misérable femme, Ô malheureux enfant, votre impudique flamme Consume vôtre ville, ô chétive ç' Une ne sont point les Dieux, mais la mesehanceté De la mère et du fils, Thèbes, c'est leur inceste Qui rend ton Ciel infect, et te donne la peste.
Ny la terre aſſeichee à faute d’air moiteux, Ny le vent du midy de ſon ſouffle peſteux Ne te ſon point nuiſſans, mais ton Roy parricide, Qui poſſede en ſa main le ſceptre Agenoride Encor ſoüillé du ſang de moy ſon geniteur.	Ni la terre asseichée à faute d'air moiteux, Ni le vent du midi de son souffle péteux Ne te son point nuissants, mais ton Roi parricide, Qui possède en sa main le sceptre Agénoride Encor soüillé du sang de moi son géniteur.
Qu’il occit en Phocide auec vn ſeruiteur.	Qu'il occit en Phocide avec un serviteur.
Et loyer de ſom crime, ayant meurtry ſon pere, Il braue de ſonſceptre, & pour femme a ſa mere.	Et loyer de som crime, ayant meurtri son père, Il brave de sonsceptre, et pour femme à sa mère.
Engence deteſtable!	Engence détestable!
