DOMITIE, femme de Domities	DOMITIE, femme de Domities
Si j’en crois, Titus, vous auréz bien de la peine tanrot à vous faire entendre devant Apollon, & j’en uray bien moy mêſme à vous comprendre à la verité aux diſcours qu’il m’a rapporté de vous avec rôtre frere & vos deux maitreſſes, il eſt aſſéz diffirile de ſavoir bien preciſement ce que vous vouléz dire & j’en doute ſi vous le ſachiés bien vous meſme.	Si j'en crois, Titus, vous auréz bien de la peine tanrot à vous faire entendre devant Apollon, et j'en urai bien moi même à vous comprendre à la vérité aux discours qu'il m'a rapporté de vous avec rotre frère et vos deux maîtresses, il est asséz diffirile de savoir bien précisément ce que vous vouléz dire et j'en doute si vous le sachiez bien vous même.
TITE.	TITE.
Mes diſeours, ô Muſe, ſont aſſéz clairs pour les gens êclairéz, & pour marque de céla, c’eſt, que preſque tour ce qu’il y a en Frace de gens de la premiere qualité qui les ont oüis les ont admiréz.	Mes diseours, ô Muse, sont assurés clairs pour les gens êclairéz, et pour marque de cla, c'est, que presque tour ce qu'il y a en Frâce de gens de la première qualité qui les ont ouïs les ont admirés.
THALIE.	THALIE.
Tant pis pour qui admire ce qu’il m'entend quoy vous me feriéz accroire qu’il y ait des d’aſſéz bonne volonté pour vouloir entendrę, vers, percer l’obſcurité qui enveloppe touies choſes que vous dites.	Tant pis pour qui admire ce qu'il m'entend quoi vous me feriez accroire qu'il y ait des d'asséz bonne volonté pour vouloir entendr, vers, percer l'obscurité qui enveloppe touiez choses que vous dites.
y à il quelqu’un d’aſſez m vaiſe foy dans le monde pour dire qu’il enten ſeul vers que Titus m’a rapporté de vous.	y à il quelqu'un d'assez m' asaise foi dans le monde pour dire qu'il enten seul vers que Titus m'a rapporté de vous.
ITE.	ITE.
Il faut que Titus ait perdu l’eſprit pourachoiſi cet endroit la, qui eſt la plus belle choſes j’ay dite & qui a eſté generalement approu te pour en bien juger, ſavante Muſe, il eſt neceſſide ſavoir que conſiderant la profonde paix denEmpire, je me compare moy meſme à un li endormi & je dis la deſſus que.	Il faut que Titus ait perdu l'esprit pourrachaisi cet endroit la, qui est la plus belle choses j'ai dite et qui a été généralement approu te pour en bien juger, savante Muse, il est nécesside savoir que considérant la profonde paix denEmpire, je me compare moi -même à un li endormi et je dis la dessus que.
Mon réveil incertain fait du mint l’étude.	Mon réveil incertain fait du mint l'étude.
Mon repos en tous lieux jette l’inqui tude.	Mon repos en tous lieux jette l'inqui tude.
Vous voyéz bien à preſent que c’eſt ſe moqu que de dire qu’on n’entend pas cela.	Vous voyez bien à présent que c'est se moqu que de dire qu'on n'entend pas cela.
THALIE.	THALIE.
Pour ce qui eſt de me moquer cela pourroitbs être, mais pour entendre vôtre vers cela n’eſt pa Mon réveil incertain fait du mo n at tude.	Pour ce qui est de me moquer cela pourrait -être, mais pour entendre votre vers cela n'est pa Mon rèveil incertain fait du mo n ô node.
I'our tant à force de le repeter & de le conſilere je penſe quaſi entrevoir à peu prez ce.	J'our tant à force de le répéter et de le consilère je pense quasi entrevoir à peu près ce.
que vos voulez dire, dites moi donc de grace, en Francent 62 t’on trouvé rien d’êtrange avoir un homme qui ſe promene en parlant tout comme un autre, & qui pourtant dit qu’ildort & que tout le monde craint qu’il ne s’eueille;	que vos voulez dire, dites -moi donc de grâce, en Francent 62 t'on trouvé rien d'étrange avoir un homme qui se promène en parlant tout comme un autre, et qui pourtant dit qu'ildort et que tout le monde craint qu'il ne s'eille;
dire que vous eſtes l'effroi de la terre eſt ce un conte à dormir de bout, mais ſerieuſement les yeux & les oreilles ne font ils pas naturellement ſoûleuer l’eſprit contre cette idée d’un homme qui dit luy meſme qu’il dort &qu’on craint qu’il ne ſ’eueille.	dire que vous êtes l'effroi de la terre est ce un conte à dormir de bout, mais sérieusement les yeux et les oreilles ne font ils pas naturellement soûleuer l'esprit contre cette idée d'un homme qui dit autre autre qu'il dort etqu'on craint qu'il ne s'eille.
TITE.	TITE.
Du moins m’avoüeréz vous que l’expreſſion en eſt tres forte & auſſi claire que la matiere le peut ſouffrir, car naturellement les choſes grandes & relevées ſont bien plus difficiles à entendre que les auits de ener vmtne uunf peine qu’on ſ’y applique un peu & pour marque de cels, docte Muſe, dites moy de quelle autre maniere on pourroit rendre le ſens de ce vers, & vous en vesréz la difference.	Du moins m'avoüeréz -vous que l'expression en est très forte et aussi claire que la matière le peut souffrir, car naturellement les choses grandes et relevées sont bien plus difficiles à entendre que les avits de ener mène ouvunf peine qu'on s'y applique un peu et pour marque de cels, docte Muse, dites -moi de quelle autre manière on pourrait rendre le sens de ce vers, et vous en vesréz la différence.
THALIE.	THALIE.
Puiſque vous le vouléz bien, je vous diray que Ii j’auois à parler d’un heros, vivant dans une paix profonde, de qui le repos ſeroit ſuſpect à tous les lutres Princes, & que je le vouluſſe comparer à un yon endormi, voici à peupréz comment je m’imagine que l’auteur du Cinna auroit rendu autretois le ſens de vôtre vers.	Puisque vous le vouliez bien, je vous dirai que Ji j'avais à parler d'un héros, vivant dans une paix profonde, de qui le repos serait suspect à tous les lutres Princes, et que je le voulusse comparer à un ion endormi, voici à peuprès comment je m'imagine que l'auteur du Cinna aurait rendu autretais le sens de votre vers.
Cent peuples en ſuſpens attendent ſon réveil.	Cent peuples en suspens attendent son réveil.
Et d’un æil plein d’effroi contemplent ſon ſommeil.	Et d'un opil plein d'effroi contemplent son sommeil.
TE.	TE.
Et bien chere Muſe, combien s’en faut il.	Et bien chère Muse, combien s'en faut -il.
l’expreſſion de ces deux vers la ſoit ſi masle, ſi ſenee ſi rigoureuſe que celle du mien, il n’y aqu’it redire tout de ſuitte pour le voir.	l'expression de ces deux vers la soit si mâle, si sence si rigoureuse que celle du mien, il n'y aqu'it redire tout de suitte pour le voir.
Mon reveil incertain fait du monde li tude.	Mon réveil incertain fait du monde li tude.
Mon repos en tous lieux jette l’inquietus Cent peuples en ſuſpens attendent ma rdueil.	Mon repos en tous lieux jette l'inquiétus Cent peuples en suspens attendent ma rèveil.
Et d’un œil plein d'effroi contemplemon ſommeil.	Et d'un oeil plein d'effroi contemplemon sommeil.
Cela n’eſt il pas tout autrement fiér.	Cela n'est -il pas tout autrement fier.
THALIE.	THALIE.
Cela ſeroit bien encor plus fier ſi vous diſiéz te ſuis l’amour du Ciel & l’effroi deſt terre.	Cela serait bien encor plus fier si vous disiez te suis l'amour du Ciel et l'effroi dest terre.
N’avéz vous point de honte de faire ainſi le Ciſ tan Maſamore &de parler de vous meſme arec cate inſolence & ces loüanges quand vous prenci li nom du plus ſage & du plus modeſte de tou lu Empereurs, vous dis je que, comme vous dittes tu cor vous meſme avec vôtre modeſtie ordinaire.	N'avez -vous point de honte de faire ainsi le Cis tan Masamore etde parler de vous même arec cate insolence et ces louanges quand vous prenci li nom du plus sage et du plus modeste de tou lu Empereurs, vous dis -je que, comme vous dites tu cor vous rendre avec votre modestie ordinaire.
Que l’on nomme par tout les delicerſ monde.	Que l'on nomme par tout les délicers monde.
Mais je m’emporte inſenſiblement hors de mor ſujer & ce n’eſt pas à moy, à examiner vos mœur je n’en veux qu’à vôtre obſcurité.	Mais je m'emporte insensiblement hors de mór sujer et ce n'est pas à moi, à examiner vos mœur je n'en veux qu'à votre obscurité.
j’avois biendit oüi dire quelque choſe de ce defaut la, mais je ros auoüs que ce que Titus m’a rapporté, m’a encor ſe Fris, & je ne croyois pas que cela alla ſi loin, cir ſel m’étois point apperceue de cette obſcurité dans noſtre premier entretien, comme encor a preſent j’entens fort bien tout ceque vous dittes, cela me fuiſoit preſque croire que les bruits qui auoient couru de vôtre Galimathias étoient faux, mais je voy bien à preſent que vous n’avez que quelques bons intertalleil	j'avais biendit ouïr dire quelque chose de ce défaut la, mais je ros auous que ce que Titus m'a rapporté, m'a encor se Fris, et je ne croyais pas que cela alla si loin, cir sel m'étais point aperçue de cette obscurité dans notre premier entretien, comme encor a présent entens fort bien tout ceque vous dites, cela me fuisait presque croire que les bruits qui avaient couru de votre Galimathias étaient faux, mais je vois bien à présent que vous n'avez que quelques bons intertaleil
TITE.	TITE.
Belle Thalie, il ne faut pas que cette inégalité vous ſurprenne, la difference que vous trouvez entre nôtre entretien & ceux que Titus vous à rappoitéz, eſt une ſuitte neceſſaire de la difference des matieres, il eſt bien aiſé d’être clair dans un entretien familier comme celuy cy ou l’on ne parle que Ie choles commuñes &ordinaires, mais quand on traitte de choſes relevées, quand on a des intereſts illuſtres à demeler, & qu’en fin l’on veut étaler de gi ands ſentimens, il eſt impoſſible &meſme il ſeroit en quelque ſorte meſſéant d’en parler en termes & avec des expreſſions vulgaires & communes avec cette facilité & cette clarté entiere qui paroit dans les autres entretiens.	Belle Thalie, il ne faut pas que cette inégalité vous surprenne, la différence que vous trouvez entre notre entretien et ceux que Titus vous à rappoitéz, est une suitte nécessaire de la différence des matières, il est bien aisé d'être clair dans un entretien familier comme celui cy ou l'on ne parle que Je choles commues etordinaires, mais quand on traite de choses relevées, quand on a des intérêts illustres à démêler, et qu'en fin l'on veut étalier de gy ands sentimens, il est impossible etmesme il seroit en quelque sorte messéant en parler en termes et avec des expressions vulgaires et communes avec cette facilité et cette clarté entière qui paroit dans les autres entretiens.
THALIE.	THALIE.
Or bien quoy qu’il en ſoit, ſi les grands ſentimens ne le peuvent exprimer clairement, gardéz vous bien d’en étaler aucun tantôt devant Apollon, il n’en faudroirqu’un ſeul de vôtre grand ſtile pour vous perdre ſans reſſource dans ſon eſprit;	Or bien quoi qu'il en soit, si les grands sentiments ne le peuvent exprimer clairement, gardéz vous bien d'en étaler aucun tantôt devant Apollon, il n'en faudroirqu'un seul de votre grand style pour vous perdre sans ressource dans son esprit;
c'eſt pourquoy abſtenéz vous en ſoigneuſement, ſi vous eſtes ſagé, quand vous retournerez en France, il ſera permis a vous de reprẽdre vôtre jargon, puiſqu’il y a des gens quis’en accommodent, mais tant que vous ſeréſeréz au Parnaſſe, vivéz ſelon la loy du pays.	c'est pourquoi abstenéz vous en soigneusement, si vous êtes sagé, quand vous retournerez en France, il sera permis à vous de reprendre votre jargon, puisqu'il y a des gens qu'en accommodent, mais tant que vous seréseréz au Parnasse, vivez selon la loi du pays.
jersavertis, qu’on n’admire icy que ce qu’on y entendt meſme que ce, qu’on y entend ſans peine, que liu role y eſt conſiderée ſimplement comme uneins ge de la penſée & non point comme un bruithumonieux & agreable ſeulement aux oreilles, quiſi on ne reconnoit point en cette image de meillisqualité que celle de faire bien connoitre clairemsnettement & diſtinctoment ce qu’elle repreſcats que le galimathias eſt le plus capital & le plus ime.	jersavertis, qu'on n'admire ici que ce qu'on y entendît même que ce, qu'on y entend sans peine, que li vise y est considérée simplement comme uneins gé de la pensée et non point comme un bruithumonieux et agréable seulement aux oreilles, quisi on ne reconnaît point en cette image de meillisqualité que celle de faire bien connaître clairemsnettement et distinctoment ce qu'elle represcats que le galimathias est le plus capital et lepluscomme.
miſſible de tous les crimes en ce pays, mais ſurto dans ce Temple de memoire ou nout ſommes, ia comme tout ce qui ſe paſſe icy demeure eternelle ment, &que rien n’en peut effacer le ſouvenit, apd Ion a grand ſoin qu’il ne s’y dite ny faſſe rienquſoit digne de cet honneur, d’ailleurs c’eſt que li genie de ce lieu ſacré eſt naturellement ſi pareſſtas & ſi delicat, que la moindre peine qu’il troureàu tendre ce qui ſe dit, il le rebutte & il abandonneas ombres de l’oubli tout cequi n’eſt pas auſſi clait q peut l’être:	misble de tous les crimes en ce pays, mais surto dans ce Temple de mémoire ou nout sommes, ja comme tout ce qui se passe ici demeure éternelle ment, etque rien n'en peut effacer le souvenit, apd -on a grand soin qu'il ne s'y dite ni fasse rienqusait digne de cet honneur, d'ailleurs c'est que li génie de ce lieu sacré est naturellement si paresstas et si délicat, que la moindre peine qu'il troureàu tendre ce qui se dit, il le rebutte et il abandonne ombres de l'oubli tout ce n'est pas aussi clait pas aussi clait :
je vous donne ces avis charitablemu mais encor plus, parceque l’intereſt que j’ay enit tre affaire ne me permet pas de vous les cacher.	je vous donne ces avis charitablemu mais encor plus, parceque l'intérêt que j'ai enit tre affaire ne me permet pas de vous les cacher.
TITE.	TITE.
Je les reçois comme je dois, & j’ay toute liuconnoiſſance imàginable de la part, qu’il vous plit de prendre à mes interets d’autant plus qu’il n’yt que vôtre ſeule generofité qui puiſſe vous y oblger.	Je les reçois comme je dois, et j'ai toute livconnaissance imàginable de la part, qu'il vous plit de prendre à mes intérêts d'autant plus qu'il n'yt que votre seule générosité qui puisse vous y oblger.
THALIE.	THALIE.
Vous ne m’avez aucune obligation du ſoin qu je prens de vos affaires, ce n’eſt pas que je ne le filt ues volontiers, mais quand cela ne ſeroit point.	Vous ne m'avez aucune obligation du soin qu je prends de vos affaires, ce n'est pas que je ne le filt ues volontiers, mais quand cela ne serait point.
] ſerotrois toûjours obligée par obeiſſance, car j’ay char1e d’Apollon de vous conſeiller & de vous conduire, ''eſt par ſon ordre que je vous ſuis allée au devant pour vous recevoir comme j’ay fait, & ma ſœur Melpomene avoit ordre d’en faire de meſme pour Tuus.	] serotrais toujours obligée par obéissance, car j'ai char1e d'Apollon de vous conseiller et de vous conduire, ''est par son ordre que je vous suis allée au devant pour vous recevoir comme ay fait, et ma sœur Melpomene avoit ordre en faire de même pour Tuus.
TITE.	TITE.
Mais, belle Thalie, n’eſtes vous pas la Muſe de Comedie?	Mais, belle Thalie, n'êtes -vous pas la Muse de Comédie?
THALIE.	THALIE.
Oüi ſans doute, & ma ſœur Melpomene eſt celdela Tragedie.	Oui sans doute, et ma sœur Melpomene est celdela Tragédie.
ITE.	ITE.
Quoy que je vous eſtime infiniment, &que je me econnoiſſe fort redevable a vos ſoins, vous me pernettréz de vous dire que j’ay ſuiet de me plaindre le cet ordre d’Apollon, c’eſt ſe declarer viſiblement pour mon impoſteur que de le traitter de cette ſore a ma honte, car enfin pourquoy luy donner la Auſe de la Tragedie & a moy celle de la Comedie, ſt ce qu’il y a quelque choſe de comique dans mon Caractere, c’eſt tout ce qu’Apollon pourroit faire a Trivelin ou a Jodelet Princes, ſuis je un Empereur faire rire les gens?	Quoi que je vous estime infiniment, etque je me econnoisse fort redevable à vos soins, vous me pernettréz de vous dire que j'ai sujet de me plaindre le cet ordre d'Apollon, c'est se déclarer visiblement pour mon imposteur que de le traiter de cette sore à ma honte, car enfin pourquoi -à -dire la Ause de la Tragédie et à moi celle de la Comédie, st ce qu'il y a quelque chose de complique dans mon Caractère, c'est tout ce qu'Apollon pourrait faire à Trivelin ou à Jodelet Princes, suis je un Empereur faire rire les gens?
THALIE.	THALIE.
Je ne dis pas cela, il ſe peut faire qu’Apollon a ait ce choix la par hazard ſeulement & ſans aucune uiſon particuliere, mais s’il en auoitquelqu’une, je ne rous conſeille pas de la luy demander, ſi vous eſtes age vous n’enſiſterez pas la deſſus.	Je ne dis pas cela, il se peut faire qu'Apollon a ait ce choix la par hasard seulement et sans aucune uison particulière, mais s'il en avaitquelqu'une, je ne rous conseille pas de la femme demander, si vous êtes age vous n'ensisterez pas la dessus.
Adieu alléz ſonger ace que vous deuéz dire tantôt, & moy je vai travailler a faire en ſorte que vous ayézplus de ſujet de de vous loüer d’auoir été ſouz ma conduitte se vous en praindre.	Adieu alléz songer ace que vous devez dire tantôt, et moi je vay travailler a faire en sorte que vous ayiezplus de sujet de de vous louer d'avoir été souz ma conduite se vous en praindre.
ACTE SECOND.	ACTE SECOND.
SCENE PREMIERE APOLLON, MELPOME.	SCÈNE PREMIÈRE APOLLON, MELPOME.
NE, THALIE.	NE, THALIE.
A POLLON.	À POLON.
Ce que vous me contéz, cheres Muſes, uſt prenant & le temple ſacré ou mes favoiis onttiusniſé le ſouvenir de tant de choſes n’a jamau iuus rien de ſemblables l’hiſtoire parle bien de quelg impoſteurs qui ont voulu ſe faire paſſer pour t qu’ils n’étoient pas, mais tous prenoient le nont quelque mort ou de quelque abſent, mais qui homme oſe ſoutenir en face a un autre qu’il dit que cet autre pretend être, & encor quels perſout ges?	Ce que vous me contéz, chères Muses, ust prenant et le temple sacré ou mes favoyis onttiusnisé le souvenir de tant de choses n'a jamau juus rien de semblables l'histoire parle bien de quelg imposteurs qui ont voulu se faire passer pour t 'ils n'étaient pas, mais tous prenaient le nont quelque mort ou de quelque absent, mais qui homme ose soutenir en face à un autre qu'il dit que cet autre prétend être, et encor quels persout gez?
deux Empereurs Romains & pour ſuici d’êtonnement deux Reines avec eux dans la mut peine, c’eſt ce qui n’avoit jemais ête vû & qui puc tout à fait incroyable.	deux Empereurs Romains et pour suci d'étonnement deux Reines avec eux dans la mut peine, c'est ce qui n'avait jemais ête vu et qui puc tout à fait incroyable.
THALIE.	THALIE.
Vous le verréz pourtant aujourd’huy, o Apolla & nous l’avons déja vû ma ſœur & moy, mals du œil bien different:	Vous le verréz pourtant aujourd'hui, ô Polla et nous l'avons déjà vu ma sœur et moi, mals du œil bien différent:
car comme Melpomene eſt u turellement triſte & qu’elle s’afflige de tout, d prend autant de part dans le malheur de ces Priite & en parle auſſi ſerieuſement qu’eux meſmes, i pour moy qui ne ſuis pas ſi lugubre, j'artens à met direuvertir de leur different, car êtant auſſi animéz rils ſont les uns contre les autres, & auſſi perſuaez châcun en particulier de la bonté de lour droit, ne ſe pardonneront rien aſſurement;	car comme Melpomene est ouvrellement triste et qu'elle s'afflige de tout, d ' autant de part dans le malheur de ces Priite et en parle aussi sérieusement qu'eux -mêmes, y pour moi qui ne suis pas si lugubre, j'artends à met direvertir de leur différent, car ès aussi animéz rils sont les uns contre les autres, et aussi persuaés châcun en particulier de la bonté de lour droit, ne se pardonneront rien assurément;
vous alléz oir tout a cette heure comment ils ſe vont dêchifr.	vous alléz oir tout à cette heure comment ils se vont dêchifr.
MELPOMENE.	MELPOMENE.
Il y a long tems que vous eſtes en poſſeſſion de ous divertir de tout, mais pour moy je croy que ien qu’a conſiderer comme vont tous les malheurs es hommes par un certain côte ils ſoient aſſuremẽt us dignes de riſée que de pitié;	Il y a long temps que vous êtes en possession de ous divertir de tout, mais pour moi je crois que yen qu'a considérer comme vont tous les malheurs es hommes par un certain que vous soient assurema as dignes de risée que de pitié;
ruis qu’en fin ils ne roient jamais malheureux s’ils êt iẽt ſages, cepenant il eſt ce me ſemble d’une belle ame, de ne traitr pome les nommerarce cette rigoureuſe juſtice, de ne point tout approfondir l’origine de leurs aux, afin d’être capable de quelque compaſſion ut eux.	ruis qu'en fin ils ne roient jamais malheureux s'ils aient jamais sages, cepenant il est ce me semble d'une belle âme, de ne traitr ome les nommerarce cette rigoureuse justice, de ne point tout approfondir l'origine de leurs aux, afin d'être capable de quelque compassion ut eux.
ainſi ſi vôtre humeur railleuſe eſt exacteent raiſonnable, la mienne pitoyable eſt aſſureent plus genereuſe, & il eſt aiſé de juger lequel l plus eſtimable de la generoſité ou de la ſimple iſon.	ainsi si votre humeur railleuse est exacteent raisonnable, la mienne pitoyable est assurent plus généreuse, et il est aisé de juger lequel l plus estimable de la générosité ou de la simple izon.
THALIE.	THALIE.
Comme s’il y auoit de la generoſité a n’être pas iſonnable;	Comme s'il y avait de la générosité à n'être pas isonnable;
la premiere vertũ, ma chere ſœur, eſt tendre juſtice a toute choſe, & les hommes aunt qu’ils ſont, me paroiſſent ſi impertinens que ce oit grand dommage qu’il fuſſent plus heureux.	la première vertum, ma chère sœur, est tendre justice a toute chose, et les hommes aunt qu'ils sont, me paraissent si impertinents que ce oit grand dommage qu'il fussent plus heureux.
APOLLON.	APOLLON.
C’eſt aſſéz moraliſé, Nimphes, laiſſons la le genhumain, tel qu’il eſt, faittes entrer vos gens, que ous les titions d’affaire, s’il ſe peut, nous aurons appaapparemmẽt aſſéz de peine a’en venir aubout, nous y prendre de bonne heure, mais ne les fas pas venir tous quatre enſemble & amenez prenrement les Empereurs tout ſeuls.	C'est assurés moralisé, Nymphes, laissons la le genhumain, tel qu'il est, faites entrer vos gens, que ous les titions d'affaire, s'il se peut, nous aurons appaapparemmẽt asséz de peine aen fin aubout, nous y prendre de bonne heure, mais ne les sas pas venir tous quatre ensemble et amenez prenrement les Empereurs tout seuls.
SCENE SECONDE, APOLLON, MELPOMENE, THI LIE, TITUS, TITE.	SCÈNE SECONDE, APOLLON, MELPOMENE, THI LIE, TITUS, TITE.
A POLLON.	À POLON.
Avant toute choſe, Princes, qu’eſt ce que vou ſiréz que je declare par mon jugement?	Avant toute chose, Princes, qu'est -ce que vou siréz que je déclare par mon jugement?
TITE.	TITE.
Il s’agit de ſavoir lequel eſt le plus honres homme de nous deux, & le plus digne du nont nous portons.	Il s'agit de savoir lequel est le plus honres homme de nous deux, et le plus digne du nont nous portons.
TITUS.	TITUS.
Ou plûtôt lequel de nous deux eſt le vens Empereur de Rome dont nous portons le non	Ou plutôt lequel de nous deux est le vens Empereur de Rome dont nous portons le non
A POLLON.	À POLON.
D’ou venéz vous?	D'ou venéz -vous?
TITE.	TITE.
Du pays dont nous parlons la langue, de Fias	Du pays dont nous parlons la langue, de Fias
A POLLON.	À POLON.
Ce climat eſt privilegié auParnaſſe & tout ce en vient y eſt bien receu, car ce puiſſant Royaſ pur l’ordre des deſtinées eſt a preſent le plu meux ſiege de nôtre Empire, mes cheres ſœuis le grand prince qui y commande m’y fait reg preſque auſſi ſouverainement que luy.	Ce climat est privilègié auParnasse et tout ce en vient y est bien reçu, car ce puissant Royas pur l'ordre des destinées est à présent le plu meux siège de notre Empire, mes chères sœuis le grand prince qui y commande m'y fait reg presque aussi souverainement que deux.
ſoyer d les biens venus Princes, il ne vous reſle pluss nous dire de qui ſont vos lettres d'adreſſe qui vous a donné paſſe port pour monter ſur le Parnaſſe.	soyer d les biens venus Princes, il ne vous rêle pluss nous dire de qui sont vos lettres d'adresse qui vous a donné passe port pour monter sur le Parnasse.
MELPOMENE.	MELPOMENE.
Ce ſont deux Empereurs Romains, Seigneur, des perſonnages de ce rang), ont ils beſoin d’autre auitne que deun meimes?	Ce sont deux Empereurs Romains, Seigneur, des personnages de ce rang), ont ils besoin d'autre avitne que deun meimes?
APOLLON.	APOLLON.
Quoy, Melpomene, eſtes vous à ſavoir qu’il n’y a ſi grand Prince ny conquerant qui ait droit de patoitre en ces lieux & ſur tout dans ce Saint Temple.	Quoi, Melpomene, êtes -vous à savoir qu'il n'y a si grand Princeblé conquérant qui ait droit de patoitre en ces lieux et sur tout dans ce Saint Temple.
conſicié à la Deeſſe Memoire, s’il n’y eſt introduit par quelque poëte, quelque hiſtorien, ou quelque oateur, ce ſont là les ſeuls Heros qui peuvent faire aſler les autres juſqu’à nous, & ce n’eſt que par eur faveur qu’on y peut arriver.	consicié à la Déesse Mémoire, s'il n'y est introduit par quelque poète, quelque historien, ou quelque oateur, ce sont là les seuls Héros qui peuvent faire asler les autres jusqu'à nous, et ce n'est que par eur faveur qu'on y peut arriver.
Encor faut il que es introducteurs ſoient eux meſmes, comme je l’ay éja dit, des Heros dans leur genre, car il n’eſt pas ermis indifferement à tous, qui ſont donc, Princes, les vôtres?	Encor faut -il que es introducteurs soient eux -mêmes, comme je l'ai éjà dit, des Héros dans leur genre, car il n'est pas ermis indifférement à tous, qui sont donc, Princes, les vôtres?
TITE.	TITE.
Pour moy, c’eſt le grand Corneille, c’eſt tout re.	Pour moi, c'est le grand Corneille, c'est tout re.
TITUS.	TITUS.
Et pour moy, Seigneur, c’eſt Racine.	Et pour moi, Seigneur, c'est Racine.
APGLLON.	APGLON.
Ces noms ſont en veneration au Parnaſſe l’un a té le pere du Theatre François & l’autre en eſt le burriſlier, perſonne, ô Melpomene, ne le ſçait ieux que vous, mais paſſons outre, vous Tite mmancéz mais acette condition de ne dire precinent que ce qui ſait contre Titus & ce que vous ouvez à redire en luy &de ne dire point ce qui fait pour vous & ce qu’on peut vous objecter &cela re.	Ces noms sont en vénération au Parnasse l'un a té le père du Théâtre Français et l'autre en est le burrislier, personne, ô Melpomene, ne le sait jeux que vous, mais passons outre, vous Tite mmancéz mais acte condition de ne dire précinent que ce qui sait contre Titus et ce que vous ouvez à redire en lui etde ne dire point ce qui fait pour vous et ce qu'on peut vous objecter etcela re.
de dépecher & pour n’être pas ſi long, car dela miniere que les hommes ſont bâtis, ce n’eſt jamai fait de le loüer quand il leur eſt permis de ſe defcadre, je jugeray bien ſans vôtre ſecours de la force es de la foibleſſe de ce que vous diréz l’un coure l'autre.	de dépecher et pour n'être pas si long, car déla minière que les hommes sont bâtis, ce n'est jamai fait de le louer quand il leur est permis de se défadre, je jugerai bien sans votre secours de la force es de la faiblesse de ce que vous diréz l'un coure l'autre.
TITE.	TITE.
Vous n’auréz pas grand' peine à croire, ost gneur Apollon, que cet honnête homme que roi voyéz la qui oſe ſe dire Titus Empereur deRomeſi un grand fourbe de prendre cette qualité, puit meſme agiſſant en cette qualité & contrelaiſii Titus, il ne peut s’empêcher de fourber, & dequde la maniere du monde la plus impudenterunec areuſe qui ſe dit Reine & qui eſt folle deluy;	Vous n'auréz pas grand' peine à croire, ost gagneur Apollon, que cet honnête homme que roi voyéz la qui ose se dire Titus Empereur deRomesi un grand fourbe de prendre cette qualité, puit même agissant en cette qualité et contrelaisi Titus, il ne peut s'empêcher de fourber, et dequde la manière du monde la plus impudenteruné ruse qui se dit Reine et qui est folle délui;
cu ii ginéz vous, Seigneur, qu’apres que cette femme d venue d’une autre partie du monde ſouz l’illurut qu’il luy avoit donnée de l’épouſer, & qu’il li can tenue ſecretement dans Rome durant cinq iat luy faiſant attendre la mort de l’Empereur ſoup comme la ſeule choſe, qui rêtardoit leur marlis pere ſi incommode enfin étant mort, le trauſet bliant alors ſes promeſſes, & les obligations e auoit à cette belle perſonne, de peur qu’elle te ſomme de tenir ſa parole trouve moyen de s'ut faire & fait ſi bien qu’il la reſout à s’en aller.	cv ii ginéz -vous, Seigneur, qu'après que cette femme venue d'une autre partie du monde sous l'illeurut qu'il lui avait donnée de l'épouser, et qu'il li can tenue secrètement dans Rome durant cinq jat Un faisant attendre la mort de l'Empereur soup comme la seule chose, qui restardait leur marlis père si incommode enfin étant mort, le trauset bliant alors ses promesses, et les obligations e avait à cette belle personne, de peur qu'elle te somme de tenir sa parole trouve moyen de s'ut faire et fait si bien qu'il la résout à s'en aller.
It comme vous voiéz, Seigneur qui eſt fort médmais pourtant cela n’eſt pas fort extraordinaist buſer une fille ſouz promeſſe de mariage.	It comme vous voiéz, Seigneur qui est fort médmais pourtant cela n'est pas fort extraordinaist buser une fille souz promesse de mariage.
On voit plus d’un moqueur Enée, Et plus d’une folle Didon Couvrer les feux de Cupidon Souz les cendres de L’hymenée.	On voit plus d'un moqueur Enée, Et plus d'une folle Didon Couvrer les feux de Cupidon Souz les cendres de L'hyménée.
Voici quelque choſe deplus êtrange;	Voici quelque chose déplus étrange;
il n'eſt rien de ſi touchant ny de ſi tendre que les choſes qu’il dir il ſa Berenice dans cette occalion, il ſemble tout à coup qu’il va expirer d’amour pour elle, enfin il eſt ſi hardy que de vouloir faire croire à cette pauvre inſenſée qu’il là chèrit plus que ſa vie lors meſge qu’il l’abandonne, qu’il la quitte, qu’il là chaſſe, quoy qu’elle veüille bien l’épouſer, qu’il ne tienne qu’à luy ſeul, qu’il ſoit maitre de ſes actions, & qu’en ſin rien ne l’en empêche:	il n'est rien de si touchant ainsi de si tendre que les choses qu'il dir il sa Berenice dans cette occalion, il semble tout à coup qu'il va expirer d'amour pour elle, enfin il est si hardi que de vouloir faire croire à cette pauvre insensée qu'il là chérit plus que sa vie lors mége qu'il l'abandonne, qu'il la quitte, qu'il là chasse, quoi qu'elle veuille bien l'épouser, qu'il ne tienne qu'à lui seul, qu'il soit maître de ses actions, et qu'en rien ne en empêche:
auriéz vous crû, Seigneuf, l’eſprit humain capable d’une telle impudence.	auriez -vous crû, Seigneuf, l'esprit humain capable d'une telle impudence.
A POLLON.	À POLON.
