TNETIROL.	TNETIROL.
Le furieux Cyclope horreur de la Sicile, Polypheme autrefois le trouua moins facile Que ne fit pas Acis jeune homme effeminé, Foible eſclaue d’Amour aux plaiſirs adonné, Qui ſur ce grand Geant emporta la victoire;	Le furieux Cyclope horreur de la Sicile, Polypheme autrefois le trouva moins facile Que ne fit pas Acis jeune homme effeminé, Foible esclaue d'Amour aux plaisirs adonné, Qui sur ce grand Géant emporta la victoire;
Ioüit de Galatée, & tout comblé de gloire Tenoit entre ſes bras cette Nymphe des eaux Tandis que ſon riual joüoit des chalumeaux Sur le bord de la mer, où d’une plainte vaine Il publioit ainſi le ſujet de ſa peine.	Jouit de Galatée, et tout comblé de gloire Tenait entre ses bras cette Nymphe des eaux Tandis que son riual jouait des chalumeaux Sur le bord de la mer, où d'une plainte vaine Il publiait ainsi le sujet de sa peine.
Flots, jaloux de mon bien, pourquoy me priuez-vous De l’unique regard que mon œil trouue dous?	Flots, jaloux de mon bien, pourquoi me privez-vous De l'unique regard que mon œil trouve dous?
Seule Diuinité de mon cœur adorée, Delices de Doris, & du vieillard Nerée.	Seule Divinité de mon cœur adorée, Délices de Doris, et du vieillard Nerée.
Sortez,	Sortez,
Sortez, ô Galatée, & venant deſſus l'eau Faites voir qu’après vous la Mer n’a rien de beau;	Sortez, ô Galatée, et venant dessus l'eau Faites voir qu'après vous la Mer n'a rien de beau;
Quel plaiſir vous retient dedans ce vaſte Empire Tandis que loin de vous Polypheme ſoupire?	Quel plaisir vous retient dedans ce vaste Empire Tandis que loin de vous Polypheme soupire?
Sortez, ô Galatée, & ne permettez pas Que pour trop vous aimer je ſouffre le trépas;	Sortez, ô Galatée, et ne permettez pas Que pour trop vous aimer je souffre le trépas;
Mes antres ſont plus beaux que les grottes profondes Que mon pere Neptune a miſes ſous les ondes;	Mes antres sont plus beaux que les grottes profondes Que mon père Neptune a mises sous les ondes;
Vn diuers coquillage embellit vos maiſons;	Un divers coquillage embellit vos maisons;
Et moy je voy mon antre aux plus rudes ſaiſons Couronné de verdure, & couuert d’un feuillage Qui durant la chaleur me donne de l’ombrage, Ou me defend des vents quand peſant de ſommeil L’Hyuer fait loin de nous reculer le Soleil, Produit les longues nuits, & d'une froide haleine Engourdit la Nature, & deſole la plaine;	Et moi je vois mon antre aux plus rudes saisons Couronné de verdure, et couvert d'un feuillage Qui durant la chaleur me donne de l'ombrage, Ou me défend des vents quand pesant de sommeil L'Hiver fait loin de nous reculer le Soleil, Produit les longues nuits, et d'une froide haleine Engourdit la Nature, et désole la plaine;
Au lieu de vos poiſſons j’ay des troupeaux nombreux De chéures, de brebis, de jumans, & de bœuſs Que vous priſerez plus que la troupe indontée Des grands monſtres marins que gouuerne Protée;	Au lieu de vos poissons j'ai des troupeaux nombreux De chères, de brebis, de jumants, et de bœuss Que vous priserez plus que la troupe indontée Des grands monstres marins que gouverne Protée;
Vous aueZ le corail, les perles, l’ambre-gris A qui la rareté donne ſeule le pris;	Vous avez le corail, les perles, l'ambre-gris À qui la rareté donne seule le pris;
Les richeſſes que j’ay ſont toujours en eſtime;	Les richesses que j'ai toujours sont en estime;
Il eſt bien mal-aisé que la parole exprime Les preſens que Cerès me fait en mille lieux;	Il est bien malaisé que la parole exprime Les présents que Cerres me fait en mille lieux;
L’abondance que j’ay de fruits delicieux, D’agréables pâtis, de fertiles valées, Et de ſombres foreſts du peuple reculées,	L'abondance que j'ai de fruits délicieux, D'agréables pâtis, de fertiles valées, Et de sombres forêts du peuple reculées,
Où les Dains & les Cerfs ne vous manqueront pas S’il vous plaiſt en chaſſant y prendre vos ébas;	Où les Dains et les Cerfs ne vous manqueront pas S'il vous plaît en chassant y prendre vos ébas;
VeneZ me ſoulager des peines que j’endure, O gloire de ces lieux, chef-d’œuure de Nature;	Venez me soulager des peines que j'endure, Ô gloire de ces lieux, chef-d'œuvre de Nature;
Venez ma belle Nymphe, & propice à mes vœux Etendez ſur la Mer les flots de vos cheueux;	Venez ma belle Nymphe, et propice à mes vœux Étendez sur la Mer les flots de vos cheveux;
OublieZ deſormais vos ſœurs les Nereides;	Oubliez désormais vos sœurs les Nérides;
Sortez mon beau Soleil de ces plaines humides, Et ne retournez plus dans ce moite ſejour;	Sortez mon beau Soleil de ces plaines humides, Et ne retournez plus dans ce moite séjour;
Qu’après tant de douleurs le plaiſir ait ſon tour;	Qu'après tant de douleurs le plaisir ait son tour;
VeneZ cueillir les fleurs de mes larges prairies;	Venez cueillir les fleurs de mes larges prairies;
VeneZ vous promener ſur les riues fleuries De cent petis ruiſſeaux dont le bruit eſt ſi dous Que ſouuent j’y dormois lors que l’Amour pour vous Ne me geſnoit l’eſprit, & n’auoit pas entore Aſſeruy ma franchiſe aux beautez que j’adore;	VeneZ vous promener sur les rives fleuries De cent petis ruisseaux dont le bruit est si dous Que souvent j'y dormais lors que l'Amour pour vous Ne me gênait l'esprit, et n'avait pas entore Asservi ma franchise aux beautés que j'adore;
Prenez poſſeßion de mes biens, & de moy;	Prenez possession de mes biens, et de moi;
Venez, ô mon deſir, me preſcrire la loy Qu’il vous plaiſt que je ſuiue, & n’ayez dauentage A contre-cœur mes dons, mes vœux, & mon ſeruage:	Venez, ô mon désir, me prescrire la loi Qu'il vous plaît que je suive, et n'ayez daventage A contrecœur mes dons, mes vœux, et mon servage:
Helas!	Hélas!
vous eſtes ſourde à ma plaintiue vois;	vous êtes sourde à ma plainive vois;
Vous m’aueZ en horreur, je brule toutefois Auecque tant d’ardeur que je perds le courage De ſouffrir plus long-temps un ſi ſenſible outrage;	Vous m'avez en horreur, je brûle toutefois Avec tant d'ardeur que je perds le courage De souffrir plus longtemps un si sensible outrage;
Ie n’ay point de repos ny le jour ny la nait;	Je n'ai point de reposagez le jour ni la naît;
Vne rage importune en tous endrois me ſuit;	Une rage importune en tous endais me suit;
Le mont qui ſert aux Dieux d’un ſuperbe trophée;	Le mont qui sert aux Dieux d'un superbe trophée;
Arreſtant de ſon faix la teſte de Typhée,	Arrêtant de son faix la tête de Typhée,
Vomit un moindre feu que celuy de mon cœur;	Vomit un moindre feu que celui de mon cœur;
D’où viennent ces mépris?	D'où viennent ces mépris?
d’où vient cette rigueur?	d'où vient cette rigueur?
Acis ſeroit il bien l’auteur de mon martire?	Acis serait -il bien l'auteur de mon martyre?
Eſt-ce luy qui ſ'oppoſe à ce que je deſire?	Est-ce Prince qui s'oppose à ce que je désire?
Vous a-t’il enchantée?	Vous a-t-il enchantée?
a-t’il charmé vos yeux?	a-t-il charmé vos yeux?
Si je puis découurir que cet audacieux Soit bien auprès de vous j’écraZeray ſa teſte Sous l’effort de mon bras qui comme une tempeſte Abat ce qu’il rencontre, & briſe les vaiſſeaux Qui s’étoient garantis de la fureur des eaux;	Si je puis découvrir que cet audacieux Soit bien auprès de vous j'écraZeray sa tête Sous l'effort de mon bras qui comme une tempête Abat ce qu'il rencontre, et brise les vaisseaux Qui s'étaient garantis de la fureur des eaux;
I’ay de la force aſſez pour vous randre vangée Si de quelque ennemy vous eſtieZ outragée;	J'ai de la force assez pour vous randre vengée Si de quelque ennemi vous étiez outragée;
I'en ay de meſme außi pour me vanger de ceux Qui prendroient du plaiſir à me voir malheureux;	J'en ai de même aussi pour me venger de ceux Qui prendraient du plaisir à me voir malheureux;
RejetteZ ce mignon qui ne peut pas deffendre Le bien où ſa foibleſſe a le cœur de prétendre;	Rejettez ce mignon qui ne peut pas défendre Le bien où sa faiblesse a le cœur de prétendre;
Venez, ô Galatée, & ſortez de ce lieu A qui vous deueZ dire un éternel adieu.	Venez, ô Galatée, et sortez de ce lieu À qui vous devez dire un éternel adieu.
Ainſi comblé d’ennuy l’amoureux Polypheme Aßis deſſus un mont contoit le mal extreme Que luy faiſoit ſouffrir la puiſſante Venus;	Ainsi comblé d'ennui l'amoureux Polypheme Aussi dessus un mont contait le mal extrême Que lui faisait souffrir la puissante Venus;
Vos myſteres ſacreZ n’étoient point inconnus A ce triſte Cyclope, ô filles de Memoire;	Vos mystères sacrés n'étaient point inconnus À ce triste Cyclope, ô filles de Mémoire;
Il connoiſſoit votre onde où vous l’auiez fait boire, Et n’eut point de remede à ſes tourmans diuers Qui fuſt plus aſſuré que la douceur des vers.	Il connaissait votre onde où vous l'aviez fait boire, Et n'eût point de remède à ses tourmants divers Qui fût plus assuré que la douceur des vers.
Eja les déplaiſirs qu’Aminte auoit Prepreſentez de l’éloignemant de Paſithée, & l’agreable réçit de la triſteſſe, & des plaintes de Polypheme auoient tenu les eſpris en admiration, & toute I’aſſiſtance auoit eu le temps de donner courage à ces deux bergers d’entreprendre des ouurages plus releuez par l’eſtime qu’elle faiſoit de leur églogue, quand Anaximene auſſi triſte que le jour d’aupalaualit voulut fatirane aux prieres de toute la compagnie, & pourſuiuit ainſi ce qu’il auoit commencé.	Éjà les déplaisirs qu'Aminte avait Prepresentez de l'éloigne qu' Pasithée, et l'agréable réçit de la tristesse, et des plaintes de Polypheme avaient tenu les esprit en admiration, et toute J'assistance avait eu le temps de donner courage à ces deux bergers d'entreprendre des ouvrages plus relevés par l'estime qu'elle faisait de leur églogue, quand Anaximene aussi triste que le jour d'avala voulut ne aux prières de toute la compagnie, et poursuivat ainsi et pouilauoit commencé.
Ie ne puis eſtre de l’opinion de la pluſpart des hommes qui aſſurent qu’il n’y a rien de ſtable deſſus la terre;	Je ne puis être de l'opinion de la plupart des hommes qui assurent qu'il n'y a rien de stable dessus la terre;
que tout ſe change par la ſuitte des années, & que le meſme ordre qui donne le commencemant aux choſes les conduit auſſi à leur fin;	que tout se change par la suitte des années, et que le même ordre qui donne le commencemant aux choses les conduit aussi à leur fin;
il eſt vray que les felicitez du monde ſont ſujettes à l’inconſtance de la fortune, nous voyons les Monarchies déchoir de leur grandeur;	il est vrai que les félicités du monde sont sujettes à l'inconstance de la fortune, nous voyons les Monarchies déchoir de leur grandeur;
pluſieurs villes ont autrefois éleué l’orgueil de leurs tours juſques dedans les Cieux, qui maintenant ne ſonr plus que les tombeaux où leur gloire eſt enſeuelie, & les pitoyables reliques de la fureur des armées;	plusieurs villes ont autrefois élevé l'orgueil de leurs tours jusques dedans les Cieux, qui maintenant ne sonr plus que les tombeaux où leur gloire est ensevelie, et les pitoyables reliques de la fureur des armées;
la proſperité, ô bergers, n’eſt pas de longue durée;	la prospérité, ô bergers, n'est pas de longue durée;
notre contentemant ſe paſſe en peu de jours, & la triſteſſe ſuccede ſouuent à la joye;	notre contentemant se passe en peu de jours, et la tristesse succède souvent à la joie;
mais auſſi il eſt croyable que les maux, & les miſeres qui ſe rencontrent icy bas n’ont point les meſmes reuolutions, & que leur funeſte empire ne ſe gouuerne pas par cét ordinaire changemant;	mais aussi il est croyable que les maux, et les misères qui se rencontrent ici bas n'ont point les mêmes révolutions, et que leur funeste empire ne se gouverne pas par cet ordinaire changemant;
les malheureux trouuent raremant la fin de leur malheur, combien void-on de perſonnes languir en des priſons perpetuelles?	les malheureux trouvent raremant la fin de leur malheur, combien voit-on de personnes languir en des prisons perpétuelles?
combien y en a-t’il qui viuent en des pauurerez qui ne reçoiuent point de ſecours?	combien y en a-t-il qui vivent en des pauvrerez qui ne reçoivent point de secours?
il n’eſt pas mal-aiſé que les riches deuiennent pauures, c’eſt un précipice où l’on tombe facilemant, mais il eſt preſque impoſſible de ſ'en releuers d’où vient donc que ces afflictions ont un commencemant, & n’ont point de borne qui les arreſte?	il n'est pas malaisé que les riches deviennent pauures, c'est un précipice où l'on tombe facilement, mais il est presque impossible de s'en relevers d'où vient donc que ces afflictions ont un commencemant, et n'ont point de borne qui les arrête?
le Ciel ne nous regarde-t’il pas tous égalemant, & ſes aſtres ont-ils plus d’inclination à nuire aux uns qu’à profiter aux autres?	le Ciel ne nous regarde-t-il pas tous égalemant, et ses astres ont-ils plus d'inclination à nuire aux uns qu'à profiter aux autres?
ou plutoſt ne faut-il pas imaginer que de ſemblables malheurs ne ſont point ſujets à ſon mouuemant;	ou plutôt ne faut-il pas imaginer que de semblables malheurs ne sont point sujets à son mouvement;
qu’une puiſſance ſuperieure préſide à notre naiſſance, & que c’eſt la deſtinée des hommes qui a ainſi ordonné le cours de leur vie?	qu'une puissance supérieure préside à notre naissance, et que c'est la destinée des hommes qui a ainsi ordonné le cours de leur vie?
les plaiſirs de ma jeuneſſe n’ont duré qu’un momant, & depuis que l’Amour a commencé de me rendre miſerable mes douleurs ne ſe ſont point diminuées;	les plaisirs de ma jeunesse n'ont duré qu'un momant, et depuis que l'Amour a commencé de me rendre misérable mes douleurs ne se sont point diminuées;
je ſuis toujours dans les meſmes inquietudes, & il y a long-temps que j’ay perdu l’eſpoir d’en ſortir:	je suis toujours dans les mêmes inquiétudes, et il y a longtemps que j'ai perdu l'espoir d'en sortir:
vous oüyſtes hier le ſujet de mes longs ennuis, & vous appriſtes la cauſe de tant de pleurs que je répands;	vous ouïstes hier le sujet de mes longs ennuis, et vous apprîtes la cause de tant de pleurs que je répands;
vous pouuez penſer que ce ne fut pas ſans me faire ſouffrir une exceſſiue douleur que l’on me vint dire que la belle Cleomene étoit promiſe à l’un de ſes voiſins, puis que le ſeul ſouuenir de cette nouuelle a eſté capable de me rauir la vois, & le mouuemant au recit de mes auentures;	vous pouvez penser que ce ne fut pas sans me faire souffrir une excessiue douleur que l'on me vint dire que la belle Cléomène était promise à l'un de ses voisins, puis que le seul souvenir de cette nouvelle a été capable de me ravir la vois, et le mouvement au récit de mes aventures;
je parus comme un homme qui a perdu le ſens;	je parus comme un homme qui a perdu le sens;
je ne recherchay plus la ſolitude pour me plaindre auecque plus de liberté, tout le monde fut témoin de mes ſoupirs, & de la violance de mon mal;	je ne recherchai plus la solitude pour me plaindre avec plus de liberté, tout le monde fut témoin de mes soupirs, et de la violance de mon mal;
les jours & les nuits ſ’employerent à l’entretien de ma triſteſſe, & les cõſolations de mon Amy furent inutiles pour arreſter le cours de ma fureur:	les jours et les nuits s'employèrent à l'entretien de ma tristesse, et les cõsolations de mon Ami furent inutiles pour arrêter le cours de ma fureur:
il y a de certaines bornes dans les déplaiſirs qu’on ne peut outrepaſſer;	il y a de certaines bornes dans les déplaisirs qu'on ne peut outrepasser;
quand nos ennuis y ſont arriuez il faut qu’ils nous donnent quelque ſorte de relaſche, ou qu’ils nous faſſent perir;	quand nos ennuis y sont arrivés il faut qu'ils nous donnent quelque sorte de relâche, ou qu'ils nous fassent périr;
ma rage étoit venuë à l’excremité;	ma rage était venue à l'excremité;
elle ne pouuoit paſſer plus auant;	elle ne pouvait passer plus avant;
il ſe falloit réſoudre à quelque choſe, & je fuſſe mort ſi un deſir de vangeance n’euſt arreſté mon deſeſpoir;	il se fallait résoudre à quelque chose, et je fusse mort si un désir de vengeance n'eût arrêté mon désespoir;
je me réſolu de retourner en Arcadie, à deſſein de donner la mort à celuy qui deuoit poſſeder toutes mes delices;	je me résolu de retourner en Arcadie, à dessein de donner la mort à celui qui devait posséder toutes mes lices;
déja ſecretemant j’auois retenu un vaiſſeau qui étoit preſt de faire voile de ce coſté-là, & en effet j’allois partir lors que Stimphale me vint aduertir que mon pere ſe trouuoit fort mal;	déjà secrètemant j'avais retenu un vaisseau qui était prêt de faire voile de ce côté-là, et en effet j'allais partir lors que Stimphale me vint avertir que mon père se trouvait fort mal;
j’eus honte de le quitter au beſoin;	j'eus honte de le quitter au besoin;
il me ſembla raiſonnable de differer mon voyage juſques à ce qu’il euſt recouuré ſa ſanté, & l’Amour permit à la Nature de ſ’acquitter de ſes deuoirs, & de ſatisfaire à ſes juſtes reſſentimans;	il me sembla raisonnable de différer mon voyage jusqu' à ce qu'il eût recouvré sa santé, et l'Amour permit à la Nature de s'acquitter de ses devoirs, et de satisfaire à ses justes ressentimants;
je courus pour luy donner toute l'aſſiſtance qui me ſeroit poſſible, & je le trouuay ſi malade que deux jours aprés il mourut:	je courus pour venir donner toute l'assistance qui me serait possible, et je le trouvai si malade que deux jours après il mourut:
ô Dieux!	ô Dieux!
quelles paroles pouroient exprimer l’inquietude dont mon eſprit fut agité?	quelles paroles pourraient exprimer l'inquiétude dont mon esprit fut agité?
je faiſois pitié à tout le monde, & chacun me conſoloit inutilemant;	je faisais pitié à tout le monde, et chacun me consolait inutilement;
mes amis prirent le ſoin de donner ordre aux funerailles tandis qu’attenué de dueil mais plus encore de l’ennuy que me donnoit l’Amour je ſongeois à partir ſans dire mot à perſonne;	mes amis prirent le soin de donner ordre aux funérailles tandis qu'attenvé de deuil mais plus encore de l'ennui que me donnait l'Amour je songeais à partir sans dire mot à personne;
Stimphale en eut aduis, & ſe doutant bien de l’intention que je pouuois auoir il ſe reſolut d’empeſcher mon deſſein, & de me faire reſoudre à quelque plus beau voyage;	Stimphale en eut avis, et se doutant bien de l'intention que je pouvais avoir il se résolut d'empêcher mon dessein, et de me faire résoudre à quelque plus beau voyage;
il y trouua moins de difficulté qu’il ne penſoit;	il y trouva moins de difficulté qu'il ne pensait;
moy-meſme j’eus honte du crime que j’allois commettre quand je me repreſentay l’innocence de celuy dont je ſouhaitois la mort;	moi-même j'eus honte du crime que j'allais commettre quand je me représentai l'innocence de celui dont je souhaitais la mort;
je commençay à reconnoiſtre que j’étois ſeul la cauſe de mon infortune, & que je n’en deuois accuſer que moy meſme;	je commençai à reconnaître que j'étais seul la cause de mon infortune, et que je n'en devais accuser que moi -même;
perſonne n’auoit ſçeu mon affection;	personne n'avait su mon affection;
celle que j’aimois plus que ma vie l’ignoroit, & je ne pouuois me plaindre d’autre choſe que de la faute que j’auois faite de partir d’Arcadie deuant que de luy declarer que je voulois viure & mourir à ſon ſeruice;	celle que j'aimais plus que ma vie l'ignorait, et je ne pouvais me plaindre d'autre chose que de la faute que j'avais faite de partir d'Aradie devant que de Seigneur déclarer que je voulais vivre et mourir à son service;
il fallut conſentir à la perte d’un tréſor que je n’auois ſçeu acquerir;	il fallut consentir à la perte d'un trésor que je n'avais su acquérir;
je changeay entieremant de reſolution, & auſſi-toſt que les obſeques de mon pere furent acheuées je m’en allay à Veniſe auecque mon Amy;	je changeai entièremant de résolution, et aussitôt que les obsèques de mon père furent achevées je m'en allai à Venise manque mon Ami;
en ſuitte je vy une grande partie d’Italie, & paſſant à Florence je rencontray Tamaris qui ſe montra plus curieux de faire connoiſſance auecque moy que ie ne meritois;	en suite je vis une grande partie d'Italie, et passant à Florence je rencontrai Tamaris qui se montra plus curieux de faire connaissance auecque moi que je ne méritais;
il me fit tant de careſſes qu’il m’obligea par ſa courtoiſie à luy jurer une étroite amitié, ce fut luy qui me donna l’enuie de venir demeurer en France;	il me fit tant de caresses qu'il m'obligea par sa courtoisie à peine jurer une étroite amitié, ce fut mieux qui me donna l'envie de venir demeurer en France;
la frequentation que j’auois euë à Smirne, & depuis en Candie de quelques marchans François m’auoit donné une legere connoiſſance du langage de leur pays, ce qui ſeruit beaucoup à me faire entreprendre ce nouueau voyage, & les offres de Tamaris qui jura de m’aſſiſter en toutes choſes me confirmerent entieremant en cette reſolution;	la fréquentation que j'avais eue à Smirne, et depuis en Candie de quelques marchants Français m'avait donné une légère connaissance du langage de leur pays, ce qui servit beaucoup à me faire entreprendre ce nouveau voyage, et les offres de Tamaris qui jura de m'assister en toutes choses me confirmèrent entièrement en cette résolution;
je partis auecque luy apres auoir pris congé de Stimphale qui ſ'en retourna à Veniſe, & depuis Tamaris ne ſ'eſt point ſeparé de moy;	je partis a lui pprès avoir pris congé de Stimphale qui s'en retourna à Venise, et depuis Tamaris ne s'est point séparé de moi;
il a tanté toute ſorte de moyens pour me mettre l’eſprit en repos;	il a tanté toute sorte de moyens pour me mettre l'esprit en repos;
quand il a vu que les liures, & le dous entretien de la poëſie n’y pouuoient rien faire il ſ'eſt efforcé de me diuertir par les promenades, & jamais il n’a pu arreſter le cours de mes triſtes penſées depuis deux ans que je demeure auecque luy;	quand il a vu que les livres, et le dous entretien de la poésie n'y pouvaient rien faire il s'est efforcé de me divertir par les promenades, et jamais il n'a pu arrêter le cours de mes tristes pensées depuis deux ans que je demeure avec lui;
les remedes que l’on me donne ne font qu’irriter mon mal;	les remèdes que l'on me donne ne font qu'irriter mon mal;
plus on me conſole plus je m’afflige;	plus on me console plus je m'afflige;
c’eſt vous ſeule, ô Cleomene, qui pouuez donner la tranquillité à mon eſprit;	c'est vous seule, ô Clomène, qui pouvez donner la tranquillité à mon esprit;
vous eſtiez ſeule capable de me donner une ſi grande triſteſſe, & ſeule vous auez le pouuoir de me faire reſſentir de la joye;	vous étiez seule capable de me donner une si grande tristesse, et seule vous avez le pouvoir de me faire ressentir de la joie;
le malheur qui m’a ſeparé de vous ſera la cauſe de ma mort, & la ſeule eſperance de vous reuoir libre des liens qui vous rendent captiue pouroit ſauuer ma vie du peril où elle eſt expoſée.	le malheur qui m'a séparé de vous sera la cause de ma mort, et la seule espérance de vous revoir libre des liens qui vous rendent captive pourrait sauver ma vie du péril où elle est exposée.
Ainſi le triſte Anaximene acheua ſon diſcours;	Ainsi le triste Anaximène acheva son discours;
le cœur le plus inſenſible à la pitié fut touché de ſon ennuy, tout le monde le plaignit, & Menalque prit encore la peine de le conſoler de la ſorte.	le cœur le plus insensible à la pitié fut touché de son ennui, tout le monde le plaignit, et Ménalque prit encore la peine de le consoler de la sorte.
Pourquoy vous deſeſperez-vous, ô Anaximene?	Pourquoi vous désespérez-vous, ô Anaximène?
le Ciel eſt-il moins puiſſant qu’il n’étoit au ſiecle de nos peres?	le Ciel est-il moins puissant qu'il n'était au siècle de nos pères?
& n’aura-t’il point d’empire ſur votre affliction auſſi bien que deſſus le reſte des choſes du monde?	et n'aura-t-il point d'empire sur votre affliction aussi bien que dessus le reste des choses du monde?
croyez-vous que la prouidance éternelle qui gouuerne I’uniuers n’ait pas ſoin de toutes les creatures?	croyez-vous que la providance éternelle qui gouverne J'univers n'ait pas soin de toutes les créatures?
ce ſeroit une erreur que d’auoir cette opinion;	ce serait une erreur que d'avoir cette opinion;
ſoyez aſſuré que vos infortunes ſeroient déja terminées ſi votre eſprit euſt imploré ſon aſſiſtance;	soyez assuré que vos infortunes seraient déjà terminées si votre esprit eût imploré son assistance;
votre deſeſpoir a retardé le ſecours qu’elle vous euſt donné, & la deffiance que vous auez euë de ſa bonté infinie vous a plongé dans les longues miſeres où vous languiſſez maintenant;	votre désespoir a retardé le secours qu'elle vous eût donné, et la défiance que vous avez eue de sa bonté infinie vous a plongé dans les longues misères où vous languissez maintenant;
quittez l’obſtination qui vous porte à vous tourmanter vous meſme;	quittez l'obstination qui vous porte à vous tourmanter vous rendre;
je ne voy rien en vos affaires qui ſoit deſeſperé;	je ne vois rien en vos affaires qui soit désespéré;
j’ay vu arriuer des choſes plus étranges que celles que vous deſirez, à l’âge de vingt & deux ans je me trouuay ſur une galere de Malte où ſe venoit d’embarquer un jeune homme qui animé de colere contre les Turcs cherchoit les occaſions de ſe vanger de l’injure qu’il en auoit receu;	j'ai vu arriver des choses plus étranges que celles que vous désirez, à l'âge de vingt et deux ans je me trouvai sur une galère de Malte où se venait d'embarquer un jeune homme qui animé de colère contre les Turcs cherchait les occasions de se venger de l'injure qu'il en avait reçu;
il faiſoit pareſtre à ſon port autant de courage que les ſoupirs, & les larmes qu’il ne pouuoit retenir témoignoient de triſteſſe en ſon cœur;	il faisait paraître à son port autant de courage que les soupirs, et les larmes qu'il ne pouvait retenir témoignaient de tristesse en son cœur;
je deuins curieux de ſçauoir d’où procedoit l’inquietude que l’on remarquoit en ſes actions;	je devins curieux de Savoir d'où procédait l'inquiétude que l'on remarquait en ses actions;
il ne fit aucune difficulté de me dire ce qui en étoit;	il ne fit aucune difficulté de me dire ce qui en était;
il eſt vray que ce fut ſecretemant, & apres la promeſſe, & le ſermant que je luy fis de ne découurir à perſonne ce qu’il me diroit;	il est vrai que ce fut secrètemant, et après la promesse, et le sermant que je lui fis de ne découvrir à personne ce qu'il me dirait;
il ſe plaignoit deuant les autres de la perte d’un amy qu’un Corſaire Turc auoit enleué aux coſtes de Sicile;	il se plaignait devant les autres de la perte d'un ami qu'un Corsaire Turc avait enlevé aux côtes de Sicile;
mais en particulier il me conta de la ſorte le ſujet qu’il auoit de ſ'affliger.	mais en particulier il me conta de la sorte le sujet qu'il avait de s'affliger.
Puis que la compaſſion des peines que j’endure vous fait deſirer d’en ſçauoir.	Puis que la compassion des peines que j'endure vous fait désirer d'en savoir.
l’origine;	l'origine;
ſçachez, me dit-il, que je ſuis un Sicilien nommé Polimede, & qu’il y a quelques jours que preſſé de la violance dont l’Amour tourmante la jeuneſſe je me reſolus d’enleuer Amaranthe qui eſt la fille du monde que la Nature a la plus aduantagée en toutes ſortes de perfections;	sachez, me dit-il, que je suis un Sicilien nommé Polimède, et qu'il y a quelques jours que pressé de la violance dont l'Amour tourmante la jeunesse je me résolus d'enlever Amaranthe qui est la fille du monde que la Nature a la plus avantagée en toutes sortes de perfections;
il ne ſe voit rien de plus beau, & auſſi on ne lit point dans toutes les hiſtoires qu’il y ait jamais eu de paſſion ſi forte que la mienne;	il ne se voit rien de plus beau, et aussi on ne lit point dans toutes les histoires qu'il y ait jamais eu de passion si forte que la mienne;
toutes mes penſées n’auoient point d’autre but que de luy plaire, & de rechercher les occaſions de luy rendre chaque jour quelque nouueau ſeruice;	toutes mes pensées n'avaient point d'autre but que de lui plaire, et de rechercher les occasions de jours rendre chaque jour quelque nouveau service;
ſa veuë me rauiſſoit, & je ne croyois pas viure quand j’étois éloigné d’elle:	sa vue me ravissait, et je ne croyais pas vivre quand j'étais éloigné d'elle:
ſa mere reconnut qu’elle me vouloit du bien, & comme enuieuſe de ma bonne fortune elle ſe repentit d’aDES ILLVSTRES BERGERS.	sa mère reconnut qu'elle me voulait du bien, et comme envieuse de ma bonne fortune elle se repentit d'aDES ILUSTRES BERGERS.
127 uoir donné à ſa fille plus de liberté que la couſtume du pays ne luy permettoit;	127 uoir donné à sa fille plus de liberté que la coutume du pays ne te permettait;
ie fus entieremant priué du bon-heur de la voir, & recherchant la cauſe de ce changemat j’apris que cette femme impatiente de demeurer veufue en un âge qui ne faiſoit point pareſtre encore d’infirmité, ſouhaitoit que je luy adreſſaſſe des vœux qui ne ſe deuoient faire qu’à la belle Amaranthe, & plus ſage pour autruy que pour elle-meſme, elle puniſſoit en ſa fille le ſoupçon d’une faute dont elle euſt voulu eſtre coupable:	Ne fus entièremant privé du bonheur de la voir, et recherchant la cause de ce changemat j'apris que cette femme impatiente de demeurer veuve en un âge qui ne faisait point paraître encore d'infirmité, souhait que je lui adressasse des vœux qui ne se devaient faire qu'à la belle Amaranthe, et plus sage pour autrui que pour elle-même, elle punissait en sa fille le soupçon d'une faute dont elle eût voulu être coupable:
après auoir recherché pluſieurs fois les moyens de venir à bout de mon entrepriſe je fus ſi heureus que de gagner à force d’argent l’eſprit d’une vieille femme qui auoit la charge de garder ma Maitreſſe, & de veiller ſur ſes actions;	après avoir recherché plusieurs fois les moyens de venir à bout de mon entreprise je fus si heureus que de gagner à force d'argent l'esprit d'une vieille femme qui avait la charge de garder ma Maîtresse, et de veiller sur ses actions;
ce fut elle qui fit réſoudre Amaranthe de ſouffrir que je l’enleuaſſe dans un vaiſſeau que j’auois fait préparer à cette occaſion au port de l’ancienne Syracuſe, & luy donna l’inuention de ſ'habiller en homme pour ſ’embarquer auecque plus de facilité:	ce fut elle qui fit résoudre Amaranthe de souffrir que je l'enleuasse dans un vaisseau que j'avais fait préparer à cette occasion au port de l'ancienne Syracuse, et avoir donna l'invention de s'habiller en homme pour s'embarquer avec plus de facilité:
mais helas!	mais hélas!
que ce conſeil luy fut pernicieux!	que ce conseil cause fut pernicieux!
qu’il m’a cauſé de déplaiſirs!	qu'il m'a causé de déplaisirs!
ô que les Amoureux ſont dépourueus de iugemant!	ô que les Amoureux sont dépourueus de jugement!
