A TARIS, Chez C.	À TARIS, Chez Ç.
En cinq ou ſix mois paſſez dans aà Charge, je batray bien du Païs.	En cinq ou six mois passez dans à Charge, je batrai bien du Pays.
De la maniere que j’ay le cœur fait, Fripon autant qu’on peut l’eſtre, je ſuis aſſuré que dans ces ſix mois j’auray amaſſé dequoy vous donner de la dorure par deſſus la teſte, avec un Carroſſe aubout.	De la manière que j'ai le cœur fait, Fripon autant qu'on peut l'être, je suis assuré que dans ces six mois j'aurai amassé dequoy vous donner de la dorure par -dessus la tête, avec un Carrosse aubout.
Ce ſera le moyen de faire bombance en nous mariant.	Ce sera le moyen de faire bombance en nous mariant.
b- LA MATRONE.	b- LA MATRONE.
Et vous me tiendrez parole quand vous aurez acquis tant de Bien?	Et vous me tiendrez parole quand vous aurez acquis tant de Bien?
GRAPINIAN.	GRAPINIAN.
Je vous la tiendray de reſte.	Je vous la tiendrai de reste.
Allez, il faut que acheve de dicter une Piece qui eſt fort preſſée.	Allez, il faut que achève de dicter une Pièce qui est fort pressée.
A ſon Clerc.	À son Clerc.
Prenez le rôle que vous avez commencé tantoſt.	Prenez le rôle que vous avez commencé tantôt.
Je me ſouviens de l’endroit où nous ſommes demeurez.	Je me souviens de l'endroit où nous sommes demeurez.
21I 22NE III.	21I 2NE III.
AVNM ARLEQUIN dans ſon Etude, qui dicte à un de ſes Clercs.	AUNM ARLEQUIN dans son Étude, qui dicte à un de ses Clercs.
GRAPINIAN dicte.	GRAPINIAN dicte.
hèiel.	hériel.
IU I pour faire connoiſtre la chicane de la Demandereſſe, il repete, la Chicane de la Demandereſſe, produit quatre Pieces, produit quatre Picces, ſous la Cotte G.	IV I pour faire connaître la chicane de la Demanderesse, il répète, la Chicane de la Demanderesse, produit quatre Pièces, produit quatre Picces, sous la Cotte G.
leſquelles.	lesquelles.
LE CLERC.	LE CLERC.
On n’écrit pas doucement;	On n'écrit pas doucement;
mais c’eſt que vous dietez tropvne, & qu'on ne peut vous ſuivre.	mais c'est que vous dietez tropUne, et qu'on ne peut vous suivre.
GRAPINIAN.	GRAPINIAN.
On ne peut me ſuivre?	On ne peut me suivre?
Oh ne vous y trõpez pas;	Oh ne vous y trommes pas;
a nie veux point de Clerc ceans, qu’il ne faſſe quatre-vingts rôles de Groſſes par jour.	a nie veux point de Clerc ans, qu'il ne fasse quatre-vingts rôles de Grosses par jour.
Vous ne pouvez me ſuivre?	Vous ne pouvez me suivre?
Voyons, s’il vous plaiſt, comment vous vous y prenez.	Voyons, s'il vous plaît, comment vous vous y prenez.
Il regarde le Papier où le Clerc a écrit, & le jettant ſur le Bureau, il dit, Comment diable?	Il regarde le Papier où le Clerc a écrit, et le jetant sur le Bureau, il dit, Comment diable?
Je ne m’etonne pas ſi vous allez ſi doucement;	Je ne m'étonne pas si vous allez si doucement;
vous mettez quatre mots à une ligne;	vous mettez quatre mots à une ligne;
voila le moyen de faire une bonne Maiſon.	voilà le moyen de faire une bonne Maison.
Que cela ne vous arrive plus.	Que cela ne vous arrive plus.
Je ne veux pas qu’on mette plus de deux mots & une virgule a chaque ligne.	Je ne veux pas qu'on mette plus de deux mots et une virgule a chaque ligne.
Peſtci De ce train-la, vous envoyeriez bien toſt le Procureur à l’Hôpital.	Pestci De ce train-la, vous envoyeriez bien tôt le Procureur à l'Hôpital.
Quatre mots a une ligné!	Quatre mots à une ligné!
Fy, c’eſt ſe moquer.	Fi, c'est se moquer.
Quatre mots à une ligne;	Quatre mots à une ligne;
Quand il eſt a ſon Bureau, il dit, A-t-on envoyé enlever les Meubles de ce Maître à dancer?	Quand il est à son Bureau, il dit, A-t-on envoyé enlever les Meubles de ce Maître à dancer?
LE CLERC.	LE CLERC.
Non, Monſieur.	Non, Monsieur.
GRAPINIAN.	GRAPINIAN.
Eſt- ce qu’il prétend payer ſon terme en gambades?	Est- ce qu'il prétend payer son terme en gambades?
LE CLERC.	LE CLERC.
Il dit qu’il ne peut tirer un double de ſes EcoHe18.	Il dit qu'il ne peut tirer un double de ses ÉcoHe18.
SCENE IV GRAPINIAN.	SCÈNE IV GRAPINIAN.
Un Voleur de grand Chemin.	Un Voleur de grand Chemin.
LE CLERC.	LE CLERC.
Oüy, Monſieur.	Oui, Monsieur.
LE VOLEUR à Grapinian.	LE VOLEUR à Grapinian.
Monſieur, je ſuis voſtre Perviteur.	Monsieur, je suis votre Perviteur.
GRAPINIAN ſe levant de ſa Chaiſe.	GRAPINIAN se levant de sa Chaise.
Monneur jujs rais le voſtre.	Monneur jujets rais le vôtre.
LE VOLEUR.	LE VOLEUR.
Un petit mot, Monſieur, s’il vous plaiſt.	Un petit mot, Monsieur, s'il vous plaît.
GRAPINIAN s’approchant de luy.	GRAPINIAN s'approchant de Seigneur.
De quoy s’agit-il pour voſtre ſervice?	De quoi s'agit-il pour votre service?
LE VOLEUR.	LE VOLEUR.
Comme vous eſtes le plus honneſte Homme de tous les Procureurs, je viens à vous, pour vous prier de m’aider de voſtre bon conſeil, dans une petite bagatelle qui m’eſt arrivée.	Comme vous êtes le plus honnête Homme de tous les Procureurs, je viens à vous, pour vous prier de m'aider de votre bon conseil, dans une petite bagatelle qui m'est arrivée.
SIIINCIANT.	SIINCIANT.
Dites, Monſieur.	Dites, Monsieur.
LE VOLEUR.	LE VOLEUR.
En paſſant ſur le grand chemin, j’ay rencontre un Homme monte ſur une Mazete, C’eſtoit un Marchand qui venoit de la Foire.	En passant sur le grand chemin, j'ai rencontre un Homme monte sur une Mazète, C'était un Marchand qui venait de la Foire.
En paſſant, il m’a heurté rudement.	En passant, il m'a heurté rudement.
Il heurte Grapinian, qui fait trois ou quatre pas, & ſe toüchant le coude, il répond, Aſſez, Monſieur.	Il heurte Grapinian, qui fait trois ou quatre pas, et se toüchant le coude, il répond, Assez, Monsieur.
LE VOLEUR continuë.	LE VOLEUR continue.
Moy me ſentant heurté, je luy ay dit, Que veut celuy-là avec ſa Roſſe?	Moi me sentant heurté, je lui ai dit, Que veut celui-là avec sa Rosse?
Cet Homme prenant le party de ſon Cheval, met pied à terre, & ſe jette à mon col.	Cet Homme prenant le parti de son Cheval, met pied à terre, et se jette à mon col.
Nous nous batons, & je le terraſſe.	Nous nous battons, et je le terrasse.
Comme il n’eſtoit pas le lus fort, il s’échape de	Comme il n'était pas le lus fort, il s'échappe de
LE VOLEUR.	LE VOLEUR.
Ii y pouvoit bien avoir environ vingt Piſtoles.	Ji y pouvait bien avoir environ vingt Pistoles.
GRAPINIAN.	GRAPINIAN.
Hom, hom.	Hom, hom.
LE VOLEUR.	LE VOLEUR.
voyant qu’il avoit gagne au pied, je ramaſſe l’argent, je monte ſur ſon Cheval, & je ſuis revenu comme ſi de rien n’eſtoit.	voyant qu'il avait gagne au pied, je ramasse l'argent, je monte sur son Cheval, et je suis revenu comme si de rien n'était.
A cette heure on m’a dit que ce Coquin-là, Monſieur, (Grapinian fait une revérence,) fait informer contre moy, comme contre un Voleur de grand chemin.	À cette heure on m'a dit que ce Coquin-là, Monsieur, (Grapinan fait une révérence,) fait informer contre moi, comme contre un Voleur de grand chemin.
Voyez s’il y a la moindre apparence.	Voyez s'il y a la moindre apparence.
Je vous prie de me dire, où peut bien aller cette Afſaire-là?	Je vous prie de me dire, où peut bien aller cette Afsaire-là?
GRAPINIAN.	GRAPINIAN.
Ma foy, ſi cette Affaire eſt menẽe un peu chaudement, elle pourroit bien aller tout droit à la Greve.	Ma foi, si cette Affaire est mène un peu chaudement, elle pourrait bien aller tout droit à la Greve.
EMIOLEUR.	EMIOLEUR.
Diable!	Diable!
* RAPINIAN.	* RAPINIAN.
herquumd-t-il vu l’action?	herquumd-t-il vu l'action?
LE VOLLON Non Monſieur.	LE VOLON Non Monsieur.
GRAPINIAN.	GRAPINIAN.
Tant-mieux.	Tant-mieux.
Il faut cõmencer par faire mettre le Cheval ſous la clef;	Il faut commencer par faire mettre le Cheval sous la clef;
car ſi ce Marchand vient A i a le découvrir, n’ayant point de Témoins, il ne manquera jamais de le faire interroger ſur Faits & Articles, & vous ſeriez perdu.	car si ce Marchand vient À j' a jamais découvrir, n'ayant point de Témoins, il ne manquera jamais de le faire interroger sur Faits et Articles, et vous seriez perdu.
LE VOLEUR.	LE VOLEUR.
Hé, Monſieur, il n’y a rien a craindre;	Hé, Monsieur, il n'y a rien a craindre;
c’eſt une Roſſe, qui ne peut pas deſſerrer les dents.	c'est une Rosse, qui ne peut pas desserrer les dents.
GRAPINIAN.	GRAPINIAN.
Ne vous fiez-pas à cela.	Ne vous fiez-pas à cela.
Nous voyons tous les jours un Témoin muet, faire bravement rouer ſonTroilnile.	Nous voyons tous les jours un Témoin muet, faire bravement rouer sonTroinile.
LE VOLEUR.	LE VOLEUR.
leite.	leite.
GRAPINIAN.	GRAPINIAN.
Ca, ça, il ne faut point perdre de temps, & il former le premier.	Ça, ça, il ne faut point perdre de temps, et il former le premier.
Les Témoins ieront diablement chers cette annee.	Les Témoins jeront diablement chers cette année.
LE VOLEUR.	LE VOLEUR.
Pourquoy?	Pourquoi?
GRAPINIAN.	GRAPINIAN.
C’eſt qu’on ne leur fait plus de quartier, & qu’on en pend autant qu’on en trouve;	C'est qu'on ne leur fait plus de quartier, et qu'on en pend autant qu'on en trouve;
cela eſt facheux.	cela est fâcheux.
Cependant il en faut avoir, à quelque prix que ce IOit.	Cependant il en faut avoir, à quelque prix que ce JOit.
LE VOLEUR.	LE VOLEUR.
Ma foy, Monſieur, vous aurez bien de la peine, car il ily avoit perreme fur le chemin.	Ma foi, Monsieur, vous aurez bien de la peine, car il y avait perreme fur le chemin.
GRAPINIAN.	GRAPINIAN.
Bon, bon.	Bon, bon.
Nous y en ſcrons bien trouver.	Nous y en scrons bien trouver.
Il eſt un peu de temps ſans rien dire, & apres il continue de la ſorte.	Il est un peu de temps sans rien dire, et après il continue de la sorte.
Je ſonge qu’il y a deux bas.	Je songe qu'il y a deux bas.
Normans qui travaillẽt ordinairement pour moy, mais ils ſont un peu batus de l’oyſeau, & ils ſortent d’une Affaire, ouſans moy, (vous m’entendez bien, ) ils ne ſe rembarqueront qu'a bonnes enſeignes.	Normand qui travaillient ordinairement pour moi, mais ils sont un peu battus de l'oiseau, et ils sortent d'une Affaire, ousans moi, (vous m'entendez bien, ) ils ne se rembarqueront qu'a bonnes enseignes.
LE VOLEUR.	LE VOLEUR.
Tenez, Monſieur, ſortons d’Affaires;	Tenez, Monsieur, sortons d'Affaires;
voila une Bource de vingt Piſtoles.	voilà une Bource de vingt Pistoles.
GRAPINIAN.	GRAPINIAN.
Cela n’eſt tout-au-plus que pour un Temoin, & HIOIERCGA.	Cela n'est tout-au-plus que pour un Temoin, et HIOIERCGA.
LE VOLEUR.	LE VOLEUR.
jen’ay plus d’argent,	j'ai plus d'argent,
GRAPINIAN.	GRAPINIAN.
N’avez-vous pas quelques Nippes, quelques Bijoux, quelque vieux Diamant?	N'avez-vous pas quelques Nippes, quelques Bijoux, quelque vieux Diamant?
En ces occaſions-cy, il ſe faut ſaigner.	En ces occasions-cy, il se faut saigner.
LE VOLEUR.	LE VOLEUR.
Tenez, Monſieur, voila un Diamant de trente Louis, & une Montre, qui en peut bien valoir douze;	Tenez, Monsieur, voilà un Diamant de trente Louis, et une Montre, qui en peut bien valoir douze;
ajuſtez l’Affaire.	ajustez l'Affaire.
GRAPINIAN.	GRAPINIAN.
Je pourray bien pour l’amour de vous, avancer encore cinq ou ſix Piſtores, ee puis tous compte.	Je pourrai bien pour l'amour de vous, avancer encore cinq ou six Pistores, ce puis tous compte.
rez a la fin.	rez a la fin.
LE VOLEUR.	LE VOLEUR.
Monſieur, faites;	Monsieur, faites;
je m’abandonne entre vos mains, je me remẽts à VOtre diſcrétion.	je m'abandonne entre vos mains, je me remens à VOtre discrétion.
GRAPINIAN.	GRAPINIAN.
Allez, laiſſez-moy faire;	Allez, laissez-moi faire;
ce ſera un grand hazard, ſi avec mes deux Têmoins, je n’envoye voſtre Iviar ciald dul Calcres.	ce sera un grand hasard, si avec mes deux Têmoins, je n'envoie votre Jéviar cia r Cialcres.
LE VOLEUR.	LE VOLEUR.
Adieu, Monſieur.	Adieu, Monsieur.
Il s’en va, & Grapinianl appelle.	Il s'en va, et Grapinianl appelle.
GRAPINIAN.	GRAPINIAN.
Monſieur, Monſieur.	Monsieur, Monsieur.
un petit mot.	un petit mot.
Vous avezla une Brandebourg remarquable;	Vous avezla une Brandebourg remarquable;
ſi voſtre Partie la reconnoit, il ne manquera jamais de vous faire arreſter.	si votre Partie la reconnaît, il ne manquera jamais de vous faire arrêter.
Croyezmoy, evitons les malheurs, laiſſez-moy voſtre Brandebourg;	Croyezmoi, évitons les malheurs, laissez-moi votre Brandebourg;
les Archers ſont alerte, & je ſerois fâchẽ qu’on vous priſt au ſortir d’icy.	les Archers sont alerte, et je serais fâchẽ qu'on vous prît au sortir d'ici.
Il luy oſte ſa Drandebourg.	Il était ôte sa Drandebourg.
LE VOLEUR.	LE VOLEUR.
Au moins, prenez garde qu’elle ne ſe perdê.	Au moins, prenez garde qu'elle ne se perdêmes.
GRAPINIAN.	GRAPINIAN.
N’ayez pas peur;	N'ayez pas peur;
je m’en vay la faire parapher ne varietur.	je m'en vais la faire parapher ne variétur.
Le Voleur s’en eſtant allé, Grapinian continuë.	Le Voleur s'en étant allé, Grapinian continue.
Vingt Piſtoles, un Diamant, une Montre, une Brandebourg.	Vingt Pistoles, un Diamant, une Montre, une Brandebourg.
Ne vaut-il pas autant que je profite de cela, qu’un Prevoſt?	Ne vaut-il pas autant que je profite de cela, qu'un Prévôt?
Auſſibien ce Coquin-la ſe va faire roüer au premier jour.	Aussibien ce Coquin-la se va faire rouer au premier jour.
Eſtant retourné à ſon Bureau, il dit.	Étant retourné à son Bureau, il dit.
Ces Marchands de Vin m’ont-ils envoyé les deux demy muids qu’ils m’avoient promis?	Ces Marchands de Vin m'ont-ils envoyé les deux demi muids qu'ils m'avaient promis?
LE CLERC.	LE CLERC.
Non, Monſieur.	Non, Monsieur.
IRAPINIAN.	JRAPINIAN.
22i?	22i?
Hé-bien, bien, leur Affaire ira comme je boiray.	Hé-bien, bien, leur Affaire ira comme je boirai.
SCENE IV GRAPINIAN, MARAUDIN Sergent.	SCÈNE IV GRAPINIAN, MARAUDIN Sergent.
MARAUDIN.	MARAUDIN.
Onſieur Grapinian EVZeſt-il icy?	Onsieur Grapinian EUZest-il ici?
GRAPINIAN.	GRAPINIAN.
Ha morbleu, Mr Maraudin, vous m’avez penſé perdre.	Ha morbleu, M Araudin, vous m'avez pensé perdre.
MARAUDIN.	MARAUDIN.
Comment?	Comment?
D	D
GRAPINIAN.	GRAPINIAN.
Je vous avois prié de faire un Commandement datté de l’an 1647.	Je vous avais prié de faire un Commandement datté de l'an 1647.
pour cette finuire qui eſt ſur le Bureau.	pour cette finuire qui est sur le Bureau.
MARAUDIN.	MARAUDIN.
Tie-Dien, ne Pajeje pas d’abord fait?	Tie-Dien, ne Paje pas d'abord fait?
GRAPINIAN.	GRAPINIAN.
De par tous les Diables, oüy, vous l’avez fait;	De par tous les Diables, oui, vous l'avez fait;
mais au lieu de le datter d’un jour utile, vous l’avez datte d’un Dimanche.	mais au lieu de le dater d'un jour utile, vous l'avez datte 'un Dimanche.
MARAUDIN.	MARAUDIN.
Il eſt vray que je n’avois point d’Almanach de l’an 1647.	Il est vrai que je n'avais point d'Almanach de l'an 1647.
& j’ay mis la datte à la bouleveue.	et j'ai mis la datte à la bouleveue.
GRAPINIAN.	GRAPINIAN.
Que-diable n’en veniez vous prendre un chez moy?	Que-diable n'en veniez -vous prendre un chez moi?
Vous ſçavez que en ay de plus de cent ans de ſuite.	Vous savez que en ai de plus de cent ans de suite.
MARAUDIN.	MARAUDIN.
Une autre fois je ſéray plus circonſpect.	Une autre fois je sérai plus circonspect.
GRAPINIAN.	GRAPINIAN.
Cependant ſi les Juges D I découvrent ce petit manége, ils ne manqueront pas de dire que je ſuis un Fripon;	Cependant si les Juges D I découvrent ce petit manège, ils ne manqueront pas de dire que je suis un Fripon;
& vous ſçavez dans voſtre conſcience, que ce que j’en ay fait, n’eſt que pour vous obliger, & pour faire gagner ma Partie;	et vous savez dans votre conscience, que ce que j'en ai fait, n'est que pour vous obliger, et pour faire gagner ma Partie;
car ſans cela, Il ſifle, le Procés eſtoit flambẽ.	car sans cela, Il sifle, le Procès était flambẽ.
A propos, M'Maraudin, ſouvenez-vous que dans le Decret de ces rraureiit as de Bois, j'Occupe pour neuf Perſonnes, ſous le nomdes Procureurs que je vous ay nommez ce matin.	À propos, M'Maraudin, souvenez-vous que dans le Décret de ces ravreiit as de Bois, j'Occupe pour neuf Personnes, sous le nomdes Procureurs que je vous ai nommez ce matin.
Que les Significations aillent alipeudanerai?	Que les Significations aillent alipeudanerai?
MARAUDIN.	MARAUDIN.
Ne vous en mettez pas en peine, je feray ma Charge.	Ne vous en mettez pas en peine, je ferai ma Charge.
De ce train-là, vous allez lalrc Mſſe Donne Maiſon.	De ce train-là, vous allez laleurc Msse Donne Maison.
GRAPINIAN.	GRAPINIAN.
Les cinq ou ſix premieres années, on travaille un peu chaudement à ſes affaires.	Les cinq ou six premières années, on travaille un peu chaudement à ses affaires.
D iij	 Dijà
MARAUDIN.	MARAUDIN.
Caetre le Hedre.	Caètre le Hèdre.
GRAPINIAN.	GRAPINIAN.
Bon, bon, guare le heurt.	Bon, bon, guare le heurt.
Mon Amy, il n’y a rien de tel que d’établir ſa fortune;	Mon Ami, il n'y a rien de tel que d'établir sa fortune;
apres on ſe fait des riiilisy orr tuene de ſe faire Marguillier.	après on se fait des riilisy orr tuène de se faire Marguillier.
MANAODIN.	MANANDIN.
Vous, Marguillier!	Vous, Marguillier!
GRAPINIAN.	GRAPINIAN.
Oüy-dea, Marguillier.	Oui-dea, Marguillier.
C’eſt un tres-bon Vernis ſur la réputation d’un Procureur.	C'est un très-bon Vernis sur la réputation d'un Procureur.
MARAUDIN en s’en allant.	MARAUDIN en s'en allant.
O le franc Scelerat, le Iralle Seclerat :	Ô le franc Scélérat, le Jralle Seclerat :
GRAPINIAN ſeul.	GRAPINIAN seul.
Il faut que je me défaſſe de ce Fripon-là, il gaſteroit toutes mes affaires.	Il faut que je me défasse de ce Fripon-là, il gâterait toutes mes affaires.
Voyez un peu quelle brutalité;	Voyez un peu quelle brutalité;
datter une Fauſſeté d’un Dimanche!	datter une Fausseté d'un Dimanche!
SCENE V LE MARQUIS, GRAPINIAN, UN PAGE, UN CLERC.	SCÈNE V LE MARQUIS, GRAPINIAN, UN PAGE, UN CLERC.
LE CLERC.	LE CLERC.
Onſieur, un Page vEdemande à vous parler.	Onsieur, un Page vÉdemande à vous parler.
GRAPINIAN.	GRAPINIAN.
Un Page!	Un Page!
La mode en eſt dõc revenuë?	La mode en est do revenuë?
Ces Gens-là ont-ils des Affaires?	Ces Gens-là ont-ils des Affaires?
N’eſtce pas plûtoſt quelque mauvais Train qu’on a délogé?	N'est pas plutôt quelque mauvais Train qu'on a délogé?
Faites le venir.	Faites le venir.
ſeul.	seul.
C’eſt peut-eſtre auſſi quelque Enfant de bonne Maiſon, qui voyant qu’il n’y a plus rien à ſaire avec les Gens de qualité, me vient demander une place dans mon Etude, mais je n’en ay point a luy donner.	C'est peut-être aussi quelque Enfant de bonne Maison, qui voyant qu'il n'y a plus rien à zaïre avec les Gens de qualité, me vient demander une place dans mon Étude, mais je n'en ai point a lui donner.
LE PAGE.	LE PAGE.
Monſieur, c’eſt Mr le Marquis de Grimouche, qui demande à vous parler.	Monsieur, c'est Mr le Marquis de Grimouche, qui demande à vous parler.
GRAPINIAN.	GRAPINIAN.
Qul:	Qul:
LE PAGE.	LE PAGE.
Je vous dis que Mr le Marquis de Grimouche deſſiaiide à vous parler.	Je vous dis que Mr le Marquis de Grimouche dessiaiide à vous parler.
GRAPINIAN.	GRAPINIAN.
Si c’eſt pour peu de temps, qu’il vienne.	Si c'est pour peu de temps, qu'il vienne.
ſeul.	seul.
Viſites de Marquis n’achalandent guëres une Etude;	Visites de Marquis n'achalandent guère une Étude;
car outre qu’ils ſont ignorans en Affaires.	car outre qu'ils sont ignorants en Affaires.
ils empeſchent un Procureur de faire les ſiennes.	ils empêchent un Procureur de faire les siennes.
LE MARQUIS paroiſt.	LE MARQUIS paraît.
Ha, bonjour, Mr Grapinian;	Ha, bonjour, Mr Grapinian;
bonjour, M' Grapinian.	bonjour, M' Grapinian.
Que je ſuis gros de vous voir!	Que je suis gros de vous voir!
Je me fais un vray plaiſir de vous embraſſer, & ſans une groſſe Affaire qui m’a un peu dérangé, je n’aurois pas eſté ſi longtemps ſans vous dire, que je ſuis, morbleu, tout a vous.	Je me fais un vrai plaisir de vous embrasser, et sans une grosse Affaire qui m'a un peu dérangé, je n'aurais pas été si longtemps sans vous dire, que je suis, morbleu, tout a vous.
Sans contredit, vous n’avez pas un meilleur Amy, & plus chaud que moy.	Sans contredit, vous n'avez pas un meilleur Ami, et plus chaud que moi.
En diſant cela, il le tient par la lmain, & luy ſecoue le bras.	En disant cela, il le tient par la lamain, et Ah secoue le bras.
GRAPINIAN.	GRAPINIAN.
Ny plus eſtropiant.	Ni plus estropiant.
LE MARQUIS.	LE MARQUIS.
Dieu ſçait comme je m’en explique.	Dieu serait comme je m'en explique.
GRAPINIAN.	GRAPINIAN.
Vous feriez bien mieux de vous expliquer de certains Frais qui me ſont encore dûs.	Vous feriez bien mieux de vous expliquer de certains Frais qui me sont encore dus.
Vous autres Gens de qualité, quand vous avez frapé deux coups ſur l’épaule du Procureur, vous croyez que c’eſt de l’argent comptant, & qu’un peu de bienveillance acquite vos debtes.	Vous autres Gens de qualité, quand vous avez frappé deux coups sur l'épaule du Procureur, vous croyez que c'est de l'argent comptant, et qu'un peu de bienveillance acquite vos débtes.
En luy montrant ſes Clercs.	En Elle montrant ses Clercs.
Mr le Marquis, on ne nourrit pas quatre Clercs avec des complimens;	Mr le Marquis, on ne nourrit pas quatre Clercs avec des compliments;
& n’ous autres Procureurs, nous n’ecrivons que pour toucher de l’argent.	et n'ous autres Procureurs, nous n'écrivons que pour toucher de l'argent.
LE MARQUIS.	LE MARQUIS.
– Ho, je le ſçay-bien, je le ſçay-bien;	– Ho, je le sais-bien, je le sçay-bien;
mais, Dieumercy, M' Grapinian, je ne vous dois plus rien.	mais, Dieumerci, M' Grapinian, je ne vous dois plus rien.
GRAPINIAN.	GRAPINIAN.
Vous ne me devez plus rien!	Vous ne me devez plus rien!
Et cette Requeſte de ſalvation de trente rôles, qui me la payera?	Et cette Requête de salvation de trente rôles, qui me la payera?
Vous ſçavez que j’y ay paſſé deux nuits.	Vous savez que j'y ai passé deux nuits.
à ſes Clercs.	à ses Clercs.
Hola, où eſt la Requeſte de Mr le Marquis?	Holà, où est la Requête de Mr le Marquis?
LE CLERC.	LE CLERC.
La voila, Monſieur.	La voilà, Monsieur.
GRAPINIAN.	GRAPINIAN.
Comme les Gens de qualité n’ont pas plus d’argent qu’il ne leur en faut, & que d’ailleurs vous me faites l’honneur de m’aimer, je ne prendray que vingt ſols du róle.	Comme les Gens de qualité n'ont pas plus d'argent qu'il ne leur en faut, et que d'ailleurs vous me faites l'honneur de m'aimer, je ne prendrai que vingt sols du rèle.
Il y a trente róles, ce n’eſt que trente francs.	Il y a trente rèles, ce n'est que trente francs.
LE MARQUIS.	LE MARQUIS.
S’il n’y a que cela, bien que le Jeu m’ait un peu coulé a fond, j’ay encore dequoy vous payer.	S'il n'y a que cela, bien que le Jeu 'ait un peu coulé a fond, j'ai encore dequoy vous payer.
Tenez, M' Grapinian, voila une Piece de quatre Piſtoles, prenez dix Ecus, & me rendez quat orze francs.	Tenez, M' Grapinian, voilà une Pièce de quatre Pistoles, prenez dix Écus, et me rendez quat orze francs.
Grapinian tenant la Piece, ſonge, & le Marquis continué.	Grapinian tenant la Pièce, songe, et le Marquis continué.
Quoy?	Quoi?
vous doiloes,	vous doiloes,
GRAPINIAN.	GRAPINIAN.
Je ſonge qu’il ne vous faut rien rendre.	Je songe qu'il ne vous faut rien rendre.
LE MARQUIS.	LE MARQUIS.
Il ne me faut rien rendre?	Il ne me faut rien rendre?
Ne m’avez-vous pas die qu’il fie vous falloit que vingt ſols du róle?	Ne m'avez-vous pas die qu'il fie vous fallait que vingt sols du rèle?
GRAPINIAN.	GRAPINIAN.
Oüy.	Oui.
LE MARQUIS.	LE MARQUIS.
De voſtre propre aveu, la Requeſte n’a que trente róles, qui font trente livres.	De votre propre aveu, la Requeste n'a que trente rèles, qui font trente livres.
GRAPINIAN.	GRAPINIAN.
Celd clc vlay.	Celd clc vlai.
LE MARQUIS.	LE MARQUIS.
Je vous en donne quarante-quatre.	Je vous en donne quarante-quatre.
GRAPINIAN.	GRAPINIAN.
’en demeure d’accord.	’en demeure d’accord.
LE MARQUIS.	LE MARQUIS.
Il me ſemble donc que je compte juſte, quand je vous en demande quatorze.	Il me semble donc que je compte juste, quand je vous en demande quatorze.
GRAPINIAN.	GRAPINIAN.
Vous comptez bien, mais vous redemandez mal.	Vous comptez bien, mais vous redemandez mal.
Quand je fis voſtre Requeſte, le Raporteur eſtoit ſi haſte de juger.	Quand je fis votre Requête, le Rapporteur était si hâte de juger.
que je fus contraint d’entaſſer vos raiſons les unes ſur les autres, & obligé de metre en trente rôles, ce qu’on ne pouvoit dire qu’en quarante-quatre.	que je fus contraint d'entasser vos raisons les unes sur les autres, et obligé de metre en trente rôles, ce qu'on ne pouvait dire qu'en quarante-quatre.
Préſentement que l’Affaire eſt jugée, & que nous avons loiſir d’étendre nos Defences, je m’en vais faire ajouter les quatorze rôles, qui manquent.	Présentement que l'Affaire est jugée, et que nous avons loisir d'étendre nos Défences, je m'en vais faire ajouter les quatorze rôles, qui manquent.
Aux Clercs.	Aux Clercs.
Hola, vous autres, brochez moy viſte quatorze rôles de Groſſe, pour achever la Requeſte de Mrle Marquis.	Holà, vous autres, brochez moi vite quatorze rôles de Grosse, pour achever la Requête de Mrle Marquis.
Je penſe qu’il y en a la de tous faits.	Je pense qu'il y en a la de tous faits.
LE MARQUIS.	LE MARQUIS.
Mon pauvre Mr Grapiman, puis que mon Affaire eſt jugée, pourquoy y ajouter encore queique choſe?	Mon pauvre Mr Grapiman, puis que mon Affaire est jugée, pourquoi y ajouter encore que chose?
GRAPINIAN.	GRAPINIAN.
Ce n’eſt pas par intereſt ce que j’en fais, mais pour mon honneur;	Ce n'est pas par intérêt ce que j'en fais, mais pour mon honneur;
& je ne veux pas qu’il ſorte une paire d’Ecriture de mon Etude, ſans y avoir donné la derniere main.	et je ne veux pas qu'il sorte une paire d'Écriture de mon Etude, sans y avoir donné la dernière main.
Attendez, cela va eſtre fait cout-a-Ineurc.	Attendez, cela va été fait coût-a-Ineurc.
LE MARQUIS.	LE MARQUIS.
Non, mon Amy, je ne puis pas, je cours ce ſoir le Bal;	Non, mon Ami, je ne puis pas, je cours ce soir le Bal;
j’eſtois venu pour vous parler d’une Affaire, mais ce ſera pour unẽ autre fois.	j'étais venu pour vous parler d'une Affaire, mais ce sera pour un autre fois.
Adieu, noſtre Amy.	Adieu, notre Ami.
GRAPINIAN.	GRAPINIAN.
Laiſſez-donc un de vos Gens pour emporter la Atquelte.	Laissez-donc un de vos Gens pour emporter la Atquelte.
LE MARQUIS.	LE MARQUIS.
Un de mes Gens?	Un de mes Gens?
Quoy.	Quoi.
irois moy ſeul dans les Rues avec trois Laquais?	irais moi seul dans les Rues avec trois Laquais?
Hé vous vous moquez, M' Grapinian, on me croiroit à l’Hôpital.	Hé vous vous moquez, M' Grapinian, on me croirait à l'Hôpital.
Laquais, rais courner inoſr Carroſſe.	Laquais, rais courner inosr Carrosse.
GRAPINIAN au Laquais.	GRAPINIAN au Laquais.
