ADVIS AV LECTEVR.	ADVIS AU LECTEUR.
Il ne l’eut pas plutoſt reçeuë, qu’il l’ouvrit, & conçeut une ſi grande joye en la liſant, qu’il alla trouver Ablancour à ſon Auberge.	Il ne l'eut pas plutôt reçue, qu'il l'ouvrit, et conçut une si grande joie en la lisant, qu'il alla trouver à son Auberge.
D’abord qu’il le vit, il l’embraſſa fort étroitement, & le remercia de ſa bonté.	D'abord qu'il le vit, il l'embrassa fort étroitement, et le remercia de sa bonté.
Ie ne doute point, luy dit-il, que je ne doive à ton adreſſe la faveur que la belle Dargin m'a accordé, puis que juſques à ce moment je n’ay pû rien obtenir d’elle.	Je ne doute point, Seigneur dit-il, que je ne doive à ton adresse la faveur que la belle Dargin m'a accordé, puis que jusques à ce moment je n'ai pu rien obtenir d'elle.
Tu ne me dois rien, luy repartit le Chevalier, & je n’ay rien fait qui te puiſſe engager a aucune reconnoiſſance.	Tu ne me dois rien, Seigneur répartit le Chevalier, et je n'ai rien fait qui te puisse engager a aucune reconnaissance.
Genereux Amy, reprit Derville ne te retranches point ſur une fauſſe modeſtie;	Généreux Ami, reprit Derville ne te retranches point sur une fausse modestie;
avouë que c’eſt à ta priere que cette Belle m’a fait une Réponſe ſi favo rable.	avoue que c'est à ta prière que cette Belle m'a fait une Réponse si favo rable.
Il luy montra ſa Lettre.	Il te montra sa Lettre.
Ablancour fut ſurpris au der nier poinct, quand il vit l caractere de ſa Maiſtreſſe;	Ablancour fut surpris au der nier point, quand il vit lettre caractère de sa Maîtresse;
c I I comme il l’aimoit paſſioné « ment, il changea mille foisd r couleur en liſant les douceur I qu’elle écrivoit à ſon Rival c.	ç I I comme il l'aimait passioné " ment, il changea mille foisd r couleur en lisant les douceur I qu'elle écrivait à son Rival ç.
mais le rendez-vous qu’il vi au bas, acheva ſa douleur Derville l’apperçeut par l’al teration de ſon viſage;	mais le rendez-vous qu'il vi au bas, acheva sa douleur Derville l'aperçut par l'al teration de son visage;
il n’er ſoupçonna pourtant point l ſujet, en eſtant empeſché pa U ( 1e ans ell AVo tre t la 6 oné is di eur val I vi eul Ial 1e t pa 41 la trop grande préoccupation d’eſprit que luy cauſoit ſon bonheur.	il n'er soupçonna pourtant point l sujet, en étant empêché pay V ( 1e ans elle AVo tre t la 6 oné is diis malheur val I vi eul Ial 1e t a 41 la trop grande préoccupation d'esprit que lui causait son bonheur.
Ablancour luy fit entendre que le mal qu’il ſentoit vouloit un peu de repos.	Ablancour Seigneur fit entendre que le mal qu'il sentait voulait un peu de repos.
Il eût aſſez de diſcretion pour le laiſſer ſeul en proye aux mouvemens les plus violens de la Jalouſie.	Il eût assez de discrétion pour le laisser seul en proie aux mouvements les plus violents de la Jalousie.
Il forma quelques plaintes contre ſa deſtinée;	Il forma quelques plaintes contre sa destinée;
& pour s’éclaircir entierement de ſon malheur, il alla chez la belle Dargin, laquelle il ne pût voir, à cauſe de l’ordre exprés qu’elle avoit donné de luy refuſer l’entrée de ſa Chambre;	et pour s'éclaircir entièrement de son malheur, il alla chez la belle Dargin, laquelle il ne put voir, à cause de l'ordre exprès qu'elle avait donné de deux refuser l'entrée de sa Chambre;
car elle le prenoit plutoſt pour un Eſpion que pour un Adorateur.	car elle le prenait plutôt pour un Espion que pour un Adorateur.
Noſtre Amant entra dans un profond deſeſpoir, voyant que malgré ſes prieres & ſes efforts les plus preſſans, il ne luy fut pas poſſible de parler à elle:	Notre Amant entra dans un profond désespoir, voyant que malgré ses prières et ses efforts les plus pressants, il ne lui fut pas possible de parler à elle:
Ce qui le confirma dans ſa penlée, & jugea du bonheur de Derville par ſon infortune.	Ce qui le confirma dans sa penlée, et jugea du bonheur de Derville par son infortune.
C’eſt pourquoy dans l’empor.	C'est pourquoi dans l'empor.
tement dont il eſtoit aveuglé il forma la reſolution de trahit ſa Maiſtreſſe & ſon heureux Rival, en les faiſant ſurprendre dans leurs plaiſirs par le Mary:	tement dont il était aveuglé il forma la résolution de trahit sa Maîtresse et son heureux Rival, en les faisant surprendre dans leurs plaisirs par le Mari:
mais il ne pût trouver le moyen dans toute la jour.	mais il ne put trouver le moyen dans toute la jour.
née d’entretenir Dargin pour luy découvrir leurs deſſeins;	née d'entretenir Dargin pour lui découvrir leurs desseins;
ce qui le fit reſoudre à ſe vanger par une autre voye.	ce qui le fit résoudre à se venger par une autre voie.
Derville ne manqua pas de ſe trouver le ſoir à l’heure marquée chez ſa Maiſtreſſe, à laquelle il témoigna à ſon abord le plaiſir qu’il ſentoit d’eſtre enfin parvenu au bienheureux moment où il avoit tant ſouhaité d’eſtre, & la remercia par avance de la faveur qu’il eſperoit qu’elle luy alloit faire.	Derville ne manqua pas de se trouver le soir à l'heure marquée chez sa Maîtresse, à laquelle il témoigna à son abord le plaisir qu'il sentait d'être enfin parvenu au bienheureux moment où il avait tant souhaité d'être, et la remercia par avance de la faveur qu'il espérait qu'elle lui avait faire.
La Dame le reçeut avec un accueil fort doux, & luy marqua une joye extréme de le voir:	La Dame le reçut avec un accueil fort doux, et ton marqua une joie extrême de le voir:
Elle le fit aſſoir auprés d’elle ſur un petit Lit de repos, & luy dit qu’ils avoient du temps pour ſe parler ſans crainte, ſon Mary eſtant allé à la Campagne.	Elle le fit assoir auprès d'elle sur un petit Lit de repos, et et dit qu'ils avaient du temps pour se parler sans crainte, son Mari étant allé à la Campagne.
Ils ne furent pas plutoſt entrez en conver.	Ils ne furent pas plutôt entrez en conver.
ſation, que le Jaloux qui n’avoit pas ſorty de ſa Maiſon feignant de revenir de bien loin, fit grand bruit;	sation, que le Jaloux qui n'avait pas sorti de sa Maison feignant de revenir de bien loin, fit grand bruit;
de ſorte que la Dame Dargin faiſant l’embaraſſée, pria Derville de ſe cacher dans un petit Cabinet pour éviter ſa preſence.	de sorte que la Dame Dargin faisant l'embarrassée, pria Derville de se cacher dans un petit Cabinet pour éviter sa présence.
donnant l’eſperance à cette malheureuſe dupe, que bientoſt elle trouveroit l’invention de le tirer de peine.	donnant l'espérance à cette malheureuse dupe, que bientôt elle trouverait l'invention de le tirer de peine.
Le Mary en entrant dans ſa Chambre;	Le Mari en entrant dans sa Chambre;
dit fort haut à ſa Femme, pour eſtre entendu de Derville, afin qu’il ne ſe défiaſt point de leur intelligence;	dit fort haut à sa Femme, pour être entendu de Derville, afin qu'il ne se défiât point de leur intelligence;
qu'il s eſtoit trouvé ſi mal en chemin, qu’il avoit eſté obligé de retourner ſur ſes pas, & remettre ſon voyage à un autre jour.	qu'il s estoit trouvé si mal en chemin, qu'il avait été obligé de retourner sur ses pas, et remettre son voyage à un autre jour.
Il ſe fit apporter à ſouper, & ſe mit au Lit.	Il se fit apporter à souper, et se mit au Lit.
L’eſpoir eſtant plus fort que la peur dans l’eſprit de Derville, il ſe flatoit que le Fâcheux ne ſeroit pas plutoſt endormy, que ſa Maîtreſſe le viendroit délivrer de ſa priſone:	L'espoir étant plus fort que la peur dans l'esprit de Derville, il se flattait que le Fâcheux ne serait pas plutôt endormi, que sa Maîtresse le viendrait délivrer de sa prisone:
mais Dargin par une toux perpétuelle, luy faiſoit bien juger qu’il n’eſtoit pas encor preſt d’en ſortir.	mais Dargin par une toux perpétuelle, lui faisait bien juger qu'il n'était pas encor prêt d'en sortir.
A une heure apres minuit, ou environ, qui eſt le temps que tout le monde eſt retiré, le Jaloux feignant avomontonuu A - - - C-e» remüer quelque choſe, ſe leva diſant qu’il y avoit aſſurémen quelqu’un de caché dans ſe Maiſon.	À une heure après minuit, ou environ, qui est le temps que tout le monde est retiré, le Jaloux feignant avomontonu A - - - Ç remüer quelque chose, se leva disant il y avoit assurémen quelqu’un de caché dans se Maison.
Sa Femme qui eſtoir de concert avec luy, vouloit I’en deſabuſer en apparence.	Sa Femme qui estoir de concert avec lui, voulait J'en désabuser en apparence.
mais malgré les feints effort qu’elle faiſoit pour ſauver Der ville, il demanda de la chandelle, & cria au voleur.	mais malgré les feints effort qu'elle faisait pour sauver Der ville, il demanda de la chandelle, et cria au voleur.
Ablancour qui attendoit dans la Rue en ſe promenant, que ſon Ri val ſortiſt, pour le tuer à li I L Oe n cl d V I tr P n m he faveur de l’obſcurité de la nuit c fut fort ſurpris d’entendre une grande rumeur dans le Logis ( pe & de voir que l’on alla queri au pluſieurs Voiſins qui y vinrent en foule.	Ablancour qui attendait dans la Rue en se promenant, que son Ri val sortît, pour le tuer à li I N Oe cl d V I on D n m hé faveur de l'obscurité de la nuit ç fut fort surpris d'entendre une grande rumeur dans le Logis ( pe et de voir que l'on alla queri au plusieurs Voisins qui y vinrent en foule.
Il ſe meſla dans le enombre, & entra avec eux.	Il se mêla dans le enombre, et entra avec eux.
Dargin avoit l’eſprit ſi préoccupé de ſon entrepriſe, qu’il ne prit pas garde à luy.	Dargin avait l'esprit si préoccupé de son entreprise, qu'il ne prit pas garde à lui.
Il fit chercher par tout en preſence des aſſiſtans, & enfin on ouvrit le Cabinet, où l’on trouva Derville effrayé.	Il fit chercher par tout en présence des assistants, et enfin on ouvrit le Cabinet, où l'on trouva Derville effrayé.
Chacun l’outragea à ſon tour, le prenant pour un Homme qui avoit mauvais deſſein.	Chacun l'outragea à son tour, le prenant pour un Homme qui avait mauvais dessein.
L’on luy demanda ce qu’il faiſoit à telle heure caché dans une Maiſon d’honneur.	L'on lui demanda ce qu'il faisait à telle heure caché dans une Maison d'honneur.
Il eſtoit ſi interdit, qu’il avoit perdu l’uſage de la parole:	Il était si interdit, qu'il avait perdu l'usage de la parole:
Hé quand meſme il auroit propoſé des defenſes valables, auroient-elles eſté entenduës?	Hé quand même il aurait proposé des défenses valables, auraient-elles été entendues?
ayant affaire en ce moment à une populace qui ne ſe gouverne que par le caprice, & non par la raiſon Dargin l’accompagna luymeſme chez un Commiſſaire afin que ſa veuë luy donnant de la confuſion, il ne confeſſaſt point le veritable ſujet pour lequel il avoit eſté trouyé dans ſa Maiſon:	ayant affaire en ce moment à une populace qui ne se gouverne que par le caprice, et non par la raison Dargin l'accompagna luymesme chez un Commissaire afin que sa vue était donnant de la confusion, il ne confessât point le véritable sujet pour lequel il avait été trouié dans sa Maison:
Et en effet ce malheureux Amant, ſoit qu’il voulût épargner la reputation de ſa Maiſtreſſe, ou n’oſaſt avoüer en preſence de Dargin l’outrage qu’il vouloit faire a ſon honneur, plutoſt que de rien dire, aima mieur ſe laiſſer traîner en priſon, où il paſſa le reſte de la nuit en 111 49 un état plus déplorable que celuy dans lequel il avoit prétendu la paſſer avec la belle Dargin.	Et en effet ce malheureux Amant, soit qu'il voulut épargner la réputation de sa Maîtresse, ou n'osât avouer en présence de Dargin l'outrage qu'il voulait faire à son honneur, plutôt que de rien dire, aima mieur se laisser traîner en prison, où il passa le reste de la nuit en 111 49 un état plus déplorable que celui dans lequel il avait prétendu la passer avec la belle Dargin.
Pendant tout ce temps, le Chevalier qui eſtoit moins entré chez Dargin pour le ſecourir, que pour voir ſa Femme, ne l’avoit point abandonnée.	Pendant tout ce temps, le Chevalier qui était moins entré chez Dargin pour le secourir, que pour voir sa Femme, ne l'avait point abandonnée.
Dans l’entretien que ces deux Amans avoient eü enſemble apres s’eſtre un peu querellez, ils s’eſtoient reciproquement deſabuſez de l'erreur où ils avoient eſté;	Dans l'entretien que ces deux Amants avaient eu ensemble après s'être un peu querellez, ils s'étaient réciproquement désabusés de l'erreur où ils avaient été;
à ſçavoir, la Maiſtreſſe, de ce qu’elle croyoit que ſon Amant eſtoit d’intelligence avec ſon Mary, & fut perſuadée que ſi il ſembloit ſe ranger de ſon 50 Fieces Diverſes, party, ce n’eſtoit que pour s’impatroniſer chez elle, trouver le moyen de la voir à toute heure, & n’eſtre point geſner dans leur amour;	à savoir, la Maîtresse, de ce qu'elle croyait que son Amant était d'intelligence avec son Mari, et fut persuadée que si il semblait se ranger de son 50 Fièces Diverses, parti, ce n'était que pour s'impatroniser chez elle, trouver le moyen de la voir à toute heure, et n'être point gêner dans leur amour;
& Ablancour, de la croyance qu’il avoit eü que ſon Rival eſtoir plus heureux que luy.	et Ablancour, de la croyance qu'il avait eu que son Rival estoir plus heureux que lui.
Ils en tendirent le Jaloux.	Ils en tendirent le Jaloux.
Le Chevalier ſe vouloit montrer à luy ſans crainte, ayant d’aſſez bonnes raiſons pour ne point eſtre ſuſpect à ſes yeux, quoy que le temps ne fût pas fort propre à rendre viſite:	Le Chevalier se voulait montrer à lui sans crainte, ayant d'assez bonnes raisons pour ne point être suspect à ses yeux, quoi que le temps ne fût pas fort propre à rendre visite:
mais la Dame qui avoit beſoin de luy, ne le vouloit pas laiſſer ſortir, prévoyant qu’il ſeroit obligé de s’en aller, ſi ſon Mary le voyoit.	mais la Dame qui avait besoin de Seigneur, ne le voulait pas laisser sortir, prévoyant qu'il serait obligé de s'en aller, si son Mari le voyait.
Elle l’empeſcha de le voir, & le fit cacher à la ruelle de ſon Lit dans un endroit ſecret où Dargin alloit rarement.	Elle l'empêcha de le voir, et le fit cacher à la ruelle de son Lit dans un endroit secret où Dargin allait rarement.
Eſtant arrivé, il raconta à ſa Femme ce qui s’eſtoit paſſé depuis qu’il ne l’avoit veuë, & goûtoit à longs traits la douceur de ſa vangeance, en luy faiſant une peinture de la confuſion où eſtoit Derville.	Étant arrivé, il raconta à sa Femme ce qui s'était passé depuis qu'il ne l'avait vue, et goûtait à longs traits la douceur de sa vengeance, en lui faisant une peinture de la confusion où était Derville.
Il ſe mit au Lit;	Il se mit au Lit;
& la fatigue qu’il venoit d’avoir ayant eſté fort grande, elle fut cauſe qu’il s’endormit auſſitoſt.	et la fatigue qu'il venait d'avoir ayant été fort grande, elle fut cause qu'il s'endormit aussitôt.
La Belle emmena Ablancour dans une autre Chambre, dans le deſſein d’y paſſer la nuit enſemble;	La Belle emmena Ablancour dans une autre Chambre, dans le dessein d'y passer la nuit ensemble;
mais de E I crainte que ſon Mary ne ſe réveillaſt, & ſe ſentît ſeul elle dit à une vieille Servante qu’elle avoit, d’aller tenir ſe place aupres de luy.	mais de E I crainte que son Mari ne se réveillât, et se sentît seul elle dit à une vieille Servante qu'elle avait, d'aller tenir se place auprès de Seigneur.
Elle lu fit entendre que pluſieurs rau ſons l’empeſchoient d’y cou cher pendant cette nuit qu’au reſte elle n’avoit rien à craindre pour ſa chaſtete (quoy qu’elle ne fût plus en état de cauſer les moindre mouvemens;	Elle lu fit entendre que plusieurs rau sons l'empêchaient d'y cou cher pendant cette nuit qu'au reste elle n'avait rien à craindre pour sa chasteté (quoi qu'elle ne fût plus en état de causer les moindre mouvements;
que ſon Mar en ſeroit plutoit le defenſeu Se tu ja.	que son Mar en serait plutait le défendseu Se tu ja.
pe fa M el ch Je el di ta do S0 que le ſuborneur.	pe fa M el ch Je e st ta do S0 que le suborneur.
Elle la pri ar enfin, en cas qu’il luy voulû Il parler d’affaire, de ne lu me point répondre, de peur qui te ne la reconnût à ſa parole.	Elle la pri art enfin, en cas qu'il lui voulu Il parler d'affaire, de ne lu me point répondre, de peur qui te ne la reconnut à sa parole.
L q' Servante, à qui une telle fortune ne s eſtoit peut-eſtre jamais preſentée, ne voulut pas refuſer une occaſion ſi favorable pour obeïr a ſa Maiſtreſſe, & ſe contenter elle-meſme.	LQ l' Servante, à qui une telle fortune ne s estoit peut-être jamais présentée, ne voulut pas refuser une occasion si favorable pour obéir à sa Maîtresse, et se contenter elle-même.
Elle alla coucher aupres de ce Vieillard.	Elle alla coucher auprès de ce Vieillard.
Je ne ſçay ſi eſtant au Lit, elle ſe laiſſa plutoſt ſurprendre du ſommeil que de la tentation.	Je ne sais si étant au Lit, elle se laissa plutôt surprendre du sommeil que de la tentation.
Dargin apres avoir dormy quelques heures, & s’eſtre bien repoſé, ſe ſentit animé contre ſon ordinaire.	Dargin après avoir dormi quelques heures, et s'être bien reposé, se sentit animé contre son ordinaire.
Il voulut carreſſer ſa Femme;	Il voulut carresser sa Femme;
mais malgré l’obſcurité des tenebres, il connut bien qu’une autre avoit pris ſa E iij place, par la diference qu’il y a entre une jeune & une vieille Perſonne, entre une Maîtreſſe & une Servante.	mais malgré l'obscurité des ténèbres, il connut bien qu'une autre avait pris sa V iij place, par la diérence qu'il y a entre une jeune et une vieille Personne, entre une Maîtresse et une Servante.
Apres avoir bien douté ſi c’eſtoit elle, ou non, & ſi il ſe trompoit, ou eſtoit trompé par une autre, il ſe perſuada fermement n’eſtre point aupres de ſa Femme.	Après avoir bien douté si c'était elle, ou non, et si il se trompait, ou était trompé par une autre, il se persuada fermement n'être point auprès de sa Femme.
Il ſe leva dans la Chambre;	Il se leva dans la Chambre;
& demanda de la chandelle.	et demanda de la chandelle.
Cette Servante ſçavoit bien l’intrigue de ſa Maiſtreſſe quoy qu’elle ne luy en euſt fait aucune confidence, & toutefois ne la vouloit par trahir, dans l’eſpoir d’eſtre recompenſée.	Cette Servante savait bien l'intrigue de sa Maîtresse quoi qu’elle ne lui en eût fait aucune confidence, et toutefois ne la voulait par trahir, dans l'espoir d'être récompensée.
Elle ſe lev pareillement, & ſe jetta aus E I pieds de ſon Maiſtre.	Elle se lev pareillement, et se jeta aux AUS I pieds de son Maître.
Elle le pria inſtamment d’épargner ſon honneur, & de luy pardonner un crime que l’Amour ſeul avoit commis.	Elle le pria instamment d'épargner son honneur, et de cela pardonner un crime que l'Amour seul avait commis.
Elle luy dit qu’elle ne devoit plus luy diſſimuler la paſſion qu’elle avoit priſe pour luy depuis long-temps;	Elle avait dit qu'elle ne devait plus fin dissimuler la passion qu'elle avait prise pour toujours depuis longtemps;
& que pour trouver moyen de ſe ſoulager dans ſes ardeurs, elle avoit perſuadé à ſa Maiſtreſſe de coucher dans une autre Chambre pendant cette nuit.	et que pour trouver moyen de se soulager dans ses ardeurs, elle avait persuadé à sa Maîtresse de coucher dans une autre Chambre pendant cette nuit.
Dargin fut le plus étonné du monde, d’entendre un tel diſcours.	Dargin fut le plus étonné du monde, d'entendre un tel discours.
Il s’emporta contr elle.	Il s'emporta contr elle.
Qu ,luy dit-il, es-tu encor capable à ton âge de reſſentir des mouvemens d’amour Crois-tu, pourſuivit-il, que deux vieilles Gens ſe puiſſene ragoûter l’un & l’autre, & que je ſois d’humeur, ſi il me reſte un peu de vigueur, de la ſacrifier à remplir tes ſales deſirs Peux-tu enfin t’imaginer, luy dit-il, que je vouluſſe meſme avec la plus belle Perſonne du monde, faire une infidelité ?	Qu que dit-il, es-tu encor capable à ton âge de ressentir des mouvements d'amour Crois-tu, poursuivit-il, que deux vieilles Gens se puissène ragoûter l'un et l'autre, et que je sois d'humeur, si il me reste un peu de vigueur, de la sacrifier à remplir tes sales désirs Peux-tu enfin t'imaginer, et dit-il, que je voulusse même avec la plus belle Personne du monde, faire une infidélité ?
ta Maiſtreſſe?	ta Maîtresse?
Fuis, infame fuis de moy;	Fuis, infâme fuis de moi;
ne penſe pas me tenter pour me faire commettre un crime ſi déteſtable La Femme qui avoit entendu ſon Mary demander de la chandelle, parce qu’il avoit crié fort haut, s’eſtoit levée en Robe de Chambre;	ne pense pas me tenter pour me faire commettre un crime si détestable La Femme qui avait entendu son Mari demander de la chandelle, parce qu'il avait crié fort haut, s'était levée en Robe de Chambre;
en tremblant elle eſtoit venuë à la porte de celle où eſtoit Dargin, pour ſe coucher dans ſon Lit avant que l’on apportaſt de la clarté, & luy ſoûtenir qu’elle y avoit toûjours eſté:	en tremblant elle était venue à la porte de celle où était Dargin, pour se coucher dans son Lit avant que l'on apportât de la clarté, et avait soutenir qu'elle y avait toujours été:
mais ayant entendu parler ſon Mary & ſa Servante enſemble, elle avoit écouté leur dialogue, par lequel elle avoit appris ce qu’elle devoit faire.	mais ayant entendu parler son Mari et sa Servante ensemble, elle avait écouté leur dialogue, par lequel elle avait appris ce qu'elle devait faire.
Elle entra, & demanda à Dargin quel mal luy avoit pris.	Elle entra, et demanda à Dargin quel mal lui avait pris.
Il luy voulut raconter ce qu’elle venoit d’oüir;	Il te voulut raconter ce qu'elle venait d'ouïr;
mais d’abord qu’elle euſt entendu parler de Lit & de Servante, elle le querella.	mais d'abord qu'elle eût entendu parler de Lit et de Servante, elle le querella.
Quoy, luy di Pieces Diverſes, dit-elle, tu me trahis?	Quoi, Seigneur di Pièces Diverses, dit-elle, tu me trahis?
Faire coucher une autre en ma place!	Faire coucher une autre en ma place!
Quel mépris fais-tu de ma Perſonne?	Quel mépris fais-tu de ma Personne?
O Ciel!	Ô Ciel!
s’é.	s'é.
cria-t-elle, puis-je ſuporter un ſi ſenſible outrage, ſans m'en vanger ſur l’heure?	cria-t-elle, puis-je suporter un si sensible outrage, sans m'en venger sur l'heure?
Dargin luy voulut conter ſes raiſons.	Dargin lui voulut conter ses raisons.
Eſt-il vray ſemblable, luy répondit-elle, que cette Fille euſt eu aſſez d’effronterie pour me perſuader de ta part de coucher dans une autre Chambre, afin de prendre ma place dans mon Lit aupres de toy?	Est-il vrai semblable, lui répondit-elle, que cette Fille eût eu assez d'effronterie pour me persuader de ta part de coucher dans une autre Chambre, afin de prendre ma place dans mon Lit auprès de toi?
Ne faut-il pas du moins que tu ayes donné ton conſentement?	Ne faut-il pas du moins que tu ayes donné ton consentement?
Pourſuis, pourſuis, infame, luy dit-elle, de peur de troubler tes plaiſirs;	Poursuis, poursuis, infâme, lui dit-elle, de peur de troubler tes plaisirs;
J’aime mieux m’éloigner pour te laiſſer en liberté.	J'aime mieux m'éloigner pour te laisser en liberté.
Elle s’en alla, feignant d’eſtre en colere, & tira la porte.	Elle s'en alla, feignant d'être en colère, et tira la porte.
Comme elle ne fit cette injuſte querelle à ſon Mary que pour avoir moyen d’aller raſſurer ſon Amant, & luy raconter toute l’hiſtoire, elle retourna vers le Chevalier, qu'elle trouva à demy habillé.	Comme elle ne fit cette injuste querelle à son Mari que pour avoir moyen d'aller rassurer son Amant, et lui raconter toute l'histoire, elle retourna vers le Chevalier, qu'elle trouva à demi habillé.
Elle luy fit un grand plaiſir, car il n’attendoit en tremblant que le malheureux moment qu’il luy en arrivaſt autant qu'à Derville.	Elle lui fit un grand plaisir, car il n'attendait en tremblant que le malheureux moment qu'il lui en arrivât autant qu'à Derville.
Dargin ſortit de ſa Chambre, & monta à celle où eſtoit la Pentiner as trouva la porte fermée:	Dargin sortit de sa Chambre, et monta à celle où était la Pentiner as trouva la porte fermée:
Il luy fit mille proteſtations qu’il n’eſtoit point coupable de la faute dont elle l’accuſoit;	Il luitaît mille protestations qu'il n'était point coupable de la faute dont elle l'accusait;
& luy dit que pour témoignes que c’eſtoit une ſurpriſe, luymeſme au moment qu’il l’avoit reconnuë, il avoit demandé de la chandelle.	et avait dit que pour témoignes que c'était une surprise, luymesme au moment qu'il l'avait reconnue, il avait demandé de la chandelle.
Il la pria enfin de luy ouvrir ſa porte pour coucher avec elle.	Il la pria enfin de deux ouvrir sa porte pour coucher avec elle.
La fine Dame ne voulant point l’irriter, de peur d’eſtre convaincuë elle-meſme de la perfidie dont elle feignoit accuſer ſon Mary;	La fine Dame ne voulant point l'irriter, de peur d'être convainue elle-même de la perfidie dont elle feignait accuser son Mari;
apres avoir aſſuré Ablancour qu’il n’avoit rien à craindre, elle le quitta avec un regret ſenſible, qui 61 toutefois eſtoit moderé par la joye qu’ils avoient d’avoir évité un péril ſi dangereux.	après avoir assuré Ablancour qu'il n'avait rien à craindre, elle le quitta avec un regret sensible, qui 61 toutefois était modéré par la joie qu'ils avaient d'avoir évité un péril si dangereux.
Elle alla ouvrir la porte à ſon Mary, qui voulut entrer dans cette Chambre:	Elle alla ouvrir la porte à son Mari, qui voulut entrer dans cette Chambre:
Elle luy fit reſiſtance quelque temps, pendant lequel le Chevalier prit le reſte de ſes habits, & entra doucement dans un petit Cabinet.	Elle fit fit résistance quelque temps, pendant lequel le Chevalier prit le reste de ses habits, et entra doucement dans un petit Cabinet.
Dargin ſe coucha dans le Lit malgré ſa Femme, ne voulant point retourner dans celuy où avoit couché ſa Servante.	Dargin se coucha dans le Lit malgré sa Femme, ne voulant point retourner dans celui où avait couché sa Servante.
La Dame voyant ſes raiſons inutiles, ne ſçavoit plus ce qu’elle faiſoit, dans la peur où elle eſtoit de voir découvrir ſa perfidie.	La Dame voyant ses raisons inutiles, ne savait plus ce qu'elle faisait, dans la peur où elle était de voir découvrir sa perfidie.
Elle 62 ne pût s’exempter de ſe met tre aupres de luy.	Elle 62 ne put s'exempter de se met tre auprès de Seigneur.
Son inquie tude ne ſe peut concevoir Cependant Ablancour achevs de s’habiller.	Son inquie tude ne se peut concevoir Cependant Ablancour achevs de s'habiller.
Cette Femme apres avoir bien reſvé, ne trouva point d’autre invention pour ſe délivrer de ſon embarras, que celle de faire la malade;	Cette Femme après avoir bien rêvé, ne trouva point d'autre invention pour se délivrer de son embarras, que celle de faire la malade;
elle ſe plaignite ſon Mary d’un grand mal de cœur;	elle se plaignite son Mari d'un grand mal de cœur;
& pour l’éloigner, elle le pria pour plus grande diligence, de luy aller querir de Vin luy-meſme, que ſa vie dépendoit d'un moment Dargin effrayé, executa la priere de ſa Femme.	et pour l'éloigner, elle le pria pour plus grande diligence, de lui aller quérir de Vin luy-même, que sa vie dépendait d'un moment Dargin effrayé, exécuta la prière de sa Femme.
Pendan le temps qu’ifut a deſcendre, 63 elle fit monter le Chevalier enhaut pour luy donner lieu de s’échaper quand ſon Mary ſeroit rentré.	Pendan le temps qu'ifut a descendre, 63 elle fit monter le Chevalier enhaut pour lui donner lieu de s'échapper quand son Mari serait rentré.
Dargin apporta du Vin à ſa Femme, qui parut à ſes yeux en eſtre fort ſoulagée.	Dargin apporta du Vin à sa Femme, qui parut à ses yeux en être fort soulagée.
Ablancour qui eſtoit monté enhaut, euſt le malheur d’eſtre rencontré d’un Laquais qui deſcendoit.	Ablancour qui était monté enhaut, eût le malheur d'être rencontré d'un Laquais qui descendait.
Ce Laquais eſtoit nouveau venu dans la Maiſon, & ne connoiſſoit pas encor le Chevalier.	Ce Laquais était nouveau venu dans la Maison, et ne connaissait pas encor le Chevalier.
Il s’informa de luy de ce qu’il cherchoit.	Il s'informa de lui de ce qu'il cherchait.
Ablancour interdit, luy fit réponſe qu’il demandoit ſa Maiſtreſte.	Ablancour interdit, tu fit réponse qu'il demandait sa Maîtreste.
Le Laquais le mena dans ſa Chambre.	Le Laquais le mena dans sa Chambre.
D’abord qu’il y fut entré:	D'abord qu'il y fut entré:
Hé bien, Madame, luy dit il, feignant ne pas recon.	Hé bien, Madame, Seigneur dit -il, feignant ne pas recon.
noiſtre Dargin, parce qu'a peine voyoit-on clair;	noître Dargin, parce qu'a peine voyait-on clair;
J'avois tort l’autre jour de vous reprocher l’infidelité que vous faiſiez à Monſieur voſtre Mary?	J'avais tort l'autre jour de vous reprocher l'infidélité que vous faisiez à Monsieur votre Mari?
& à preſent qu’il eſt allé à la Campagne, vous dé mentirez mes yeux de vous voir couchée avec un autre ar V!	et à présent qu'il est allé à la Campagne, vous dé mentirez mes yeux de vous voir couchée avec un autre ar V!
lo be g A M vo pa fai va Homme?	lo be g À M ô pa fait va Homme?
Je ne ſçay, lu co 3 dit -il, ce qui retient l’enve j’au que j’ay de punir l’outrag tel que l’on luy fait, en paſſan bic mon épée au travers du corp vit de ce ſuborneur.	Je ne sais, lu co 3 dit -il, ce qui retient l'enve j'au que j'ai de punir l'outrag tel que l'on avait fait, en passan bic mon épée au travers du corp vit de ce suborneur.
Oüy, dit.	Oui, dit.
il voſ il faut que je le faſſe;	il vos il faut que je le fasse;
& pui fair que Monflounmnuig d’eſt mome 11 amy eſt U ag amy, je luy dois ce petit ſeral vice.	et puy fair que Monflounuig d'est môme 11 ami est V ag ami, je lui dois ce petit séral vice.
Il tira ſon épée.	Il tira son épée.
Le Jaloux ſe leva, & luy dit:	Le Jaloux se leva, et Seigneur dit:
