A PARIS M.	À PARIS M.
Pour t’auoir aſſiſtè dans tes meſchancetez, Et pour t’auoir louè dans tes iniquitez, I’ay ſçeu tous tes pechez, i’ay ſupporté ton vice, Ce qui fait qu’aux enfers i’admire la Iuſtice Du Monarque des Roy, qui regne dans les Cieux, Pour auoir abbaiſſe ton vol audacieux, Ne ris point de nos maux deſormais prens y garde:	Pour t'avoir assisté dans tes méchancetés, Et pour t'avoir loué dans tes iniquité, J'ai su tous tes péchés, j'ai suporté ton vice, Ce qui fait qu'aux enfers j'admire la Justice Du Monarque des Roi, qui règne dans les Cieux, Pour avoir abaisse ton vol audacieux, Ne ris point de nos maux désormais prends y garde:
Scene	Scène
SCENE.	SCÈNE.
III.	III.
Le Cardinal & le premier Preſident.	Le Cardinal et le premier Président.
Le Cardilal Dieu te gard Preſident,	Le Cardilal Dieu te gard Président,
Le premier Preſident.	Le premier President.
Mais le diable te garde, Ie ſuis tres-bien garde ie ne puis eſchapper, Et ne vais pas ſi fort qu’on ne peuſt m'attraper:	Mais le diable te garde, Je suis très-bien garde Je ne puis échapper, Et ne vais pas si fort qu'on ne pût m'attraper:
Car ie ſuis enchaiſné par les pieds, par la teſte, Et par le faux du corps tout ainſi qu’vne beſte,	Car ie suis enchaîné par les pieds, par la tête, Et par le faux du corps tout ainsi qu'une bête,
Le premier Preſident.	Le premier President.
Miſerable c’eſt toy,	Misérable c'est toi,
Le Cardinal.	Le Cardinal.
Qui t'a ſi bien lié.	Qui t'a si bien lié.
Le Cardinal.	Le Cardinal.
Ie n’y ay pas ſongé, ie t’ayme trop,	Je n'y ai pas songé, Seigneur t'aime trop,
Le premier Preſident.	Le premier President.
Pour moy:	Pour moi:
Ton amour a cauſé les tourments que i'endure, Ta damnable amitié m’a mis à la torture, Pour auoir corrompu ſuiuant ta volonté La Iuſtice & le droict, meſpriſé, l’eſquité Oublié les deuoirs d’vn homme de ma ſorte, Enuers le bien public, on m'a fermé la porte, Et exile du Ciel pour venir aux enfers, Me voir chargé de coups & ployé ſoubs les fers Hâ que ſi l’on pouuoit refſentant tant de peines, Auoir quelque plaiſir,que le Phant des Sereines, Que la poſſeſſion de ces riches treſors, Qui Corrompent l’eſprit ayant gaſté le corps, Ne me cauſeroient pas vne ſi grande ioye, Comme i'en receurois de te ſçauoir la proye, Des flames qui touſiburs nons font Pturc en mourant,	Ton amour a causé les tourments que j'endure, Ta damnable amitié m'a mis à la torture, Pour avoir corrompu suivant ta volonté La Justice et le droit, méprisé, l'équité Oublié les devoirs d' Homme de ma sorte, Envers le bien public, on m'a fermé la porte, Et exile du Ciel pour venir aux enfers, Me voir chargé de coups et ployé sous les fers Hât que si l'on pouvait ressentant tant de peines, Avoir quelque plaisir,que le Phant des Seines, Que la possession de ces riches très, Qui Corrompent lesprit ayant gasté le ors, Ne me Qui pas si g ô, Comme en receurois mte sçauoir la proie, Des flames qui 'en font ç en mourant,
Le Cardinal.	Le Cardinal.
Vreſident ie medan,	Vresident Seigneur medan,
Le premier Preſident.	Le premier President.
Pouſſe grand ignorant, Et va voir iey prez l’Intendant des Finances,	Pousse grand ignorant, Et va voir Romy prez l'Intendant des Finances,
SCENE TITI.	SCÈNE -TITI.
Le Cardinal & Monſieur de Bullion.	Le Cardinal et Monsieur de Bullion.
Le Cardinal.	Le Cardinal.
Holà petit Bachus,	Holà petit Bachus,
Monſieur de Bullion.	Monsieur de Bullion.
Cauſe de mes ſouffrances Qui t'amaine en ce lieu, ta ſotte vanité,	Cause de mes souffrances Qui t'amaine en ce lieu, ta sotte vanité,
Le Cardinal.	Le Cardinal.
Fais moy place pour vne eternitè.	Fais -moi place pour une eternitè.
Monſieur de Bullion.	Monsieur de Bullion.
Au diable ſoit le ſot, he qui te voudra plaire, Ie ſçay ce qu’en vaut lauſne infame ſanguinaire, Momi piuuon eeſfeſre bory quenbre,les Mortels, Tu volois lles honneurs qu’on doit aux Immortels, Tu me vois en ce lieu tout accablé de chaiſnes, Tu me vois malheureux dans les fers & les geſnes, As tu veu pres d’icy le premier Preſident	Au diable soit le sot, hé qui te voudra plaire, Je sais ce qu'en vaut lausne infâme sanguinaire, Momi pivon eesfesre bory quenbre,les Mortels, Tu volais lles honneurs qu'on doit aux Immortels, Tu me vois en ce lieu tout accablé de chaînes, Tu me vois malheureux dans les fers et les gênes, As tu vu pres d'ici le premier President
Le Caldilal.	Le Caldilal.
Ouy, ie viens de le voir braue ſur-intendant	Oui, Seigneur viens de le voir brave sur-intendant
* monſieur de Bullion.	* monsieur de Bullion.
Que ne ta-t'il donné la moitié de ſa place,	Que ne ta-t'-il donné la moitié de sa place,
Le Cardinal.	Le Cardinal.
Il n’en auoit pas trop,	Il n'en avait pas trop,
Monſieur de Bullion.	Monsieur de Bullion.
Le pere à la bezace.	Le père à la bace.
Ceſt homme te deuoit faire la Charité, Eſtant participant de ton iniquité,	Cest homme te devait faire la Charité, Étant participant de ton iniquité,
Le Cardinal.	Le Cardinal.
Ie ne viens pas icy pour aller à Confeſſe, Il faudra neantmoins te Confeſſer ſans ceſſe, Les Diables te feront deduire les raiſons, Pourquoy tu detenois tant de monde es priſons, Pourquoy tu enuoyois tant de monde au ſupplice;	Je ne viens pas ici pour aller à Confesse, Il faudra néanmoins te Confesser sans cesse, Les Diables te feront déduire les raisons, Pourquoi tu détenais tant de monde es prisons, Pourquoi tu envoyais tant de monde au supplice;
Bref tu raconteras tous tes traits de malice, Mont eu tes auropseſe poueſeebre mebbre us mort, Tant de pauures Seigneurs ile plus ſouuent a tort,	Bref tu raconteras tous tes traits de malice, Mont eu tes auropses pousebre mebre us mort, Tant de pauvres Seigneurs île plus souvent a tort,
Le Cardihal.	Le Cardihal.
, Te ſuis mal a cheual i’en auray bien à dire,	, Te suis mal a cheval j'en aurai bien à dire,
Monſieur de Bullion.	Monsieur de Bullion.
Tant plus tu ſouffeiras de peine e de Martyre.	Tant plus tu soufféiras de peine e de Martyre.
Source gallicabnffr (Bibliothèque nationale de France	Source galicabnffr (Bibliothèque nationale de France
