E SUS MARIA.	 EUS MARIA.
Enfin nous nous flatons que vous avés l’honneur De poſſeder chés vous cet aimable Sauveur.	Enfin nous nous flattons que vous avez l'honneur De posséder chez vous cet aimable Sauveur.
HERODE.	HÉRODE.
Mais ſi vous dites vrai;	Mais si vous dites vrai;
comment ſe peut-il faire, Que je ne ſçache rien de cette grande affaire?	comment se peut-il faire, Que je ne sache rien de cette grande affaire?
Ce cas là me paroit des plus miſterieux, Quoi!	Ce cas là me parait des plus mystérieux, Quoi!
dedans mes Etats & même ſous mes yeux, Ce Roi que vous cherchés auroit pris ſa naiſſance, Sans que nous en euſſions la moindre connoiſſance?	dedans mes États et même sous mes yeux, Ce Roi que vous cherchez aurait pris sa naissance, Sans que nous en eussions la moindre connaissance?
Mais raiſonnons un peu:	Mais raisonnons un peu:
ſi le Meſſie eſt né, Si ce Réparateur nous eſt enfin donné, La puiſſance & l’éclat qu’il doit faire paroître, Devroient aſſûrément nous le faire connoître;	si le Messie est né, Si ce Réparateur nous est enfin donné, La puissance et l'éclat qu'il doit faire paraître, Devraient assurément nous le faire connaître;
Nous eſperons le voir dans un air de grandeur, Les Prophetes l’ont dit, ce n’eſt point un erreur.	Nous espérons le voir dans un air de grandeur, Les Prophètes l'ont dit, ce n'est point un erreur.
BALTHAZARD.	BALTHARD.
Tout cela ne dit rien;	Tout cela ne dit rien;
nous avons une idée, Qu’il eſt né ſûrement au Païs de Judée, uiqu ie ien ctone a condunt tous los ipas, Et nous ſommes certains de ne nous tromper pas.	nous avons une idée, Qu'il est né sûrement au Pays de Judée, uiqu est yen cône a condunt tous los jas, Et nous sommes certains de ne nous tromper pas.
HERODE.	HÉRODE.
Puiſque vous le croyés avec tant d’aſſûrance, J’admire avec plaiſir vôtre perſeverance?	Puisque vous le croyez avec tant d'assurance, J'admire avec plaisir votre persévérance?
Vous voyés que ce Roi n’eſt pas en cette Cour, Allés donc le chercher dans les lieux d’alentour, Et ſi vous le trouvés quelque part qu’il puiſſe être;	Vous voyez que ce Roi n'est pas en cette Cour, Allz donc le chercher dans les lieux d'alentour, Et si vous le trouvez quelque part qu'il puisse être;
Je veux à vôtre exemple aller le reconnoître:	Je veux à votre exemple aller le reconnaître:
Oüi, j’irai l’adorer auſſi-tôt aprés vous, Et lui rendre humblement mes reſpects à genoux:	Oui, j'irai l'adorer aussitôt après vous, Et lui rendre humblement mes respects à genoux:
Voilà comme je crois tout ce qu’il me demande, Lui faire de mes biens, de mon Sceptre une offrande;	Voilà comme je crois tout ce qu'il me demande, Lui faire de mes biens, de mon Sceptre une offrande;
Mais il faut s’informer des Docteurs de la Loi, Et ſçavoir en quel lieu doit naitre ce grand Roi;	Mais il faut s'informer des Docteurs de la Lois, Et savoir en quel lieu doit naître ce grand Roi;
Par eux nous en pourrons avoir la connoiſſance, Et vous ires, Seigneurs, avec plus d’aſſeurance, Allons en attendant dans mon appartement, Y prendre s’il vous plait du rafraichiſſement.	Par eux nous en pourrons avoir la connaissance, Et vous ires, Seigneurs, avec plus d'assurance, Allons en attendant dans mon appartement, Y prendre s'il vous plaît du rafraîchissement.
Fin du premier Acte.	Fin du premier Acte.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
HERODE, SAMUEL, DAVID, ARISTOBULE, HYRCANUS,	HÉRODE, SAMUEL, DAVID, ARISTOBULE, HYRCANUS,
HERODE.	HÉRODE.
Clairés dans la Loi, uut doctes perſonnages, L Quel eſt le ſentiment que vous avés des Mages?	Clairz dans la Loi, ut doctes personnages, L Quel est le sentiment que vous avez des Mages?
A l’aſpect d’une étoile admirable en beauté, Par ſon brillant éclat & par ſa nouveauté, Ils ont abandonné leur aimable Patrie, Et ſont venus ici du fond de l’Arabie, S’informer hautement & d’un air genereux, En quel endroit eſt né le Prince des Hebreux;	À l'aspect d'une étoile admirable en beauté, Par son brillant éclat et par sa nouveauté, Ils ont abandonné leur aimable Patrie, Et sont venus ici du fond de l'Arabie, S'informer hautement et d'un air généreux, En quel endroit est né le Prince des Hébreux;
Ils ont crû que cet aſtre annonçoit la naiſſance D’un Roi dont tous les Juifs ſentiront la puiſſance, Et qui vient les tirer de la captivité, Aprés avoir perdu leur douce liberté;	Ils ont cru que cet astre annonçait la naissance D'un Roi dont tous les Juifs sentiront la puissance, Et qui vient les tirer de la captivité, Après avoir perdu leur douce liberté;
Ils diſent qu’à ce Roi, maitre de tous les autres, Ils doivent des honneurs bien differens des vôtres;	Ils disent qu'à ce Roi, montre de tous les autres, Ils doivent des honneurs bien différents des vôtres;
Que c’eſt pour ce ſujet qu’ils viennent le chercher, Mille difficultés pouvoient les empêcher, Ils ſe ſont expoſés, abandonnant leurs Trônes, A perdre leurs païs, leurs biens & leurs Couronnes:	Que c'est pour ce sujet qu'ils viennent le chercher, Mille difficultés pouvaient les empêcher, Ils se sont exposés, abandonnant leurs Trônes, À perdre leurs pays, leurs biens , leurs Couronnes:
Que penſés-vous Docteurs d’un pareil procedé?	Que pensez-vous Docteurs d'un pareil procédé?
Du Demon leur eſprit n’eſt-il pas obſedé?	Du Démon leur esprit n'est-il pas obsédé?
Un deſſein ſi nouveau, dans le tems où nous ſommes;	Un dessein si nouveau, dans le temps où nous sommes;
Peut-il jamais tomber dans la tête des hommes?	Peut-il jamais tomber dans la tête des hommes?
Car ſi c’étoit le Chriſt qui fut enfin venu, Par tout avec éclat il ſeroit reconnu;	Car si c'était le Christ qui fut enfin venu, Par tout avec éclat il serait reconnu;
Les Oracles divins ſur leſquels on ſe fonde Marquent qu’avec grandeur il doit paroitre au monde;	Les Oracles divins sur lesquels on se fonde Marquent qu'avec grandeur il doit paraître au monde;
Cependant dites-moi vôtre avis là-deſſus, Et ſi vous en ſçavés quelque choſe de plus, Informés moi dans peu du lieu de ſa naiſſance,	Cependant dites-moi votre avis là-dessus, Et si vous en savez quelque chose de plus, Informez moi dans peu du lieu de sa naissance,
SAMUEL.	SAMUEL.
A vos ordres, grand Roi, je dois l’obéïſſance, Tant parce qu’on vous voit un Prince glorieux, Que parce qu’on ne peut jamais commander mieux;	À vos ordres, grand Roi, je dois l'obéissance, Tant parce qu'on vous voit un Prince glorieux, Que parce qu'on ne peut jamais commander mieux;
Je ſuis des plus ſurpris que ces ſages Monarques, Se ſoient laiſſés tromper par de ſi foibles marques;	Je suis des plus surpris que ces sages Monarques, Se soient laissés tromper par de si faibles marques;
Un Prophete nous l’a clairement atteſté, Que le Chriſt doit paroitre en grande Majeſté, Et l’on ne peut je crois ſe former une idée, Qu’il doive naitre ailleurs que dedans la Judée.	Un Prophète nous l'a clairement attesté, Que le Christ doit paraître en grande Majesté, Et l'on ne peut je crois se former une idée, Qu'il doive naître ailleurs que dedans la Judée.
HERODE.	HÉRODE.
Si c’eſt dans mes Etats que ſloit naître le Chriſt, Ainſi qu’aux livres ſaints vuus le trouvés écrit, Dans l’appareil pompeux que nous venons de dire, Nous avons ſûrement grande raiſon de rire, Et de nous étonner que ces Rois d’Orient, Pour le chercher viennent ’ici legerement;	Si c'est dans mes États que slait naître le Christ, Ainsi qu'aux livres saints vu le trouvés écrit, Dans l'appareil pompeux que nous venons de dire, Nous avons sûrement grande raison de rire, Et de nous étonner que ces Rois d'Orient, Pour le chercher viennent ici légèrement;
par ſenti ſans raiſon un chagrin le plus rude, Il faut de mes Sujets calmer l’inquietude, La demande des Rois a frappé leurs eſprits, Et ſe ſont allarmés de ce qu’ils ont appris.	par senti sans raison un chagrin le plus rude, Il faut de mes Sujets calmer l'inquiétude, La demande des Rois a frappé leurs esprits, Et se sont alarmés de ce qu'ils ont appris.
DAVID.	DAVID.
Le voyage des Rois paroit inconcevable, Le ſujet l’eſt bien plus & beaucoup moins croyable, Si ce qui nous eſt dit de ſon avenement, Doit à tous nos diſcours ſervir de fondement, Si par bonnes raiſons on peut juger de même, Que le Chriſt doit paroître en ſa grandeur ſuprême, Je ne vois pas, grand Roi, ſur quel ſolide appui ces Rois peuvent ſonder ce qu’iis dnent de lui.	Le voyage des Rois parait inconcevable, Le sujet l'est bien plus et beaucoup moins croyable, Si ce qui nous est dit de son avènement, Doit à tous nos discours servir de fondement, Si par bonnes raisons on peut juger de même, Que le Christ doit paraître en sa grandeur suprême, Je ne vois pas, grand Roi, sur quel solide appui ces Rois peuvent sonder ce qu'iis dînent de lui.
SAMUEL.	SAMUEL.
Mais ſans nous aveugler, parlons avec prudence, Il faut certainement qu’un ſujet d’importance, Ait artiré ces Rois qui viennent d’arriver, Ce lqu’ils ont demandé paroit nous le prouver.	Mais sans nous aveugler, parlons avec prudence, Il faut certainement qu'un sujet d'importance, Ait artiré ces Rois qui viennent d'arriver, Ce l'ils ont demandé par nous le prouver.
DAVID.	DAVID.
Ce ſujet important, grand Prince, c’eſt vous-même, Ou cet Archelaüs digne du diadême, Jamais Roi parût-il avec plus grand éclat, Vit-on jamais au Temple un plus zelé Prelat?	Ce sujet important, grand Prince, c'est vous-même, Ou cet Archelaus digne du diadme, Jamais Roi parut-il avec plus grand éclat, Vit-on jamais au Temple un plus zélé Prelat?
Rend-t’on un plus beau culte au grand Dieu qu’on adore?	Rend-t-on un plus beau culte au grand Dieu qu'on adore?
Que vous l’avés fait voir, & le faites encore, Ce Temple ſi fameux, ce ſuperbe Palais, Qu’on a vû démolir & refaire à vos frais, Et dix mille artiſans qui toutes les journées Y furent employés le cours de leurs années, Ont fait voir vôtre zele à le rendre charmant.	Que vous l'avez fait voir, et le faites encore, Ce Temple si fameux, ce superbe Palais, Qu'on a vu démolir et refaire à vos frais, Et dix mille artisans qui toutes les journées Y furent employés le cours de leurs années, Ont fait voir votre zèle à le rendre charmant.
SAMUEL.	SAMUEL.
* Ce qu’on a remarqué d’admirable & de grand, Qui dans tous les eſprits a paſſé pour miracle, Le Ciel à ce travail ôta le moindre obſtacle, Ses eaux qui l’auroit pû retarder dans des jours, Contre leur naturel il arrêta le cours, Laiſſant tomber la nuit une agréable pluye, Qui rendoit à nos champs l’ornement & la vie, Favoriſant par tout vos illuſtres deſſeins Contre tous les efforts qu’inventent les humains, Excités par la rage & par' la jalouſie, Vous veut faire connoître à tous pour ſon Meſſie, Que c’eſt vous qui devés en toute occaſion, De nos fiers ennemis finir l’oppreſſion.	* Ce qu'on a remarqué d'admirable et de grand, Qui dans tous les esprits a passé pour miracle, Le Ciel à ce travail ôta le moindre obstacle, Ses eaux qui l'aurait pu retarder dans des jours, Contre leur naturel il a le cours, Laissant tomber la nuit une agréable pluie, Qui rendait à nos champs l'ornement et la vie, Favorisant par tout vos illustres desseins Contre tous les efforts qu'inventent les humains, Excités par la rage et par' la jalousie, Vous veut faire connoître tous pour son Messie, Que est vous qui devés en toute occasion, De nos fiers ennemis finir oppression.
DAVID.	DAVID.
Peut on croire, grand Roi, que des Princes ſi ſages, Eſtimés d’un chacun, & qu’on appelle Mages, Inſtruits à diſcerner le mouvement des Cieux, A connoître ces corps qui brillent à nos yeux, Se ſoient laiſſé tromper ſçachant l’aſtrologie, Non, il’ne les faut pas ſoupçonner de magie, Quand ils virent briller un aſtre ſi nouveau, Qui paroiſſoit dans l’air par un éclat ſi beau, Auroient-ils pû penſer que ce ſigne viſible Qui rempliſſoit leurs cœurs d’une joye indicible Devoit leur annoncer la naiſſance d’un Roi, Dont les Hebreux un jour devoient ſuivre la loi, Si le Ciel n’eût gravé dans le fond de leur ame, D’un rayon éclatant la lumiere & la flâme?	Peut on croire, grand Roi, que des Princes si sages, Estimés d'un chacun, et qu'on appelle Mages, Instruits à discerner le mouvement des Cieux, A connaître ces corps qui brillent à nos yeux, Se soient laissé tromper sachant l'astrologie, Non, ilne n' faut pas soupçonner de magie, Quand ils virent briller un astre si nouveau, Qui paraissait dans l'air par un éclat si beau, Auraient-ils pu penser que ce signe visible Qui remplissait leurs cœurs d'une joie indicible Devoit leur annoncer la naissance d'un Roi, Dont les ' un jour y suivre la loi, Si le Ciel eût gravé dans le on de leurtaie, un rayon éclatant la suivre et la flâme?
Leur ſageſſe & leur rang ne nous permettent pas, De douter ſeulement s’ils ont fait un faux pas;	Leur sagesse et leur rang ne nous permettent pas, De douter seulement s'ils ont fait un faux pas;
L’affaire eſt de ſçavoir quel eſt ce Roi ſur terre, Qui donne à qui lui plait ce même caractere.	L'affaire est de savoir quel est ce Roi sur terre, Qui donne à qui lui plaît ce même caractère.
SAMUEL.	SAMUEL.
Pour les mêmes raiſons que je viens de prouver, Que dans les livres ſaints un chacun peut trouver;	Pour les mêmes raisons que je viens de prouver, Que dans les livres saints un chacun peut trouver;
Je dis, Sire, qu’il faut que ce Prince ſuprême Deſigne vôtre fils, ou que ce ſoit vous-méme, Cet aſtre qui les a juſques ici conduit, Et qui s’eſt à leurs yeux derobé dans la nuit, De cette verité n’eſt-il pas une marque.	Je dis, Sire, qu'il faut que ce Prince suprême Désigne votre fils, ou que ce soit vous-même, Cet astre qui les a jusques ici conduit, Et qui s'est à leurs yeux derobé dans la nuit, De cette vérité n'est-il pas une marque.
HERODE.	HÉRODE.
Tout le monde n’a pas fait la même remarque, Je veux entendre encor le grand Prêtre, un Docteur, Et s’il ſe rencontroit que j’euſſe cet honneur, Que le cter meut cnon pour remplir ſes promeſſes, Je-vous comblerois tous de biens & de richeſſes.	Tout le monde n'a pas fait la même remarque, Je veux entendre encor le grand Prêtre, un Docteur, Et s'il se rencontrait que j'eusse cet honneur, Que le cter mut cnon pour remplir ses promesses, Je-vous comblerais tous de biens et de richesses.
SCENE LHCONDE.	SCÈNE LHCONDE.
HERODE, ANANIE, JONATHAS, DAVID, SAMUEL, ARISTOBULE, HYRCANUS.	HÉRODE, ANANIE, JONATHAS, DAVID, SAMUEL, ARISTOBULE, HYRCANS.
HERODE.	HÉRODE.
Ue penſés-vous au vrai de ces Rois genereux,  Qui ſont venus chercher le Prince des Hebreux?	Que pensez-vous au vrai de ces Rois généreux, Qui sont venus chercher le Prince des Hébreux?
nis diſent qu’il eſt né dans cette grande Ville, Ou qu’il a prés d’ici choiſi ſon domicile;	nis disent qu'il est né dans cette grande Ville, Ou qu'il a près d'ici choisi son domicile;
Ne pourriés-vous ſçavoir où doit naître ce Roi;	Ne pourriez-vous savoir où doit naître ce Roi;
Les Prophetes l’ont dit, vous le ſçavés, je crois;	Les Prophètes l'ont dit, vous le Savez, je crois;
Si vous ſçavés le lieu, faites-le moi connoître.	Si vous savez le lieu, faites-le moi connaître.
ANANIE.	ANANIE.
Sire, dans Bethléem, c’eſt où le Chriſt doit naître, Aux livres ſaints par tout nous le trouvons écrit, Le Prophete Iſaïe & d’autres l’ont prédit?	Sire, dans Bethléem, c'est où le Christ doit naître, Aux livres saints par tout nous le trouvons écrit, Le Prophète Isaïe et d'autres l'ont prédit?
Si nous croïons Jacob, ſuivant ſa prophetie, Nous devons à preſent voir naître le Meſſie.	Si nous croïons Jacob, suivant sa prophétie, Nous devons à présent voir naître le Messie.
HERODE.	HÉRODE.
Quelle preuve avés-vous de cette verité?	Quelle preuve avez-vous de cette vérité?
ANANIE.	ANANIE.
Que nous ſommes privés de nôtre autorité, Il dit que de Juda la puiſſance ſuprême;	Que nous sommes privés de notre autorité, Il dit que de Juda la puissance suprême;
Diſons mieux que le ſceptre, & que le diadême Ne ſeront point ôtés, & que ſes ſucceſſeurs Seront de tous ſes biens les heureux poſſeſſeurs, Juiqu’a ce que le Ciel ait envoye lur tefre, Celui que l’on attend pour terminer la guerre.	Disons mieux que le sceptre, et que le diadême Ne seront point ôtés, et que ses successeurs Seront de tous ses biens les heureux possesseurs, Juiqu'a ce que le Ciel ait envoie lur tefre, Celui que l'on attend pour terminer la guerre.
HERODE.	HÉRODE.
Celui qu’aux Nations le Ciel doit envoyer, Ne doit venir un jour que pour les foudroyer;	Celui qu'aux Nations le Ciel doit envoyer, Ne doit venir un jour que pour les foudroyer;
Ce Conquerant fameux revêtu de puiſſance, Doit les anujettir à lon obeſſſance, Par là vôtre raiſon ne prouve nullement, Que le Roi des Hebreux ſoit né certainement.	Ce Conquérant fameux revêtu de puissance, Doit les anujettir à lon obessance, Par là votre raison ne prouve nullement, Que le Roi des Hébreux soit né certainement.
ONATHAS.	ONATHAS.
Grand Prince c’eſt par eux que nous devons le croire, Du Prophete Iſaïe examiné l’hiſtoire, Trois Rois viendront, dit-il, droit à Jeruſalem, Et trouveront le Chriſt au Bourg de Bethléem;	Grand Prince c'est par eux que nous devons le croire, Du Prophète Isaïe examiné l'histoire, Trois Rois viendront, dit-il, droit à Jérusalem, Et trouveront le Christ au Bourg de Bethléem;
Ces Rois doivent venir de Tarſe, d’Arabie, Des Iſles de Saba faire hommage au Meſſie, Lui feront des preſens & le reconnoîtront, Comme un Roi, comme un homme, en Dieu l’adoreront;	Ces Rois doivent venir de Tarse, d'Arabie, Des Isles de Saba faire hommage au Messie, Lui feront des présents et le reconnaîtront, Comme un Roi, comme un homme, en Dieu l'adoreront;
Trois belles qualités que le Chriſt ſeul renferme, Etant de l’Univers le principe & le terme.	Trois belles qualités que le Christ seul renferme, Étant de l'Univers le principe et le terme.
HERODE.	HÉRODE.
Mais nous n’entendons point parler d’aucun endroit, De cet éclat pompeux qu’il a dit qu’il viendroit;	Mais nous n'entendons point parler d'aucun endroit, De cet éclat pompeux qu'il a dit qu'il viendrait;
L’oracle peut ſouffrir un ſens allegorique, Et ſi vous le voulés naturel ou miſtique.	L'oracle peut souffrir un sens allégorique, Et si vous le voulez naturel ou mystique.
ANANIE.	ANANIE.
On ne ſçauroit douter de la prédiction, Nous voyons par ces Rois ſon execution, Il marque le Pais & le nom de la Ville, Aux ordres du Seigneur il faut être docile, Soit qu’il montre ou qu’il cache un fond de veritó, Chacun doit s’y ſoûmettre avec humilité, La croire par reſpect quand elle paroit claire, A tous les favoris que ſon eſprit éclaire, A vos ordres grand Roi tout le monde eſt ſoûmis.	On ne saurait douter de la prédiction, Nous voyons par ces Rois son exécution, Il marque le Pais et le nom de la Ville, Aux ordres du Seigneur il faut être docile, Soit qu'il cache un foil de un fond de vérités, Chacun doit sy oumettre avec humilité, La croire par respect quand elle parait claire, À tous les favoris que son esprit éclaire, À vos ordres grand Roi tout le monde est soumis.
Quoiqu’ils ne ſoient portés par un de vos Commis A quelque Courtiſant faites-vous confidence Du ſecret d’une affaire ou d’un fait d’importance?	Quoiqu'ils ne soient portés par un de vos Commis À quelque Courtisant faites-vous confidence Du secret d'une affaire ou d'un fait d'importance?
Nous nous faiſons honneur d’obéïr à ſa voix, Soit que vous le cachiés vous-même quelquefois, da voix par le Propnete à tous ſe fait entendre;	Nous nous faisons honneur d'obéir à sa voix, Soit que vous le cachiez vous-même quelquefois, da voix par le Propnète à tous se fait entendre;
Il faut donc l’écoûter, & par reſpect s’y rendre.	Il faut donc l'écouter, et par respect s'y rendre.
JONATHAS.	JONATHAS.
Le Prophete nous dit que Dieu fera chés nous Un prodige nouveau qui nous ſurprendra tous, Qu’il naitra d’une Vierge au milieu du Royaume;	Le Prophète nous dit que Dieu fera chez nous Un prodige nouveau qui nous surprendra tous, Qu'il naîtra d'une Vierge au milieu du Royaume;
La Vierge ayant conçù ſans commerce d’un homme, Un fils qu’on nommera le Fils de l’Eternel, Le Roi des Nations, le ſaint Emmanuël, Le ſoleil de juſtice en ſes dons magnifiques, Le Conſeiller, le Prince, & le Roi pacifique,	La Vierge ayant conçù sans commerce d'un homme, Un fils qu'on nommera le Fils de l'Eternel, Le Roi des Nations, le saint Emmanuël, Le soleil de justice en ses dons magnifiques, Le Conseiller, le Prince, et le Roi pacifique,
ANANIE.	ANANIE.
Outre ces attributs qu’il dit lui convenir;	Outre ces attributs qu'il dit lui convenir;
Il eſt le pere encor des ſiécles à venir, Dans les ſplendeurs des ſaints la ſageſſe produite;	Il est le père encor des siècles à venir, Dans les splendeurs des saints la sagesse produite;
Qui doit nous enſeigner des regles de conduite, Doit ſoûmettre à ſa Loi toutes les Nations, Afin de les combler de benedictions, Et de les conſoler d’une attente ennuïeuſe.	Qui doit nous enseigner des règles de conduite, Doit soumettre à sa Loi toutes les Nations, Afin de les combler de bénédictions, Et de les consoler d'une attente ennueuse.
ONATHAS.	ONATHAS.
Il eſt encor nommé racine précieuſe, Qui doit porter un fruit que la gentilité Fera goûter enſuite à la poſterité, Et pour nous délivrer d’une priſon ſi forte, Il eſt de plus la clef qui nous ouvre la porte, Que nul autre ne lui pût jamais ouvrir, Pour nous conduire au Ciel & nous le découvrir:	Il est encor nommé racine précieuse, Qui doit porter un fruit que la gentilité Fera goûter ensuite à la postérité, Et pour nous délivrer d'une prison si forte, Il est de plus la clef qui nous ouvre la porte, Que nul autre ne lui pût jamais ouvrir, Pour nous conduire au Ciel et nous le découvrir:
Il répand en tous lieux ſa lumiere éternelle, Et nous ne pourrons pas y rentrer que par elle:	Il répand en tous lieux sa lumière éternelle, Et nous ne pourrons pas y rentrer que par elle:
Enfin, Sire, le Chriſt que tout le monde attend, L’objet de ſes déſirs pour la fin qu’il pretend, Il eſt à tous les bons bienfaiſant, doux, affable;	Enfin, Sire, le Christ que tout le monde attend, L'objet de ses désirs pour la fin qu'il prétend, Il est à tous les bons bienfaisant, doux, affable;
Mais il eſt aux méchans terrible & redoutable;	Mais il est aux méchants terrible et redoutable;
Ce Meſſie attendu que le Ciel a promis, Qui nous délivrera de tous nos ennemis:	Ce Messie attendu que le Ciel a promis, Qui nous délivrera de tous nos ennemis:
Doit paroitre dans peu s’il n’eſt encore au monde, C’eſt l’oracle divin ſur lequel on ſe fonde.	Doit paraître dans peu s'il n'est encore au monde, C'est l'oracle divin sur lequel on se fonde.
ANANIE.	ANANIE.
Si l’on doit adorer tous les ordres du Ciel, Nous devons déferer encore à Daniel;	Si l'on doit adorer tous les ordres du Ciel, Nous devons déférer encore à Daniel;
Ce Prophete a marqué par pluſieurs caracteres, Qu’on doit voir à preſent paroitre ces miſteres;	Ce Prophète a marqué par plusieurs caractères, Qu'on doit voir à présent paraître ces misères;
Depuis Artaxerces juſques au tems de Chriſt, Cinq cens ans moins dix-ſept, ce granid nome a preſcrit, Par ce nombre marqué, ſoixante-neuf ſemaines, Depuis Artaxerces paroiſſent preſque pleines.	Depuis Artaxerces jusques au temps de Christ, Cinq cents ans moins dix-sept, ce granid nome a prescrit, Par ce nombre marqué, soixante-neuf semaines, Depuis Artaxerces paraissent presque pleines.
HERODE.	HÉRODE.
Ces ſemaines ne font au plus que dix-ſept ans, Et de plus de vingt fois vous allongés le tems.	Ces semaines ne font au plus que dix-sept ans, Et de plus de vingt fois vous allongez le temps.
ONATHAS.	ONATHAS.
Ces ſemaines, grand Roi, paſſent pour des années, Et l’on ne les prend pas pour de ſimples journées.	Ces semaines, grand Roi, passent pour des années, Et l'on ne les prend pas pour de simples journées.
HERODE.	HÉRODE.
Ce que vous aſſûrés avoir été prédit, Autant que je puis voir n’eſt pas ſans contredit, Cette prediction me paroiſſant obſcure, Peut paſſer pour une ombre ou pour queique figure, Si c’eſt en Bethléem que doit naitre le Chriſt, Peut-il donc être né, comme il nous eſt preſcrit?	Ce que vous assurerez avoir été prédit, Autant que je puis voir n'est pas sans contredit, Cette prédiction me paraissant obscure, Peut passer pour une ombre ou pour queique figure, Si c'est en Bethléem que doit naître le Christ, Peut-il donc être né, comme il nous est prescrit?
Dans la pompe & l’éclat d’une haute puiſſance;	Dans la pompe et l'éclat d'une haute puissance;
Sans que nous en ayons la moindre connoiſſance.	Sans que nous en ayons la moindre connaissance.
ONATHAS.	ONATHAS.
Sire, On ne peut répondre à vôtre objection, Elle eſt aſſûrément ſans contradiction, C’eſt dans cette granueur qu'on attend le Meſſie, Comme il eſt annoncé par une Prophetie;	Sire, On ne peut répondre à votre objection, Elle est assurément sans contradiction, C'est dans cette granueur qu'on attend le Messie, Comme il est annoncé par une Prophétie;
Mais s’il paroit au monde en un état abjet, De nous en étonner nous en avons ſujet, Et vôtre Majeſté pourra douter ou croire, Ou de la Prophetie abolir la memoire:	Mais s'il parait au monde en un état abjet, De nous en étonner nous en avons sujet, Et votre Majesté pourra douter ou croire, Ou de la Prophétie abolir la mémoire:
ANANIE.	ANANIE.
Non, chacun doit ſuſpendre ici ſon Jugement, Il faut peſer la choſe avec diſcernement, Nôtre eſprit à la Foi d’ailleurs doit ſe ſoûmettrs Tous les livres ſacrés nous diſent qu’il doit naître, Les Prophetes nous l’ont en cent endroits marqué, Nous ſommes dans le tems qu’ils nous ont expliqué La grandeur & l’éclat ſeront ſon caractere, Si le Ciel aujourd’hui nous en fait un miſtere, Il le faut adorer avec ſoûmiſſion;	Non, chacun doit suspendre ici son Jugement, Il faut peser la chose avec discernement, Notre esprit à la Foi d'ailleurs doit se soumettrs Tous les livres sacrés nous disent qu'il doit naître, Les Prophètes nous l'ont en cent endroits marqué, Nous sommes dans le temps qu'ils nous ont expliqué La grandeur et l'éclat seront son caractère, Si le Ciel aujourd'hui nous en fait un mystère, Il le faut adorer avec soumission;
Rempliſſant les devoirs de la Religion, Eſperer d’en avoir un jour la connoiſſance, Et nous rendre humblement à ſon obéiſſance.	Remplissant les devoirs de la Religion, Espérer d'en avoir un jour la connaissance, Et nous rendre humblement à son obéissance.
HERODE.	HÉRODE.
Mais pourquoi nous tient-il ces miſteres cachés?	Mais pourquoi nous tient-il ces misères cachés?
ANANIE.	ANANIE.
Par cet aveuglement il punit nos pechés, S’il eſt né parmi nous comme cela peut être, Ces Rois étant exprés venus le reconnoitre, C’eſt un ſigne certain de ſa punition, Et qu'n enereno par la notre converſion.	Par cet aveuglément il punit nos péchés, S'il est né parmi nous comme cela peut être, Ces Rois étant exprès venus le reconnaître, C'est un signe certain de sa punition, Et qu'n enereno par la nôtre conversion.
HERODE.	HÉRODE.
O Ciel!	Ô Ciel!
qu’avons-nous fait pour ne point voir la face, De celui qui nous doit honorer de la grace.	qu'avons-nous fait pour ne point voir la face, De celui qui nous doit honorer de la grâce.
JONATHAS.	JONATHAS.
Ah !	Ah !
Sire, loin d’avoir ces benedictions, Par out on nous prédit des maledictions.	Sire, loin d'avoir ces bénédictions, Par out on nous prédit des malédictions.
HERODE.	HÉRODE.
Qu’eſt-ce que le Prophete en a prédit encore?	Qu'est-ce que le Prophète en a prédit encore?
ANANIS.	ANANIS.
Que n’ayant point connu ce Roi dans ſon aurore, Ce Meſſie attendu, ſi long-tems deſiré, Pour lequel tous les jours le monde a ſoûpiré, La juſtice de Dieu ſenſible à nos outrages, Fera tomber ſur nous les plus facheux orages;	Que n'ayant point connu ce Roi dans son aurore, Ce Messie attendu, si longtemps désiré, Pour lequel tous les jours le monde a soupiré, La justice de Dieu sensible à nos outrages, Féra tomber sur nous les plus fâcheux orages;
Toute autre Nation s’eſt ſoûmiſe à ſa Loi, Et n’a jamais douté qu’il ne fut nôtre Roi, Sans avoir entendu ſa voix ni ſes oracles, Et ſans avoir été témoin de ſes miracles;	Toute autre Nation s'est soumise à sa Lois, Et n'a jamais douté qu'il ne fut notre Roi, Sans avoir entendu sa voix ni ses oracles, Et sans avoir été témoin de ses miracles;
Mais nous loin d’avoüer qu’il eſt nôtre Sauveur, Nous devons le traiter en fourbe, en impoſteur, Comme un Magicien, qui par ſorcelerie Tâche à gagner le Peuple avec ſa fourberie;	Mais nous loin d'avouer qu'il est notre Sauveur, Nous devons le traiter en fourbe, en imposteur, Comme un Magicien, qui par sotcelerie Tâche à gagner le Peuple avec sa fourberie;
Loin de croire qu’il eſt le Meſſie attendu, Nous ne lui donnerons qu’un titre prétendu, Et pour comble d’affronts ſur un gibet infame, A force de tourmens lui ferons rendre l’ame.	Loin de croire qu'il est le Messie attendu, Nous ne lui donnerons qu'un titre prétendu, Et pour comble d'affronts sur un gibet infâme, À force de tourments lui ferons rendre l'âme.
AiERODE O Ciel, que dites-vous?	AjERODE Ô Ciel, que dites-vous?
ANANIE.	ANANIE.
