LESSAT DES IEIRCED.	LÉSÂT DES IEIRCÉD.
les Dames quoy qu’hedreuſes eſperent un meilleur ſort, on n’eſt plus ſi beneſt qu’Agée Pere de Theſée qui fut autrefois à Delphes pour ſçavoir combien il auroit d’enfans, depuis que les femmes en ont pris le ſoin les maiſons en ſont ſuffiſament garnies, & il s’en trouve quelquefois tant qu’on eſt obligé d’en enfer	les Dames quoi qu'hédreuses espèrent un meilleur sort, on n'est plus si benest qu'Agée Père de Thesée qui fut autrefois à Délphes pour savoir combien il aurait d'enfants, depuis que les femmes en ont pris le soin les maisons en sont suffisament garnies, et il s'en trouve quelquefois tant qu'on est obligé d'en enfer
ARLEQUIN.	ARLEQUIN.
Allons-y;	Allons-y;
ſi tu eſt un attrapeur, le feu dont je te parle ne l’eſt pas, il en devora dernierement une dont la vértu ne commençoit qu’à clocher.	si tu est un attrapeur, le feu dont je te parle ne l'est pas, il en dévora dernièrement une dont la vértu ne commençait qu'à clocher.
MEZETIN.	MEZETIN.
Voyons ſi cela eſt, c’eſt une choſe curieuſe, & il y a bien des illles qur ne s’y doivent pas frotter.	Voyons si cela est, c'est une chose curieuse, et il y a bien des illles qur ne s'y doivent pas frotter.
RLEQUIN.	RLÉQUIN.
C’eſt un remede infaillible pour n’eſtre pas antidatté cocu.	C'est un remède infaillible pour n'être pas antidatté cocu.
MEZET IN chante.	MEZET IN chante.
Le vigneron qui plante la v gne, Croit le premier goûter de ſon rezin, Mais le Berger qui en ce cas rafine, Demande la vandange, & trompe ſon voiſin.	Le vigneron qui plante la gîne, Croit le premier goûter de son rezin, Mais le Berger qui en ce cas rafine, Demande la venge, et trompe son voisin.
Vous qui croyés époùſer des lucreſſes, Comme le vigneron, vous pouvés vous tremper, Un Amant avant vous a ſurpris par adreſſe, L’agreable fleuron qu’on vous de vois livrer.	Vous qui croyez époùser des lucresses, Comme le vigneron, vous pouvez vous tremper, Un Amant avant vous a surpris par adresse, L'agréable fleuron qu'on vous de vois livrer.
B iiij	 Bijà
SCENE.	SCÈNE.
VII.	VII.
Le Theatre repreſente une Sale au milien de laquelle il paroit un feu qui s'éxhale & augmente.	Le Théâtre représente une Sale au milien de laquelle il parait un feu qui s'éxhale et augmente.
ARLEQUIN Gardien du feu.	ARLEQUIN Gardien du feu.
SCARAMOUCHE, COLOMBINE.	SCARAMOUCHE, COLOMBINE.
ARLEQUIN.	ARLEQUIN.
U feu, au feu, le feu inmoit er và nous YArendre tous mortels, ne trouvera-t-on pas icy ſeulemene une veſtaie pour en arrêter l’impetuoſité.	V feu, au feu, le feu inmait er và nous YArendre tous mortels, ne trouvera-t-on pas ici seulemène une vétaie pour en arrêter l'impétuosité.
SCARAMOUCHE.	SCARAMOUCHE.
Vite à l’Eau.	Vite à l'Eau.
ARLEQUIN.	ARLEQUIN.
Diable ſoit de l’homme, ce n’eſt pas du feu qui fait bouillir vos marmittes, c’eſt un feu immortel qui doit être gardé par des Pucelles il y a 2390.	Diable soit de l'homme, ce n'est pas du feu qui fait bouillir vos marmites, c'est un feu immortel qui doit être gardé par des Pucelles il y a 2390.
ans que je le conſerve, il me fut donné à Rome aprés la mort du Roy Pompily.	ans que je le conserve, il me fut donné à Rome après la mort du Roi Pompili.
SCARAMOUCHE.	SCARAMOUCHE.
En ce cas ne vous allarmés pas, j’ay une Fille qui l’éteindra.	En ce cas ne vous alarmez pas, j'ai une Fille qui l'êteindra.
ARLEQUIN.	ARLEQUIN.
Prenés-y garde pour peu que ſon honneur ne ſoit pas de poids & que le criſtal en ſoit felé il la devorera.	Prenez-y garde pour peu que son honneur ne soit pas de poids et que le cristal en soit felé il la dévorera.
COLOMBINE.	COLOMBINE.
Mon Pere une mépriſe eſt bien tôt faite & quand je ſeray oruree ine lera plus tems de m’expliquer.	Mon Père une méprise est bien tôt faite et quand je serai orurée ine lera plus temps de m'expliquer.
SCARAMOCCHE.	SCARAMOCCHE.
Voilà Monſieur, expliqués vous	Voilà Monsieur, expliquez -vous
ARLEQUIN.	ARLEQUIN.
Cà la Belle faites paſſer en reveuë toutes vos fredaines les unes aprés les autres comme des Moutons dans une barriere.	Çà la Belle faites passer en revue toutes vos fredaines les unes après les autres comme des Moutons dans une barrière.
COLOMBINE.	COLOMBINE.
Le feu me brûlera-il pour avoir parlé à des nommes dans des compagnies.	Le feu me brûlera-il pour avoir parlé à des nommes dans des compagnies.
ARLEQUIN.	ARLEQUIN.
Ah que nanny, il n’eſt pas ſi ridicule.	Ah que nanni, il n'est pas si ridicule.
COLOMBINE.	COLOMBINE.
Les viſites d’un Abbé ſont elles brulatives,	Les visites d'un Abbé sont elles brulatives,
ARLEQUIN.	ARLEQUIN.
Les viſites d’un Abbé ſont ſujettes à explication, n’a-t-il pas quelquefois campé dans la plaine de vos faveurs, car ces Meſſieurs là ne ſe contentent pas d’eſtre pourvû d’un Benefice, il reulent en jouit n'y a t-il que cela.	Les visites d'un Abbé sont sujettes à explication, n'a-t-il pas quelquefois campé dans la plaine de vos faveurs, car ces Messieurs là ne se contentent pas d'être pourvu d'un Bénéfice, il reulent en jouit n'y a t-il que cela.
COLOMBINE.	COLOMBINE.
Un Officier folâtce vient tous les matins chiffonner ma toilette.	Un Officier folâtce vient tous les matins chiffonner ma toilette.
ARLEQUIN.	ARLEQUIN.
Ouf, en voilà déja aſſez pour vous faire griller.	Ouf, en voilà déjà assez pour vous faire griller.
COLOMBINE.	COLOMBINE.
Il faut donc bien peu de choſe, vrayement je n’ay garde de dire le reſte	Il faut donc bien peu de chose, vraiment je n'ai garde de dire le reste
ARLEQUIN.	ARLEQUIN.
Il n’eſt pas difficile de le diviner, croyésmoy retirés-vous, le feu immortel n’auroit qu’à vous entendre parler, il ne reſteroit de vous qu’une fumée qui m’incommoderoit, & tout l’onguent à la brulure des Apoticaires de Paris & la Riviere de Seine ne ſeroit pas ſuffiſante d’empêcher vôtre conſommation.	Il n'est pas difficile de le diviner, croyezmoi retirez-vous, le feu immortel n'aurait qu'à vous entendre parler, il ne resterait de vous qu'une fumée qui m'incommoderait, et tout l'onguent à la brûlure des Apoticaires de Paris et la Rivière de Seine ne serait pas suffisante d'empêcher votre consommation.
SCENE VIII.	SCÈNE VIII.
OLARIA, ARLEQUIN.	OLARIA, ARLEQUIN.
ARLEQUIN, N voilà d’une autre impreſſion, il ſemEble que ſe ſoit une ſquelette du Jardin du Roy, & qu’eſtes vous.	ARLEQUIN, N voilà d'une autre impression, il semble que se soit une squelette du Jardin du Roy, et qu'êtes -vous.
OLARIA.	OLARIA.
Je ſuis Fille Monſieur!	Je suis Fille Monsieur!
ARLEQUIN, Qu’eſte-vous venu faire icy?	ARLEQUIN, Qu'este-vous venu faire ici?
OLARIA.	OLARIA.
Comme veſtale j’y viens garder le feu immortel?	Comme vestale j'y viens garder le feu immortel?
ARLEQUIN.	ARLEQUIN.
Allés garder la Riviere du Pont Neuf ou la Samaritaine, qui diable auroit voulu vous en conter, il faut des Veſtales de merite & non malgré elles, comme la plus-part des vieilles Filles qui font vœu de Chaſteté, quand penonne ne veut entrer dany le bourbier dé leurs bonnes graces.	Allez garder la Rivière du Pont Neuf ou la Samaritaine, qui diable aurait voulu vous en conter, il faut des Vestales de mérite et non malgré elles, comme la plupart des vieilles Filles qui font vœu de Chasteté, quand pénonne ne veut entrer dani le bourbier dé leurs bonnes grâces.
OLARIA.	OLARIA.
Je ſuis Marchande, Monſieur, & dans ma Eoutique, il s’en eſt trouvé plus d’un qui contens de l’échantillon ſe ſeroient chargés de la piece entiere.	Je suis Marchande, Monsieur, et dans ma Eoutique, se sen chargés trouvé plus d'un qui contents de l'échantillon se seraient chargés de la pièce entière.
ARLEQUIN.	ARLEQUIN.
C’eſt que le bon marché fait envie de mauvaiſe marchandiſe, & vous prétendés que ces échantillons ne diminuent pas la piece.	C'est que le bon marché fait envie de mauvaise marchandise, et vous prétendez que ces échantillons ne diminuent pas la pièce.
OLARIA.	OLARIA.
nous en otons queiquerois prus de cinquante ſans que la piece diminuë à la verité d’un ſol, & les Marchands s’en chargent ſans prendre garde de ſi prés.	nous en ôtons queiquerais prus de cinquante sans que la pièce diminue à la vérité d'un sol, et les Marchands s'en chargent sans prendre garde de si près.
ARLEQUIN.	ARLEQUIN.
Allés, vous vous moqués, & retirés vous.	Allez, vous vous moquez, et retirez -vous.
OLARIA.	OLARIA.
Vous ne voulés donc pas que je garde le feu immortel.	Vous ne voulez donc pas que je garde le feu immortel.
ARLEQUIN.	ARLEQUIN.
Vous êtes ſi ſeche & les échantillons levés ſur vôtre piece, la rendent ſi allumette que pour peu que vous m’aprochaſſiés il vous bruleroit comme une poigné de paille.	Vous êtes si seche et les échantillons levés sur votre pièce, la rendent si allumette que pour peu que vous m'aprochassiés il vous brûlerait comme une poigné de paille.
SCENE IX.	SCÈNE IX.
ARLEQUIN,MARINETTE.	ARLEQUIN,MARINETTTE.
ARQLEUIN.	ARQLEUIN.
N voilà bien un autre je crois que c’eſt E une Citrouille des Marais de la Ville i bre que y outout au moms le Mag azin aux Tripes de la Porte de Paris, & qui êtes vous par votre permiſnon?	N voilà bien un autre je crois que c'est une Citrouille des Marais de la Ville jour bre que y outout au moments le Mag isin aux Tripes de la Porte de Paris, et qui êtes vous par votre permînisnon?
MARINETTE.	MARINETTTE.
Je voudrois parler au feu immortel.	Je voudrais parler au feu immortel.
ARLEQUIN.	ARLEQUIN.
Que lui voulés-vous, je ſuis ſon Valet de Chambre.	Que lui voulez-vous, je suis son Valet de Chambre.
MARINETTE.	MARINETTTE.
Eit' il vray qu’il dit qu’il n’y a plus de Filles ſages, je lui viens dire qu’il a men ty.	Éit' il vrai qu'il dit qu'il n'y a plus de Filles sages, je lui viens dire qu'il a men ty.
ARLEQUIN.	ARLEQUIN.
Comment le prouverés-vous?	Comment le prouverez-vous?
Par moy?	Par moi?
MMlivETB.	MMlivETB.
ARLEQUIN.	ARLEQUIN.
La ſageſſe eſt une vertu delicate, & vous êtes groſſe comme une Truve?	La sagesse est une vertu délicate, et vous êtes grosse comme une Truve?
MARINETTE.	MARINETTTE.
Je ſuis portant ſage Monſieur, & j’en jurerois par tous les ſermens du monde.	Je suis portant sage Monsieur, et j'en jurerais par tous les serments du monde.
ARLEQUIN.	ARLEQUIN.
ARLEQUIN.	ARLEQUIN.
Pardy vous nous la baillés belle ſi on prenoit toutes les !	Pardi vous nous la baillez belle si on prenait toutes les !
filles à ſerment il n’y en auroit pas une qui ne fût chaſte, juſqu’aux reſidentes du Cheval de Bronze, & de qui eſtes- vous fille car la qualité, & la vacation contribuent beaucoup à la fraction veſtale.	filles à serment il n'y en aurait pas une qui ne fût chaste, jusqu'aux résidentes du Cheval de Bronze, et de qui êtes- vous fille car la qualité, et la vacation contribuent beaucoup à la fraction vestale.
MARINETTE.	MARINETTTE.
Je ne ſuis point de vacation, Monſieur, défunt mon Pere étoit Procureur de la Cour.	Je ne suis point de vacation, Monsieur, défunt mon Père était Procureur de la Cour.
ARLEQUIN.	ARLEQUIN.
Les parties avoient ſoin de vous rendre viſite?	Les parties avaient soin de vous rendre visite?
MARINETTE.	MARINETTTE.
Je ne manquois jamais de compagnie, un jeune nomme de la Douanne, à elte aſſés fol de ſe faire faire un procés pour avoir occaſion de m’entretenir.	Je ne manquais jamais de compagnie, un jeune nomme de la Douanne, à élète assez fol de se faire faire un procès pour avoir occasion de m'entretenir.
ARLEQUIN.	ARLEQUIN.
Vous avés apparẽment vendu la charge de Monſieur vôtre Pere, & vous vous eſtes reſervé la pratique en voyant toûjours le jeune Doüanier.	Vous avez apparẽment vendu la charge de Monsieur votre Père, et vous vous êtes réservé la pratique en voyant toujours le jeune Doüanier.
MARINETIE.	MARINETIE.
Helas c’eſt le ſeul bien qu’il m’a laiſſé, & ſa generoſité ne me laiſſe jamais au dépourveu.	Hélas c'est le seul bien qu'il m'a laissé, et sa générosité ne me laisse jamais au dépourvu.
AREEQEIR Les loüis d’or qui entrent dans vôtre Doüanne, ſans doute luy donnent toutes facilités;	ARÊÊQEIR Les louis d'or qui entrent dans votre Doüanne, sans doute été donnent toutes facilités;
n’y a t’il que luy qui partage la ſource inepuiſable de vos bien faits.	n'y a -t-il que deux qui partage la source inépuisable de vos bien faits.
MARINETTE.	MARINETTTE.
Un iroquois de jeune Procureur me vouloit embarraſſer de ſon cœur, mais il étoit ſi jeune, comme je luy diſois croyés vous qu’on ne puiſſe aiiner que vous:	Un iroquois de jeune Procureur me voulait embarrasser de son cœur, mais il était si jeune, comme je lui disais croyez vous qu'on ne puisse aiiner que vous:
ARLEQUIN.	ARLEQUIN.
C’eſt un impertinent de vouloir borner un cœur d’une auſſi grande étenduë que le vôtre & Madame vôtre mere ne vous en empeſchoit point.	C'est un impertinent de vouloir borner un cœur d'une aussi grande étendue que le vôtre et Madame vôtre mère ne vous en empêchait point.
MARINETTE.	MARINETTTE.
La méfiance de mon Pere ſur le chapitre de ſa vertu, & les viſites que l’on luy rendoit à huis clos ne luy en donnoient pas le tems.	La méfiance de mon Père sur le chapitre de sa vertu, et les visites que l'on lui était à huis clos ne lui en donnaient pas le temps.
ARLEQUIN.	ARLEQUIN.
C’eſt à dire que pendant que Monſieur vôlre rere minutoit querque plece d'écriture dans ſon cabinet, on profitoit dans la chambre de Madame vôtre Mere.	C'est -à -dire que pendant que Monsieur vôlre re minutait quérque plece d'écriture dans son cabinet, on profitait dans la chambre de Madame votre Mère.
MARINETIE.	MARINETIE.
Mais vous ne me determinés point ſi je garderay le feu immortel.	Mais vous ne me déterminez point si je garderai le feu immortel.
nlEEGCRIG.	nlÉGCRIG.
Vous en étes bien éloignée, le jeune Doüánnier ſeul eſt ſuffiſant de mettre l’incendie dans toutes les parties de vôtre corps.	Vous en êtes bien éloignée, le jeune Doüánnier seul est suffisant de mettre l'incendie dans toutes les parties de votre corps.
MARINETTE.	MARINETTTE.
Quoy pour un bon amy je ne ſerois pas ſage, ma Mere en a toûjours eü trois ou quatre, & ſi dans ſa communauté elle paſſoit pour uhe des veltueules.	Quoi pour un bon ami je ne serais pas sage, ma Mère en a toujours eu trois ou quatre, et si dans sa communauté elle passait pour uhe des veltueules.
ARLEQUIN.	ARLEQUIN.
Si vous m’en croyés vous vous en retournerés, ſinon deshabillés-vous, car ſe ſeroit dommage que ces habits là brûlaſſent.	Si vous m'en croyez vous vous en retournerez, sinon déshabillez-vous, car se serait dommage que ces habits là brûlassent.
MARINETTE.	MARINETTTE.
Comment brûler j’en ſerois bien fâchée.	Comment brûler j'en serais bien fâchée.
ARLEQUIN.	ARLEQUIN.
Eh!	Eh!
bien retirés-vous donc, & contentés- vous du feu mortel de la Doüanne.	bien retirez-vous donc, et contentez- vous du feu mortel de la Doncanne.
SCENE X.	SCÈNE X.
ARLEQUIN, SPINETTE.	ARLEQUIN, SPINETTTE.
SPINETTE Eſouflée.	SPINETTE Esouflée.
St-ce vous Monſieur qui eſtes le feu imE mortel.	St-ce vous Monsieur qui êtes le feu imE mortel.
Non.	Non.
ARLEQUIN.	ARLEQUIN.
PINETTE.	PINETTE.
Où eſt il donc, je luy veux parler.	Où est -il donc, je lui veux parler.
MicE EMoIIC Le voila l’a bas qui vous attend pour vous brûler auſſi-bien vous m’avez la mine de n’étre guerre bonne à autre choſe.	MicE EMoIC Le voilà l'a bas qui vous attend pour vous brûler aussi-bien vous m'avez la mine de n'être guerre bonne à autre chose.
SPINETTE.	SPINETTE.
Vous eſtes un effronté, & je vous pomeray la gueule, en quatre paroles, ſçavés vous bien celd:	Vous êtes un effronté, et je vous pomerai la gueule, en quatre paroles, Savez -vous bien celuid:
ARLEQUIN.	ARLEQUIN.
Allés allés-vous faire brûler.	Allez assez-vous faire brûler.
SPINETTE ſe voyant entourée de feu.	SPINETTE se voyant entourée de feu.
Ah!	Ah!
ciel je ſuis perduë.	ciel je suis perdue.
ARLEQUIN.	ARLEQUIN.
Deshabillés-vous, & d'omies hioy vos flabits ſe ſera pour mettre à part vos cendres, & les envoyer à vos parens.	Deshabillés-vous, et d'omies hioy vos flabits se sera pour mettre à part vos cendres, et les envoyer à vos parents.
SPINETTE.	SPINETTE.
Je vous donne tous & ſauves-moy la vie.	Je vous donne tous et sauves-moi la vie.
ARLEQUIN.	ARLEQUIN.
Je le veux bien, mais il faut commencer par vous brûler.	Je le veux bien, mais il faut commencer par vous brûler.
SPINET IE, Ie jen sungmente.	SPINET -JE, Je jen sungmente.
Ah !	Ah !
ah !	ah !
ha.	ha.
ARLEQUIN.	ARLEQUIN.
Dépeché-vous donc de vous dés’habiller, au ma foy vos habits feront brûlés, & vos cendres ſerviront aux Blanchiſſeuſes à faire la Leſcive.	Dépeché-vous donc de vous dès habiller, au ma foi vos habits feront brûlés, et vos cendres serviront aux Blanchisseuses à faire la Lescive.
SIINENID.	SIINENID.
Un moment, & dite lui qu’il entende raiſon.	Un moment, et dite lui qu'il entende raison.
ARLEQUIN.	ARLEQUIN.
Il ſçait la verité, ſi vous êtiés Veſtale vous lertes fey en ſeureté, étant ce que vous ête vous ne deviés pas vous expoſer en vous voyant, même on voit que vous êtes de matiere à brûler.	Il sait la vérité, si vous êtiés Vestale vous lertes fey en sûreté, étant ce que vous éte vous ne deviez pas vous exposer en vous voyant, même on voit que vous êtes de matière à brûler.
SPINETTE.	SPINETTE.
Je croyois qu’il ne ſauroit pas deviner, & qu’il m’en croiroit à ma parole.	Je croyais qu'il ne saurait pas deviner, et qu'il m'en croirait à ma parole.
Ah!	Ah!
ah!	ah!
ah, & Monſieur, ſi j’en pouvois être quitte pour ulle bruidre, an, ane	ah, et Monsieur, si j'en pouvais être quitte pour ulle bruidre, an, ane
ARLEQUIN.	ARLEQUIN.
Que ne vous depéchés-vous, vous nous faite perdre plus de tems qu’il n’en faudroit pour en brûler dix autres.	Que ne vous depéchés-vous, vous nous faite perdre plus de temps qu'il n'en faudrait pour en brûler dix autres.
SPINETTE.	SPINETTE.
Pour tous mes habits, juſqu’à ma chemiſe ſauvés-moy la vie.	Pour tous mes habits, jusqu'à ma chemise sauvez-moi la vie.
ARLEQUIN, l’examinant.	ARLEQUIN, l'examinant.
Voyonsſi cela en vaut la peme, vos Bas & vos Souliers en ſont-ils.	Voyonssi cela en vaut la peme, vos Bas et vos Souliers en sont-ils.
MARINEDTE.	MARINEDTE.
Tout, & laiſſés-moy ſortir.	Tout, et laissez-moi sortir.
ARLEQUIN.	ARLEQUIN.
Au moins vous m’aurés obligation de tout ce que vous m’allés donner, il n’en entre pas un ſol dans ma poche, c’eſt pour lui acheter quelque choſe pour l’amuſer en attendant qu’il em riemie queiqu autre.	Au moins vous m'aurez obligation de tout ce que vous m'alez donner, il n'en entre pas un sol dans ma poche, c'est pour lui acheter quelque chose pour l'amuser en attendant qu'il em riemie queiqu autre.
INETTE.	INETTE.
Je vous en envoyeray.	Je vous en enverai.
ARLEQUIN.	ARLEQUIN.
Je ſçay bien que nous n’en manquerons pas de matiere à brûler, mais c’eſt une Veſtale qu’il nous faut pour le garder, je crois qu’à la fin ma foy il ſera obligé de s’en paſſer.	Je sais bien que nous n'en manquerons pas de matière à brûler, mais c'est une Vestale qu'il nous faut pour le garder, je crois qu'à la fin ma foi il sera obligé de s'en passer.
ANOTETT.	ANOTETT.
SCENE DEVXIEME.	SCÈNE DEUXIÈME.
PASCARIEL, MEZETIN.	PASCARIEL, MEZETIN.
MEZETIN, Chante.	MEZETIN, Chante.
Si Bachus, & l'Amour, Demontant la raiſon rendent fel tour à tour, de qui des deux, uvn on je pruindre, Le vin n’eſt qu’un momont à craindre, & l’Amour l’eſt teûjours.	Si Bachus, et l'Amour, Demontant la raison rendent fel tour à tour, de qui des deux, use on je pruindre, Le vin n'est qu'un momont à craindre, et l'Amour l'est teûjours.
PASCARIEL.	PASCARIEL.
UE fais-tu-là Maraut, eſt ce là l’Employ que je t’ay donné.	UE fais-tu-là Maraut, est ce -là l'Emploi que je t'ai donné.
M MEZETIN.	M MEZETIN.
Ah!	Ah!
Monſieur, vous faites toûjours le méchant à contre-tems, & quand vôtre amour eſt à couvert.	Monsieur, vous faites toujours le méchant à contre-tems, et quand votre amour est à couvert.
PASCARIEL.	PASCARIEL.
Quoy luî as-tu parlé?	Quoi luît as-tu parlé?
MEZETIN.	MEZETIN.
Je vous dis que vous devés être content.	Je vous dis que vous devez être content.
PASCARIEL.	PASCARIEL.
As tu une Lettre	As tu une Lettre
MEZETIN.	MEZETIN.
jay orei autie enole de meilleur à vous apprendre;	jay orei autie enole de meilleur à vous apprendre;
PASCARILE.	PASCARILE.
Dit donc, quelque rendés-vous.	Dit donc, quelque rendez-vous.
MEZETIN.	MEZETIN.
Non, ah Dieux!	Non, ah Dieux!
que les amoureux ſont preſſés, & donnés-vous patience?	que les amoureux sont pressés, et donnez-vous patience?
lASOnRIDD.	LASOnRIDD.
Mon pauvre Mezetin, un mot ſeulement pour.	Mon pauvre Mezetin, un mot seulement pour.
MEZETIN.	MEZETIN.
Pour toute raiſon, Spinette eſt grillée, elle eſt de ce matin enfermée dans un lieu où perloinie ne lur parle,	Pour toute raison, Spinette est grillée, elle est de ce matin enfermée dans un lieu où perloin ne lur parle,
PASCARIEL.	PASCARIEL.
Eſt-ce-là la bonne nouvelle que tu voulois m’apprendre?	Est-ce-là la bonne nouvelle que tu voulais m'apprendre?
MEZETIN.	MEZETIN.
Peut-elle être meilleure, ſi vous voulés l'épouſer, n’avés-vous pas interêt de fermer la porte à tous vos rivaux & de conſerver ſon honneur qui ſeroit, comme vous ſçavés, en tres-grand danger s’il reſtoit dans le monde;	Peut-elle être meilleure, si vous voulez l'épouser, n'avez-vous pas intérêt de fermer la porte à tous vos rivaux et de conserver son honneur qui serait, comme vous savez, en très-grand danger s'il restait dans le monde;
pourveu qu’il ne paſſe pas par la Fenêtre, ou par la Cheminée, & ce ne ſeroit pas la premiere qui y ſeroit entrée fille, & qui en ſeroit ſortie Mere, tenés Monſieur l’honneur d’une Fille, voltige comme une Hyrondelle, & gliſſe des mains comme une Anguille.	pourvu qu'il ne passe pas par la Fenêtre, ou par la Cheminée, et ce ne serait pas la première qui y serait entrée fille, et qui en serait sortie Mère, tenez Monsieur l'honneur d'une Fille, voltige comme une Hyrondelle, et glisse des mains comme une Anguille.
PASCARIEL, Va retourne & ne reviens pas que tu ne m’en apporte des nouvelles écrités de ſa main, ou je te caſſe les bras.	PASCARIEL, Va retourne et ne reviens pas que tu ne m'en apporte des nouvelles écrités de sa main, ou je te casse les bras.
MEZETIN.	MEZETIN.
Monſieur je vous rends vôtre condition, ſi quelqu’autre que moy veux l’entreprendre, le chemin eſt beau & large, mais fort épineuxs du moins pour des gens de ma ſorte ſon Pere eſt un homme à aſſommer un Beuf, & comment ne feroit il pas un homme, que n’y allés vous vous même, j’aime mieux vous prêter mon habit, vous aurés la ſatisfaction d’entendre & de lire dans ſes yeux.	Monsieur je vous rends votre condition, si quelqu'autre que moi veux l'entreprendre, le chemin est beau et large, mais fort épineuxs du moins pour des gens de ma sorte son Père est un homme à assommer un Beuf, et comment ne ferait -il pas un homme, que n'y a allez vous -même, aime mieux vous prêter mon habit, vous aurez la satisfaction d'entendre et de lire dans ses yeux.
PASCARIEL.	PASCARIEL.
Pour qui me prend- tu maraut, m’offrir ton habit pour me reveſtir.	Pour qui me prend- tu maraud, m'offrir ton habit pour me revêtir.
MEZETIN.	MEZETIN.
Eſtes-vous plus grand Seigneur que Jupiter, il prit bien autrefois la forme d’un taureau pour joüir de la belle Europe, l’habit d’un laquais eſt encor plus honneſte que celuy d’une Beſte;	Êtes-vous plus grand Seigneur que Jupiter, il prit bien autrefois la forme d'un taureau pour jouir de la belle Europe, l'habit d'un laquais est encor plus honnête que celui d'une Bête;
ſi on vous reconnoiſſoit vous dirés que c’eſt une maſcarade, & que vous avés voulu devancer le carnaval, il ne faut pas que dans un cœur de quante la peur s’y gliſſe, ſi vous hazardés quelque choſe pour elle, elle ſçaura vous en tenir compte, il faut par une ame genereuſe ſurmonter les perils de l’amour.	si on vous reconnaissait vous direz que c'est une mascarade, et que vous avez voulu devancer le carnaval, il ne faut pas que dans un cœur de quante la peur s'y glisse, si vous hasardez quelque chose pour elle, elle saura vous en tenir compte, il faut par une âme généreuse surmonter les périls de l'amour.
PASCARIEL.	PASCARIEL.
La Flandre, l’Allemagne & le Piemont ſont témoins ſi j’ay craint le danger, un jour ſortant du combat mon front fut plus couvert de lauriers qu’un cent de jambons de Mayenee.	La Flandre, l'Allemagne et le Piémont sont témoins si j'ai craint le danger, un jour sortant du combat mon front fut plus couvert de lauriers qu'un cent de jambons de Mayène.
MEZETIN.	MEZETIN.
Eh!	Eh!
pourquoy avez vous donc peur j’ay aimé en mon temps, & fait quelquefois breche en la place que j’attaquois, je peus dire ſans vanité que je n’ay jamais manqué mon coup, auſſi étois je nommé dans mon quartier le mignon de Venus, & le poupon favory du jbeau ſexe;	pourquoi avez vous donc peur j'ai aimé en mon temps, et fait quelquefois brèche en la place que j'attaquais, je peux dire sans vanité que je n'ai jamais manqué mon coup, aussi étais je nommé dans mon quartier le mignon de Venus, et le poupon favori du jeubeau sexe;
j’ay veu en un matin plus de trente Ramoneurs aſſieger ma champre, de lolmer un corps de bacame poul avoir l’honneur de me parler le premier.	j'ai vu en un matin plus de trente Ramoneurs assiéger ma champre, de lolmer un corps de bacame poul avoir l'honneur de me parler le premier.
SCENE II.	SCÈNE II.
ARLEQUIN, SPINETTE, COLOMBINE.	ARLEQUIN, SPINETTTE, COLOMBINE.
ARLEQUIN.	ARLEQUIN.
T* H bien Spinette comme vont les Amours 2 Dragoniſtes, car on dit que le Capitaine qui a loge ches vous, à mis pied à terre à l’hôtel de tes bonnes graces.	T* H bien Spinette comme vont les Amours 2 Dragonistes, car on dit que le Capitaine qui a loge chez vous, à mis pied à terre à l'hôtel de tes bonnes grâces.
SPINETTE.	SPINETTE.
Je ne luy ay pas encor parlé, mais je ſçais bbien ce que Mezetin m’a dit.	Je ne lui ai pas encor parlé, mais je sçais bien ce que Mezetin m'a dit.
COLOMBINE.	COLOMBINE.
Ne le crois pas Spinette il t’atrapera.	Ne le crois pas Spinette il t'atrapera.
PINETTE.	PINETTE.
Il faut l’eitte une rois pour être ſage.	Il faut l'éitte une rois pour être sage.
ARLEQUIN.	ARLEQUIN.
Elle a raiſon, ſi tout le monde étoit ſi méfiant de cent mariages il ne s’en feroit pas un.	Elle a raison, si tout le monde était si méfiant de cent mariages il ne s'en ferait pas un.
SOROMBINE.	SOROMBINE.
Tu crois que ce Capitaine t’eſpouſera.	Tu crois que ce Capitaine t'épousera.
ARLEQUIN.	ARLEQUIN.
Ouy il l’eſpouſera, & toy y tou ſi tu veux, il en eſpouſeroit bien d'autres.	Oui il l'épousera, et toi y tou si tu veux, il en épouserait bien d'autres.
COLOMBINE.	COLOMBINE.
Il faut étre folle.	Il faut être folle.
ARLEQUIN.	ARLEQUIN.
Moy je luy conſeille de tenter fortune il n’eſt rien tel que de riſquer, tu ſerois bien eſtourdie ſi tu la voyuis dais peu de temps à la teſte d'un Camp-voiant;	Moi je lui conseille de tenter fortune il n'est rien tel que de risquer, tu serais bien étourdie si tu la voyis dais peu de temps à la tête d'un Camp-voyant;
tien je veux te voir un jour la garde boutique de nôtre ville.	tiens je veux te voir un jour la garde boutique de notre ville.
SCENE III.	SCÈNE III.
PASCARIEL, MEZETIN.	PASCARIEL, MEZETIN.
MEZETIN.	MEZETIN.
H parbleu j’ay de drôles de nouvelles à Avous apprendre, à moins de caſſer les portes on ne peut pas y entrer, pour avoir fait un petit tac on m’a jetté une douzaine de pavés ſur la teſte.	H parbleu j'ai de drôles de nouvelles à Avous apprendre, à moins de casser les portes on ne peut pas y entrer, pour avoir fait un petit tac on m'a jeté une douzaine de pavés sur la tête.
