Source gallica.	Source galica.
De meſme que le cœurdans ſon ſiege arreſté Donne au corps les espris & la viuacité, Sinon permettez, moy de prendre voſtre route Ou le plus grand perilſe trouuera ſant doute, Ques iijaut que tytombe, & rendeſous les coups L'Ame, & le ſang Royal, que i'ay receu de vous Macheute pour le moins fufelle encore pire Ne fera point croulerla maſſe de l’Empire,	De même que le cœurdans son siège arrêté Donne au corps les esprit et la vivacité, Sinon permettez, moi de prendre votre route Ou le plus grand périlse trouvera sant doute, Ques jijaut que tombe, et rendesous les coups L'Ame, et le sang Royal, que j'ai reçu de vous Machute pour le moins fuselle encore pire Ne fera point croulerla crasse de l'Empire,
Il dit vray.	Il dit vrai.
RVSTAN.	RUSTAN.
SOLIM.	SOLIM.
Voſtre cœurme plaiſt, & i’en fais cas Mais l’ordre neantmoins ne ſe changera pas A iij Ie veux me reſeruant ce perileux voyage Que le plus grandouurier ayt le plus grand ouurage, Faites donc ſimplement les choſes que ie veux Ainſile Cielſeconde, & vos pas & mes vœux.	Votre cœurme plaît, et j'en fais cas Mais l'ordre néanmoins ne se changera pas A j Ie à me réservant ce péril voyage Que le plus grandouurier ait le plus grand ouvrage, Faites donc simplement les choses que je veux Ainsile Cielseconde, et vos pas et mes vœux.
MVSTAPHA.	MUSTAPHA.
Ie pars donbo Seigneur?	Je pars donbo Seigneur?
& pourtres numble grace Baiſe encore à genoux les voſtres que i'embraſſe.	et pourtres numble grâce Baise encore à genoux les vôtres que j'embrasse.
SOLYMAN.	SOLYMAN.
Va mon ſang, va mon fils, apprens qu’vn conquerant Doit cheminer partout comme vn feu deuorant Pardonne à qui te cede, & mets plus bas que l’herbe L’ennemy qui reſiſte, & le vaincu ſuperbe, Enfin que ta valeuraille iuſqu’à ce point Que le pius ſorttauouc & n'en rougiſſe point, Acmatſuiuez le donc, & faites qu’on luy donne mmeimouomau durip puyquete tordonne.	Va mon sang, va mon fils, apprends qu'un conquérant Doit cheminer partout comme un feu dévorant Pardonne à qui te cède, et mets plus bas que l'herbe L'ennemi qui résiste, et le vaincu superbe, Enfin que ta valeuraille jusqu'à ce point Que le pius sorttauc et n'en rougisse point, Acmatsuivez le donc, et faites qu'on lui donne mmeimouomau durip uyquette tordonne.
Puis reuenez, au temple ou ie ſuts attendu.	Puis revenez, au temple ou ainsi suts attendu.
ACMAT, Ie le feray Seigneur.	ACAT, Je le ferai Seigneur.
R9 H TESEETV RVSTAN, OSMAN,	R9 H TESEETV RUÊTAN, OSMAN,
RVSTAN.	RUSTAN.
!	!
Dieux qu’ayie entendu?	Dieux qu'ai entendu?
S	S
OSMAN.	OSMAN.
Ah quel ſuiet d’enuie a l’esprit de mon maiſtre Ilen eſt furieux autant qu’on le peut eſtre.	Ah quel sujet d'envie a l'esprit de mon maître Ilen est furieux autant qu'on le peut être.
RVSTAN.	RUSTAN.
Que vous en ſemble Oſman, eſtre à peine arriué Et recueillir le fruit donc ie me voy priué?	Que vous en semble Osman, être à peine arrivé Et recueillir le fruit donc ie me vois privé?
Vſurperhautement tous les droits de la guerre Que ma charge me donne, & ſur mer & ſurterre, Mais quoy, poßible encortant il eſt inſenſe Il croit que ſon merite eſt mal recompenſe, Et qu’eſtant fils du Roy, tout ce qu’on luy peut rendre Eſt touſiours au deſſous de ce qu'ildoit pretendre, Comme ſi la vertuſe meſuroit au ſang Ou le prix dumerite à la grandeur du rang, Et puis qui ne ſçait pas que ma femme Roxale M'allie eſtroictement à la maiſon Royale, Mais il eſt encor temps de luy faire achepter Pni ſeepire matatqiis queie dehois ponier.	Vsurperhautement tous les droits de la guerre Que ma charge me donne, et sur mer et surterre, Mais quoi, possible encortant il est insensé Il croit que son mérite est mal récompense, Et qu'étant fils du Roi, tout ce qu'on lui peut rendre Est toujours au dessous de ce qu'ildait prétendre, Comme si la vertuse mesurait au sang Ou le prix dumerite à la grandeur du rang, Et puis qui ne sait pas que ma femme Roxale M'allie étroitement à la maison Royale, Mais il est encor temps de lui faire achetter Ni secrire matatqiis que demi ponier.
OSMAN.	OSMAN.
Ouy Seigneur la vangeance, eſt bien deuë à loutrage Mais elle le ſeroit encore dauantage Si vous n’auiez vous meſme aduancé voſtre ennuy Pour eſtre l’artiſan de la gloire d’autruy, Vous auez, tant voulu qu'on vantat ſa vaillance Son eſprit, ſon credit, ſon ſoin, ſa vigilance, Comme encorce matin i’ay fait aupres du Roy Que vous meſme à la fin l’auez mis dans l’employ Puis qu’aulieu du ſoupçon & de la ialouſie Mronvvame au Ouuin, devorv epere jueſte Voſtre eſpoir qui vous trompe & voſtre art qui vous nuit Ont veu naiſtre l’eſtime, & l’amour qui la ſuit.	Oui Seigneur la vengeance, est bien due à loutrage Mais elle le serait encore davantage Si vous n'aviez vous même avancé votre ennui Pour être l'artisan de la gloire d'autrui, Vous avez, tant voulu qu'on vantât sa vaillance Son esprit, son crédit, son soin, sa vigilance, Comme encorce matin j'ai fait auprès du Roi Que vous rendre à la fin l'avez mis dans l'emploi Puis qu'aulieu du soupçon et de la jalousie Mronvme au Ouvin, devorv espère jute Votre espoir qui vous trompe et votre art qui vous nuit Ont veu et l'estime, et l'amour qui la sujet.
RVSTAN.	RUSTAN.
Ileſt vray, mais ie veux que le meſme artifice Serue à le faire choir du feſte au precipice, Ie vay trouuer la Reyne;	Ilest vrai, mais rien veux que le même artifice Serve à le faire choir du fête au précipice, Je vais trouver la Reine;
& futuunt monut ſſein Luy porter plus auant la crainte dans le ſein	et futuunt monut ssein Lui porter plus avant la crainte dans le sein
Dont Dont comme d’vn venin, ie pretens qu’elle meſme Eninfecte le Roy qui la croit, & qui l’ayme.	Dont Dont comme d'un venin, je prétends qu'elle même Eninfecte le Roi qui la croit, et qui l'aime.
SCTEVT DESPINE, ALVANTE.	SCTEUT DESPINE, ALVANTE.
2 3 DESPINE.	2 3 DÉPINE.
On pere eſt-il donc vray que vous auez A pitié De ma longue ſouffrance & de mon amitié?	On père est-il donc vrai que vous avez A pitié De ma longue souffrance et de mon amitié?
ALVANTE.	ÀLVANTE.
Ileſt bon de tromperceite Amante inſenſée Pour luy cauſer le bien que i’ay dans la penſee, Ouy ma fille, & partant reprenons le diſcours.	Ilest bon de tromperceite Amante insensée Pour lui causer le bien que j'ai dans la pensée, Oui ma fille, et partant reprenons le discours.
Dont nous auons tantoſtinterrompu le cours.	Dont nous avons tantôtinterrompu le cours.
DESPINE.	DÉPINE.
Oyez donc en deux mots la fin de mon hiſtoire?	Oyez donc en deux mots la fin de mon histoire?
Ie vous ay deſia dit ſi i’ay bonne memoire Comme cét ennemy ſi vaillant & ſi ſier Par le nombre vaincuſe rendit priſonnier, Quandilſceut que i'eſtois la Princeſſe Despine Orvoicy d’ou nos feux ont pris leurorigine Il fut mis dans ma tente ou le vingtieſme iour nont il eut Apres vn grand ſoüpir témoin de ſon amour & ſa naiſance En hardy par le mien qu’ilauoit pû conneſtre Il m'aprit enſecret, & ſon nom & ſon eſtre, Son courage ſigrand, & ſi bien remarque Au combat qu'ilrendit quand il fut attaqué, Sa grace & ſon viſage en ſont toutes les marques uevrittent a vrutnaurc en tetuydes (Honarques;	Je vous ai déjà dit si j'ai bonne mémoire Comme cet ennemi si vaillant et si jeter Par le nombre vaincuse rendit prisonnier, Quandilscut que j'étais la Princesse Despine Orvoici d'ou nos feux ont pris leurorigine Il fut mis dans ma tente ou le vingtième jour nont il eut Après un grand soüpir témoin de son amour et sa naisance En hardi par le mien qu'ilauoit pu connaître Il m'aprit ensecret, et son nom et son ur, Son courage sigrand, et si bien remarque Et combat remarque ilrendit quand il fut attaqué, Sa grace , son visage , sont toutesil fu uevrittent a vrutnaurc en tetuydes (Honarques;
Et de ſon entretien l’ineuitable appas Me charmere ſi bien que ie n'en doutay pas.	Et de son entretien l'inévitable appas Me charmère si bien que je n'en doutai pas.
AEVANAL.	AEUANAL.
Adioutez aux raiſons que vous venez de dire Que l’on croit ayſement les choſes qu’on deſire.	Ajoutez aux raisons que vous venez de dire Que l'on croit aisément les choses qu'on désire.
DESPINE.	DÉPINE.
Il eſt vray cher Aluante, & c’eſt außi pourquoy Ie receus volontiers ſon Amour & ſa fo D’autant mieux que ie creus qu'vne paix fortunée (Au moins nos peres morts) ſuiuroit noſtre Hymenée.	Il est vrai cher Alvante, et c'est aussi pourquoi Je reçus volontiers son Amour et sa fo D'autant mieux que sans crus qu'une paix fortunée (Au moins nos pères morts) suivrait notre Hyménée.
ALVANTE.	ÀLVANTE.
uat poborquoys tioous praiſt net actempuſesvous?	Ouat poborquois toujours praist net actempusesvous?
DESPINE.	DÉPINE.
Pource qu’eſtant bleſſe de quantité de coups Ie ne ſouhaitay pas que la choſe fut faite Qu'il ne fut aſſeure d’vne ſante parfaite (Mais helas, qu’en Amouron craint auec raiſon) En attendant le temps de ce tte gueriſon Voicy que de noſtre heur la fortune ialouſe Vient arracher l’Espoux du ſein de ſon Espouſe Il vous ſouuient aſſez que les Scithes hardis Me donnerent bataille, & que ie la perdis, Auec tant de malheur que les miens me laiſſerent Sans deffendre mon Camp que les autres forcerent, Si bien qu'en Muſtapha, mon espoir & mon cœur Tomberentſous la main duſuperbe vainqueur, Qui l’ayantreconnu le rendit à la Thrace Qui la touſiours gardé depuis cette diſgrace, Voila de ma douleur le ſuiet eſclaircy Et l’eſpoir de ſalut qui me retien icy, Iatiens doncmaintenant l’aßiſtance promiſe Et de voſtre conſeil, & de voſtre entremiſe Sans laquelle il eſt vray que difficillement Ie puis me deſcouuriraux yeux de mon Amants Ne pouuant l’aborderny luy parler moy-meſme Sans nous iettertous deux en vn perilextreſme, Puiſque de tant de Chefs qui ne le quittent pas Quelqu'vn peut m'auoirveue au milieu des combats.	Pource qu'étant blesse de quantité de coups Je ne souhait pas que la chose fut faite Qu'il ne fut assure d'une santé parfaite (Mais hélas, qu'en Amouron craint esprit) En attendant le temps de ce tte guérison Voici que de notre heur la fortune jalouse Vient arracher l'Espoux du sein de son Épouse Il vous souvient assez que les Scithes hardis Me donnèrent bataille, et que je la perdis, Avec tant de malheur que les miens me laissèrent Sans défendre mon Camp que les autres forcèrent, Si bien qu'en Mustapha, mon espoir et mon ç Tomberentsous la main de vainqueur, Qui l'en le rendit a la Thrace Qui la tousiours a depuis cette ha, Voila de ma douleur le suiet esclaircy Et espoir de salut qui me retien , Iatiens doncmaintenant assistance promise Et de vôtre conseil, et de vôtre entremise Sans laquelle il est vrai que difficillement Ie puis m ô yeux de mon Amants Ne pouuant aborderny lui parler moi-même Sans nous iettertous deux en perilextresme, Puisque de tant de Chefs qui ne le quittent pas Quelqu' peut m'auoirveue au milieu des combats'
ALVANTE, Vous monſtrez bien encor parcette ſage crainte Qu'Amour n’a pas en vous toute raiſon eſteinte Ie prens donc deſormais cette charge ſus moy Mais vous trouuerez bon auparauant.	ÀLVANTE, Vous montrez bien encor parcette sage crainte Qu'Amour n'a pas en vous toute raison éteinte Je prends donc désormais cette charge sus moi Mais vous trouverez bon auparavant.
DESPINE.	DÉPINE.
Propoſez ſeulement.	Proposez seulement.
Et quoy.	Et quoi.
ALVANTE.	ÀLVANTE.
Que ie vous aille prendre A noſtre hoſtellerie, ou vous m’irez attendre Sans errer plus longtemps autour de ce Palais.	Que ici vous aille prendre A notre hôtellerie, ou vous mirez attendre Sans errer plus longtemps autour de ce Palais.
DESPINE.	DÉPINE.
Et bien mon cher Aluante, ouy ie vout le promets Portez luy donc ma lettre, ou ſont en peude lignes Depeints mes longs trauaux, & mes malheurs inſignes.	Et bien mon cher Alvante, oui nous vout le promets Portez lui donc ma lettre, ou sont en peude lignes Dépeints mes longs travaux, et mes malheurs insignes.
ALVANTE.	ÀLVANTE.
Et cét autre papier que vous m’auez donné Eſt-ce vne lettre encor?	Et cet autre papier que vous m'avez donné Est-ce une lettre encor?
DESPINE.	DÉPINE.
Non, c’eſt vn blanc ſigné Qu’autrefois par larcin ie pris au Roy mon pere Pouren tirervn iour le fruict que i’en eſpere, Vous le luy donnerez & luy meſme pourra Tmettre de ſa main toutce qui luy plaira, Puis qu'il n’eſt parmy nous ny place ny Prouince Qui voyant le Cachet & le ſeing de ſon Prince Ne s’offreincontinant à receuoir ſa loy Comme s’ilen eſtoit le veritable Roy, Enfin la nudité de ce papierluy donne Des richeſſes ſans nombre, auecque vne Couronne.	Non, c'est un blanc signé Qu'autrefois par larcin ie pris au Roi mon père Pour tirervn jour le fruit que j'en espère, Vous le lui donnerez et et même pourra Tamettre de sa main toutce qui avait plaira, Puis qu'il n'est parmi nous m place ni Province Qui voyant le Cachet et le seing de son Prince Ne s'offreincontinant à recevoir sa loi Comme s'il était le véritable Roi, Enfin la nudité de ce papierlui donne Des richesses sans nombre, avec Couronne.
ALVANTE.	ÀLVANTE.
Madame aſſeurez vous qu’auec iuſte raiſon Ie m'en vay trauailler à voſtre gueriſon.	Madame assurez vous qu'avec juste raison Je m'en vais travailler à votre guérison.
DESPINE.	DÉPINE.
Allez & que l'Amourle plus grand Dieudumonde Faſſe que le ſuccez, à mes ſouhaits reſponde.	Allez et que l'Amourle plus grand Dieudumonde Fasse que le succès, à mes souhaits réponde.
ALVANTE.	ÀLVANTE.
Pous vojez lelogis, allez y ſeulement.	Pous vojez lelogis, allez y seulement.
S CENE VI ALVANTE, OSMAN.	 SENE VI ALVANTE, OSMAN.
Q ALVANTE.	Q ALVANTE.
& Dieux fut il iamais vn tel aueuglement Auoir pis conceuoir ces feux illegitimes A Leur donner nourriture auecques tant de crimes Et me choiſir encor pour l’inſtrument fatal Des maux qu'elle prepare a mon pays natal Pluſtoſt que cela ſoit O!	et Dieux fut il jamais un tel aveuglement Avoir pis concevoir ces feux illégitimes À Leur donner nourriture avec tant de crimes Et me choisir encor pour l'instrument fatal Des maux qu'elle prépare à mon pays natal Plutôt que cela soit Ô!
Ciel que ton tonnerre Me creuſe vn monument au centre de la terre C’eſt ainſi que ie fay voſtre commißion.	Ciel que ton tonnerre Me creuse un monument au centre de la terre C'est ainsi que sans fais votre commion.
C’eſt ainſi que te ſers à voſtre paßion, Et que ie contribué à cét hymen funeſte Que la terre condamnt, & que te Cuetucieſte.	C'est ainsi que te sers à votre passion, Et que ici contribué à cet hymen funeste Que la terre condamnt, et que te Cuetucieste.
DE MAIRET.	DE MAIRET.
OSMAN, furuenant, & caché Par ces mots bien liez de Septre hereditaire Que leur intelligence eſt, de tres-haut myſtere Mais il faut recueillir iuſqu’au moindre morceait Dieux, qu’eſt ce que ie voy.	OSMAN, survenant, et caché Par ces mots bien liés de Septre héréditaire Que leur intelligence est, de très-haut mystère Mais il faut recueillir jusqu'au moindre morceait Dieux, qu'est ce que Un voy.
Le ſein, & le grand Sceaus Du Prince des Perſans qui tiennent tout enſemble Ah vrayment le ſecret va plus loin qu’il ne ſemble Va l’expoſer au Roy, puiſque le cas eſt tel Qu'vn ſilence indiſcret te rendroit criminel, Iaire vne trahiſon c’eſt preſque la commettre Non non, porte à Ruſtan, cette importante lettre, Ce merueilleux eſprit qui fait, tout par compas Ttrouuerra le ſens que tu n'y trouues pas.	Le sein, et le grand Sceaus Du Prince des Persans qui tiennent tout ensemble Ah vraiment le secret va plus loin qu'il ne semble Va l'exposer au Roi, puisque le cas est tel Qu'un silence indiscret te rendrait criminel, Jaire une trahison c'est presque la commettre Non non, porte à Rûtan, cette importante lettre, Ce merveilleux esprit qui fait, tout par compas Ttrouuerra le sens que tu n'y trouves pas.
dans vn coin.	dans un coin.
Il s'en va mal content que peut-ce eſtre, allons voir Les papiers deſchirez, qu’il vient de laiſſer cheoir Liſons, à quelque main que le poulet s’addreſſe Il parle ouuertement d’Amour & de promeſſe Taſche encor d’adiuſter ces fragments ramaſſez San paſſer plus auant, cettuy-cy montre aſſez	Il s'en va mal content que peut-ce même, allons voir Les papiers déchirés, qu'il vient de laisser choir Lisons, à quelque main que le poulet s'adresse Il parle ouuertement d'Amour et de promesse Tâche encor d'ajuster ces fragments ramassez San passer plus avant, celui-cy montre assez
A L	À L
SCENE PREMIERE LA SVLTANE, RVSTAN, HERMINE.	SCÈNE PREMIÈRE LA SULTANE, RUSTAN, HERMINE.
Y M RVSTAN.	Y M RVSTAN.
NFIN il eſt venu ſuiuy de trente 3 M Princes Qui pour le ſuiure en Perſe ont quitté leurs Prouinces, Si bien que iamais Roy n'a mis en moins de temps Ny tant d’amis ſus pied ny tant de combatans, Regardez maintenant ſi le danger vous preſſe Et s’il vous faut auoir vne molle tendreſſe,	NFIN il est venu suivi de trente 3 M Princes Qui pour le suivre en Perse ont quitté leurs Provinces, Si bien que jamais Roi n'a mis en moins de temps Ny tant d'amis sus pied ni tant de combattants, Regardez maintenant si le danger vous presse Et s'il vous faut avoir une molle tendresse,
SVLTANE.	SULTANE.
SVLTANE.	SULTANE.
Ileſtvray, ie voybien, que ſans voſtre ſecours Nous ne ſommes pas loin du dernier de nos iours, Cherchez donc vn remede au mal qui nous menac Et dites franchement ce qu’il faut que ie faſſe.	Ilestvray, je voisbien, que sans votre secours Nous ne sommes pas loin du dernier de nos jours, Cherchez donc un remède au mal qui nous menac Et dites franchement ce qu'il faut que sans fasse.
RVSTAN.	RUSTAN.
Madame, le Roy ſeul nous peut tous conſeruer Il faut pourcét effet que nous l’allions treuuer Et luy rendre ſon fils ſuspect & redoutable Par vn diſcours adroit autant que veritable Orvoicy le profit qui nous en reuieudra, C’eſt que deſia du moins le Roy luy reſtraindra, De ſa commißion l’exceßiue puiſſance, La deſſus, l’Orgueilleux prendra quelque licence;	Madame, le Roi seul nous peut tous conserver Il faut pourcét effet que nous l'allions trouver Et lui rendre son fils suspect et redoutable Par un discours adroit autant que véritable Orvoici le profit qui nous en reuieudra, C'est que déjà du moins le Roi toujours restraindra, De sa commion l'excessiue puissance, La -dessus, l'Orgueilleux prendra quelque licence;
Et n'ayant pas encortout l’esprit qu’il luy faut S'emportera ſans doute à ſe plaindre tout haut.	Et n'ayant pas encortout l'esprit qu'il était faut S'emportera sans doute à se plaindre tout haut.
Parauenture außi fera-t'il quelque choſe Diauuonuealeſouppenejermnommene cauſé Accident qui l’eſloigne, ou le fait priſonnier, Que ſi le ſort vouloit qu’on en vint au dernien Sans doute la fortune acheueroit le reſte Et ſon ambition luy deuiendroit funeſte.	Paraventure aussi fera-t'-il quelque chose Diauuonuealesouppenejermnommene causé Accident qui l'éloigne, ou le fait prisonnier, Que si le sort ait qu'on en vint au dernien Sans doute la fortune achèverait le reste Et son ambition pourrait deviendrait funeste.
HERMINE.	HERMINE.
Ouy.	Oui.
Mais s’ilobeit, & garde le reſpect?	Mais s'ilobéit, et garde le respect?
RVSTAN.	RUSTAN.
Il ne laiſſera pas d’eſtre encore ſuſpect Eſtant bienmalayse qu’aux peres de ſon âge Le credit des enfans ne donne de l’ombrage Et que d’vn ſucceſſeur, qui marche ſur leurs pas La trop grande ſplendeur ne les offuſque pas	Il ne laissera pas d'être encore suspect Étant bienmalaise qu'aux pères de son âge Le crédit des enfants ne donne de l'ombrage Et que d'un successeur, qui marche sur leurs pas La trop grande splendeur ne les offusque pas
SVLTANE.	SULTANE.
Mais les ſimples ſoupçons ne pourront pas ſuſſire A luy faire aduancerla mort qu'on luy deſire.	Mais les simples soupçons ne pourront pas sussire A G faire avancera mort qu'on lui desire.
Ainſi noſtre malheureſttouſiours en ſa main.	Ainsi notre malheuresttousiours en sa main.
RVSTAN.	RUSTAN.
Nous empeſchons au moins qu’il n’arriue demain Et c’eſt beaucoup gagner dans vn mortel orage Que d’auoirdifferé le temps de ſon naufrage, Mamooicyr Empereur, prefente?	Nous empêchons au moins qu'il n'arrive demain Et c'est beaucoup gagner dans un mortel orage Que d'auoirdifferé le temps de son naufrage, Mamooicyr Empereur, présente?
vous à luy.	vous à notre.
SVLTANE.	SULTANE.
Son viſage troublé marque vn ſecret ennuy	Son visage troublé marque un secret ennui
RVSTAN.	RUSTAN.
Tant mieux noſtre entrepriſe en ſera plus ayſée Puis qu'il à deſia l’ame au trouble diſposée.	Tant mieux notre entreprise en sera plus aisée Puis qu'il à déjà l'âme au trouble disposée.
SEEVE AA SOLYMAN, SVLTANE, RVSTAN, OSMAN, HERMINE.	SÈVE AA SOLYMAN, SULTANE, RUSTAN, OSMAN, HERMINE.
A 119 SVLTANE.	À 119 SVLTANE.
H!	H!
Seigneur quel ſuiet de craïnte ou de douleur Trouble de voſtre front le calme & la L couleur?	Seigneur quel sujet de craïnte ou de douleur Trouble de votre front le calme et la L couleur?
SOLYMAN.	SOLYMAN.
I'aycrainte, i’ay douleur, pourtant ie ne puis dire N'y le malque ie crains n’y pourquoy ie ſoupire, Tayprls cespaßions queir ne connoy pas Au temple dont le ſeüil à tremble ſous mes pas	J'aicrainte, j'ai douleur, pourtant ici ne puis dire N'y le malque sans crains n'y pourquoi grande soupire, Taiprs cespassions queir ne connais pas Au temple dont le seüil à tremble sous mes pas
O Dieux.	Ô Dieux.
SVLTANE.	SULTANE.
RVSTAN, Souuentesfois le Cielen ſes augures De nos maux aduenircrayonne les figures.	RUSTAN, Souventesfois le Cielen ses augures De nos maux aduenircrayonne les figures.
D ii	 Di
SOLYMAN.	SOLYMAN.
Vn cœurcomme le mien, que ſonſtient la vertu Enpeux opre cjoitiste mmonon paadevaut.	Un cœurcomme le mien, que sonstient la vertu Enpeux opre ciaitiste mmonon padevaut.
SVLTANE, Mais vn prudenteſprit doit tout mettre en vſage Pourdeuiner l’effet d’vn ſiniſtre preſage, A fin que le malheur dontileſtaduerty Parſa precaution, puiſſe eſtre dtuerty.	SULTANE, Mais un prudentesprit doit tout mettre en usage Pourdeviner l'effet d' sinistre présage, A fin que le malheur dontilestaduerty Parsa précaution, puisse chang dtuerti.
Mais ô Dieux ſi i’oſois expliquez, ma penſée	Mais ô Dieux si j'osais expliquez, ma pensée
SOAIMIMAI.	SOAIMIMAI.
Acheuez, pourſuiuez la parole auancée.	Achevez, poursuivez la parole avancée.
SVLTANE.	SULTANE.
Non non, ie ne veux pas vous annoncer des maux Sur des ſuiets de peur qui poßible ſont faux Quoy qu’ils me ſemblent vrais auec trop d’apparence.	Non non, Seigneur ne veux pas vous annoncer des maux Sur des sujets de peur qui pouvible sont faux Qu 'ils me semblent vrais sans trop d'apparence.
RVSTAN.	RUSTAN.
Vous pouuez doncles dire auec plus d’aſſeurance Et voſtre Maieſté ne les doit plus celer En ſi iuſte ſuiet de craindre & de parler.	Vous pouvez doncles dire avec plus d'assurance Et votre Majesté ne les doit plus celer En si juste sujet de craindre et de parler.
SOLYMAN.	SOLYMAN.
Vn cœurcomme le mien, que ſonſtient la vertu Enpeux opre cjoitiste mmonon paadevaut.	Un cœurcomme le mien, que sonstient la vertu Enpeux opre ciaitiste mmonon padevaut.
SVLTANE, Mais vn prudenteſprit doit tout mettre en vſage Pourdeuiner l’effet d’vn ſiniſtre preſage, A fin que le malheur dontileſtaduerty Parſa precaution, puiſſe eſtre dtuerty.	SULTANE, Mais un prudentesprit doit tout mettre en usage Pourdeviner l'effet d' sinistre présage, A fin que le malheur dontilestaduerty Parsa précaution, puisse chang dtuerti.
Mais ô Dieux ſi i’oſois expliquez, ma penſée	Mais ô Dieux si j'osais expliquez, ma pensée
SOAIMIMAI.	SOAIMIMAI.
Acheuez, pourſuiuez la parole auancée.	Achevez, poursuivez la parole avancée.
SVLTANE.	SULTANE.
Non non, ie ne veux pas vous annoncer des maux Sur des ſuiets de peur qui poßible ſont faux Quoy qu’ils me ſemblent vrais auec trop d’apparence.	Non non, Seigneur ne veux pas vous annoncer des maux Sur des sujets de peur qui pouvible sont faux Qu 'ils me semblent vrais sans trop d'apparence.
RVSTAN.	RUSTAN.
Vous pouuez doncles dire auec plus d’aſſeurance Et voſtre Maieſté ne les doit plus celer En ſi iuſte ſuiet de craindre & de parler.	Vous pouvez doncles dire avec plus d'assurance Et votre Majesté ne les doit plus celer En si juste sujet de craindre et de parler.
SVLTANE.	SULTANE.
C’eſt donc de mon amour l’extreſme violence Qui me force ô Seigneur, à rompre le ſilence, Etc'eſt en ſa faueur qu’il faut me pardonner Le faſcheux entretien que ie vous vay donner.	C'est donc de mon amour l'extrême violence Qui me force ô Seigneur, à rompre le silence, Etc'est en sa faveur qu'il faut me pardonner Le fâcheux entretien que je vous vais donner.
SOLIMAN.	SOLIMAN.
PurteSaſſememeuus pus quun eſtenoje ducuut Qui prouenant de vous me puiſſe eſtre importune.	PurteSassememuus pus quun étenoje ducuut Qui provenant de vous me puisse aux importune.
SVLTANE.	SULTANE.
Ie crains, Sire, & la peurdont ie ſens les glaçons S’accroiſt touſiours en moy parde nouueaux ſoupçons Ie crains diſie ógrand Roy que quelqu’un ne conſpire Etcontre voſtre vie, & contre voſtre Empire, C’eſt à quoy la douleur qui vous fait ſouspire:	Je crains, Sire, et la peurdont der sens les glaçons S'accroît toujours en moi parde nouveaux soupçons Je crains disie grand Roi que quelqu'un ne conspire Etcontre votre vie, et contre votre Empire, C'est à quoi la douleur qui vous fait soupire:
Arley nan drer jeuuthens leſtrer.	Arley nan drer jeuuthens lêtrer.
SOLIMAN.	SOLIMAN.
Mais quelcœuraſſez hautoſeroit l’entreprendre?	Mais quelcœurassez hautoserait l'entreprendre?
SVLTANE.	SULTANE.
Il faut bien l’auoirtel, poury vouloir pretendre D'ouvient que mes ſoupçons s'arreſtent malgré moy.	Il faut bien l'avoirtel, pour vouloir prétendre D'ouvient que mes soupçons s'arrêtent malgré moi.
D iij Sur vn dent le pouuoir me donne de l’effroy Et qui peut mieux que tous entreprendre ce crime En ayant moins que tous de ſuiet legitime, C’eſt voſtre propte fis de quite veux parler.	 Dij Our un dur un pouvoir me donne de l'effroi Et qui peut mieux que tous entreprendre ce crime En ayant moins que tous de sujet légitime, C'est votre propte fis de quite veux parler.
SOLIMAN.	SOLIMAN.
De qui?	De qui?
CTANE.	CTANE.
De Muſtapha.	De Mustapha.
SOLIMAN.	SOLIMAN.
Quoy?	Quoi?
SVLTANE.	SULTANE.
Pourquoy vous troubler Iuouur boguour, non non, aux Dieux ne plaiſe Puis que ma voix vous trouble il faut que ie me taiſe Nonie n'aſſeure rien, mais preſque à tout moment Les ſuiets de douter augmentent montourment.	Pourquoi vous troubler Iuouur boguour, non non, aux Dieux ne plaise Puis que ma voix vous trouble il faut que je me taise Nonie n'assure rien, mais presque à tout moment Les sujets de douter augmentent montourment.
RVSTAN.	RUSTAN.
Quand ie deurois (Seigneur) tomber en voſtre haine Ie confirme en cecy le diſcours de la Reyne.	Quand ici devrais (Signeur) tomber en votre haine Je confirme en ceci le discours de la Reine.
SOLIMAN.	SOLIMAN.
Mais quel ſoupçon du Prince, & d’ou le conceuoir?	Mais quel soupçon du Prince, et d'ou le concevoir?
SVLTANE.	SULTANE.
Ah Sire, eſtes vous donc à vous aperceuoir Qu’auec ce doux accueil, cette humeur ſi traitable Cette vertu ſublime oufainte, ou verttable Cet excez, de largeſſe ou de profuſion Dontilvſe enuers tous en toute occaſion, Et parcette valeur que tout le monde eſtime Il ſeme dans les cœurs les appas de ſon crime, Sa conduite d’ailleurs nous peut faire tuger Qu’il eſt d’intelligence auecque l’eſtranger, Ce longvoyage en Perſe, & qu'il y voulut faire Sous couleur d’espier noſtre vieil aduerſaire, Me donne à ſoupçonner que durant ſa priſon Il à dreſſe le plan de quelque trahiſon.	Ah Sire, êtes vous donc à vous apercevoir Qu'avec ce doux accueil, cette humeur si traitable Cette vertu sublime oufainte, ou vertable Cet excès, de largesse ou de profusion Dontilvse envers tous en toute occasion, Et parcette valeur que tout le monde estime Il seme dans les cœurs les appas de son crime, Sa conduite d'ailleurs nous peut faire tuger Qu'il est d'intelligence de l'étranger, Ce longvoyage en Perce, et qu'il y voulut faire Sous couleur d'épier notre vieil adversaire, Eu de son soupçonner Me donne à soupçon Il que durant sa pris de quelque trahison.
