ARG MENT DE LATRAGICOMEDIE.	ARG MENT DE LATRAGICOMEDIE.
Ferme ſe rid des flots, de l’orage & du vent, Ainſi, Nourrice, en vain tu ſemes ces paroles, Tes beaux enſeignemens ne me ſont que friuoles, C’est les Aldes preſcher que penſer m’eſmouuoir, Ie ne peux & ne veux ton conſeil receuoir, Si ie faux, ie ne ſuis à faillir la premiere:	Ferme se rid des flots, de l'orage et du vent, Ainsi, Nourrice, en vain tu semes ces paroles, Tes beaux enseignements ne me sont que frivoles, C'est les Aldes prêcher que penser m'émouvoir, Je ne peux et ne veux ton conseil recevoir, Si ie faux, ie ne suis à faillir la première:
Les Dieux qui doiuent estre aux humains la lumiere En ce vice ont bouché:	Les Dieux qui doivent être aux humains la lumière En ce vice ont bouché:
Iupin ne prend il pas, Sur l’Ide ſourcille x ſes amouremtieun, Auec ſa propre ſœur, I bien qu’amour de ſes fleſches Face dedãs ſon cœur mille & mille autres breſches Myrrha conçeut Adon de ſon pere charnel, dnetne ummconimumo juneſce ortittiet Força ſa belle ſœur, Biblis aima ſon frere.	Jupin ne prend il pas, Sur l'Ide sourcille x ses amouremtieun, Avec sa propre sœur, I bien qu'amour de ses flèches Face dedans son cœur mille et mille autres brèches Myrrha conçut Adon de son père charnel, dnetne umémconimumo junesce ortittiet Força sa belle sœur, Biblis aima son frère.
Thomas.	Thomas.
Il eſt vray:	Il est vrai:
vn bon chien le fait bien à ſa mere, Les boudins ſont meilleurs plus le ſang est meſlé:	un bon chien le fait bien à sa mère, Les boudins sont meilleurs plus le sang est mêlé:
Par la mort bieu l’amour a bien enſorcelé Le cœur de ceſte vieille:	Par la mort bieu l'amour a bien ensorcelé Le cœur de cette vieille:
Marſilie.	Marsilie.
Ah pauure miſerable!	Ah pauvre misérable!
Ie langui ſans eſpoir, mon mal eſt incurable, Tous moyens ſont coupez, la mort peut ſeulement Affranchir mon eſprit de ce cruel tourment?	Je langui sans espoir, mon mal est incurable, Tous moyens sont coupés, la mort peut seulement Affranchir mon esprit de ce cruel tourment?
Sus, ſus donc, ô chetiue, arme toy de courage, Termine auec tes ans ton amoureuſe rage:	Sus, sus donc, ô chétive, arme toi de courage, Termine avec tes ans ton amoureuse rage:
De ce fer impetueux outre perce ton flanc, El noe ton amour aux ooulons de ton jang.	De ce fer impétueux outre perce ton flanc, Él noe ton amour aux ooulons de ton jang.
Nourrice.	Nourrice.
Thomas, ſecondez moy, elle ſe veut deffaire, Oſtez-luy ce poignard,	Thomas, secondez moi, elle se veut défaire, Ostez-lui ce poignard,
Thomas.	Thomas.
Quoy, que voulez-vous faire, Vous laſſeZ vous porter de vos ans le fardeau?	Quoi, que voulez-vous faire, Vous lasseZ -vous porter de vos ans le fardeau?
Madame, nous ſerons außi aiſe au tombeau Dans vingt-ans qu’à preſent, faiſans des patenotres:	Madame, nous serons aussi aise au tombeau Dans vingt-ans qu'à présent, faisant des patenôtres:
Des morceaux alterez de vos os & des noſtres.	Des morceaux altérez de vos os et des nôtres.
Nourrice.	Nourrice.
Viuez, viuez, Madame, il faut mon pauure cœur, Eſſayer les moyens de vaincre ce vainqueur, L’amour facilement s’empraint en la ieuneſſe.	Vivez, vivez, Madame, il faut mon pauvre cœur, Essayer les moyens de vaincre ce vainqueur, L'amour facilement s'empraint en la jeunesse.
Mlainnea Mais difficillement on ayme la vieilleſſe.	Mlaina Mais difficillement on aime la vieillesse.
Nourrice.	Nourrice.
Vous n’eſles pas ſi vieille, & ces cheueux encor Qui flottoyent precieux en riches ondes d’or, Ont aſſez de filets pour enrether ſon ame.	Vous n'est pas si vieille, et ces cheveux encor Qui flottaient précieux en riches ondes d'or, Ont assez de filets pour enrether son âme.
Marfilie.	Marfilie.
Helas par quel moyen?	Hélas par quel moyen?
Nourrice.	Nourrice.
Ie vous diray, Madame, Feignez eſtre malade, & luy vous allant voir, Par vos blandiſſemens taſchez de l’eſmouuoir, Et d’vne foible voix ſouuent interrompuë Contez luy en pleurant la douleur qui vous tuë.	Je vous dirai, Madame, Feignez être malade, et Seigneur vous allant voir, Par vos blandissements tâchez de l'émouvoir, Et d'une faible voix souvent interrompue Contez ) en pleurant la douleur qui vous tue.
Marfilie.	Marfilie.
Allons donc ce conſeil taſcher d’executer.	Allons donc ce conseil tâcher d'exécuter.
Thomas.	Thomas.
Ceste vieille Megere entend bien ſon ſister.	Cette vieille Mégère entend bien son sister.
ACTE II.	ACTE II.
LE MEDECIN.	LE MÉDECIN.
NOrtels, ſi quelque fois la main appeſantie DS De noſtre vnique Dieu rudement nous chastie, Et ſi contre le iuſte il flambe de courroux, Et qu’enuers le meſchant il ſoit placable & doux, S’il est contraire à l’vn, & à l’autre proſpere, Il n’en faut murmurer:	NOrtels, si quelque fois la main appesantie DÉES De notre unique Dieu rudement nous châtie, Et si contre le juste il flambe de courroux, Et qu'envers le méchant il soit placable et doux, S'il est contraire à l'un, et à l'autre prospérer, Il n'en faut murmurer:
Dieu eſt vn ſage pere, Qui pardonne à l’instant, & qui veut redreſſer Son enfant außi tost qu’il le voit offencer, O abyſme d’amour, euripe de prudence, Si iamais noſtre ayeul per tranſgrez de deffence N’euſt peché contre vous, nous ne ſentirions pas Nostre vie eſpineuſe en l’horreur du treſpas.	Dieu est un sage père, Qui pardonne à l'instant, et qui veut redresser Son enfant aussi tôt qu'il le voit offenser, Ô abîme d'amour, euripe de prudence, Si jamais été aïeul per transgrés dé sensé N'eût péché contre vous, nous ne sentirions pas Notre vie épineuse en l'horreur du trépas.
22 Sans peine, ſans ſoucy, ſans trauail & ſans guerre Comme dieux immortels, nous ſerions ſur la terre:	22 Sans peine, sans souci, sans travail et sans guerre Comme dieux immortels, nous serions sur la terre:
O femme porte-mal!	Ô femme porte-mal!
ô fruit contagieax!	ô fruit contagieax!
O homme peu diſcrer :	Ô homme peu discrer :
jerpent manereua.	jerpent manereua.
Que vous auez ourdi de malheurs en nos vies, Sans vous vn grand amas d’estranges maladies, N’iroient dés le berceau nos corps affoibliſſant, Mais ſi noſtre peché Dieu alloit balençaut E 1 3	Que vous avez ourdi de malheurs en nos vies, Sans vous un grand amas d'étranges maladies, N'iraient dès le berceau nos corps affaiblissant, Mais si notre péché Dieu allait balençaut E 1 3
Au pois de ſa iuſtice, il n’auroit debonnaire Donné à chaſque mal ſon propre alexitaire, Mais luy qui ne reſſemble vn tyran offencé, Ains vn pere benin, n’est touſiours courroucé Contre luy, ains ſelon le mal qui le poſſede Il luy laiſſe prouide vn ſalubre remede, Pour ce ſubiect auſsi il luy fit inuenter L’art que fit Acſculape en Raguze vanter, Adorer ſes deux fils en la guerre Troyenne Des Dolopes ſoldats, & d’odeur Fabienne Embaſmer les autels à leur nom conſacrez:	Au pois de sa justice, il n'aurait débonnaire Donné à chasque mal son propre alexitaire, Mais Ah qui ne ressemble un tyran offensé, Ains un père bénin, n'est toujours courroucé Contre lui, ains selon le mal qui le possède Il lui laisse provide un salubre remède, Pour ce sujet aussi il lui fit inventer L'art que fit Acsculape en Raguze vanter, Adorer ses deux fils en la guerre Troyenne Dés Oloppes soldats, et d'odeur Fabienne Embasmer les autels à leur nom consacrez:
Art vrayement tout diuin, dont les rares ſecrets De Charon nautomnier trompe ſouuent l’attente, Reioignant à l’Eſprit la chair ià mi relante.	Art vraiment tout divin, dont les rares secrets De Charon nautomnier trompe souvent l'attente, Rioignant à l'Esprit la chair à mi relante.
Bel art ſans qui nos corps de leur freſle berceau Paſſeroyent en la biere & du ventre ou tombeau, Mais ie m’en voy ſçauoir dans ceſte garderobe Le mal qui l’embon-point de Madame deſrobe.	Bel art sans qui nos corps de leur frêle berceau Passeraient en la bête et du ventre ou tombeau, Mais ainsi m'en vois sçauoir dans cette garderobe Le mal qui l'embon-point de Madame dérobe.
Madame, en quelle par ſentez vous voſire mal, El idlea pout, oqiigrinega.	Madame, en quelle par sentez vous vosire mal, Él idlea pout, ouqiigrinega.
Ce poulmon va batant, ceſte rate ſquirreuſe m’indique aſſeurément qu’vne humeur bilieuſe Fait ces fiebureux accez.	Ce poulémon va bâtant, cette rate squirreuse m'indique assurément qu'une humeur bilieuse Fait ces fièbureux accès.
Nourrice.	Nourrice.
Ce ſçauant medecin Pour cognoiſtre ſon mal n’eſt encor aſſez fin, Il la taſte par tout d’vne main trop hardie Sans remarquer le lieu où giſt la maladie.	Ce pavant médecin Pour connaître son mal n'est encor assez fin, Il la tâte par tout d'une main trop hardie Sans remarquer le lieu où gît la maladie.
Thomas.	Thomas.
Si Fabrice vouloit d’vn clyſtere amoureux, Il chaſſeroit bien toſt ſon ennuy langoureux.	Si Fabrice voulait d'amour clystère amoureux, Il chasserait bien tôt son ennui langoureux.
Medecin.	Médecin.
Or donc pour releuer voſtre force abbatuë (Madame) & recouurer voſtre ſanté perduë, Il faut prendre courage, & ne vous laiſſer pas Vaincre à la maladie:	Or donc pour relever votre force abattue (Madame) et recouvrer votre santé perdue, Il faut prendre courage, et ne vous laisser pas Vaincre à la maladie:
approche donc, Thomas, Donne moy du papier, de l’encre & vne plume.	approche donc, Thomas, Donne -moi du papier, de l'encre et une plume.
Marfilie.	Marfilie.
ce ueetens no stolepus te nnu que me cenfame, Ah Amour!	ce ueetens nô stolepus te nu que me cenfâme, Ah Amour!
tu en es le principe & la fin, Fabrice l’homi cide eſt le ſeul medecin.	tu en es le principe et la fin, Fabrice l'homi de est le seul médecin.
Medecin.	Médecin.
Vous prendrez tout premier ce petit apozeme, Puis deſſus voſtre cœur ſera cet epitheme, VſeZ de ce iulep alternatiuement, Ces ſirops eſteindront voſtre feu vehement, Et ces ſachets où ſont pluſieurs herbes hachées Diſcuteront les vents qui cauſent vos trenchées.	Vous prendrez tout premier ce petit approzeme, Puis dessus votre cœur sera cet épithème, Ais de ce julep lternativement, Ces sirops éteindront votre feu véhément, Et ces sachets où sont plusieurs herbes hachées Discuteront les vents qui causent vos trenchées.
Thomas.	Thomas.
Ouy, & ſi tout cela ne vous peut profiter, Vous prendreZ des naueaux pour vous faire peter.	Oui, et si tout cela ne vous peut profiter, Vous prendrez des naveaux pour vous faire peter.
Que ſeruent ces fatras?	Que servent ces fatras?
moy quand ie ſuis malade Ie veux boire d’autant, rire, faire gambades, S’il aduient quelquefois que ie ſois conſtipé, Ie ne veux laxatif que ce beau recipé, Recipé des iambons, panis blanc comme yuoire, Biij Et vini optimi quod ſufficit pour boire Per quatuor dies ſine cuſtodia Le dos circa ignem, & gaſter in menſa.	moi quand tu suis malade Je veux boire d'autant, rire, faire gambades, S'il advient quelquefois que ie Sois constipé, Je ne veux laxatif que ce beau recipé, Recipé des jambons, pans blanc comme yvoire, Bij à vini optimi quod sufficit pour boire Per quatuor dies sine custatia Le dos circa igné, et gâter in mensa.
Aemonue vourejpigejuote pardray la vie, Si dans ces quatre iours il ne creue ou ne chie.	Aémonue vourejpiguote pardrai la vie, Si dans ces quatre jours il ne crève ou ne chie.
Fabrice.	Fabrice.
Quel plaiſir de chaſſer dans l'eſpeſſeur des bois Vn lieure penueux & le mettre aux abois.	Quel plaisir de chasser dans l'épesseur des bois Un lièvre penueux et le mettre aux abois.
Ou d'vn cor embouſché & de voix rechauſſee Mettre les chiens au fray d’vne biche chaſſee, Ou bien vn roide eſpieu brandir contre vn ſanglier Qui acculé ſe rid de la voix d’vn limier, Qu’il fait bon voir vn cerf à la teſte rameuſe, Relancé pluſieurs fois de la meutte eſcumeuſe Pleurer honteuſement, & recreu & laßé Se venir rendre aux mains de ceux qui l’ont chaßé, Quel plaiſir c’eſt de voir la iambe ſouple & molle D'vn folaſtre cheureil ſurpriſe en la bricolle?	Ou d'un cor embouché et de voix rechaussée Mettre les chiens au fraye d'une biche chassée, Ou bien un roide épieu brandir contre un sanglier Qui acculé se rid de la voix d'un limier, Qu'il fait bon voir un cerf à la tête rameuse, Relancé plusieurs fois de la meutte écumeuse Pleurer honteusement, et recrè et lassé Se venir rendre aux mains de ceux qui l'ont chassé, Quel plaisir c'est de voir la jambe souple et molle D' folâtre cheureil surprise en la bricole?
Quel plaiſir de puiſer d’vn gaZoüillard ruiſſeau Dans le creux de la main le chriſtal de ſon eau Pour eſtancher ſa ſoif, puis mollement s’eſtendre Sur l’eſmaillé fleurtis d’vne herbelette tendre, Pour ſe refociller, pendant que les pauots, D'vn ſommeil ag greable engourdiſſent les os.	Quel plaisir de puiser d'vn gaZoüillard ruisseau Dans le ciel de la main le christal de son eau Pour étancher sa soif, puis mollement s'étendre Sur l'émaillé fleurtis d'une herbelette tendre, Pour se refociller, pendant que les pauls, D'un sommeil a gréable engourdissent les os.
Ainſi de nos humeurs les qualitez contraires Qui vous ſymboliſant aux corps elementeres, Entretiennent touſiours de leur temperament Le naturel ſymbole vn nerueux tremblement, Vn phtiſique poulmon, vne rate hydropique, Vn cerueau caterreux, vn foye verolique, De gouttes, de douleurs, & de ſouſpirs cuiſans, N’abrege à cestuy-cy la courſe de ſes ans, Ains athlete penible atterre en ceste lice, Les maux, l’oiſiueté, la tristeſſe & le vice, Mais ceux qui cazaniers au milieu des citeZ Croupißent ſous le ioug des molles voluptez, Qui de mets ſuperflus leurs estomachs rempliſſent, Qui d’vn morne repos leurs membres aſſupißsent, Qui laißent eneruez roüiller leur liberté Au giron impudic d’vne folle beauté, Qui ſont touſiours pendus au col d’vne maistreße, A baiz otter ſes yeux, à frizotter ſa treße, A l’appeller ſon cœur, ſon ame, ſon deſir, Entre tous les plaiſirs ils n’ont point de plaiſir, Pour vne dragme d’heur que quelque fois ils ſentent Mille liures de mal à tous coups ils reſſentent miuis quoy, en et uifeuursie me perds hep iung temps, I’oublie d’aller voir Madame que i’entens Souſpirer dans ſon lict:	Ainsi de nos humeurs les qualité contraires Qui vous symbolisant aux corps elementeres, Entretiennent tousiours de leur tempérament Le naturel symbole nerveux tremblement, phtisique poulmon, rate hydropique, cerveau caterreux, foie verolique, De gouttes, de douleurs, et de souspirs cuisans, abrege cestuy-cy la course de ses ans, Ains athlète pénible atterre en ceste lice, Les maux, oisiueté, la tristesse et le vice, Mais ceux qui cazaniers au milieu des citeZ Croupissent sous le ioug des molles volupté, Qui de mets superflus leurs estomachs remplissent, Qui morne repos leurs membres assupisssent, Qui laissent énervez roüiller leur liberté Au giron impudic folle beauté, Qui sont tousiours pendus au col maistresse, A baiz otter ses yeux, frizotter sa tresse, A appeller son cœur, son âme, Ain si, De nos les humeurs les qontpoint de plaisir, Pour n traire heur que quelque vous ils sententMille liures de mal a tous coups ils ressentent rés quoi, Entre et uifeuursie mejours de leur temps, Loublie naller voirMadame que nentens Souspirer dansson lict,
Quelle douleur (Madame) Affligeant voſire corps paßionne voſtre ame.	Quelle douleur (Madame) Affligeant vosire corps passionne votre âme.
Marfilie.	Marfilie.
Fabrice, ie ne peux mon mal vous deceler.	Fabrice, Seigneur ne peux mon mal vous déceler.
Pabrice.	Pabrice.
Le mal ne ſe guarit par le dißimuler.	Le mal ne se garit par le dissimuler.
Marfilie.	Marfilie.
Souuent en le diſant on le peut bien accroiſtre.	Souvent en le disant on le peut bien accroître.
Biiij	Bijjà
Fabrice.	Fabrice.
Le diſant de bonne heure on l’empeſche de croiſtre:	Le disant de bonne heure on l'empêche de croître:
Marfilie.	Marfilie.
L’ennuy qui eſt caché cauſe moins de tourment,	L'ennui qui est caché cause moins de tourment,
PaDIICer Le feu qui eſt couuert deuient plus vehęment,	PaDICer Le feu qui est couvert devient plus vehęment,
NaIIIIIC.	NaIIIIC.
Quel bien reſultera de ma triſteſſe ſçeüe?	Quel bien résultera de ma tristesse Sue?
Fabrice.	Fabrice.
Autant comme de mal elle cauſe eſtant teuë?	Autant comme de mal elle cause étant tue?
Marfilie.	Marfilie.
An tann on tit iu mut que t'onne peut guerir,	An tann on tit ju mut que t'onne peut guérir,
Fabrice.	Fabrice.
On peut remeaier a tont fors qu'au mourir.	On peut remayer a tont fors qu'au mourir.
Marfilie.	Marfilie.
Le mourir eſt trop peu au prix de mon malaiſe.	Le mourir est trop peu au prix de mon malaise.
Fabrice.	Fabrice.
Ie vous pry par ces yeux que chaslement ie baiſe, Pur ce jront te rempur de ia puaieite, Par ce ſoucy cambré dont le double arc voûté Deſcoche contre Amour ſes fleches acerees Dites moy vostre mal,	Je vous pri par ces yeux que châlement a paise, Pur ce jront te rempur de ja puaiéite, Par ce souci cambré dont le double arc voûté Décoche contre Amour ses flèches agrées Dites moi votre mal,
à part ſoy Marfilie.	à part soi Marfilie.
Ces paroles ſucrees Panchent tout au rebours de mon intention:	Ces paroles sucrées Penchent tout au rebours de mon intention:
Fabrice excuſez moy, le trop de paſſion De parolles me priue, & ie ne peulx qu’à peine De mon cœur aſfoibtt rettrer mon naleme:	Fabrice excusez -moi, le trop de passion De paroles me prive, et personne ne peulx qu'à peine De mon cœur asfoibt retentrer mon naleme:
Ie vous prie, mon fils, par vos creſpes cheueux, Par vos yeux où d’amour eſtincellent les ſeux, Par ce front l’arcenac des graces immortelles, Par le ruban vermeil de ſes leures iumelles:	Je vous prie, mon fils, par vos crêpes cheveux, Par vos yeux où d'amour étincellent les seux, Par ce front l'arcenac des grâces immortelles, Par le ruban vermeil de ses leur jumelles:
Par voſtre bouche encor qui deſcouure en riant Vn double rang ſemé de perles d’Orient.	Par votre bouche encor qui découvre en riant Un double rang semé de perles d'Orient.
Si iamais la pitié prit en vous ſa demeure, Faites que maintenant par voſtre main ie meure, Quoy vous faites le ſourd, hé que tardez vous taut?	Si jamais la pitié prit en vous sa demeure, Faites que maintenant par votre main ie meure, Quoi vous faites le sourd, hé que tardez vous taut?
Tirez donc voſtre eſpee, & percez à l’inſtant Ce debile eſtomach d’vne amante peu ſage Qui au poiſon d’Amour à declos le paſſage.	Tirez donc votre espée, et percez à l'instant Ce débile estomacée d'une amante peu sage Qui au poison d'Amour à déclos le passage.
Fabrice.	Fabrice.
Quel prodigue eſt cecy?	Quel prodigue est -cy?
quel ſinistre meſchef Quel eſclandre futur menace noſtre chef, O Dieu que dites-vous!	quel sinistre mèches Quel esclandre futur menace notre chef, Ô Dieu que dites-vous!
que dites-vous ma mere, Auez vous autrement que l’amour de mon pere?	que dites-vous ma mère, Avez -vous autrement que l'amour de mon père?
Anctepcer amtle jen qui tand ouconfumant?	Ancteper amle jen qui tand ouconfumant?
Quel eſt ce traiſtre là que vous allez aymant?	Quel est ce traître là que vous allez aimant?
Ie le veux enuoyer aux ondes ſtigialles Courtizer à loiſir les ames infernalles.	Je le veux envoyer aux ondes stigialles Courtiser à loisir les âmes infernalles.
Marfilie.	Marfilie.
Las!	Las!
Fabrice, c’eſt vous, c’eſt vous dont la beauté Eſclaue ma raiſon auec ma liberté, Ie ſçay qu’en vous ayant ie ſeme ſur l’areine, Que ie cuide arreſter des vents eſmeus l’haleine, Que ie parle aux rochers & greue ſur la mer Mais puis que voſtre cœur ie ne puis enflammer, Il faut que ce pouuoir mettant fin à ma vie, Mette fin aux malheurs dont mon ame est ſuiuie.	Fabrice, c'est vous, c'est vous dont la beauté Esclave ma raison avec ma liberté, Je sais qu'en vous ayant tu seme sur l'areine, Que ie cuide arrêter des vents émus l'haleine, Ave ie parle aux rochers et grève sur la mer Mais puis que votre cœur ie ne puis enflammer, Il faut que ce pouvoir mettant fin à ma vie, Mette fin aux malheurs dont mon âme est suivie.
Fabrice.	Fabrice.
Tou beau que faites vous, Madame, il ne faut pas De vous meſme aduancer cet infame treſpas.	Tou beau que faites -vous, Madame, il ne faut pas De vous même avancer cet infâme trépas.
à luy ſeul.	à notre seul.
O Dieu ie ſuis confus!	Ô Dieu Dieu suis confus!
doy-ie en ceſte occurrence Repaiſtre ſon eſprit d’vne vaine eſperance, Ou la laiſſer ainſi ſans eſpoir affoler:	dois-je en cette occurrence Repaistre son esprit d'une vaine espérance, Ou la laisser ainsi sans espoir affoler:
Non il faut à preſent vn peu dißimuler:	Non il faut à présent un peu diamuler:
Madame, egayez vous, ſus rappelez vos forces Le vainqueur est vaincu, & vos douces amorces Font fleſchir mes eſprits ſoubs l’amoureuſe loy, Ie ſuis or plus à vous que vous n’eſtes à moy, Il ne reſte ſinon que trouuer l’heure propre A l’execution:	Madame, égayez -vous, sus rappelez vos forces Le vainqueur est vaincu, et vos douces amorces Font fléchir mes esprits sous l'amoureuse loi, Je suis or plus à vous que vous n'êtes à moi, Il ne reste sinon que trouver l'heure propre A l'exécution:
cependant ie vous offre, Cet amoureux baiſer pour arreſt du plaiſir, Que ie deſire prendre auec vous à loiſir.	cependant ie nous offre, Cet amoureux baiser pour arrêt du plaisir, Que ie désire prendre auec vous à loisir.
Marfilie.	Marfilie.
Quelque ſonge incertain du ſommeilleux Morphee Ma peu caute raiſon auroit il bien trompee?	Quelque songe incertain du sommeilleux Morphe Ma peu caute raison aurait -il bien trompe?
Comme le criminel qu’vne tremblante peur Hebete les eſprits & congele le cœur, En viuant ne vit point tant que la vie il traine Pendante au fit fatal d'vne ſentence humaine, Mais ſi tost le pauuret ne ſe void par le ſort D'vn arreſt abſolu deliuré de la mort, Qua lors d’aize raui ſes chaines il ſecouë, Ses menottes il rompt, ſes cordes il deſnoüe, Et de tous ſes ſoucis de luy reste ſinon Qu'vn ſoucy de fuir la relante priſon.	Comme le criminel qu'une tremblante peur Hebeté les esprits et congé le cœur, En vivant ne vit point tant que la vie il traine Pendante au fit fatal d'une sentence humaine, Mais si tôt le pauvret ne se voit par le sort D'un arrêt absolu délivré de la mort, Qua lors d'aize raui ses chaines il secoue, Ses menottes il rompt, ses cordes il dénue, Et de tous ses soucis de lui reste sinon Qu'un soucis de fuir la relante prison.
Ainſi Fabrice, autant que ta bouche ſucrée, Eust prononcé l’arrest qui ores me recrée, I’estoy ſans ſentiment, vne craintiue peur Les membres me glaçoit d’vne froide ſtupeur:	Ainsi Fabrice, autant que ta bouche sucrée, Eut prononcé l'arrêt qui ores me recrée, J'étais sans sentiment, une craintive peur Les membres me glaçait d'une froide stupeur:
Mais ſi toſt que tes yeux d’vn œillade amoureuſe Ont animé mon cœur, ma peine langoureuſe S’eſt du tout eclypſee:	Mais si tôt que tes yeux d'une œillade amoureuse Ont animé mon cœur, ma peine langoureuse S'est du tout éclipsée:
& l’ombre de mon dueil S’eſt diſparu aux rais de leur double ſoleil, Comme on void au matin l’aurore auant-courriere, Baloyant de ſes rais la celeste verriere, Dißiper les nuaux qui s’eſtoient amaſſez:	et l'ombre de mon deuil S'est disparu aux rais de leur double soleil, Comme on void au matin l'aurore avant-courrière, Baloyant de ses rais la céleste verrière, Dissiper les nuaux qui s'étaient amassez:
La nuict lors que Phœbus ſes cheuaux haraſſez, Plonge dans l’Ocean, cependant qu’il alente Au ſein de ſa Thetis, ſon ardeur violente.	La nuit lors que Phœbus ses chevaux harassez, Plonge dans l'Océan, cependant qu'il alente Au sein de sa Thétis, son ardeur violente.
Fabrice.	Fabrice.
Voicy venir mon pere, arreſlez ces propos.	Voici venir mon père, arrêlez ces propos.
Marfilie.	Marfilie.
Pour quelque affaire vrgent il s’abſente à propos.	Pour quelque affaire vrgent il s'absente à propos.
Le Pere.	Le Père.
L’ame de mon amour & l’amour de mon ame:	L'âme de mon amour et l'amour de mon âme:
Comment vous porteZ vous:	Comment vous portez -vous:
ceste fiebureuſe flame Qui nagueres troubloit l’ordre de vos humeurs, Est elle mitigee?	cette fiebureuse flamme Qui naguères troublait l'ordre de vos humeurs, Est elle mitige?
Marfilie.	Marfilie.
Ouy, monſieur, mes douleurs Ont perdu de beaucoup leur grande vehemence,	Oui, monsieur, mes douleurs Ont perdu de beaucoup leur grande véhémence,
Le Pere.	Le Père.
I’en reçoy grand plaiſir?	J'en reçois grand plaisir?
voſtre conualeſcence Me rendra voſtre abſence, & mon ennuy plus doux.	votre convalescence Me rendra votre absence, et mon ennui plus doux.
Marfilie.	Marfilie.
Comment donc mon amy, en quel lieu allez vous?	Comment donc mon ami, en quel lieu allez -vous?
Le Pere.	Le Père.
Maroyne ie m’en vay en noſtre metairie, Pour faire r’amender vne ſource tarie, Dont le crystal iaillit au ciel par trois tuyaux, Puis retombé en bas par trois diuers canaux, Serpentant çà & là de ſon onde tortuë Des parterres fleuris abreuue l’eſtenduë.	Maroynefois m'en vay en notre métairie, Pour faire ramender une source tarie, Dont le crystal jaillit au ciel par trois tuyaux, Puis retombé en bas par trois divers canaux, Serpentant çà et là de son onde tortue Des parterres fleuris abreuue l'étendue.
Ie ne tarderay point:	Je ne tarderai point:
dedans deux ou trois iours Ie ſeray de retour:	dedans deux ou trois jours Je serai de retour:
Adieu donc mes amours, Fabrice, du logis ayez la vigilance Et à ma femme außi prestez obeiſſance.	Adieu donc mes amours, Fabrice, du logis ayez la vigilance Et à ma femme aussi prêtez obéissance.
ACTE III.	ACTE III.
FABRICE.	FABRICE.
As!	As!
ie l’auoy bien dit, que ces villes confuſes N’eſtoient le vray ſeiour des vertus & des Muſes, Ains pluſtoſt vn ſpelonque, vn receptacle plein, De ce qui eſt de ſale, ijume & ue vttarn,	Il l'avais bien dit, que ces villes confuses N'étaient le vrai seiour des vertus et des Muses, Ains plutôt un spelonque, un réceptacle plein, De ce qui est de sale, jume et ue vttarn,
Vn retraict corrompu, où l'ire, la feintiſe, La crapule, l’orgueil, la molle paillardiſe, La gloire, l’atheiſme, auec l’ambition, Recellent l’air peſteux de leur corruption, Mais ſur tous les eſcueils, les carybdes, les ſcylles, Les gouffres, les dangers qui fermillent aux villes, La femme eſt le plus grand:	Un retrait corrompu, où l'ire, la feintise, La crapule, l’orgueil, la molle paillardise, La gloire, l'athéisme, avec l'ambition, Recellent l'air péteux de leur corruption, Mais sur tous les écueils, les caribdes, les scilles, Les gouffres, les dangers qui fermillent aux villes, La femme est le plus grand:
ô perfide animal, Deuois tu eſtre né pour faire tant de mal?	ô perfide animal, Deuais -tu être né pour faire tant de mal?
O monstre enuenimé, de tous malheurs l’extreſme, Qui n’a rien de conſtant que l’inconſtance meſme, Combien as-tu germé au monde de malheurs?	Ô montre enuenimé, de tous malheurs l'extrême, Qui n'a rien de constant que l'inconstance même, Combien as-tu germé au monde de malheurs?
De ruines de feux, de guerres & de pleurs?	De ruines de feux, de guerres et de pleurs?
Ne fut-ce donc pas toy execrable vipere, Qui fis gliſſer la mort au ſein du premier pere?	Ne fut-ce donc pas toi exécrable vipère, Qui fis glisser la mort au sein du premier père?
Combien as-tu depuis de troubles excitez?	Combien as-tu depuis de troubles excitez?
Combien as-tu deſtruit de ſuperbes citez?	Combien as-tu détruit de superbes cités?
Par toy le mur Troyen, Priam & ſes perg ames, Ont esté deuorez des Argoliques flames, De Cleopiter Anthoine à bien cher achepté Les blandices, le fard, caruze, & la beauté.	Par toi le mur Troyen, Priam et ses perg ames, Ont été dévorés des Argoliques flammes, De Cléopiter Antoine à bien cher acheté Les blandices, le fard, carvze, et la beauté.
La ſorciere Circé ſceut par ſes artifices, Transformer en pourceaux les compagnons d’Vliſſe, Comme inuincible Hercul, qui les monſtres domptoit, Et dont le bras nerueux les montaignes portoit, Fut dompté par ce monstre:	La sorcière Circé sut par ses artifices, Transformer en pourceaux les compagnons d'Unisse, Comme invincible Hercul, qui les monstres domptait, Et dont le bras nerveux les montagnes portait, Fut dompté par ce monstre:
& ſon bras heroique Retordit le fuzeau d’vne femme impudique, Ainſi le Peleen feineant abbatu, Au ſein d’vne paillarde émouſſoit ſa vertu,	et son bras héroïque Retordit le fumés d'une femme impudique, Ainsi le Peleen feineant abattu, Au sein d'une paillarde émoussait sa vertu,
Et frizant mollement les anneaux de ſatreſſe, Fletriſſoit cazanier la fleur de ſa ieuneſſe.	Et frisant mollement les anneaux de satresse, Fletrissait cazanier la fleur de sa jeunesse.
