ERIE, COMEDIE.	ERIE, COMÉDIE.
Cent piſtolles non ê aſſai ho ſcritto trente mille billets, & ho fatto par conſequent tiemte mne fijouſtſces, Ca vaut davantage, date mi deux cens Loüiſis d’or, ſaro contentò di voi & voi ſerez content de moi	Cent pistoles non êl assai hoù scritto trente mille billets, et ho fato par conséquent tiète mune fijoutsces, Ca vaut davantage, date mi deux cents Lis d'or, saroq content de moi et voi serez content de moi
SBRIGANY.	SBRIGANY.
Je te les promets, & je te les donnerai.	Je te les promets, et je te les donnerai.
DDICOIILLO.	DDICOILLO.
Ahi vi vingracio laſſiate dire il popolo voi ſiete un honneſte homme, mes remors ſont finis, je n’ai plus paour.	Ahi vi vingrâtio lassiate dire il popolo voi siète un honnête homme, mes remors sont finis, je n'ai plus payour.
SCENE VII.	SCÈNE VII.
LISETTE, SBRIGANY.	LISETTE, SBRIGANY.
FETRONIELO.	FETRONIELO.
LISETTE.	LISETTE.
Ja déja donné bien des petits lots à ) bien des gens qui s’en retournent en jurottant, Monſieur;	Ja déjà donné bien des petits lots à ) bien des gens qui s'en retournent en jurant, Monsieur;
mais voici une boëte qui vous fera juroter à vôtre tour je penſe.	mais voici une boète qui vous fera juroter à votre tour je pense.
SBRIGANY.	SBRIGANY.
Comment donc, qu’eſt-ce que c’eſt.	Comment donc, qu'est-ce que c'est.
LISETTE.	LISETTE.
Voyez ce billet.	Voyez ce billet.
Tenez je ſuis ſure que ni vôtre garçon ni vous n’avez pas eu intention d’y mettre ce qui y eſt, & je n’ai pas voulu qu’on délivrât ſans vous en CI	Tenez je suis sure que ni votre garçon ni vous n'avez pas eu intention d'y mettre ce qui y est, et je n'ai pas voulu qu'on délivrât sans vous en CY
SBRIGANY lit.	SBRIGANY lit.
Tu as bien fait.	Tu as bien fait.
Ongobelet d’or, Petronillo.	Ongobèlet d'or, Pétronillo.
PETRONILLO.	PETRONILLO.
Monſou.	Monsieur.
SBRIGANY.	SBRIGANY.
Voy donc, tu t’es mépris aparament.	Vois donc, tu t'es mépris apparament.
PETRONILLO.	PETRONILLO.
Non, Monſou, c’eſt ſta maniere dont uous fomes convenus.	Non, Monsieur, c'est sita manière dont -vous fomes convenus.
SBRIGANY.	SBRIGANY.
Ah, ah, mi ricordo.	Ah, ah, mi ricordo.
PETRONILLO.	PETRONILLO.
Tenez, Madame Liſette, D.	Tenez, Madame Lisette, D.
O.	Ô.
R.	R.
non vol pas dire d’or.	non vol pas dire d'or.
Non.	Non.
EBOETAE.	EBOETAE.
D.	D.
O.	Ô.
R.	R.
ne veut pas dire d’or.	ne veut pas dire d'or.
TETRONTLLO.	TETRONTLLO.
Non, il y a un pâté, prenez garde.	Non, il y a un pâté, prenez garde.
Hé bien.	Hé bien.
LISETTE.	LISETTE.
PETRONILLO.	PETRONILLO.
Sl la bocte en à une lemie, à un Bousgeois, à un homme de Robe, D.	Sl la bocte en à une lemie, à un Bousgeois, à un homme de Robe, D.
O.	Ô.
R.	R.
& un pâré vol dire doré, entendez-vous.	et un pâré vol dire doré, entendez-vous.
LISETTE.	LISETTE.
Oh bien, ce n’eſt ni femme, ni Bourgeois, ni homme de Robe;	Oh bien, ce n'est ni femme, ni Bourgeois, ni homme de Robe;
c’eſt un drôle qui n’entena pont de famerie, ce qui juic comme un enragé, parce qu’on le fait attendre.	c'est parce drôle qui n'entena pont de famerie, ce qui juic comme un enragé, parce qu'on le fait attendre.
SBRIGANY.	SBRIGANY.
Il fait du bruit.	Il fait du bruit.
LISETTE.	LISETTE.
Un bruit de diable.	Un bruit de diable.
Il ſçait lire, je vous en avertis, & D.	Il sais lire, je vous en avertis, et D.
O.	Ô.
R.	R.
& un pâté ne voudront pas dire doré pour cet homme-là.	et un pâté ne voudront pas dire doré pour cet homme-là.
PETRONILLO.	PETRONILLO.
C’a merite explication, nous chicannerons & on s’accommodera, laſciatefare & dimorate en repos.	C'a mérite explication, nous chicannerons et on s'accommodera, lasciatefare et dimorate en repos.
SCENE VIII.	SCÈNE VIII.
LISESTE, SBRIGANY.	LISÊTE, SBRIGANY.
LISETTE.	LISETTE.
Oſtre Petronillo eſt un hardy fripon;	Ostre Pettronillo est un hardi fripon;
mais je crains les ſuites.	mais je crains les suites.
SBRIGANY.	SBRIGANY.
Bon les ſuites, j:	Bon les suites, j:
connois mon monde.	connais mon monde.
Va ne te mets pas en peine, entre nous, Liſette, par tout ailleurs qu’en ce païs-ci je ne riſquerois pas une choſe comme celle-là;	Va ne te mets pas en peine, entre nous, Liste, par tout ailleurs qu'en ce pays-cy je ne risquerais pas une chose comme celle-là;
mais à Paris il n’y a rien à craindre, ce ſont gens glorieux pour la plûpart, qui ne ſe plaignent jamais d’eſtre dupes, pour éviter la honte de u poir tité.	mais à Paris il n'y a rien à craindre, ce sont gens glorieux pour la plupart, qui ne se plaignent jamais d'être dupes, pour éviter la honte de u poir tité.
Les moins attrapez ſe moqueront de ceux qui le ſeront davantage, & ceux qui ne l’auront point eſté du tout, me ſçauront gré d’avoir dupé les	Les moins attrapez se moqueront de ceux qui le seront davantage, et ceux qui ne l'auront point été du tout, me sauront gré d'avoir dupé les
LISETTE.	LISETTE.
Mais en effet, il y a un eſpece de merite dans ce que vous faites au moins.	Mais en effet, il y a un espèce de mérite dans ce que vous faites au moins.
Apprendre à vivre à toute une Ville.	Apprendre à vivre à toute une Ville.
Vôtre Lotterie ſera fort inſtructive pour le public, Monſieur.	Votre Lotterie sera fort instructive pour le public, Monsieur.
SBRIGANY.	SBRIGANY.
Comme je n’ay pas envie d’en faire d’auſes, il in importe peu quoi ſe gueiſſſe de la folie qu’on a euë d’y mettre.	Comme je n'ai pas envie d'en faire d'auses, il in importe peu quoi se guérissse de la folie qu'on a eue d'y mettre.
LISETTE.	LISETTE.
Oh, par ma foy, aprés celle-ci il faut tirer l’échelle.	Oh, par ma foi, après celle-cy il faut tirer l'échelle.
On y connoîtra le fonds & le tres-fonds de la bonne foi des Lotteries:	On y connaîtra le fonds et le très-fonds de la bonne foi des Lotteries:
Cc je ne crois pas que uciomnai, il ioit beſoin d’aucune Ordonnance de Police pour les deffendre.	Cc je ne crois pas que uciomnai, il jait besoin d'aucune Ordonnance de Police pour les défendre.
SBRIGANY.	SBRIGANY.
Tu prens les choſes du bon côté, tout le monde y trouvera ſon compte de cette maniere-là:	Tu prends les choses du bon côté, tout le monde y trouvera son compte de cette manière-là:
Mais qui diantre laiſſe ainſi monter ſans avertir.	Mais qui diantre laisse ainsi monter sans avertir.
Que veut cet homme.	Que veut cet homme.
SCENE IX.	SCÈNE IX.
DHOPIEN, SEROMNT, ESETIE.	DHOPIEN, SEROMNT, ESETIE.
BASTIEN.	BASTIEN.
Erviteur, Monſieur de la Lorterie;	Erviteur, Monsieur de la Lorterie;
c’eſt Mun de vos Suiſſes qui m'a dit d’entrer, & de parler a vous-même, parce que Meſſieurs vos gens ſont des inſolens, qui nacoutont parſonne, & des baragoins que parſonne n’entend.	c'est Mun de vos Suisses qui m'a dit d'entrer, et de parler à vous-même, parce que Messieurs vos gens sont des insolents, qui nacoutont parsonne, et des baragoins que parsonne n'entend.
DDRTOIITTe Qu’eſt-ce qu’il y a?	DDRTOITTTe Qu'est-ce qu'il y a?
demandez-vous quelque choſe?	demandez-vous quelque chose?
BASTIEN.	BASTIEN.
Si je demande quelque choſe;	Si je demande quelque chose;
oh dame acoûtez, c’eſt le couſin Barthellemy, le ins donn Tunte nence, qui eſt un de vos Suiſſes.	oh dame accoutez, c'est le cousin Barthellemi, le ins donn Unte nence, qui est un de vos Suisses.
Je ſommes tous deux de Courbevoye, ly a ſix mois qu’il eſt Arché du Guet, c’eſt un drole qui fera fortune.	Je sommes tous deux de Courbevoie, li a six mois qu'il est Arché du Guet, c'est un drôle qui fera fortune.
LISETTE.	LISETTE.
On n’a que faire de vôtre genealogie;	On n'a que faire de votre généalogie;
que demandez-vous encor une fois?	que demandez-vous encor une fois?
BASTIEN.	BASTIEN.
Palſangué je demande de gros lots.	Palsangué je demande de gros lots.
Tenez, j’ai opinion que je ferai fortune à cette Lotterie.	Tenez, j'ai opinion que je ferai fortune à cette Lotterie.
Les vegnes & les bleds promettont marveille dans nôtre village, & les femmes y mouront dru comme mouches.	Les vegnes et les bleds promettont marveille dans notre village, et les femmes y mouront dru comme mouches.
Je ſis veuf depuis trois ſemaines, meſt avis que je ſommes dans une année de bonneur;	Je sis veuf depuis trois semaines, mét avis que je sommes dans une année de bonneur;
ça depeichons, veia ma carte.	ça dépéichons, véia ma carte.
Jaiſix billets au moins, baillez-moi ma boëte.	Jaisix billets au moins, baillez-moi ma boëte.
SBRIGANY.	SBRIGANY.
Comment, comment vôtre boëte, numero deux mil quarante;	Comment, comment votre boète, numéro deux mil quarante;
allez, mon ami, vouslaulen votsensceede uumime pouis.	allez, mon ami, vouslaulen votsensceede uumime pouis.
BASTIEN.	BASTIEN.
De quinze jours!	De quinze jours!
LISETTE.	LISETTE.
Hé oüy, de quinze jours, vôtre tour ne viendra que dans ce temps-la, c’eſt une regle.	Hé oui, de quinze jours, votre tour ne viendra que dans ce temps-la, c'est une règle.
BASTIEN.	BASTIEN.
Oh taſtigué je me gauſſe de la regle moi.	Oh tastigué je me gausse de la règle moi.
je n’ai pas le temps de revenir, j’ai labas ma charette & deux bons chevaux.	je n'ai pas le temps de revenir, j'ai labas ma charette et deux bons chevaux.
Je vians damener du foin, vous ne voudriais pas que je m’en retourniſſe a vuide.	Je viants damener du foin, vous ne voudriais pas que je m'en retournisse a vide.
Hé morgué ne me faites point languir, baillez-moi ma boëte, je vous baillerai le plaiſir de la tirer devant vous.	Hé morgué ne me faites point languir, baillez-moi ma boète, je vous baillerai le plaisir de la tirer devant vous.
SRRIGGNY.	SRRIGNY.
Mais cela troublera l’ordre que je me ſuis Piopole.	Mais cela troublera l'ordre que je me suis Piopole.
LISETTE.	LISETTE.
Que vous importe, expediez ce pauvre diable, Monſieur, puiſqu’il a amené ſa charette.	Que vous importe, expédiez ce pauvre diable, Monsieur, puisqu'il a amené sa charette.
BASTIEN.	BASTIEN.
lic ouv paigue, Cent ca, jemporterai dedans ce que je gagnerai.	lic ouv paigue, Cent ca, jemporterai dedans ce que je gagnerai.
LISETTE.	LISETTE.
Ce ſera autant de fait, & il ne vous en coûtera pas davantage.	Ce sera autant de fait, et il ne vous en coûtera pas davantage.
BASTIEN.	BASTIEN.
Alle a raiſon.	Alle a raison.
SBRIGANY.	SBRIGANY.
Qu’il me donne donc ſa carte, je vais chercher la boëte.	Qu'il me donne donc sa carte, je vais chercher la boite.
SCENE R.	SCÈNE R.
LISETTE, BASTIEN.	LISETTE, BASTIEN.
BASTIEN.	BASTIEN.
H palſangué tenez;	H palsangué tenez;
qua ça ne tienne.	qua ça ne tienne.
Morgué vous êtes une bonne paſte de creature.	Morgué vous êtes une bonne pâte de créature.
Si j’avois une minagere comme vous vous, je ſerois bien-aiſe d’en avoir de la race.	Si j'avais une minagere comme vous vous, je serais bienaise d'en avoir de la race.
Allez, ſi je gagne ici quelque choſe de bon ne vous bouttez pas en peine.	Allez, si je gagne ici quelque chose de bon ne vous bouttez pas en peine.
Mais.	Mais.
voyez-vous, je n’aimerois pas à tirer blanque.	voyez-vous, je n'aimerais pas à tirer blanque.
LISETTE.	LISETTE.
oua pomenbome Raquu yaque des billets noirs.	oua pomenbome Raquu yaque des billets noirs.
BASTIEN.	BASTIEN.
C’a eſt vrai.	C'a est vrai.
Que des billets noirs dans certe Lotterie, ęa eſt admirable dans cette maniere-la, plus on y boutte, plus on SS10	Que des billets noirs dans certe Lotterie, est admirable dans cette maniere-la, plus on y boutte, plus on SS10
LISETTE.	LISETTE.
Aſſurément.	Assurément.
BASTIEN.	BASTIEN.
mais votre Monſeur ni ſonge pas de ſe ruiner comme ca, que des billets noirs!	mais votre Monsieur ni songe pas de se ruiner comme ca, que des billets noirs!
Faut qu’il ait bonne bourſe ſthomme-là	Faut qu'il ait bonne bourse sthomme-là
LISETTE.	LISETTE.
Il fait cela pour ſon plaiſir, quand il lef en coûteroit un millier de piſtolles.	Il fait cela pour son plaisir, quand il lef en coûterait un millier de pistoles.
BASTIEN.	BASTIEN.
C’eſt bien dit, il rattrapera ça d’un autre côté, faut bien amorcer les gens de Paris avec quelque choſe, ça ly revanta, nan dit qua cette foire, il leur vend des babioles ae des mirlifiches qu’ils achetons comme de bonne marchandiſe.	C'est bien dit, il rattrapera ça d'un autre côté, faut bien amorcer les gens de Paris avec quelque chose, ça li revanta, nan dit qua cette foire, il leur vend des babioles ae des mirlifiches qu'ils achetons comme de bonne marchandise.
Il en ſçait bien lon 2 & ils n’en ſçavont guere eu.	Il en sait bien lon 2 et ils n'en savont guère eu.
Je nous gobergeons d’eux quand je les tenons au village.	Je nous gobergeais d'eux quand je les tenons au village.
SCENE XI.	SCÈNE XI.
SBRIGANT, LISETTE, BASTIEN.	SBRIGANT, LISETTE, BASTIEN.
SBRIGANY.	SBRIGANY.
TOila vôtre boëte, il a fallu la chercher  parmi plus de huit mille.	TOila votre boète, il a fallu la chercher parmi plus de huit mille.
Vous êtes bien-heureux.	Vous êtes bienheureux.
BASTIEN.	BASTIEN.
Il eſt pargué vrai, je ſis en chance:	Il est pargué vrai, je sis en chance:
je vous demande bien pardon de la peine, eſtce que vous ne ſeriais pas bien-aiſe que à Liſette.	je vous demande bien pardon de la peine, estce que vous ne sériais pas bienaise que à Lisette.
’eus queuque choſe.	eus queuque chose.
C’a aidez-moi;	C'a aidez-moi;
voyons ſi vous avez la patte heureuſe.	voyons si vous avez la patte heureuse.
m la d i l Lo Non, non, voyez vous-même;	m la doù la Lo Non, non, voyez vous-même;
j’aurai auez de peine mor d’aſler chercher ce qu’il vous ſaudra.	j'aurai avez de peine mór d'âler chercher ce qu'il vous saudra.
BASTIEN.	BASTIEN.
Je vous as cai bien de l’obligation.	Je vous as cai bien de l'obligation.
SBRIGANY.	SBRIGANY.
Dépêchez-vous donc, nous avons des affaires.	Dépêchez-vous donc, nous avons des affaires.
BASTIEN.	BASTIEN.
Tout à l’heure:	Tout à l'heure:
Baillez-vous patience.	Baillez-vous patience.
Il baiſe ſa boëte, il l’ouvre, & en tire un billet, ſur lequel il ſouffle.	Il baise sa boète, il l'ouvre, et en tire un billet, sur lequel il souffle.
SBRIGANY.	SBRIGANY.
Oh il eſt noir, je vous en réponds.	Oh il est noir, je vous en répond.
BASTIEN.	BASTIEN.
Oh je le ſçai bien, il n’y a point de tricherie.	Oh je le sais bien, il n'y a point de tricherie.
Vela un P.	Vela un P.
Monſieur, bon.	Monsieur, bon.
Petit lot, une paire de Pabouches:	Petit lot, une paire de Pabouches:
je ne connois point ça;	je ne connais point ça;
qu’eſt-ce que c’eſt des Pabouches, ſeroit ce queuque choſe de rare.	qu'est-ce que c'est des Pabouches, serait ce queuque chose de rare.
LISETTE apporte des Pabouches.	LISETTE apporte des Pabouches.
Tenez veut de mocene	Tenez veut de moène
BASTIEN.	BASTIEN.
Comment morgué ſont des pantouſles.	Comment morgué sont des pantousles.
SDRIGANT.	SDRIGANT.
Des pantoufles, quel ignorant, ce ſont des pabouches vous dit-on.	Des pantoufles, quel ignorant, ce sont des pabouches -vous dit-on.
BASTIEN.	BASTIEN.
Vautoemimurne levois, ce ſont des ſouliers ſans oreilles.	Vautolesimurne levais, ce sont des souliers sans oreilles.
Queu ſemelles, j'aime morgné mieux une paire de ſabots que ca, Monſieur de la Lotterie.	Queu semelles, j'aime morgné mieux une paire de sabots que ca, Monsieur de la Lotterie.
SBRIGANY.	SBRIGANY.
Hé bien on vous les troquera, ce n’eſt pas unçaffaire.	Hé bien on vous les troquera, ce n'est pas unçaffaire.
il uumet teus ſes lots iiu, dans ſa beſace à meſure qu’on les apporte.	il uumet temps ses lots iiu, dans sa besace à mesure qu'on les apporte.
C i	Ç y
BASTIEN.	BASTIEN.
Des Pabouches.	Des Pabouches.
Petit lot, une ſouriciere.	Petit lot, une souricière.
Hé palſangué jon des chats cheu nous, que voulez-vous que je faſſions d’une ſouriciere 1	Hé palsangué jon des chats cheu nous, que voulez-vous que je fassions d'une souricière 1
SBRIGANY.	SBRIGANY.
Vous en ferez ce que vous voudrez, vous êres le maître.	Vous en ferez ce que vous voudrez, vous êtres le maître.
Dholla Ne Me vela bian chanceux.	Dholla Ne Me vêla bian chanceux.
LISETTE.	LISETTE.
Allons, depêchons, n'oubliez rien;	Allons, dépêchons, n'oubliez rien;
voila vôtre ſouriciere.	voilà votre souricière.
BASTIEN oumeun 3.	BASTIEN oumeun 3.
billet.	billet.
Petit lot:	Petit lot:
Encor un petir lot, Monſieur ée la Lotterie.	Encor un petir lot, Monsieur é la Lotterie.
SDRIGANT.	SDRIGANT.
C'eſt le haſard qui fait cela, mon enfant, je n’y puis que faire.	C'est le hasard qui fait cela, mon enfant, je n'y puis que faire.
BASTIEN.	BASTIEN.
Un paquet de curedens.	Un paquet de curedents.
Mais ventregué c’eſt folie que de me bailler ça.	Mais ventregué c'est folie que de me bailler çà.
Je ne les cure jamais.	Je ne les cure jamais.
LASETTE.	LASETTE.
Tan pis vraîment, vous êtes un mal propre, corrigez-vous de cela.	Tan pis vraîment, vous êtes un mal propre, corrigez-vous de cela.
Ne les perdez pas au moins, & faites-en, un bon ulage.	Ne les perdez pas au moins, et faites-en, un bon ulage.
BASTIEN.	BASTIEN.
J'arnonce.	J'arnonce.
Un pot de Pommade de limaçon, quel uſtancile eſt-ce ça?	Un pot de Pommade de limaçon, quel ustancile est-ce ?
un pot de Doisusense, a does quel noune	un pot de Doisusense, a does quel nouvne
LISETTE.	LISETTE.
A vous décraſſer le viſage, à vous débarboüiller, cela vous ôtera les groſſeurs du teint.	À vous décrasser le visage, à vous débarbouiller, cela vous ôtera les grosseurs du teint.
BASTIEN.	BASTIEN.
Les groſſeurs du teint à moi.	Les grosseurs du teint à moi.
Morgué ne ſaapeiten pas ſna, je vous en iciois di maſque ſur le viſage, je vous en avrtis.	Morgué ne saapiten pas sna, je vous en iciais di masque sur le visage, je vous en aurtis.
SBRIGANY.	SBRIGANY.
Siſn'en veut point, qu’il ſe couche auprés, il nous demeurera, c’eſt ſon affaire.	Sisn'en veut point, qu'il se couche auprès, il nous demeurera, c'est son affaire.
LISETTE.	LISETTE.
Il s’en ſervira pour l'amour de moi :	Il s'en servira pour l'amour de moi :
Je veux qu’il ſe faſſe beau moi cet enfant-là.	Je veux qu'il se fasse beau moi cet enfant-là.
BASTIEN.	BASTIEN.
Il ouure le 5.	Il ouvre le 5.
billei.	billey.
Le beau lot que vela.	Le beau lot que vêla.
Une bouteille d’eau de Cordouë:	Une bouteille d'eau de Cordoue:
une bouteille d’eau, mais il faut que vous ſoyez fou de me bailler ça, la Bivicle pane du dis de emcosmons.	une bouteille d'eau, mais il faut que vous soyez fou de me bailler ça, la Bivicle pane du dis de emcosmons.
LISETTE.	LISETTE.
C'eſt de l’eau de Cordouë:	C'est de l'eau de Cordoue:
Vous ne ſçavez ce que vous dites.	Vous ne savez ce que vous dites.
BASTIEN.	BASTIEN.
Hé morgué de liau d’où il vous plaira, liau de la Seine eſt toute la meilleure, je ne veux point de celle-là,	Hé morgué de liau d'où il vous plaira, liau de la Seine est toute la meilleure, je ne veux point de celle-là,
SBRIGANY.	SBRIGANY.
Il faut bien que vous la preniez, puis ſuelle el a vous.	Il faut bien que vous la preniez, puis suelle elle a vous.
BASTIEN.	BASTIEN.
Mais vous vous gobergez de moi, vous dis-je, un demi-ſeptier de vin vaut mieux que tout çà.	Mais vous vous gobergez de moi, vous dis-je, un demi-septier de vin vaut mieux que tout çà.
Il n’y a morgué rien là qui ſoit à mone ſ.	Il n'y a morgué rien là qui soit à mone s.
iſance	Yance
RIDETTL.	RIDETTL.
Oh finiſſez donc.	Oh finissez donc.
Voyez le reſte.	Voyez le reste.
BASTIEN ouvre le dernier billet.	BASTIEN ouvre le dernier billet.
Un bâton de breſil.	Un bâton de brésil.
Un bâton, ah palſangué bon pour ſtila.	Un bâton, ah alsangué bon pour styla.
S’il eſt bien emmanche je vas m’en ſarvir, laiſſez-moi faire.	S'il est bien emmanche je vas m'en sarvir, laissez-moi faire.
SBRIBANY.	SBRIBANY.
Comment, comment donc?	Comment, comment donc?
BASTIEN.	BASTIEN.
Oh taſtigué, Monſieur l’affronteux, je vous apprendrai à vous gauſſer des gens de Courbevoye, avec vôtre bouteille diau & vos ſouricieres.	Oh tastigué, Monsieur l'affronteux, je vous apprendrai à vous gausser des gens de Courbevoie, avec votre bouteille diau et vos souricières.
SBRIGANY.	SBRIGANY.
Monſieur, Monſieur le Manan, ſi vous ſaites ici le moindre bruit.	Monsieur, Monsieur le Manan, si vous saites ici le moindre bruit.
BASTIEN.	BASTIEN.
Morgué non je n’en ferai pas ici, mais ſi je Pattrape jamais queuque part ſur le chemuin de Neuilly je te tonciui bien pous res ſix ecus, va ne ie mets pas en peine.	Morgué non je n'en ferai pas ici, mais si je Pattrape jamais queuque part sur le chemin de Neuilly je te toncivi bien pous rés six écus, va ne Seigneur mets pas en peine.
LISETTE.	LISETTE.
Sans colere, Monſieur de Courbevoye, ſerre bien toutes vos petites affaires, Ccece »	Sans colère, Monsieur de Courbevoie, serre bien toutes vos petites affaires, Cce "
BASTIEN.	BASTIEN.
Allez ca n’eſt pas bian, vous êtes une redreſſeuſe itou vous, Madame, & je pourois bies:	Allez ca n'est pas bian, vous êtes une redresseuse itou vous, Madame, et je pourrais bies:
par avanture.	par aventure.
Je vous reconnontons queuque joui, ce je varolis diaù jeu, patiance.	Je vous reconnontons queuque joui, ce je varolis diaù jeu, patiance.
LISETTE.	LISETTE.
Le petit miévre.	Le petit mièvre.
Allons point d’emportement, ſoyez ſage, portez tout cela dans vôtre charette, & vous en retournez tous doucement, de peur de fatiguer vos chevaux, entendez-vous.	Allons point d'emportement, soyez sage, portez tout cela dans votre charette, et vous en retournez tous doucement, de peur de fatiguer vos chevaux, entendez-vous.
BASTIEN.	BASTIEN.
Ils ne mangeront morgué d’avoine d’aujourd’hui.	Ils ne mangeront morgué d'avoine d'aujourd'hui.
Pour ſix écus de marchandiſes!	Pour six écus de marchandises!
queu peſte de Lotterie.	queu peste de Lotterie.
Quand on ſçait une fois çan que c’eſt, il faudroit bian avoir le diable au corps pour y lenetcore:	Quand on sait une fois çan que c'est, il faudrait bian avoir le diable au corps pour y lenetcore:
bouitre	bouitre
A00D22 50SſNCiI.	A00D2 50SsNCiI.
LISETTE.	LISETTE.
E' bien, Monſieur, voila déja un IIPayſan corigé de Lotterie, & je gagerois bien que ſon exemple ſervira d’inhtruocion dtoueton vinages eqde lon vous aura d’obligation.	ÈS bien, Monsieur, voilà déjà un JIPaysan corigé de Lotterie, et je gagerais bien que son exemple servira d'intruocion dtoueton vinages éque lon vous aura d'obligation.
O Gd unie.	Ô Gd unie.
LA FRANCE, SBRIGANY, LISETTE.	LA FRANCE, SBRIGANY, LISETTE.
LA ERANCL.	LA ERANCL.
Onſieur, c’eſt de la part de moi ElaîMire, Monſieur le Baron de Roſbrune.	Onsieur, c'est de la part de moi ElaîMire, Monsieur le Baron de Rosbrune.
SBRIGANY.	SBRIGANY.
Y a-t’il quelque choſe pour ſon ſervice, mon enſant.	Y a-t-il quelque chose pour son service, mon ensant.
LISETTE.	LISETTE.
Il envoye chercher ſes boëtes apparemment.	Il envoie chercher ses boètes apparemment.
LA FRANCE.	LA FRANCE.
Il vous prie, Monſieur, de vouloit bien meinte se peue siceſauscen Angelique.	Il vous prie, Monsieur, de voulait bien meinte se peue sicesauscen Angélique.
ODRIORIO T.	ODRIORIO T.
Ah, ah, qu’eſt-ce que c’eſt que ce billet?	Ah, ah, qu'est-ce que c'est que ce billet?
LA FRANCE.	LA FRANCE.
C'eſt que Monſieur le Baron eſt amoureux d’elle, eomme vous ſȩavez;	C'est que Monsieur le Baron est amoureux d'elle, Eomme vous savez;
elle a une mere capricieuſe, avec qui nous ſommes brouillez:	elle a une mère capricieuse, avec qui nous sommes brouillez:
Nous ne ſeavons comment faire pour lui donner de nos nouvelles, & mon Maiſtie s eit imagine que daſis une boëte de Lotterie vous pourriez bien, ſi vous vouliez, faire paſſer ſon petit billet.	Nous ne seavons comment faire pour lui donner de nos nouvelles, et mon Maîtie s it imagine que das une boète de Lotterie vous pourriez bien, si vous vouliez, faire passer son petit billet.
SBRIGANY.	SBRIGANY.
Pour qui me prend-il, je ſuis honneſtehomme, & je ne me mêle point.	Pour qui me prend-il, je suis honnêtehomme, et je ne me mêle point.
,	,
LA FRANCE.	LA FRANCE.
Il m’a chargé de vous preſenter dix Loüis d’or pour lever les diſſicultez que vôtre honneur pourroit trouver dans cette atfaire-là.	Il m'a chargé de vous présenter dix Louis d'or pour lever les dissicultés que votre honneur pourrait trouver dans cette atfaire-là.
SBRIGANY.	SBRIGANY.
Dix Loüis d’or.	Dix Louis d'or.
LA FRANCE.	LA FRANCE.
873 Ananssar, les delsas	873 Anantssar, les délsas
SBRIGANY.	SBRIGANY.
On fera ce qu’on pourra, donnez:	On fera ce qu'on pourra, donnez:
prens ſoin de cela toy, Lilette.	prends soin de cela toi, Lilette.
LISETTE.	LISETTE.
Ouy, Monſieur, je ferai vôtre affaire.	Oui, Monsieur, je ferai votre affaire.
LA FRANCE.	LA FRANCE.
On apportera peut-eſtre la réponſe en venant prenute les boctes, vous vouotez bien vous en charger, s’il vous plaît,	On apportera peut-être la réponse en venant prenute les boctes, vous voûtez bien vous en charger, s'il vous plaît,
LISETTE.	LISETTE.
On verra, S’il ſe trouvoit quelques diffieultez pour la réponſe.	On verra, S'il se trouvait quelques diffieutez pour la réponse.
Vous ſeavez bien comme on les leve.	Vous seavez bien comme on les lève.
LA IRANCC.	LA IRANCCC.
On fera tesases saciee.	On fera tesases sacie.
OUENE ATVO LISETTE, SBRIGANY.	OÙENE ATUO LISETTE, SBRIGANY.
LISETTE.	LISETTE.
Eſt un aſſez bon métier, Monſieur, que de faire des Lotteries;	Est un assez bon métier, Monsieur, que de faire des Lotteries;
cela rend de toutes manieres,	cela rend de toutes manières,
SBRIGANY.	SBRIGANY.
N’eſt-il pas vrai.	N'est-il pas vrai.
Mais que veut cette Dame.	Mais que veut cette Dame.
Il y a la bas des Suiſſes, & tout le monde entre.	Il y a la bas des Suisses, et tout le monde entre.
LISETTE.	LISETTE.
Ne vous effarouchez point de cette viſite-ci, c’eſt nôtre bonne amie, la fille de ce Marchand, cette veuve qui fait la femme de conſequence, & qui eſt ſi folle & ſi coquerte.	Ne vous effarouchez point de cette visite-cy, c'est notre bonne amie, la fille de ce Marchand, cette veuve qui fait la femme de conséquence, et qui est si folle et si coquerte.
SCENE XV.	SCÈNE XV.
Me LA CLOCHE, SBRIGANY, LISETTE.	Me LA CLOCHÉ, SBRIGANY, LISETTE.
dile an dnelo E' bon jour, mon cher Sbrigany, il y 1a des ſedes que jene vaivd.	dile an dnelo E' bon jourà mon cher Srigani, il y 1a des sédes que jène vaid.
SBRIGANY.	SBRIGANY.
Il m’en ennuyoit beaucoup, Madame, je vous aſſure.	Il m'en ennuyait beaucoup, Madame, je vous assure.
Me LA CLOCHE.	Me LA CLOCHÉE.
Hé te voila auſſi:	Hé te voilà aussi:
Vien donc me baiſer, ma bonne Liſette.	Viens donc me baiser, ma bonne Lisette.
LISETTE.	LISETTE.
Madame je ſuis vôtre tres-humble ſervante.	Madame je suis votre très-humble servante.
Me LA CLOCHE à Sbrigamy.	Me LA CLOCHÉE à Sbrigami.
Mais dy-moy donc, mon enfant, voila ta fortune faite.	Mais dis-moi donc, mon enfant, voilà ta fortune faite.
Il faudra faire porter la queuë à Madame de Sbrigany au moins.	Il faudra faire porter la queue à Madame de Sbrigani au moins.
eul lanNe le.	él anNe le.
Oh pout cela, Madame.	Oh pout cela, Madame.
