A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.
Quels veux puis-ie former, & quel bonheur attendre?	Quels veux puis-je former, et quel bonheur attendre?
dre, De tous les deux coſtés i’ay des pleurs à reſpanDe tous les dex coſtés mes deſirs ſont trahis.	dre, De tous les deux côtés j'ai des pleurs à respanDe tous les dex côtés mes désirs sont trahis.
HORACE.	HORACE.
pays!	pays!
Quoy!	Quoi!
vous me pleureriez mourant, pour mon Pour vn cœur genereux ce treſpas à des charmes, La gloire qui le ſuit ne ſouffre point de larmes, Et te le receurois en beniſſanr mon ſort Si Rome & tout l’Eſtat perdoient moins à ma mort, Cv	vous me pleureriez mourant, pour mon Pour un cœur généreux ce trépas à des charmes, La gloire qui le suit ne souffre point de larmes, Et te le recevrais en bénissanr mon sort Si Rome et tout l'État perdaient moins à ma mort, Cv
CVRIACE.	CURICE.
A vos amis pourtant permettez de le craindre, Dans vn ſi beau treſpas ils ſont les ſeuls à plaindre, La gloire en eſt pour vous, & la perte pour eux:	À vos amis pourtant permettez de le craindre, Dans un si beau trépas ils sont les seuls à plaindre, La gloire en est pour vous, et la perte pour eux:
Il vous fait immortel, & les rend malheureux, On perd tout, quand on perd vn amy ſi fidelle, Mais Flauiair til apporte icy quelque nouuelle, Albe de trois guerriers a t’elle fait le choix?	Il vous fait immortel, et les rend malheureux, On perd tout, quand on perds un ami si fidèle, Mais Flaviair til apporte ici quelque nouvelle, Albe de trois guerriers a t'elle fait le choix?
SCENE II.	SCÈNE II.
HORACE, CVRIACE, FLAVIAN,	HORACE, CURIACE, FLAVIAN,
FLAVIAN.	FLAVIAN.
IE viens pour vous rapprendre.	JE viens pour vous rapprendre.
CVRIACE.	CURICE.
Et bien qui ſont les trois?	Et bien qui sont les trois?
FLAVIAN.	FLAVIAN.
Vos deux freres, & vous.	Vos deux frères, et vous.
CVRIACE.	CURICE.
Qui?	Qui?
FLAVIAN.	FLAVIAN.
Yous, de ros deux freres.	Yous, de ros deux frères.
Mais pourquoy ce front triſte & ſes regards ſeveres, Ce choix vous deſplaiſt-il?	Mais pourquoi ce front triste et ses regards sévères, Ce choix vous déplaît-il?
CVRIACE.	CURICE.
Non, mais il me ſurptend, le m eſtimoistiop peu, pourtihonneur ſi gtand.	Non, mais il me surptend, le m' estimoistiop peu, pourtihonneur si gtand.
FLAVIAN.	FLAVIAN.
Diray-ie au Dictateur qui deuers vous m’enuoye Que vous le receuez auec ſi peu de ioye?	Dirai-je au Dictateur qui devers vous m'envoie Que vous le recevez toujours si peu de joie?
tour.	tour.
Ce morne & froid accueil me ſurprend à mon	Ce morne et froid accueil me surprend à mon
CVRIACE.	CURICE.
Dy luy que l’amitié, l’alliance & l’amour Ne pourront empeſcher que les trois Curiaces Ne ſeruent leur pays contre les trois Horaces	Dis lui que l'amitié, l'alliance et l'amour Ne pourront empêcher que les trois Curiaces Ne servent leur pays contre les trois Horaces
22A2	22A2
FLAVIAN.	FLAVIAN.
mots!	mots!
vontre tux al, e ert beaueoup me dire en peu de	vontre tux al, e ert beaueoup me dire en peu de
CVRIACE.	CURICE.
Porte luy ma reſponſe & nous laiſſe en repos.	Porte nô ma réponse et nous laisse en repos.
SCENE III.	SCÈNE III.
CVRTACE, HORACE,	CURTACE, HORACE,
CVRIACE.	CURICE.
Ve deſormais le Ciel, les Enfers, & la Terte Vniſſent leurs fureurs à nous faire la guerre, Que les hommes, les Dieux, les Demons & le ſort Preparent contre nous vn general effort, Ie mets à faire pis en l’eſtat où nous ſommes, Le ſort, & les Demons, & les Dieux & les hommes, Ce qu’ils ont de cruel, & d’horribile & d’affreux, L’eſt bien moins que l’honneur qu’on nous fait à tous deux.	Ve désormais le Ciel, les Enfers, et la Terte Unissent leurs fureurs à nous faire la guerre, Que les hommes, les Dieux, les Demons et le sort Préparent contre nous un général effort, Je mets à faire pis en l'état où nous sommes, Le sort, et les Demons, et les Dieux et les hommes, Ce qu'ils ont de cruel, et d'horribile et d'affreux, L'est bien moins que l'honneur qu'on nous fait à tous deux.
HORACE.	HORACE.
Le ſort qui de l’honneur nous ouure la barriere, Offre à noſtre conſtance vne illuſtre matiere, Il eſpuiſe ſa force à former vn malheur.	Le sort qui de l'honneur nous ouvre la barrière, Offre à notre constance une illustre matière, Il épuise sa force à former un malheur.
Pour mieux ſe meſurer auec noſtre valeur, Comme il ne nous prend pas pour des ames communes, Hors de l’ordre commun il nous fait des fortunes.	Pour mieux se mesurer auec jours valeur, Comme il ne nous prend pas pour des âmes communes, Hors de l'ordre commun il nous fait des fortunes.
Combatre vn ennemy pour le ſalut de tous, Et contre vn incognu s’expoſer ſeul aux coups, D’vne ſimple vertu c’eſt l’effet ordinaire, Mille deſia l’ont fait, mille pourroient le faire, Mourir pour le pays eſt vn ſi digne ſort Qu’on brigueroit en foule vne ſi belle mort.	Combatre un ennemi pour le salut de tous, Et contre un inconnu s'exposer seul aux coups, D'une simple vertu c'est l'effet ordinaire, Mille déjà l'ont fait, mille pourraient le faire, Mourir pour le pays est un si digne sort Qu'on briguerait en foule une si belle mort.
Mais vouloir au public immoler ce qu’on ayme, S’attacher au combat contre vn autre ſoy-meſme, Attaquer vn party qui prend pour defenſeur Le frere d’vne femme, & l’amant d’vne ſœur.	Mais vouloir au public immoler ce qu'on aime, S'attacher au combat contre un autre soi-même, Attaquer un parti qui prend pour défenseur Le frère d'une femme, et l'amant d'une sœur.
Et rompant tous ces nœuds s’armet pour la patrie Contre vn ſang qu’on voudroit rachepter de ſa vie, Vne telle vertu n’appartenoit qu’à nous, L’eſclat de ſon grand nom luy fait peu de ialoux, Et peu a hommes au cœur l’ont aſſés imprimée Pour oſer aſpirer à tant de renommée.	Et rompant tous ces nœuds s'armet pour la patrie Contre un sang qu'on voudrait rachepter de sa vie, Ône telle vertu n'appartenait qu'à nous, L'éclat de son grand nom Seigneur fait peu de jaloux, Et peu a hommes au cœur l'ont assez imprimée Pour oser aspirer à tant de renommée.
CVRIACE.	CURICE.
Il eſt vray que nos noms ne ſçauroient plus perir, L’occaſion eſt belle, il nous la faut cherir, Nous ſerons les miroirs d’vne vertu bien rare:	Il est vrai que nos noms ne sauraient plus périr, L'occasion est belle, il nous la faut chérir, Nous serons les miroirs d'une vertu bien rare:
Mais voſtre fermeté tient vn peu du barbare, Peu, meſme des grands cœurs, tireroient vanité D’aller par ce chemin à l’immortalité, A quelque prix qu’on mette vne telle fumée, L’obſcurité vaut mieux que tant de renommée.	Mais votre fermeté tient un peu du barbare, Peu, même des grands cœurs, tireraient vanité D'aller par ce chemin à l'immortalité, À quelque prix qu'on mette une telle fumée, L'obscurité vaut mieux que tant de renommée.
Pour moy ie l’oſe dire, & vous l’auez peu voir, Ie n’a y point conſulté pour ſuiure mon deuoir, Noſtre longue amitié, l’amour ny l’alliance N’ont peu mettre vn moment mon eſprit en balance, Et puiſque par ce choix Albe monſtre en effet Qu’elle m’eſtime autant que Rome vous a fait, Ie croy faire pour elle autant, que vous pour Rome, (21 I’ay le cœur auſſi bon, mais en fin ie ſuis homme, Ie voy que voſtre honneur giſt à verſer mon ſang, Que tout le mien conſiſte à vous percer le flanc, Preſt d’eſpouſer la ſœur qu’il faut tuer le frere, Et que pour mon pays i’ay le ſort ſi contraire;	Pour moi quelquefois l'ose dire, et vous l'avez pu voir, Je n'a y point consulté pour suivre mon devoir, Notre longue amitié, l'amour ni l'alliance N'ont pu mettre un moment mon esprit en balance, Et puisque par ce choix Albe montre en effet Qu'elle m'estime autant que Rome vous a fait, Je crois faire pour elle autant, que vous pour Rome, (21 J'ai le cœur aussi bon, mais en fin ie suis homme, Je vois que votre honneur gît à verser mon sang, Que tout le mien consiste à vous percer le flanc, Prêt d'épouser la sœur qu'il faut tuer le frère, Et que pour mon pays ay le sort si contraire;
Encor qu’à mon deuoir ie coure ſans terreur, Mon cœur s’en eſfarouche, & i’en fremis d’hor.	Encor qu'à mon devoir ici coure sans terreur, Mon cœur s'en éfarouche, et j'en frémis d'hor.
reur, (vie, I’ay pitié de moy-meſme, & iette vn œil d’enSur ceux dont noſtre guerre a conſommé la vie.	revr, (vie, J'ai pitié de moi-même, et jette un œil d'enSur ceux dont notre guerre a consommé la vie.
sans ſouhait toutefois de pouuoir reculer, Ce triſte & fier honneur m’eſmeut ſans m’ébranlet, (m’oſte, I’ayme ce qu’il me donne, & ie plains ce qu’il Et ſi Rome demande vne vertu plus haute.	sans souhait toutefois me donne reculer, Ce triste et fier honneur m'émut sans m'ébranlet, (m'ôte, J'aime ce qu'il me donne, et Seigneur plains ce qu'il Donne si Rome demande une vertu plus haute.
Ie rends graces aux Dieux de n’eſtre pas Romain Pour conſetues encor quelque choſe d’humain.	Je rends grâces aux Dieux de n'être pas Romain Pour consétues encor quelque chose d'humain.
HORACE.	HORACE.
Si vous n’eſtes Romain, ſoyés digne de l’eſtre, Et ſi vous m’eſgales faites le mieux paroiſtre.	Si vous n'êtes Romain, soyez digne de l'être, Et si vous m'égales faites le mieux paraître.
La ſolide vertu dont ie fais vanité N’admet point de foibleſſe auec ſa fermeté, Et c’eſt mal de l’honneur entrer dans la carriere Que dés le premier pas regarder en arriere.	La solide vertu dont votre fais vanité N'admet point de faiblesse avec sa fermeté, Et c'est mal de l'honneur entrer dans la carrière Que dès le premier pas regarder en arrière.
Noſtre malheur eſt grand, il eſt au plus haut point Ie l’enviſage entier, mais ie n’en fremis point.	Notre malheur est grand, il est au plus haut point Je l'envisage entier, mais toujours n'en frémis point.
Contre qui que ce ſoit que mon pays m’employe I’accepte aueuglément cette gloire auec ioye, Celle de teceuoir de tels commandements Doit eſtouffer en nous tous autres ſentiments, Qui prés de le ſeruir conſidere autre choſe A faire ce qu’il doit laſchement ſe diſpoſe, M Ce droit ſaint & ſacré rompt tout autre lien, Rome a choiſi mon bras, ie n’examine rien, Auec vne allégrelle aulli pleine & lincere;	Contre qui que ce soit que mon pays m'emploie J'accepte aveuglément cette gloire avec joie, Celle de tecoir de tels commandements Doit étouffer en nous tous autres sentiments, Qui prés de le servir considère autre chose A faire ce qu'il doit lâchement se dispose, M Ce droit Saint et sacré rompt tout autre lien, Rome a choisi mon bras, je n'examine rien, A allégrelle aulli ne et lincère;
Que i’eſpouſay la ſœur, ie combatray le frete.	Que j'épousai la sœur, Seigneur combatrai le frère.
Et pour trancher en fin ces diſcours ſuperflus Albe vous a nommé, ie ne vous cognois plus.	Et pour trancher en fin ces discours superflus Albe vous a nommé, toujours ne vous connais plus.
CVRIACCE.	CURICCE.
Ie vous cognois encor, & c’eſt ce qui me tüe, Mais ceſte aſpre vertu ne m’eſtoit pas connüe, Comme noſtre malheur elle eſt au plus haut point, Souffrés que ie l’admire, & ne l’imite point.	Je vous connais encor, et c'est ce qui me tue, Mais ceste âpre vertu ne m'était pas connue, Comme nôtre malheur elle est au plus haut point, Souffrez que on l'admire, et ne l'imite point.
HORACE.	HORACE.
te, Non, non, n’embraſſes pas de vertu par contrainEt puiſque vous trouuez plus de charme à la plainte;	te, Non, non, n'embrasses pas de vertu par contrainEt puisque vous trouvez plus de charme à la plainte;
En toute liberté gouſtés vn bien ſi doux, voicy Voicy venir ma ſœur pour ſe plaindre auec vous.	En toute liberté goûtez un bien si doux, voici Voici venir ma sœur pour se plaindre auec vous.
Ie vay reuoir la voſtre, & reſoudre ſon ame A ſe reſſouuenir qu’elle eſt touſiours ma femme, A vous aymer encor ſi ie meurs par vos mains, Et plendie en ton mameur des londmemncomains.	Je vais revoir la vôtre, et résoudre son âme A se ressouvenir qu'elle est toujours ma femme, À vous aimer encor si jus meurs par vos mains, Et plendie en ton mameur des londmemncomains.
SCENE IV.	SCÈNE IV.
HORACE, CVRTACE, CAMILLE.	HORACE, CURTACE, CAMILLE.
HORACE.	HORACE.
Vez-vous ſceu l’eſtat qu’on fait de Curiace, AMa ſœur?	Vez-vous su l'état qu'on fait de Curiace, AMa sœur?
CAMILLE.	CAMILLE.
HORACE.	HORACE.
ſœur, Armez vous de conſtance, & monſtrés vous ma Et ſi par mon treſpas il retourne vainqueur, Ne le receuez point en meurtrier d’vn frere (faire, Mais en homme d’honneur qui fait ce qu’il doit Qui ſert bien ſon pays & ſçait moſtrer à tous Par ſa haute vertu qu’il eſt digne de vous;	sœur, Armez -vous de constance, et montrez -vous ma Et si par mon trépas il retourne vainqueur, Ne le recevez point en meurtrier d'un frère (faire, Mais en homme d'honneur qui fait ce qu'il doit Qui sert bien son pays et sait maîtrer à tous Par sa haute vertu qu'il est digne de vous;
Comme ſi ie viuois acheuez l’Hymenée.	Comme si ici vivais achevez l'Hyménée.
Mais ſi ce fer auſſi tranche ſa deſtinée Faites à ma victoire vn pareil traitement, Ne me reptochez point la mort de voſtre amant, Vos larmes vont couler, & voſtre cœur ſe preſſe, Conſommés auec luy toute ceſte foibleſſe, Querellez Cier & terte, & iaudiſſez le ſort, Mais apres le combat ne penſez plus au mort.	Mais si ce fer aussi tranche sa destinée Faites à ma victoire un pareil traitement, Ne me réptochez point la mort de votre amant, Vos larmes vont couler, et votre cœur se presse, Consommès auecîle toute cette faiblesse, Querellez Cier et terte, et jaudissez le sort, Mais après le combat ne pensez plus au mort.
Ie ne vous laiſſeray qu’vn moment auec elle, (pelle, Puis nous irons enſemble où l’honneur nous ap	Je ne vous laisserai qu'Hommes moment avec elle, (pelle, Puis nous irons ensemble où l'honneur nous ap
SCENE V.	SCÈNE V.
CAMILLE, CVRIACE.	CAMILLE, CURIACE.
Ras-tu ma chere ame, & ce funeſte honneur TTe plait-il au deſpens de tout noſtre bonheur?	Ras-tu ma chère âme, et ce funeste honneur TTe plaît-il au dépens de tout notre bonheur?
CVRIACE.	CURICE.
Helas, ie voy trop bien qu’il faut, quoy que ie face.	Hélas, Seigneur vois trop bien qu'il faut, quoi que sans face.
Mourit, ou de douleur, ou de la main d’Horace.	Mourit, ou de douleur, ou de la main d'Horace.
Ie vay comme au ſupplice à cét illuſtre employ, Ie maudis mille fois l’eſtat qu’on fait de moy, Ie hay cette valeur qui fait qu’Albe m’eſtime, Ma flamme au deſeſpoir paſſe iuſques au crime, Elle ſe prend aux Dieun qu’ene ole quereller, Ie vous plains, ie me plains, mais il y faut aller.	Je vais comme au supplice à cet illustre emploi, Je maudis mille fois l'état qu'on fait de moi, Je hais cette valeur qui fait qu'Albe m'estime, Ma flamme au désespoir passe jusques au crime, Elle se prend aux Dieun qu'ene ole quereller, Je vous plains, ie m ais, mais il y faut aller.
CAMILLE.	CAMILLE.
Non, ie te cognoy mieux, tu veux que ie te prie, Et qu’ainſi mon pouuoir t’excuſe à ta patrie.	Non, Seigneur te connais mieux, tu veux que ie te prie, Et qu'ainsi mon pouvoir t'excuse à ta patrie.
Tu n’es que trop fameux par tes autres exploits, Albe a receu par eux tout ce que tu luy dois, Autre n’a mieux que toy ſouſtenu cette guerre, Autre de plus de moris n’a couuert cette terre, Tõ nõ ne peut plus croiſtre, il ne luy manque rien, Souffre qu’vn autre icy puiſſe ennoblir le ſien.	Tu n'es que trop fameux par tes autres exploits, Albe a reçu par eux tout ce que tu lui dois, Te n'a mieux que toi soutenu cette guerre, Autre de plus de moris n'a couvert cette terre, Tendre ne peut plus croître, il ne lui manque rien, Souffre qu'un autre ici puisse ennoblir le sien.
CVRIA CE.	CURIA CE.
teſte	tête
Que ie ſouffre à mes yeux qu’on ceigne vne autre Des lauriers immortels que la gloire m’appreſte, Ou que tout mon pays reproche à ma vertu Qu’il auroit triomphé ſi i’auois combatu, Et que par mon amour ma valeur endormie Couronne tant d’exploits d’vne telle infamie?	Que était souffre à mes yeux qu'on ceigne une autre Des lauriers immortels que la gloire m'apprête, Ou que tout mon pays reproche à ma vertu Qu'il aurait triomphé si j'avais combattu, Et que par mon amour ma valeur endormie Couronne tant d'exploits d'une telle infamie?
Non, Albe, apres l’honneur que i’ay receu de toy Tu ne ſuccomberas ny vaincras que par moy;	Non, Albe, après l'honneur que j'ai reçu de toi Tu ne succomberas après vaincras que par moi;
te, Tu m’as cõmis ton ſort, ie t’en rendray bon conDe viaruy faris repivene, ou illay lans nonte.	te, Tu m'as commis ton sort, il t'en rendrai bon conDe viarui faris répivène, ou illai lans nonte.
CAMILLE.	CAMILLE.
Quoy!	Quoi!
tu ne veux pas voir qu’ainſi tu me trahis!	tu ne veux pas voir qu'ainsi tu me trahis!
VRIACE.	VRICE.
Auant que d’eſtre à vous, ie ſuis à mon pays.	Avant que d'être à vous, je suis à mon pays.
Mais te priuer pour luy toy- meſme d’vn beau frere Ta ſœur de ſon mary!	Mais te priver pour lui toi- même d'un beau frère Ta sœur de son mari!
Cr	Cr
CVRIACE.	CURICE.
Telle eſt noſtre miſere, Le choix d’Albe & de Rome oſte toute douceur Aux noms iadis ſi doux de beatreirere de de ſœur.	Telle est notre misère, Le choix d'Albe et de Rome ôte toute douceur Aux noms jadis si doux de beatreirere de de sœur.
CAMILLE.	CAMILLE.
Viendras-tu point encor me preſenter ſa teſte, Et demander ma main pour prix de ta conqueſte?	Viendras-tu point encor me présenter sa tête, Et demander ma main pour prix de ta conquête?
CVRIACE.	CURICE.
Il n’y faut plus penſer, en l’eſtat où ie ſuis:	Il n'y faut plus penser, en l'état où tu suis:
Vous aymer ians eipon c’ent toue ee quo nepuis.	Vous aimer jants eipon c'ent toue ce quo nepuis.
Vous pleurés, ma chere ame.	Vous pleurez, ma chère âme.
CAMILLE.	CAMILLE.
Il faut bien que ie pleure.	Il faut bien que Seigneur pleure.
Mon inſenſible amant ordonne que ie meure, Et lors que noſtre Hymen allume ſon flambeau, Il l’eſteint de ſa mam pour in ouuril le combeau, Ce cœur impitoyable à ma perte s’obſtine, Et dit qu’il m’ayme encor alors qu’il m’aſſaſſine.	Mon insensible amant ordonne que femme meure, Et lors que notre Hymen allume son flambeau, Il l'éteint de sa mam pour in ouvril le combeau, Ce cœur impitoyable à ma perte s'obstine, Et dit qu'il m'aime encor alors qu'il m'assassine.
CVRIACE.	CURICE.
cours,	cours,
Que les pleurs d’vne amante ont de puiſſants diſEt qu’vn bel œil eſt fort auec vn tel ſecours!	Que les pleurs d'une amante ont de puissants disait qu'un bel œil est fort avec un tel secours!
Que mon cœur s’attendrit à cette triſte veuë!	Que mon cœur s'attendrit à cette triste vue!
Ma conſtance contte elle à regret s’euertuë.	Ma constance contte elle à regret s'évertue.
N’attaqués plus ma gloire auecque vos douleurs.	N'attaquez plus ma gloire avec vos douleurs.
Et laiſſés moy ſauuer ma vertu de vos pleurs;	Et laissez -moi sauver ma vertu de vos pleurs;
Ie ſens qu’elle chancelle, & defend mal la place, Plus ie ſuis voſtre amant, moins ie ſuis Curiace, Foible d’auoir deſia combatu l'amitié Vaincroit-elle à la fois l’amour & la pitié?	Je sens qu'elle chancelle, et défend mal la place, Plus je suis votre amant, moins ie suis Curiace, Foible d'avoir déjà combattu l'amitié Vaincroit-elle à la fois l'amour et la pitié?
Allés, ne m’aymés plus, ne verſez plus de larmes, Où i’oppoſe l’offenſe à de ſi fortes armes, Ie me defendray mieux contre voſtre courroux, Et pour le meriter, ie n’ay plus d’yeux pour vous.	Allz, ne m'aimez plus, ne versez plus de larmes, Où j'oppose l'offense à de si fortes armes, Je me défendrai mieux contre votre courroux, Et pour le mériter, ainsi n'ai plus d'yeux pour vous.
Vangez vous d’vn ingrat, puniſſez vn volage, (ge?	Vengez -vous d'un ingrat, punissez un volage, (ge?
Vous ne vous monſtrez point ſenſible à cet outraIe n’ay plus d’yeux pour vous, vous en auez pour moy!	Vous ne vous montrez point sensible à cet outraIe n'ai plus d'yeux pour vous, vous en avez pour moi!
deEn faut il plus encor?	deEn faut -il plus encor?
ie renonce à ma foy.	Ne renonce à ma foi.
Rigoureuſe vertu dont ie ſuis la victime, Re peux tu lemter ſans le lecours d'vn crime?	Rigoureuse vertu dont votre suis la victime, Re peux tu lemer sans le lecours d'un crime?
CAMILLE.	CAMILLE.
Ne fay point d’autre crime, & i’atteſte les Dieux Qu’au lieu de t’en hair, ie t’en aymeray mieux, Ouy, ie te cheriray tout ingrat & perfide, Et ceſſe d’aſpirer au nom de fratricide, main?	Ne fais point d'autre crime, et j'atteste les Dieux Qu'au lieu de t'en haïr, quelque t'en aimerai mieux, Oui, ils te chérirai tout ingrat et perfide, Et cesse d'aspirer au nom de fratricide, main?
Pourquoy ſuis je Romaine, ou que n’es-tu RoIe te preparerois des lauriers de ma main, Ie t’encouragerois au lieu de te diſtraire, Et ie te traiterois comme i’ay fait mon frere.	Pourquoi suis je Romaine, ou que n'es-tu RoIe te préparerais des lauriers de ma main, Je t'encouragerais au lieu de te distraire, Et Seigneur te traiterais comme j'ai fait mon frère.
Helas!	Hélas!
i’eſtois aueugle en mes vœux auiourd’huy I’en ay fait contre toy quairer r'en uy rart pour luy, il revient, quel malheur!	j'étais aveugle en mes vœux aujourd'hui J'en ai fait contre toi quairer r'en ui rart pour mieux, il revient, quel malheur!
ſi l’amour de ſa femme Ne peut non plus ſur luy que le mien ſur ſon ame.	si l'amour de sa femme Ne peut non plus sur Rome que le mien sur son âme.
SCENE VI.	SCÈNE VI.
HORACE, CVRIACE, SABINE, CAMILLE.	HORACE, CURIACE, SABINE, CAMILLE.
CVRIACE.	CURICE.
Ieux!	Jeux!
Sabine le ſuit!	Sabine le suit!
Pour eſbranler mon cœur * Eit ce peu de Canillle?	Pour ébranler mon cœur * Éit ce peu de Canillle?
y loignez-vous ma ſœur ?	y loignez-vous ma sœur ?
Et lai ſſant à ſes pleurs vaincre ce grand courage L’amenez vous icy chercher meſme aduantage?	Et lai sant à ses pleurs vaincre ce grand courage L'amenez vous ici chercher même avantage?
ABINE.	ÀBINE.
Non, non, mon frere, non, ie ne viens en ce lieu Que pour vous embraſſer, & pour vous dire Adieu, (che, Voſtre ſang eſt trop bon, n’en craignés rien de laſRien dont la fermeté de ces grands cœurs ſe faſche;	Non, non, mon frère, non, je ne viens en ce lieu Que pour vous embrasser, et pour vous dire Adieu, (che, Votre sang est trop bon, n'en craignez rien de lasRien dont la fermeté de ces grands cœurs se fâche;
Si ce malheur illuſtre eſbranloit l’vn de vous Ie le deſaduoüerois pour frere ou pour eſpous.	Si ce malheur illustre ébranlait l'op de vous Je le désavouerais pour frère ou pour épous.
Pourray ie toutefois vous faire vne priere Digne d’vn tel eſpous & digne d’vn tel frere?	Pourra ie toutefois vous faire une prière Digne d'un tel épous et digne 'Un tel frère?
Ie veux d’vn coup ſi noble oſter l’impieté;	Je veux d'un coup si noble ôter l'impiété;
A l’honneur qui l’attend rendre ſa pureté, La mettre en ſon eſclat ſans meſlange de crimes, En fin ie vous veux faire ennemis legitimes, Du ſaint nœud qui vous ioint ie ſuis le ſeul lien, Quand ie ne ſeray plus, vous ne vous ſerez rien, Briſez voſtre alliance & rompez en la chaiſne, Et puiſque voſtre honneur veut des effets de haine Acheptés par ma moit le droit de vous hair, Albe le veut & Rome, il faut leur obeyr, (vange, Qu’vn de vous deux me tuë, & que l’autre me Alors voſtre combat n’aura plus rien d’eſtrange, Et du moins l’vn des deux ſera iuſte aggreſſeur?	À l'honneur qui l'attend rendre sa pureté, La mettre en son éclat sans mélange de crimes, En fin je vous veux faire ennemis légitimes, Du saint nœud qui vous joint ie suis le seul lien, Quand je ne serai plus, vous ne vous serez rien, Brisez avoir alliance et rompez en la chaîne, Et puisque votre honneur veut des effets de haine Acheptés par ma moit le droit de vous haïr, Albe le veut et Rome, il faut leur obéir, (vange, Qu'un de vous deux me tue, et que l'autre me Alors votre combat n'aura plus rien d'étrange, Et du moins l'un des dé seracluste aggresseur?
Ou pour vanger ſa femme, ou pour vanger ſa ſœur.	Ou pour venger sa femme, ou pour venger sa sœur.
Mais quoy!	Mais quoi!
vous ſoüilleriez vne gloire ſi belle, Si vous vous animiez par quelque autre querelle, Voſtre zele au pays vous defend de tels ſoins, Vous feriés peu pour luy ſi vous en faiſiez moins, Il luy faut, & ſans haine, immoler vn beau frere:	vous soüilleriez une gloire si belle, Si vous vous animiez par quelque autre querelle, Votre zèle au pays vous défend de tels soins, Vous feriez pu pour un si vous en faisiez moins, Il lui faut, et sans haine, immoler un beau frère:
Ne differés donc plus ce que vous deués faire, Commencés par ſa ſœur à reſpandre ſon ſang, Commencés par ſa femme à luy percer le flanc, Commencés par Sabine à faire de vos vies Vn digne ſacrifice à vos cheres patries, Vous eſtes ennemis en ce combat fameux (deux, Vous d’Albe, vous de Rome, & moy de toutes Quoy?	Ne différez donc plus ce que vous devez faire, Commencez par sa sœur à répandre son sang, Commencez par sa femme à lui percer le flanc, Commencès par Sabine à faire de vos vies Un digne sacrifice à vos chères patries, Vous êtes ennemis en ce combat fameux (deux, Vous d'Albe, vous de Rome, et moi de toutes Quoi?
me reſeruez vous à voir vne victoire, Où pour haut appareil d’vne pompeuſe gloire Ie verray les lauriers d’vn frere ou d’vn mary Fumer encor d’vn ſang que i’auray tant chery:	me réservez -vous à voir une victoire, Où pour haut appareil d'une pompeuse gloire Je verrai les lauriers d'un frère ou d'un mari Fumer encor d'un sang que j'aurai tant chéri:
Pourray-je entre vous deux regler alors mon ame?	Pourrai-je entre vous deux régler alors mon âme?
Satisfaire au deuoir & de ſœur & de femme?	Satisfaire au devoir et de sœur et de femme?
Embraſſer le vainqueur en pleurant le vaincu?	Embrasser le vainqueur en pleurant le vaincu?
Non, non, auant ce coup Sabine aura veſcu, Ma mort le preuiendra de qui que ie l’obtienne, Le refus de vos mains y condamne la mienne, Sus donc qui vous retient?	Non, non, avant ce coup Sabine aura vécu, Ma mort le préviendra de qui que sans l'obtienne, Le refus de vos mains y condamne la mienne, Sus donc qui vous retient?
Allés, cœurs inhumains, I’auray trop de moyens pour y forcer vos mains, Vous ne les aurez point au combat occupées Que ce corps au milieu n’arreſte vos eſpées, Et malgré vos refus il faudra que leurs coups Se faſſent iour icy pour aller iuſqu’à vous.	Allez, cœurs inhumains, J'aurai trop de moyens pour y forcer vos mains, Vous ne les aurez point au combat occupées Que ce corps au milieu n'arrête vos épées, Et malgré vos refus il faudra que leurs coups Se fassent jour ici pour aller jusqu'à vous.
O ma femme!	Ô ma femme!
AORACE.	ÀORACE.
CVRIACEO ma ſœur!	CURICEO ma sœur!
CAMILLE.	CAMILLE.
Courage ils s’amolliſſent	Courage ils s'amollissent
ABINE.	ÀBINE.
Vous pouſſez des ſouſpirs, vos viſages palliſſent!	Vous poussez des soupirs, vos visages pâlissent!
Quelle peur vous faint:	Quelle peur vous saint:
iont-ce Ia ces grands cœurs, Ces heros qu’Albe & Rome ont pris pour deſenſeurs?	jont-ce Ia ces grands cœurs, Ces héros qu'Albe et Rome ont pris pour desenseurs?
HORACE.	HORACE.
Femme, que t’ay-ie fait, & quelle eſt mon offenſe, Qui t’oblige à chercher vne telle vengeance?	Femme, que t'ai-je fait, et quelle est mon offense, Qui t'oblige à chercher une telle vengeance?
Que t’a fait mon honneur, femme, & pourquoy viens tu Auec toute ta force attaquer ma vertu?	Que t'a fait mon honneur, femme, et pourquoi viens tu Avec toute ta force attaquer ma vertu?
Du moins contente toy de l’auoir eſtonnée, Et me laiſſe acheuer cette grande iournée, Tu me viens de reliuile en virertlange pomt, Ayme aſſez ton mary pour n’en triompher point, Va t’en & ne rends plus la victoire douteuſe, La diſpute deſia m’en eſt aſſez honteuſe, Souffre qu’auec honneur ie termine mes iours.	Du moins contente toi de l'avoir étonnée, Et me laisse achever cette grande journée, Tu me viens de relivile en virertlange pompt, Aime assez ton mari pour n'en triompher point, Va t'en et ne rends plus la victoire douteuse, La dispute déjà m'en est assez honteuse, Souffre qu'avec honneur Seigneur termine mes jours.
SABINE.	SABINE.
Va, ceſſe de me craindre, on vient à ton ſecours.	Va, cesse de me craindre, on vient à ton secours.
