A MADAMOISELLE DE BOVRBON.	À MADAMOISELLE DE BOURBON.
Mais ils ne ſçauent pas ces eſprits trop mutins, s’ils ſont Nature, ſort, des Dieux, ou des deſtins.	Mais ils ne savent pas ces esprits trop mutins, s'ils sont Nature, sort, des Dieux, ou des destins.
Permettre qu’vne fille amoureuſe, aueuglee, Afin de contenter ja ſtamme dereglee, Suiue vn ieune orgueilleux, à fin d’inſolemment Faire mourir ſon pere & viure ſon Amant?	Permettre qu'une fille amoureuse, aveuglée, Afin de contenter ja stamme déréglée, Suive un jeune orgueilleux, à fin d'insolemment Faire mourir son père et vivre son Amant?
LE CHANCELIER.	LE CHANCELIER.
Sire, pardonnez-moy, s’il faut que ie vous die Qu'vn ſemblable couroux eſt vne maladie, Que nous trouuons bien douce au temps de la fureur, Mais qui dans vn ſang froid nous donne de l’horreur;	Sire, pardonnez-moi, s'il faut que je vous die Qu'un semblable courroux est une maladie, Que nous trouvons bien douce au temps de la fureur, Mais qui dans un sang froid nous donne de l'horreur;
Quoy?	Quoi?
ne voyez-vous pas proferant ces bleſphemes Que vous chocquez les Dieux, & qu’ils ſouffrent eux meſmes, Quand vous les attaquez pour vn trais de douleur A qui l’authorité donne quelque couleur.	ne voyez-vous pas proférant ces blesphèmes Que vous chocquez les Dieux, et qu'ils souffrent eux -mêmes, Quand vous les attaquez pour un trais de douleur À qui l'autorité donne quelque couleur.
LE ROY.	LE ROY.
Doncques ie doy ſouffrir qu’on rauiſſe ma fille, Et qu'vn ieune effronté noirciſſe ma famille?	Doncques grande dois souffrir qu'on ravisse ma fille, Et qu'un jeune effronté noircisse ma famille?
Le temps mourra pluſtoſt?	Le temps mourra plutôt?
& la Diuinité Releuera des droits de noſtre humanité, Le Ciel ne ſera plus, l’Aquilon ſans haleine N’oſera plus gaſter ny le mont ny la pleine, La Cour ſera ſans fard, le monde ſans trompeurs, Le Soleil ſans rayons, & la mer ſans vapeurs!	et la Divinité Relevera des droits de notre humanité, Le Ciel ne sera plus, l'Aquilon sans haleine N'osera plus gâter ny le mont ni la pleine, La Cour sera sans fard, le monde sans trompeurs, Le Soleil sans rayons, et la mer sans vapeurs!
Qu'apres vn tel affront l’ardeur de mon courage Ne ſe monſtre ſenſible à ce perfide outrage;	Qu'après un tel affront l'ardeur de mon courage Ne se montre sensible à ce perfide outrage;
Les Dieux ne font pas voir qu’ils ont du ſoin de moy.	Les Dieux ne font pas voir qu'ils ont du soin de moi.
Pour les tenir pour tels me traittent-ils en Roy?	Pour les tenir pour tels me traitent-ils en Roi?
Non, ils arreſtent trop à ſe pouuoir reſoudre A me venger, moy ſeul ie vay treuuer vn foudre Qui legitimement pareſtra puniſſeur, Chaſtiant cét infame auec ſon rauiſſeur, Ie ſuis pareil aux Dieux, car ſi de leur tonnerre Ils eſpouuentent l’air, ie troubleray la terre.	Non, ils arrêtent trop à se pouvoir résoudre À me venger, moi seul ie vais trouver un foudre Qui légitimement parétra punisseur, Châtiant cet infâme était son ravisseur, Je suis pareil aux Dieux, car si de leur tonnerre Ils espouuentent l'air, toujours troublerai la terre.
LE CHANCELIER.	LE CHANCELIER.
Vertueux iuſqu'icy, gardez que ce meſpris N’arrache vne vengeance aux celeſtes eſpris, Du moins en l’accident dont la fureur nous touche Faites que voſtre cœur demente voſtre bouche, Soyez plus retenu dans vos emotions, Et qu'vn eſprit Royal brille en vos paſſions, Vous dont l’integrité demande qu’on vous ayme, Vous qui ſurmontez tout, ſurmẽtez vous vous meſme, Et connoiſſez les Dieux qui rengent ſous leurs Lois Auec les Elemens les ſujets & les Roys;	Vertueux jusqu'ici, gardez que ce mépris N'arrache une vengeance aux célestes épris, Du moins en l'accident dont la fureur nous touche Faites que votre cœur démente votre bouche, Soyez plus retenu dans vos émotions, Et qu'un esprit Royal brille en vos passions, Vous dont l'integrité demande qu'on vous aime, Vous qui surmontez tout, surmette vous vous même, Et connais les Dieux qui rengent sous leurs Lois Auec les Élements les sujets et les Rois;
Puis que les animaux en leur brutale eſſence Craignent leurs createurs dont ils ont connoiſſance, Voyez que le Lyon quand il eſt plain de fiel Oublie ſa fureur oyant tonner le Ciel, Que les petits poiſſons quand la tourmente gronde Pour implorer les Cieux, ſautent du ſein de l’onde, Et que les Elefans offrent tous les matins Des rameaux verdiſſans aux maiſtres des deſtins;	Puis que les animaux en leur brutale essence Craignent leurs créateurs dont ils ont connaissance, Voyez que le Lyon quand il est plain de fiel Oublie sa fureur oyant tonner le Ciel, Que les petits poissons quand la tourmente gronde Pour implorer les Cieux, sautent du sein de l'onde, Et que les Elefans offrent tous les matins Des rameaux vertissants aux maîtres des destins;
Reconnoiſſez les donc, & par leur prouidence Si vous eſtes leur fils, imitez leur prudence, Reglez vous à leur ſens, ſoyez à l’auenir Coiue soustes poyez pareſfeux a punir;	Reconnaissez les donc, et par leur providence Si vous êtes leur fils, imitez leur prudence, Regliez -vous à leur sens, soyez à l'avenir Coive soustes poyez paresseux a punir;
Sinon aſſeurez-vous que vous & voſtre race Leur ſeruirez de butte aux traits de leur diſgrace:	Sinon assurez-vous que vous et votre race Leur servirez de butte aux traits de leur disgrâce:
LE ROY.	LE ROY.
C'eſt donc la voſtre auis que ſans reſſentiment Ie ſouffre ceſte iniure?	C'est donc la vôtre avis que sans ressentiment Je souffre cette injure?
LE CHANCELIER.	LE CHANCELIER.
Ha!	Ha!
Sire, nullement, Vn Roy trop indulgent, monſtrant qu’il eſt ſans ame, Au lieu de l’eſtimer, merite qu’on le blaſme:	Sire, nullement, Un Roi trop indulgent, montrant qu'il est sans âme, Au lieu de l'estimer, mérite qu'on le blâme:
Mais auſſi la Nature expreſſement deffend Qu'vn pere ſoit cruel enuers ſon propre enfant, Ce n'eſt pas que ie veuille authoriſer l’offence De voſtre fille, aymant contre voſtre deffence;	Mais aussi la Nature expressément défend Qu'un père soit cruel envers son propre enfant, Ce n'est pas que je veuille autoriser l'offense De votre fille, aimant contre votre défense;
Mais, Sire, vous ſçauez que ce venin charmant Trahit noſtre raiſon & noſtre ſentiment, Qu’il n'eſt rien ſi puiſſant qu’vn amour reciproque, C'eſt vn fer qui durcit lors que plus on le chocque, Que vouloir arreſter ce Dieu touſiours errant C’eſt penſer retrancher la gloire d’vn torrent, Impoſer vainement des Loix aux deſtinees, En vn mot, retenir la fuite des annees.	Mais, Sire, vous savez que ce venin charmant Trahit notre raison et notre sentiment, Qu'il n'est rien si puissant qu'un amour reciproque, C'est un fer qui durcit lors que plus on le chocque, Que vouloir arrêter ce Dieu toujours errant C'est penser retrancher la gloire d'un torrent, Imposer vainement des Lois aux destinées, En un mot, retenir la fuite des anères.
Vous penſiez ruïner leurs complots amoureux D'vn viſage ſeuere & d’vn œil rigoureux, Empeſchant qu'vn grand feu n’éclataſt point en flâme, Et qu’vn eſprit ſubtil n’abordaſt point vne ame;	Vous pensiez ruiner leurs complots amoureux D'un visage sévère et d'un œil rigoureux, Empêchant qu'un grand feu n'éclatât point en flamme, Et qu'un esprit subtil n'abordât point une âme;
Mais cét Ange à qui ſeul tous les empeſchemens Ne ſeruent que d'appas & que d’alléchemens, Vous a bien fait ſçauoir qu’il eſt d’autre nature Que tous ces Cupidons que l’on voit en peinture:	Mais cet Ange à qui seul tous les empêchements Ne servent que d'appas et que d'allèchements, Vous a bien fait savoir qu'il est d'autre nature Que tous ces Cupidons que l'on voit en peinture:
Car croyant ſur vn corps voſtre pouuoir preſcrit Il a voulu monſtrer qu’il en a ſur l’eſprit, Et ce couple amoureux dont les cœurs ſont fidelles, Vous monſtre en ſon depart que l’Amour a des aiſles	Car croyant sur un corps votre pouvoir prescrit Il a voulu montrer qu'il en a sur l'esprit, Et ce couple amoureux dont les cœurs sont fidèles, Vous montre en son départ que l'Amour a des ailes
LE ROY.	LE ROY.
Vray ment voſtre diſcours n’a pas beaucoup d’ardeur Vous qui parlez des feux & n’eſles que froideur;	Vrai ment votre discours n'a pas beaucoup d'ardeur Vous qui parlez des feux et n'élles que froideur;
Allez, vous radottez, foible corps, vieille ſouche, Faiſant contrarier le cœur auec la bouche:	Allez, vous radottez, faible corps, vieille souche, Faisant contrarier le cœur avec la bouche:
N’auez vous point de honte?	N'avez -vous point de honte?
ô fantoſme odieux!	ô fantôme odieux!
D’auoir l’amour en bouche & la mort dans les yeut Quoy que vous puiſſiez dire, il eſt tout impoſſible Qu'vn pere à cét affront ne paréſſe ſenſible:	D'avoir l'amour en bouche et la mort dans les yeut Quoi que vous puissiez dire, il est tout impossible Qu'un père à cet affront ne parezse sensible:
Car ne voyez-vous pas que dans ce deshonneur Tout inſenſiblement s’eſcoule mon bon-heur, Que les Roys mes voiſins m’ayant en peu d’eſtime, Diront que ie ne puis regner qu’auec le crime, Ioint que le ſeul eſpoir d'accroiſtre mon Eſtat, Et qu’vn hymen ſortable vn iour me contentât, Eſt tout à fait perdu, ſi par vne vengeance Ie ne donne à mon mal vne foible allegeance:	Car ne voyez-vous pas que dans ce déshonneur Tout insensiblement s'écoule mon bonheur, Que les Rois mes voisins m'ayant en peu d'estime, Diront que je ne puis régner qu'avec le crime, Joint que le seul espoir d'accroître mon État, Et qu'un hymen sortable un jour me contentât, Est tout à fait perdu, si par une vengeance Je ne donne à mon mal faible allé allégeance:
Car ayant dans ce cas trempé ſemblablement Ie les feray punir tous deux également.	Car ayant dans ce cas trempé semblablement Je les ferai punir tous deux également.
LE CHANCELIER.	LE CHANCELIER.
Tel project eſt mauuais, ils ſont dans l’innocence, Puis qu'Amour les conduit, qui n’eſt rien qu’vne enLE ROY.	Tel project est mauvais, ils sont dans l'innocence, Puis qu'Amour les conduit, qui n'est rien qu'une enLE ROY.
fance;	fance;
Impertinent diſcours, penſant faire pour eux Vous les rendez, ce ſemble, encor plus mal heureux, Et voyez comme quoy ce propos les accuſe, En ſuiuant vn enfant ils n’auront point d’excuſe.	Impertinent discours, pensant faire pour eux Vous les rendez, ce semble, encor plus mal heureux, Et voyez comme quoi ce propos les accuse, En suivant un enfant ils n'auront point d'excuse.
LE CHANCELIER.	LE CHANCELIER.
Puis que tous mes conſeils ſe briſent au rocher D’vn cœur dont la pitié n’oſeroit approcher, oire, ſouuenez vous qu'en teſte piotence Qui pouſſe la Nature aux cachots du ſilence, Ceſte foudre appreſtee eſclatera ſur vous, Vous rendant à nos Dieux vn objet de couroux.	Puis que tous mes conseils se brisent au rocher D'un cœur dont la pitié n'oserait approcher, oyre, souvenez vous qu'en tête piotense Qui pousse la Nature aux cachots du silence, Cette foudre apprête éclatera sur vous, Vous rendant à nos Dieux un objet de courroux.
LE ROY.	LE ROY.
Qu'on ne m’en parle plus, il faut que ie prepare La recompenſe digne à cét amour barbare;	Qu'on ne m'en parle plus, il faut que ici prépare La récompense digne à cet amour barbare;
Ils om par trop forcé mon inclination, Differant iuſqu’icy cette punition le n'ay que trop ſonffert;	Ils om par trop forcé mon inclination, Différant jusqu'ici cette punition le n'ai que trop sonffert;
LE CHANCELIER.	LE CHANCELIER.
Du moins comme i’eſpere Vous voux reſſouuiendrez que vous eſtes vnpere;	Du moins comme j'espère Vous voux ressouuiendrez que vous êtes unpère;
LE ROY.	LE ROY.
Ouy, ie vous le promets, comme tel ie pretens Me rendre, & vous auſſi, pareillement contens, Permetez ſeulement que mon cœur ſe deſcharge:	Oui, Seigneur vous le promets, comme tel a pretens Me rendre, et vous aussi, pareillement contens, Permetez seulement que mon cœur se décharge:
Eſcoutez Lucidan, ie vous donne la charge D’enuoyer promptement des gens de toutes parts, Gens qui foulent aux pieds la crainte des hazards, A fin de les treuuer, attendant le ſalaire Dont te veux honorer ceux qui me ſçauent plaire, Pour vous, ſoyez certain d’auoir doreſnauant Au centre des grandeurs, le bon heur pour ſuiuant.	Écoutez Lucidan, je vous donne la charge D'envoyer promptement des gens de toutes parts, Gens qui foulent aux pieds la crainte des hasards, A fin de les trouver, attendant le salaire Dont te veux honorer ceux qui me savez plaire, Pour vous, soyez certain d'avoir dorénavant Au centre des grandeurs, le bon heur pour suivant.
LVCIDAN.	LUCIDAN.
Voſtre Majeſté, Sue, enpeujeratertuine Dans ſes iuſtes ſouhaits, des effets de ma peine, L’ardeur de vous ſeruir qui me va recreant, Me les fera chercher iuſque dans le neant.	Votre Majesté, Sue, enpeujératertuine Dans ses justes souhaits, des effets de ma peine, L'ardeur de vous servir qui me va recevant, Me les fera chercher jusque dans le néant.
CLARINDOR.	CLARINDOR.
Sire, ces eſtrangers, auec vn œil ſi triſte Qu'on diroit que le dueil s’en va ſuiuant leur piſte, Viennent vous retreuuer,	Sire, ces étrangers, avec un œil si triste Qu'on dirait que le deuil s'en va suivant leur piste, Viennent vous retreuver,
LE ROY.	LE ROY.
qu'on me les face voir.	qu'on me les face voir.
SCENE IIII.	SCÈNE IIII.
ANAXARTE, FLORIMOND.	ANAXARTE, FLORIMOND.
EBROISLECHANCELIER.	EBROISLECHANCELIÈR.
ANAXARTE.	ANAXARTE.
Rand Roy noſtre ſouhait vous donne le bon ſoir;	Rand Roi notre souhait vous donne le bon soir;
LE ROY.	LE ROY.
Conſiderez amis, à quel poinct la fortune M'a fait ſentir l’effort de ſa haine importune;	Considérez amis, à quel point la fortune M'a fait sentir l'effort de sa haine importune;
Voyez vn pauure Prince eſdaue des douleurs, A qui le ſort reſerue vn long regne de pleurs, Qui n'a rien prés de luy que le dueil qui ſouſpire.	Voyez un pauvre Prince esdaue des douleurs, À qui le sort réserve un long rés de pleurs, Qui n'a rien près de Seigneur que le deuil qui soupire.
A peine auois-ie encor' les reſnes de l’empire, Que des hommes meſchans & pleins de trahiſon, A qui la loyauté paréſſoit vn poiſon, Troublerent mon eſtat de cent guerres ciuiles En iettant le diſcord dans mes meilleures villes, Et que ceux dont mon pere auoit acquis la foy Oubliant leurs deuoirs ne fuſſent contre moy.	À peine avais-je encor les résoutes de l'empire, Que des hommes méchants et pleins de trahison, À qui la loyauté paréssoit un poison, Troublèrent mon état de cent guerres civiles En jettant le discord dans mes meilleures villes, Et que ceux dont mon père avait acquis la foi Oubliant leurs devoirs ne fussent contre moi.
Qui m’euſt veu dans ce temps, n’euſt-il pas creuſans doute Que mon Empire alloit dans ſa proche déroute, Qu'vn Dieu dans cét inſtant ne l’euſt pû ſecourir, Et que ie n’eſtois né que pour le voir mourir?	Qui m'eût vu dans ce temps, n'eût-il pas crusant doute Que mon Empire allait dans sa proche déroute, Qu'un Dieu dans cet instant ne l'eût pu secourir, Et que sans n'étais né que pour le voir mourir?
Mais ce Prince des Cieux, ce celeſte Monarque,	Mais ce Prince des Cieux, ce céleste Monarque,
Qui ſçait donner des Loiz au temps & à la Parque.	Qui sais donner des Loiz au temps et à la Parque.
D’vn effet qu’vn mortel n’oſeroit conceuoir Ioignit mon innocence à ſon diuin pouuoir, Perdit tous les deßeins des ames criminelles Qu'vn Demon pour me perdre auoit fait infidelles, Diſſipa les projets d’vn tas de Courtiſans Que l’infidelité faiſoit ſes partiſans;	D'un effet qu'Hommes mortel n'oserait concevoir Joignit mon innocence à son divin pouvoir, Perdit tous les défeins des âmes criminelles Qu'un Démon pour me perdre avait fait infidèles, Dissipa les projets d'un tas de Courtisans Que l'infidélité faisait ses partisans;
Si que tout ieune encor égalant vn Alcide I’eſtouffay le pouuoir de ce monſtre perfide De la rebellion, qui treuua ſon tombeau Par le vouloir du Ciel en mon foible berceau:	Si que tout jeune encor égalant un Alcide J'étouffai le pouvoir de ce monstre perfide De la rébellion, qui trouva son tombeau Par le vouloir du Ciel en mon faible berceau:
Et quelque temps apres que la ſuite de l’âge M’euſt donné plus de force auecque plus d’vſage, En d’eſtranges climats par des exploits guerriers Ie me fis des chemins ombragez de Lauriers, Ie me fis redouter chez les plus puiſſans Princes Augmentant mon Eſtat d’vn nombre de Prouinces;	Et quelque temps après que la suite de l'âge M'eût donné plus de force avec plus d'usage, En d'étranges climats par des exploits guerriers -Je me fis des chemins ombragés de Lauriers, Je me fis redouter chez les plus puissants Princes Augmentant mon État d'un nombre de Provinces;
Par tout où ie paſſois on voyoit à ma Cour Ainſi qu'vn puiſſant Dieu la Fortune & l’Amour, L’honneur, & la vertu faiſoient mon equipage, L’Amour prenoit plaiſir à me ſeruir de Page, Mes exploits me mettoient au rang des immortels, Pendant que le renom m'eſleuoit des Autels, Et qu’on diſoit par tout que le braue Licandre Ne voyoit point de prix qu’il ne voulut preténdre:	Par tout où tu passais on voyait à ma Cour Ainsi qu'un puissant Dieu la Fortune et l'Amour, L'honneur, et la vertu faisaient mon équipage, L'Amour prenait plaisir à me servir de Page, Mes exploits me mettaient au rang des immortels, Pendant que le renom m'élevait des Autels, Et qu'on disait par tout que le brave Licandre Ne voyait point de prix qu'il ne voulut prétendre:
De ſorte qu’on croyoit que parmy les combats La victoire & l’honneur m’alloient tendant les bras En ce temps bien-heureux les enfans de memoire --	De sorte qu'on croyait que parmi les combats La victoire et l'honneur m'allaient tendant les bras En ce temps bienheureux les enfants de mémoire --
Auoient aſſez à faire à publier ma gloire, Car en cette ſaiſon mon courage ſans pris Me rendoit immortel chez tous les beaux eſprits:	Avaient assez à faire à publier ma gloire, Car en cette saison mon courage sans pris Me rendait immortel chez tous les beaux esprits:
Et ſi toſt que l on veit la bonne deſtinee Arreſter ma valeur dans le lict d’hymenee.	Et si tôt que l on vit la bonne destine Arrêter ma valeur dans le lit d'hyménée.
Vn Prince qui s’eſtoit ſouleué contre moy Apprit ce que c’eſtoit que d’irriter vn Roy, Son chef me reſpondit de ſon outrecuidence, Et ſon ſang reſpendu noya ſon imprudence;	Un Prince qui s'était soulevé contre moi Apprit ce que c'était que d'irriter un Roi, Son chef me répondit de son outrecuidence, Et son sang répendu noya son imprudence;
Voila donc mon eſtat paiſible tout à fait:	Voila donc mon état paisible tout à fait:
Mais comme le bon-heur eſt touſiours imparfait, Que d’eſtre bien-heureux c’eſt auoir fait vn ſonge, Qu'vn plaiſir veritable eſt plus faux qu’vn menſonge.	Mais comme le bonheur est toujours imparfait, Que d'être bienheureux c'est avoir fait un songe, Qu' plaisir véritable est plus faux qu'Han mensonge.
Cette orgueilleuſe mort qui par puiſſants reſſorts Partage auec les Dieux nos ames & nos corps, Me rauit mon eſpouſe, apres auoir eu d’elle Pour gage de nos feux vne fille tres belle, Mais deſobeyſſante, en ſuiuant vn Amant Qui donne ſon honneur à ſon contentement, Amant plus amoureux de ces propres delices, Qu’il n’eſt pas de ma fille object de ſes malices, Et qui venant vn iour inconneu dans ma Cour, Pratiqua meſchamment ceſte perfide amour.	Cette orgueilleuse mort qui par puissants ressorts Partage avec les Dieux nos âmes et nos corps, Me ravit mon épouse, après avoir eu d'elle Pour gage de nos feux une fille très belle, Mais désobéissante, en suiuant un Amant Qui donne son honneur à son contentement, Amant plus amoureux de ces propres délices, Qu'il n'est pas de ma fille object de ses malices, Et qui venant un jour inconnu dans ma Cour, Pratiqua méchamment cette perfide amour.
O Ciel!	Ô Ciel!
falloit-il donc qu’vne flamme furtiue Deſrobât le reſpect à cette fugitiue, Que tu triomphes mal, Prince en ta laſcheté, De ſon obeyſſance & de ſa chaſteté?	fallait-il donc qu'une flamme furtive Desrobât le respect à cette fugitive, Que tu triomphes mal, Prince en ta lâcheté, De son obéissance et de sa chasteté?
Excuſez tous ces pleurs que ma triſteſſe marque, L’action eſt d’vn pere & non pas d’vn Monarque, Donc apres tant d’aſſauts que tardez vous ô ſort, A chaſſer mes ſoucis en me donnant la mort?	Excusez tous ces pleurs que ma tristesse marque, L'action est d'un père et non pas d'un Monarque, Donc après tant d'assauts que tardez vous ô sort, A chasser mes soucis en me donnant la mort?
Helas!	Hélas!
ie n'en puis plus, ma parole eſt caſſee, Chancelier pourſuiuez vous ſçauez ma penſee.	Ce n'en puis plus, ma parole est cassée, Chancelier poursuivez vous savez ma pensée.
LE CHANCELIER.	LE CHANCELIER.
Meſſieurs, ſa Majeſté fachee tout à fait Qu'vne telle ambaſſade ait eſté ſans effet, Vous prie d’aſſeurer le Prince voſtre maiſtre, Que nonobſtant le dueil que vous voyez paréſlre Dans ceſte illuſtre Cour, où regnent les douleurs Qui noyent les plaiſirs dans vn fleuue de pleurs, Dont la ſource iamais ne ſe verra finie (Par le rauiſſement de ſa fille Vranie) Par laquelle il vouloit nous vnir deſormais Auec nos deux eſtats par vn lien de paix.	Messieurs, sa Majesté fâchée tout à fait Qu'une telle ambassade ait été sans effet, Vous prie d'assurer le Prince votre maître, Que nonobstant le deuil que vous voyez paréslre Dans cette illustre Cour, où règnent les douleurs Qui noient les plaisirs dans un fleuve de pleurs, Dont la source jamais ne se verra finie (Par le ravissement de sa fille Vranie) Par laquelle il voulait nous unir désormais Auec nos deux états par un lien de paix.
Il ne laiſſe pourtant d’auoir dans la memoire Noſtre douce amitié qui nous comble de gloire.	Il ne laisse pourtant d'avoir dans la mémoire Notre douce amitié qui nous comble de gloire.
Que l’honneur que luy fait voſtre inuincible Roy Dedans ceſte recherche, aſſeurera la foy Que nous auons iuree à voſtre Pheacie, Foy que la trahiſon ne verra point noircie, Et qu’on verra pareſtre en ce dueil nompareil Comme dans vn nuage on voit luire vn Soleil;	Que l'honneur que deux fait votre invincible Roi Dedans cette recherche, assurera la foi Que nous avons jure à votre Pheacie, Foi que la trahison ne verra point noircie, Et qu'on verra paraître en ce deuil nompareil Comme dans un nuage on voit luire ux Soleil;
Et le premier des Roys qui ſera refractaire A la fidelité d’vn ſi ſacré miſtere, Celuy dont le pouuoir à la iuſtice eſt ioint Reduiſe incontinent ce perfide à tel point.	Et le premier des Rois qui sera réfractaire À la fidélité d'un si sacré mire, Celui dont le pouvoir à la justice est joint Réduise incontinent ce perfide à tel point.
Que ſa preſence ſoit au deſaſtre importune, Et que le mal-heur ſoit ſa meilleure fortune, Sire, eſt ce pas l’Arreſt de voſtre volonté, Que ie prononce au nom de voſtre Majeſté?	Que sa présence soit au désastre importune, Et que le malheur soit sa meilleure fortune, Sire, est ce pas l'Arrest de votre volonté, Que je prononce au nom de votre Majesté?
LE ROY.	LE ROY.
Ouy, tel eſt mon deſir, & leur dire de bouche Malgré cét accident dont la rigueur me touche, Que ie ſuis leur amy, que les Pheaciens Qui touſiours ont paru nos amis anciens, Et de qui la vertu ne m’eſt que trop connuë, Vſeront comme moy de puiſſance abſolue, Sur cét Empire acquis à leur deuotion, Empire où maintenant regne l’affliction.	Oui, tel est mon désir, et leur dire de bouche Malgré cet accident dont la rigueur me touche, Que ie suis leur ami, que les Pheaciens Qui toujours ont par nos vis anciens, Et de qui la vertu ne m'est que trop connue, Vseront comme moi de puissance absolue, Sur cet Empire acquis à leur dévotion, Empire où maintenant règne l'affliction.
ANAXARTE.	ANAXARTE.
Sire voſtre douleur n’en n’a point de ſeconde, Elle tire auec ſoy celle de tout le monde, Nous ne condamnons point ce doux ſoulagement, Et la douleur nous porte à ce reſſentiment;	Sire votre douleur n'en n'a point de seconde, Elle tire avec soi celle de tout le monde, Nous ne condamnons point ce doux soulagement, Et la douleur nous porte à ce ressentiment;
mes Ioint que tous les diſcours n’ont que des foibles charPour arreſter le cours de tant de iuſles larmes;	mes Joint que tous les discours n'ont que des faibles charPour arrêter le cours de tant de jusles larmes;
Il faut pour voir icy voſtre dueil abbatu Oppoſer à ces coups voſtre propre vertu, Affronter la fortune auec voſtre aſſeurance, Et ſes trais inconſtans auec voſtre conſtance, Moderer les tranſports de vos emotions, Et comme vos ſujets dompter vos paſſions.	Il faut pour voir ic y dueil abattu Opposer à ces coups vôtre propre vertu, Affronter la fortune avec votre assurance, Et ses trais inconstants auec taît constance, Modérer les transports de vos émotions, Et comme vos sujets dompter vos passions.
LE ROY.	LE ROY.
Senereux Caualier que vos conſeils me plaiſent, Mais de s’imaginer que leurs effets appaiſent Le regret que l’ennuy me nourrit au dedans, Et qui me fait ietter des ſouſpirs tous ardens;	Sénéreux Cavalier que vos conseils me plaisent, Mais de s'imaginer que leurs effets apaisent Le regret que l'ennui me nourrit au dedans, Et qui me fait jeter des soupirs tous ardents;
C’eſt autant que vouloir eſtre immortel au monde, Ou baſtir ſur le ſable ou grauer deſſus l’onde, La conſolation m’eſt comme la poiſon.	C'est autant que vouloir être immortel au monde, Ou bâtir sur le sable ou graver dessus l'onde, La consolation m'est comme la poison.
FLORIMOND.	FLORIMOND.
Comme voſtre triſteſſe eſt ſans comparaiſon, Voſtre conſtance auſſi pour auoir l’auantage Sur les afflictions doit monſtrer ſon couragé.	Comme votre tristesse est sans comparaison, Votre constance aussi pour avoir l'avantage Sur les afflictions doit montrer son couragé.
Sire, ſongez pluſtoſt à venger cét affront Dont la marque noircit l’honneur de voſtre front, Monſtrés que voſtre voix vaut autant qu’vn tonnerres Que ſeul vous poſſedez la force de la guerre?	Sire, songez plutôt à venger cet affront Dont la marque noircit l'honneur de votre front, Monstrés que votre voix vaut autant qu'un tonnerres Que seul vous possédez la force de la guerre?
Faites courir ſur eux vn nombre de vaiſſeaux, Et que voſtre pouuoir couure toutes les eaux.	Faites courir sur eux un nombre de vaisseaux, Et que votre pouvoir couvre toutes les eaux.
De nous pour ſatisfaire à ce qui nous oblige D'aſſiſter nos amis qu’vn accident afflige, Nous boucherons par tout nos havres & nos ports Nous mettrons des Soldats dans nos Châſteaux plus forts, Nous n’eſpargnerõs rien pour les pouuoir ſurprẽdre Si dans noſtre pays ce couple ſe vient rendre, Car noſtre air ſeulement leur doit eſtre fatal.	De nous pour satisfaire à ce qui nous oblige D'assister nos amis qu'un accident afflige, Nous boucherons par tout nos havres et nos ports Nous mettrons des Soldats dans nos Châteaux plus forts, Nous n'épargner ainsi pour les pouvoir surprendre Si dans notre pays ce couple se vient rendre, Car notre air seulement leur doit être fatal.
Pendant que noſtre Prince enſuiuant ſon riual Animé de courroux luy fera laſcher priſe, Le faiſant repentir de ſa folle entrepriſe, Et malgré les ardeurs qu’il nourrit en ſon cœur, Son amour ſe perdra dans ſon peu de vigueur.	Pendant que notre Prince ensuivant son rival Animé de courroux était fera lâcher prise, Le faisant repentir de sa folle entreprise, Et malgré les ardeurs qu'il nourrit en son cœur, Son amour se perdra dans son peu de vigueur.
ANAXARTE.	ANAXARTE.
Grand Prince cependant reprenez ce viſage Où le contentement alloit trompant voſtre âge, Ces inutiles pleurs troublent voſtre raiſon.	Grand Prince cependant reprenez ce visage Où le contentement allait trompant votre âge, Ces inutiles pleurs troublent votre raison.
LE ROY.	LE ROY.
v os tomeuts mnaintenani ne jont pims de jaijon;	 os tomeuts mnaintenani ne jont pims de jaijon;
Que puis-ie en cét eſtat que pleurer & me plaindre?	Que puis-je en cet état que pleurer et me plaindre?
ANAXARTE.	ANAXARTE.
Le courage d’vn Roy ſe doit touſiours contraindre.	Le courage d'un Roi se doit toujours contraindre.
LE ROY.	LE ROY.
Contraindre, helas!	Contraindre, hélas!
mes ſens vains, foibles, étourdis, Ne ſont plus vigoureux comme il furent iadis, L’extreme affliction m’a priué de conſtance, Et ie ne ſuis plus rien qu’vn objet d'impuiſſance Qui ne vit ſeulement que du reſſouuenir D'eſtre voſtre allié.	mes sens vains, faibles, étourdis, Ne sont plus vigoureux comme il furent jadis, L'extrême affliction m'a privé de constance, Et je ne suis plus rien qu'un objet d'impuissance Qui ne vit seulement que du ressouvenir D'être vôtre allié.
ANAXARTE.	ANAXARTE.
Le Ciel veille benir Voſtre amitié, Grand Roy, digne qu’vn Dieu la priſe, Et que le bon heur meſme enſemble l’autboriſe.	Le Ciel veille bénir Otre amitié, Grand Roi, digne qu'un Dieu la prise, Et que le bon heur même ensemble l'autorise.
