PREFACE	PRÉFACE
S’il ſçavoit comme vous ce Camp ſi factieux Par quel coup on m’oblige, & par quellé victime D'expier le ſoupçon de je ne ſçay quel crime, Il me plaindroit lans doute au lieu de m’inſulter, Et retiendroit la main qui doit l’executer.	S'il savait comme vous ce Camp si factieux Par quel coup on m'oblige, et par quellé victime D'expier le soupçon de je ne sais quel crime, Il me plaindrait lans doute au lieu de m'insulter, Et retiendrait la main qui doit l'exécuter.
Le cœur d’Agamemnon a ſon devoir fidele Pour les Dieux, pour le Camp ne manque point de zele, Mais enfin ne peut-on par de plus doux moyens Faire paſſer les Grecs ſur les murs des I’royens, Ne puis je ſans me perdre avoir les Dieux propices?	Le cœur d'Agamemnon a son devoir fidèle Pour les Dieux, pour le Camp ne manque point de zèle, Mais enfin ne peut-on par de plus doux moyens Faire passer les Grecs sur les murs des J'royens, Ne puis je sans me perdre avoir les Dieux propices?
MENELAS.	MENELAS.
A Diane on a fait de nouveaux Sacrifices, Mais ſi de ce beau lang l’Autel n’eſt arroſé, Nous ne verrons jamais ſon couroux appaiſé;	À Diane on a fait de nouveaux Sacrifices, Mais si de ce beau lang l'Autel n'est arrosé, Nous ne verrons jamais son couroux apaisé;
Iphigenie enfin eſt la ſeule victime.	Iphigénie enfin est la seule victime.
AGAMEMNON.	AGAMEMNON.
Diane veut ſon ſang?	Diane veut son sang?
helas!	hélas!
& pour quel crime, Qu’ay-je dit, qu’ay-je fait pour l’aigrir contre moy, Juſqu’à me demander plus que je ne luy doy.	et pour quel crime, Qu'ai-je dit, qu'ai-je fait pour l'aigrir contre moi, Jusqu'à me demander plus que je neeste dois.
Je ſeray donc puni, je ſeray miſerable Sans ſçavoir, ſans ſentir ce qui me rend coupable, J’immoleray mon ſang, & mon cœur deſolé T’aura qu’un vain regret de l’avoir immolé?	Je serai donc puni, je serai misérable Sans savoir, sans sentir ce qui me rend coupable, J'immolerai mon sang, et mon cœur désolé T'aura qu'un vain regret de l'avoir immolé?
MENELAS.	MENELAS.
C’eſt un ordre du Ciel, & quand le Ciel ordonne Il veut qu’on obeïſſe, & non pas qu’on raiſonne.	C'est un ordre du Ciel, et quand le Ciel ordonne Il veut qu'on obéisse, et non pas qu'on raisonne.
Livrez Iphigenie au maiſtre de ſon ſort;	Livrez Iphigénie au maître de son sort;
Croyez puis qu’il le dit qu’elle eſt digne de mort, Pour ſes Autels ſacrez Diane la demande, Croyez que la Déeſſe eſt digne de l’offrande, Et qu’on la doit peut-eſtre à ſa Divinité Moins pour voſtre forfait que pour ſa pureté.	Croyez puis qu'il le dit qu'elle est digne de mort, Pour ses Autels sacrés Diane la demande, Croyez que la Déesse est digne de l'offrande, Et qu'on la doit peut-être à sa Divinité Moins pour votre forfait que pour sa pureté.
Si vous luy refuſez le ſang d’Iphigenie, Le Ciel vous ravira ce ſang qu’on luy dénie.	Si vous lui refusez le sang d'Iphigénie, Le Ciel vous ravira ce sang qu'on avait dénie.
Helas!	Hélas!
AGAMEMNON.	AGAMEMNON.
MENELAS.	MENELAS.
Quoy?	Quoi?
vous pleurez?	vous pleurez?
AGAMEMNON.	AGAMEMNON.
Heureux, qui comme vous N’exhorte qu’à ſouffrir, & ne ſent pas les coups, J’avois crû que mes vœux, & que Calcas luy-meſme Trouveroit un remede à mon malheur extréme, Mais je voy que du Ciel l’Arreſt eſt abſolu;	Heureux, qui comme vous N'exhorte qu'à souffrir, et ne sent pas les coups, J'avais crû que mes vœux, et que Calcas lui-même Trouverait un remède à mon malheur extrême, Mais je vois que du Ciel l'Arrest est absolu;
Aprés tant de combats m’y voila reſolu, La Nature a cedé, le devoir la ſurmonte.	Après tant de combats m'y voilà résolu, La Nature a cédé, le devoir la surmonte.
Dans uie neure au plus tard je fais partir Oronte.	Dans neure au plus tard je fais partir Oronte.
J’écris à Clytemneſtre, un Hymen ſpecieux Va conduire la Mere & la Fille en ces lieux.	J'écris à Clytemnaître, un Hymen spécieux Va conduire la Mère et la Fille en ces lieux.
Vous pouvez à Calcas en porter la nouvelle.	Vous pouvez à Calcas en porter la nouvelle.
MENELAS.	MENELAS.
Je vous plains & ne puis qu’admirer voſtre zele.	Je vous plains et ne puis qu'admirer votre zèle.
SCENE III.	SCÈNE III.
AGAMEMNON.	AGAMEMNON.
ORONTE.	ORONTE.
AGAMEMNON.	AGAMEMNON.
DArbare qu’as-tu dit?	DArbare qu'as-tu dit?
tu veux verſer ton ſang?	tu veux verser ton sang?
Es-tu juſqu’à ce point eſclave de ton rang?	Es-tu jusqu'à ce point esclave de ton rang?
La Grece des Troyens veut punir l’arrogance, Mais de cet appareil dreſſé pour ſa vangeance Monarque infortuné, quel fruit eſperes tu, S’ils triomphent désja ſans avoir combattu, Si tu verſes ton ſang pour expier leur crime, Si ta Fille devient leur premiere Victime, Si pour premier exploit ton courage inhumain, Ne peut les approcher qu’en luy perçaut le ſein?	La Grèce des Troyens veut punir l'arrogance, Mais de cet appareil dressé pour sa vengeance Monarque infortuné, quel fruit espères -tu, S'ils triomphent déjà sans avoir combattu, Si tu verses ton sang pour expier leur crime, Si ta Fille devient leur première Victime, Si pour premier exploit ton courage inhumain, Ne peut les approcher qu'en était perçaut le sein?
Quoy donc, le choix des Grecs m’aura rendu leur Maiſtre Pour eſtre l’aſſaſſin de ce que j’ay fait naiſtre?	Quoi donc, le choix des Grecs m'aura rendu leur Maître Pour être l'assassin de ce que j'ai fait naître?
Ah!	Ah!
ſubſiſte plûtoſt le ſuperbe Ilion, Periſſe tout le Camp par ma rebellion, Et dûſſions nous du Ciel épuiſer la colere, Vivons, mourons en Roy ſans ceſſer d’eſtre Pere.	subsiste plutôt le superbe Ilion, Périsse tout le Camp par ma rébellion, Et dussions nous du Ciel épuiser la colère, Vivons, mourons en Roi sans cesser d'être Père.
Non, je n’avoüray point cet écrit criminel Qui feroit à mon ame un reproche eternel, Je vay dans ce moment par un ordre contraire Et conſerver la Fille & prevenir la Mere, J’ay trouvé le ſecret d’établir mon repos, Vien recevoir ma lettre, & partir pour Argos.	Non, je n'avouerai point cet écrit criminel Qui ferait à mon âme un reproche éternel, Je vais dans ce moment par un ordre contraire Et conserver la Fille et prévenir la Mère, J'ai trouvé le secret d'établir mon repos, Vien recevoir ma lettre, et partir pour Argos.
Pour la derniere fois tu triomphes Nature, Que les Dieux indignez accablent un parjure, Lorſqu’ils m’oſent preſcrire un coup qui fait horreur Il vaut mieux meriter que ſervir leur fureur.	Pour la dernière fois tu triomphes Nature, Que les Dieux indignés accablent un parjure, Lorsqu'ils m'osent prescrire un coup qui fait horreur Il vaut mieux mériter que servir leur fureur.
Fin du premier Acte.	Fin du premier Acte.
A ( I	À ( I
SCENE PREMIERE.	SCÈNE PREMIÈRE.
JELQUE ordre que j’envoye afin que dans Aulide nra Filſe vienne avecque vous, Ne conſentez jamais à cet ordre perfide, Son ſang doit de Diane appaiſer le coufoux;	JELQUE ordre que j'envoie afin que dans Aulide nra Filse vienne avec vous, Ne consentez jamais à cet ordre perfide, Son sang doit de Diane apaiser le couffoux;
Mais je mourray plûtoſt que d’eſtre parricide.	Mais je mourrai plutôt que d’être parricide.
AGAMEMNON.	AGAMEMNON.
C’eſt-là ce ſecours tant promis O Frere plus cruel que tous nos ennemis!	C'est-là ce secours tant promis Ô Re plus cruel que tous nos ennemis!
SCENE II.	SCÈNE II.
AGAMEMNON.	AGAMEMNON.
MENELAS.	MENELAS.
AGAMEMNON.	AGAMEMNON.
E vous trouve interdit, querle railon preſſante Vous fait ſi promptement revenir dans ma tente?	E vous trouve interdit, querle railon pressante Vous fait si promptement revenir dans ma tente?
MENELAS.	MENELAS.
Ce prompt retour, Seigneur, n’eſt pas ſans fondement, Jettez ſur cette lettre un regard ſeulement.	Ce prompt retour, Seigneur, n'est pas sans fondement, Jettez sur cette lettre un regard seulement.
AGAMEMNON.	AGAMEMNON.
C’eſt ma lettre, que vois-je?	C'est ma lettre, que vois-je?
Oronte eſt donc un traître?	Oronte est donc un traître?
MENELAS.	MENELAS.
Il eſt dans ſon devoir plus conſtant que ſon Maître, A garder cet écrit il eſtoit obſtiné, Je l’ay plûtoſt ravi qu’il ne me l’a donné.	Il est dans son devoir plus constant que son Maître, A garder cet écrit il était obstiné, Je l'ai plutôt ravi qu'il ne me l'a donné.
Le voila cet écrit injuſte & temeraire, Deſavoüez-le encor ſi vous pouvez mon frere, Le tendre avis qu’il porte etale aux yeux de tous Cette forte amitié que vous avez pour nous.	Le voilà cet écrit injuste et téméraire, Désavouez-le encor si vous pouvez mon frère, Le tendre avis qu'il porte etale aux yeux de tous Cette forte amitié que vous avez pour nous.
AGAMEMNON.	AGAMEMNON.
Quoy?	Quoi?
vous avez donc eu l’orgueil & l’inſolence D’arraD'arracher ce ſecret avecque violence?	vous avez donc eu l'orgueil et l'insolence D'arraD'arracher ce secret avec violence?
Qu'avez-vous fait d’Oronte?	Qu'avez-vous fait d'Oronte?
MENELAS.	MENELAS.
Il eſt en mon pouvoir, Et quand il ſera temps on vous le fera voir.	Il est en mon pouvoir, Et quand il sera temps on vous le fera voir.
Je ſuis Roy comme vous, né dans l’independance, Que ſi vous exercez la ſupréme puiſſance, Vous la tenez de nous, vous la tener d'un choix, Qui pourroit bien encor tomber ſur d’autres Rois.	Je suis Roi comme vous, né dans l'indépendance, Que si vous exercez la suprême puissance, Vous la tenez de nous, vous la tener d'un choix, Qui pourrait bien encor tomber sur d'autres Rois.
AGAMEMNON.	AGAMEMNON.
Temeraire;	Teméraire;
mais non je retiens ma colere Ingrat, & ſens encor que je ſuis voſtre frere.	mais non je retiens ma colère Ingrat, et sens encor que je suis votre frère.
MENELAS.	MENELAS.
Devrois-je point flater voſtre eſprit inégal, Aux Grecs, à noſtre gloire, à vous meſme fatal?	Devrais-je point flatter votre esprit inégal, Aux Grecs, à notre gloire, à vous même fatal?
Quand Diane exigea le ſang d’Iphigenie Pour voir de tout un Camp la miſere finie, Vous paruſtes alors plus prompt à l’accorder Que le ſage Calcas à vous le demander.	Quand Diane exigea le sang d'Iphigénie Pour voir de tout un Camp la misère finie, Vous parûtes alors plus prompt à l'accorder Que le sage Calcas à vous le demander.
On reſolut chez vous, que le prudent Ulyſſe Se rendroit dans Argos, & d’un ſage artifice Conduiroit doucement la Victime en ces lieux Sous le voile emprunté de l’Hymen ſpecieux, Qui pour combler le Camp d’une juſte allegreſſe Devoit unir Achille avee cette Prineene:	On résolut chez vous, que le prudent Ulysse Se rendrait dans Argos, et d'un sage artifice Conduirait doucement la Victime en ces lieux Sous le voile emprunté de l'Hymen spécieux, Qui pour combler le Camp d'une juste allégresse Devoit un Achille avée cette Prineene:
Lors qu’Ulyſſe fut preſt, vous ne vouluſtes plus, Et ce Chef indigné de ce ſoudain refus Abandonna le Camp, & fait par ſon abſence De ſes heureux conſeils regretter la prudence:	Lors qu'Ulysse fut prêt, vous ne voulûtes plus, Et ce Chef indigné de ce soudain refus Abandonna le Camp, et fait par son absence De ses heureux conseils regretter la prudence:
Enfin ne tenant rien quoy qu’il promette tout, Agamemnon reſiſte à tout ce qu’il reſout.	Enfin ne tenant rien quoi qu’il promette tout, Agamemnon résiste à tout ce qu'il résout.
Ou refuſez, Seigneur, avec pleine aſſeurance, u ne nouo nattes prue d uno lume eſperance.	Ou refusez, Seigneur, avec pleine assurance, u ne nouvo nattes prue d ô lume espérance.
AGAMEMNON.	AGAMEMNON.
Cruel, voſtre intereſt plus puiſſant que le mien Ne prodigue qu’un ſang qui ne luy coûte rien:	Cruel, votre intérêt plus puissant que le mien Ne prodigue qu'un sang qui ne toujours coûte rien:
Vous voulez reparer le deſordre d’Helene En donnant à ma Fille une mort inhumaine, Et lors que par ſurpriſe on m’y fait conſentir Vous oſez condamner juſqu’à mon repentir?	Vous voulez réparer le désordre d'Hélène En donnant à ma Fille une mort inhumaine, Et lors que par prise on m'y fait consentir Vous osez condamner jusqu'à mon repentir?
Nommez ce repentir une fauſſe ſageſſe Funeſte a mon honneur & fatale à la Grece, La voſtre eſt bien plus fauſſe en révant nuit & jour A l’ingrate moitié qui rit de voſtre amour;	Nommez ce repentir une fausse sagesse Funeste à mon honneur et fatale à la Grèce, La vôtre est bien plus fausse en révant nuit et jour A l'ingrate moitié qui rit de votre amour;
ou noude eut du touo lanc ouonentous ſes charmes, Et nous devrions rougir de vous preſter nos armes.	ou nouvde eut du touo lanc ouonentous ses charmes, Et nous devrions rougir de vous prêter nos armes.
MENELAS.	MENELAS.
Pouvez-vous l’accuſer & ſçavoir que ſon cœur, N’aime & ne peut jamais aimer ſon raviſſeur?	Pouvez-vous l'accuser et savoir que son cœur, N'aime et ne peut jamais aimer son ravisseur?
AGAMEMNON.	AGAMEMNON.
Qu'elle ſoit criminelle, ou pleine d’innocence, Ma Fille ne doit point mourir pour ſa vangeance.	Qu'elle soit criminelle, ou pleine d'innocence, Ma Fille ne doit point mourir pour sa vengeance.
MENELAS.	MENELAS.
Ah!	Ah!
vous n’en eſtes pas encor où vous penſez, J’ay pour moy tout le Camp, & les Dieux couroucez.	vous n'en êtes pas encor où vous pensez, J'ai pour moi tout le Camp, et les Dieux couroucez.
AGAMEMNON.	AGAMEMNON.
Que les Dieux ſoient pour vous, que le Camp ſe muti ne, J’attendray ſans trembler le coup de ma ruïne, l’y pourray Menelas peut-eſtre envelopper Les Mutins dont l’audace oſera s’échapper;	Que les Dieux soient pour vous, que le Camp se muti ne, J'attendrai sans trembler le coup de ma ruine, l'y pourrai Ménélas peut-être envelopper Les Mutins dont l'audace osera s'échapper;
Prevenez ce deſordre, où vous m’en rendrez conte.	Prévenez ce désordre, où vous m'en rendrez compte.
Cependant ſans tarder que l’on délivre Oronte, Pour me le renvoyer retournez ſur vos pas, Ou moy-meſme j’iray l'arracher de vos bras, Adieu.	Cependant sans tarder que l'on délivre Oronte, Pour me le renvoyer retournez sur vos pas, Ou moi-même j'irai l'arracher de vos bras, Adieu.
SCENE III.	SCÈNE III.
MENELAS ſeul.	MENELAS seul.
CIEL, ſe peut-il, qu’en ce deſordre extrême Preſt à me voir perir, preſt à perir luy-meſme, En dépit de l’Oracle, au mépris des Autels Malgré tout le reſpect qu’on doit aux immortels, Agamemnon s’obſtine à garder une offrande Qu’il promit & qu’il doit au Ciel qui la demande.	CIEL, se peut-il, qu'en ce désordre extrême Prêt à me voir périr, prêt à périr h-même, En dépit de l'Oracle, au mépris des Autels Malgré tout le respect qu'on doit aux immortels, Agamemnon s'obstine à garder une offrande Qu'il promit et qu'il doit au Ciel qui la demande.
Ah!	Ah!
ſi ce frere ingrat m’oſe manquer de foy, S’il eſt haï des Dieux, doit-on ſuivre ſa loy?	si ce frère ingrat m'ose manquer de foi, S'il est haï des Dieux, doit-on suivre sa loi?
Il faut changer de Chef pour changer de fortune Et combatre & mourir pour la cauſe commune, Mais que vois-je?	Il faut changer de Chef pour changer de fortune Et combattre et mourir pour la cause commune, Mais que vois-je?
SCENE IV.	SCÈNE IV.
MENELAS.	MENELAS.
OLTSSE.	OLTSE.
MENELAS.	MENELAS.
Esz-CE Ulyſſe?	Esiez-CE Ulysse?
Ouy, c’eſt luy, que les Cieux Dans ce preſſant beſoin preſentent à mes yeux.	Oui, c'est lui, que les Cieux Dans ce pressant besoin présent à mes yeux.
Ulyſſe, c’eſt donc vous, quelque ennuy qui me preſſe, Voſtre abord en ces lieux, y répand l’alegreſſe.	Oui, c'est donc vous, quelque ennui qui me presse, Votre abord en ces lieux, y répand l'allégresse.
ULYSSE.	ULISSE.
Voſtre veuë a dequoy me payer à ſon tour Du plaiſir ſurprenant que vous fait mon retour.	Votre vue a dequoy me payer à son tour Du plaisir surprenant que vous fait mon retour.
Hé bien, Agamemnon a-t’il donc le courage Aprés tant de refus d’achever ſon ouvrage, Et ne verrons nous point triompher ſa vertu De l’aveugle pitié dont il eſt combattu?	Hé bien, Agamemnon a-t-il donc le courage Après tant de refus d'achever son ouvrage, Et ne verrons nous point triompher sa vertu De l'aveugle pitié dont il est combattu?
MENELAS.	MENELAS.
Plus foible que jamais c’eſt un faux magnanime, Qui cherche cent détours pour ſauver la Victime, Et qui verra perir le Camp & les frihis Plûtoſt que de donner le ſang qu’il a promis.	Plus faible que jamais c'est un faux magnanime, Qui cherche cent détours pour sauver la Victime, Et qui verra périr le Camp et les frihis Plutôt que de donner le sang qu'il a promis.
ULYSSE.	ULISSE.
Je l’ay toûjours préveu, que ſa lâche tendreſſe N’accorderoit jamais ce ſecours à la Grece, Auſſi dés que je veis ſon eſprit incertain Me refuſer ſon ordre, & changer de deſſein, Je peignis ſur mon front une feinte colere, J’abandonnay le camp touché de ſa miſere, Et pour executer tout l’ordre concerté, Je courus vers Argos d’un pas precipité;	Je l'ai toujours prévu, que sa lâche tendresse N'accorderait jamais ce secours à la Grèce, Aussi dès que je veis son esprit incertain Me refuser son ordre, et changer de dessein, Je peignis sur mon front une feinte colère, J'abandonnai le camp touché de sa misère, Et pour exécuter tout l'ordre concerté, Je courus vers Argos d'un pas précipité;
Là, pour rendre le luſtre à ſa gloire ternie J’aborday Clytemneſtre, & veis Iphigenie, Le ſeing d’Agamemnon avec art contrefait Remis entre leurs mains produiſit ſon effet;	Là, pour rendre le lustre à sa gloire ternie J'abordai Clytemnaître, et veis Iphigénie, Le seing d'Agamemnon avec art contrefait Remis entre leurs mains produisit son effet;
Par un juſte rapport l’une & l’autre abuſée Prit pour un ordre exprés la lettre ſuppoſée, De l’Hymen propoſé le pretexte trompeur Acheva de gagner leur eſprit & leur cœur, Si bien que de mes ſoins le bonheur où l’adreſſe Aſſeure une Victime au ſalut de la Grece.	Par un juste rapport l'une et l'autre abusée Prit pour un ordre exprès la lettre supposée, De l'Hymen proposé le prétexte trompeur Acheva de gagner leur esprit et leur cœur, Si bien que de mes soins le bonheur où l'adresse Assure une Victime au salut de la Grèce.
MENELAS.	MENELAS.
O ſurpriſe agreable enfin qu’avez-vous fait?	Ô surprise agréable enfin qu'avez-vous fait?
ULYSSE.	ULISSE.
Un coup, dont Menelas doit eſtre ſatisfait, J’ay conduit dans Aulide & la Fille & la Meres	Un coup, dont Ménélas doit être satisfait, J'ai conduit dans Aulide et la Fille et la Mères
MENELAS.	MENELAS.
Elles ſont dans Aulide?	Elles sont dans Aulide?
ULIDSE.	ULIDSE.
Et pour voir voſtre frere S’appreſtent à venir dans ce Camp malheureux, Où les attend un ſort bien contraire à leurs vœux, B iij Elles vont le ſurprendre, & vont eſtre ſurpriſes.	Et pour voir votre frère S'apprêtent à venir dans ce Camp malheureux, Où les attend un sort bien contraire à leurs vœux, B ijOulles vont le surprendre, et vont être surprises.
MENELAS.	MENELAS.
Que vous conduiſez bien toutes vos entrepriſes!	Que vous conduisez bien toutes vos entreprises!
Ce qu’en vain demandoient les Oracles des Cieux, Vous l’avez obtenu pour nous & pour nos Dieux, Et ſans l’heureux ſecours de vos prompts artifices Calcas eût fait en vain de nouveaux ſacrifices.	Ce qu'en vain demandaient les Oracles des Cieux, Vous l'avez obtenu pour nous et pour nos Dieux, Et sans l'heureux secours de vos prompts artifices Calcas eût fait en vain de nouveaux sacrifices.
Enfin, mon frere, enfin ton cœur irreſolu Eſt contraint de vouloir ce qu’il n’a pas voulu, Les ſoins & les détours de ton ame inégale Pour ſuſpendre des Dieux l’Ordonnance fatale, N’ont pü te garantir des coups ſourds & ſecrets Qui vangent le mépris de leurs juſtes decrets.	Enfin, mon frère, enfin ton cœur irrésolu Est contraint de vouloir ce qu'il n'a pas voulu, Les soins et les détours de ton âme ingale Pour suspendre des Dieux l'Ordonnance fatale, N'ont pu te garantir des coups sourds et secrets Qui vengent le mépris de leurs justes décrets.
ULYSSE.	ULISSE.
J'en fais mon ennemy par ce coup temeraire, Mais le Camp me deuſt-il livrer à ſa colere, Seigneur, pour la Patrie il eſt beau de mourir:	J'en fais mon ennemi par ce coup téméraire, Mais le Camp me dût-il livrer à sa colère, Seigneur, pour la Patrie il est beau de mourir:
Lors qu’il l’abandonnoit j’ay dû la ſecourir, Mais il pourra ſe rendre.	Lors qu'il l'abandonnait j'ai dû la secourir, Mais il pourra se rendre.
Achille eſt plus à craindre, J’abuſe de ſon nom, il a droit de ſe plaindre, Un dépit nous pourroit priver de ſon appuy, En le perdant, Seigneur, nous perdons tout en luy.	Achille est plus à craindre, J'abuse de son nom, il a droit de se plaindre, Un dépit nous pourrait priver de son appui, En le perdant, Seigneur, nous perdons tout en lui.
Iphigenie eſt jeune, elle eſt ſage, elle eſt belle, Et le Fils de Thetis peut ſoupirer pour elle, Il la veid dans Argos, y fit quelque ſéjour Et la voir c’eſt aſſez pour prendre de l’amour.	Iphigénie est jeune, elle est sage, elle est belle, Et le Fils de Thétis peut soupirer pour elle, Il la veid dans Argos, y fit quelque séjour Et la voir c'est assez pour prendre de l'amour.
Il faut le prevenir.	Il faut le prévenir.
Je le voy qui s’avance, Laiſſez-nous ſeuls.	Je le vois qui s'avance, Laissez-nous seuls.
SCENE OLYSSE.	SCÈNE OLYSSE.
ACHILLE.	ACHILLE.
ACHILLE.	ACHILLE.
QUEL Dieu nous rend voſtre preſence, Ulyſſe?	QUEL Dieu nous rend votre présence, Ulysse?
en vous voyant, pour ce Camp malheureux Je ne puis qu’eſperer un ſort moins rigoureux Le calme va finir & nous irons à Troye.	en vous voyant, pour ce Camp malheureux Je ne puis qu'espérer un sort moins rigoureux Le calme va finir et nous irons à Troie.
ULYSSE.	ULISSE.
Plûſt au Ciel!	Plût au Ciel!
que ma mort vous en ouvriſt la voye, Et qu’au champ de la gloire où tendent nos guerriers Je pûſſe de mon ſang arroſer vos lauriers, J’ay pour Achille un zele à qui tout autre cede, Si je luy fis quitter la Cour de Eycomeue, ne les plamis trompeurs de l’Iſle de Scyros, Ce n’eſt pas pour le voir languir dans le repos, Et perdre châque jour ſur ces fatales rives Des momens qu’on dérobe à ſes armes oiſives.	que ma mort vous en ouvrît la voie, Et qu'au champ de la gloire où tendent nos guerriers Je pusse de mon sang arroser vos lauriers, J'ai pour Achille un zèle à qui tout autre cède, Si je lui fis ter la Cour de Eycome, ne les plamis trompeurs de l'Île de Scyros, Ce n'est pas pour le voir languir dans le repos, Et perdre châque jour sur ces fatales rives Des moments qu'on dérobe à ses armes oisives.
ACHILLES.	ACHILLES.
Cher Ulyſſe, les Dieux appaiſant leur couroux Vont finir tous nos maux par un deſtin plus doux, Laſſé du calme affreux qui regne en ce rivage, Et des champs Phrygiens nous ferme le paſſage, J’ay voulu voir Calcas pour apprendre de luy Si nous devons long-temps languir dans cet ennuy, Achille m’a-t’il dit, ne ſoyez plus en peine, Je voy déja les Vents preſts à briſer leur chaine, Voicy le jour fatal, où regnant ſur les eaux Ils ſçauront ſeconder nos vœux & nos vaiſſeaux, Æole ſeulement pour leur laſcher la bride Attend qu’Iphigenie arrive dans Aulide.	Cher Ulysse, les Dieux apaisant leur courroux Vont finir tous nos maux par un destin plus doux, Lassé du calme affreux qui regne en ce rivage, Et des champs Phrygiens nous ferme le passage, J'ai voulu voir Calcas pour apprendre de rendre De grands devons longtemps languir dans cet ennui, Achille m'a-t-il dit, ne soyez plus en peine, Je vois déjà les Vents prêts à briser leur chaine, Voici le jour fatal, où régnant sur les eaux Ils sçauront seconder nos vœux et nos vaisseaux, Æole seulement pour leur lâcher la bride Attend Iphigenie arrive dans Aulide.
S’il eſt vray que ſa voix ſoit l’organe des Dieux, J’apprens qu’Iphigenie arrive dans ces lieux, Ulyſſe, Agamemnon m’en a fait un Myſtere, C’eſt un mépris pour moy dont je ne puis me taire,	S'il est vrai que sa voix soit l'organe des Dieux, J'apprends qu'Iphigénie arrive dans ces lieux, Ulysse, Agamemnon m'en a fait un Mystère, C'est un mépris pour moi dont je ne puis me taire,
ULISSE.	ULISSE.
Il l’ignore luy-meſme, apprenez tout de moy, Diane eſt irritée, & l’on ne ſçait pourquoy.	Il l'ignore h-même, apprenez tout de moi, Diane est irritée, et l'on ne sait pourquoi.
Sa haine à nos deſſeins depuis long-temps s’oppoſe, De ce calme fatal elle ſeule eſt la cauſe.	Sa haine à nos desseins depuis longtemps s'oppose, De ce calme fatal elle seule est la cause.
Ayant ſceu de Calcas, que cette Deïté D’Iphigenie aimoit l’innocente beauté, Et que ſa main plus pure offrant un ſacrifice Pourroit icy la rendre à nos armes propice.	Ayant su de Calcas, que cette Deïté D'Iphigénie aimait l'innocente beauté, Et que sa main plus pure offrant un sacrifice Pourrait ici la rendre à nos armes propice.
Craignant qu’Agamemnon, qui du ſage Devin Dedaigne les conſeils, donne tout au deſtin, N’empeſchaſt ce projet, ne rompit mon voyage, Je fis le mécontent pour oſter tout ombrage, J’allay droit en Argos, un écrit ſuppoſé Auprés de Clytemneſtre y rendit tout aiſé, Et je l’ay dans ce Camp & ſans bruit & ſans ſuite Avec Iphigenie heureuſement conduite.	Craignant qu'Agamemnon, qui du sage Devin Dédaigne les conseils, donne tout au destin, N'empêchât ce projet, ne rompit mon voyage, Je fis le mécontent pour ôter tout ombrage, J'allai droit en Argos, un écrit supposé Auprès de Clytemnêtre y rendit tout aisé, Et je l'ai dans ce Camp et sans bruit et sans suite Avec Iphigénie heureusement conduite.
ACHILLE.	ACHILLE.
Ah!	Ah!
je brûle déja du deſir de la voir,	je brûle déjà du désir de la voir,
ULYSSE.	ULISSE.
Vous ne pouvez encor luy rendre ce devoir, Laiſſez aux Chefs des Grecs, qu’elles veulent ſurprendre, De ce premier abord le moment doux & tendre.	Vous ne pouvez encor lui rendre ce devoir, Laissez aux Chefs des Grecs, qu'elles veulent surprendre, De ce premier abord le moment doux et tendre.
ACHILLE.	ACHILLE.
Cette jeune Princeſſe a des charmes ſi doux!	Cette jeune Princesse a des charmes si doux!
ULYSSE.	ULISSE.
Helene a moins d’appas:	Hélène a moins d'appas:
mais quoy, l’aimeriezvous?	mais quoi, l'aimeriezvous?
Si vous l’aimiez, Seigneur, que vous ſeriez à plaindre, Il n’eſt point de Heros qui ne doive la craindre, Dans le culte des Dieux renfermant ſes deſirs Le ſoin de leurs Autels fait ſes plus doux plaiſirs, Tout ce qui peut bleſſer la pudeur de Diane Paſſe dans ſon eſprit pour une ardeur profane, Et l’aveugle Tyran des hommes & des Dieux Ne peut rien ſur ſon cœur pouvant tout par ſes yeux	Si vous l'aimiez, Seigneur, que vous seriez à plaindre, Il n'est point de Héros qui ne doive la craindre, Dans le culte des Dieux renfermant ses désirs Le soin de leurs Autels fait ses plus doux plaisirs, Tout ce qui peut blesser la pudeur de Diane Passe dans son esprit pour une ardeur profane, Et l'aveugle Tyran des hommes et des Dieux Ne peut rien sur son cœur pouvant tout par ses yeux
ACHILLE.	ACHILLE.
Que ſa conqueſte, Ulyſſe, honoreroit Achille!	Que sa conquête, Ulysse, honorerait Achille!
Elle eſt digne de luy, plus elle eſt difficile.	Elle est digne de vertu, plus elle est difficile.
ULYSSE.	ULISSE.
rentens-je?	rentends-je?
quand l’honneur vous appelle aux combats Des pieges de l’Amour vous ſuivez les appas?	quand l'honneur vous appelle aux combats Des pièges de l'Amour vous suivez les appas?
Et je vois aujourd’huy par ces molles penſées Les leçons de Chiron de voſtre ame effacées?	Et je vois aujourd'hui par ces molles pensées Les leçons de Chiron de votre âme effacées?
Achille encor un coup pour un objet nouveau Veut-il quitter l’épée, & prendre le fuſeau?	Achille encor un coup pour un objet nouveau Veut-il quitter l'épée, et prendre le fuseau?
Et par l’aveugle inſtinct de l’erreur qui l’obſede Ramener dans ce Camp la Cour de Lycomede?	Et par l'aveugle instinct de l'erreur qui l'obsède Ramener dans ce Camp la Cour de Lycomède?
Ne ſe connoiſt-il plus?	Ne se connaît-il plus?
& veut-il aujourd’huy Dementir tout l’eſpoir qu’on a conceu de luy?	et veut-il aujourd'hui Dementir tout l'espoir qu'on a conçu de jours?
ACHYLLE.	ACHILLE.
