68 Qis Aſ	68 Qis As
Du ſuccez qu’on obtient contre la tyrannie Dépend ou noſtre gloire, ou noſtre ignominie, Et le peuple inégal à l’endroit des tyrans, S’il les deteſte morts, les adore viuans.	Du succès qu'on obtient contre la tyrannie Dépend ou notre gloire, ou notre ignominie, Et le peuple inégal à l'endroit des tyrans, S'il les déteste morts, les adore vivants.
Pour moy, ſoit que le Ciel me ſoit dur, ou propice, Qu’il m’éleue à la gloire, ou me liure au ſups plice, Que Rome ſe declares ou pour, ou contre nous, Mourãt pour vous ſeruir tout me ſemblera doux.	Pour moi, soit que le Ciel me soit dur, ou propice, Qu'il m'ève à la gloire, ou me livre au sups pliée, Que Rome se déclares ou pour, ou contre nous, Mourtant pour vous servir tout me semblera doux.
ÆMILIE.	NEMILIE.
Ne crain point de ſuecez qui lomne ta memoire.	Ne crain point de succès qui lomne ta mémoire.
Le bon & le mauuais ſont égaux pour ta gloire, Et dans vn tel deſſein le manque de bon-heur Met en peril ta vie & non pas ton honneur.	Le bon et le mauvais sont égaux pour ta gloire, Et dans un tel dessein le manque de bonheur Met en péril ta vie et non pas ton honneur.
Regarde le mal’heur de Brute & de Caſſie, * La ſplendeur de leurs noms en eſt-elle obſcurcie:	Regarde le malheur de Brute et de Cassie, * La splendeur de leurs noms en est-elle obscurcie:
Ont-ils perdu celuy de derniers des Romains?	Ont-ils perdu celui de derniers des Romains?
Et ſont ils morts entiers auecque leurs deſſeins?	Et sont ils morts entiers avec leurs desseins?
Leur memoire dans Rome eſt encor precieuſe Autant que de Céſar la vie eſt odieuſe:	Leur mémoire dans Rome est encor précieuse Autant que de César la vie est odieuse:
Si leur vainqueur y regne, ils y ſont regrettez, Et par les vœux de tous leurs pareils ſouhaitez.	Si leur vainqueur y règne, ils y sont regrettez, Et par les vœux de tous leurs pareils souhaitez.
Va marcher ſur leurs pas où l’honneur te conuié, Mais ne pers pas le ſoin de conſeruer ta vie, Souuien-toy du beau feu dont nous ſommes eſpris, Qu’auſſi bien que la gloire Æmilie eſt ton prix, Que tu me dois ton cœur, que mes faueurs t’attendent, 4 Que tes iours me ſont chers, que les miens en dependent, Et que.	Va marcher sur leurs pas où l'honneur te convoyé, Mais ne pers pas le soin de conserver ta vie, Souvien-toi du beau feu dont nous sommes épris, Qu'aussi bien que la gloire Æmilie est ton prix, Que tu me dois ton cœur, que mes faueurs attendent, 4 Que tes iours me sont chers, que les miens en dépendent, Et que.
Mais quel ſujet méne Euãdre vers nous?	Mais quel sujet mène Euãdre vers nous?
SCENE IV.	SCÈNE IV.
CINNA.	CINNA.
ÆMILIE.	NEMILIE.
EVANDRE.	EVANDRE.
FVLVIE.	FULVIE.
EVANDRE.	EVANDRE.
Eigneur, Céſar vous mande, & Maxime auec D vous.	Eigneur, César vous mande, et Maxime avec D vous.
*101 1 INNA.	*101 1 INNA.
Et Maxime auec moy!	Et Maxime avec moi!
le ſçais-tu bien, Euandrey	le sais-tu bien, Euandrei
2 EVANDRE.	2 EVANDRE.
Polyclete eſt encor chez-vous à vous attendνe.	Polyclet est ncor chez-vous à vous attende.
A vj Et fuſt venu luy meſme auec moy vous cherehes Si ma dexterité n’euſt ſceu l’en empeſcher:	A vj Et fût venu lui avait avec moi vous chèrehes Si ma dextérité n'eût su l'en empêcher:
Ie vous en donne aduis de peur d’vne ſurpriſe, al piend lon.	Je vous en donne avis de peur d'une surprise, al piend lon.
ÆMILIE.	NEMILIE.
Mander les chefs de l’entreprie Tous deux!	Mander les chefs de l'entreprie Tous deux!
en meſme temps!	en même temps!
vous eſtes découuers.	vous êtes découverts.
CINA.	CINA.
Aſperons mieux, de grace.	Aspérons mieux, de grâce.
ÆMILIE.	NEMILIE.
Ah!	Ah!
Cinna, ie te pers, Et les Dieux obſtinez à nous donner vn maiſtre, maunmiy dee vran amis ont me ne queique traiſtre.	Cinna, Seigneur te pers, Et les Dieux obstinez à nous donner un maître, mauny dee vran amis ont me ne queique traître.
Il n’en faut point douter, Auguſte a tout apris, Quoy, tous deux!	Il n'en faut point douter, Auguste à tout apis, Quoi, tous deux!
& ſi-toſt que le conſeil eſt pris	et sitôt que le conseil est pris
CINNA.	CINNA.
Ie ne vous puis celer que ſon ordre m’eſtonne, Mais ſouuent il m’appelle aupres de ſa perſonne, Maxime eſt comme moy de ſes plus confidens, It nous nous alarmons peut-eſtre en imprudens,	Je ne vous puis celer que son ordre m'étonne, Mais souvent il m'appelle auprès de sa personne, Maxime est comme moi de ses plus confidents, It nous nous alarmons peut-être en imprudents,
ÆMILIE.	NEMILIE.
Jois moins ingenieux à te tromper toy-meſme, Cinna, ne porte point mes maux iuſqu’à l’extréme, Et puiſque deſormais tu ne me peux vangers Dérobbe au moins ta teſle à ce mortel danger, Juy d’Auguſte irrité l’implacable colere;	Jois moins ingénieux à te tromper toi-même, Cinna, ne porte point mes maux jusqu'à l'extrême, Et puisque désormais tu ne me peux vengers Dérobe au moins ta télé à ce mortel danger, Jui d'Auguste irrité l'implacable colère;
Ie verſe aſſez de pleurs pour da mort de mõ pere, N’aigry point ma douleur par vn nouueau tourment, Rone luy permets point de m’oſter mon amant,!	Je verse assez de pleurs pour da mort de mon père, N'aigri point ma douleur par un nouveau tourment, Rone lui permets point de m'ôter mon amant,!
CINNA.	CINNA.
Quoy!	Quoi!
ſur l'illuſion d’vne terreur Panique Trahir vos inteteſts & la cauſe publique?	sur l'illusion d'une terreur Panique Trahir vos intetests et la cause publique?
Par cette lâcheté moy-meſme m’aceuſer, Et tout abandonner quand il faut tout oſerr Que feront nos amis ſi vous eſtés deçeuë?	Par cette lâcheté moi-même m'aceuser, Et tout abandonner quand il faut tout oserr Que feront nos amis si vous êtes due?
ÆMILIE.	NEMILIE.
Mais que deuiendras-tu ſi l’entrepriſe eſt ſçeul?	Mais que deviendras-tu si l'entreprise est sçeul?
CINNA.	CINNA.
S’il eſt pour me trahir des eſprits aſſez bas, Ma vertu pour le moins ne me trahira pas, Vous la verrez brillante au bord des precipices Se couronner de gloire en brauant les ſupplices;	S'il est pour me trahir des esprits assez bas, Ma vertu pour le moins ne me trahira pas, Vous la verrez brillante au bord des précipices Se couronner de gloire en bravant les supplices;
Rendre Auguſte ialoux du ſang qu’il répandra,;	Rendre Auguste jaloux du sang qu'il répandra,;
Er le faire trembler alors qu’il me perdrã.	Er le faire trembler alors qu'il me perdrant.
Ie deuiendrois ſuſpect à tarder dauantager Aditu, raffermiſſez ce genereux courage, S’il faut ſubir le coup d’vn deſtin rigoureuxar Ie mourray tout enſẽble, heureux & malheureux, Heureux pour vous ſeruir d’abandonner la vie, Malheureux de mourir ſans vous auoir ſeruie.	Je deviendrais suspect à tarder davantager Aditu, raffermissez ce généreux courage, S'il faut subir le coup d'un destin rigoureuxar Je mourrai tout ensẽble, heureux et malheureux, Heureux pour vous servir d'abandonner la vie, Malheureux de mourir sans vous avoir servie.
ÆMILIE:	ÆMILIE:
Ouy, va n’écoute plus ma voix qui te retient, Mon trouble ſe diſſipe & ma raiſon reuient, Pardonne à mon amour cette indigne foibleſſe, Tu voudrois fuir en vain, Cinna, ie le conſeſſe, Si tour eſt découuert Auguſte a ſçeu pouruoir A ne te laiſſer pas ta fuite en ton pouuoir:	Oui, va n'écoute plus ma voix qui te retient, Mon trouble se dissipe et ma raison revient, Pardonne à mon amour cette indigne faiblesse, Tu voudrais fuir en vain, Cinna, je le consesse, Si tour est découvert Auguste a che voir À ne te laisser pas ta fuite en ton pouvoir:
Porte, porte chez-luy cette maſle aſſeurance Digne de noſtre amour, digne de ta naiſſances Meurs, s’il y faut mourir, en citoyen Romaix.	Porte, porte chez-lui cette mâle assurance Digne de notre amour, digne de ta naissances Meurs, s'il y faut mourir, en citoyen Romaix.
Et par vn beau trépas couronne vn beau deſſeins Ne crain pas qu’apres toy rien icy me retienne, Ta mort emportera mon a me vers la tienne, Moinu Gunde camntuis punde due amoriies coups o	Et par un beau trépas couronne un beau desseins Ne crain pas qu'après toi rien ici me retienne, Ta mort emportera mon à me vers la tienne, Moin Gunède camntuis punède due amories coups ô
CINNA.	CINNA.
Ahiſouffrez que tout mort ie viue encor en vous?	Ahisouffrez que tout mort était vive encor en vous?
Et du moins en mourant permertez que i’eſperé Que vous ſçaurez vanger l’amant auec le pere.	Et du moins en mourant permertez que j'espéré Que vous saurez venger l'amant avec le père.
Dans vn ſi grand peril vos iours ſont aſſeurez, Vos deſſeins ne ſont ſçeus d’aucun des conjurez.	Dans un si grand péril vos jours sont assurés, Vos desseins ne sont su aucun des conjurés.
Er décriuant tantoſt les miſeres Romaines Ie leur ay teu la mort qui fait naiſtre nos haines, De peur que trop d’ardeur touchant vos intereſts Sur mon viſage émeu ne peigniſt nos ſecrets.	Er décrivant tantôt les misères Romaines Je leur ai tu la mort qui fait naître nos haines, De peur que trop d'ardeur touchant vos intérêts Sur mon visage ému ne peignît nos secrets.
Noſtre amour n’eſt cognu que d’Euãdre & Fuluie.	Notre amour n'est connu que d'Eudre et Fuluie.
ÆMILIE.	NEMILIE.
Auet moins de frayeur ie vay donc chez Liuie, Puiſque dans ton peril il me reſte vn moyen De faire agit pour toy ſon credit & le mient Mais ſi mon amitié par là ne te deliure, N’eſpere pas qu’en fin ie veuille te ſuruiure, Ie ray de ton deitin des regies à llion Tort, Et i’obtiendray ta vie, ou ie ſuiuray ta mort.	Auet moins de frayeur On vais donc chez Livie, Puisque dans ton péril il me reste un moyen De faire agit pour toi son crédit et le mient Mais si mon amitié par là ne te délivre, N'espère pas qu'en fin assez veuille te survivre, Je rai de ton dégitin des régies à lion Tort, Et j'obtiendrai ta vie, ou ainsi suivrai ta mort.
CINNA.	CINNA.
soyez en ma faueur moins cruelle à vous meſme.	soyez en ma faveur moins cruelle à vous -même.
ÆMILIE.	NEMILIE.
Va-t’en, & ſouuien toy ſeulement que ie t’ayme, Fin du premier Acte,	Va-t-en, et souvien toi seulement que . aaime, Fin du premier Acte,
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
AVGVSIE.	AUGUSIE.
CINNA.	CINNA.
MAXIME Troupe de Courtiſans.	MAXIME Troupe de Courtisans.
Deporeι AVGVSTE.	Dépore AUGUSTE.
VE chacun ſe retîre, & qu’aueun n’entre icy, Vous Cinna demeurez, & vous Maxime auſſi.	VE chacun se retître, et qu'aveun n'entre ici, Vous Cinna demeurez, et vous Maxime aussi.
Cét empire abſolu ſur la terre & ſur l’onde, Ce pouuoir ſouuerain que i’ay ſur tout le monde, Cette grandeur ſans borne, & ce ſuperbe rang.	Cet empire absolu sur la terre et sur l'onde, Ce pouvoir souverain que j'ai sur tout le monde, Cette grandeur sans borne, et ce superbe rang.
Qui m’a jadis couſté tant de peine & de ſang, Enfin tout ce qu’adore en ma haute fortune 4 D’vn courtiſan flatteur la preſence importunee N’eſt que de ces beautez dont l’éclat ébloüit, Et qu’on ceſſe d’aymer ſi toſt qu’on en joüit.	Qui m'a jadis coûté tant de peine et de sang, Enfin tout ce qu'adore en ma haute fortune 4 D'un courtisan flatteur la présence importunée N'est que de ces beautés dont l'éclat éblouit, Et qu'on cesse d'aimer si tôt qu'on en joüit.
L’ambition déplaiſt quand elle eſt aſſouuie, D’vne contraire ardeur ſon ardeur eſt ſuiuie, Et comme noſtre eſprit iuſqu’au dernier ſoûpir Touſioure vers quelqus objet pouſſe quelque de1e fir,	L'ambition déplaît quand elle est assouuie, D'une contraire ardeur son ardeur est suivie, Et comme notre esprit jusqu'au dernier soupir Tousioure vers quelqus objet pousse quelque de1e sir,
Il ſe ramene en ſoy n’ayant plus où ſe prendre, Et monté ſur le faiſte il aſpire à deſcendre.	Il se ramène en soi n'ayant plus où se prendre, Et monté sur le faîte il aspire à descendre.
I’ay ſouhaité l’Empire, & i’y ſuis paruenu, Mais en le ſouhaitant ié ne l’ay pas cognu?	J'ai souhaité l'Empire, et j'y suis parvenu, Mais en le souhaitant jé ne l'ai pas connu?
Dans ſa poſſeſſion i’ay trouué pour tous charmes D’effroyables ſoucis, d’éternelles alarmes, Mille’ennemis ſecrets, la mort à tous propos, Point de plaiſir ſans trouble, & iamais de repos.	Dans sa possession j'ai trouvé pour tous charmes D'effroyables soucis, d'éternelles alarmes, Mille'ennemis secrets, la mort à tous propos, Point de plaisir sans trouble, et jamais de repos.
Sylla m’a precedé dans ce pouuoir ſupréme, Le grand Céſar mon pere en a joüy de meſme, Sylla s’en eſt démis, mon pere l’a gardé, Differens en leur fin comme en leur procedé, L’vn cruel & barbare, eſt mort aymé, tranquilleComme vn bon citoyen dans le ſein de ſa ville, L’autre tout debonnaire, au milieu du Senat, A veu trancher ſes iours par vn aſſaſſinat.	Syda m'a précédé dans ce pouvoir suprême, Le grand César mon père en a joui de même, Syma s'en est démis, mon père l'a gardé, Différents en leur fin comme en leur procédé, L'un cruel et barbare, est mort aimé, tranquilleComme Un bon citoyen dans le sein de sa ville, L'autre tout débonnaire, au milieu du Sénat, À vu trancher ses jours par un assassinat.
Ces exemples recens fuffiroient pour m’inſtruire, Si par l’exêmple ſeul on ſe deuoit conduire, L’vn m’inuite à le ſuiure, & l’autre me fait peur:	Ces exemples reçens suffiraient pour m'instruire, Si par l'exemple seul on se devait conduire, L'un m'inuite à le suivre, et l'autre me fait peur:
Mais l’exemple ſouuent n’eſt qu’vn mirois trom.	Mais l'exemple souvent n'est qu' Hirais trom.
peur, It l’ordre du deſtin qui géne nos penſées N’eſt pas touſiours eſcrit dans les choſes paſſées:	peur, It l'ordre du destin qui gêne nos pensées N'est pas toujours écrit dans les choses passées:
Quęlquefois l’vn ſe briſe où l’autre s’eſt ſauué, Et par où l’vn perit vn autre eſt conſerué.	Quelquefois l'un se brise où l'autre s'est sauvé, Et par où l'un périt un autre est conservé.
Voilà, mes chers amis, ce qui me met en peine;	Voilà, mes chers amis, ce qui me met en peine;
Vous qui me tenez lieu d’Agrippe, & de Mecéne, Pour reſoudre ce point auec eux debatu Prenez ſur mon eſprit le pouuoir qu’ils ont eu:	Vous qui me tenez lieu d'Agrippe, et de Mecéne, Pour résoudre ce point avec eux débattu Prenez sur mon esprit le pouvoir qu'ils ont eu:
Ne conſiderez point cette grandeur ſupréme Odieuſe aux Romains, & peſante à moy-meſme, Traittez moy comme amy, non comme ſouue rain, Tome, Auguſte, l’Eſtat, tout eſt en vôtre main.	Ne considérez point cette grandeur suprême Odieuse aux Romains, et pesante à moi-même, Traitez moi comme ami, non comme souve rain, Tome, Auguste, l'État, tout est en votre main.
Vous mettrez & IEurope, d I'Anie;	Vous mettrez et JEurope, d 'Anie;
d TAtrique Sous les loix d’vn Monarque, ou d’vne Republ que, Vôtre aduis eſt ma regle, & par ce ſeul moyenle veux eſtre Empereur, ou ſimple citoyen.	d TAtrique Sous les lois d' Monarque, ou d'une Républ que, Votre avis est ma règle, et par ce seul moyenle veux être Empereur, ou simple citoyen.
CINNA.	CINNA.
Mal-gré noſtre ſurpriſe & mon inſuffiſance, Ie vous obeïray, Seigneur, ſans complaiſance, Et mets bas le reſpect qui pourroit m’empeſches.	Mal-gré notre surprise et mon insuffisance, Je vous obéirai, Seigneur, sans complaisance, Et mets bas le respect qui pourrait m'empêches.
De combattre vn aduis où vous ſemblez pancher.	De combattre un avis où vous semblez pencher.
Souffrez-le d’vn eſprit ialoux de vôtre gloire Que vous allez ſoüiller d’vne tache trop noirezSi vous laiſſant ſeduire à ces impreſſions Vous-meſme condamnez toutes vos actions.	Souffrez-le d'une esprit jaloux de votre gloire Que vous allez soüiller vous allez sache trop noirezS vous laissant séduire à ces impressions Vous-même condamnez toutes vos actions.
On ne renonce point aux grandeurs legitimes- On garde ſans remords ce qu’on acquiert ſans crimes, Et plus le bien qu’on quitte eſt noble, grand, exPlus qui l’oſe quitter le iuge mal acquis.	On ne renonce point aux grandeurs légitimes- On garde sans remords ce qu'on acquiert sans crimes, Et plus le bien qu'on quitte est noble, grand, exPlus qui l'ose quitter le juge mal acquis.
Iquis, N’imprimez pas, Seigneur, cette hõteuſe marque A ces rares vertus qui vous ont fait Monarque, Vous l’eſtes iuſtement, & c’eſt ſans attentat Que vous auez changé la forme de l’Eſtat, Ire.	Iquis, N'imprimez pas, Seigneur, cette honteuse marque A ces rares vertus qui vous ont fait Monarque, Vous l'êtes justement, et c'est sans attentat Que vous avez changé la forme de l'État, Ire.
Rome eſt deſſous vos loix par le droit de la guerVos armes l’ont conquiſe, & tous les conquerans Pour eſtre vſurpateurs ne ſont pas des tyrans;	Rome est dessous vos lois par le droit de la guerUos armes l'ont conquise, et tous les conquérants Pour être usurpateurs ne sont pas des tyrans;
Lors que noſtre valeur nous gaigne vne Prouince.	Lors que notre valeur nous gagne une Province.
Gouuernant iuſtement on deuient iuſte Prince.	Gouvernant justement on devient juste Prince.
C’eſt ce que fit Céſar, il vous faut aujourd’huy Condamner ſa memoire, ou faire comme luy:	C'est ce que fit César, il vous faut aujourd'hui Condamner sa mémoire, ou faire comme lui:
Si le pouuoir ſupréme eſt blâmé par Auguſte, Céſar fut vn tyran.	Si le pouuoir suprême est blâmé par Auguste, César fut un tyran.
& ſon trépas fut iuſte, Et vous deuez aux Dieux compte de tout le ſang Dont vous l’auez vangé pour monter à ſon rang.	et son trépas fut juste, Et vous devez aux Dieux compte de tout le sang Dont vous l'avez vengé pour monter à son rang.
Mais ſa mort vous faitpeur?	Mais sa mort vous faitpeur?
Seigneur, les deſtinées Rvn ſoin blẽ plus exact veillent ſûs vos années, On a dix fois ſur vous attenté ſans effet, Et qui l’a voulu perdre au meſme inſtant l’a faît.	Seigneur, les destinées Rvn soin bien plus exact veillent su vos années, On a dix fois sur vous attenté sans effet, Et qui l'a voulu perdre au même instant l'a faît.
On entreprend aſſez, mais aucun n’execute, Il eſt des aſſaſſins, mais il n’eſt plus de Brute, Enfin s’il faut attendre vn ſemblable reuers, Il eſt beau de mourir maiſtre de l’vniuers.	On entreprend assez, mais aucun n'exécute, Il est des assassins, mais il n'est plus de Brute, Enfin s'il faut attendre un semblable revers, Il est beau de mourir maître de l'Hivers.
C’eſt ce qu’en peu de mots i’oſe dire, & i’eſt ime Que ce peu que i’ay dit eſt l’aduis de Maxime.	C'est ce qu'en peu de mots j'ose dire, et j'est j Our ce peu que j'ai dit est l'avis de Maxime.
MAXIME.	MAXIME.
Ouy, i’accorde qu’Auguſte a droit de conſeruer L’empire où ſa vereu l’a fait ſeule arriuer, Et qu’au prix de ſon ſang, au peril de ſa teſte, Il a fait de l’eſtat vne iuſte conqueſte:	Oui, j'accorde qu'Auguste a droit de conserver L'empire où sa vèreu l'a fait seule arriver, Et qu'au prix de son sang, au péril de sa tête, Il a fait de l'état une juste conquête:
Mais que ſans ſe noircir il ne puiſſe quitter Le fardeau que ſa main eſt laſſe de porter, Qu’il accuſe par là Céſar de tyrannie, Qu’il approuue ſa mort, c’eſt ce que ie dénie.	Mais que sans se noircir il ne puisse quitter Le fardeau que sa main est lasse de porter, Qu'il accuse par là César de tyrannie, Qu'il approuve sa mort, c'est ce que ainsi dénie.
Rome eſt à vous, Seigneur, l’Empire eſt voſtre bien, Chacun en liberté peut diſpoſer du ſien, Il le peut à ſon choix garder ou s’en défaire, Vous ſeul ne pourriez pas ce que peut le vulgaîre, Et ſeriez deuenu pour auoir tout dompté Eſclaue des grandeurs où vous eſtes monté?	Rome est à vous, Seigneur, l'Empire est vôtre bien, Chacun en liberté peut disposer du sien, Il le peut à son choix garder ou s'en défaire, Vous seul ne pourriez pas ce que peut le vulgaîre, Et seriez devenu pour avoir tout dompté Esclave des grandeurs où vous êtes monté?
Poſſedez-les, Seigneur, sãs qu’elles vous poſſedent, Loing de vous captiuer, ſouffiez qu’elles vous ceEt faites hautement cognoiſtre enfin à ious (dent, Que tout ce qu’elles ont eſt au deſſous de vous.	Possédez-les, Seigneur, sans qu'elles vous possèdent, Loin de vous captiver, souffiez qu'elles vous ceEt faites hautement connaître enfin à jous (dent, Que tout ce qu'elles ont est au dessous de vous.
Voſtre Rome autrefois vous donna la naiſſance, Vous luy voulez donner voſtre toute-puiſſance, Et Cinna vous impute à rrime capital, La liberalité vers le pays natal!	Votre Rome autrefois vous donna la naissance, Vous lui voulez donner vôtre toute-puissance, Et Cinna vous impute à rime capital, La libéralité vers le pays natal!
Il appelle remoras l'amour de la parrie?	Il appelle rémoras l'amour de la parrie?
Par la meſme vertu la gloire eſt donc flétrie,	Par la même vertu la gloire est donc flétrie,
Et ce n’eſt qu’vn objet digne de nos mépris, Si de ſes plus hauts faits l’infamie eſt le prix.	Et ce n'est qu'un objet digne de nos mépris, Si de ses plus hauts faits l'infamie est le prix.
Ie veux bien aduoüer qu’vne action ſi belle Donne à Rome bien plus que vous ne tenez d’elleMais ce n’eſt pas vn crime indigne de pardon Quand la recognoiſſance eſt au deſſus du don.	Je veux bien avouer qu'une action si belle Donne à Rome bien plus que vous ne tenez d'elleMais ce n'est pas un crime indigne de pardon Quand la reconnaissance est au dessus du don.
Suiuez, ſuiuez, Seigneur, le Ciel qui vous inſpire, Voſtre gloire redouble à mépriſer l’empire, Et vous ſerez fameux chez la poſterité Moins pour l’auoir conquis que pour l’auoir quitté.	Suivez, suivez, Seigneur, le Ciel qui vous inspire, Votre gloire redouble à mépriser l'empire, Et vous serez fameux chez la postérité Moins pour l'avoir conquis que pour l'avoir quitté.
Le bon-heur peut cõduire à la grandeur ſuprémes Mais pour y renoncer il faut la vertu meſme, Et peu de genereux vont iuſqu’à dédaignet Apres vn ſceptre acquis la douceur de regner.	Le bonheur peut comduire à la grandeur suprême Mais pour y renoncer il faut la vertu able, Et peu de généreux vont jusqu'à dédaignet Après un sceptre acquis la douceur de régner.
Conſiderez d’ailleurs que vous regnez dãs Rome, Ou de quelque façon que voſtre Cour vous nõmes On hait la Monarchie, & le nom d’Empereur Cachant celuy de Roy ne fait pas moins d’horreur.	Considérez d'ailleurs que vous régnez dans Rome, Ou de quelque façon que votre Cour vous nõmes On hait la Monarchie, et le nom d'Empereur Cachant celui de Roi ne fait pas moins d'horreur.
Ils paſſent pour tyran quiconque s’y fait maiſtre, Qui le ſert pour eſclaue, & qui l’ayme pour traiſtre, Qui le ſouffre a le cœur lâche, mol, abatu, Et pour s’en affranchir tout s’appelle vertu.	Ils passent pour tyran quiconque s'y fait maître, Qui le sert pour esclave, et qui l'aime pour traître, Qui le souffre à le cœur lâche, mol, abattu, Et pour s'en affranchir tout s'appelle vertu.
Vous en auez, Seigneur, des preuues trop certalnes, On a fait contre vous dix entrepriſes vaines, Peut-eſtre que l’vnzieſme eſt preſte d’éclater, Et que ce mouuement qui vous vient agiter N’eſt qu’vn aduis ſecret que le Ciel vous enuoyes Qui pour vous conſeruer n’a plus que cette voye.	Vous en avez, Seigneur, des prévues trop certalnes, On a fait contre vous dix entreprises vaines, Peut-être que l'vnziesme est prête d'éclater, Et que ce mouvement qui vous vient agiter N'est qu'un avis secret que le Ciel vous envoies Qui pour vous conserver n'a plus que cette voie.
Ne vous expoſez plus à ces fameux reuers, Il eſt beau de mourir maiſtre de l’vniuers, Mais la plus belle mort ſoüille noſtre memoire Quand nous auons pû viure auecque plus de glois	Ne vous exposez plus à ces fameux revers, Il est beau de mourir maître de l'Univers, Mais la plus belle mort souille notre mémoire Quand nous avons pu vivre avec plus de glois
CINNA.	CINNA.
Si l'amour du pays doit icy préualoir, C’eſt ſon bien ſeulemẽt que vous deuez vouloir, Et cette liberté qui luy ſemble ſi chere N’eſt pour Rome, Seigneur, qu’vn biẽ imaginaire, Plus nuiſible qu’vtile, & qui n’approche pas De celuy qu’vn bon Prince apporte à ſes Eſtats.	Si l'amour du pays doit ici prévaloir, C'est son bien seulement que vous devez vouloir, Et cette liberté qui avait semble si chère N'est pour Rome, Seigneur, qu'à bien imaginaire, Plus nuisible qu'vtile, et qui n'approche pas De celui qu'un bon Prince apporte à ses États.
Auec ordre & raiſon les honneurs il diſpenſe:	Avec ordre et raison les honneurs il dispense:
Auecque iugement punit & recompenſe, Ne precipite rien de peur d’vn ſucceſſeur, Et diſpoſe de tout en iuſte poſſeſſeur.	Avec jugement punit et récompense, Ne précipite rien de peur d'un successeur, Et dispose de tout en juste possesseur.
Mais quand le peuple eſt maiſtre on n’agit qu’en tumulte, La voix de la raiſon iamais ne ſe conſulte, Les honneurs ſont vendus aux plus ambitieux, Les Magiſt rats donnez aux plus ſeditieux, Ces petits Souuerains qu’il fait pour vne année, Voyant d’vn temps ſi court leur puiſsãce bornée, Des plus heureux deſſeins font auorter le fruit, De peur de le laiſſer à celuy qui les ſuit:	Mais quand le peuple est maître on n'agit qu'en tumulte, La voix de la raison jamais ne se consulte, Les honneurs sont vendus aux plus ambitieux, Les Magit rats donnez aux plus séditieux, Ces petits Souverains qu'il fait pour une année, Voyant d'un temps si court leur puissance bornée, Des plus heureux desseins font auorter le fruit, De peur de le laisser à celui qui les suit:
Comme ils ont peu de part au bien dont ils otdonnent, Dtauls li tnuup d’autruy largement ils moiſIonnene s Aſſeurez que chacun leur pardonne aiſément, Eſperant à ſon tour vn pareil traitement.	Comme ils ont peu de part au bien dont ils otdonnent, Davls li tennuup d'autrui largement ils moisIonnène saint Assurez que chacun leur pardonne aisément, Espérant à son tour un pareil traitement.
Le pire des eſtats eſt l’eſtat populaire.	Le pire des états est l'état populaire.
E	E
AVGVSTE.	AUGUSTE.
Et toutefois le ſeul qui dans Romé peut plaire.	Et toutefois le seul qui dans Romé peut plaire.
Cette hayne des Roys que depuis cinq cens ans aüec le premer ſaict luccent tous les emahs pour l’atracher des cœuts eſt trop enracinée.	Cette haine des Rois que depuis cinq cents ans au le premer sait luccent tous les emahs pour l'atracher des cœuts est trop enracinée.
MAXIME.	MAXIME.
Ouy, Selgneur, dans ſon mal Rome eſt trop obſtinée, Son peuple qui s’y plaiſt en fuit la gueriſon.	Oui, Selgneur, dans son mal Rome est trop obstinée, Son peuple qui s'y plaît en fuit la guérison.
Sa couſtume l’emporte & non pas la raiſon, Et cette vieille erreur que Cinna veut abatre eſt vne heureuſe etreur dont elle eſt idolâtre.	Sa coutume l'emporte et non pas la raison, Et cette vieille erreur que Cinna veut abattre est une heureuse étreur dont elle est idolâtre.
par qui le monde entier rangé deſſous ſes loix L’a veu cent fois marcher ſur la teſte des Roys, Son Eſpargne s’enfler du ſac de leurs Prouincess Que luy pouuoient de plus donner les meilleurs Princes?	par qui le monde entier rangé dessous ses lois L'a vu cent fois marcher sur la tête des Rois, Son Épargne s'enfler du sac de leurs Provincess Que avait pouvaient de plus donner les meilleurs Princes?
Poſe dire, Seigneur, que par tous les climats Ne ſont pas bien receus toutes ſortes d’eſtats, Chaque peuple a le ſien conforme à ſa nature, Qu'on ne ſçauroit changer ſans luy faire vne inTelle eſt la loy du Ciel dont la ſage équité Cjurc.	Pose dire, Seigneur, que par tous les climats Ne sont pas bien reçus toutes sortes d'états, Chaque peuple à le sien conforme à sa nature, Qu'on ne saurait changer sans lui faire une inTelle est la loi du Ciel dont la sage équité Cjurc.
Séme dans l’vniuets cette diuerſité:	Sême dans l'univets cette diversité:
Les Macedoniens ayment le Monarchique.	Les Macédoniens aiment le Monarchique.
Et le reſte des Grecs la liberté publique, Les Parthes, les Perſans veulent des Souueraint.	Et le reste des Grecs la liberté publique, Les Parthes, les Persans veulent des Souveraint.
Et le ſeul Conſulat eſt bon pour les Romains.	Et le seul Consulat est bon pour les Romains.
CINNA.	CINNA.
S’il eſt vray que du Ciel la prudence inſinie Depart à chaque peuple vn different Genie» Il eſt certain auſſi que cét ordre des Cieux Change ſelon les temps comme ſelon les lieux?	S'il est vrai que du Ciel la prudence insinie Départ à chaque peuple un différent Genie» Il est certain aussi que cet ordre des Cieux Change selon les temps comme selon les lieux?
