NCTEVRS.	NCTEURS.
Mais veux-ie pour l’amie abandonner l’amant?	Mais veux-je pour l'amie abandonner l'amant?
Ma bouche le dit bien, mais mon cœur la dement, Et ie doy bien ſçauoir apres ma ialouſie Et ce que peut l’amant & ce que peut l’amie.	Ma bouche le dit bien, mais mon cœur la dément, Et Elle dois bien savoir après ma jalousie Et ce que peut l'amant et ce que peut l'amie.
Cet Amant me retient par des liens trop forts, D 2	Cet Amant me retient par des liens trop forts, D 2
Pour les rompre, il n'eſt point d’aſſez puiſſans efforts.	Pour les rompre, il n'est point d'assez puissants efforts.
Que dy-ie, il n’en eſt point?	Que dis-je, il n'en est point?
Ha!	Ha!
Chriſtine, ha!	Christine, ha!
Chriſtine, i ne peut s’oppoſer à la grace diuine.	Christine, y ne peut s'opposer à la grâce divine.
on changement de Foy n’eſt pas encor ſi vieux, Qu’il t’ait fait oublier ces maximes des Cieux.	on changement de Foi n'est pas encor si vieux, Qu'il t'ait fait oublier ces maximes des Cieux.
Ion non, diuin Sauueur, ie ſuis toute certaine, Que tu pourras briſer toy ſeul ma dure chaine, En m’impoſant ton ioug me mettre en liberté, it vaincre par ta Foy mon infidelité.	Ion non, divin Sauveur, je suis toute certaine, Que tu pourras briser toi seul ma dure chaine, En m'imposant ton joug me mettre en liberté, it vaincre par ta Foi mon infidélité.
Mais puis que Dorothée en mon bien s’intereſſe, Trauaille à mon ſalut auecque tant d’adreſſe, Et qu’elle a deſia part à ſon commencement, Souffre auſſi qu’elle ait part à ſon acheuement.	Mais puis que Dorothée en mon bien s'intéresse, Travaille à mon salut auecque tant d'adresse, Et qu'elle a déjà part à son commencement, Souffre aussi qu'elle ait part à son achèvement.
Fay la viure, ô Seigneur, ſi tu veux que ie viue;	Fais la vivre, ô Seigneur, si tu veux que personne vive;
Romps ſeulement ſes fers, & ie ſuis ta captiue;	Romps seulement ses fers, et Seigneur suis ta captive;
Eſcoute ma priere & i’eſcoute ta Foy, Rends la moy, cette amie, & ie me rends à toy.	Écoute ma prière et j'écoute ta Foi, Rends la moi, cette amie, et quelque me rends à toi.
Mtuno nouu vop toncy l’effet de ma priere?	Mtuno nomme vop tonci l'effet de ma prière?
phile.	phile.
Que cet abord me plaiſt!	Que cet abord me plaît!
Que cet abord m’altere!	Que cet abord m'altère!
* Remettons nous pourtant de cette émotion.	* Remettons nous pourtant de cette émotion.
Peut eſtre fera-t’il ma ſatisfaction.	Peut être fera-t-il ma satisfaction.
SCENE	SCÈNE
SCENE V.	SCÈNE V.
PHBOPHIDN DHRISTINE.	PHBOPHIDN DHRISTINE.
THEOPHILE.	THÉOPHILE.
Bjet miraculeux dont mon ame eſt charmée, O Merueille que l’amour à luy meſme formée, Chef d’œuure dont il tire & ſes traits & ſes feux, Deeſſe u qui te ronus uos reſpvous omes vœux, Eſtant ſi pareſſeux à vous rendre viſite, Que direz-vous de moy que ie ne le merite?	Bjet miraculeux dont mon âme est charmée, Ô Erveille que l'amour à lui mesme formée, Chef d'œuvre dont il tire et ses traits et ses feux, Deesse u qui te ronus ô respvous omes vœux, Étant si paresseux à vous rendre visite, Que direz-vous de moi que je ne le mérite?
CHRISTINE.	CHRISTINE.
Quoy que ie n’aye pas l’eſprit preſomptüeux Iuſques à me flater de ces noms faſtueux, I'oze bien auouër que ie ſuis meſcontente, ol te ariny ne oum d onc uſjuire impentide.	Quoi que ici n'aie pas l'esprit présomptueux Jusques à me flatter de ces noms fastueux, J'ose bien aujouer que je suis mécontente, ol te ariny ne oum d' onc usjuire impentide.
THEOPHILE.	THÉOPHILE.
Vne affaire importante & ſanglante à la fois M’a fait auſſi manquer à ce que ie vous dois.	Une affaire importante et sanglante à la fois M'a fait aussi manquer à ce que je vous dois.
CHRISTINE.	CHRISTINE.
Importante & ſanglante?	Importante et sanglante?
ô parole funeſte!	ô parole funeste!
C’eſt aſſez, c’eſt aſſez, i’entends trop bien le reſte.	C'est assez, c'est assez, j'entends trop bien le reste.
O ſoubçon deteſtable!	Ô soubçon détestable!
ô ſecours impuiſſant!	ô secours impuissant!
O regret dans mon cœur à iamais renaiſſant!	Ô regret dans mon cœur à jamais renaissant!
O trop cher Theophile!	Ô trop cher Théophile!
ô moy trop imprudente!	ô moi trop imprudente!
O trop cruel Aprice!	Ô trop cruel Aprice!
ô ſœur trop violente!	ô sœur trop violente!
Donc ſans auoir égard à ton ſexe, à ton rang, Nous t’aurons-pu noyer dedans ton propre ſang?	Donc sans avoir égard à ton sexe, à ton rang, Nous t'aurons-pu noyer dedans ton propre sang?
Ha!	Ha!
DOROTHEE TRAGEDIE, Ha!	DOROTHÉE -TRAGÉDIE, Ha!
pauure Dorotheé iniuſtement haïe, Que nous t’auons, helas!	pauvre Dorothé injustement haïe, Que nous t'avons, hélas!
aueuglement trahie!	aveuglément trahie!
Theo-* Mais dy moy franchement, puis qu’il en eſt ſaiſon, N'a-t'elle rien appris de cette trahiſon!	Théo-* Mais dis moi franchement, puis qu'il en est saison, N'a-t'-elle rien appris de cette trahison!
N'a-t'elle rien laſché contre noſtre malice?	N'a-t'-elle rien lâché contre notre malice?
S’eſt-elle conſtamment preſentée au ſupplice?	S'est-elle constamment présentée au supplice?
Parle, fidelle ami, dais ce moment fatal A-t’elle conſerué ſon eſprit bien égal?	Parle, fidèle ami, dais ce moment fatal A-t-elle conservé son esprit bien égal?
Dy moy, ſans les farder par des termes friuoles, Ses derniers ſentimens, ſes dernieres paroles.	Dis -moi, sans les farder par des termes frivoles, Ses derniers sentiments, ses dernières paroles.
Raconte moy ſa mort.	Raconte moi sa mort.
Ha!	Ha!
non, ne le fais pas, Si tu ne veux au ſien ajouſter mon trepas.	non, ne le fais pas, Si tu ne veux au sien ajouter mon trépas.
Si tu m’aimes pourtant rend moy ce bon office, Auſſi bien ie ne puis ſuruiure à ſon ſupplice.	Si tu m'aimes pourtant rend moi ce bon office, Aussi bien tu ne puis survivre à son supplice.
Pourſuy, n’heſite point, acheue, ne crain rien, Finis ce que tu viens de commencer ſi bien, Figure moy ſa mort ſi fiere & ſi cruelle, Que l’idée m’en puiſſe entraiſner auec elle.	Poursui, n'hésite point, achève, ne crain rien, Finis ce que tu viens de commencer si bien, Figure moi sa mort si fière et si cruelle, Que l'idée m'en puisse entraîner avec elle.
Ie me dédis, arreſte, ô trop aimable Amant!	Je me dédis, arrête, ô trop aimable Amant!
Ne me l’exprime plus qu’auec déguiſement.	Ne me l'exprime plus qu'avec déguisement.
Adouci ſa fierté pour empeſcher ma perte, Dy qu'elle ne l’a pas méme encore ſoufferte.	Adouci sa fierté pour empêcher ma perte, Di qu'elle ne l'a pas même encore soufferte.
Le moyen d’accorder, ô Dieux pleins de rigueur, L’amour & l’amitié qui partagent mon cœur?	Le moyen d'accorder, ô Dieux pleins de rigueur, L'amour et l'amitié qui partagent mon cœur?
* Fay le ſi tu le peux, cet accord incroyable.	* Fais le si tu le peux, cet accord incroyable.
Sois cruel ſi tu veux, ou bien ſois pitoyable:	Sois cruel si tu veux, ou bien sois pitoyable:
Mais dans ta cruauté, mais dans cette pitié, Prend garde à mon amour, ſonge à mon amitié.	Mais dans ta cruauté, mais dans cette pitié, Prend garde à mon amour, songe à mon amitié.
Ie ne ſçaurois (ô Ciel quel deſtin eſt le noſtre,) Viure enſemble par l’vn deuant mourir par l’au	Je ne saurais (ô Ciel quel destin est le nôtre,) Vivre ensemble par l'un devant mourir par l'au
THEOPHILE.	THÉOPHILE.
Si la vie ou la mort vous vient de ſon trepas, Vous viurez donc, Madame, & vous ne mourreZ pas.	Si la vie ou la mort vous vient de son trépas, Vous vivrez donc, Madame, et vous ne mourrez pas.
Encor que cette affaire importante & ſanglante, Ait touché voſtre amie, elle eſt pourtant viuante.	Encor que cette affaire importante et sanglante, Ait touché votre amie, elle est pourtant vivante.
CHRISTINE.	CHRISTINE.
Non non, ne flatte pas le mal que tu m’as fait, C’eſt croiſtre ſa rigueur qu’en retarder l’effet, Et dans cet accident lugubre & deplorable C’eſt m’eſtre bien cruel, que m’eſtre pitoyable.	Non non, ne flatte pas le mal que tu m'as fait, C'est croître sa rigueur qu'en retarder l'effet, Et dans cet accident lugubre et déplorable C'est m'être bien cruel, que m'être pitoyable.
THEOPHILE.	THÉOPHILE.
L’amour ni la pitié n’ont point de part icy, La ſeule verité me fait parler ainſi.	L'amour ni la pitié n'ont point de part ici, La seule vérité me fait parler ainsi.
Ma langue à vous iromper n'eſt nuitement ſçauart, Ie vous le dis encor voſtre amie eſt viuante;	Ma langue à vous iromper n'est nuitement sçauart, Je vous le dis encor vôtre amie est vivante;
Et s’il en faut iurer, i’en iure vos beaux yeux.	Et s'il en faut jurer, j'en jure vos beaux yeux.
CHRISTINE.	CHRISTINE.
Ie n’en fais point de doute, elle vit dans les Cieux.	Je n'en fais point de doute, elle vit dans les Cieux.
THEOPHILE.	THÉOPHILE.
Non, Madame, etle vui meme uuns cefurte L’Ame n’a point eſté de ſon corps ſeparée.	Non, Madame, etle vi -même uuns cefurte L'Âme n'a point été de son corps séparée.
Voyant qu’à ſon ſalut vous preniez intereſt, Les Dieux ont empeſché ſa perte où le leur eſt.	Voyant qu'à son salut vous preniez intérêt, Les Dieux ont empesché sa perte où le leur est.
CHRISTINE.	CHRISTINE.
Dujmuiupuue il faut que ie défere.	Dujmuiupuve il faut que On défère.
Mais pourquoy nommois-tu ſanglante cette affaire?	Mais pourquoi nommais-tu sanglante cette affaire?
THEOPHILE.	THÉOPHILE.
Cette ſeule parole a pû vous expliquer La géne où les bourreaux la deuoient appliquer.	Cette seule parole a pu vous expliquer La gêne où les bourreaux la devaient appliquer.
CHRISTINE.	CHRISTINE.
Il n’eſt donc que trop vray qu'elle a perdu la vie.	Il n'est donc que trop vrai qu'elle a perdu la vie.
Helas!	Hélas!
Melo.	Mélo.
.	.
THEOPHILE.	THÉOPHILE.
Ne craignez point qu’elle luy ſoit rauie.	Ne craignez point qu'elle a soit ravie.
Le furieux Prefet pour plaire à voſtre ſœur, A l’inhumanité fait ſeruir la douceur.	Le furieux Préfet pour plaire à votre sœur, À l'inhumanité fait servir la douceur.
Tourmenté des combats que ſon amour luy liure, Pour la mieux tourmenter, il la veut faire viure.	Tourmenté des combats que son amour lui livre, Pour la mieux tourmenter, il la veut faire vivre.
Pour moy quoy qu’il me ſoit & quoy que ie vous ſois, Ie n’ay pû m'accorder auec vous cette fois.	Pour moi quoi 'il me soit et quoi que je vous sois, Je n'ai pu m'accorder avec vous cette fois.
Ie n'ay pû conſentir à de ſi durs ſupplices, Quoy que ie vous en creuſſe également complices.	Je n'ai pu consentir à de si durs supplices, Quoi que je vous en crusse également complices.
Mais ſans doute l’amour donnoit ſecrettement A nos cœurs qu’il poſſede vn méme ſentiment.	Mais sans doute l'amour donnait secrètement A nos cœurs qu'il possède un même sentiment.
Bien que d’obſcuritez vos paroles ſoient pleines, Ellos m’en ſont pourtant des preuues tres-certaines Si bien qu'apres cela ie ne voy pas pourquoy Vous en iettez la faute & ſur vous & ſur moy.	Bien que d'obscurités vos paroles soient pleines, Éllos m'en sont pourtant des preuves très -certaines Si bien qu'après cela ie ne vois pas pourquoi Vous en jetez la faute et sur vous et sur moi.
Eſclairciſſez m’en donc, cher ſouci de mon ame.	Éclaircissez m'en donc, cher souci de mon âme.
SILIATO MMMR.	SILIATO MMR.
Dy moy, m’aimes-tu bien?	Dis -moi, m'aimes-tu bien?
TIIEOPTTILE.	TIIEOPTTILE.
Ha!	Ha!
ma Reine, ha!	ma Reine, ha!
Madame.	Madame.
CHRISTINE.	CHRISTINE.
Parle, as tu de l’amour?	Parle, as tu de l'amour?
THEOPHILE.	THÉOPHILE.
En pouuez-vous douter?	En pouvez-vous douter?
CHRISTINE.	CHRISTINE.
Luy ſeul fait noſtre crime.	Lui seul fait notre crime.
THEOPHILE.	THÉOPHILE.
Ha?	Ha?
i’y veux perſiſter.	j'y veux persister.
Ie veux d'vn ſi beau crime eſtre à iamais coûpable, Et de m'en repentir ie ne ſuispoint capable.	Je veux d'un si beau crime était à jamais couable, Et de m'en repentir notre ne suispoint capable.
Voſtre vofere asfconrs pour tam ne meſt pus moins obſcur,	Votre vofère asfonrs pour tam ne mest pus moins obscur,
HRISTINE.	HRISTINE.
Touchée d'vn amour que i’auois cru ſi pur, Ie n’ay pû voir aller cent fois chez Dorothée Vn de tes ſeruiteurs ſans eſtre inquietée.	Touchée d'un amour que j'avais cru si pur, Je n'ai pu voir aller cent fois chez Dorothée Un de tes serviteurs sans être inquiétée.
Ie n’ay ſçeu qu'enpenſer (excuſe, cher Amant) Sinon qu'il agiſſoit par ton commandement.	Je n'ai su qu'enpenser (excuse, cher Amant) Sinon qu'il agissait par ton commandement.
Mon amour ſe changeant alors en ialouſie, Le deſeſpoir en ſuitte à mon ame ſaiſie.	Mon amour se changeant alors en jalousie, Le désespoir en suite à mon âme saisie.
Ma ſœur ſçachant mon mal, dans vne trahiſon En a contre mon gré cherché la gueriſon:	Ma sœur sçachant mon mal, dans une trahison En a contre mon gré cherché la guérison:
Et croyant la trouuer en perdant cette amie, Sa colere a ſi fort ſa raiſon endormie, Qu'elle en a fait enfin, violant l’amitié, D'vn objet de vengeance vn objet de pitié.	Et croyant la trouver en perdant cette amie, Sa colère a si fort sa raison endormie, Qu'elle en a fait enfin, violant l'amitié, D'un objet de vengeance un objet de pitié.
Depuis nous auions ſceu que tu m’eſtois fidelle, Et que ton ſeruiteur n’alloit ainſi chez elle, Apres s’eſtre rangé ſous la loy des Chreſtiens, Que pour s’y confirmer par ſes doux entretiens.	Depuis nous avions su que tu m'étais fidèle, Et que ton serviteur n'allait ainsi chez elle, Apres s'être rangé sous la loi des Chrétiens, Que pour s'y confirmer par ses doux entretiens.
Par vn eſtonnement peſe noſtre ſurpriſe.	Par un étonnement pèse notre surprise.
THEOPHILE.	THÉOPHILE.
Elle ne ſçauroit eſtre exprimée ou compriſe.	Elle ne saurait être exprimée ou comprise.
Qu’ay-ie oüy, iuſte Ciel!	Qu'ai-je oui, juste Ciel!
voſtre grand cœur ialoux?	votre grand cœur jaloux?
De moy?	De moi?
par un des miens?	par un des miens?
de grace expliquezvous.	de grâce expliquezvous.
Qui peut eſtre celuy de tous mes domeſtiques, Qui m’a fait tant de mal par ſes laches pratiques?	Qui peut être celui de tous mes domestiques, Qui m'a fait tant de mal par ses lâches pratiques?
Dites, dites ſon nom:	Dites, dites son nom:
il faut que dans ſon ſang, I'eſtouffe ce ſerpent qui me perce le flanc.	il faut que dans son sang, J'étouffe ce serpent qui me perce le flanc.
RISTINE.	RISTINE.
Modere ton ardeur, reuoque ta menace.	Modère ton ardeur, revoque ta menace.
Ie tay caché ſon nom pour obtenir ſa grace.	Je tai caché son nom pour obtenir sa grâce.
E THEO	E THÉO
THEOPHILE.	THÉOPHILE.
vu grute:	vu grute:
Ha:	Ha:
non, Mauame, il eſt aigne de mort.	non, Maume, il est aigne de mort.
HRISTINE.	HRISTINE.
I'en ſuis donc bien plus digne, ayant bien plus de tort.	J'en suis donc bien plus digne, ayant bien plus de tort.
Car ce malheureux n’eſt que la canſe innocente Des ſoubçons dont il faut que mon cœur ſe repente.	Car ce malheureux n'est que la canse innocente Des soubçons dont il faut que mon cœur se repente.
Ou puraunne nons aont, ou ine nous tons deux;	Ou puraunne nons aont, ou ine nous tons deux;
Et plus envor que luy tue moy ſi tu peux.	Et plus envor que Seigneur tue moi si tu peux.
THEOPHILE.	THÉOPHILE.
Ha!	Ha!
ſi vous ne tenez nos Dieux pour des Idoles, ArreſteZ, arreſtez ces cruelles paroles.	si vous ne tenez nos Dieux pour des Idoles, Arrêtez, arrêtez ces cruelles paroles.
Je veux moins me venger de cet audacieux, Pour mon propre intereſt que pour celuy des Dieux.	Je veux moins me venger de cet audacieux, Pour mon propre intérêt que pour celui des Dieux.
Ces grands Dieux ont permis que vous fiſſieZ iniure A ma fidelité pour punir ce pariure.	Ces grands Dieux ont permis que vous fissiez injure À ma fidélité pour punir ce parjure.
C’eſt de leur prouidence un merueilleux effet, De m’auoir fait par vous découurir ſon forfait.	C'est de leur providence un merveilleux effet, De m'avoir fait par vous découvrir son forfait.
M MdJ 3 Ie n’euſſe iamais ſçeu ſa noire Apoſtaſie.	M MdJ 3 Je n'eusse jamais su sa noire Apostasie.
Mais i’atteſte à preſent ces Dieux & noſtre amour, Que ſi i'apprend qui c’eſt, il en perdra le iour.	Mais j'atteste à présent ces Dieux et notre amour, Que si j'apprend qui c'est, il en perdra le jour.
HRISTINE.	HRISTINE.
Laiſſe, laiſſe à ces Dieux ſcrupuleux Tneophile, Le ſoin de le punir, comme il leur eſt facile.	Laisse, laisse à ces Dieux scrupuleux Tophile, Le soin de le punir, comme il leur est facile.
Mais non, ſans que ces Dieux ni toy preniez ce ſoin, Sa perte aſſeurement ne ſçauroit eſtre loin.	Mais non, sans que ces Dieux ni toi preniez ce soin, Sa perte assurément ne saurait être loin.
Sl apprend la priſon de ſa chere complice, Il s’ira preſenter luy meſme à ſon ſupplice.	Sl apprend la prison de sa chère complice, Il s'ira présenter un même à son supplice.
Sans doute il a du cœur, puis que c’eſt vn des tiens, Il fera ce que font tous les autres Chreſtiens.	Sans doute il a du cœur, puis que c'est un des tiens, Il fera ce que font tous les autres Chrétiens.
Ils cherchent tous la mort comme un bonheur extreme, mncancinquenu pue us juirt uuſſt te meſme.	Ils cherchent tous la mort comme un bonheur extrême, mncancinquenu pue us juirt ust te même.
THEOPHILE.	THÉOPHILE.
Puiſſay-ie à pluſieurs morts le trouuer deſtiné.	Puissé-je à plusieurs morts le trouver destiné.
PIISPINE.	PIISPINE.
Quoy, ie ne puis donc rien ſur vn cœur obſtiné!	Quoi, Seigneur ne puis donc rien sur un cœur obstiné!
THEOPHILE.	THÉOPHILE.
Vous pouuez tout ſur luy.	Vous pouvez tout sur force.
CHRISTINE.	CHRISTINE.
Pouuoir inefficace, Qui n’en peut ſeulement arracher vne grace!	Pouvoir inefficace, Qui n'en peut seulement arracher une grâce!
THEOVHILE.	THÉOUHILE.
Ha!	Ha!
ie remets ſon ſort, Madame, entre vos mains, Mais dires moy ſon nom.	Elle remets son sort, Madame, entre vos mains, Mais dires -moi son nom.
CHRISTINE.	CHRISTINE.
O deſirs inhumains!	Ô des inhumains!
Si ie te dis ſon nom, ç’en eſt fait de ſa vie.	Si ie te dis son nom, ç'en est fait de sa vie.
HEOPHILE.	HEOPHILE.
Dans de ſi belles mains peut-elle eſtre rauie?	Dans de si belles mains peut-elle être ravie?
Non, puiſqu'à l’empeſcher vous vous intereſſez, Les Dieux, Aprice & moy n’y pouuons pas aſſez, Et ne pounant le perdre auec toutes nos forces, Ie veux à le gagner employer minio umortes.	Non, puisqu'à l'empêcher vous vous intéressez, Les Dieux, Aprice et moi n'y pouvons pas assez, Et ne pouvant le perdre avec toutes nos forces, Je veux à le gagner employer minio umortes.
NommeZ le donc, Madame.	Nommez le donc, Madame.
CHRISTINE.	CHRISTINE.
Hé!	Hé!
veux-tu m’obli ger De t’apprendre vn ſecret qui te doit affliger.	veux-tu m'obli ger De t'apprendre un secret qui te doit affliger.
HEOPHILE.	HEOPHILE.
L’ignorance où i’en ſuis m’afflige plus encore,	L'ignorance où j'en suis m'afflige plus encore,
2	2
CHRISTINE.	CHRISTINE.
aiiai ſtle Pauvis ait que c'eſt Athemodore?	aiiai stle Pauvis ait que c'est Athémodore?
THEOPHILE.	THÉOPHILE.
I’aurois moins de colere & beauconp plus d’ennuy.	J'aurais moins de colère et beauconp plus d'ennui.
Mais ne debiaiſez point, non non ce n’eſt pas luy.	Mais ne débiaisez point, non non ce n'est pas Seigneur.
Si ſa foy pour nos Dieux n’eſtoit bien affermie, Euſt-il pù concourir à perdre voſtre amie?	Si sa foi pour nos Dieux n'était bien affermie, Eut-il pù concourir à perdre votre amie?
Cependant il l’a fait, il n’en faut point douter, Aleppellant pour la faire & prendre & tourmenter.	Cependant il l'a fait, il n'en faut point douter, Alepelant pour la faire et prendre et tourmenter.
CHRISTINE.	CHRISTINE.
Peut-eſtre ignoroit-il ce fier deſſein d’Aprire.	Peut-être ignorait-il ce fier dessein d'Aprire.
uoy que s'en ſoit ma ſœur forenu ju pretectrice.	uoy que s'en soit ma sœur forenu ju pretectrice.
Elle eſt pour la ſauuer deſia cheZ le Prefet.	Elle est pour la sauver déjà chez le Préfet.
Croy-tu que ſon deſſein puiſſe auoir ſon effet?	Crois-tu que son dessein puisse avoir son effet?
THEOPHILE.	THÉOPHILE.
Ie ne le penſe pas, ô dinine merueille!	Je ne le pense pas, ô dinine merveille!
Ie n’ay pû l’adoucir ſa rage eſt nompareille.	Je n'ai pu l'adoucir sa rage est nompareille.
Son eſprit furieux ne ſe peut relaſcher, Et le vouloir flechir c’eſt le vouloir facher.	Son esprit furieux ne se peut relâcher, Et le vouloir fléchir c'est le vouloir fâcher.
Il eſt vray que l’amour peut faire des miracles, Et vaincre en ſa faueur les plus puiſſans obſtacles.	Il est vrai que l'amour peut faire des miracles, Et vaincre en sa faveur les plus puissants obstacles.
Muir non, puis qu'elle a pu contre la verité Vous faire ſoubconner de ma fidelité, L'Amour déuroit pluſtoſt deffendre ma querelle, Et venger pleinement mon iniure ſur elle.	Muir non, puis qu'elle a pu contre la vérité Vous faire souconner de ma fidélité, L'Amour devrait plutôt défendre ma querelle, Et venger pleinement mon injure sur elle.
CHRISTINE.	CHRISTINE.
Ha!	Ha!
cruel, cet Amant ſera plus donx que toy, Et pour te le monſtrer voicy voicy, dequoy;	cruel, cet Amant sera plus donx que toi, Et pour te le montrer voic y, dequoy;
Le Crel ſe rend enfin ſenſible à mon ennie.	Le Crel se rend enfin sensible à mon ennie.
SCENE	SCÈNE
SCENE VI.	SCÈNE VI.
CHRISTINE.	CHRISTINE.
APRICE.	APPRICE.
CALISTE.	CALISTE.
DONOIMEE.	DONOIMEE.
CHEORHILE.	CHÉORHILE.
CHRISTINE.	CHRISTINE.
A pauure Dorothée, es-tu donc bien en vie?	À pauvre Dorothée, es-tu donc bien en vie?
IIA qui doy-ie de vons cet inſigne bonheur?	IIA qui dois-je de vons cet insigne bonheur?
Eſt-ce à toy, chere ſœur * Eſt-ce à vout ô Sei-*A calit gneur?	Est-ce à toi, chère sœur * Est-ce à vout ô Sei-*A calit gneur?
AAprie	AAprie
APRICE.	APPRICE.
Vous le deuez, Madame, au ſeul objet que i’aime.	Vous le devez, Madame, au seul objet que j'aime.
CALISTE.	CALISTE.
Ma ſœur, tu ne le dois, apres luy, qu’à toy meſme.	Ma sœur, tu ne le dois, après lui, qu'à toi -même.
Tu ſcais que ta pitié pour ſon malheureux ſort M'a fait partir d’icy pour empeſcher ſa mort, Et que pour la ſauuer, cette chere Chreſtienne, Mon amitié n’a fait que ſeconder la tienne.	Tu sais que ta pitié pour son malheureux sort M'a fait partir d'ici pour empêcher sa mort, Et que pour la sauver, cette chère Chrétienne, Mon amitié n'a fait que seconder la tienne.
Ct gentrenx Amant la mer entre nor mains, Mais c’eſt pour luy donner des ſentimens humains, Et luy faire abiurer cette ſecte brutale, Que tous ſes deffenſeurs eſprounent ſi fatale.	Ct gentrenx Amant la mer entre nor mains, Mais c'est pour lui donner des sentiments humains, Et lui faire abjurer cette secte brutale, Que tous ses défenseurs éprounent si fatale.
DOROTHE’E.	DOROTHÉÉE.
Caliſte, parle mieux d’vne Religion,  Pour qui vous brulerez bien toſt d’affection.	Caliste, parle mieux d'une Religion, Pour qui vous brûlerez bien tôt d'affection.
Ie viens vous y remettre.	Je viens vous y remettre.
Ainſi, chere Chriſtine, Tu dois ma deliurance à la bonté Diuine.	Ainsi, chère Christine, Tu dois ma deliurance à la bonté Divine.
Oüy noſtre Dieu tout bon me met entre vos mains, Pour oſter de vos cœurs ces ſentimens humains.	Oui notre Dieu tout bon me met entre vos mains, Pour ôter de vos cœurs ces sentiments humains.
Humains;	Humains;
Humains;	Humains;
Ha!	Ha!
ie dis mal, puis qu’il eſt tout viſible.	Hé dis mal, puis qu'il est tout visible.
Que vous ne les teneZ que d’vn Demon horrible.	Que vous ne les teneZ que d'un Démon horrible.
L'Amour vous les inſpire, & ſous un ſi beau nom, Se gliſſe dans vos cœurs cet horrible Demon, VoyeZ ſi ie vous ments par ces muunts ſames, Dont il brule luy meſme & fait bruler vos ames.	L'Amour vous les inspire, et sous un si beau nom, Se glisse dans vos cœurs cet horrible Démon, VoyeZ si ie jus ments par ces muunts sames, Dont il brule luimême et fut brûler vos âmes.
APRICE.	APPRICE.
O blaſpheme!	Ô blaspheme!
c’eſt toy, lache, dont la beauté Cache d’vn vray Demon l’eſprit & la fierté.	c'est toi, lache, dont la beauté Cache d'un vrai Démon l'esprit et la fierté.
DOROTHE’E.	DOROTHÉÉE.
Eſtouffe, ardent Prefet, l’amour ou la colere, Que parmi tant de feux ta ſanté ne s’altere.	Étouffe, ardent Préfet, l'amour ou la colère, Que parmi tant de feux ta santé ne s'altère.
APRICE.	APPRICE.
Sçache que tous ces feux de colere & d’amour S’alument ſeulement pour te rauir le iour.	Sache que tous ces feux de colère et d'amour S'alument seulement pour te ravir le jour.
Que s’ils ne l’ont pas fait iuſqu'à l’heure preſente, Rend grace à leurs bontez, ſois en reconnoiſſante.	Que s'ils ne l'ont pas fait jusqu'à l'heure présente, Rend grâce à leurs bontés, sois en reconnaissante.
Si tu le veux bien faire, eſcoute leurs auis, Ouoien toſt punees fena tes tonta feront rauis, Profite de leurs ſoins, ne ſois pas obſtinée, Et n'attend plus de grãce apres cette iournée.	Si tu le veux bien faire, écoute leurs avis, Ouvoyen tôt punes fena tes tôta feront ravis, Profite de leurs soins, ne sois pas obstinée, Et n'attend plus de grãce apres cette journée.
Il y va de ta vie, Adieu, ſonges y bien.	Il y va de ta vie, Adieu, songes y bien.
DOROTHE’E.	DOROTHÉÉE.
Leurs ſoins ſur mon eſprit ne pourront iamais rien,	Leurs soins sur mon esprit ne pourront jamais rien,
RICE, Bien bien, n’employez plus ces ſoins pour cette ingrate.	RICE, Bien bien, n'employez plus ces soins pour cette ingrate.
Il faut pre ſentement que mon courroux eſclatte.	Il faut pré sentement que mon courroux éclatte.
DOROTHEE.	DOROTHÉE.
Ton courroux peut bien moins.	Ton courroux peut bien moins.
ATRICE	ATRICE
APRICE.	APPRICE.
Attenas aonc vn moment.	Attenas aonc un moment.
CALISTE.	CALISTE.
Ma ſœur, va la conduire à ton appartement, Ie m'en vay l’arreſter.	Ma sœur, va la conduire à ton appartement, Je m'en vais l'arrêter.
SCENE VII.	SCÈNE VII.
CHRISTINE.	CHRISTINE.
THEOPHILE.	THÉOPHILE.
DOROTHE’E.	DOROTHÉÉE.
CHRISTINE.	CHRISTINE.
Svy la, cher Theophile.	Sui la, cher Théophile.
Ton abſence à ce coup me plait & m'eſt vtile.	Ton absence à ce coup me plaît et m'est utile.
Ua, taſche d’appaiſer auec l’authorité, D’vn ami tout-puiſſant cet amant irrité.	Oùa, tâche d'apaiser avec l'autorité, D'un ami tout-puissant cet amant irrité.
THEOPHILE.	THÉOPHILE.
D'arme s empiope mt ou je tronne l'Amante.	D'arme s empiope mt ou je tronne l'Amante.
Toutes-fois ie la ſuy pour vous rendre contente.	Toutefois assez la suivi pour vous rendre contente.
HRISTINE.	HRISTINE.
Uien, chere Dorothée, allons te conſeruer.	Viens, chère Dorothée, allons te conserver.
DOROTHE’E.	DOROTHÉÉE.
Allons pluſtoſt, Chriſtine, allons pour te ſauuer.	Allons plutôt, Christine, allons pour te sauver.
ACTE	ACTE
ACIE III.	ACIE III.
DOROTHEE.	DOROTHÉE.
CHRISTINE.	CHRISTINE.
CALISTE.	CALISTE.
APRICE.	APPRICE.
THEOPHILE.	THÉOPHILE.
ATHEMODORE.	ATHÉMODORE.
FLAVIEN.	FLAVIEN.
ELISE.	ÉLISE.
