A MONSEIGNEVR MONSEIG.	À MONSEIGNEUR MONSEIG.
Mais s’il ne reſponds pas à des moyens ſi doux, Ne crains point ſon courronx, tonne, menace, éclatte, D’vne ſaincte terreur remply cette ame ingratte, Dis luy qu’il va ſe perdre, en perdant les Chreſtiens, Et que le Ciel vangeur veut proteger les ſiens, Adieu, c’eſt aſſez dit, tu ſçais ce qu’il faut faire.	Mais s'il ne réponds pas à des moyens si doux, Ne crains point son courronx, tonne, menace, éclatte, D'une sainte terreur rempli cette âme ingrate, Dis ainsi qu'il va se perdre, en perdant les Chrétiens, Et que le Ciel vengeur veut protéger les siens, Adieu, c'est assez dit, tu sais ce qu'il faut faire.
CENE V.	CÈNE V.
BARNABE'.	BARNABE'.
Lût au Ciel qu’â mes vœux il ne fuſt point T contraire , a ena u Et que reconnoiſſant ce bonheur tel qu’il eſt Il ne s’oppoſaſt point à ſon propre intereſt;	Lût au Ciel qu'à mes vœux il ne fût point T contraire , a ena Et que reconnoissant ce bonheur tel il est Il ne opposât point son propre intérêt;
Pour de ſemblables coups i’oſe tout entreprendre;	Pour de semblables coups j'ose tout entreprendre;
Mais i’ay lieu de tout craindre, & de ne rien pretendre, De tous nos ennemis c’eſt le plus inhumain, Il a la rage au cœur, les armes à la main;	Mais j'ai lieu de tout craindre, et de ne rien prétendre, De tous nos ennemis c'est le plus inhumain, Il a la rage au cœur, les armes à la main;
C’eſt aſſez que le Ciel à mes vœux ſoit propice, Pour l’aller retirer du bord du precipice, Dans ce iuste deſſein, que peut-il m’arriuer?	C'est assez que le Ciel à mes vœux soit propice, Pour l'aller retirer du bord du précipice, Dans ce juste dessein, que peut-il m'arriver?
Ie conſens à ma perte afin de le ſauuer, Qu’il me priue du iour, que ie perde la vie, Si ſa conuerſion par ma mort eſt ſuiuie, Obtenant cet effet ie ne m’en plaindray pas, C’eſt me rendre immortel au milieu du trepas;	Je consens à ma perte afin de le sauver, Qu'il me prive du jour, que ie perde la vie, Si sa conversion par ma mort est suivie, Obtenant cet effettrès ne m'en plaindrai pas, C'est me rendre immortel au milieu du trépas;
Il faut tout hazarder pour ce que l’on doit croire;	Il faut tout hasarder pour ce que l'on doit croire;
Plus le peril eſt grand, plus grande en eſt la globrt.	Plus le péril est grand, plus grande en est la globrt.
SENEVI.	SENEUI.
BARNABE', ANANIE.	BARNABE', ANANIE.
DANNADE.	DANNADE.
Ais ie vois Ananie, & le trouue à proM pos.	Ais ici vois Ananie, et le trouve à proM os.
ANANIE.	ANANIE.
Et moy ie vous cherchois pour me mettre en repos, Et pour vous confier le trouble de mon ame.	Et moi ici vous cherchais pour me mettre en repos, Et pour vous confier le trouble de mon âme.
BARNABE' Quel en eſt le ſujet?	BARNABE' Quel en est le sujet?
12	12
ANANIE.	ANANIE.
Ce cruel, cet infame, Qui depuis tant de temps ſoüillé du ſang Chreſtien, Veut ſe rougir encore & du voſtre, & du mien, Il eſt preſt de ſaouller ſes brutales enuies, De briſer nos Autels, de s’immoler nos vies, De n’épargner perſonne, aage, ſexe, ny rang, Et de faire par tout ruiſſeler noſtre ſang, Il doit uuion uoſpens fune coilarer fu rage, Fuyons cette tempette, euitons cet orage,	Ce cruel, cet infâme, Qui depuis tant de temps sourillé du sang Chrétien, Veut se rougir encore et du monde, et du mien, Il est prêt de saouller ses brutales envies, De briser nos Autels, de s'immoler nos vies, De n'épargner personne, âge, sexe, ni rang, Et de faire par tout ruisseler notre sang, Il doit évion uospens fun coilarer fu rage, Fuyons cette tempette, évitons cet orage,
DANNADE.	DANNADE.
Fuir alors qu’il faut vaincre, ah!	Fuir alors qu'il faut vaincre, ah!
ne m'en par	ne m'en par
lés pas.	lès pas.
ANANIE.	ANANIE.
Il mettra tout à mort.	Il mettra tout à mort.
Ie craius peu le trepas, Quel ſujet auez vour e de fuir,e de craindre?	Je craius peu le trépas, Quel sujet avez vour e de fuir,e de craindre?
La mort, ou les tourmens peuuent-ils vous conMainares	La mort, ou les tourments peuvent-ils vous conMainares
ANANIE.	ANANIE.
Qui preſume par trop peut enfin ſuccomber.	Qui presume par trop peut enfin succomber.
ARNABE'.	ARNABE'.
La foy qui nous ſoûtient nous garde de tomber.	La foi qui nous soutient nous garde de tomber.
AIVIINIE.	AIVIINIE.
Fuyons vn ennemy qui n’épargne perſonne.	Fuyons un ennemi qui n'épargne personne.
D ARNABE.	 DRNABE.
L’on peut par ce moyen meriter la couronne.	L'on peut par ce moyen mériter la couronne.
ANANIE.	ANANIE.
Euitons ſa fureur.	Éviterons sa fureur.
BARNABE'.	BARNABE'.
Oppufuns nous a luy, Que peut craindre vn Chreſtien?	Opuffuns nous a Roi, Que peut craindre un Chrétien?
le Ciel eſt ſon appuy.	le Ciel est son appui.
ANANIE.	ANANIE.
Mais courir à la mort.	Mais courir à la mort.
BARNABE' C’eſt courir à la gloire, Ce n'eſt pas en fuyant qu'on gaigne la victoire.	BARNABE' C'est courir à la gloire, Ce n'est pas en fuyant qu'on gagne la victoire.
ANANIE.	ANANIE.
Preuoyant vn malheur on le doit euiter.	Prévoyant un malheur on le doit éviter.
BARNABE'.	BARNABE'.
Eſt-ce ainſi qu’un Chreſtien s’apreſte à meriter?	Est-ce ainsi qu'un Chrétien s'apprête à mériter?
ANANIE.	ANANIE.
La joyn'uruonne pas que t'on ſe precipite, Ou coureZ vous?	La join'uronne pas que t'on se précipite, Ou coureZ -vous?
BARNABE.	BARNABÉ.
Ie cours, ou ſonthonneur m’inuite.	Je cours, ou sonthonneur m'inuite.
ANANIE.	ANANIE.
Abandonner ſes iours, c’eſt ſe donner la mort.	Abandonner ses jours, c'est se donner la mort.
BARNABE'.	BARNABE'.
La rechercher pour elle eſt-il vn plus beau ſort?	La rechercher pour elle est-il un plus beau sort?
Faire tout pour le bien, & le ſalut d’vne ame, C’eſt l’vnique deſir qui m’anime & m’enflame, Oüy, pour d’estourner Saul de ſon aueuglement, I'expoſeray ma teste au plus cruel tourment.	Faire tout pour le bien, et le salut d'une âme, C'est l'unique désir qui m'anime et m'enflamme, Oui, pour d'étourner Saul de son aveuglement, J'exposerai ma tête au plus cruel tourment.
ANANIE.	ANANIE.
Vostre zele eſt ardant.	Votre zèle est ardant.
BARNABE'.	BARNABE'.
Si l’entrepriſe eſt grande, Ne vous estonnez pas, le Ciel me la commande, Que ſa ſage equité n’ordonne purenvain, Auſſi loing de fuir Saul, ou d’euiter ſa rage, Ie luy veux oppoſer ma forcé, & mon courage, Et ſi pour le ſauuer il faut perdre le iour, Ie veux par ce moyen luy montrer mon amour.	Si l'entreprise est grande, Ne vous étonnez pas, le Ciel me la commande, Que sa sage équité n'ordonne purenvain, Aussi loing de fuir Saul, ou d'éviter sa rage, Je lui veux opposer ma forcé, et mon courage, Et si pour le sauver il faut perdre le jour, Je veux par ce moyen du montrer mon amour.
ANANIE.	ANANIE.
Le moyen d’arrester ſon extreme inſolence, La fureur le poſſede auec violence, Il a par ſon credit & par ambirion, 2 Obtenu du grand Preſtre ample commiſſion, D’étouffer au plûtoſt nos nouuelles maximes;	Le moyen d'arrêter son extrême insolence, La fureur le possède avec violence, Il a par son crédit et par ambirion, 2 Obtenu du grand Prêtre ample commission, D'étouffer au plûtost nos nouvelles maximes;
Il voit tout les Chrestrens comme autant de vi ctimes, AMAAu Qu’il veut ſacrifier pour aſſouuir ſon cœur, Pourrez vous l’arreſter par force ou par douceur?	Il voit tout les Chrestrens comme autant de vi times, AMAu Qu'il veut sacrifier pour assouvir son cœur, Pourrez -vous l'arrêter par force ou par douceur?
Il n’a pris cẽt employ que pour ſeruir ſa gloire, Pour faire de l’oubly triompher ſa memoire, Damas eſt destiné comme vn objet de deüil, Pour eſtre le Theatre ou plûtoſt le cercüeil Ou les Chreſtiens verront une brutale enuie, En prodiguant leur ſang n’estre pas aſſouuis, Et déployer ſur eux ce que la cruauté La rage & la fureur ont iamais inuenté, O triste objet d’horreur!	Il n'a pris cẽt emploi que pour servir sa gloire, Pour faire de l'oubli triompher sa mémoire, Damas est destiné comme un objet de deuil, Pour être le Théâtre ou plutôt le cercueil Ou les Chrétiens verront une brutale envie, En prodiguant leur sang n'être pas assouis, Et déployer sur eux ce que la cruauté La rage et la fureur ont jamais inventé, Ô triste objet horreur!
dont la ſeule penſée Rend d’vne iuſte crainte vne ame trauerſée, Vous m’accuſieZ tantoſt, n'auois ie pas raiſon?	dont la seule pensée Rend d'une juste crainte une âme traversée, Vous m'accusez tantôt, n'avais ie pas raison?
D'éuiter cette rage & cette trahiſon.	D'éviter cette rage et cette trahison.
BARNABE'.	BARNABE'.
Ie ne vous cele point que ce diſcours m’étonne Ie connois ſa fureur & vois bien la couronne Qu'Eſtienne par ſes mains poſſede dãs les Cieux;	Je ne vous cèle point que ce discours m'étonne Je connais sa fureur et vois bien la couronne Qu'Étienne par ses mains possède dans les Cieux;
Mais parmy les mépris fut-il pas glorieux?	Mais parmi les mépris fut-il pas glorieux?
N’eſt-ce pas vn estat digne de nostre enuie?	N'est-ce pas un état digne de notre envie?
Heureux, ſi comme luy ie prodiguois ma vie, Tout foible que ie ſuis i’aſpire à cet honneur, Et ie ſuis auiourd’huy ialoux de ſon bon-heur.	Heureux, si comme lu ie prodiguois ma vie, Tout faible que je suis j'aspire à cet honneur, Et tu suis aujourd'hui jaloux de son bonheur.
ANANIE.	ANANIE.
Arrestez Barnabé, la Diuine Sageſſe Pour les plus grands effets ſe ſert de la foibleſſe, N’ayez n’ayez iamais paint d’autres ſentimens Que celuy d’obeïr à ſes commandemens;	Arrêtez Barnabé, la Divine Sagesse Pour les plus grands effets se sert de la faiblesse, N'ayez n'ayez jamais paint d'autres sentiments Que celui d'obéir à ses commandements;
L’iniuste ardeur de Saul n’a pas aſſeZ d’amorces Pour pouuui on moment nefiper a jes forces.	L'injuste ardeur de Saul n'a pas assez d'amorces Pour pouuui on moment nefiper à jes forces.
BARNABE'.	BARNABE'.
Allons done Ananie, allous donc au combat Eprouuer ſi ce cœur, ou chancelle, ou s’abbat, Allons en ſa faueur gaigner vne victoire, Ou bien par nostre mort ſignaler noſtre gloire.	Allons done Ananie, allous donc au combat Éprouver si ce cœur, ou chancelle, ou s'abat, Allons en sa faveur gagner une victoire, Ou bien par notre mort signaler notre gloire.
ANANIE.	ANANIE.
Daiguez, ô iuste Ciel!	Daiguez, ô juste Ciel!
ſeconder ce deſſein	seconder ce dessein
SARNABE'.	SARNABE'.
Et d'vn diuin eſfort penerez en ſon ſein.	Et d'un divin éfort pénérez en son sein.
ACTE	ACTE
189 IECIEII	189 IECIEI
SCENE PREMIERE.	SCÈNE PREMIÈRE.
BAVL, SILAS, MARSIASJIVLE deux Pages, deux Soldats.	BAUL, SILAS, MARSIASIVLE deux Pages, deux Soldats.
2 SAL.	2 SAL.
VPPRAI L eſt bien vray, Silas, mon ami fuſt rauie 16 Tout parant qu’il m’eſtoit de voir ufinir ſa vie;	VPPRAI L est bien vrai, Silas, mon ami fût ravie 16 Tout parant qu'il m'était de voir ufinir sa vie;
Conſiderant ſon crime à l’endrois de la Loy I'ay pris de le punir & le ſoin, & l’employ, Et ſans quelque pudeur qui retenoit ma hainé, Il auroit, par ma maimreſſenty cette peine, Et mon bras animé contre mon propre ſang, Hour Ejfucer ju funto mmamannert ſon flanc.	Considérant son crime à l'endrais de la Loi J'ai pris de le punir et le soin, et l'emploi, Et sans quelque pudeur qui retenait ma hainé, Il aurait, par ma maimressenti cette peine, Et mon bras animé contre mon propre sang, Hour Éjucer ju funto mmamannert son flanc.
IVLE.	IULE.
Admirez toutesfois qu’elle en eſt ſon eſtime, Puis qu’il meurt conſtamment pour maintenit ce crime,	Admirez toutefois qu'elle en est son estime, Puis qu'il meurt constamment pour maintenit ce crime,
LA S Ainſi l’homme ſearompe, & fonde ſon bonbeur, Sur la legereté d’un penſer ſuborneur,	LA S Ainsi l'homme searompe, et fonde son bonbeur, Sur la légèreté d'un penser suborneur,
2 Son ſentiment luy plarſt, il en eſt adolaſtre, Alors qu'en ſon eſprit il deuroit le combattre, S’il s’attache une fois à cette folle erreur, Il ne craint ny peril, ny tourment, ny fureur, Et pour la maintenir il Ie perdra ſoy meſme.	2 Son sentiment deux plart, il en est adolâtre, Alors qu'en son esprit il devrait le combattre, S'il s'attache une fois à cette folle erreur, Il ne craint ni ours, ni tourment, Seigneur fureur, Et pour la maintenir il Ie perdra soi -même.
2 L.	2 L.
Cette erreur l’a plongé dans vn malheur extreme;	Cette erreur l'a plongé dans un malheur extrême;
Ie t'uy plains, ie l'auoüt, & málgre eet éffore Man oœur malaiſement conſentoipà ſa mort, Fãché de voiriſouffrir auec tant de çourage, La honté d’vne mort pire que l’eſclauage;	Je t'avez plains, ie l'auoüt, et mêlgre cet éffore Man oœur malaisément consentoipà sa mort, Fãché de voirisouffrir quelque tant de çourage, La honté d'une mort pire que l'esclavage;
Mais, puiſqu’on ma thoiſi, pour reſpondre à ce choix Mon bras auecque ardeur doit, deffendre nos loix, iav Et pour exterminer cette ſecte Chreſtienne, Qui tache à peruertir la coûstume ancienne, e vons leiure, amis, i'emploiray la rigueur, Ma force, mon pouuoir, mon épée, & mon cœur.	Mais, puisqu'on ma thoisi, pour répondre à ce choix Mon bras avec ardeur doit, défendre nos loix, Et pour exterminer cette secte Chrestienne, Qui tache pervertir la coûstume ancienne, vons leiure, amis, emploiray la rigueur, m force, mon pouuoir, mon épée, et mon cœur.
MAIRSIAS.	MAIRSIAS.
O le zele feruent Tô l'illustre Entrepriſe!	Ô le zèle fervent Tô l'illustre Entreprise!
C’eſt par de tels deſſeins que l’on s’immortaliſe, Que la loy qui vous doit ſa gloire, & ſon éclat, Vous nomme deſormais le ſoûtien de l’Estat.	C'est par de tels desseins que l'on s'immortalise, Que la loi qui vous doit sa gloire, et son éclat, Vous nomme désormais le soutien de l'État.
ILAS.	ILAS.
Ce nom vous eſt acquis cette ardeur vous le idonnesoq vuganier «'a	Ce nom vous est acquis cette ardeur vous le idonnesoq vuganier «'a
A V L.	À V L.
ME I’en feray de l’estat plus que d’vne couronne, Et trop recompensé d’auoir vn tet employ, Ma gloire ſera grande à maintenie la Loy:	ME J'en ferai de l'état plus que d'une couronne, Et trop récompensé d'avoir un tet emploi, Ma gloire sera grande à maintenie la Loi:
Auſſi Auſſi de nos ayeulx ie veux ſuiure l’example, Et ne permettre pas qu'om bâtiſſe aucun Temple Qu'à l’honneur du vray Dien que nony ſenls adorons.	Aussi De nos nos ayeulx Seigneur veux suivre l'example, Et ne permettre pas qu'om bâtisse aucun Temple Qu'à l'honneur du vrai Dien que nony senls adorons.
luons oupvtel ooualve, mailmmme.	luons ouptel oouales, mailamme.
SI LAS.	SI LAS.
MSMAO EmployeZ nous, Seigneur, nous vous y ſeruirons.	MÊMAO EmployeZ nous, Seigneur, nous vous y servirons.
MARUNS.	MARUNS.
li7 Que ce zele eſt illustre, & Egne de loüanges.	li7 Que ce zèle est illustre, et Égne de louanges.
Miseym IVID’E.	Miseym IVID'E.
PV E) MS) Pour perdre les Chreſtiens perdre toute vns Ville.	PU E) MÊ) Pour perdre les Chrétiens perdre toute uns Ville.
1 Macandn dde M Empad s Et plus l’exemple eſt grand, & plus il eſt vtile, Par la perte d’aûtmy lés hutres s’instruiront, Voyan ve châtimenpils apprebenderont.	1 Macandn dde M Empad s Et plus l'exemple est grand, et plus il est utile, Par la perte d'aûtmi lès hutres s'instruiront, Voyan e châtimenpils apprébenderont.
nue ol u ie ο1quou  Mais toutesfois, Seigneur, ſouffrez que ie vous die, Que cette grande ardeur dûs eſtre rafroidie, Vne trouppe ſi foible, & ſans aucun pouuoir N’eſt pas vn ennemy qui peut vous émouuoir, Attendez ſeulement que le temps la diſſipe, Sans qu’aux malheurs d’autruy tout Damas par« ticiper;	nue ol u Dieu ο1quou Mais toutefois, Seigneur, souffrez que je vous die, Que cette grande ardeur dus être rafroidie, Une troupe si faible, et sans aucun pouvoir N'est pas un ennemi qui peut vous émouvoir, Attendez seulement que le temps la dissipe, Sans qu'aux malheurs d'autrui tout Damas par " ticiper;
1o 5 Que vostre bras i’arreste, & n'enuelope pasLes bons & les mechans ſous vn commun trepa Dans la confuſion, & parmy le tumulte De tout ce que l’an ffait iamais l’on ne conſulte Conſultez, conſultez, lors que vous le pouuez, Voyez ce qu’il faut ffaire, I& ſi vous le deuez, A qu'elle extromité vous, geduirés les nostres, S’ils ſe trouuent ſompris dans lle malheur de autres Quel recours aurout·.	1ote Que votre bras j'arrête, et n'envelope pasLes bons et les méchants sous un commun trepa Dans la confusion, et parmi le tumulte De tout ce que l'an sait jamais l'on ne consulte Consultés, consultés, lors que vous le pouvez, Voyez ce qu'il faut ffaire, I7 si vous le devez, A qu'elle extromité vous, geduirés les nôtres, S'ils se trouvent sompris dans lle malheur de autres Quel recours aurout.
, ſinon le deſeſpoir, Ce malheur eſt trop grand pour ne le pas preuoin Ne les contraignez pas, Seigneur, à ſe deffendre Vn hommacon mucrlui vye tont entieprendre;	, sinon le désespoir, Ce malheur est trop grand pour ne le pas preuoin Ne les contraignez pas, Seigneur, à se défendre Un hommacon mucrui vie tont entendre;
Ilcraint auec ſujet la perte de ſes biens, n Que l’on luy peut rauir par d’iniustes moyens.	Ilcraint avec sujet la perte de ses biens, n Que l'on tu peut ravir par d'injustes moyens.
M SAVL.	M SAUL.
Il ſuffit;	Il suffit;
mais enfinlie ne puus m'en dedire, Ie me ſuis engagé, c’eft tiuty junconſpire;	mais enfinlie ne puus m'en dédire, Je me suis engagé, c'est tiutile junconspire;
Il eſt iuſte, pourtant d’arrester des erreurss.	Il est juste, pourtant d'arrêter des erreurss.
Que vont ſemant parſtout ces nouueaux im unposteurs.	Que vont semant parstout ces nouueaux im unposteurs.
q Oihnne el quu	Oq Oihne el quu
M MUSILASS.	M MUSILASS.
NEMNM Ouy.	NEMN Oui.
Seigneur acheuez ce, genereux ouurage Ou vous porte le droit ainſilque le cohrage, Pour qui ſe font les vœux de tous les gens d bien, 62 Pour le mettre en effet, il ne vous manque rien Le grand Prestre l’ordonne, & la Loy l’autho riſe, nr in Ma æ NI CV I Et vous eſtes le chef d’une telle Entrepriſe;	Seigneur achevez ce, généreux ouvrage Ou vous porte le droit ainsilque le cohrage, Pour qui se font les vœux de tous les gens d' il, 62 Pour le mettre en effet, il ne vous manque rien Le grand Prêtre l'ordonne, et la Loi l'auteur rise, nr in Ma NI NI CV I Et vous êtes le chef d'une telle Entreprise;
Pouruopez à ce mal en ſon commentement, Coupez en la racine en ce premier moment, De plus de nos ayeulx le culte iſt trops illusire Pon Pour ſouffrir lachement qu’il perde de ſon luſtre, Ie ne vous diray point ce que vous meritez;	Pourvoppez à ce mal en son comment, Coupez en la racine en ce premier moment, De plus de nos ayeulx le culte ist trops illustre Pon Pour souffrir lâchement qu'il perde de son lustre, Je ne vous dirai point ce que vous méritez;
Ot von fuiuez vaiuent oa vous consempertez.	Ot von suivez vaiuent oa vous consempertez.
SAVL.	SAUL.
Ie l’ay iuré cent fois, & ie leiure encore I’en feray ſacrifice au vray Dieu que i’adore;	Je l'ai juré cent fois, et a leiure encore J'en ferai sacrifice au vrai Dieu que j'adore;
I'esteindray cette erreur dans leur ſang reſpãdu, Quoy que le criminel au bon ſoit confondu, Tout Damas renuerſé pour effacer ce crime Doit eſtre aux yeux du Ciel vne illuſtre victime, N'en épargnons aucun, faiſons les tous perir;	J'éteindrai cette erreur dans leur sang répondu, Quoi que le criminel au bon soit confondu, Tout Amas renversé pour effacer ce crime Doit été aux yeux du Ciel une illustre victime, N'en épargnons aucun, faisons les tous périr;
Puis qu'en fin c’eſt vn mal que l’on ne peut guerir;	Puis qu'en fin c'est un mal que l'on ne peut guérir;
S’il en restoit vn ſeul il en resteroit mille, Par les tourmens des ſiens cette ſecte eſt fertile;	S'il en restait un seul il en resterait mille, Par les tourments des siens cette secte est fertile;
Estienne par ſa mort n’en a t’il pas produit Autant que dans ſa vie il en auoit ſeduit?	Étienne par sa mort n'en a -t-il pas produit Autant que dans sa vie il en avait séduit?
Qui ſe laiſſans tromper à ſa fauſſe constance N’ont fait, en ſe rendant, aucune reſistance, Ostons teur le mopen de pins je nteuer;	Qui se laissant tromper à sa fausse constance N'ont fait, en se rendant, aucune résistance, Stons teur le mopen de pins je nteuer;
En faiſant qu’aucun d’eux ne puiſſe ſe ſauuer.	En faisant qu'aucun d'eux ne puisse se sauver.
CENE II.	CÈNE II.
BAR NABE', SAVL, &c.	BAR NABE', SAUL, etc.
SILAS.	SILAS.
Eigneur, Barnabé vient.	Eigneur, Barnabé vient.
AVL.	AUL.
Quoy, vient-il pour combattre?	Quoi, vient-il pour combattre?
On deffendre la Ley.	On défendre la Ley.
BAR	BAR
BARNABÉ.	BARNAB.
Dont Saul eſt idolatre, Non, le Ciel qui m’oblige à m’employer pour tay M'ordonne en meſme temps ue combattre ta Loy.	Dont Saul est idolâtre, Non, le Ciel qui m'oblige à m'employer pour tai M'ordonne en même temps ue combattre ta Loi.
SAVL.	SAUL.
De combattre nos Loix que tu deuxois deffendre, Auec quel ſentiment oſo tu l’ontreprendre;	De combattre nos Lois que tu deuxois défendre, Avec quel sentiment oso tu l'ontreprendre;
Ces Loix que tant de temps on a vû triompher, Sans qu’aucune puiſſance ait pû les étoufer, Que les Egyptiens ont taché cle détruire, Sans que par tant d’efforts ils ayent pû leur nuire, 111 Nos Peres il eſt vray ſous la captiuité Ont ſoûpiré long-temps apres la liberté,  Mais que n’ont fait pour eux l’Air, la Mer, & la Terre, 2 Lors que leur onnemis leur ont porté la guerre, Rappelle ſeulement pour t’en entretentr, 1 De ce qui s’eſt paſſé le moindre ſouuenir.	Ces Lois que tant de temps on a vu triompher, Sans qu'aucune puissance ait pu les étouffer, Que les Égyptiens ont taché clé détruire, Sans que par tant d'efforts ils aient pu leur nuire, 111 Nos Pères il est vrai sous la captiuité Ont soupiré longtemps après la liberté, Mais que n'ont fait pour eux l'Amir, la Mer, et la Terre, 2 Lors que leur onnemis leur ont porté la guerre, Rappelle seulement pour en entretentr, 1 De ce qui est passé le moindre souuenir.
Ie ne te diray point qu'vn element liquide;	Je ne te dirai point qu'une élément liquide;
A nos predeceſſeurs fit vn rampart ſolide, Et que leurs ennemis bouffis de leur orguëil, Dãs ce gouffre entrouuert ont trouué leur cercuël.	À nos prédécesseurs fit un rempart solide, Et que leurs ennemis bouffis de leur orgueil, Dans ce gouffre entrouvert ont trouvé leur cercuel.
Suis les, ſi tu le peux;	Suis les, si tu le peux;
victoire apres vittoire, Puis qu’auſſi bien par tout ils ſont fuiuis de gloire, Que le Ciel en tous lieux a pour ena tombattu Ils ont receu de luy le pouuoir qu’ils ont eu.	victoire après vitoire, Puis qu'aussi bien par tout ils sont suivis de gloire, Que le Ciel en tous lieux a pour ena tombattu Ils ont reçu de même le pouvoir qu'ils ont eu.
N’eſt-ce pas leur donner en tant & tant de lutres De ſa pretection des prerue trop iluſtrés	N'est-ce pas leur donner en tant et tant de lutres De sa prétection des prerue trop ilustrés
BAI	BAI
ARNABE'.	ARNABE'.
Il eſt vray que le Ciel à pû ſeul l’établir, Mais, alors qu’il luy plaiſt il la peut affoiblir, Il peut changer cet ordre, en établir vn autre, Qui ſans difficulté doit preualoir au voſtre;	Il est vrai que le Ciel à pu seul l'établir, Mais, alors qu'il lui plaît il la peut affaiblir, Il peut changer cet ordre, en établir un autre, Qui sans difficulté doit prévaloir au vôtre;
Châque choſe a ſon temps, mais ce temps expiré Par vn nouuel estat doit estre reparé;	Châque chose a son temps, mais ce temps expiré Par un nouvel état doit être réparé;
La Loy que tu ſoûtiens en ſa figure ſombre N'eſt de la verité qu’vne image & qu’vne ombre, Qu’vn foible fondement de celle qui la ſuit, Qui commence de naiſtre, & que ton bras pourſuit;	La Loi que tu soutiens en sa figure sombre N'est de la vérité qu'une image et qu'une ombre, Qu'un faible fondement de celle qui la suit, Qui commence de naître, et que ton bras poursuit;
C’eſt cette verité, c’eſt cette Loy de grace, Dont la voſtre eſtoit l’ombre & dont l’ombre ſe paſſe, C’eſt elle que le Ciel ſeme par l’Vniuers, Ou ſes plus beaux deſſeins nous ſerõt decouuerts, Ou nous ſuiurons ſans peur la verité connuë, Et ne verrons iamais noſtre attente deceuë.	C'est cette vérité, c'est cette Loi de grâce, Dont la vôtre était l'ombre et dont l'ombre se passe, C'est elle que le Ciel seme par l'Univers, Ou ses plus beaux desseins nous seront découverts, Ou nous suivrons sans peur la vérité connue, Et ne verrons jamais notre attente déçue.
L.	L.
Que dis-tu Barnabé, que le Ciel veut changer?	Que dis-tu Barnabé, que le Ciel veut changer?
La forme de nos Loix en vn culte étranger;	La forme de nos Lois en un culte étranger;
Quoy, les ordres diuins ſont-ils ſujets au change?	Quoi, les ordres divins sont-ils sujets au change?
Et peuuent-ils iamais receuoir du mélange?	Et peuvent-ils jamais recevoir du mêlange?
Que s’il eſtoit ainſi, qu’elle confuſion N’arriueroit-il pas dans la Religion?	Que s'il était ainsi, qu'elle confusion N'arriverait-il pas dans la Religion?
Si, preſcriuant des loix telles que ſont les noſtres, Vn peu de temps apres on en establit d’autres;	Si, prescrivant des lois telles que sont les nôtres, Un peu de temps après on en établit d'autres;
Ce ſeroit ruiner par cette nouuauté, Et l’estat & les loix, & leur authorité.	Ce serait ruiner par cette nouvauté, Et l'état et les lois, et leur autorité.
Le Peuple dont le ſens ignore toutes choſes, Et qui des hauts deſſeins ne comprend pas les cauſes Deſſus le moindre bruit d’vn pareil changement Se troubleroit d’abord, remueroit aiſement, Et ce corps diuiſé ne trouuant point de digues Qui puiſſent s’oppoſer à ſes ſanglantes ligues, Traineroit auec ſoy dans la diuiſion, Tout ce qui resteroit encor dans l’vnion.	Le Peuple dont le sens ignore toutes choses, Et qui des hauts desseins ne comprend pas les causes Dessus le moindre bruit d'un pareil changement Se troublerait d'abord, remuerait aisément, Et ce corps divisé ne trouvant point de digues Qui puissent s'opposer à ses sanglantes ligues, Traineroit auec soi dans la division, Tout ce qui resterait encor dans l'union.
Neſt-ce pas émouuoir route vne Republique, Que de changer ſes mœurs, ſes loix, ſa politique?	Nest-ce pas émouvoir route une République, Que de changer ses mœurs, ses lois, sa politique?
BARNABE’.	BARNABE'.
Ce n’eſt pas les changer que de les accomplir, Tout s’y trouue imparfait, le Ciel les veut rẽplir, Et ſa ſage equité dans le ſiecle ou nous ſommes Veut ſous la meſme Loy reünir tous les hommes.	Ce n'est pas les changer que de les accomplir, Tout s'y trouve imparfait, le Ciel les veut réplir, Et sa sage équité dans le siècle ou nous sommes Veut sous la même Loi réunir tous les hommes.
Conſidere auec moy combien dans l’Vniuers Se trouuent de faux Dieux, & de cultes diuers;	Considère avec moi combien dans l'Univers Se trouvent de faux Dieux, et de cultes divers;
Châque Peuple a le ſien qui fait lors qu’il l’adore Une Diuinité de ce qu’vn autre abhorre;	Châque Peuple a le sien qui fait lors qu'il l'adore Une Divinité de ce qu'un autre abhorre;
Celuy-cy dreſſe vn Templa, & bâtit des Autels A des hommes perdus comme à des Immortels;	Celui-cy dresse un Templa, et bâtit des Autels A des hommes perdus comme à des Immortels;
Cet autre plus aueugle, & d’vne ame ſeruile Adore vn Element, ou bien vn crocodile.	Cet autre plus aveugle, et d'une âme servile Adore un Élément, ou bien un crocodile.
Aſſez & trop long-temps ce deſordre a regné;	Assez et trop longtemps ce désordre a régné;
Il regneroit encor s’il eſtoit dedaigné.	Il régnerait encor s'il était dédaigné.
La premiere des Loix ne fuſt pas establie, Que l’hõme en ſa naiſſance auſſi-toſt s’en oublie, Qui d’vn eſpoir flatteur ſe laiſſant aueugler Rompt l’ordre naturel qui deuoit le regler.	La première des Lois ne fût pas établie, Que l'homme en sa naissance aussitôt s'en oublie, Qui d'un espoir flatteur se laissant aveugler Rompt l'ordre naturel qui devait le régler.
