I v LECIEVN	I v LECIEUN
On ne voit rien au monde apres ceſte beauté;	On ne voit rien au monde après cette beauté;
A qui dois-je pluſioſt dédier mon ſeruice, La ſeruant c’eſt apprendre à deteſter le vice, L’aymer vniquement, c’eſt cherir la vertu, Car ſon eſprit aiuin de grace eſt reueſtu, I'eſtime ma deffaicte autant qu’vne victoire, Ie luy donne mon cour, ie l’immole à ſa gloire:	À qui dois-je plusiôt dédier mon service, La servant c'est apprendre à détester le vice, L'aimer uniquement, c'est chérir la vertu, Car son esprit aivin de grâce est revêtu, J'estime ma défaite autant qu'une victoire, Je lui donne mon cour, il l'immole à sa gloire:
Bel œil, Aſtre luyſant!	Bel œil, Astre luisant!
preſage de mon heur;	présage de mon heur;
M’offrant à te ſeruir, ce m’eſt vn grand honneur:	M'offrant à te servir, ce m'est un grand honneur:
C’eſt pourquoy ie beni, la cauſe de ma priſe I’ay trop gaigné, perdant ma premiere franchiſe, Et me tiens bien heureux en ceſſant d’eſtre mien, Ma douce ſeruitude, eſt ma gloire & mon bien;	C'est pourquoi votre béni, la cause de ma prise J'ai trop gagné, perdant ma première franchise, Et me tiens bien heureux en cessant d'être mien, Ma douce servitude, est ma gloire et mon bien;
Mais que dis je!	Mais que dis -je!
que fais-je, à quoy ceſte parolle, Eſt-ce vn ſonge;	que fais-je, à quoi cette parole, Est-ce un songe;
eſt-ce moy!	est-ce moi!
quoy!	quoi!
que l’amour m’affolle, Que i'entre en eſclauage, & quittant le dieu Mars, Pour ſeruir Cupidon, ſes Fleſches, & ſes Darts Eſleué dans l’honneur, nourry dans les batailles, Dans les bras de Venus faire mes funerailles, Crouppir d’oyſiueté, renoncer aux combats, Eſtant alicié de Venus aux appas, Ce n’eſt pas faire l’homme, ains c’eſt faire la beſte, Sans eſprit, ſans raiſon, ſans ceruelle, ſans teſte;	que l'amour m'affolle, Que j'entre en esclavage, et quittant le dieu Mars, Pour servir Cupidon, ses Flesches, et ses Darts Esleué dans l'honneur, nourri dans les batailles, Dans les bras de Venus faire mes funérailles, Croupir d'oisiveté, renoncer aux combats, Étant alicié de Venus aux appas, Ce n'est pas faire l'homme, ains c'est faire la bête, Sans raison, sans raison, sans cervelle, sans tête;
L’Amoureux, le Soldat, ont diuerſes humeurs, L’vn va chercher le vice, & l’autre les honneurs, L’Amant coulle ſa vie, en ſouſpirs dans les larmes, Le Soldat n’ayme rien que le bruict des allarmes, Le fer, le feu, le ſang, le foudre, les eſclairs, Briſer, bruſler, tuër, iuſqnes dans les Enſers:	L'Amoureux, le Soldat, ont diverses humeurs, L'un va chercher le vice, et l'autre les honneurs, L'Amant coulle sa vie, en soupirs dans les larmes, Le Soldat n'aime rien que le bruit des alarmes, Le fer, le feu, le sang, le foudre, les éclairs, Briser, brûler, tuuer, iusqnes dans les Ensers:
Pourquoy ce vain diſcours, helas elle eſt tropbelle:	Pourquoi ce vain discours, hélas elle est tropbelle:
Pour ne l’adorer pas & pour m'eſlongner d'elle;	Pour ne l'adorer pas et pour m'élongner d'elle;
I’ay tort de me faſcher de ma captiuité, La voir & la ſeruir c’eſt ma felicité, Ie luy donne mon cœur, ie l’offre à ſon ſeruice, Ie m’expoſe à iamais pour elle en ſacrifice, Ses yeux, de mes trauaux adouciront le fiel, Les baiſant, ie boiray le Nectar hors du ciel;	J'ai tort de me fâcher de ma captivité, La voir et la servir c'est ma félicité, Je lui donne mon cœur, ie eoffre à son service, Je m'expose à jamais pour elle en sacrifice, Ses yeux, de mes travaux adouciront le fiel, Les baisant, avait boirai le Nectar hors du ciel;
ACTE PREMIER.	ACTE PREMIER.
SCENE CINQVIESME, & derniere.	SCÈNE CINQUIÈME, et dernière.
LE POETE PARNASSIN.	LE POTE PARNASIN.
Ma foy i’ay du plaiſir d’eſcrire vne ſatyre, Ie mets martel en teſte, & ne m’en fais que rire, Ie donne des ſoubçons, ie broüille les humeurs, Ie faints d’auoir reçeu ſouuent mille faueurs, Des Dames, qui craignans la fureur de ma vaine, N’oſent s’en offencer, e touſiours ſont en paine;	Ma foi j'ai du plaisir d'écrire une satire, Je mets martel en tête, et ne m'en fais que rire, Je donne des soubçons, ie broüille les humeurs, Je saints d'avoir reçu souvent mille faveurs, Des Dames, qui craignant la fureur de ma vaine, N'osent s'en offenser, é toujours sont en paine;
Glycere en eſt picquée, elle m’en veut du mal, Car i’ay dit, l’auoir veuë vn ſoir durant le bal, Auec vn Caualier, ſe baiſant bouche à bouche, Qui depuis auoit eu le plaiſir de ſa couche;	Glycère en est piquée, elle m'en veut du mal, Car j'ai dit, l'avoir vue un soir durant le bal, Avec un Cavalier, se baisant bouche à bouche, Qui depuis avait eu le plaisir de sa couche;
Vn Poëte ſe faict craindre, on n’oſe l’offencer, Quand vn vers eſt picquant, ie vous laiſſe à penſer Si l'on n'ayme pas mieux, ſon amour que ſa hayne Ayant l'vn on s'en ſert, de l’autre on eſt en paine.	Un Poète se fait craindre, on n'ose l'offenser, Quand un vers est piquant, Seigneur vous laisse à penser Si l'on n'aime pas mieux, son amour que sa haine Ayant l'un on s'en sert, de l'autre on est en paine.
LE DVELLISTE ENTRANT.	LE DUELLISTE ENTRANT.
LE POETE.	LE POTE.
Mais qu'eſt ce Caualier?	Mais qu'est ce Cavalier?
LE DVELLISTE.	LE DUELLISTE.
Bon iour, bon iour Remy, He quoy donc te voyla!	Bon jour, bon jour Remy, He quoi donc te voilà!
d’où viens tu cher Amy?	d'où viens tu cher Ami?
LE POETE.	LE POTE.
Monſieur vous vous trompez me prenant pour vn autre,	Monsieur vous vous trompez me prenant pour un autre,
LE DVELLISTE.	LE DUELLISTE.
Comment te porte tu?	Comment te porte -tu?
LE POETE.	LE POTE.
21 ceteu iiæonpueur u vo uutre, Vous me cognoiſſez mal pour vouloir m’attaquer,	21 cet jiæonpueur u vo utre, Vous me connaissez mal pour vouloir m'attaquer,
LE DVELLISTE.	LE DUELLISTE.
Quoy ie te veux ſeruir, & tu te veux picquer,	Quoi notre te veux servir, et tu te veux picquer,
LE POETE.	LE POTE.
Vous dictes vray ſouuent dedans mes vers ie picque, Les gens faicts comme vous en leur faiſant la nicque, Et m'en mets peu en peine, hà tu fais donc des vers, C’eſt toy qui va loger à la ville d’Anuers?	Vous dictes vrai souvent dedans mes vers Un picque, Les gens faits comme vous en leur faisant la niguque, Et m'en mets peu en peine, hà tu fais donc des vers, C'est toi qui va loger à la ville d'Anvers?
Iuſtement, LE POETE.	Justement, LE POTE.
LE DVELLISTE.	LE DUELLISTE.
iuſtement ie cherche ta rencontre, Ie teveux dire vn mot te treuuant ſur la montre, D'vne Dame d’Amour eſtre vengé ie veux, Pour auoir meſpriſé trop longuement mes vœux, Faicts contre elle vn Sonnet, paints là dans ta ſatyre, Compoſe vne chanſon, afin d’en pouuoir ryre, Tu peux preſentement en cela m’obliger, Ce bras te peut ſeruir, c’eſt dequoyte vanger.	iustement Dame cherche ta rencontre, Je teveux dire un mot te trouvant sur la montre, D'une Dame d'Amour être vengé ie veux, Pour avoir méprisé trop longuement mes vœux, Faits contre elle un Sonnet, paints là dans ta satire, Compose une chanson, afin d'en pouvoir rire, Tu peux présentement en cela m'obliger, Ce bras te peut servir, c'est dequoyte venger.
I’ay du pouuoir aſſez & plus que tu ne penſe, Ie peux preſentement te donner recompenſe:	J'ai du pouvoir assez et plus que tu ne pense, Je peux présentement te donner récompense:
Mets la main à la plume, ne tarde plus long-temps;	Mets la main à la plume, ne tarde plus longtemps;
LE POETE.	LE POTE.
Ma foy il a raiſon, il prend ſon paſſe-temps Iuſqu'à demain Monſieur	Ma foi il a raison, il prend son passe-temps Jusqu'à demain Monsieur
LE DVELLISTE.	LE DUELLISTE.
Vous entendrez l’aubae, Ce bras vous veut apprendre à faire vne ballade,	Vous entendrez l'aubae, Ce bras vous veut apprendre à faire une balade,
A l'ayde c’eſt vn fou, fanfaron de Gaſcon, Tu viens pour m’offencer à grands coups de Baſton, Tu verras qui ie ſuis, t’eſtrillant de la ſorte, Que tu dois promptement fuyant gaigner la porte;	À l'aide c'est un fou, fanfaron de Gascon, Tu viens pour m'offenser à grands coups de Bâton, Tu verras qui tu suis, t'étrillant de la sorte, Que tu dois promptement fuyant gagner la porte;
LE POETE RESTE SEVL.	LE POTE RESTE SEUL.
Quet coquin eſt-ce la!	Quet coquin est-ce la!
il n'eſpargnoit mon dos Ie penſe qu’il à creu que ie n’auois point d’os	il n'épargnait mon dos Je pense qu'il à cru que je n'avais point d'os
FIN DV PREMIER ACTE.	FIN DU PREMIER ACTE.
ACTUENDE SCENE PREMIERE.	ACTUENDE SCÈNE PREMIÈRE.
2 ARGVMENT.	2 ARGUMENT.
YDIE premiere Maiſtreſſe de Majordome & de luy quittée pour aymer Glycere, repreſantant ſa legereté, fulminera contre luy, & le Poëte la ſurprenant dans ſes coleres s’offrira de la vanger, le refuſant pour en tirer ſa raiſon elle meſme, le Poëté ſe goſſant de telles paſſions Amoureuſes n’aymant rien que laliberté.	YDIE première Maîtresse de Majordome et de même quittée pour aimer Glycère, represantant sa légèreté, fulminera contrefois, et le Poète la surprenant dans ses colères s'offrira de la venger, le refusant pour en tirer sa raison elle -même, le Poëté se gossant de telles passions Amoureuses n'aimant rien que laliberté.
Majordome ſuruenant pour venir conter les tourmens que l’Amour luy faict ſouffrir pour Glycere ſa nouuelle Maiſtreſſe, qui le refuſe (pour raiſon de Lydie qu’ila quittée) & l’accuſe de legereté.	Majordome survenant pour venir conter les tourments que l'Amour lui fait souffrir pour Glycère sa nouvelle Maîtresse, qui le refuse (pour raison de Lydie qu'ila quittée) et l'accuse de légèreté.
Lors Glycere conte au Duëlliſte toutes les importunitez & cajolleries qu’elle en a reçeuës, qui en deuient jaloux & ia Diarme pour l’auoir eſcoutté, prend deſſein de faire appeller Majordome, dont elle à regret de luy en auoir tant dit.	Lors Glycère compte au Dulliste toutes les importunités et cajolleries qu'elle en a reçues, qui en devient jaloux et ja Diarme pour l'avoir écouté, prend dessein de faire appeler Majordome, dont elle à regret de lui en avoir tant dit.
Cependant Lydie jalouſe rencontrant Glycere la bat & veut eſtrangler, & le Duëlliſte faict appeller le Majordome ſon riual, qui derechef battu quitte l’eſpée, qui ſera portée à Glycere, & fachée du deſaſtre du Duëlliſte cauſé par trop d’Amour quittera Majordome.	Cependant Lydie jalouse rencontrant Glycère la bat et veut étrangler, et le Duëlliste fait appeler le Majordome son rival, qui derechef battu quitte l'épée, qui sera portée à Glycère, et fâchée du désastre du Duëlliste causé par trop d'Amour quittera Majordome.
LYDIE.	LYDIE.
E meurs de deſplaiſir, & mon amour diſcrette, TSans ſoulas, ſans repos, ſans remede eſt ſecrette, Ie n’oſe pas le dire, aucun ne le ſçait pas, Eſt-il plus dur martyre, ou plus cruel treſpas?	 meurs de déplaisir, et mon amour discrette, TAns soûlas, sans repos, sans remède est secrète, Je n'ose pas le dire, aucun ne le sait pas, Est-il plus dur martyre, ou plus cruel trépas?
Inconſtant en tes vœux, legereté extreſme, Voy tu pas me perdant, que tu te perds toy meſme!	Inconstant en tes vœux, légèreté extrême, Vois tu pas me perdant, que tu te perds toi -même!
Qui t’oblige à quitter par ta legereté, Vn gage ſi certain de ma fidelité, Mon cœur ſouſpiroit-il vne ſi douce flame, Afin qu’on me priuaſt de l’ame de mon ame;	Qui t'oblige à quitter par ta légèreté, Un gage si certain de ma fidélité, Mon cœur soupirait-il une si douce flamme, Afin qu'on me privât de l'âme de mon âme;
Quoy l’Amant que i’ayme bien plus que mes deux yeux, A-i’il voulu changer ( pour la terre) les cieux?	Quoi l'Amant que j'aime bien plus que mes deux yeux, Aj'il voulu changer ( pour la terre) les cieux?
Changer vn bien commun, à l’amour immortelle, Aymer vne vollage au lieu d’vne fidelle;	Changer un bien commun, à l'amour immortelle, Aymer une volage au lieu d'une fidèle;
I’en auray la raïſon, ie l’en feray punir, Toſt ou tard, & ie veux l'en faire repentir;	J'en aurai la raïson, An l'en ferai punir, Tôt ou tard, et été veux l'en faire repentir;
Dieux qui tenez le Ciel!	Dieux qui tenez le Ciel!
laiſſez vous ſans vengeance, Telle infidelité, puniſſez ceſte offence, Qu'vn vollage à commiſe, aymant legerement, Celle qui va riant de men cruel tourment.	laissez vous sans vengeance, Telle infidélité, punissez cette offense, Qu'un volage à commise, aimant légèrement, Celle qui va riant de men cruel tourment.
LE POETE ENTRANT.	LE POTE ENTRANT.
Ma Dame qui vous trouble, & qui vous rend penſiue, Dictes le moy de grace, il n’eſt homme qui viue, Qui vous aye offencée, ou voullu offencer, De faict, ou de parolle, ou du moindre penſer, Qu'il n’en face raiſon, qu’il ne vous ſatisface, Ou ie vous le rends mort, roide ſur ceſte place:	Ma Dame qui vous trouble, et qui vous rend pensive, Dictes le moi de grâce, il n'est homme qui vive, Qui vous aie offensée, ou voullu offenser, De fait, ou de parole, ou du moindre penser, Qu'il n'en face raison, qu'il ne vous satisface, Ou ie vous le rends mort, roide sur cette place:
Ou bien ſi vous voulez il ſera dans mes vers, Ainſi qu'vn ſcelerat, vn perfide, vn peruers, Cela ne peut venir que d’vne ame infidelle, Offencer ces beaux yeux, ceſte bouche ſi belle,	Ou bien si vous voulez il sera dans mes vers, Ainsi qu'un scélérat, un perfide, un pervers, Cela ne peut venir que d'une âme infidèle, Offenser ces beaux yeux, cette bouche si belle,
LYDIE.	LYDIE.
Tu dis vray;	Tu dis vrai;
ie voulois l’aymer iuſqu'à la mort, Nous nous eſtions liez d’vn lien ſi tres fort, Ie l’eſtime bien plus, qu’on ne faict la lumiere;	Elle voulais l'aimer jusqu'à la mort, Nous nous étions liés d'un lien si très fort, Je l'estime bien plus, qu'on ne fait la lumière;
En auoir pris vne autre!	En avoir pris autre!
en laiſſant ſa premiere!	en laissant sa première!
O l’ingrat!	Ô l'ingrat!
le meſchant, il ma voulu quitter, Et dans vn autre Amour, s’aller precipiter;	le méchant, il ma voulu quitter, Et dans un autre Amour, s'aller précipiter;
Le iour qu’il me rauit la moitié de ma vie, Et qu’il me promettoit dans la mort eſtre vnie, Pourquoy ne m’oſtoit-il ſoudain l’autre moitié, Nous eſtions trop vnis d’vne eſgale amitié, O traiſtre!	Le jour qu'il me ravit la moitié de ma vie, Et qu'il me promettait dans la mort êtrelapié, Pourquoi ne m'ôtait-il soudain l'autre moitié, Nous étions trop unis d'une égale amitié, Ô traître!
que i’aymois entre toute autre choſe, Tu as trop bien caché l’eſpine ſoubs la roſe, Tu as par tes baiſers couuert ta trahiſon, En meſlangeant le ſucre, auecque le poiſon, E 1 Non!	que j'aimais entre toute autre chose, Tu as trop bien caché l'épine sous la rose, Tu as par tes baisers couvert ta trahison, En mélangeant le sucre, Taque le poison, 1 Non!
ie n’y veux chercher vengeance ny iuſtice, Les Dieux luy donneront vn plus eruel ſupplice,	Elle n'y veux chercher vengeance ni justice, Les Dieux lui donneront un plus ervel supplice,
LE POETE RESTE SEVL.	LE POTE RESTE SEUL.
Que n’aymer point du tout ſied bien aux belles ames, Que l’amour eſt eruel nous bruſlant de ſes flamés,  Qu’on endure de mal aymant fidellement, Ceſte Dame amoureuſe, en ſouffre le tourment;	Que n'aimer point du tout sied bien aux belles âmes, Que l'amour est ervel nous brûlant de ses flammes, Qu'on endure de mal aimant fidèlement, Cette Dame amoureuse, en souffre le tourment;
Il n'eſt que d'eſtre libre, & garder ſa franchiſe De l’aueugle Archerot empeſcher la ſurpriſe, Qui pourroit agiter noſtre eſprit ſans repos, Et nous mener là bas au ſiege de Minos;	Il n'est que d'être libre, et garder sa franchise De l'aveugle Archerot empêcher la surprise, Qui pourrait agiter notre esprit sans repos, Et nous mener là bas au siège de Minos;
Pour moy ie le renonce & n’ayme rien qu'vn verre Pour noyer les ennuis, les Amours, & la guerre, En beuuant à longs traicts du jus delicieux, Comme on boit l’Ambroſie & le Nectar aux cieux, Aymant mille fois mieux à boire à longue haleine, Que de ſuiure d’Amour ceſte cruelle peine;	Pour mo ie le renonce et n'aime rien qu' Herre Pour noyer les ennuis, les Amours, et la guerre, En beuuant à longs traits du jus délicieux, Comme on boit l'Ambrosie et le Nectar aux cieux, Aimmant mille fois mieux à boire à longue haleine, Que de suivre d'Amour cette cruelle peine;
C’eſt ſottiſe d’aymer ſi ce n’ſt le bon vin, Il chaſſe les ſoucis, & rend l’eſprit diuin, Beuuons & puis beuuons touſiours à plaine taſſe, L’aage ainſi que le iour inſenſible ſe paſſe, Nous menant doucement à la fin de nos iours, Qui vont touſiours auant ſans rebrouſſer le cours, Car pour les arrester ne ſeruent les prieres, Non plus que de vouloir retenir les riuieres, Et iamais on a veu retrograder les pas, De ceux qui ſout paſſez de là vie au treſpas.	C'est sottise d'aimer si ce n'st le bon vin, Il chasse les soucis, et rend l'esprit divin, Beuuons et puis buons toujours à plaine tasse, L'aage ainsi que le jour insensible se passe, Nous menant doucement à la fin de nos jours, Qui vont toujours avant sans rebrousser le cours, Car pour les arrêter ne servent les prières, Non plus que de vouloir retenir les rivières, Et jamais on a veu rétrograder les pas, De ceux qui sout passez de là vie au trépas.
A CTE SECONDE.	À CTE SECONDE.
CENE DEVXIESME.	CÈNE DEUXIÈME.
LE MAISTRE D’HOSTEL.	LE MAÎTRE D'HÔTEL.
Solitaire ſejour des ames affligées, Vielles hautes foreſts de deux ciecles aagées, Qui conſeruez l'ennuy, le ſilence & l'effroy, Iamais vit-on Amant plus mal-heureux que moy, Pour adoucir ſes maux quelqu’vn y fit ſes plaintes, Auſſi-toſt que le iour vient pareſtre à nos yeux Que la nuict ſe retire, afin de voir les cieux, Ou que ſon ombre obſcur, du faiſte des montagnes, Deſcend tout en coup, tombant ſur les campagnes, On n’entend que ma plainte en ſanglots & ſouſpirs, L’Eſco va raiſonnant ma clameur & mes cris, Si le ſommeil me prend, ſouuentes fois les ſonges, Viennent tromper mes ſens, par de ſi doux menſonges Qu’ils donnent à mes ſens vn petit reconfort, Mais l’as!	Solitaire séjour des âmes affligées, Vielles hautes forêts de deux ciècles aagées, Qui conservez l'ennui, le silence et l'effroi, Jamais vit-on Amant plus malheureux que moi, Pour adoucir ses maux quelqu'un y fit ses plaintes, Aussitôt que le jour vient paraître à nos yeux Que la nuit se retire, afin de voir les cieux, Ou que son ombre obscur, du faîte des montagnes, Descend tout en coup, tombant sur les campagnes, On entend que ma plainte en sanglots et souspirs, Esco va raisonnant ma clameur et mes cris, Si le sommeil me prend, souuentes fois les songes, Viennent tromper mes sens, par de si doux mensonges ils donnent mes sens petit réconfort, Mais as!
à mon reſueil, ie Comtirois eire mort, Oiquuoejeirop fouſpin pour raſfon u vne abſcence, Que ie mets à haut prix, ſi chere cognoiſſance:	à mon réveil, An Comtirais eire mort, Oiquuoejeirop fouspin pour rasfon u une abscence, Que Que mets à haut prix, si chère connaissance:
Faut-il Amour faut-il que le commencement, Soit la fin de mon aiſe & de mon iugement.	Faut-il Amour faut-il que le commencement, Soit la fin de mon aise et de mon jugement.
GLYCERE ENTRERA, LE MAISTRE D'HOSTEL.	GLYCÈRE ENTRERA, LE MAÎTRE D'HÔTEL.
Ma Dame, que ce iour ſoit la fin de ma vie.	Ma Dame, que ce jour soit la fin de ma vie.
Si mon cœur ( qui eſt voſtre) à iamais nulle enuie D’aymer ou de ſeruir aucune autre beauté, Vſez vers luy de grace, & non de cruauté!	Si mon cœur ( qui est votre) à jamais nulle envie D'aimer ou de servir aucune autre beauté, Vsez vers lui de grâce, et non de cruauté!
SLYCERE.	SLYCERE.
Penſez vous me ſurprendre auec vos artifices, Vos Amours deſguiſez, vos ſuppoſez ſeruices;	Pensez vous me surprendre auec vos artifices, Vos Amours déguisez, vos supposez services;
Vos ſouſpirs, vos ſerments, par vous au vent iettez Me ſont quand ie vous vois, des importunitez,	Vos soupirs, vos serments, par vous au vent iettez Me sont quand ie vous vois, des importunités,
LE M.	LE M.
D’HOSTEL.	D'HÔTEL.
Cruelle!	Cruelle!
la froideur, dont voſtre ame eſt glacée, Vous faict voir mes ennuys, des yeux de la penſée, Et ne daignez les voir des yeux de la pitié, Madame!	la froideur, dont votre âme est glacée, Vous fait voir mes ennuis, des yeux de la pensée, Et ne daignez les voir des yeux de la pitié, Madame!
receuez ma conſtante amitié!	recevez ma constante amitié!
LYCERE.	LYCERE.
Mon amour tres conſtant, à d'autres vœux m'appele, Vous aymez à changer, vous eſtes infidelle, Vous perdez voſtre temps, n'eſperez rien de moy, Que penſez vous gaigner de m’offrir voſtre foy?	Mon amour très constant, à d'autres vœux m'appelé, Vous aimez à changer, vous êtes infidèle, Vous perdez votre temps, n'espérez rien de moi, Que pensez vous gagner de m'offrir votre foi?
LE M.	LE M.
D’HOSTEL.	D'HÔTEL.
D’adoucir la rigueur d’vne beauté ſi rare, De rendre plus humain, vn eſprit ſi barbare, Hé doux yeux!	D'adoucir la rigueur d'une beauté si rare, De rendre plus humain, un esprit si barbare, Hé doux yeux!
logez vous la cruauté au cœur, Ces dous riants attraits couurent-ils la rigueur?	logez -vous la cruauté au cœur, Ces dous riants attraits couvrent-ils la rigueur?
LYCERE.	LYCERE.
Non;	Non;
croyez que l’amant qui mes amours poſſede Merite plus que vous, e de bien loin precede, En courage, & valleur, voſtre perfection, Il n’a point de riual dans mon affection, A dieu.	croyez que l'amant qui mes amours possède Mérite plus que vous, est de bien loin précède, En courage, et valleur, votre perfection, Il n'a point de rival dans mon affection, A dieu.
LE	LE
LE M.	LE M.
D'HOSTEL.	D'HÔTEL.
Cruelle GLYCERE EN SORTANT.	Cruelle GLYCÈRE EN SORTANT.
A dieu l’inconſtant & volage;	À dieu l'inconstant et volage;
LE M.	LE M.
D’HOSTEL.	D'HÔTEL.
nm 19g1e, on Leopara, jeroit-il plus ſauuage!	nim 19g1e, on Léopara, jerait-il plus sauvage!
I’en auray la raiſon, ie verray ſon galland, S’il eſt autant Soldat, qu’il eſt fidelle amant:	J'en aurai la raison, une verrai son gallant, S'il est autant Soldat, qu'il est fidèle amant:
ACTE SECONDE.	ACTE SECONDE.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
LE DVELLISTE ET GLYCERE.	LE DUELLISTE ET GLYCÈRE.
LYCERE.	LYCERE.
Mon cœur qu’il m’ennuyoit de ta ſi longue abſence, I'ay penſé mille fois mourir d’imparience;	Mon cœur qu'il m'ennuyait de ta si longue absence, J'ai pensé mille fois mourir d'imparience;
On m’a voulu ſeduire, on à voulu m’aymer, Vn importun vouloit de ſes feux m’enflamer, Me ſuiuoit pas à pas, contant ſon eſclauage Diſoit que mes beaux yeux le tenoient en ſeruage, Qu’il mourroit pour m’aymer par trop fidellement, Qu'il ſouffroit ſans me voir, vn tres cruel tourment, Bref, ſi tu vis iamais creature aſſligée, C’eſt celuy qui penſeit me tenir obligée.	On m'a voulu séduire, on à voulu m'aimer, Un importun voulait de ses feux m'enflammer, Me suivait pas à pas, contant son esclavage Disait que mes beaux yeux le tenaient en servage, Qu'il mourrait pour m'aimer par trop fidèlement, Qu'il souffrait sans me voir, un très cruel tourment, Bref, si tu vis jamais créature assligée, C'est celui qui penseit me tenir obligée.
Quel eſt cét impudent!	Quel est cet impudent!
qui vient deſſus mes pas, oy!	qui vient dessus mes pas, oi!
voulloir m’offencer!	voulloir m'offenser!
ne le cognois-je pas?	ne le connais-je pas?
Me rauir mes amours!	Me ravir mes amours!
vouloir la jouyſſance, D'vn bien qui m’eſt plus cher que tout le bien de france, Attenter impudique, à la pudicité, D’vne Dame d’honneur, miroir de chaſteté!	vouloir la jouissance, D'un bien qui m'est plus cher que tout le bien de france, Attenter impudique, à la pudicité, D'une Dame d'honneur, miroir de chasteté!
Il s’en repentira:	Il s'en repentira:
i’auray de ſes nouuelles, Qu'il aille à d’autres ſaincts pour offrir ſes chandelles;	j'aurai de ses nouvelles, Qu'il aille à d'autres saints pour offrir ses chandelles;
CERE.	CERE.
Mon cœur vous vous fatuex:	Mon cœur vous vous fatvex:
ie ne oous cele rien, Ie vous ay faict vn conte à ſeruir d’entretien, Pour paſſer voſtre temps, & pour vous faire rire, De ce fol, qui vouloit me conter ſon martire,	Ne ne oous cèle rien, Je vous ai fait un conte à servir d'entretien, Pour passer votre temps, et pour vous faire rire, De ce fol, qui voulait me conter son martyre,
O LE DVELLISTE.	Ô LE DUELISTE.
Vous l'eſcoutiez par trop, & preniez du plaiſir, A vous voir cajoller, puis qu’il auoit deſir De vous gallantiſer, vous offrant ſes ſeruices, Voulant ſur voſtre autel, faire ſes ſacrifices, Il falloit coupper broche, & ne l’eſcouter pas Sous la langue d’vn homme on treuue mille appas L’oyſeleur, de ſon chant attire dans ſa cage L'oyſeau, quand il ſe plaiſt d’eſcouter ſon rama, La femme eſt inconſtante, on la peut engager Par l’Or, par le diſcours, elle eſt en grand danger, Permettant qu’on l’appreche, & peut eſtre ſurpriſe, Chaſteau qui parlemente, eſt proche de ſa priſe.	Vous l'écoutiez par trop, et preniez du plaisir, A vous voir cajoler, puis qu'il avait désir De vous gallantiser, vous offrant ses services, Voulant sur votre autel, faire ses sacrifices, Il fallait couper broche, et ne l'écouter pas Sous la langue d'un homme on trouve mille appas L'oiseleur, de son chant attire dans sa cage L'esau, quand il se plaît d'écouter son rama, La femme est inconstante, on la peut engager Par l'Or, par le discours, elle est en grand danger, Elle est eappreche, g peut être surprise, Et peut parlemente' il avait dé sa prise.
Et bien, bien c'eſt aſſez:	Et bien, bien c'est assez:
cnuneur oal	cnuneur oal
GLYCERE.	GLYCÈRE.
quoy mon cœur!	quoi mon cœur!
LE DVELLISTE.	LE DUELLISTE.
il ſuffit, D’auoir appris de vous, tout ce qu’il vous à dit,	il suffit, D'avoir appris de vous, tout ce qu'il vous à dit,
SLYCERE S’EVLLE.	SLYCERE S'EULLE.
Amour cruel tyran, tu tourmente ma vie.	Amour cruel tyran, tu tourmente ma vie.
Tu me reduits au point de n’auoir plus d’enuie, D’aymer à l’aduenir, & viure en liberté, L'vnique bien du monde, & ſa felicité, Dieu ſçait ſi j’eſcoute les offres de feruices, Que me fit Majordome, & tant de bons offices S u’il me venoit offrir, ny ſes riches preſens, Ie vous prens à teſmoings vous y eſtiez preſens, Les refuſay-je pas!	Tu me réduits au point de n'avoir plus d'envie, D'aimer à l'avenir, et vivre en liberté, L'unique bien du monde, et sa félicité, Dieu sait si j'écoute les offres de fériées, Que me fit Majordome, et tant de bons offices S u'il me venait offrir, ni ses riches présents, Je vous prends à témoings vous y étiez presens, Les refusai-je pas!
pendant, la jalouſie;	pendant, la jalousie;
Va broüiller ſon eſprit de pure freneſie;	Va broüiller son esprit de pure frénésie;
A l’aduenir plus fine & pour ne l’offencer, Ie me garderay bien de rien luy confeſſer.	À l'avenir plus fine et pour ne l'offenser, Je me garderai bien de rien lui confesser.
ACTE SECONDE.	ACTE SECONDE.
CENE ATRIESME.	CÈNE ATRIESME.
LYDIE.	LYDIE.
Si quelqu'vn eſtonné de l’ardeur de mon ame, Veut aller contempler le ſubject de ma flame, Admirant mon Amant, ſi rare & ſi parfaict, Auſſi-toſt ceſſera d’en admirer l’effect:	Si quelqu'un étonné de l'ardeur de mon âme, Veut aller contempler le sujet de ma flamme, Admirant mon Amant, si rare et si parfait, Aussitôt cessera d'en admirer l'effet:
Il verra ſa beauté qui cauſe mon ſeruage Et me condamnera de l’aymer d’auantage, Si iamais on pouuoit d’auantage l’aymer, Et mon cœurdans les feux de l’amour conſummer, Mais quoy!	Il verra sa beauté qui cause mon servage Et me condamnera de l'aimer d'avantage, Si jamais on pouvait davantage l'aimer, Et mon cœurdans les feux de l'amour consummer, Mais quoi!
