PAR MONSIEVR BORÉE,	PAR MONSIEUR BORE,
I’aduouë ſa valeur digne d’estre eſtimée:	J'avoue sa valeur digne d'être estimée:
Mais non pas tellement, qu'elle doiue apporter D’eſtonnement à ceux, qui la peuuent dompter.	Mais non pas tellement, qu'elle doive apporter D'étonnement à ceux, qui la peuvent dompter.
OTHOMAN.	OTHOMAN.
22 On le tient autrement, & ie ne ſçaurois dire, Que ſa valeur ne deuſt poſſeder vn Empire:	22 On le tient autrement, et Seigneur ne saurais dire, Que sa valeur ne dût posséder un Empire:
Toutesfois on verra, qu'elle peut aux effects, Qui ne luy veut donner de trefue, ny de paix.	Toutefois on verra, qu'elle peut aux effets, Qui ne te veut donner de trêve, ni de paix.
SECOND IANISSAIRE.	SECOND IANISSAIRE.
Nous voyant l’aborder à l’inſtant diſparuë, Comme aux rais du Soleil diſparoit vne nuë, Nous iugerõs, qu’en vain flâquez de hauleuars Nous croyons d’endurer les orages de Mdrs.	Nous voyant l'aborder à l'instant disparue, Comme aux rais du Soleil disparaît quelque nue, Nous jugerons, qu'en vain flamquez de hauleuars Nous croyons d'endurer les orages de Mdrs.
OTHOMAN.	OTHOMAN.
Uous-vous allez trõpant, de croire ſa vaillãce Ne deuoir à nos bras faire de reſiſtance:	Uous-vous allez trõpant, de croire sa vaillance Ne devoir à nos bras faire de résistance:
Et ie ne voudrois pas vn ſemblable bon-heur, „ Aux grands difficultez il y a plus d’honneur:	Et personne ne voudrais pas un semblable bonheur, „ Aux grands difficultés il y a plus d'honneur:
» C’eſt là que l'on s’acquiert le nõ de Capitaine, » Et non pas quand on a la victoire ſans peine, » Dont la gloire en naiſſant entre dans le tombeau, ,, Sãs iamais en ſortir pour n’auoir riẽ de beau.	" C'est là que l'on s'acquiert le nôtre de Capitaine, " Et non pas quand on a la victoire sans peine, " Dont la gloire en naissant entre dans le tombeau, ,, Sãs iamais en sortir pour auoir riẽ de beau.
Allons:	Allons:
Mahomet vueille, à nos vœux exorable Enuoyer les faueurs de ſon bras ſecourable.	Mahomet veuille, à nos vœux exorable Envoyer les faveurs de son bras secourable.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
Amé.	Amé.
Foulques.	Foulques.
Soldats.	Soldats.
AIA AME'.	AYA ÂME.
IMO TOus deuriez ces boüillons de gloire retenir, V Content de voſtre los, qu’on ne ſçauroit ternir, Qui touſiours floriſſant malgré les deſtinées Deſpitera ſans fin la courſe des années:	JMO TOus devriez ces bouillons de gloire retenir, V Content de votre los, qu'on ne saurait ternir, Qui toujours florissant malgré les destinées Despitera sans fin la course des années:
Outre qu’on vous pourroit blaſmer comme imprudent, 9 lgolat oq dol Qui recherche des ſiens le peril euident.	Outre qu'on vous pourrait blâmer comme imprudent, 9 légolat oq dol Qui recherche des siens le péril évident.
L’Europe ſçait aſſez voſtre valeur guirriere, Ce n'eſt pas pour briguer vne loüange entiere l'en atteste celuy qui nous a faict armer, Et fendre à ſon respect les vagues de la mer:	L'Europe sait assez votre valeur guirrière, Ce n'est pas pour briguer une louange entière l'en atteste celui qui nous a fait armer, Et fendre à son respect les vagues de la mer:
Ce qui fait que ie crains, c’eſt le ſort variable, Qui peut rendre en tous deux noſtre camp deplorable:	Ce qui fait que Seigneur crains, c'est le sort variable, Qui peut rendre en tous deux notre camp déplorable:
Choſe que l’on a veu maintesfois arriuer:	Chose que l'on a vu maintesfois arriver:
Vous ne deuez donc plus en cela reſtiuer.	Vous ne devez donc plus en cela restiver.
Uoſtre aage de ſurplus deſormais vous diſpẽce, Qui nous doit conſeruer vn threſor de prudẽce.	OUotre aage de surplus désormais vous dispẽce, Qui nous doit conserver un trésor de prudience.
OVLQVES.	OULQUES.
En tout autre ſubject, ie vous iure ma foy, Que vos cõmandemens me ſeruiroient de loy, Et l’on ne m’en doit pas accuſer d’imprudence, Veu que d’autres pourueus de plus d’experience Pourroyent plus dignemẽt le fardeau ſouſtenir, Quand la Parque voudroit ma carriere finir:	En tout autre sujet, ie votre jure ma foi, Que vos commandements me serviraient de lois, Et l'on ne m'en doit pas accuser d'imprudence, Veu que d'autres pourvus de plus d'expérience Pourraient plus dignemẽt le fardeau soutenir, Quand la Parque voudrait ma carrière finir:
Outre ce que ie dois à celuy-là la vie, Qui de mourir pour nous alloit mourãt d’enuie.	Outre ce que je dois à celui-là la vie, Qui de mourir pour nous allait mourant d'envie.
AME.	ÂME.
Et bien, ie ne veux plus ſur ce poinct conteſter, Reſte doncques d’aller leurs rempars affronter, Prouoquer le Barbare à vouloir comparoistre, Où la valeur de tous ſe puiſſe recognoistre:	Et bien, Seigneur ne veux plus sur ce point contester, Reste donc d'aller leurs rempars affronter, Proquer le Barbare à vouloir comparaître, Où la valeur de tous se puisse reconnaître:
Allons donc, mes amis, il nous vient au deuant Aauani que tuspevuser, nromnont imipuiulant.	Allons donc, mes amis, il nous vient au devant Aavani que tuspevuser, nromnont imipulant.
OVLQVES.	OULQUES.
Cheualiers, vous ſçauez, ce que veulent vos armes:	Chevaliers, vous savez, ce que veulent vos armes:
Voicy les Othomans reuenir aux alarmes.	Voici les Othomans revenir aux alarmes.
SCENE QVATRESME.	SCÈNE QVATRESME.
Othoman.	Othoman.
Bachas.	Bachas.
Ianiſſaires.	Janissaires.
Soldats.	Soldats.
Foulques.	Foulques.
Amé.	Amé.
OTHOMAN.	OTHOMAN.
4 E perdons point le temps en ſuperflus diſd vOmex.	4 E perdons point le temps en superflus disd vOmex.
2 Sus doncques hardiment ſur ce laſche ſecours.	2 Sus donc hardiment sur ce lâche secours.
Bataille.	Bataille.
OVLQVES BLESSE.	OULQUES BLESSE.
C’est faict, ie n’en puis plus, ma bleſſeure eſt mortelle.	C'est fait, Madame n'en puis plus, ma blessure est mortelle.
n mu mn Mon Dieu, reçois mõ ame en ta ſaincte tutelle, Qui Qui va laiſſer ce corps, trop contente d’auoir, Auant que s’en aller, monſtré quelque deuoir.	 nu mn Mon Dieu, reçois mo mme en ta sainte tutelle, Qui Qui va laisser ce corps, trop contente d'avoir, Avant que s'en aller, montré quelque devoir.
AME.	ÂME.
En fin les Othomans nous ont quitté la place, Payant à nos Autels cherement leur audace, La pluſpart ou naurez, ou reſtez ſur le lieu.	En fin les Othomans nous ont quitté la place, Payant à nos Autels chèrement leur audace, La plupart ou naurez, ou restez sur le lieu.
Mais, qui voy-ie là bas rendre l’eſprit à Dieu?	Mais, qui vois-je là bas rendre l'esprit à Dieu?
O Ciel !	Ô Ciel !
FOVLQVES ſe meurt, ce vaillant pini O malheur ſans pareil!	FOVLQVES se meurt, ce vaillant pini Ô malheur sans pareil!
ô victoire incertaine!	ô victoire incertaine!
OVLQVES Prince le plus vaillant des hommes genereux, Ne plains pas mõ eſprit, qui s’ẽ va biẽ-heureux:	OULQUES Prince le plus vaillant des hommes généreux, Ne plains pas mon esprit, qui s'ẽ va bye-heureux:
le trespaſſe content, mourant pour la querelle De celuy, qui pour moy mourut de mort cruelle.	le trépasse content, mourant pour la querelle De celui, qui pour moi mourut de mort cruelle.
Ie te laiſſe le ſoing de nos ſacrez Autels:	Je te laisse le soing de nos sacrez Tels:
Augmente, en les ſeruant, tes beaux faicts immortels:	Augmente, en les servant, tes beaux faits immortels:
Tu le peux aisément, pourſuyuant ta victoire, Qui te comble à iamais d’vne immortelle gloire.	Tu le peux aisément, poursuivant ta victoire, Qui te comble à jamais d'une immortelle gloire.
AME.	ÂME.
AME'.	ÂME.
Hé!	Hé!
qu’il vaudroit bien mieux auoir eu du meſchef, ue perdre, on te perdat, un ſi vaieureux Cheſ	qu'il vaudrait bien mieux avoir eu du mèches, ue perdre, on te perdat, un si vaieureux Ches
VLQVES.	VLQUES.
Nullement, tout va bien, aye ſoing de mes Frores, Et ne les quitte point au fort de leurs affaires.	Nullement, tout va bien, aie soin de mes Frores, Et ne les quitte point au fort de leurs affaires.
Ie me fie du tout en ton affection, Et les laiſſe content en ta protection.	Je me fie du tout en ton affection, Et les laisse content en ta protection.
Au reſte, aſſeure-toy, malgré ſa reſiſtance, Que Rhodes doit bien-toſt flechir ſoubs ta puiſſance.	Au reste, assure-toi, malgré sa résistance, Que Rhodes doit bientôt fléchir sous ta puissance.
Adieu, ie vay mourir, c’en eſt faict, ie ſuis mort,	Adieu, Seigneur vais mourir, c'en est fait, Elle suis mort,
AME'.	ÂME.
Helas!	Hélas!
que le destin nous fait ores grand tort!	que le destin nous fait ores grand tort!
C’eſt faict!	C'est fait!
il ne vit plus!	il ne vit plus!
ſa belle Ame s’enuole Regner heureuſement à iamais dans le pole!	sa belle Âme s'envole Regner heureusement à jamais dans le pôle!
O perte, qui me cauſe vn eternel regret!	Ô perte, qui me cause un éternel regret!
Helas!	Hélas!
tenons au moins ceſt accident ſecret, De peur que le Barbare en ayant cognoiſſance, N’en puiſſe conceuoir quelque bonne eſperance.	tenons au moins cet accident secret, De peur que le Barbare en ayant connaissance, N'en puisse concevoir quelque bonne espérance.
A ces fins nous conuient ſes armes delaſſer, Et le mieux qu’on pourra promptemẽt endoſſer.	À ces fins nous convient ses armes délasser, Et le mieux qu'on pourra promptemẽt endosser.
Vous, emportez ce corps glorieux dans ma tẽte, Où perſonne d’entrer autre que vous n’attente, S’il ne veut à l’inſtant ma diſgrace encourir, Et pour vn tel mesfaict honteuſement mourir.	Vous, emportez ce corps glorieux dans ma tendre, Où personne d'entrer autre que vous n'attente, S'il ne veut à l'instant ma disgrâce encourir, Et pour un tel méfait honteusement mourir.
Ne ſoyez plus armé que des miennes, Uerruë:	Ne soyez plus armé que des miennes, Uerrue:
Uostre rare valeur ſi ſouuent recognac S'en ſçaura bien ſeruir:	OUotre rare valeur si souvent reconnac S'en sçaura bien servir:
tout va bien:	tout va bien:
a-t’on faict?	a-t-on fait?
VERRVE.	VERRVE.
A tou ſacré vouloir i’auray tost ſatisfaict.	A tou sacré vouloir j'aurai tôt satisfait.
Lio Reſte de viſiter nos troupes genereuſes, Et preuoir ſagement aux ruſes dangereuſes.	Lio Reste de visiter nos troupes généreuses, Et prévoir sagement aux ruses dangereuses.
VERRVE.	VERRVE.
Pourueu qu’aucun ſecours ne vienne promptement, Ils ne reſiſteront, que ie croy, longuement.	Pourvu qu'aucun secours ne vienne promptement, Ils ne résisteront, que sans crois, longuement.
dan	dan
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
Othoman.	Othoman.
Taniſſaires.	Tanissaires.
Soldats Turcs.	Soldats Turcs.
DTHOMAN.	DTHOMAN.
Malheur!	Malheur!
ô deſaſtre!	ô désastre!
ô vergongne!	ô vergongne!
ô diſ fame!	ô dis famé!
Qui ne pourra iamais s’effacer de mon ame, Qui me fera mourir, y repenſant toufiours, Iuſqu’à tant que la Parque aura filé mes iours.	Qui ne pourra jamais s'effacer de mon âme, Qui me fera mourir, y repensant toufiours, Jusqu'à tant que la Parque aura filé mes jours.
Iamais ie n’ay trouué de pareils aduerſaires:	Jamais ici n'ai trouvé de pareils adversaires:
Tout l’eſpoir que i’auois, estoit aux Ianiſſaires, Qui vaincus à l’inſtant au milieu des hazards Augmentent à iamais l’hõneur des Sauoyards.	Tout l'espoir que j'avais, était aux Janissaires, Qui vaincus à l'instant au milieu des hasards Augmentent à jamais l'honneur des Savoyards.
Non, ie ne veis iamais vne ſi grand tûrie, Ny ſoldats animez de ſemblable furie:	Non, Seigneur ne véis jamais une si grand turie, N soldats animés de semblable furie:
Les chãps flottent par tout hideuſemẽt du ſang, Que les noſtres encor eſpanchent de leur flanc, Demy-morts, delaiſſez ſans hõneur ſur l’arene, Creue-cœur immortel, qui r’engrege ma peine.	Les chãps flottent par tout hideusemment du sang, Que les nôtres encor épanchent de leur flanc, Demi-morts, délaissez sans honneur sur l'arène, Creue-cœur immortel, qui rengrege ma peine.
REMIER IANISSAIRE.	REMIÈR IANISSAIRE.
Ie diray librement, Monarque nompareil, Que par trop hors de tẽps vous cõceuez ce dueil:	Je dirai librement, Monarque nompareil, Que par trop hors de temps vous concevez ce dueil:
d C Nous Nous ne pouuõs auoir touſiours le vẽt en poupe.	d Ç Nous Nous ne pouuõs auoir toujours le vient en poupe.
Si le ſort fauoriſe à la Chrestienne troupe, Variable, il ne peut que faire ſon deuoir:	Si le sort favorise à la Chrétienne troupe, Variable, il ne peut que faire son devoir:
Non pourtant que iamais il faille conceuoir, Qu'elle peut toy viuant emporter nos murailles:	Non pourtant que jamais il faille concevoir, Qu'elle peut toi vivant emporter nos murailles:
Quãd meſme celuy-là qui preſide aux batailles, nuy voucacia ue duo jauo toun &uuidu uſfiter, Nous luy pourrons touſiours aisément reſister.	Quand même celui-là qui préside aux batailles, nu cia ue duo javo toun etuuidu usfiter, Nous était pourrons toujours aisément résisté.
OTHOMAN.	OTHOMAN.
140 Mars meſme la cõduit, c’eſt choſe tres-certaine, Les noſtres ne ſeroyent reſtez deſſus la plainé.	140 Mars même la comduit, c'est chose très -certaine, Les nôtres ne seraient reste sus la plainé.
C’est pourquoy, nous conuient craindre, que ce ſecour Ne ſe vienne à la fin flanquer deſſus nos tours.	C'est pourquoi, nous convient craindre, que ce secour Ne se vienne à la fin flanquer dessus nos tours.
C’eſt pourquoy, pour remplir nos bandes deſpourueués, Faites diligemment aduancer des recreues, Et commandez par tout de nouueaux Regimẽs:	C'est pourquoi, pour remplir nos bandes despourueués, Faites diligemment avancer des reçues, Et commandez par tout de nouveaux Regiments:
Ainſi nous preuiendrons de tels euenemens.	Ainsi nous préviendrons de tels événements.
PREMIER IANISSAIRE.	PREMIER IANISAIRE.
Puis que c’eſt ton vouloir, ie parts en diligẽce, Faire tout le deuoir que demande l’vrgence.	Puis que c'est ton vouloir, Seigneur parts en diligence, Faire tout le devoir que demande l'une.
OTHOMAN.	OTHOMAN.
Reuenez le pluſtost:	Revenez le plustost:
vous, ayez-moy le De ſçauoir curieux, oculaire teſmoing, Ce que font les Chreſtiens:	vous, ayez-moi le De sçauoir curieux, oculaire témoin, Ce que font les Chrétiens:
ſur tout prenez garde, A ce qui le ſalut du bien public regarde.	sur tout prenez garde, À ce qui le salut du bien public regarde.
Allés.	Allez.
2	2
SECOND IANISSAIRENe doutés point, qu’Eſpion vigilant Ie n'aille à ceſt effect ſans ceſſe trauaillant.	SECOND IANISSAIRENe doutés point, qu'Espion vigilant Je n'aille à cet effet sans cesse travaillant.
CENE SIXIESME.	CÈNE SIXIÈME.
Amé.	Amé.
Comte de Verruë.	Comte de Verrue.
Pagnac & Elion, Cheualiers.	Pagnac et Élion, Chevaliers.
Soldats.	Soldats.
AME.	ÂME.
E faut plus qu’approcher nos machines de guerre:	E faut plus qu'approcher nos machines de guerre:
Tant de Barbares morts, qui meſurent la terre, Semblent nous conuier à vouloir estouffer Le reste, & tout d’vn coup de Rhodes triompher.	Tant de Barbares morts, qui mesurent la terre, Semblent nous convier à vouloir étouffer Le reste, et tout d'un coup de Rhodes triompher.
Ne t'approunez-vous pas	Ne t'approunez-vous pas
COMTE DE VERRVE.	COMTE DE VERRVE.
Voſtre rare prudence Ne ſçauran jualtupai en faieis ue conſequence.	Votre rare prudence Ne sauran jualupai en faieis ès conséquence.
2 AME'.	2 ÂME.
Que vous-en ſemble-t’il, genereux Cheualiers?	Que vous-en semble-t-il, généreux Chevaliers?
PAGNAC, CHEV.	PAGNC, CHEU.
IE.	JE.
Tu n’es que trop heureux pourſuyuant tes lauriers, Comme nous trop contens d’expirer, ſi la Parque a Ceite c Veut, que ce ſoit où c’eſt, que la foy ſe remarque.	Tu n'es que trop heureux poursuivant tes lauriers, Comme nous trop contents d'expirer, si la Parque a Cite ç Eut, que ce soit où c'est, que la foi se remarque.
AME.	ÂME.
Nos Geans, grace à Dieu, de leur perte eſtourdis, Ne ſont plus maintenant ce qu’ils eſtoient iadis, Et n’ont dequoy tenir plus long-temps, ie m’aſſeure.	Nos Géants, grâce à Dieu, de leur perte étourdis, Ne sont plus maintenant ce qu'ils étaient jadis, Et n'ont dequoy tenir plus longtemps, elle m'assure.
ELION, CHEVALIER.	ÉLION, CHEVALIER.
Les preſſer iour & nuict, c’eſt la choſe meilleure.	Les presser jour et nuit, c'est la chose meilleure.
AME.	ÂME.
Et d’eſtre ainſi perdus ne le peuuent nier.	Et d'être ainsi perdus ne le peuvent nier.
Mais voicy qu’on m'amene vn ieune priſonnier.	Mais voici qu'on m'amène un jeune prisonnier.
SCENE SEITIEOME.	SCÈNE SEITIEOME.
Clotane Princeſſe d’Armenie deſguisée en Soldat.	Clotane Princesse d'Arménie déguisée en Soldat.
SOLDAT.	SOLDAT.
On Prince, n’eſconduis vn Seigneur M d'Armenie, Qui porte dans le cœur vne peine infinie, Sans nous auoir voulu, rien que ſoit, deſcouurir, Sinon qu’il eſtoit preſt nous ſeruant de mourir.	On Prince, n'éconduis un Seigneur M 'Arménie, Qui porte dans le cœur une peine infinie, Sans nous avoir voulu, rien que soit, découvrir, Sinon qu'il était prêt nous servant de mourir.
Ce maintien genereux eſt vn certain preſage, Qu'il n’eſt pas du commun, & qu’il a du cou rage:	Ce maintien généreux est un certain présage, Qu'il n'est pas du commun, et qu'il a du cou rage:
Mais tu peux curieux de ſon ſort t’informer, Et quintu qui te peu de la forte animer.	Mais tu peux curieux de son sort t'informer, Et quintu qui te peu de la forte animer.
AME'.	ÂME.
Comme l'auez-vous prus?	Comme l'avez-vous prus?
SOLDAT.	SOLDAT.
Sans l'affronter, luy-meſme Se iette entre nos mains, plein d’vne ardeur extreme.	Sans l'affronter, Seigneur-même Se jette entre nos mains, plein d'une ardeur extrême.
AME’.	ÂME.
Vous estes donc Chreſtien?	Vous êtes donc Chrétien?
CLOTANE.	CLOTANE.
Ie le ſuis & ſeray Quoy qu'arriue, tandis que ie reſpireray.	Je le suis et serai Quoi qu'arrive, tandis que tu respirerai.
AMLe.	AMLe.
L’Armenie n’a pas des Chreſtiens à ceſte heure Subiette d’vn Tyran, qui tant d’ames malheure.	L'Arménie n'a pas des Chrétiens à cette heure Subiette d' Tyran, qui tant d'âmes malheure.
CLOTANE.	CLOTANE.
Ie le ſuis toutesfois, & vouloir en douter, Seroit la verité ſans cauſe reietter.	Je le suis toutefois, et vouloir en douter, Serait la vérité sans cause rejeter.
AME.	ÂME.
Vous me feriez plaiſir de m'en dire l'hiſtoire.	Vous me feriez plaisir de m'en dire l'histoire.
E 2	 2
CLOTANE.	CLOTANE.
En fort peu de diſcours ie te la rend notoire.	En fort peu de discours ie te la rend notoire.
Tu ſçais de Mahomet la prophetique voix, Que le ſceptre des Turcs il promet aux Frãçois, Or ce meſme Othoman, qui ſe le perſuade, N’aguieres deputà mon pere en ambaſſade Au Monarque de France, à fin que, bons amis, Il luy fust de regner paiſiblement permis.	Tu sais de Mahomet la prophétique voix, Que le sceptre des Turcs il promet aux Fronçais, Or ce même Othoman, qui se le persuade, N'agvières députà mon père en ambassade Au Monarque de France, à fin que, bons amis, Il lui fût de régner paisiblement permis.
Moy, qui depuis le iour que ie vy la lumiere, Ne respiray iamais qu’vne addreſſe guerriere, Qui deſiroy ſçauoir leurs belliqueuſes loix, Me reſolus de voir vn peuple ſi courtois.	Moi, qui depuis le jour que je vi la lumière, Ne respirai jamais qu'une adresse guerrière, Qui désiroy sçauoir leurs belliqueuses lois, Me résolus de voir un peuple si courtois.
A ces fins ie me mets tout content à la ſuite D’vn tel Ambaſſadeur, mon heureuſe conduite.	À ces fins on me mets tout content à la suite D'un tel Ambassadeur, mon heureuse conduite.
A peinè eus-ie gouſté de ce peupte les mœurs, Qu'à l'inſtãt d’vn deſir de les ſçauoir ie meurs.	À peiné eus-je goûté de ce peupte les mœurs, Qu'à l'instant d' désir de les savoir Je urs.
Pour le mieux teſmoigner, ie reçoy le Bapteſme, Deſirant qu’à ce iour fuſt mon heure ſupreme.	Pour le mieux témoigner, votre reçois le Baptême, Désirant qu'à ce jour fût mon heure suprême.
Depuis ce temps Chreſtien i'ay chery les Chreſtiens, 11 I Preferant leur falut à celuy-là des miens.	Depuis ce temps Chrétien j'ai chéri les Chrétiens, 11 I Référant leur fallut à celui-là des miens.
AME.	ÂME.
Oufere conauioutuub aumoy, de grace.	Oufère conauioutuub aumoi, de grâce.
CLOTANE.	CLOTANE.
2 Prince des valeureux, ie ſuis noble de race, Qui pourrois le voulãt d’vn ſceptre m’honorer:	2 Prince des valeureux, je suis noble de race, Qui pourrais le voulant d'un sceptre m'honorer:
Mais ce n'eſt pas où c’eſt que ie veux aſpirer.	Mais ce n'est pas où c'est que tu veux aspirer.
AME'.	ÂME.
Dites-moy donc comment!	Dites-moi donc comment!
CLOTANE.	CLOTANE.
Heritier d’Armenie, I’y pourroy receuoir vne gloire infinie.	Héritier d'Arménie, J'y pourrai recevoir une gloire infinie.
AME.	ÂME.
Uous eſtes donc iſſu de ce Roy nompareil, Qui les Perſes deffit, en vertus vn Soleil.	Uous êtes donc issu de ce Roy ompareil, Qui les Perses défit, en vertus un Soleil.
CLOTANE.	CLOTANE.
Ie le ſuis voirement.	Je le suis voirement.
Coſtre noms AME',	Cotre noms AME',
C’est Clotane.	C'est Clotane.
CLOTANE.	CLOTANE.
AME' 1  Pant eſt que vous fuyez l’erreur Mahometane.	ÂME 1 Pant est que vous fuyez l'erreur Mahométane.
CLOTANE.	CLOTANE.
Telement que pluſtost ie mourroy mille fois, Auant que d’adherer à ſes iniques loix.	Tèlement que plutôt On mourroi mille fois, Avant que d'adhérer à ses iniques lois.
AME'.	ÂME.
Celuy qui de quitter vn ſceptre vous inſpire, Ne vous laiſſera pas ſans vn plus grand Empire.	Celui qui de quitter un sceptre vous inspire, Ne vous laissera pas sans un plus grand Empire.
CLOTANE.	CLOTANE.
L’Empire le plus grand, que ie veux deſirer Apres luy, ne ſera que de vous adorer.	L'Empire le plus grand, que je veux désirer Apresprit, ne sera que de vous adorer.
AME'.	ÂME.
Auec moy vous auriez vn trop petit partage:	Avec moi vous auriez un trop petit partage:
Vous treuuerez ailleurs vn plus grand aduantage.	Vous trouverez ailleurs un plus grand avantage.
CLOTANE.	CLOTANE.
Ie ne peux que pour vous auoir d’affection, Et ſerois trop heureux en ma condition.	Je ne peux que pour vous avoir d'affection, Et serais trop heureux en ma condition.
AME.	ÂME.
Qand vous eustes quitté ceste ſecte payẽne, Fuſtes-vous biẽ inſtruit en noſtre foy Chreſtiẽne?	Quand vous eûtes quitté cette secte payẽne, Fustes-vous bien instruit en notre foi Chrétienne?
CLOTANE.	CLOTANE.
3 Le temps ne me permit, ainſi que ie voulois, D’apprendre que c’eſtoit que des Chreſtiennes loix.	3 Le temps ne me permit, ainsi que je voulais, D'apprendre que c'était que des Chrétiennes lois.
2	2
AME’.	ÂME.
Vous n’auez de Chreſtien doncques que le BaNquia 1	Vous n'avez de Chrétien donc que le BaNquia 1
CLOTANE.	CLOTANE.
Riẽ autre:	Rien autre:
& c’eſt le tout de mõ regret extreme.	et c'est le tout de mien regret extrême.
AME'.	ÂME.
Prenés cœur ſeulement, esperant toſt d’auoir, Qui pourra d’vn Chrestien vous monſtrer le deuoir.	Prenez cœur seulement, espérant tôt d'avoir, Qui pourra d'un Chrétien vous montrer le devoir.
Or allons cependant preparer l’eſcalade, Curieux deſſus tout que ce Monstre n’euade.	Or allons cependant préparer l'escalade, Curieux dessus tout que ce Monstre n'ade.
ACTE TROISIESME.	ACTE -TROISIÈME.
SGENE PRERATERE.	SGENE PRERATERE.
CLORANE SEVLE.	CLORANE SEULE.
Elas!	Élas!
qu’il eſt bien vray, que les pauures mortels Vont adorant d’Amour ſans raiſon les autels:	qu'il est bien vrai, que les pauvres mortels Vont adorant d'Amour sans raison les autels:
Que celuy, qui reſſent ſa bleſſeure profande, Endure les tourmens les plus cruels dumonde.	Que celui, qui ressent sa blessure profande, Endure les tourments les plus cruels dumonde.
D’eſpreuue ie le ſçay, qui ſouffre dans ſes fers, Plus que les criminels ne ſouffrent aux Enfers.	D'épreuve ie le sais, qui souffre dans ses fers, Plus que les criminels ne souffrent aux Enfers.
Ce Tyran en premier, qui mon ame manie, Me bleſſant me contraint d’abſenter l'Armenie, O IROT De deſguiſer mon ſexe, & de franchir les mers, Supportant iour & nuict mille trauaux amers.	Ce Tyran en premier, qui mon âme manie, Me blessant me contraint d'absenter l'Arménie, Ô IROT De déguiser mon sexe, et de franchir les mers, Supportant jour et nuit mille travaux amers.
Non content, le cruel m’abbreuuant de ſes charmes, 4 R HOEES.	Non content, le cruel m'abreuant de ses charmes, 4 R OES.
34 Me fait aller sãs ceſſe aux plus dures alarmes, N’eſperant pour guerdon, que de voir les heaux an yeux quoly M’enc, muute De celuy, qui ne ſçait mon tourment furieux.	34 Me fait aller sans cesse aux plus dures alarmes, N'espérant pour guerdon, que de voir les heaux an yeux quoli M'enc, mute De celui, qui ne sait mon tourment furieux.
Mais, helas, quel guerdon, puis que leur vius  flame MeN ANONNN Produit des feux ardens beaucoup plus dans coymon amenp bi leir ey tuom Auant que l’auoir veu ie mouroy de le voir, Pour rendre à ſes vertus vn fidelle deuoir:	Mais, hélas, quel guerdon, puis que leur vius flamme MeN ANONNN Produit des feux ardents beaucoup plus dans coimon amenp by leyr ei tuom Avant que l'avoir vu jour mouroi de le voir, Pour rendre à ses vertus un fidèle devoir:
Ores que ie le vay, mon tourment deuient pire, Et trouue dans ſes yeux ma mort & mon martyre?	Ores que personne le vay, mon tourment devient pire, Et trouve dans ses yeux ma mort et mon martyre?
Memxvid AM4S.	Memxvid AM4S.
Si que ne le voir pas, & la voir, me produit Des tourmens infinu vne eternelle nuit.	Si que ne le voir pas, et la voir, me produit Des tourments infinu une éternelle nuit.
Dure condition d’vne amante fidelle, Qui n’oſe deſcauurir ſa touture cruelle!	Dure condition d'une amante fidèle, Qui n'ose descauvrir sa touture cruelle!
Elle meurt lentement:	Elle meurt lentement:
mais ceſte leme mort A ſes maux infinis ne trouue point de port.	mais cette leme mort À ses maux infinis ne trouve point de port.
Helas!	Hélas!
que voftre ſort est heureux, obergeres, Qui contentes menez des vies boccageres, Qui pour vos ſeuls troupeaux auez d'affections, Et ne reſſentez pas nos dures paſſions.	que votre sort est heureux, obergères, Qui contentes menez des vies bocagères, Qui pour vos seuls troupeaux avez d'affections, Et ne ressentez pas nos dures passions.
I'estime cent fois plus voſtre vie champeſtre, Exempte de nos maux, que la gloire d’vn ſceptre.	J'estime cent fois plus votre vie champêtre, Exempte de nos maux, que la gloire d'un sceptre.
Ce Tyran trop cogneu rend eſclaue les Roys, Et vous regnez vrayment vous mocquant de ſes loix.	Ce Tyran trop connu rend esclaue les Rois, Et vous régnez vraiment vous moquant de ses lois.
aù tamm ey tau danc Mais que veut ce vieillard, qui deuers moy L'aduance?	Où tamm eu tau danc Mais que veut ce vieillard, qui devers moi L'avance?
Sãs doute des Chreſtiẽs m’inſtruire à la creance, De mon Prince enuoyé:	Sans doute des Chrétiens m'instruire à la créance, De mon Prince envoyé:
ſus, il le faut ouyr.	sus, il le faut ouïr.
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
Ermite.	Ermite.
Clotane.	Clotane.
ERMITE.	ERMITE.
leu puiſſant, Monſeigneur, vous vueille Dreſiouyr.	Lev puissant, Monseigneur, vous veuille Drésiouir.
CLOTANE.	CLOTANE.
Ainſi ſoit, ie l'en prie & reprie, mon Pere.	Ainsi soit, Madame l'en prie et reprie, mon Père.
ERMITE.	ERMITE.
T'ouſiours aux gens de bien il ſe mõſtre proſpere:	T'oujours aux gens de bien il se montre prospère:
Vous Vous l’esprouuerez toſt, n’en doutés nullement.	Vous Vous l'éprouverez tôt, n'en doutés nullement.
CLOTANE.	CLOTANE.
Iouyſſant de mes vœux ie meurs alegrement.	Iouyssant de mes vœux ici meurs allégrement.
ERMITE.	ERMITE.
M Ils ne ſont pas que bons, ainſi comme i'estime	M Mons ne sont pas que bons, ainsi comme j'estime
CLOTANE.	CLOTANE.
