mniluil du Prveuca duxcer.	mniluil du Préveuca duxcer.
Il ne nous faudra que trente-ſix Violons, vingt Haut-bois, uouze banes, iix Trompetes, vingt-quatre Tambours, cinq Orgues, & un Flageolet.	Il ne nous faudra que trente-six Violons, vingt Haut-bois, ouvouze banes, jix Trompetes, vingt-quatre Tambours, cinq Orgues, et un Flageolet.
Mr GRIFON.	Mr GRISON.
Eh fy donc, voila pour donner une Serenade à tout un Royaume.	Eh fi donc, voilà pour donner une Sérenade à tout un Royaume.
CAPIN.	CAPIN.
Pour les voix nous prendrons ſeulement douze baſſes, huit concordants, ſix baſſes tailles , autant de quintes, quatre hautes contres, huit fauſſets & douze deſſus, moitié entiers & moitié hongres.	Pour les voix nous prendrons seulement douze basses, huit concordant, six basses tailles , autant de quintes, quatre hautes contres, huit faussets et douze dessus, moitié entiers et moitié hongres.
Mr GRIFON.	Mr GRISON.
Vous nommez-là dequoy faire un regiment de Muſique.	Vous nommez-là dequoy faire un régiment de Musique.
CAPIN.	CAPIN.
Il ne faut pas moins de voix pour acB iiij compagner tous les inſtrumens.	Il ne faut pas moins de voix pour acB jij ompagner tous les instruments.
Laiſſeznous faire, je veux qu’il y ait dans cette Muſique là une eſpece de perit charivary, qui conviendra merveilleuſement bien au Iijeti Tvotio urons Mronneur vonfe fils & moy donner maintenant les ordres pour.	Laisseznous faire, je veux qu'il y ait dans cette Musique là une espèce de périt charari, qui conviendra merveilleusement bien au Jijet Totio ouvrons Mronneur vonfe fils et moi donner maintenant les ordres pour.
Mr GRIFON.	Mr GRISON.
Attendez, on doit m’amener ma Maîtreſſe, je ſuis bien aiſe que vous la voyez, & que vous m’en diſiez vôtre ſentiment l’un & l’autre.	Attendez, on doit m'amener ma Maîtresse, je suis bien aise que vous la voyez, et que vous m'en disiez votre sentiment l'un et l'autre.
APIN.	APIN.
Prenez la bene & jeune an moins, ſur tout d’humeur complaiſante, tous vos amis vous conſeilleront la meſme choſe.	Prenez la bene et jeune an moins, sur tout d'humeur complaisante, tous vos amis vous conseilleront la même chose.
VALERE.	VALÈRE.
Allons nous-en, je me meurs d’inquietude.	Allons nous-en, je me meurs d'inquiétude.
OCENE V II.	OCENE V II.
Mr GRIFON, VALERE, SCAPIN, Mad.	Mr GRISON, VALÈRE, SCAPIN, Mad.
ARGANTE, LEONORE.	ARGANTE, LEONORE.
I Mr GRIFON.	I Mr GRISON.
E vous avois-je pas bien dit qu’on ( devoit l’amener.	E vous avais-je pas bien dit qu'on ( devait l'amener.
Voila la mere & la ſille de chambre.	Voilà la mère et la sille de chambre.
TALERE.	TALÈRE.
Que vois-je Scapin, c’eſt Leonore.	Que vois-je Scapin, c'est Leonore.
APIN.	APIN.
Autre incident.	Autre incident.
Mad.	Mad.
ARGANTE.	ARGANTE.
Alions, ma nile, approenez, & ſaluez le mary que je vous ay deſtiné.	Alions, ma nile, approenez, et saluez le mari que je vous ai destiné.
LEONORE.	LEONORE.
Quoy, Madame, voila la perſonne.	Quoi, Madame, voilà la personne.
Mad.	Mad.
ARGANTE.	ARGANTE.
Qu’avez-vous donc, Mademoiſelle, eſtce que Monſieur ne vous plaiſt pas?	Qu'avez-vous donc, Mademoiselle, estce que Monsieur ne vous plaît pas?
LEONORE.	LEONORE.
Je ne dis pas cela Madame, & je n’auray jamais d’autres volontez que les vôtres.	Je ne dis pas cela Madame, et je n'aurai jamais d'autres volontés que les vôtres.
A LERE.	À LERE.
Scapin elle obeït à ſa mere, je ſuis perdu.	Scapin elle obéit à sa mère, je suis perdu.
MARINE.	MARINE.
Il y a de l’erreur de calcul.	Il y a de l'erreur de calcul.
Mad.	Mad.
ARGANTE.	ARGANTE.
Je ſuis ravy, ma fille, de vous voir des ſentimens raiſonnables, & j’ay toujours bien jugé que vous ne voudriez pas me delebelle	Je suis ravi, ma fille, de vous voir des sentiments raisonnables, et j'ai toujours bien jugé que vous ne voudriez pas me délebelle
LEONORE.	LEONORE.
Vous deſobeïr, moy?	Vous désobéir, moi?
j’aimerois mieux mourir que de faire quelque choſe qui vous déplut.	j'aimerais mieux mourir que de faire quelque chose qui vous déplut.
Mr GRIFON.	Mr GRISON.
Voila une fille bien née, n’eſt-il pas vray.	Voilà une fille bien née, n'est-il pas vrai.
CAPIN.	CAPIN.
a Ju ſey du qui pro que, lur ma parole.	a Ju Ji du qui pro que, lur ma parole.
LEONORE.	LEONORE.
Tout ce que j’ay à me reprocher, Madame, c’eſt que mon obeïſſance ait ſi peu de merite en cette occaſion, & les choſes ronit dans uietut à me permietre d'avoüer, ſans honte, que voſtre choix & mon inclination ont un parfait raport enſemble.	Tout ce que j'ai à me reprocher, Madame, c'est que mon obéissance ait si peu de mérite en cette occasion, et les choses ronit dans uiétut à me permiètre d'avouer, sans honte, que votre choix et mon inclination ont un parfait rapport ensemble.
Mr GRIFON.	Mr GRISON.
Comme elle m’aime déja, cela n’eſt pas croyable.	Comme elle m'aime déjà, cela n'est pas croyable.
LEONORE.	LEONORE.
miain jayneu de me plumure, eſt-ce à moy de parler comme je fais, quand vous eſtes ſi peu ſenſible, Valere, aux bontez que ma mere a pour nous.	miain jayneu de me plumure, est-ce à moi de parler comme je fais, quand vous êtes si peu sensible, Valère, aux bontés que ma mère a pour nous.
Mad.	Mad.
ARGANTE.	ARGANTE.
Comment donc Valere, a qui en avezvous.	Comment donc Valère, à qui en avezvous.
Mr GRIFON.	Mr GRISON.
Qu’eſt-ce que cela ſignifie.	Qu'est-ce que cela signifie.
A IN.	À IN.
Nous aprochons du dénoument.	Nous approchons du dénoument.
Mad.	Mad.
ARGANTE.	ARGANTE.
Que voulez vous dire avec voſtre Valere.	Que voulez -vous dire avec votre Valère.
LEONORE.	LEONORE.
Ne Mavez-vous pasuit, Madame, que vous aviez conclu mon mariage.	Ne Mavez-vous pasuit, Madame, que vous aviez conclu mon mariage.
Mad.	Mad.
ARGANTE.	ARGANTE.
Qu’a de commun Valere avec voſtre mariage?	Qu'a de commun Valère avec votre mariage?
c’eſt à Monſieur Grifon que voila que je vous marie.	c'est à Monsieur Grifon que voilà que je vous marie.
TION.	TION.
Ouy mignonne, c’eſt moy qui auray I honneur que de.	Oui mignonne, c'est moi qui aurai I honneur que de.
LEONORE.	LEONORE.
Vous Monſieur?	Vous Monsieur?
Mad.	Mad.
ARGANTE.	ARGANTE.
Je voudrois bien, pour voir, que vous lle le douvamce pus Con.	Je voudrais bien, pour voir, que vous lèle le douvamce pus Con.
Mr GRIFON.	Mr GRISON.
Monſieur mon fils, par quelle avanture eſt-il mention de vous dans tout cecy.	Monsieur mon fils, par quelle aventure est-il mention de vous dans tout ceci.
VALERE.	VALÈRE.
Par une avanture fort naturelle mon pere.	Par une aventure fort naturelle mon père.
Mr GRIFON.	Mr GRISON.
Comment une avanture fort naturelle.	Comment une aventure fort naturelle.
MARINE.	MARINE.
Ouy, Monſieur, Mademoiſelle eſt fille, Monſieur eſt garçon, elle eſt aimable, il eſt joly homme, ils ont fait connoiſſance, ils s’aiment, ils ſont dans le gouſt de s’épourter yruenfen là que de fort naturel.	Oui, Monsieur, Mademoiselle est fille, Monsieur est garçon, elle est aimable, il est joli homme, ils ont fait connaissance, ils s'aiment, ils sont dans le goût de s'épourter iruenfen là que de fort naturel.
SCAPIN.	SACPIN.
Il n’eſt point queſtion de la nature là dedans, c’eſt la raiſon & l’intereſt qui font aujourd’huy les mariages, Monſieur eſt le pere, Madame eſt la mere;	Il n'est point question de la nature là -dedans, c'est la raison et l'intérêt qui font aujourd'hui les mariages, Monsieur est le père, Madame est la mère;
la raiſon eſt de leur coſté, la nature eſt une ſotte, & vous auſſi ma mie.	la raison est de leur côté, la nature est une sotte, et vous aussi ma mie.
Mad.	Mad.
ARGANTE.	ARGANTE.
Il a raiſon.	Il a raison.
LEONORE.	LEONORE.
Quoy à l’âge que j’ay, ma mere, vous voudriez me faire épouſer un homme comme Monſieur, vous n’y ſongez pas.	Quoi à l'âge que j'ai, ma mère, vous voudriez me faire épouser un homme comme Monsieur, vous n'y songez pas.
VALERE.	VALÈRE.
Quoy a l'age que vous avez, mion pere, vous voudriez vous marier à une fille comme Malemoiſelle, je croy que vous reſvez.	Quoi a l'age que vous avez, myon père, vous voudriez -vous marier à une fille comme Malemaiselle, je crois que vous rêvez.
LEONORE.	LEONORE.
En verité, ma mere, vous eſtes trop raiſonnable pour exiger de moy une choſe auſſi éloignée de bon ſens.	En vérité, ma mère, vous êtes trop raisonnable pour exiger de moi une chose aussi éloignée de bon sens.
VALERE.	VALÈRE.
Serieuſement parlant, mon pere, vous n’eſtes point d’âge encore à radoter,	Sérieusement parlant, mon père, vous n'êtes point d'âge encore à radoter,
Mad.	Mad.
ARGANTE.	ARGANTE.
Mad.	Mad.
ARGANTE.	ARGANTE.
Ouais, & où ſommes-nous donc, allons petite ridicule, qu’on donne tout.	Ouais, et où sommes-nous donc, allons petite ridicule, qu'on donne tout.
à-l’heure la main à Monſieur.	à l'heure la main à Monsieur.
ALINE.	ALINE.
Non pas, Madame, s’il vous plaiſt.	Non pas, Madame, s'il vous plaît.
MTGRIFON.	MTGRIFON.
Qu’eſt-ce à dire?	Qu'est-ce à dire?
A LERE.	À LERE.
Avec voſtre permiſſion, mon pere, cela ne ſera pas, je vous aſſure.	Avec votre permission, mon père, cela ne sera pas, je vous assure.
1(1111	11111
Ril GRITON.	Ril GRITON.
Cela ne ſera pas.	Cela ne sera pas.
Que dites-vous à cela, Monſieur le Muſicien.	Que dites-vous à cela, Monsieur le Musicien.
A PIN.	À PIN.
Vous avez là un grand garçon bien mal moriginé Monſieur.	Vous avez là un grand garçon bien mal moriginé Monsieur.
Mr GRIFON.	Mr GRISON.
Pendart.	Pendard.
A LENE.	À LENE.
Que diroit-on dans le monde, ſi en ma preſence je vous laiſſois faire une action auſſi extravagante que celle-là.	Que dirait-on dans le monde, si en ma présence je vous laissais faire une action aussi extravagante que celle-là.
Mr GRIFON.	Mr GRISON.
ofi Quoy donc extravagante, comment donc?	ofi Quoi donc extravagante, comment donc?
à t’on pere malheureux.	à t'on père malheureux.
MARINE.	MARINE.
A voſtre pere !	À votre père !
5 CAPIN.	5 CAPIN.
A voitre propre pere.	À voitre propre père.
ALERE.	ALÈRE.
Quand il ſeroit mon pere cent fois plus qu’il ne l’eſt encor, je ne ſouffriray point que l'amour luy rane tourner la cervelle juſqu’à ce point là.	Quand il serait mon père cent fois plus qu'il ne l'est encor, je ne souffrirai point que l'amour lui rane tourner la cervelle jusqu'à ce point là.
Mr GRIFON.	Mr GRISON.
Mais quelle Comedie joüons-nous donc icy, je vous demande pardon pour mon fils, Madame.	Mais quelle Comédie jouons-nous donc ici, je vous demande pardon pour mon fils, Madame.
0 2	0 2
dial Mliconltam Cela n’eſt rien, j’ay bien des excuſes à vous faire pour ma fille, Monſieur.	dial Mliconltam Cela n'est rien, j'ai bien des excuses à vous faire pour ma fille, Monsieur.
MARINE.	MARINE.
Voila des enfans bien obſtinez ;	Voilà des enfants bien obstinés ;
mais auſſi pourquoy vous expoſer à vous marier, ſans ſçavoir ſi Monſieur voſtre fils le voudra bien.	mais aussi pourquoi vous exposer à vous marier, sans savoir si Monsieur votre fils le voudra bien.
Mr GRIFON.	Mr GRISON.
S’il le voudra bien.	S'il le voudra bien.
3 CAPIN, Monſieur, avec trois ou quatre cent piſtoles, ne pourrions-nous point le metde à la raiſon.	3 CAPIN, Monsieur, avec trois ou quatre cent pistoles, ne pourrions-nous point le metde à la raison.
Mr GRIFON.	Mr GRISON.
Je l’y mettray bien ſans cela.	Je l'y mettrai bien sans cela.
Mad.	Mad.
ARGANTE.	ARGANTE.
Et moy je vous répons de cette petite impertinente-là, elle vous épouſera, où je la mettray dans un lieu d’où elle ne ſortira de long-temps.	Et moi je vous réponds de cette petite impertinente-là, elle vous épousera, où je la mettrai dans un lieu d'où elle ne sortira de longtemps.
LEONORE jy demeureray plutot toute ma vie, que d’épouſer un homme que je n’aime point.	LENORE ji demeurerai plutôt toute ma vie, que d'épouser un homme que je n'aime point.
MT GRIFON.	MT GRISON.
Elle s’en va Madame.	Elle s'en va Madame.
Mad.	Mad.
ARGANTE.	ARGANTE.
Ne vous mettez pas en peine, je ſçauray la reduire, elle ſera voſtre femme aujourd’huy , où vous mourrez de mort ſubite.	Ne vous mettez pas en peine, je saurai la réduire, elle sera votre femme aujourd'hui , où vous mourrez de mort subite.
Mr GRIFON.	Mr GRISON.
De mort ſubite.	De mort subite.
Voila à quoy vous m’expoſez Monſieur le coquin.	Voilà à quoi vous m'exposez Monsieur le coquin.
Laiſſe moy faire, je veux l’épouſer à ta barbe, je m’en vais dépenſer tout mon bien pour m’en faire aimer, je luy donneray des preſens, des oijoux, des maitons, des contrats, des cadeaux, des feſtins, des Serenades.	Laisse -moi faire, je veux l'épouser à ta barbe, je m'en vais dépenser tout mon bien pour m'en faire aimer, je lui donnerai des présents, des aijour, des maitons, des contrats, des cadeaux, des festins, des Serenades.
Des Serenades Monſieur le Muſicien;	Des Sérénades Monsieur le Musicien;
& je luy feray des enfans pour te faire enrager.	et je lui ferai des enfants pour te faire enrager.
Oh pour celuy-là on vous en défie.	Oh pour celui-là on vous en défie.
SCENE VIII.	SCÈNE VIII.
VALERE, SCAPIN.	VALÈRE, SCAPIN.
VALERE.	VALÈRE.
On, Scapin, il n’y a point d’exAN tremité où je ne me porte pour empeſcher ce mariage là.	On, Scapin, il n'y a point d'exAN tremité où je ne me porte pour empêcher ce mariage là.
APIN.	APIN.
Doucement, Monſieur, nous abaiſſerons ſes fumées d’amour.	Doucement, Monsieur, nous abaisserons ses fumées d'amour.
Il ne la tient pas encor, j’ay pris le ſoin d’une Serenade, il vient de negocier un certain colier, laiſſezmoy faire;	Il ne la tient pas encor, j'ai pris le soin d'une Serenade, il vient de négocier un certain colier, laissezmoy faire;
mais le diable eſt que nous n’avons point d’argent.	mais le diable est que nous n'avons point d'argent.
A lalel.	À lalel.
Ah mon pauvre Scapin cherche, imagine, invente des moyens pour en trouver, engage tout, vend tout, donne tout.	Ah mon pauvre Scapin cherche, imagine, invente des moyens pour en trouver, engage tout, vend tout, donne tout.
APIN.	APIN.
Hé que diable engager, que vendre ?	Hé que diable engager, que vendre ?
poun toue meuble de immeuble vous n’avez que voſtre habit & le mien, encor le Tailleur n’eſt-il pas payé.	poun toue meuble de immeuble vous n'avez que votre habit et le mien, encor le Tailleur n'est-il pas payé.
VALERE.	VALÈRE.
Quoy tu ne peux trouver.	Quoi tu ne peux trouver.
SCAPIN.	SACPIN.
Depuis que je travaille pour vous, les reſlois de mon eſprit emprunteur ſont diablement uſez.	Depuis que je travaille pour vous, les réslois de mon esprit emprunteur sont diablement usez.
d M EuRa ds Mais quoy.	d M EuRa dès Mais quoi.
CAPIN.	CAPIN.
Laiſſez-moy un peu réver tout ſeul.	Laissez-moi un peu réver tout seul.
J’ay ma Serenade en teſte, ſi je pouvois avoir ſeulement dequoy payer les Muſiciens dont je me veun fertis	J'ai ma Serenade en tête, si je pouvais avoir seulement dequoy payer les Musiciens dont je me veun sertis
ALERE.	ALÈRE.
A quoy bon.	À quoi bon.
CAPIN.	CAPIN.
J’ay beſoin de me recueillir, vous dis-je, laiſſez-moy en repos, & allez fortifier Leonore dans le deſſein de ne point épouſer voſtre pere.	J'ai besoin de me recueillir, vous dis-je, laissez-moi en repos, et allez fortifier Leonore dans le dessein de ne point épouser votre père.
ALERE.	ALÈRE.
Il fauemruuiuitont te qu’il veut, j’ay beſoin de luy.	Il fauemruuiuitont te qu'il veut, j'ai besoin de Seigneur.
SCENE IX.	SCÈNE IX.
Ai I N.	Ai I N.
E n’eſt pas une petite affaire pour un C valet d’honneur d’avoir à ſoûtenir les intereſts d’un Maître qui n’a point d’argent.	E n'est pas une petite affaire pour un Ç valet d'honneur d'avoir à soutenir les intérêts d'un Maître qui n'a point d'argent.
On s’acoquine à ſervir ces gredinslà, je ne ſçay pourquoy, ils ne payent point de gages, ils querellent , ils roſſent quelquefois;	On s'acoquine à servir ces gredinslà, je ne sais pourquoi, ils ne payent point de gages, ils querellent , ils rossent quelquefois;
on a plus d’eſprit qu’eux, on les fait vivre, il faut avoir la peine d’inventer mille fourberies dont ils ne ſont tout au plus que de moitié, & avec tout cela nous ſommes les valets, & ils ſont les Maîtres.	on a plus d'esprit qu'eux, on les fait vivre, il faut avoir la peine d'inventer mille fourberies dont ils ne sont tout au plus que de moitié, et avec tout cela nous sommes les valets, et ils sont les Maîtres.
Cela n’eſt pas juſte.	Cela n'est pas juste.
Je pretens à l’avenir travailler pour mon compte;	Je prétends à l'avenir travailler pour mon compte;
cecy mhy, je teux devemi Maitie a mon tour;	ceci mhi, je teux devemi Maitie à mon tour;
mais que vois-je?	mais que vois-je?
SCENE X.	SCÈNE X.
CHAMPAGNE, SCAPIN.	CHAMPAGNE, SCAPIN.
CHAMPAGNE.	CHAMPAGNE.
TIE' c’eſt toy mon pauvre Scapin.	TYE c'est toi mon pauvre Scapin.
CAPIN.	CAPIN.
Le beau Champagne en ce païs cy.	Le beau Champagne en ce pays cy.
CHAMPAGNE.	CHAMPAGNE.
Il y a ſix mois que je ſuis revenu , mais je ne me montre que depuis quinze jours.	Il y a six mois que je suis revenu , mais je ne me montre que depuis quinze jours.
APIN.	APIN.
Pourquoy donc?	Pourquoi donc?
CHAMPAGNE.	CHAMPAGNE.
Par une eſpece de ſcrupule, une lettre de cachet du Châtelet m’avoit deffendu de paroiſtre à la Ville, elle me preſcrivoit un temps pour voyager, mes voyagés ſont finis, je reparois ſur nouveaux frais.	Par une espèce de scrupule, une lettre de cachet du Châtelet m'avait défendu de paraître à la Ville, elle me prescrivait un temps pour voyager, mes voyagés sont finis, je reparais sur nouveaux frais.
CAPIN.	CAPIN.
Et que fais-tu à preſent?	Et que fais-tu à présent?
Je t’ay veu auderdi le plus uuron gilion, ce rolt dit entre nous, le plus hardy coquin qu’il y euſt en France.	Je t'ai vu auderdi le plus ouvron gilion, ce rolt dit entre nous, le plus hardi coquin qu'il y eût en France.
CHAMPAGNE.	CHAMPAGNE.
J’ay quitté tout cela mon amy.	J'ai quitté tout cela mon ami.
La Juſtice aujourd’huy à l’eſprit ſi mal tourné, il n’y a plus rien à faire dans le commerte.	La Justice aujourd'hui à l'esprit si mal tourné, il n'y a plus rien à faire dans le commerte.
Bnle prena toujours les choſes du mauvais coſté, j’ay renoncé aux vanitez du monde, & je me tuis jette dans la reforme.	Bnle prena toujours les choses du mauvais côté, j'ai renoncé aux vanités du monde, et je me tuis jette dans la réforme.
CAPIN.	CAPIN.
Toy dans la reforme.	Toi dans la réforme.
CIHMTAGNE.	CIHMTAGNE.
Ouy mon enfant.	Oui mon enfant.
Il faut faire une fin.	Il faut faire une fin.
Je me ſuis retiré, je preſte ſur gages.	Je me suis retiré, je prête sur gages.
A P I N.	À P I N.
La retraite eſt meritoire.	La retraite est méritoire.
CHAMPAGNE.	CHAMPAGNE.
Ma foy il n’y a plus que ce métier là pour faire quelque choſe, il n’y a rien de tel, quand on a de l’argent d’en aider des partieuners danis leurs lleceſſitez preſtantes.	Ma foi il n'y a plus que ce métier là pour faire quelque chose, il n'y a rien de tel, quand on a de l'argent d'en aider des partieuners danis leurs llecessitez prêtantes.
LAPIN.	LAPIN.
Voila un motif fort charitable.	Voilà un motif fort charitable.
CHAMPAGNE.	CHAMPAGNE.
Je me ſuis aſſocié d’un fort honneſte homme, qui eſt, je penſe, luy, aſſocié d’un autre fort nomeite nomie enez qui il m’envoye prendre deux mille huit cens livres.	Je me suis associé d'un fort honnête homme, qui est, je pense, Seigneur, associé d'un autre fort nomeite nomie enez qui il m'envoie prendre deux mille huit cens livres.
CAPIN.	CAPIN.
Deux mille huit cens livres.	Deux mille huit cens livres.
Serions- nous aſſez heureux.	Serions- nous assez heureux.
Cela ſeroit admirable, tu es aſſocié avec Monſieur Mathieu?	Cela serait admirable, tu es associé avec Monsieur Mathieu?
CHAMPAGNE.	CHAMPAGNE.
Avec Monſieur Mathieu;	Avec Monsieur Mathieu;
mais je ſuis un peu ſubalterne à la verité.	mais je suis un peu subalterne à la vérité.
Nous demeurons enſemble, il me loge fort haut, me meuble modeſtement, m’habille chaudement pour l’Eté, fraîchement pour l’Hyver, me nourrit ſobrement, ne me donne point de gages, mais ce que je prens c’eſt pour moy.	Nous demeurons ensemble, il me loge fort haut, me meuble modestement, m'habille chaudement pour l'Été, fraîchement pour l'Hiver, me nourrit sobrement, ne me donne point de gages, mais ce que je prends c'est pour moi.
CAPIN.	CAPIN.
Voila une bonne condition.	Voilà une bonne condition.
Et dis-moy, es-tu toujours auſſi yvrongne qu’avant ta lettre de cachet.	Et dis-moi, es-tu toujours aussi yvrongne qu'avant ta lettre de cachet.
CHAMPAGNE.	CHAMPAGNE.
Je bois beaucoup de vin, mais je ne l’aime pas.	Je bois beaucoup de vin, mais je ne l'aime pas.
CAPIN.	CAPIN.
Tu vas donc recevoir deux mille huit cens livres.	Tu vas donc recevoir deux mille huit cens livres.
CHAMPAGNE.	CHAMPAGNE.
Deux mille huit ceno iivres.	Deux mille huit ceno jivres.
N.	N.
Chez Monſieur Grifon.	Chez Monsieur Grifon.
CHAMEAONE.	CHAMEAONE.
C’eſt le nom de noſtre aſſocié.	C'est le nom de notre associé.
Qui te I'a dit?	Qui te J'a dit?
APIN.	APIN.
Pout le furplus d’un colier que Monſieur Mathieu luy a vendu.	Pout le surplus d'un colier que Monsieur Mathieu lui a vendu.
CHAMPACNE.	CHAMPACNE.
Je l'ay ouy dire ainil.	Je l'ai ouï dire ainil.
APIN.	APIN.
Et tu as un billet de Monſieur Mathieu.	Et tu as un billet de Monsieur Mathieu.
pour marque que tu ne viens pas à faux.	pour marque que tu ne viens pas à faux.
HAMPAGNE.	HAMPAGNE.
Cela eſt comme tu le dis.	Cela est comme tu le dis.
Voila le billet.	Voilà le billet.
Hé d’où diantre ſçais-tu tout cela?	Hé d'où diantre sçais-tu tout cela?
Je ſuis l’aſſocié du fils de Monſieur Grifon, moy.	Je suis l'associé du fils de Monsieur Grifon, moi.
CHAMPAGNE.	CHAMPAGNE.
Quoy tu te meſſes auſſi.	Quoi tu te messes aussi.
APIN.	APIN.
Nous ne ſommes aſſociez que pour emprunter nous autles ;	Nous ne sommes associés que pour emprunter nous autles ;
le connois-tu Monſieur Grifon.	le connais-tu Monsieur Grifon.
Non.	Non.
CHAMPAGNE.	CHAMPAGNE.
CAPIN.	CAPIN.
Te connoiſt-il ?	Te connaît-il ?
CHAMPAGNE.	CHAMPAGNE.
Je ne crois pas.	Je ne crois pas.
APIN.	APIN.
Tant mieux.	Tant mieux.
Monſieur Grifon n’eſt pas au logis, & en attendant qu’il vienne nous pouvons aller renouveller connoiſſance au Cabaret.	Monsieur Grifon n'est pas au logis, et en attendant qu'il vienne nous pouvons aller renouveler connaissance au Cabaret.
CHAMPAGNE.	CHAMPAGNE.
De tout mon cœur, je ne refuſe point des parties d’honneur.	De tout mon cœur, je ne refuse point des parties d'honneur.
AP V.	AP V.
Morbleu j’enrage.	Morbleu j'enrage.
Voila un homme à qui j’ay affaire, mais ce ne ſera que pour un moment.	Voilà un homme à qui j'ai affaire, mais ce ne sera que pour un moment.
Va-t’en m’attendre icy prés aux Barreaux verts, & faire tirer bouteille.	Va-t-en m'attendre ici près aux Barreaux verts, et faire tirer bouteille.
Voila un fripon que je friponneray ſur ma parole, ſi je puis ſeulement attraper le billet.	Voilà un fripon que je friponnerai sur ma parole, si je puis seulement attraper le billet.
SCENE XI.	SCÈNE XI.
Mr GRIFON, MARINE, SCAPIN.	Mr GRISON, MARINE, SCAPIN.
MARINE.	MARINE.
E vous dis, Monſieur, que vous aurez J plus de peine que vous ne penſez à reduire cet eſprit là.	E vous dis, Monsieur, que vous aurez J plus de peine que vous ne pensez à réduire cet esprit là.
I Ah, Monſieur, je vous cherchois pour vous dire que dans peu voſtre Serenade ſera en état.	I Ah, Monsieur, je vous cherchais pour vous dire que dans peu votre Serenade sera en état.
Mr GRIFON.	Mr GRISON.
Bon.	Bon.
Voila ma maiſon, & voila celle de ma Maitiene.	Voilà ma maison, et voilà celle de ma Maitiene.
Tant mieux, cela eſt fort commode pourmon deſſein.	Tant mieux, cela est fort commode pourmon dessein.
Mr GRIFON.	Mr GRISON.
Tu dis donc, Marine, que tu viens de la part de Leonore.	Tu dis donc, Marine, que tu viens de la part de Leonore.
MARINE.	MARINE.
Ouy, Monſieur, pour vous faire des excuſes de ce qui s’eſt paſſé à voſtre entreveuë.	Oui, Monsieur, pour vous faire des excuses de ce qui s'est passé à votre entrevue.
Mr GRIFON.	Mr GRISON.
Elle revient à elle, j’en ſuis bien aiſe.	Elle revient à elle, j'en suis bien aise.
MARINE.	MARINE.
Elle eſt au deſeſpoir de n’avoir pû ſe contraindre devant Madame ſa mere;	Elle est au désespoir de n'avoir pu se contraindre devant Madame sa mère;
mais ene dit qu’enle vous lait trop pour ſe faire la moindre violence.	mais ene dit qu'enle vous lait trop pour se faire la moindre violence.
Mr GRIFON.	Mr GRISON.
Voila un fort ſot compliment.	Voilà un fort sot compliment.
Je n’ay que faire de ces excuſes là.	Je n'ai que faire de ces excuses là.
MARINE.	MARINE.
Elle ſçait trop bien vivre pour manquer à la civilité;	Elle sçait trop bien vivre pour manquer à la civilité;
elle m’a auſſi chargé de vous prier de ne point preſſer Madame ſa mere ſur voſtre mariage, & de luy donner du temps pour s’accoûtumer à une figure auſſi extraordinaire que la voſtre.	elle m'a aussi chargé de vous prier de ne point presser Madame sa mère sur votre mariage, et de lui donner du temps pour s'accoutumer à une figure aussi extraordinaire que la vôtre.
Mr GRIFON.	Mr GRISON.
Vous eſtes une impertinente ma mie, & je ne ſçay.	Vous êtes une impertinente ma mie, et je ne sais.
MARINE.	MARINE.
Je vous demande pardon, Monſieur, je vous reſpecte trop pour vous rien dire de mon chef qui vous déplaiſe.	Je vous demande pardon, Monsieur, je vous respecte trop pour vous rien dire de mon chef qui vous déplaise.
Ce ſont les ſentimens de ma Maîtreſſe que je vous explique le plus clairement & le plus ſuccinment qu’il m’eſt poſſible.	Ce sont les sentiments de ma Maîtresse que je vous explique le plus clairement et le plus succinment qu'il m'est possible.
Mr GRIFON.	Mr GRISON.
Je ne veux point ſçavoir ſes ſentimens tant tant qu’elle en aura d’auſſi ridicules.	Je ne veux point savoir ses sentiments tant tant qu'elle en aura d'aussi ridicules.
MARINE.	MARINE.
Il ne tiendra pas à moy qu’elle ne change, & quelque averſion qu’elle ait pour vous, elle ne laiſſera pas de vous épouſer ſi elle m’en veut croire.	Il ne tiendra pas à moi qu'elle ne change, et quelque aversion qu'elle ait pour vous, elle ne laissera pas de vous épouser si elle m'en veut croire.
Vous n’avez que voſtre âge, voſtre air, & voſtre viſage contre vous dans le fond, je gagerois que vous avez les meilleures manieres du monde.	Vous n'avez que votre âge, votre air, et votre visage contre vous dans le fond, je gagerais que vous avez les meilleures manières du monde.
Mr GRIFON.	Mr GRISON.
Voila une inſolente qui a mon nez me vient chanter poüille.	Voilà une insolente qui a mon nez me vient chanter pouille.
MARINE.	MARINE.
C’eſt voſtre phiſionomie lugubre qui l’a d’abord effarouchée, elle en reviendra peut eſtre, & vous aimera à la folie, que ſçait-on.	C'est votre physionomie lugubre qui l'a d'abord effarouchée, elle en reviendra peut -être, et vous aimera à la folie, que Sait-on.
Vous ne ſeriez pas le premier magot qui auroit épouſé une jolie fille.	Vous ne seriez pas le premier magot qui aurait épousé une jolie fille.
MT GRIFON.	MT GRISON.
Malgré tout ce qu’elle me dit, je ne veux point me fâcher, elle peut me rendre ſervice.	Malgré tout ce qu'elle me dit, je ne veux point me fâcher, elle peut me rendre service.
Tu me parois d’agreable humeur.	Tu me parais d'agréable humeur.
MARINE.	MARINE.
