A R 1.	À R 1.
Sottiſe ſans pareille!	Sottise sans pareille!
Tu m’as, d’un coup de dent, preſque emporté l'eTemle.	Tu m'as, d'un coup de dent, presque emporté l'éTemle.
LA MONTAGNE.	LA MONTAGNE.
Vos canons.	Vos canons.
ERASTE.	ERASTE.
Laiſſe-les;	Laisse-les;
tu prens trop de ſouci.	tu prends trop de souci.
LMMGRIAGNE.	LMGRIAGNE.
Ils ſont tout chifonnez.	Ils sont tout chifonnés.
LRASTE.	LRASTE.
Je veux qu’ils ſoient ainſi.	Je veux qu'ils soient ainsi.
LA MONTAGNE.	LA MONTAGNE.
Accordez-moi du moins, pour pract miguniere, De frotter ce chapeau, qu’on voit plein de pouſſiere.	Accordez-moi du moins, pour prat migunière, De frotter ce chapeau, qu'on voit plein de poussière.
4 TE.	4 TE.
Protte uonc, puis qu’il faut que j’en paſſe par là.	Protte onc, puis qu'il faut que j'en passe par là.
A MONNTAGNE.	À MONTAGNE.
Le voulez-vous porter fait comme le voilà ?	Le voulez-vous porter fait comme le voilà ?
ERASTE.	ERASTE.
Mon Dieu dépeche-toi.	Mon Dieu dépeche-toi.
LA MONTAGNE.	LA MONTAGNE.
Ce ſeroit conſcienco.	Ce serait conscienco.
Eno IE aprés avoir attendu.	Eno IE après avoir attendu.
C’eſt aſſez.	C'est assez.
LA MONTAGNE.	LA MONTAGNE.
Donnez-vous un peu de patience,	Donnez-vous un peu de patience,
Il me tuë.	Il me tue.
ERASTE.	ERASTE.
LA MONTAGNE:	LA MONTAGNE:
En quel lieu vous étes-vous fourré?	En quel lieu vous êtes-vous fourré?
RASTE.	RASTE.
T’es-tu de ce chapeau pour toûjours emparé?	T'es-tu de ce chapeau pour toujours emparé?
C’eſt fait.	C'est fait.
LA MONTAGNE.	LA MONTAGNE.
RASTE.	RASTE.
Donne-moi donc.	Donne-moi donc.
na lud ta on in dmu uijjaut iomuanuu chapeau,	na lud ta on in dmu uijaut jomuanu chapeau,
Hal.	Hal.
ERASTE.	ERASTE.
Le voilà par terre:	Le voilà par terre:
Ie luis fort avancé:	Je luis fort avancé:
que la fiêvre te ſerre.	que la sidère te serre.
A MONTAGE.	À MONTAGE.
Permettez qu’en deux coups j’ôte,,.	Permettez qu'en deux coups j'ôte,.
ERASTE, Il ne me plaît pas.	ERASTE, Il ne me plaît pas.
Au diantre tout valet qui vous eſt ſur les bras ?	Au diantre tout valet qui vous est sur les bras ?
Qui fatigue ſon Maître, & ne fait que déplaire da force de vourontunenes du necentne.	Qui fatigue son Maître, et ne fait que déplaire da force de vourontunène du necentne.
SCENE II.	SCÈNE II.
ORPHISE, ALCIDOR, ERASTE, LA MONTAGNE.	ORPHISE, ALCIDOR, ERASTE, LA MONTAGNE.
N ERASTE.	 NRASTE.
Ais voi-je pas Orphiſe?	Ais voi-je pas Orphise?
oui c’eſt elle, que vient.	oui c'est elle, que vient.
Où va-t-elle ſi vîte, & quel homme la tient?	Où va-t-elle si vite, et quel homme la tient?
Il la ſaluë comme elle paſſe, & elle en paſſant détourne la téte.	Il la salue comme elle passe, et elle en passant détourne la tête.
Quoi, me voir en ces lieux devantene paroître, Et paſſer en feignant de ne me pas connoître !	Quoi, me voir en ces lieux devantène paraître, Et passer en feignant de ne me pas connaître !
Que croire?	Que croire?
qu’en dis-tu?	qu'en dis-tu?
parle donc, ſi tu veux,	parle donc, si tu veux,
A MONTAGNE.	À MONTAGNE.
Monſieur, je ne dis rien de peur d’étre fâcheux.	Monsieur, je ne dis rien de peur d'être fâcheux.
ASTE.	ASTE.
Et c’eſt l’étre en effet que de ne me rien dire Dans les extremitez d’un ſi cruel martyre.	Et c'est l'être en effet que de ne me rien dire Dans les extrémités d'un si cruel martyre.
Fais donc quelque réponce à mon cœur abbatu :	Fais donc quelque réponse à mon cœur abattu :
Que dois-je preſumer?	Que dois-je présumer?
parle, qu’en penſes-tu ?	parle, qu'en penses-tu ?
Di-moi ton ſentiment.	Dis-moi ton sentiment.
LA MONTAGNE.	LA MONTAGNE.
Monſieur, je veux me taire, Et ne deure point trancher du néceſſaire.	Monsieur, je veux me taire, Et ne devre point trancher du nécessaire.
ERASTE.	ERASTE.
Peſte l’impertinent!	Peste l'impertinent!
va-t’en ſuivre leurs pas;	va-t'en suivre leurs pas;
Voi ce qu’ils deviendront, & ne les quitte pas.	Vois ce qu'ils deviendront, et ne les quitte pas.
LA MONTAGNE revenant.	LA MONTAGNE revenant.
Il fautſuivre de loin?	Il fautsuivre de loin?
E RAS II.	E RAS II.
Ouy.	Oui.
LA MONTAGNE revenant.	LA MONTAGNE revenant.
Sans que l’on me voye Ou faire aucun ſemblant qu’aprés eux on m’envoye?	Sans que l'on me voie Ou faire aucun semblant qu'après eux on m'envoie?
ERASTE.	ERASTE.
Non, tu feras bien mieux de leur donner avis.	Non, tu feras bien mieux de leur donner avis.
Que pal mnon ordre capres ils ront de toy luivis.	Que pal mnon ordre câpres ils ront de toi luivis.
LA MONTAGNE revenant.	LA MONTAGNE revenant.
Vous trouverai-je ici?	Vous trouverai-je ici?
ERASTE.	ERASTE.
Que le Ciel te confonde, Homme, à mon ſentiment, le plus fâcheux du monde.	Que le Ciel te confonde, Homme, à mon sentiment, le plus fâcheux du monde.
La Montagne s’en va.	La Montagne s'en va.
Ah!	Ah!
que je ſens de trouble, & qu’il m’eût été doux, Qu’on me l’eût fait manquer, ce fatal rendez-vous, Je penſois y trouver toutes choſes propices;	que je sens de trouble, et qu'il m'eût été doux, Qu'on me l'eût fait manquer, ce fatal rendez-vous, Je pensais y trouver toutes choses propices;
Et mes yeux pour mon cœur y trouvent des ſuplices.	Et mes yeux pour mon cœur y trouvent des suplices.
SCENE III.	SCÈNE III.
LISANDRE, ERASTE.	LISANDRE, ERASTE.
LISANDRE.	LISANDRE.
COus ces arbres, de loin, mes yeux t’ont reconnu, Cher Marquis, & d’abord je ſuis à toi venu.	COus ces arbres, de loin, mes yeux t'ont reconnu, Cher Marquis, et d'abord je suis à toi venu.
Comme à de mes amis il faut que je te chante Certain air, que j’ai fait, de petite courante, Qui	Comme à de mes amis il faut que je te chante Certain air, que j'ai fait, de petite courante, Qui
Qui de toute la Cour contente les experts, Et ſur qui plus de vingt ont déja fait des vers.	Qui de toute la Cour contente les experts, Et sur qui plus de vingt ont déjà fait des vers.
J’ai le bien, la naiſſance, & quelque emploi paſſible, Et fais figure en France aſſez conſiderable:	J'ai le bien, la naissance, et quelque emploi passible, Et fais figure en France assez considérable:
Mais je ne voudrois pas, pour tout ce que je ſuis.	Mais je ne voudrais pas, pour tout ce que je suis.
N’avoir point fait cét air, qu’ici je te produis.	N'avoir point fait cet air, qu'ici je te produis.
La, la, hem, hem:	La, la, hem, hem:
écoute avec ſoin, je te prîe.	écoute avec soin, je te prîte.
ERASTE.	ERASTE.
Ah!	Ah!
LISANDRE.	LISANDRE.
quita ment jonce Il rechante la fin quatre ou cinq fois de ſuitte.	quita ment jonce Il rechante la fin quatre ou cinq fois de suite.
Comment la trouves-tu?	Comment la trouves-tu?
ERASTE, Fort belle aſſeurément.	ERASTE, Fort belle assurément.
LISANDRE.	LISANDRE.
Les pas que j’en ai faits n’ont pas moins d’agrément, Et ſur tout la figure a merveilleuſe grace.	Les pas que j'en ai faits n'ont pas moins d'agrément, Et sur tout la figure a merveilleuse grâce.
Il chante, parle & danſe tout enſemble, & fait faire a Eraſte les figures de la femme.	Il chante, parle et danse tout ensemble, et fait faire a Eraste les figures de la femme.
Tien, l’homme paſſe ainſi:	Tiens, l'homme passe ainsi:
puis la femme repaſEnſemble:	puis la femme repasEnsemble:
puis on quitte, & la femme vient là.	puis on quitte, et la femme vient là.
Vois-tu ce petit trare de renite que volai.	Vois-tu ce petit trare de renite que volai.
Cefleuret?	Celleuret?
ces coupez courant aprés la belle :	ces coupez courant après la belle :
Dos a dos:	Dos a dos:
face à face, en le preſſant iur elle.	face à face, en le pressant jur elle.
Que t’en ſemble Marquis?	Que t'en semble Marquis?
Aprés avoir achevé.	Après avoir achevé.
ERASTE.	ERASTE.
Tous ces pas là ſont fins.	Tous ces pas là sont fins.
LISANDRE.	LISANDRE.
Je me mocque, pour moi, des maîtres Baladins.	Je me moque, pour moi, des maîtres Baladins.
On le voit.	On le voit.
ERASTE.	ERASTE.
LISANDRE.	LISANDRE.
mes pas dones.	mes pas donces.
ERASTE.	ERASTE.
N’ont rien qui ne ſurprennes	N'ont rien qui ne surprennes
ILISANDRE.	ILISANDRE.
Veux-tu, paramitié, que je te les apprenne?	Veux-tu, paramitié, que je te les apprenne?
2 STE.	2 SITE.
Ma foi;	Ma foi;
pour le preſent, j’ai certain embarras.	pour le présent, j'ai certain embarras.
LISANDRE.	LISANDRE.
Et bien donc, ce ſera, lors que tu le voudras.	Et bien donc, ce sera, lors que tu le voudras.
Si j’avois deſſus moi ces paroles nouvelles, Nous les lirions enſemble, & verrions les plus beiaces	Si j'avais dessus moi ces paroles nouvelles, Nous les lirions ensemble, et verrions les plus béiaces
Une autre fois.	Une autre fois.
ERASTE.	ERASTE.
LISANDRE.	LISANDRE.
Adieu:	Adieu:
Baptiſte le tres-cher N'a point veu ma courante, & je le vais chercher.	Baptiste le très-cher N'a point vu ma courante, et je le vais chercher.
Nous avons, pour les airs, de grandes ſympathies, Et je veux le prier d’y faire des parties.	Nous avons, pour les airs, de grandes sympathies, Et je veux le prier d'y faire des parties.
Il s’en va chantant toûjours.	Il s'en va chant toujours.
ERASTE.	ERASTE.
Ciel!	Ciel!
faut-il que le rang, dont on veut tout couvrir, De ceſt fots, tous les jours, nous omge à ſouffrir;	faut-il que le rang, dont on veut tout couvrir, De cet sots, tous les jours, nous omge à souffrir;
Et nous faſſe abaiſſer juſques aux complaiſances D’applaudir bien ſouvent à leurs impertinences?	Et nous fasse abaisser jusques aux complaisances D'applaudir bien souvent à leurs impertinences?
