L’IM.	L'IM.
MERLIN.	MERLIN.
Vous avez une Niece, ma Cirarmante	Vous avez une Nièce, ma Cirarmante
ARAMINTE.	ARAMINTE.
Ouï, Monſieur.	Ouï, Monsieur.
Mais vôtre Cade n’eſt peut-être pas en ce Pays-cy.	Mais votre Cade n'est peut-être pas en ce Pays-cy.
MERLIN.	MERLIN.
Il eſt allé faire un tour dans mo caroſſe, il va venir me reprendre.	Il est allé faire un tour dans mo carosse, il va venir me reprendre.
ARAMINTE.	ARAMINTE.
Quand il viendra qu’on le faſſe e trer, Marton.	Quand il viendra qu'on le fasse e trer, Marton.
MARTON.	MÁRTON.
Et je vay tout d’un temps cherch vôtre Notaire, Madame, afin d’expédi les choſes.	Et je vais tout d'un temps cherch votre Notaire, Madame, afin d'expédi les choses.
A M1	À M1
MERLIN.	MERLIN.
l 2a4 1 Qu’elle a les allures Françoiſes, vôt Martoi Marton, les affaires ne languiſſent point avec elle.	 l2a4 1 Qu'elle a les allures Françaises, vôt Martoi Marton, les affaires ne languissent point avec elle.
ARAMINTE.	ARAMINTE.
Voilà ma Niéce, Monſieur le Marquis.	Voilà ma Nièce, Monsieur le Marquis.
SCENE II.	SCÈNE II.
MERLIN, ARAMINTE, DOM JULIEN, ANGELIQUE.	MERLIN, ARAMINTE, DOM JULIEN, ANGELIQUE.
S MERLIN.	 MERLIN.
Ouieu, ion cauer, quer friand morceau;	Oui,vion caver, quer friand morceau;
mais voilà un Cavalier qui la ſuit, ſi je ne me trompe.	mais voilà un Cavalier qui la suit, si je ne me trompe.
ARAMINTE.	ARAMINTE.
Ah!	Ah!
Monſieur le Marquis, c’eſt un Eſpagnol dont je voudrois bien étre débarraſſée.	Monsieur le Marquis, c'est un Espagnol dont je voudrais bien être débarrassée.
MERLIN.	MERLIN.
Je vous en déferai, Madame, ne vous en mettez pas en peine.	Je vous en déferai, Madame, ne vous en mettez pas en peine.
B LeM	B LeM
DOM JULIEN.	DOM JULIEN.
Mais rendez moi du moins une ré.	Mais rendez moi du moins une ré.
ponſe poſitive, Madame, je ſerai con Seig tent.	ponse positive, Madame, je serai con Seig tent.
ARAMINTE.	ARAMINTE.
Ah!	Ah!
que vous prenez mal les mo mens, Monſieur, pour hâter ce mariage que l’on a ſi long-temps differé.	que vous prenez mal les mo mens, Monsieur, pour hâter ce mariage que l'on a si longtemps différé.
DOM JULIEN.	DOM JULIEN.
e eis parce qu'oi na tune ditieré, que je preſſe de le conclure, Mademoiſelle	 eis parce qu'oi na tune ditieré, que je presse de le conclure, Mademoiselle
MERLIN.	MERLIN.
Vous me paroiſſez un importun per ſonnage, Seigneur Eſpagnol.	Vous me paraissez un importun per sonnage, Seigneur Espagnol.
ANGELIQUE.	ANGELIQUE.
Tu és Merlin déguiſé, je penſe.	Tu es Merlin déguisé, je pense.
DOM JULIEN.	DOM JULIEN.
Vous me ſemblez bien téméraire, Seigneur François, de parler à Dom Julien comme vous faites.	Vous me semblez bien téméraire, Seigneur Français, de parler à Dom Julien comme vous faites.
MERLIN.	MERLIN.
Savez vous bien, Seigneur Dom Jus lien, puis que Dom Julien y a, qu’il a icy des fenêtres.	Savez -vous bien, Seigneur Dom Jus lien, puis que Dom Julien y a, qu'il a ici des fenêtres.
DOM	DOM
DOM JULIEN.	DOM JULIEN.
Je n’entends pas ce langage-là, Ocigueul E lajon.	Je n'entends pas ce langage-là, Ocigueul E lajon.
MERLIN.	MERLIN.
Vous ne comprenez pas ce que cela veut dire.	Vous ne comprenez pas ce que cela veut dire.
Si vous ne ſortez tout à l’heure par la porte, je vous jettetai par la bréche.	Si vous ne sortez tout à l'heure par la porte, je vous jetai par la brèche.
Entendez vous mieux?	Entendez -vous mieux?
E enesla Ha, ha, ha, ha.	E enéla Ha, ha, ha, ha.
MENLIN.	MENLIN.
Mon petit Ami, Monſieur Julien.	Mon petit Ami, Monsieur Julien.
D.	D.
JULIEN.	JULIEN.
1la, na, hion petie rinn y la fierté vous ſied mal, Seigneur François, c’eſt pourtant l’apanage de nôtre Narion que la fierté.	1la, na, hion petie rinn y la fierté vous sied mal, Seigneur Français, c'est pourtant l'apanage de notre Narion que la fierté.
MERLIN.	MERLIN.
Par la morbleu, c’eſt trop de patience,ir faut caſſer la tête à cet Animal-là, Madame.	Par la morbleu, c'est trop de patience,ir faut casser la tête à cet Animal-là, Madame.
Il ſort des lunetes d’aproche.	Il sort des lunètes d'aproche.
D.	D.
JULIEN s’enfuyant.	JULIEN s'enfuyant.
Miſericorde.	Miséricorde.
MERLIN.	MERLIN.
Ha, ha, ha, ha	Ha, ha, ha, ha
RATIC	RATIC
ARAMINTE.	ARAMINTE.
Vous portez des piſtolets, Monſieur le Marquis.	Vous portez des pistolets, Monsieur le Marquis.
MERLIN.	MERLIN.
Non, Madame, ce n’eſt qu’une lunette d’aproche avec quoy j’ay fait mourir de peur vingt Eſpagnols en ma vie Il ne faut pas d’autres armes avec ces gens-la.	Non, Madame, ce n'est qu'une lunette d'approche avec quoi j'ai fait mourir de peur vingt Espagnols en ma vie Il ne faut pas d'autres armes avec ces gens-la.
SCENE III.	SCÈNE III.
MARTON, MERLIN, ARA.	MÁRTON, MERLIN, ARA.
MINTE.	MINTE.
MARTON.	MÁRTON.
*Oilà, Monſieur, vôtre Frére qui V arrive.	*Oilà, Monsieur, votre Frère qui V arrive.
Vôtre Notaire va venir, Midame.	Votre Notaire va venir, Midame.
A Angelique, L’affaire eſt en bon train, Mademoiſelle.	À Angélique, L'affaire est en bon train, Mademoiselle.
MERLIN.	MERLIN.
A propos, ma Reine, vôtre Niéce eſt elle riche?	À propos, ma Reine, votre Nièce est elle riche?
Dans nôtre Famille le, Aînez ne ſont qu’amoureux, mais lles les Cadets ſont intereſſez com me tous les Diables.	Dans notre Famille le, Aînez ne sont qu'amoureux, mais lles les Cadets sont intéressez com me tous les Diables.
ARAMINTE.	ARAMINTE.
Cela ne fera point d’obſtacle à vôtre bonheur, & je donnerai la moitié de tous llles blens à Ina Nece.	Cela ne fera point d'obstacle à votre bonheur, et je donnerai la moitié de tous l' blens à Ina Nece.
MERLIN.	MERLIN.
Ah!	Ah!
que vous avez l’ame belle, Je me donne au Diable, vous meritiez de naître en pleine Cour de France.	que vous avez l'âme belle, Je me donne au Diable, vous méritiez de naître en pleine Cour de France.
Oh, il faut que dans vôtre Famille il y ait eu quelque échapée de François;	Oh, il faut que dans votre Famille il y ait eu quelque échappée de Français;
vous étes de boune lace iur Mla parole, mon Adorable!	vous êtes de boune la jur Mla parole, mon Adorable!
ARAMINTE.	ARAMINTE.
Sérieuſement, Monſieur le Marquis, remarquez vous dans mes maniéres.	Sérieusement, Monsieur le Marquis, remarquez vous dans mes manières.
MERLIN.	MERLIN.
Voicy mon Cadet, ma Princeſſe.	Voici mon Cadet, ma Princesse.
CEN IV.	CEN IV.
MERLIN, CLITANDRE.	MERLIN, CLITANDRE.
ARAMINTE, ANGELIQUE.	ARAMINTE, ANGELIQUE.
MERLIN.	MERLIN.
Pprochez, mon Frére Cadet.	Prochez, mon Frère Cadet.
Approchez, & remerciez moy bien fort, vous étes plus heureux que ſage.	Approchez, et remerciez -moi bien fort, vous êtes plus heureux que sage.
Tenez, voilà une fortune que je vous ay ménagée.	Tenez, voilà une fortune que je vous ai ménagée.
Le cœur vous en dit-il ?	Le cœur vous en dit-il ?
Voyez, il n’eſt point icy queſtion de bagatelle, il s’agit d’épouſer au moins.	Voyez, il n'est point ici question de bagatelle, il s'agit d'épouser au moins.
CLITANDRE.	CLITANDRE.
Vous étes mon Aîné, Monſieur, j’ay toûlours fait aveuglément ce que vous avez ſouhaité;	Vous êtes mon Aîné, Monsieur, j'ai toujours fait aveuglément ce que vous avez souhaité;
rien ne m’a jamais tant fait de plaifir que ce que vous m’ordonnez aujourd’hui de faire.	rien ne m'a jamais tant fait de plaisir que ce que vous m'ordonnez aujourd'hui de faire.
MERLIN.	MERLIN.
Ils ſont bien apris nos Cadets, vos Niécés ſont-elles auſſi bien inſtruites, Madame?	Ils sont bien appris nos Cadets, vos Niécés sont-elles aussi bien instruites, Madame?
ARA	ARA
ARAMINTE.	ARAMINTE.
Parlez, ma Niéce, ce jeune Seigneur vous conviendra-teil?	Parlez, ma Nièce, ce jeune Seigneur vous conviendra-teil?
Népondez.	Népondez.
ANGELIQUE.	ANGELIQUE.
Quand vous me commandez, Madame, je ne ſai jamais qu’obéir :	Quand vous me commandez, Madame, je ne sais jamais qu'obéir :
mais aujourd’hni, je vous l’avoue, j’obeirai ſans repugnance.	mais aujourd'hni, je vous l'avoue, j'obéir sans répugnance.
MERLIN.	MERLIN.
Voilà des Enfans bien nez.	Voilà des Enfants bien nés.
Ah!	Ah!
qu’ils feront un heureux ménage!	qu'ils feront un heureux ménage!
Ils ont une complaiſance aveugle;	Ils ont une complaisance aveugle;
procédons aux Contracts, ma Keine.	procédons aux Contrats, ma Eyne.
ARAMINTE.	ARAMINTE.
Voicy Monſieur Griffon mon Notaire.	Voici Monsieur Griffon mon Notaire.
SCE	SCE
SCENE V.	SCÈNE V.
Mr.	Mr.
GRIFFON, MERLIN, ARAMINTE, MANTON.	GRIFFON, MERLIN, ARAMINTE, MANTON.
Mr.	Mr.
GRIFFON.	GRIFFON.
Ur ce que Madame Marton m’a dit de vôtre part, Madame, je ſuis an pius vilte accouru pour vous rendre mes petits ſervices.	OUr ce que Madame Marton m'a dit de votre part, Madame, je suis an pius vilte accouru pour vous rendre mes petits services.
MARTON.	MÁRTON.
Il s’agit de faire deux Contracts de mariage, Monſieur Griffon.	Il s'agit de faire deux Contrats de mariage, Monsieur Griffon.
Mr.	Mr.
GRIFFON.	GRIFFON.
Il y en a déja un tout fait, Monſieur, celui de Dom Julieu peut ſervir, Ma demoiſelle Marton m’a dit de changer ſeulement le nom & de mettre celuy de Monſieur Clitandre.	Il y en a déjà un tout fait, Monsieur, celui de Dom Julieu peut servir, Ma demoiselle Marton m'a dit de changer seulement le nom et de mettre celui de Monsieur Clitandre.
Cela eſt fait.	Cela est fait.
FMERLIN.	FMERLIN.
Qu’elle eſt vive, Madame, cette Marton.	Qu'elle est vive, Madame, cette Marton.
ANAARAMINTE.	ANARAMINTE.
Il faut ajoûter, Monſieur Griffon, que je donne à ma Niéce la moitié de mon pien en faveur de ce marſage.	Il faut ajouter, Monsieur Griffon, que je donne à ma Nièce la moitié de mon pien en faveur de ce marsage.
Mr.	Mr.
GRIFFON.	GRIFFON.
Cera ne ſera pas bien difficile, Madame.	Cera ne sera pas bien difficile, Madame.
ANGELIQUE.	ANGELIQUE.
Ma chere Tante!	Ma chère Tante!
que je vous ay d’obligation.	que je vous ai d'obligation.
MARTON.	MÁRTON.
je vous avois plen dit mor, que vous aviez une bonne Tante.	je vous avais plen dit mór, que vous aviez une bonne Tante.
MERLIN.	MERLIN.
luir.	luir.
Omnen, les Frauçois ſont de grands Epouſeurs, vous voyez co nme la pratique donne déja.	Omnen, les Frauçois sont de grands Épouseurs, vous voyez co mme la pratique donne déjà.
Mr.	Mr.
GRIFFON.	GRIFFON.
Monſieur, ce ne ſont pas les Notaires à qui ils rone le pauegagneren ee pays ci.	Monsieur, ce ne sont pas les Notaires à qui ils rone le pavegagneren ce pays cy.
MERLIN.	MERLIN.
Il faut bien que tout le monde vive, Mr.	Il faut bien que tout le monde vive, Mr.
Griffon.	Griffon.
Mr.	Mr.
GRIFFON.	GRIFFON.
Voilà qui eſt fait, il n’y a rien qu’a ſigner.	Voilà qui est fait, il n'y a rien qu'a signer.
a.	a.
ii4x	ji4x
ARAMINTE.	ARAMINTE.
Donnez viſte Monſieur Griffon, dépêchons;	Donnez vite Monsieur Griffon, dépêchons;
Allez tôt ia Niéce:	Allez tôt ja Nièce:
hatezvotle Mlonncare	hâtezvotle Mlonncare
CLITANDRE.	CLITANDRE.
Je ſigne aveuglément, mon Frére, mais.	Je signe aveuglément, mon Frère, mais.
MERLIN.	MERLIN.
Ile, ngne promptement, Cadet, ſigne.	Ile, ngne promptement, Cadet, signe.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ARAMINTE, RICOCHET, MERLIN, LA VERDURE.	ARAMINTE, RICOCHET, MERLIN, LA VERDURE.
ARAMINTE.	ARAMINTE.
Ue veut encore ce petit Coquin-nir.	Que veut encore ce petit Coquin-nir.
RI	RI
RICOCHET.	RICOCHET.
C’eſt un grand pendart qui demande ce Monſieur la, ma Marraine.	C'est un grand pendard qui demande ce Monsieur la, ma Marraine.
MERLIN.	MERLIN.
Comment, Diantre, c’eſt un de mes Sergens.	Comment, Diantre, c'est un de mes Sergents.
Qu’eſt ce qu’il y a Monſieur de la Verdure?	Qu'est ce qu'il y a Monsieur de la Verdure?
Que Diable venezvous faire icy, quand vous me ſavez en bonne fortune?	Que Diable venezvous faire ici, quand vous me savez en bonne fortune?
Vous avez bonne grace de me venir détourner.	Vous avez bonne grâce de me venir détourner.
LA VERDURE.	LA VERDURE.
Parqué, mon Colonel, je vous demande bien pardon;	Parqué, mon Colonel, je vous demande bien pardon;
mais on va bailler une atraque;	mais on va bailler une atraque;
le Regiment eſt commandé pour ça, eſt ce que vous voudriois qu’il y allât ſans vous?	le Regiment est commandé pour ça, est ce que vous voudriais qu'il y allât sans vous?
MERLIN.	MERLIN.
Mon Regiment eſt commandé?	Mon Regiment est commandé?
LA VERDURE.	LA VERDURE.
Ouy, Palſangué, il l’eſt.	Oui, Palsangué, il l'est.
MERDITG.	MERDITG.
Ah tête!	Ah tête!
ah mort!	ah mort!
ah ſang !	ah sang !
mon Regiment eſt commandé, & je m’amuſe à la bagatelle.	mon Regiment est commandé, et je m'amuse à la bagatelle.
Adieu, Madame, je n’arriverois pas aſſez tot.	Adieu, Madame, je n'arriverais pas assez tôt.
ARAMINTE.	ARAMINTE.
Quoi !	Quoi !
Monſieur le Marquis, vous me quittez.	Monsieur le Marquis, vous me quittez.
MERLIN.	MERLIN.
* Je ſuis François, Madame, & la gloire m’appelle.	* Je suis Français, Madame, et la gloire m'appelle.
ARAMINTE.	ARAMINTE.
Eh!	Eh!
vous préferez la gloire à l’amour, Monſieur le Marquis.	vous préférez la gloire à l'amour, Monsieur le Marquis.
MERLIN.	MERLIN.
L’amour aura ſon tour;	L'amour aura son tour;
je vay revenir, Madame, dans le moment même.	je vais revenir, Madame, dans le moment même.
SCEN II.	SCEN II.
MARTON, ARAMINTE, LA VERDURE, ANGELIQUE.	MÁRTON, ARAMINTE, LA VERDURE, ANGELIQUE.
MARTON.	MÁRTON.
y Oilà un Marquis qui aime bien la gloire;	y Oilà un Marquis qui aime bien la gloire;
Comment il court a prés!	Comment il court a près!
ARA	ARA
ARAMINTE.	ARAMINTE.
le le ſuivrai par tout.	le le suivrai par tout.
Marton, ne me quitte pas.	Marton, ne me quitte pas.
LA VERDURE.	LA VERDURE.
Vous;	Vous;
Morgué, où eſt-ce que vous voulez aller;	Morgué, où est-ce que vous voulez aller;
Alte là, s’il vous plait, les perſonnes de la Ville à l’aſſaut du Château, teſtigué, queu ménàge.	Alte là, s'il vous plaît, les personnes de la Ville à l'assaut du Château, testigué, queu ménàge.
ANGELIQUE.	ANGELIQUE.
Cela ne ſeroſt pas dans la blenſeance, il a raiſon, ma Tante.	Cela ne serôt pas dans la blenseance, il a raison, ma Tante.
ARAMINTE.	ARAMINTE.
Le peult iograt;	Le peult igrat;
qui me quitte pour la gloire;	qui me quitte pour la gloire;
tout autre qu’un François ne feroit pas une action comme celle-là, Marton.	tout autre qu'un Français ne ferait pas une action comme celle-là, Marton.
MARION.	MARION.
Ne vous allarmez point;	Ne vous alarmez point;
Vous allez le voir revenir triomphant, Madame.	Vous allez le voir revenir triomphant, Madame.
LA VERDURE.	LA VERDURE.
Luy, morgué, vous ne le reverrez point, il a beau dire.	Lui, morgué, vous ne le reverrez point, il a beau dire.
ARA	ARA
ARAMINTE.	ARAMINTE.
je ne muotonui poine.	je ne muotonvi poine.
LA VERDURE.	LA VERDURE.
S’il en revient, la peſte m’étouffe, il ſera tué ſur ma parole.	S'il en revient, la peste m'étouffe, il sera tué sur ma parole.
Je m’en vais Penterrer, cerdieeur.	Je m'en vais Penterrer, cerdieeur.
CENE III.	CÈNE III.
ARAMINTE, MARTON.	ARAMINTE, MÁRTON.
ANGELIQUE.	ANGELIQUE.
D A RATATM ARAMINIE.	D A RATATM ARAMINIE.
L ſera tué, Marton.	L sera tué, Marton.
T ANGELIQUE.	 ANGELIQUE.
Ma chere Tante !	Ma chère Tante !
EBAEXMIAC IE.	EBAÊMIAC IE.
Vous étes bien contente vous, ma Niéce, on ne vous abandonne point pour courir aprés la gloire.	Vous êtes bien contente -vous, ma Nièce, on ne vous abandonne point pour courir après la gloire.
CLITANDRE.	CLITANDRE.
Je ne ſuis pas commandé, Madame, mon Regiment eſt de la Garniſon.	Je ne suis pas commandé, Madame, mon Regiment est de la Garnison.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
MERLIN, CLITANDRE, ARAMINTE, MARTON.	MERLIN, CLITANDRE, ARAMINTE, MÁRTON.
CEATANDAL.	CEATANDAL.
Qu’y a t-il, Monſieur Jolicœur?	Qu'y a -t-il, Monsieur Jolicœur?
MERLIN.	MERLIN.
Le Château Capitule, Monſieur.	Le Château Capitule, Monsieur.
CLITANDRE.	CLITANDRE.
Le Château Capitule !	Le Château Capitule !
MEKLIN.	MELIN.
Monſieur le Marquis vôtre Frére m’envoye vous le dire.	Monsieur le Marquis votre Frère m'envoie vous le dire.
ARAMINTE.	ARAMINTE.
Il n’ira point à l’aſſaut, je reſpire, Marton.	Il n'ira point à l'assaut, je respire, Marton.
MERLIN.	MERLIN.
Non, Madame, il n’ira poiur à l’aſſaut;	Non, Madame, il n'ira poiur à l'assaut;
l’aſſaut;	l'assaut;
le voilà qui part pour l’Allemague.	le voilà qui part pour l'Allemague.
A RAMINTE.	À RAMINTE.
Comment?	Comment?
CLITANGRE.	CLITANGRE.
mon Prere va en Aſlemagne;	mon Prère va en Aslémagne;
MERLIN.	MERLIN.
Oüi, Monſieur, la gloire l’y appelle.	Oui, Monsieur, la gloire l'y appelle.
ARAMINTE.	ARAMINTE.
Oh!	Oh!
pour le coup elle a beau l’appelvon, iene partila point qu’il ne m’ait épouſéé.	pour le coup elle a beau l'appeléon, iene partila point qu'il ne m'ait épousé.
MERLIN.	MERLIN.
Il ne peut vons épouſer Qu'a on retour, il m'a dit de faire temt le contract tout prêt.	Il ne peut vons épouser Qu'a on retour, il m'a dit de faire temps le contrat tout prêt.
Il vous épouſera en repaſſant, Madame.	Il vous épousera en repassant, Madame.
ARAMINTE.	ARAMINTE.
Il ne m’épouſera qu’en repaſſant!	Il ne m'épousera qu'en repassant!
je ſuis trahie & j’en mourrai.	Je suis trahie et j'en mourrai.
CLITANDRE.	CLITANDRE.
5 Suivons-là pour la conſoler.	5 Suivons-là pour la consoler.
MERLIN.	MERLIN.
Hé!	Hé!
bien, Marton.	bien, Marton.
MARTON.	MÁRTON.
Tu n’expédies pas mal une intrigue.	Tu n'expédies pas mal une intrigue.
MERLIN.	MERLIN.
Nous faiſons tout en impromptu, nous dutres, M amle tur dis:	Nous faisons tout en impromptu, nous dutres, M amle tur dis:
MARTON.	MÁRTON.
ol je t’aile, & le moyen de s’en défendre.	ol je t'aile, et le moyen de s'en défendre.
MERLIN.	MERLIN.
Encore autre impromptu, je t’épouſe, & vivent les François, Marton, il n’y a ni Vines n Femmes qui leur reſiſtent.	Encore autre impromptu, je t'épouse, et vivent les Français, Marton, il n'y a ni Vines n Femmes qui leur résistent.
FIN.	FIN.
