A MONSIEVR DE MONTORON.	À MONSIEUR DE MONTORON.
Adieu, raffermiſlez ce genereux courage, S’il faut ſubir le coup d’vn deſtin rigoureux, (reux, Ie mourray tout enſemble heureux, & mal-heuHeureux pour vous ſeruir d’abandonner ma vie, Mal-heureux de mourir ſans vous auoir ſeruie.	Adieu, raffermislez ce généreux courage, S'il faut subir le coup d'un destin rigoureux, (reux, Je mourrai tout ensemble heureux, et malheuHeureux pour vous servir d'abandonner ma vie, Malheureux de mourir sans vous avoir servie.
ÆMI	NEMI
ÆMILIE.	NEMILIE.
Ouy, va, n’écoute plus ma voix qui te retient, Mon trouble ſe diſſipe & ma raiſon reuient, Pardonne à mon amour cette indigne foibleſſe, Tu voudrois fuïr en vain, Cinna, ie le confeſſe, Si tout eſt découuert Auguſte a ſçeu pouruoir A ne te laiſſer pas ta fuite en ton pouuoir:	Oui, va, n'écoute plus ma voix qui te retient, Mon trouble se dissipe et ma raison revient, Pardonne à mon amour cette indigne faiblesse, Tu voudrais fuir en vain, Cinna, Seigneur le confesse, Si tout est découvert Auguste a su pourvoir À ne te laisser pas ta fuite en ton pouvoir:
Porte, porte chez luy cette maſle aſſeurance Digne de noſtre amour, digne de ta naiſſance:	Porte, porte chez Seigneur cette mâle assurance Digne de notre amour, digne de ta naissance:
Meurs, s’il y faut mourir, en citoyen Romain, Et par vn beau trépas couronne vn beau deſſein:	Meurs, s'il y faut mourir, en citoyen Romain, Et par un beau trépas couronne un beau dessein:
Ne crain pas qu’apres toy rien icy me retienne, Ta mort emportera mon ame vers la tienne, Et mon cœur auſſi toſt percé des meſmes coups.	Ne crain pas qu'après toi rien ici me retienne, Ta mort emportera mon âme vers la tienne, Et mon cœur aussi tôt percé des mêmes coups.
CINNA.	CINNA.
Ah!	Ah!
ſouffrez que tout mort ie viue encor en vous, Et du moins en mourant permettez que i’eſpere Que vous ſçaurez venger l’amant auec le pere.	souffrez que tout mort mort vive encor en vous, Et du moins en mourant permettez que j'espère Que vous saurez venger l'amant ages le père.
Dans vn ſi grand peril vos iours ſont aſſeurez, Vos deſſeins ne ſont ſçeus d’aucun des coniurez, Et décriuant tantoſt les miſeres Romaines Ie leur ay teu la mort qui fait naiſtre nos haines, De peur que trop d’ardeur touchant vos intereſts Sur mon viſage émeu ne peigniſt nos ſecrets.	Dans un si grand péril vos jours sont assurés, Vos desseins ne sont sucs d'aucun des conjurés, Et décrivant tantôt les misères Romaines Je leur ai tu la mort qui fait naître nos haines, De peur que trop d'ardeur touchant vos intérêts Sur mon visage ému ne peignît nos secrets.
Noſtre amour n’eſt cognu que d’Euandre & Fuluie.	Notre amour n'est connu que d'Euandre et Fuluie.
ÆMILIE.	NEMILIE.
Auec moins de frayeur ie vay donc chez Liuie, Puiſque dans ton peril il me reſte vn moyen De faire agir pour toy ſon credir & le ſlien:	Avec moins de frayeur On vais donc chez Livie, Puisque dans ton péril il me reste un moyen De faire agir pour toi son crédir et le slien:
Mais ſi mon amitié par là ne te deliure, N’eſpere pas qu’en fin ie vueille te ſuruiure, Ie fay de ton deſtin des reigles à mon ſort, Et i’obtiendray ta vie, ou ie ſuiuray ta mort.	Mais si mon amitié par là ne te délivre, N'espère pas qu'en fin était veuille te surviure, Je fais de ton destin des règles à mon sort, Et j'obtiendrai ta vie, ou ainsi suivrai ta mort.
CINNA.	CINNA.
Soyez en ma faueur moins cruëlle à vous-meſme.	Soyez en ma faveur moins cruelle à vous-même.
ÆMI	NEMI
ÆMILIE.	NEMILIE.
Va-t’en, & ſouuien-toy ſeulement que ie t’ayme.	Va-t-en, et souvien-toi seulement que Ne t'aime.
Fin du premier Acte.	Fin du premier Acte.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
AVGVSTE, CINNA, MAXIME.	AUGUSTE, CINNA, MAXIME.
Troupe de Courtiſans.	Troupe de Courtisans.
AVGVSTE.	AUGUSTE.
ue chacun ſe retire, & qu’aucun n’entre icy, Vous cinna demeurez, & vous Maxime auſſi.	Que chacun se retire, et qu'aucun n'entre ici, Vous cina demeurez, et vous Maxime aussi.
Cet empire abſolu ſur la terre & ſur l’onde, Ce pouuoir ſouuerain que i’ay ſur tout le monde.	Cet empire absolu sur la terre et sur l'onde, Ce pouvoir souverain que j'ai sur tout le monde.
Cette grandeur ſans borne, & ce ſuperbe rang Qui m’a iadis couſté tant de peine & de ſang, Enfin tout ce qu’adore en ma haute fortune D’vn courtiſan flatteur la preſence importune, N’eſt que de ces beautez dont l’éclat éblouiit, Et qu’on ceſſe d’aimer ſi toſt qu’on en iouït.	Cette grandeur sans borne, et ce superbe rang Qui m'a jadis coûté tant de peine et de sang, Enfin tout ce qu'adore en ma haute fortune D'un courtisan flatteur la présence importune, N'est que de ces beautés dont l'éclat éblouit, Et qu'on cesse d'aimer si tôt qu'on en jouit.
L’ambition déplaiſt quand elle eſt aſſouuie, D’vne contraire ardeur ſon ardeur eſt ſuiuie, Et comme noſtre eſprit iuſqu’au dernier ſoûpir Touſiours vers quelque obiet pouſſe quelque deſir, Il ſe raméne en ſoy n’ayant plus où ſe prendre, Et monté ſur le faiſte il aſpire à deſcendre.	L'ambition déplaît quand elle est assouuie, D'une contraire ardeur son ardeur est suivie, Et comme notre esprit jusqu'au dernier soupir Tousiours vers quelque objet pousse quelque désir, Il se ramène en soi n'ayant plus où se prendre, Et monté sur le fuite il aspire à descendre.
I’ay ſouhaité l’Empire, & i’y ſuis paruenu, Mais en le ſouhaitant ie ne l’ay pas cognu.	J'ai souhaité l'Empire, et j'y suis parvenu, Mais en le souhaitant Seigneur ne l'ai pas connu.
Dans ſa poſſeſſion i’ay trouué pour tous charmes D’effroyables ſoucis, d’éternelles alarmes, Mille ennemis ſecrets, la mort à tous propos, Point de plaiſir ſans trouble, & iamais de repos.	Dans sa possession j'ai trouvé pour tous charmes D'effroyables soucis, d'éternelles alarmes, Mille ennemis secrets, la mort à tous propos, Point de plaisir sans trouble, et jamais de repos.
oy na	oi na
Sylla m’a precedé dans ce pouuoir ſupréme.	Scylla m'a précédé dans ce pouvoir suprême.
Le grand Céſar mon pere en a iouy de meſme.	Le grand César mon père en a joui de même.
Sylla s’en eſt démis, mon pere l’a gardé, Differens en leur fin comme en leur procedé.	Sylla s'en est démis, mon père l'a gardé, Différents en leur fin comme en leur procédé.
L’vn cruël & barbare, eſt mort aymé, tranquille, Comme vn bon citoyen dans le ſein de ſa ville, L’autre tout debonnaire, au milieu du Senat, A veu trancher ſes iours par vn aſſaſſinat.	L'un cruel et barbare, est mort aimé, tranquille, Comme un bon citoyen dans le sein de sa ville, L'autre tout débonnaire, au milieu du Sénat, À vu trancher ses jours par un assassinat.
Ces exemples recens ſuffiroient pour m’inſtruire, Si par l’exemple ſeul on ſe deuoit conduire, L’vn m’inuite à le ſuiure, & l’autre me fait peur:	Ces exemples reçens suffiraient pour m'instruire, Si par l'exemple seul on se devait conduire, L'un m'inuite à le suivre, et l'autre me fait peur:
Mais l’exemple ſouuent n’eſt qu’vn miroir rrompeur, Et l’ordre du deſtin qui géne nos penſées N’eſt pas touſiours écrit dans les choſes paſſées:	Mais l'exemple souvent n'est qu' miroir rompeur, Et l'ordre du destin qui gêne nos pensées N'est pas toujours écrit dans les choses passées:
Quelquefois l’vn ſe briſe où l’autre s’eſt ſauué, Et par où l’vn perit vn autre eſt conſerué.	Quelquefois l'un se brise où l'autre s'est sauvé, Et par où l'un périt un autre est conservé.
Voilà, mes chers amis, ce qui me met en peine;	Voilà, mes chers amis, ce qui me met en peine;
Vous qui me tenez lieu d’Agrippe, & de Mecéne, Pour reſoudre ce point auec eux debatu Prenez ſur mon eſprit le pouuoir qu’ils ont eu:	Vous qui me tenez lieu d'Agrippe, et de Mecéne, Pour résoudre ce point avec eux débattu Prenez sur mon esprit le pouvoir qu'ils ont eu:
Ne conſiderez point cette grandeur ſupréme Odieuſe aux Romains & peſante à moy-meſme, Traitez-moy comme amy, non comme ſouuerain, Rome, Auguſte, l’Eſtat tout eſt en vôtre main, Vous mettrez & l’Europe, & l’Aſie, & l’Afrique Sous les loix d’vn Monarque, ou d’vne République, Vôtre aduis eſt ma reigle, & par ce ſeul moyen Ie veux eſtre Empereur, ou ſimple citoyen.	Ne considérez point cette grandeur suprême Odieuse aux Romains et pesante à moi-même, Traitez-moi comme ami, non comme souverain, Rome, Auguste, l'État tout est en votre main, Vous mettrez et l'Europe, et l'Asie, et l'Afrique Sous les lois d'être Monarque, ou d'une République, Votre avis est ma reigle, et par ce seul moyen Je veux été Empereur, ou simple citoyen.
CINNA.	CINNA.
Mal-gré noſtre ſurpriſe & mon inſuffiſance, Ie vous obeïray, Seigneur, ſans complaiſance, Et mets bas le reſpect qui pourroit m’empeſcher De combattre vn aduis où vous ſemblez panchet.	Mal-gré notre surprise et mon insuffisance, Je vous obéirai, Seigneur, sans complaisance, Et mets bas le respect qui pourrait m'empêcher De combattre un avis où vous semblez penchet.
Souffrez-le d’vn eſprit ialoux de vôtre gloire Que vous allez ſoüiller d’vne tache trop noire,	Souffrez-le d'une esprit jaloux de votre gloire Que vous allez soüiller vous allez sache trop noire,
Si vous laiſſant ſeduire à ces impreuſions Vous-meſme condamnez toutes vos actions.	Si vous laissant séduire à ces impréusions Vous-même condamnés toutes vos actions.
Ou ne renonce point aux grandeurs legitimes, 28 On garde ſans remords ce qu’on acquiert ſans crimes, (quis, Et plus le bien qu’on quitte eſt noble, grand, exPlus qui l’oſe quitter le iuge mal acquis.	Ou ne renonce point aux grandeurs légitimes, 28 On garde sans remords ce qu'on acquiert sans crimes, (quis, Et plus le bien qu'on quitte est noble, grand, exPlus qui l'ose quitter le juge mal acquis.
N’imprimez pas Seigneur, cette honteuſe marque A ces rares vertus qui vous ont fait Monarque, Vous l’eſtes iuſtement, & c’eſt ſans attentat Que vous auez changé la forme de l’Eſtat, Rome eſt deſſous vos loix par le droit de la guerre, Qui ſous les loix de Rome à mis toute la terre, Vos armes l’ont conquiſe, & tous les conquerans Pour eſtre vſurpateurs ne ſont pas des tyrans;	N'imprimez pas Seigneur, cette honteuse marque A ces rares vertus qui vous ont fait Monarque, Vous l'êtes justement, et c'est sans attentat Que vous avez changé la forme de l'État, Rome est dessous vos lois par le droit de la guerre, Qui sous les lois de Rome à mis toute la terre, Vos armes l'ont conquise, et tous les conquérants Pour être vsurpateurs ne sont pas des tyrans;
Lors que noſtre valeur nous gagne vne Prouince, Gouuernant iuſtement on deuient iuſte Prince.	Lors que notre valeur nous gagne une Province, Gouvernant justement on devient juste Prince.
C’eſt ce que fit Céſar, il vous faut auiourd’hliy Condamner ſa memoire, ou faire comme luy:	C'est ce que fit César, il vous faut aujourd'hli Condamner sa mémoire, ou faire comme lui:
Si le pouuoir ſupréme eſt blamé par Auguſte, Céſar fut vn tyran, & ſon trépas fut iuſte, Et vous deuez aux Cieux compte de tout le ſang Dont vous l’auez vengé pour monter à ſon rang.	Si le pouvoir suprême est blâmé par Auguste, César fut un tyran, et son trépas fut juste, Et vous devez aux Cieux compte de tout le sang Dont vous l'avez vengé pour monter à son rang.
Mais ſa mort vous fait peur?	Mais sa mort vous fait peur?
Seigneur, les deſtinées D’vn ſoin bien plus exact veillent ſur vos aunées, On a dix fois ſur vous attenté ſans effet, Et qui l’a voulu perdre au meſme inſtant l’a fait.	Seigneur, les destinées D'un soin bien plus exact veillent sur vos aunées, On a dix fois sur vous attenté sans effet, Et qui l'a voulu perdre au même instant l'a fait.
On entreprend aſſez, mais aucun n’execute, Trert des arianis, mais il n’eſt plus de Brure, Enfin s’il faut attendre vn ſemblable reuers, Il eſt beau de mourir maiſtre de l’vniuers.	On entreprend assez, mais aucun n'exécute, Trert des arianis, mais il n'est plus de Brure, Enfin s'il faut attendre un semblable revers, Il est beau de mourir maître de l'univers.
C’eſt ce qu’en peu de mots i’oſe dire, & i’eſtime Que ce peu que i’ay dit eſt l’aduis de Maxime.	C'est ce qu'en peu de mots j'ose dire, et j'estime Que ce peu que j'ai dit est l'avis de Maxime.
MAXIME.	MAXIME.
Ouy, i’accorde qu’Auguſte a droit de conſeruer L’Empire où ſa vertu l’a fait ſeule arriuer,	Oui, j'accorde qu'Auguste a droit de conserver L'Empire où sa vertu l'a fait seule arriver,
Et qu’au prix de ſon ſang, au peril de ſa teſle, Il a fait de l’Eſtat vne iuſte conqueſte:	Et qu'au prix de son sang, au péril de sa télé, Il a fait de l'État une juste conquête:
Mais que ſans ſe noircir il ne puiſſe quitter Le fardeau que ſa main eſt laſſe de potter, Qu’il accuſe par là Céſar de tyrannie, Qu’il approuue ſa mort, c’eſt ce que ie dénie.	Mais que sans se noircir il ne puisse quitter Le fardeau que sa main est lasse de potter, Qu'il accuse par là César de tyrannie, Qu'il approuve sa mort, c'est ce que je dénie.
Rome eſt à vous, Seigneur, l’Empire eſt voſtre Chacun en liberté peut diſpoſer du ſien, (bien, Il le peut à ſon choix garder ou s’en défaire, Vous ſeul ne pourriez pas ce que peut le vulgaire, Et ſeriez deuenu pour auoir tout dompté Eſclaue des grandeurs où vous eſtes monté?	Rome est à vous, Seigneur, l'Empire est votre Chacun en liberté peut disposer du sien, (bien, Il le peut à son choix garder ou s'en défaire, Vous seul ne pourriez pas ce que peut le vulgaire, Et seriez devenu pour avoir tout dompté Esclave des grandeurs où vous êtes monté?
Poſſedez-les, Seigneur, ſans qu’elles vous poſſedẽt, Loing de vous captiuer, ſouffrez quelles vous ceEt faites hautement cognoiſtre enfin à tous (dent, Que tout ce qu’elles ont eſt au deſſous de vous.	Possédez-les, Seigneur, sans qu'elles vous possèdent, Loin de vous captiver, souffrez quelles vous cet faites hautement connaître enfin à tous (dent, Que tout ce qu'elles ont est au dessous de vous.
Voſtre Rome autrefois vous donna la naiſſance, Vous luy voulez donner voſtre toutepuiſſance, Et Cinna vous impute à crime capital, La liberalité vers le pays natal!	Votre Rome autrefois vous donna la naissance, Vous lui voulez donner vôtre toutepuissance, Et Cinna vous impute à crime capital, La libéralité vers le pays natal!
Il appelle remords l’amour de la patrie?	Il appelle remords l'amour de la patrie?
Par la meſme vertu la gloire eſt donc flétrie, Et ce n’eſt qu’vn obiet digne de nos mépris, Si de ſes plus hauts faits l’infamie eſt le prix.	Par la même vertu la gloire est donc flétrie, Et ce n'est qu'un objet digne de nos mépris, Si de ses plus hauts faits l'infamie est le prix.
Ie veux bien aduoüer qu’vne action ſi belle Donne à Rome bien plus que vous ne tenez d’elle, Mais ce n’eſt pas vn crime indigne de pardon Quand la recognoiſſance eſt au deſſus du don.	Je veux bien avouer qu'une action si belle Donne à Rome bien plus que vous ne tenez d'elle, Mais ce n'est pas un crime indigne de pardon Quand la reconnaissance est au dessus du don.
Suiuez, ſuiuez, Seigneur, le Ciel qui vous inſpire, Voſtre gloire redouble à mépriſer l’Empire, Et vous ſerez fameux chez la poſterité (té.	Suivez, suivez, Seigneur, le Ciel qui vous inspire, Votre gloire redouble à mépriser l'Empire, Et vous serez fameux chez la postérité (té.
Moins pour l’auoir conquis, que pour l’auoir quitLe bon-heur peut conduire à la grandeur ſupréme, Mais pour y renoncer il faut la vertu meſme, Et peu de genereux vont iuſqu’à dédaigner Apres vn ſceptre acquis la douceur de regner, Conſiderez d’ailleurs que vous regnez dans Rome, Ou de quelque façõ que voſtre Cour vous nomme, On haït la Monarchie, & le nom d’Empereur Cachant celuy de Roy ne fait pas moins d’horreur.	Moins pour l'avoir conquis, que pour l'avoir quitLe bonheur peut conduire à la grandeur suprême, Mais pour y renoncer il faut la vertu même, Et peu de généreux vont jusqu'à dédaigner Après un sceptre acquis la douceur de régner, Considérez d'ailleurs que vous régnez dans Rome, Ou de quelque façion que votre Cour vous nomme, On hait la Monarchie, et le nom d'Empereur Cachant celui de Roi ne fait pas moins d'horreur.
Ils paſſent pour Tyran quiconque s’y fait maiſtre, Qui le ſert pour eſclaue, & qui l’ayme pour traiſtre, Qui le ſouffre à le cœur lâche, mol, abatu, Et pour s’en affranchir tout s’appelle vertu.	Ils passent pour Tyran quiconque s'y fait maître, Qui le sert pour esclave, et qui l'aime pour traître, Qui le souffre à le cœur lâche, mol, abattu, Et pour s'en affranchir tout s'appelle vertu.
Vous en auez, Seigneur, des preuues trop certaines, On a fait contre vous dix entrepriſes vaines, Peut eſtre que l’onzieſme eſt preſte d’éclater, Et que ce mouuement qui vous vient agiter N’eſt qu’vn aduis ſecret que le Ciel vous enuoye.	Vous en avez, Seigneur, des prévues trop certaines, On a fait contre vous dix entreprises vaines, Peut être que l'onzième est prête d'éclater, Et que ce mouvement qui vous vient agiter N'est qu'un avis secret que le Ciel vous envoie.
Qui pour vous conſeruer n’a plus que cette voye.	Qui pour vous conserver n'a plus que cette voie.
Ne vous expoſez plus à ces fameux reuers, Ieit beau de motſir maiitre de Ivmuers, Mais la plus belle mort ſoüille noſtre memoire Quãd nous auons pû viure auecque plus de gloire.	Ne vous exposez plus à ces fameux revers, Jeit beau de motsir maiitre de Ivmuers, Mais la plus belle mort souille notre mémoire Quand nous avons pu vivre avec plus de gloire.
CINNA.	CINNA.
Si l’amour du pays doit icy préualoir, C’eſt ſon bien ſeulement que vous deuez vouloir, Et cette liberté qui luy ſemble ſi chere N’eſt pourRome, Seigneur, qu’vn bien imaginaire, Plus nuiſible qu’vtile, & qui n’approche pas De celuy qu’vn bon Prince apporte à ſes Eſtats.	Si l'amour du pays doit ici prévaloir, C'est son bien seulement que vous devez vouloir, Et cette liberté qui lui semble si chère N'est pourRome, Seigneur, qu'un bien imaginaire, Plus nuisible qu'une, et qui n'approche pas De celui qu'un bon Prince apporte à ses États.
Auec ordre & raiſon les honneurs il diſpenſe, Auecque iugement punit & recompenſe, Ne precipite rien de peur d’vn ſucceſſeur, Et diſpoſe de tout en iuſte poſſeſſeur.	Avec ordre et raison les honneurs il dispense, Avecque jugement punit et récompense, Ne précipite rien de peur d'un successeur, Et dispose de tout en jusqu' possesseur.
tumulte, Mais quand le peuple eſt maiſtre on n’agit qu’en La voix de la raiſon iamais ne ſe conſulte, Les honneurs ſont vendus aux plus ambitieux, Les magiſtrats donnez aux plus ſeditieux, Ces petits Souuerains qu’il fait pour vne année, Voyant d’vn temps ſi court leur puiſſance bornée, Des plus heureux deſſeins font auorter le fruit, De peur de le laiſſer à celuy qui les ſuit:	tumulte, Mais quand le peuple est maître on n'agit qu'en La voix de la raison jamais ne se consulte, Les honneurs sont vendus aux plus ambitieux, Les magistrats donnez aux plus séditieux, Ces petits Souverains qu'il fait pour une année, Voyant d'un temps si court leur puissance bornée, Des plus heureux desseins font auorter le fruit, De peur de le laisser à celui qui les suit:
nent, Comme ils ont peu de part au bien dont ils ordonDedans le champ d’autruy largement ils moiſſonnent, Aſſeurez que chacun leur pardonne aiſément, Eiperune a fon tour vn peril traitement.	nent, Comme ils ont peu de part au bien dont ils ordonDédant le champ d'autrui largement ils moissonnent, Assurés que chacun leur pardonne aisément, Éiperune a son tour un péril traitement.
Le pire des Eſtats eſt l’Eſtat populaire.	Le pire des États est l'État populaire.
AVGVSTE.	AUGUSTE.
Et toutefois le ſeul qui dans Rome peut plaire, Cette hayne des Roys que depuis cinq cens ans Auec le premier laict ſuccent tous ſes enfans Pour l’arracher des cœurs eſt trop enracinée.	Et toutefois le seul qui dans Rome peut plaire, Cette haine des Rois que depuis cinq cents ans Avec le premier lait succent tous ses enfants Pour l'arracher des cœurs est trop enracinée.
MAXIME.	MAXIME.
née, Ouy, Seigneur, dans ſon mal Rome eſt trop obſtiSon peuple qui s’y plaiſt en fuit la gueriſon, Sa couſtume l’emporte & non pas la raiſon, Et cette vieille erreur que Cinna veut abatre Eſt vne heureuſe erreur dont elle eſt idolâtre, Par qui le monde entier rangé deſſous ſes loix L’a veu cent fois marcher ſur la teſte des Roys, Son Eſpargne s’enfler du ſac de leurs Prouinces, Que luy pouuoient de plus donner les meilleurs Princes?	née, Oui, Seigneur, dans son mal Rome est trop obstiSon peuple qui s'y plaît en fuit la guérison, Sa outume l'emporte et non pas la raison, Et cette vieille erreur que Cinna veut abattre Est une heureuse erreur dont elle est idolâtre, Par qui le monde entier rangé dessous ses lois L’a vu cent fois marcher sur la tête des Rois, Son Épargne s'enfler du sac de leurs Provinces, Que lui pouuoient de plus donner les meilleurs Princes?
I’oſe dite, Seigneur, que par tous les climats Ne ſont pas bien receus toutes ſortes d’Eſtats, Chaque peuple a le ſien conforme à ſa nature, Qu’on ne ſçauroit chãger ſans luy faire vne iniure, Telle eſt la loy du Ciel dont la ſage equité seme dans l’vmiuers cette dideinte.	J'ose dite, Seigneur, que par tous les climats Ne sont pas bien reçus toutes sortes d'États, Chaque peuple à le sien conforme à sa nature, Qu'on ne saurait changuer sans lui faire une injure, Telle est la loi du Ciel dont la sage équité seme dans l’vmiuers cette dideinte.
Les Macedoniens ayment le Monarchique, Et le reſte des Grecs la liberté publique, Les Parthes, les Perſans veulent des Souuerains, Et le ſeul Conſulat eſt bon pour les Romains.	Les Macédoniens aiment le Monarchique, Et le reste des Grecs la liberté publique, Les Parthes, les Persans veulent des Souverains, Et le seul Consulat est bon pour les Romains.
CINNA.	CINNA.
S’il eſt vray que du Ciel la prudence infinie Depart à chaque peuple vn different GenieIl eſt certain auſſi que cét ordre des Cieux Change ſelon les temps comme ſelon les lieux.	S'il est vrai que du Ciel la prudence infinie Départ à chaque peuple un différent GénieI est certain aussi que cet ordre des Cieux Change selon les temps comme selon les lieux.
Rome a receu des Roys ſes murs & ſa naiſſance, Elle tient des Conſuls ſa gloire & ſa puiſſance, Etreçoit maintenant de vos rares bontez Le comble ſouuerain de ſes proſperitez.	Rome a reçu des Roys ses murs et sa naissance, Elle tient des Consuls sa gloire et sa puissance, Etreçoit maintenant de vos rares bontés Le comble souuerain de ses prospérités.
Sous vous l’eſtat n’eſt plus en pillage aux armées, Les portes de lanus par vos mains ſont fermées, Ce que tous les Coiuis i'ont ptrtarre deux fois, Et qu’a fait auant eux le ſecond de ſes Roys.	Sous vous l'état n'est plus en pillage aux armées, Les portes de lanus par vos mains sont fermées, Ce que tous les Coivis j'ont rtarre deux fois, Et qu'a fait avant eux le second de ses Rois.
MAXIME.	MAXIME.
Les changemens d’Eſtat que fait l’ordre celeſte Ne couſtent point de ſang, n’ont rien qui ſoit fu	Les changements d'État que fait l'ordre céleste Ne coûtent point de sang, n'ont rien qui soit fu
CINNA.	CINNA.
neſte.	nête.
C’eſt vn ordre des Dieux qui iamais ne ſe rompt.	C'est un ordre des Dieux qui jamais ne se rompt.
De nous vendre bien cher les grands bien qu’ils nous font, L’exil des Tarquins meſme enſanglanta nos terres, Et nos premiers Conſuls nous ont couſté des guerlede.	De nous vendre bien cher les grands bien qu'ils nous font, L'exil des Tarquins même ensanglanta nos terres, Et nos premiers Consuls nous ont coûté des guerlede.
MAXIME.	MAXIME.
Donc voſtre ayeul Pompée au Ciel a reſiſté.	Donc votre aïeul Pompée au Ciel a résisté.
Quand il a combatu pour noſtre liberté.	Quand il a combattu pour notre liberté.
CINNA.	CINNA.
Si le Ciel n’euſt voulu que Rome l’euſt perduë, Par les mains de Pompée il l’auroit defenduë, Il a choiſi ſa mort pour ſeruir dignement D’vne marque eternelle à ce grand changement, Et deuoit cét honneur aux Manes d’vn tel homme D’emporter auec eux la liberté de Rome.	Si le Ciel n'eût voulu que Rome l'eût perdue, Par les mains de Pompée il l'aurait défendue, Il a choisi sa mort pour servir dignement D'une marque éternelle à ce grand changement, Et devait cet honneur aux Manes d'être tel homme D'emporter avec eux la liberté de Rome.
Ce nom depuis long-temps ne ſert qu’à l’éblouyr, Et ſa propre grandeur l’empeſche d’en iouyr:	Ce nom depuis longtemps ne sert qu'à l'éblouir, Et sa propre grandeur l'empêche d'en jouir:
Depuis qu’elle ſe voit la maiſtreſſe du monde, Depuis que la richeſſe entre ſes murs abonde, Et que ſon ſein fecond en glorieux emplois Produit des citoyens plus puiſſans que des Rois, Les	Depuis qu'elle se voit la maîtresse du monde, Depuis que la richesse entre ses murs abonde, Et que son sein fécond en glorieux emplois Produit des citoyens plus puissants que des Rois, Les
Les grands pour s’affermir achetant les ſuffrages Tiennent pompeuſement leurs maiſtres à leurs gages Qui par des fers dorez ſe laiſſant enchaiſner Reçoiuent d’eux les loix qu’ils pẽſent leur donner.	Les grands pour s'affermir achetant les suffrages Tiennent pompeusement leurs maîtres à leurs gages Qui par des fers dorés se laissant enchaîner Reçoivent d'eux les lois qu'ils pensent leur donner.
Enuieux l’vn de l’autre ils ménẽt tout par brigues, Que leur ambition tourne en ſanglantes ligues:	Envieux l'un de l'autre ils ménẽt tout par brigues, Que leur ambition tourne en sanglantes ligues:
Ainſi de Marius Sylla deuint ialoux, Céſar de mon ayeul, Marc Antoine de vous, Ainſi la liberté ne peut plus eſtre vtile Qu'à former les fureurs d’vne guerre ciuile, Lors que par vn deſordre à l’vniuers fatal L’vn ne veut point de maiſtre, & l’autre point d’égal.	Ainsi de Marius Sylla devint jaloux, César de mon aient, MarcE Antoine de vous, Ainsi la liberté ne peut plus être vintile Qu'à former les fureurs d'une guerre civile, Lors que par un désordre à l'univers fatal L'un ne veut point de maître, et l'autre point d'égal.
Seigneur, pour ſauuer Rome, il faut qu’elle s’vniſſe Et la main d’vn bon Chef à qui tout obeïſſe, Et ſi voſtre bonté la veut fauoriſer, Oſtez luy les moyens de ſe plus diuiſer.	Seigneur, pour sauver Rome, il faut qu'elle s'unisse Et la main d'un bon Chef à qui tout obéisse, Et si votre bonté la veut favoriser, Êtez lui es moyens de se plus diviser.
Sylla quittant la place enfin bien vſurpée N'a fait qu’ouurir le champ à Céſar & Pompée, Que le malheur du temps ne nous euſt pas fait voir S’il euſt dans ſa famille aſſeuré ſon pouuoir.	Scylla quittant la place enfin bien usurpée N'a fait qu'ouvrir le champ à César et Pompée, Que le malheur du temps ne nous eût pas fait voir S'il eût dans sa famille assuré son pouvoir.
Qu’a fait du grand Céſar le cruël parricide Qu’éleuer contre vous Antoine auec Lepide, Qui n’euſſent pas déſtruit Rome par les Romains Si Céſar euſt laiſſé l’Empire entre vos mains?	Qu'a fait du grand César le cruel parricide Qu'élever contre vous Antoine avec Lépide, Qui n'eussent pas déstruit Rome par les Romains Si César eût laissé l'Empire entre vos mains?
Vous la replongerez en quittant cet Empire Dans les maux dont à peine encor elle reſpire, Et de ce peu, Seigneur, qui luy reſte de ſang Vne guerre nouuelle épuiſera ſon flanc.	Vous la replongerez en quittant cet Empire Dans les maux dont à peine encor elle respire, Et de ce peu, Seigneur, qui lui reste de sang Une guerre nouvelle épuisera son flanc.
Que l’amour du pays, que la pitié vous touche, Voſtre Rome à genoux vous parle pat ma bouche Conſiderez le prix que vous auez couſté, Non pas qu’elle vous croye auoir trop achepté, Des maux qu’elle a ſoufferts elle eſt trop biẽ payée, Mais vne iuſte peur tient ſon ame effrayée;	Que l'amour du pays, que la pitié vous touche, Vostre Rome à genoux vous parle pat ma bouche Considérez le prix que vous avez coûté, Non pas qu'elle vous croie avoir trop acheté, Des maux qu'elle a soufferts elle est trop bien payée, Mais une juste peur tient son âme effrayée;
Si ialoux de ſon heur & las de commander Vous luy rendez vn bien qu’elle ne peut garder, S’il luy faut à ce prix en achepter vn autre, Si vous ne preferez ſon intereſt au voſtre, Si ce funeſte don la met au deſeſpoir, Ie n’oſe dire icy ce que i’oſe préuoir.	Si jaloux de son heur et las de commander Vous lui semez un bien qu'elle ne peut garder, S'il lui faut à ce prix en acheter un autre, Si vous ne préférez son intérêt au vôtre, Si ce funeste don la met au désespoir, Je n'ose dire ici ce que j'ose prévoir.
