RRII I TRAGEDIE.	RRII I TRAGÉDIE.
Auoir veu ruiner le lieu de ſa naiſſance.	Avoir vu ruiner le lieu de sa naissance.
Et celuyy que l’on a choiſi pour demeurance, Veutreiner ſon eſpoux, maſſacrer ſon enſans, Es par un ennemy vainqueur & trionphant, Qui deſen ben ſuccez à toute heire nous braue, En eſtrange pars eſtre enomente eſclaue, Neſt ce pas dequoy plaindre, & ſans ceſſe crier?	Et celui que l'on a choisi pour demeurance, Veutreiner son époux, massacrer son ensants, Es par un ennemi vainqueur et trionphant, Qui désen ben succès à toute hire nous brave, En étrange pars être enomente esclaue, Nest ce pas dequoy plaindre, et sans cesse crier?
Helenin.	Hélenin.
Ce que ie veus endis, ceu'eſt pat pour nier Pne nos maux ne ſoyent grande-An.	Ce que ici vus endis, c'est pat pour nier Pne nos maux ne soient grande-An.
Ils ſont incom.	Ils sont incom.
parables, Iamais le ciel n'a veu peuples ſi miſerables, Tout depuis qu’il conence à tournoyer ſon cours.	parables, Jamais le ciel n'a vu peuples si misérables, Tout depuis qu'il conence à tournoyer son cours.
Que les pauures Tuoy ens l'ont eſté en leurs iours:	Que les pauvres Tuoi ens l'ont été en leurs jours:
1122 bihaspmn caile paas ds Deſfirs quelque autne peuple, ils ne le pourroyent faire, Fien que tout ſoit facile à leur diuin pouuoir.	1122 bihâpmn caile pays ds Desfirs quelque autne peuple, ils ne le pourraient faire, Fien que tout soit facile à leur divin pouvoir.
Helenin.	Hélenin.
Anctromache ceux-à, qui nour ont ſait auoir, Pevor plaire à leur, fureur, tant de maux que vous:	Anctromache ceux-à, qui nour ont sait avoir, Pevor plaire à leur, fureur, tant de maux que vous:
dι.	d.
tes, Eux meſmes n'ont pas ven leurs pertes plus peritts.	tes, Eux mêmes n'ont pas ven leurs pertes plus périts.
aund ldeousss Vne mit ſende a tant de nos gens lgergez	aund lèdeousss Une mit sende a tant de nos gens lgergez
Heichiile L'ende βο les vents en ont tans des leur ſubmergez.	Héjchiile L'ende § les vents en ont tans des leur submergez.
Lhiiatomaché.	Lhiiatomaché.
Tant des noſtres deitant eſtoyent moris aux alærmes.	Tant des nôtres deitant étaient moris aux alærmes.
Helenin.	Hélenin.
Ils n'en auoyent pas moins occis de leurs Genſ-d’armes.	Ils n'en avaient pas moins occis de leurs Gens-d'armes.
Andromache.	Andromache.
De Priam & d'Hlector me reſte que le nom,	De Priam et d'Hlector me reste que le nom,
Helenin.	Hélenin.
onmipman Gams,m amonmanau,	onmipmand Gams, amonmanau,
Andromache.	Andromache.
Les Gregiois muis ont iont nos ticheſſes pilleci.	Les Grégiais muis ont jont nos tichesses pilleci.
Helenin.	Hélenin.
Puitils ont perdus tot ſur les ondes ſalt́es.	Puitils ont perdus tôt sur les ondes salt́es.
Andromache.	Andromache.
Nons ſonmnes en ſeruage, & eux en liberil,	Nons sonmnes en servage, et eux en libéril,
LIEICAIIe En ce point ſeulement nous ent ils ſurmonil,	LIEICAIIe En ce point seulement nous ent ils surmon,
Andromache.	Andromache.
Helenin.	Hélenin.
Mais cette victoire eſt leur honte & noſtre gloire, De dire que les Grecs l’eſpace de dix ans Contre vne cité ſeule ont en armt́e aux chauitu, Et qu'encere à la fin de le dixiéme anníe, Mnuanartamrnnm,iiaſan mane.	Mais cette victoire est leur honte et notre gloire, De dire que les Grecs l'espace de dix ans Contre une cité seule ont en armée aux chavitu, Et qu'encere à la fin de le dixième année, Mnuanartamrnnm,iiasan mane.
Leur armée au pars, ſans entirer ræiſon Sinon per vne infame & laſche trahiſon.	Leur armée au pars, sans entirer ræison Sinon per une infâme et lâche trahison.
Andromache.	Andromache.
Au om, ſemus vndtez, mins ſouijar q ue nous mutros, Mais les pertes d’autruy n’allegens pas les noſtres,	Au om, semus vndtez, mins souijar q ue nous mutros, Mais les pertes autrui allegens pas les nôtres,
Helenin.	Hélenin.
Elles ſernent au moins de conſolation,	Elles sernent au moins de consolation,
Andromache.	Andromache.
C'eſt vn pauerre confort en ſon affliction, D'en voir d’autres patir de ſamblables miſeres.	C'est un paverre confort en son affliction, D'en voir d'autres pâtir de samblables misères.
Helenin.	Hélenin.
Si es, c’eſl grand conſort de veιν noς aluſaimτς Qui nous ont fait tember en ces aduerſuezs.	Si es, c'él grand consort de ve noù alusaime Qui nous ont fait tember en ces aversuezs.
egnademedmimſamin	égnademèdmimsamin
Andromache.	Andromache.
Cela peuo auoir lieu pour les pertes paſltts, Mais quant au mal qui tient nos ames oppreßles D'une deuleur preſente, il n’est pas allige, Pour y voir comme nois quelque autre eſtre plongé.	Cela peu trop lieu pour les pertes paslts, Mais quant au mal qui tient nos âmes oppressles D'une dévuleur présente, il n'est pas allige, Pour y voir comme nois quelque autre a songé.
Helenin.	Hélenin.
Hé!	Hé!
quel eſtie vous pri' le mal qui nous tourmenn Et priſſe noſtre cſprit d’vne don!	quel étie vous pri' le mal qui nous tourmenn Et prisse notre csprit d'une don!
eupriſente, N’auons-nous pas de Pyri he aſſez bon traillement:	éprisente, N'avons-nous pas de Pyri hé assez bon traillement:
Puis ne vous ert-e pas un grand conteniemtns, Apres que vous ancz dans une triſte biere Enterre voſtre eſpouxx, que d'eſponſer ſon frerel	Puis ne vous ert-e pas un grand conteniemîns, Après que vous ancz dans une triste bête Enterre votre épouxx, que d'esponser son frerel
Andromache.	Andromache.
La ſeule liberat eſt le ſouuerain bicn, Sans elle on ne ſçaureit prendre plaiſer à rien Les oißillons guidez de la ſeule nature Ayment mieux en hyuer pourchaſſer leur paſlure a Anec brancoup de prine, & eſtre tn liberté, Que d’auoir à ſouhait tout leur vime afpreſ, Et languir priſonniers dans l'oſier d'une cage:	La seule libérât est le souuerain bicn, Sans elle on ne savoir à plaiser à rien Les oignillons guidez de la seule nature Aimment mieux en hiver pourchasser leur paslure a Anec brancoup de prine, et être tenn liberté, Que d'avoir à souhait tout leur vime âpres, Et languir prisonniers dans l'osier d'une cage:
Cær ils ne trouuent rien pire que le ſernage.	Cær ils ne trouvent rien pire que le sernage.
Helenin.	Hélenin.
S'il n’y a que cela qui d’un nouble confus Vous geine orts l’eſprit, ne vour iorrmentez plus, Mais ayez bon eſpoir, Phobus me prophetiſe Que nous verrons reuiure en bref noſtè franchſe:	S'il n'y a que cela qui d'un nouvble confus Vous geine orts l'esprit, ne vour iorrmentez plus, Mais ayez bon espoir, Phobus me prophétise Que nous verrons revivre en bref nostè franchse:
Et ſi ie vous dirois encore plras anant, Si n’efloit que Iunon le parler me deſend Afin que ieleur puiſſe à Hector, & à eux, Eſtant en libertl payer apres les vens, Que ie fais maintenans que ie ſuis chambriert, S'il, daignomt lcouvter ma traſ-iuſte priere.	Et si ici vous dirais encore plras anant, Si n'eflait que Junon le parler me désend Afin que jeleur puisse à Hector, et à eux, Étant en libert payer après les vents, Que je fais maintenants que sans suis chambriert, S'il, daignompt lcouvter ma trasjuste prière.
Didaime.	Didaime.
AlAurore quiuant de ſon eſtoux griſen TLes emabraſſemens froids, ſe monſtre en l'horiſons Et le Soleil luiſant de ſa lampe dorée Redonne aux animaux la clarté deſiree, O beαn iour, que ie ſuis ioyeuſe de te voir!	AlAurore quivant de son étoux grisen TLes emabrassements froids, se montre en l'horizons Et le Soleil luisant de sa lampe dorée Redonne aux animaux la clarté désirée, Ô beαn iour, que ie suis ioyeuse de te voir!
Pour le mal que nyent fait cette muict cy auir Les ſonges importune, qui de uiſimns ſombres, N'eſfropent demant l'eſprit mille triſtet encombres.	Pour le mal que nient fait cette muit cy avir Les songes importune, qui de uisimns sombres, N'esfropent demant l'esprit mille tristet encombres.
Helas!	Hélas!
que les donccurs des ſlitaires nuicts, Pri donnent ſi ſonuent relaſche à nor ennuit, Et aux trauaux du iour, ſint quelquesfais moleſtes Quand elles nous ſont voir ces viſions ſunefics.	que les donccurs des slitaires nuits, Pri donnent si sonvent relâche à nor ennuit, Et aux travaux du jour, sint quelquesfais molestes Quand elles nous sont voir ces visions sunefics.
Etoy ſomme enchanteur des maux plus ſoncieux, Que tous les animaux trouuent ſi gracieux, Sommeil, ô doua ſommeil, qui tient enſeuclies Amec les ſentimens touces tallanchnlien Smmmeil, que i'ay tronai ceelqueſois ſi plaiſans, Que dunans cette nois tu m'as ſemble cuiſæus.	Etoy somme enchanteur des maux plus soncieux, Que tous les animaux trouvent si grâces, Sommeil, ô doua sommeil, qui tient enseuclies Amec les sentiments touées tallanchien Smmeil, que j'ai trônai traitements si plaisants, Que dunants cette nois tu m'as semble cuisæus.
Au lie de metenir deſſus la molle plumeLo repos endormie, ainſe que de conſlume, Tumas fait, rigorrerax, tant d'angoiſſe endurer, De mes peux tu m'as fait tans de larmes tirer, Qy' elers que ie me ſitis ce matin éucillte, Ma ſace eſlois encor de pleurs tonre monillle, Lnoncepu nmtranſid un paſte fearemt,	Au lie de métenir dessus la molle plumeLo repos endormie, use que de conslume, Tumas fait, rigorrerax, tant d'angoisse endurer, De mes peux tu m'as fait tans de larmes tirer, Qi elers que sans me sitis ce matin éucillte, Ma sace élois encor de pleurs tonre monillle, Lnoncepu Tans un pâte fearemt,
Lycomede.	Lycomède.
Qu'on ſonge, qui n'eſtrien ſinon vne ombre faimte, Vous fait faire, Dideimie, une longne complainte.	Qu'on songe, qui n'étrien sinon une ombre faite, Vous fait faire, Dideimie, une longne complainte.
Si à toutes les fois qu’à mon entendement Ss viennent preſenter les ſonges en dormant Ie vorlois comme vous tant de complaintes faire, Paurois beau m'affliger touts les iours de miſere, din mumi Smenaajyavunment Sans ſonger, & reſuier tout le long de la nuit.	Si à toutes les fois qu'à mon entendement Ss viennent présenter les songes en dormant Je vorlais comme vous tant de complaintes faire, Paurais beau m'affliger touts les jours de misère, din mumi Smenaajyavunment Sans songer, et résuyer tout le long de la nuit.
Didaime, Vous n'eſtes pas tous ſeral, à qui cela adruienne, Si c'eſt voſtre conſtume, auſi eſt-ce la mienne, Et de pous les mortels, en dormans de ſonger, Et on ne mevoit pas de douleur afſliger, niou pius quevons muigau juutuam jou qua;	Didaime, Vous n'êtes pas tous séral, à qui cela adrienne, Si c'est votre consume, ausi est-ce la mienne, Et de pous les mortels, en dormans de songer, Et on ne mevait pas de douleur affliger, niou pius quevons muigau juutuam ju qua;
ſongeEmtaſqne vient troubler le ſonme eà ie me plonga.	songeEmtasqne vient troubler le sonme eà ie me plonga.
Etoimenes :	Etoimenes :
Pourquyy donc maintenant ce dernier ſongeii Plld fauA plll quiun auire anoir taudde ſouiy!	Pourqui donc maintenant ce dernier songeii Plld favA plll quiun avire anoir taude soui!
Didaime.	Didaime.
Ceſt pource qu'il eſtrit d'une touνeantre ſorte.	Cest pource qu'il étrit d'une touéeantre sorte.
Lycomede.	Lycomède.
Conine ſi tout ſonger, que la nuit nous apporte, Neſtri pas meſme choſe.	Conine si tout songer, que la nuit nous apporte, Nétri pas même chose.
Did.	Did.
Hé cormont penſez vous Que les ſinges, Monſieur, d'entrereſſemblent tous?	Hé cormont pensez -vous Que les singes, Monsieur, d'entreressemblent tous?
Hà vrarement ils ſont bie:	Hà vrarement ils sont bye:
en formez variables, Eoeneſſets,les vns des autres diſſenblabies.	en formez variables, Éoenessets, uns des autres dissenblabies.
Lycomede.	Lycomède.
Vn ſonge neamnoini n'eſt qu'vn ſonge iamait.	Un songe neamnoini n'est qu'vn son jamait.
Didaime.	Didaime.
0u, juula onjauecen, Qminmeraarai.	Çu0, juula onjavecen, Qminmeraarai.
Lycomede.	Lycomède.
Eichojt mu est pas, n'eſt borun, ny muthante.	Eichojt mu est pas, n'est borun, ni muthante.
Didaime.	Didaime.
Nne ſentons bien qu'vnſenge eſt lors qu'il non aarrmente,	Nne sentons bien qu'unsenge est lors qu'il non aarrmente,
Ajcomede !	Ajcomede !
Teus ce sourment n'est rien que vaine illuſion	Tus ce sourment n'est rien que vaine illusion
Didaimes Si nous met-il par fois en grande paſuien,	Didaimes Si nous met-il par fois en grande pasvien,
Lycomede.	Lycomède.
C'eſt une paſtion, qui i'enfuit bien volage.	C'est une pâtion, qui j'enfuit bien volage.
Didaime.	Didaime.
019 quis uuumummu pongenepſigo,	019 quis uumummu pongènepsigo,
Lycomede.	Lycomède.
Itonmint ſçauruit on cespreſageeſfauoiri	Itonmint sçauruit on cespresageesfavoiri
Didaime.	Didaime.
Il ſrpacy.	Il srpaci.
mu pelairs ε ſαcιlει ἀαιοιν.	mu pelairs sαcιlει ἀαιοιν.
Lycomeue, Ou voit tount ce qu’on vens en telle reſuerie.	Lycomève, Ou voit tount ce qu'on vents en telle rêverie.
2Tdabllice.	2Tablice.
Ce que ie vois an mien ce n'eſt pas tromperie.	Ce que ici vois an mien ce n'est pas tromperie.
Lycomede.	Lycomède.
Vn auirs conmme vous en dit autant du ſien	Un avirs commme vous en dit autant du sien
Didaîme.	Didaine.
Si ie vont auois dit, Monſicur, quel eſt le mien Ie croy que vous diriez ſans aucune dontance Qu'il nous va preſageant le malheur que ie penſe.	Si personne vont avais dit, Monsicur, quel est le mien Je crois que vous diriez sans aucune dontance Qu'il nous va présageant le malheur que sans pense.
Lycomede.	Lycomède.
E q'eſt il ce matbeur?	ÉQ eest il ce matbeur?
Did.	Did.
Cemalheur eſt belaz Uorramun, ouuuuuu quuesprhe le treſpas.	Cemalheur est bêlas Uorramun, ouuuuuu quuesprhe le trépas.
Lycomede.	Lycomède.
Vous vous ſantaſhiguez vne terrible choſe Dedans voſtre cerueau.	Vous vous santashiguez une terrible chose Dedans votre cerveau.
Did.	Did.
Mais ce n'eſt pas ſani cauſe, Ceame vorus t meiſtrez, s’il veuis plaiſt neεcouιer.	Mais ce n'est pas sani cause, Came vorus t istrez, s'il veuis plaît neεcouιer.
Lycomede.	Lycomède.
Tout d'vn train il vammieux que nous l'allions Enſemble à Helenin ce veritable angure, (comer Qui ſcait prophetiſer tonte choſe ſuiure:	Tout d'un train il vammieux que nous l'allions Ensemble à Hélenin ce véritable angure, (comer Qui sait prophétiser tonte chose suivre:
Car nous pourrons apprendre entieriment de luy, Si ce ſonge meiu doil apporter quelque ennuy, anmemunqou puonuiy jupuy puimane llons, parlons à luy, ſçachoni-en la ſentence.	Car nous pourrons apprendre entieriment de peine, Si ce songe meiu doil apporter quelque ennui, anmemunqou puonui jupu imane lons, parlons à lui, sachoni-en la sentence.
Lycomede, Helenin, Didaime.	Lycomède, Hélenin, Didaime.
Lycomede.	Lycomède.
Nrerprelad.	Nérerprelad.
Dinx, grand proplrlljel au l' I Sacτέ preitre à ιιεσα, à qui le ciel benin, Rare preſeut des Dicux, a donné la ſciance De prédire aſſereré toute ſon influtnee, Qui prononce auz bamains d'vn inſaillible ſert Et le ceurs de la vie, & l'arreſt de la mort, Nour t'and́s, ꝑãl deuin, cherche teur nons apprendre Ce que les puaſſans Dier A nous veulent ſaire entendre Par vn ſonge importun, qui clair i’eſt priſenis A Didaime en dermant duran l'ebſcmitl,	Dinx, grand proplrlljel au l' I Sacτέ preitre à ιιεσα, à qui le ciel bénin, Rare préseut des Dicux, a donné la sciance De prédire assereré toute son influtrée, Qui prononce auz bamains d'à insaillible sert Et le cleurs de la vie, et l'arrêt de la mort, Nour t'ands, ꝑãl deuin, cherche teur nons apprendre Ce que les puassans Dier A nous veulent zaïre entendre Par songe importun, qui clair est prisenis A Didaime en dermant duran l'ebscmitl,
IEIcMU.	JEIcMU.
Grand Prince, ie connois combien ie ſuis indigue Dt merirer le nom d'rn ſçauoir tamt inſigue:	Grand Prince, je connais combien je suis indigue Dt érirer le nom d'rn savoir tamt insigue:
Ians veuy pas aui entierementnier.	Jans vi pas auj entièrementnier.
Que ie ne puiſſe bien parfois ſignifier Ce qui peus aduenir d’une choſe future, Lors qu’entrant en mon ſein Apollon ne l’augure.	Que personne ne puisse bien parfois signifier Ce qui pus avenir d'une chose future, Lors qu'entrant en mon sein Apollon ne l'augure.
Mais tel comme ie ſuis, ſi mon conſeil veus plaiſt, Sant diſſimuier rien, vous ſçaurez quel il eſt, Lors que vous m’aurez fait uoſtee ſonge connoiſtre:	Mais tel comme je suis, si mon conseil us plaît, Sant dissimuyer rien, vous saurez quel il est, Lors que vous m'aurez fait uoste songe connaître:
Ie vous ay bien ſouuent deſia fait apparoiſtre isas duus appruulaaa Juarmasemll y En la meſme ſaçon qu’il eſt apres venu.	Je vous ai bien souvent déjà fait apparaître isas duus appruulaaa Juarmasll y En la même saçon qu'il est après venu.
Lycomede.	Lycomède.
Nous auons voirement grand prophete eſpranui Veritable à l'eſpreuue, & n'eſt ià de beſoin De vouloir rep:	Nous avons voirement grand prophète espranui Eritable à l'épreuve, et n'est jà de besoin De vouloir rép:
ter les chiſes de plus loin.	ter les chises de plus loin.
Pour-ct racomtez nous viſtre ſonge, Didxime, Que vous auez ſongé durant cette nuit bleſme.	Pour-ct racomtez nous vite songe, Didxime, Que vous avez songé durant cette nuit blême.
Didaime.	Didaime.
Ie ne dentande ricn qu’à le conter auſſi, Mais d'une froide peur i’ay le cœur tout tranſ, Et ie ſent que ma langue à mon palais ſe colle, Si ie veux deſſerrer la premiere parolle Paur vous le raconter, tant le cœur me prédit Qu’il vienara quel que mal de ce ſonge maudit.	Je ne dentande ricn qu'à le conter aussi, Mais d'une froide peur j'ai le cœur tout trans, Et ie sent que ma langue à mon palais se colle, Si on veux desserrer la première parole Paurer vous le raconter, tant le cœur me prédit Qu'il vienara quel que mal de ce songe maudit.
Helenin.	Hélenin.
Tout ce delayemen:	Tout ce delayemen:
de rien ne vous proſite:	de rien ne vous prosite:
Car ſi quelque infortune en ce ſonge eſt prédite, Tout voctre retarder ne retardera pas Le malheur qui s'en doit enſuyure, d'un ſeul pas.	Car si quelque infortune en ce songe est prédite, Tout octre retarder ne retardera pas Le malheur qui s'en doit ensuivre, d'un seul pas.
Didaime.	Didaime.
La ſolitaire nuit eſtit plus que demie, Que ie ne m’eſtois pas encores endo:	La solitaire nuit estit plus que demie, Que je ne m'étais pas encore endo:
mie, Et les quatre moreaux, qui par le ciel menryent Le coche de Diane, haletant le trairoyens	mie, Et les quatre moreaux, qui par le ciel menryent Le coche de Diane, haletant le trairens
Dani le commmencemens de l'embrageuſe pemts, Par eù du ciel xux euux il ſaut ſaire deſcemis, 'Et deſià conſrencoit le coche à deu aler, Quand le ſomme eſt venas ſir mes yeux diſtiltr La ſalubre donceur de ſa liqueur aymle, M'uſſoupiſſant mes ſens plus qu'à l'accoriſtuante, A grand' ptine eſtoyent ils de ſes chæres raiti Que tous à vn’inſtant il me ſembla aduis Que i'errois torure ſeule en vne foreſt crenſt De paſle ebſcurité, & de ſilence affreuſe.	Dani le commencements de l'embrageuse pemts, Par eu eût du ciel xux il saut zaïre descemis, ' Ut déjà consrenait le coche à de aler, Quand le somme est venas sir mes yeux distiltr La salubre donceur de sa liqueur aymle, M'ussoupissant mes sens plus qu'à l'accoristante, A grand putine étaient ils de ses chæres raiti Que tous à Madinstant il me sembla avis Que j'errois torure seule en une forêt crenst De pâle ebscurité, et de silence affreuse.
Puis ce ſemble i’ouys des dogues abayer, Emonner une trompe, & des hommes crier, Les buiſſons l'émenuoir, & le craquans marmmre Conſus en resentir dans la foreſtobſcure.	Puis ce semble j'ouïs des dogues abayer, Emonner une trompe, et des hommes crier, Les buissons l'émenuoir, et le craquants marmère Consus en résentir dans la forêtobscure.
Vne froide ſucuor pær les arembres me cours, Ie demorrre eſperdue, & m’arreſle tonx ceuri, Ne ſçachani ſi ie dois eus reculer arriere, Ou mærcher plus auant en la meſime maniers Qne L'en voit les perdris neſçauoir où aller, Lers que pærmy le ciel elles voyent veler Deſſus elles l'eiſeæn, & qu’an ſlair de la trace Le chien couchant d'ailleurs en terre let pourchaſſeElles demeurent coy, mais pour ſe contenir, Elles ne peuuent pas le malheur preuenir.	Une froide sucuor pær les arembres me cours, Je demorrent éperdue, et m'arrêle tonx ceuri, Ne sachani si ici dois eus reculer arrière, Ou mærcher plus avant en la mesime maniers Qne L'en voit les perdris nesçauoir où aller, Lers que pæri le ciel elles voient vêler Dessus elles l'eiseæn, et qu'an slair de la trace Le chien couchant d'ailleurs en terre let pourchasseElles demeurent coi, mais pour se contenir, Elles mais peuuent et le malheur prévenir.
Or tandis que d'errois effrayée en ce donte, Et Prrrhe le premier, qui d'une main tenei Vn reluiſant eſpien, &l de lautre menoit Au bout d’vne grand' leſſe vne biche captine, Qu’il auoit diſoit il, priſe æ bois tonte vins.	Or tandis que d'errais effrayée en ce donte, Et Prrhe le premier, qui d'une main tenei Une reluisant espien, et de lautre menait Au bout d'une grand' lesse une biche captine, Qu'il avait disait -il, prise æ bois ton vins.
Deſià nhuus commenciono iiſurin nors di ouis Alers que les limiers ſirent de leurz aboiD'un autre tenebreux leuer une grand' Ourſi,	Déjà nhuus commenciono iisurin nors di ouï Ers que les limiers sirent de leur aboiD'un autre ténébreux lever une grand' Oursi,
Rompant & fracaſſant auec ſes pieds peltas, Par tous où elle alloit, les buiſſons chenelus.	Rompant et fracassant ages ses pieds peltas, Par tous où elle allait, les buissons chenus.
Prrahe eſmeu de deſir à vn autre deliure La priſe qu’il venoit pouir ſe rettre a pourſuyure Cente nouuelle proye, allans reun au trauers Les haliers eſpineux de noire ombre couuerts.	Prrahe ému de désir à un autre délivre La prise qu'il venait pouir se rettre à poursuivre Cente nouvelle proie, allants reun au travers Les haliers épineux de noire ombre couuerts.
De la peur que i'enas lors chaſque membre me tremible, Le cœur me bat au ſein, ie plore ce me ſemble, Ie terpeſte, iecrie apres luy auſt toſt, Le priant qu’il n’euſt pas le courage ſi chaud De vouloir eſprouuer ſa vaillauce à l'encontre La brutæle ſureur de cet horrible monitre.	De la peur que j'enas lors chasque membre me tremible, Le cœur me bat au sein, ie plore ce me semble, Je terpeste, iecrie après avoir éprouver sa, Le priant qu'il n'eût pas le courage si chaud De vouloir éprouver sa vaillauce à l'encontre La brutrie sûreur de cet horrible monitre.
Il ne m'eſcoura pas, mais d’vn pied plus ſoudaiu, Qr'au deuant du veneur ne gælope le daim, Il ſe mit à courir apres la beste eſmeue, Si bien que ie le perde, & elle auſii de vene:	Il ne m'écoura pas, mais d'un pied plus soudaiu, Qr'au devant du veneur ne gælope le daim, Il se mit à courir après la bête émue, Si bien que ie le perde, et elle ausi de vene:
Et lors Dien ſçait combien mon eſprit euſt de mal, Pour la peur que i'auois que ce fier animal De ſes tranchantes dents ne ſiſt mon pauure Dyrrhe A mon dam deuenir vn nmuean ſils de MyrrheCanume le roſignal voyant du haus ſommrt D’vn arbre verdoyant le rustique qui met La mæin dedens ſon nid, & ſes perits emporte Se debat affugt d'vne terrible ſerte:	Et lors Dien sait combien mon esprit eût de mal, Pour la peur que j'avais que ce fier animal De ses tranchantes dents ne zist mon pauvre Dyrrhe A mon dam devenir un nmuean sils de MyrrheCanume le rosignal voyant du haus sommrt D'un arbre verdoyant le rustique qui met La mæin dedents son nid, et ses périts emporte Se débat affugt d'une terrible serte:
uIinſi ſias-ie tonchie an cuur de meſme dueilQui me ſiſt deſp lorable eſt andre larmes d’eil, Et ſembloit que le dueil me denſichaſſer du monde, Si ie n’euſſe apperçen de la foreſt proſonde Prrrhe victorieux deuers nous rttourner, Et la beſte eaptiue apres lay attrainer.	ÇUIinsi sias-je tonchie an cuvr de même dueilQui me zist dép horable est andré larmes d'eil, Et semblait que le deuil me densichasser du monde, Si ainsi n'eusse apperçen de la forêt prosonde Prrrhe victorieux devers nous rage, Et la bête eaptive après la attrainer.
Que iefus aiſe alors, qu'à l'heure i’eus deiyre, De ie voir trinr phant reuenir en la voye, Un ne peus l’exprimer, on nepeus concenoir L grand comermimm que ie penſois auair.	Que iefus aise alors, qu'à l'heure j'eus deidère, De ie voir trinr phant revenir en la voie, Un ne pus l'exprimer, on nepeus concenoir L grand comermimm que ie pensais avair.
Mais ce conemiement helas!	Mais ce conemiement hélas!
ne dura gurre Car ie vis auſti toſt arriuer par derriere Le maſle eſpoinccml d aoir & de ſireur, Scuſſlant par les naſeaux le ſen de ſon horrum?	ne dura gurre Car ie vis austi tôt arriver par derrière Le mâle espoinccml d oir et de sireur, Scusslant par les naseaux le sen de son horrum?
Ses yaua ieſtincelorent comme laimprs ardemes, Il faiſoit craqueter ſes maclmires trimblances, Le poil horriblement ſin ſon corps luy dreſſait, Et ſon corps herißé de rage framiſſoit.	Ses yava jestincelorent comme laimprs ardemes, Il faisait craqueter ses maclmires trimblances, Le poil horriblement sin son corps était dressait, Et son corps hérissé de rage framissait.
De peur plus que denant ie ſus alors atteinte, Et vis meſme paſtir Pyrrhe de froide crainie.	De peur plus que denant ainsi sus alors atteinte, Et vis -même pastir Pyrrhe de froide crainie.
Il ſe veut reuancher;	Il se veut revancher;
mais il u’a le loiſir, Car l'Ours le vient an corpr de ſes pates ſaiſir, Et d'onglez & de dents forcené luy dímembre En plius de mille parts touit le corps membre à membre?	mais il aa le loisir, Car l'Ours le vient an corpr de ses pates saisir, Et d'onglez et de dents forcené lui dímembre En plius de mille parts touit le corps membre à membre?
L'angoiſſe que i'en ay me fiſt crier ſi haut, Que le cry queis fis, me reſucille en ſurſaut, Tremblant Fel frmiſſant de rille uehimence;	L'angoisse que j'en ai me fît crier si haut, Que le cri queis fis, me resucille en sursaut, Tremblant Fel frémissant de rille uehimence;
u'a peine à meraſſeir mairerniai ie cilarnes	Ju'a peine à merasseir mairerniai ici cilarnes
Lycomede.	Lycomède.
Ie nenſesbahis plus ſi cette viſion Vons agite l’eſprit de grande paſlion:	Je nensesbahis plus si cette vision Vons agite l'esprit de grande paslion:
Car ie la troune eſtrange & grandeient à craindre Et pour ce ie vouir prie, Helcnin, ſans nous ſaindre Entianla odise,aidne (a Tout ce que vruur poruez ence ſonge prlvoir Cal perte qu’ona de longne main prĺucue, 'Eſtmoindre, que venant dis tout à l'im pouriare.	Car ie la troune étrange et grande à craindre Et pour ce beau vouir prie, Helcin, sans nous saindre Entianla odise,aid (a Tout ce que vruur poruez ence songe prlvoir Cal perte qu'ona de longne main prucue, 'Estmoindre, que venant dis tout l' pouriare.
Helenin.	Hélenin.
Ce que i'ay ſi ſonuent preſagé d'autres foir An PrinceA chillichu rmntauauoia peu, Eſt encore à preſem predit plus mænifeste, Aux triſies viftons de ce ſonge funeſte.	Ce que j'ai si sonuent présagé d'autres soir An PrinceA chillichu rmntauauoia peu, Est encore à présé dit plus mænifeste, Aux trisies viftons de ce songe funeste.
Iamais il ne dencis par amonr pourſiuir source g La rebelle tabnffr ( Bibliothèque nationale de La rabelle Hermione, &y en fin la rauir:	Jamais il ne dencis par amonr poursivir source g La rebelle tabnffr ( Bibliothèque nationale de La rabelle Hermione, et en fin la ravir:
Elle eſt toute pareille à cette ourſe effrorable, Pour qui Prrrhelaiſſa cette ſerue amiable, Et Oreste reſemble à ce dangereux ours, Qui cherche à reuancher le tort de ſes anoury, Vns iour on le verra venir à l’improniſte, De la meſme façon qu’il a fait à Egiſthe, Si bien toſt on ne ſonge à y remedier, En vn tel homme il fait dangereux ſe ſier.	Elle est toute pareille à cette ourse effrorable, Pour qui Prrrhelaissa cette serve amiable, Et Oreste résemble à ce dangereux ours, Qui cherche à revancher le tort de ses anouri, Uns jour on le verra venir à l'improniste, De la même façon qu'il a fait à Égisthe, Si bien tôt on ne songe à y remédier, En un tel homme il fait dangereux se sier.
Ljcomene.	Lcomène.
Vos parolles nous ſont à merueilles obſcures.	Vos paroles nous sont à merveilles obscures.
Helenin.	Hélenin.
Et qui peus clairement voir les choſes ſutures?	Et qui pus clairement voir les choses sutures?
Didaime.	Didaime.
Neus ne comprenons rien en vos dits ambigus.	Nus ne comprenons rien en vos dits ambigus.
Helenin.	Hélenin.
Porez-les de plus prés.	Porez-les de plus près.
Did.	Did.
Ils ſeut par trep aigurs.	Ils seut par trep aigurs.
Teſeniſt.	Tésénist.
