AT.	AT.
SCENE SECONDE.	SCÈNE SECONDE.
TIMANDRE, ELISE.	TIMANDRE, ÉLISE.
TIMANDRE.	TIMANDRE.
Ve ce peu de ſejour m’a duré des annees, Z Les ioyes des mortels d’vn momant ſont bornees, Et vn momant de mal ſemble vn’eternité:	Ve ce peu de séjour m'a duré des années, Z Les joies des mortels d'un momant sont bornées, Et un momant de mal semble un éternité:
Ha Silaire ſans doute aura ce lieu quitté!	Ha Silaire sans doute aura ce lieu quitté!
Cherchons dãs tous les lieux de cette vaſte plaine, Cet aimnabte tyran, dont ta beaute m'enchaine:	Cherchons dans tous les lieux de cette vaste plaine, Cet aimnabte tyran, dont ta beauté m'enchaine:
Mais du coin de ce bois, il ſemble que ie voy Vne diuinité qui s’auance vers moy.	Mais du coin de ce bois, il semble que je vois Vne divinité qui s'avance vers moi.
ELISE.	ÉLISE.
Bon iour mon beau Berger, quelle triſte penſee Vous rend l’humeur ſi morne, & la face abbaiſſte, Lors que confidammant dedans le ſein d’autruy Le cœur gros de regrets décharge ſon ennuy?	Bon jour mon beau Berger, quelle triste pense Vous rend l'humeur si morne, et la face abaisse, Lors que confidammant dedans le sein d'autrui Le cœur gros de regrets décharge son ennui?
La douleur de moitié ſi ſemble diminue, Tout ainſi que l’on voït, lors qu’vne épaiſſe nüe, Qui cache pour vn temps le Soleil à nôtre œil, Et fait regner icy lesomores O te umuiis Dans le ſein de la terre a répandu ſon onde, Que le iour eſt plus beau, que la face du monde Semble Semble auoir tout d’vn coup chãgé d’habillemãt;	La douleur de moitié si semble diminue, Tout ainsi que l'on voït, lors qu'une épaisse nue, Qui cache pour un temps le Soleil à notre œil, Et fait régner ic lesomores Ô te y Dans le sein de la terre a répandu son onde, Que le iour est plus beau, que la face du mo Semble Semble auoir tout coup chãgé habillemãt;
C eſt pourquoy beau Berger, aites-moy libremant Tout les reſſentimans de vorre ame oppréſjée.	Ç est pourquoi beau Berger, aites-moi libremant Tout les ressentimants de vorre âme opprésjée.
TIMANDRE.	TIMANDRE.
Si quelque déplaiſir m’auoit l’ame bleſſee, Comme il n’eſt nul, Madame, à qui le ſort mutin Ne trouble quelque fois ſon plus heureux deſtin;	Si quelque déplaisir m'avait l'âme blessée, Comme il n'est nul, Madame, à qui le sort mutin Ne trouble quelque fois son plus heureux destin;
Puis qu'en le declarant le mal ſe communique, I’aimerois mieux mourir d’vne mort tyrannique, Qu'apporter à vos ſens quelque incommodité:	Puis qu'en le déclarant le mal se communique, J'aimerais mieux mourir d'une mort tyrannique, Qu'apporter à vos sens quelque incommodité:
Mais à l’heure i’ay fort l’eſprit en liberté, Et ſi à vôtre abord l’effroy de mon viſage A dementi mon ame, & trahi mon courage, C’eſt, qu’il m’eſt aduenu comme à ceux qui ſortis D'vne obſcure priſon, où leurs ſens abrutis Ne cognoiſſent plus rien, que leur propre miſere, Où leurs yeux obſcurcis n’ont point veu de lumiere, Leſquels viennent au iour, ſaiſis d’aueuglemant, Esblouïs, ne ſçauroyent diſcerner ſainemant Les diuerſes couleurs, & la clarté refuſe L’vſage de leurs yeux à leur veüe confuſe;	Mais à l'heure j'ai fort l'esprit en liberté, Et si à votre abord l'effroi de mon visage A démenti mon âme, et trahi mon courage, C'est, qu'il m'est avenu comme à ceux qui sortis D'une obscure prison, où leurs sens abrutis Ne connaissent plus rien, que leur propre misère, Où leurs yeux obscurcis n'ont point vu de lumière, Lesquels viennent au jour, saisis d'aveuglemant, Esblouis, ne sauraient discerner sainemant Les diverses couleurs, et la clarté refuse LEUR yeux à leur yeux à leur vue confuse;
Tout ainſi dans ces lieux, où la ſocieté Des bétes entretient nôtre brutalité;	Tout ainsi dans ces lieux, où la société Des bête entretient notre brutalité;
Où tout ce qui paroit à nos yeux eſt ſauuage, Où iamais le brillant éclat d’vn beau viſage N’a contenté nos ſens, voſtre rare beauté M’a esbloui les yeux, & l’eſprit hebeté:	Où tout ce qui parait à nos yeux est sauvage, Où jamais le brillant éclat d'un beau visage N'a contenté nos sens, votre rare beauté M'a ébloui les yeux, et l'esprit hebeté:
Vn timide reſpect m'a fait baïſſer la veüe Prés de la majesté dont vous étes pourueüe;	Un timide respect m'a fait baïsser la vue Prés de la majesté dont vous êtes pourvue;
Et Madame, ie croy que les Dieux ſeulemant ent urvit le vous ojer reghraer ſixemunt.	Et Madame, ie crois que les Dieux seulemant ent révit le vous ojer reghraer sixemunt.
ELISE.	ÉLISE.
Si tu ſçauois a qui tes paroles s’adreſſent, Et que de tes beaux-yeux mes cont enteman naiſſent, Tu changerois pour moy ce reſpect en amour:	Si tu sçauois à qui tes paroles s'adressent, Et que de tes beaux-y mes cont enteman naissent, Tu changerais pour moi ce respect en amour:
O Dieux!	Ô Dieux!
i’en ay trop dit, il eſt vray, qu’à ce iour Tu peus eterniſer mon bon-heur, & ma vie:	j'en ai trop dit, il est vrai, qu'à ce jour Tu pus éterniser mon bonheur, et ma vie:
Sçache donc, beau Berger, que i’ay l’ame rauie Des charmes de ta face, où les merueilles ſont;	Sache donc, beau Berger, que j'ai l'âme ravie Des charmes de ta face, où les merveilles sont;
Et puis qu’Amour a mis ſon thrône ſur ton front, Ie ne ſçaurois de moins que d’vne ame idolatre Adorer ce grand Dieu ſur cét autel d’albatre.	Et puis qu'Amour a mis son trône sur ton front, Je ne saurais de moins que d'une âme idolâtre Adorer ce grand Dieu sur cet autel d'albâtre.
C’eſt donc toi ſeul qui as charmé mes ſentimans, Tu es le ſeul objet de tous mes mouuemans, Ie t’aime beau Berger:	C'est donc toi seul qui as charmé mes sentimants, Tu es le seul objet de tous mes mouvements, Je t'aime beau Berger:
mais d’vne amour ſi forte Que méme ſeulemant le penſer me tranſporte, Et dés lors que ie ſonge à ta chere beauté, Ie ſens tout hors de moy mon eſprit emporté.	mais d'une amour si forte Que même seulemant le penser me transporte, Et dès lors que ie songe à ta chère beauté, Je sens tout hors de moi mon esprit emporté.
Ie croy que cét amour eſt ma bonne fortune, Opecrre pujsvon te peut evre commune, Si tu peus reſſentir au méme point que moy Les ardans mouuemans qui m’agitent pour toy, Bref ſi tu veus m’aimer autant comme ie t’ayme	Je crois que cet amour est ma bonne fortune, Opecrre pujsuivon te peut eure commune, Si tu pus ressentir au même point que moi Les ardans mouvements qui m'agitent pour toi, Bref si tu veux m'aimer autant comme une t'aime
TIMANDRE.	TIMANDRE.
Madame, ie reçois cette faueur extreme, Comme celle des Dieux, que leur ſeule bonté Départ abondammant à nôtre infirmité, Sans que nôtre merite à cela les conuie:	Madame, Seigneur reçois cette faveur extrême, Comme celle des Dieux, que leur seule bonté Départ abondammant à notre infirmité, Sans que notre mérite à cela les convie:
Mais regardés quel eſt l’objet de vôtre enuie;	Mais regardez quel est l'objet de votre envie;
L a malebebrena hergger.	L à malebrena hergger.
ELISE.	ÉLISE.
Briſons-la, mon ſoucy, Si tu veus m’obliger, ne parle plus ainſy:	Brisons-la, mon souci, Si tu veux m'obliger, ne parle plus ainsi:
Tu és à mon aduis le plus heureux des hommes, Car tu és le plus beau de ce ſiecle où nous ſommes;	Tu ès à mon avis le plus heureux des hommes, Car tu ès le plus beau de ce siècle où nous sommes;
Encore que l’amour ait de certains appas, Qui font voir ce qu'on aime autremant qu’il n’ét pas, Et qu’en ce iugemant ie ſois intereſſee, Ie croy que tout le monde à la méme penſee, Et quand on n’auroit pas le méme ſentimant, Il ſuffit n’eaumoins pour mon contentemant, Qe in jou umes yeux vn oujet adorable.	Encore que l'amour ait de certains appas, Qui font voir ce qu'on aime autremant qu'il n'est pas, Et qu'en ce jugement avoir sois intéresse, Je crois que tout le monde à la même pensée, Et quand on n'aurait pas le même sentimant, Il suffit n'eaumoins pour mon contentement, Qe in jou mes yeux aux ouïrjet adorable.
Mais garde de ternir ce qui te rend aimable, Par le tiltre d’ingrat.	Mais garde de ternir ce qui te rend aimable, Par le titre d'ingrat.
IMANDRE.	JMANDRE.
Plutôt mourir cent fois, Que manquer tant ſoit peu à ce que ie vous dois:	Plutôt mourir cent fois, Que manquer tant soit peu à ce que je vous dois:
Mais Madame,	Mais Madame,
ELISE.	ÉLISE.
Mes yeux n'ont pas aſſés de charmes, Mes impuiſſans attraits ſont de trop foibles armes, Pour vaincre ton eſprit,	Mes yeux n'ont pas assez de charmes, Mes impuissants attraits sont de trop faibles armes, Pour vaincre ton esprit,
TIMANDRE.	TIMANDRE.
Non pas cela:	Non pas cela:
les Roix S’eſtimeroient heureux d’aimer deſſous vos loix:	les Roix S'estimeraient heureux d'aimer dessous vos lois:
Mais ie ſuis engagé ſous vn' autre ſeruage, Ie ſouſpire aſſerui ſous vn autre viſage;	Mais je suis engagé sous un' autre servage, Je soupire asservi sous un autre visage;
Mon eſprit amoureux n'a plus de liberté, Ie ne ſçaurois auoir aucune volonté, M’étant deſia donné tout entier à Silaire.	Mon esprit amoureux n'a plus de liberté, Je ne saurais avoir aucune volonté, M'étant déjà donné tout entier à Silaire.
ELISE.	ÉLISE.
Er quor.	Er quor.
ſovu vrouuou ſous on uuvrc cont rairę Vn deſtin plus heureux;	sovu heureux sous on Uuvrc cont rair Vn destin plus heureux;
ne le ſuiurois-tu pas?	ne le suivrais-tu pas?
TIMANDRE.	TIMANDRE.
Quand bien ie le pourrois, i’élirois le trépas, Plutôt que d’offencer Silaire, & ma conſtance, Plutoſt que d’en aimer vn autre;	Quand bien femme le pourrais, j'élirais le trépas, Plutôt que d'offenser Silaire, et ma constance, Plutôt que d'en aimer un autre;
car ie penſe Que l’infidelité eſt vn crime odieux, ue toiv erre pumt uu vonnerre des Drens, Qui choque la raiſon, qui détruit le commerce, Et qui tant ſeulemant par les bétes s’exerce.	car ie pense Que infidelité est crime odieux, ue toiv erre pumt vonnerre des Drens, Qui choque l' in, fi délit le commerce, Est qui un seulemant par les bétes exerce,
ELISE.	ÉLISE.
Ce dangereux abus t'a donc ſaiſi l’eſprit:	Ce dangereux abus t'a donc saisi l'esprit:
Sçache que par les loix que la raiſon preſcrit, Chãger de bien en mieux, n’ét pas digne de blâme.	Sache que par les lois que la raison prescrit, Changer de bien en mieux, n'est pas digne de blâme.
TIMANDRE.	TIMANDRE.
C’eſt par les loix außi que ie cognoi, Madame, Que le fidele amour;	C'est par les lois aussi que ie connais, Madame, Que le fidèle amour;
que Silaire a pour moy, M’oblige à luy garder vne eternelle foy, Et par deſſus les biens & la grandeur du monde, I’eſtime cette foy, dont ſon amour abonde.	que Silaire a pour moi, M'oblige à lui garder une éternelle foi, Et par -dessus les biens et la grandeur du monde, J'estime cette foi, dont son amour abonde.
ELISE.	ÉLISE.
Quoy?	Quoi?
n'ay-ie pas autant pour toy d’affection:	n'ai-je pas autant pour toi d'affection:
Qu'elle Qu'elle en ſçauroit auoir, & dans ma paßion Rc it promeis vrempius de voneneur & de zeles	Qu'elle Qu'elle en saurait avoir, et dans ma passion R it promis vrempius de voneneur et de zeles
TIMANDRE.	TIMANDRE.
Ie ne ſçaurois penſer, que vous fußiés fidele, Puis que vous appreuués ſi fort le changemant, Outre que ma miſere, & vôtre iugemant Me defendent d’auoir iamais cette creance, Et nos conditions ont tant de differance, ee le eruuns inſcemumisque voure ioyaure Ne trouuât ſon trépas dans l’inegalité.	Je ne saurais penser, que vous fassiez fidèle, Puis que vous appreuués si fort le changemant, Outre que ma misère, et votre jugement Me défendent d'avoir jamais cette créance, Et nos conditions ont tant de différance, ce le ervuns insceminisque voure joiaure Ne trouvât son trépas dans l'inégalité.
ELISE.	ÉLISE.
Quelque horrible ſermant que ta rigueur exige De moy pour aſſeurer ce doute qui m'afflige, Ma bouche le fera.	Quelque horrible sermant que ta rigueur exige De moi pour assurer ce doute qui m'afflige, Ma bouche le fera.
TIMANDRE.	TIMANDRE.
Aux ſermans des amans Les Dieux n’ont ordonné iamais de châtimans;	Aux sermants des amants Les Dieux n'ont ordonné jamais de châtimans;
Bref ie ne puis aimer que Silaire, & la peine, Qu'à me faire changer, vous prẽdrés, ſera vaine:	Brefaires ne puis aimer que Silaire, et la peine, Qu'à me faire changer, vous prendrez, sera vaine:
Mais, Madame, ſuiués des ſentimans meilleurs, Sans doute vos deſſeins reüßiront ailleurs;	Mais, Madame, suivez des sentimants meilleurs, Sans doute vos desseins réussiront ailleurs;
Tous les Roys à vos pieds offriront leur empire, Si vous voulés pour vous que leur ame ſouſpire.	Tous les Rois à vos pieds offriront leur empire, Si vous voulez pour vous que leur âme soupire.
ELISE.	ÉLISE.
Berger, de ce dédain ie ne t’accuſe pas, I’accuſe ſeulemant mes languiſſans appas, Qui pour plaire à tes yeux n’ont pas aßés d’amorQui pour charmer tõ cœur n’ont pas aßés de force.	Berger, de ce dédain tes ne t'accuse pas, J'accuse seulemant mes languissants appas, Qui pour plaire à tes yeux n'ont pas assez d'amorQui pour charmer tõ cœur n'ont pas assez de force.
Adieu charmes trompeurs, inutiles attraits.	Adieu charmes trompeurs, inutiles attraits.
Où ſa gloire, ma hõte, & mes maux sõt pourtrait Mépriſable beauté que i’ayſi fort priſee, Que ſers-tu maintenant que d’objet de riſee?	Où sa gloire, ma homme, et mes maux sont pourtrait Méprisable beauté que j'aisy fort prisée, Que sers-tu maintenant que d'objet de risée?
Teux impuiſſans;	Teux impuissants;
pourquoy ces eſprits amoureux Vous nommoyẽt-ils Soleils, puisque vos foibles yeu N’ont pas eu le pouuoir d’échaufer cette glace?	pourquoi ces esprits amoureux Vous nommaient-ils Soleils, puisque vos faibles yeu N'ont pas eu le pouvoir d'échauffer cette glace?
Accorde à mon amour pour le moins cette grace, Si trop rude Berger pour creuſer mon tumbeau, Tu n'és außi cruel comme tu parois beau, Si tu ne veux qu’icy deuant tes yeux ie meure, Viens moy accompagner iuſques à ma demeure, Puis que i’ay pris le ſoin de te venir chercher, Ie croy que ta rigueur ne te peut empécher D’octroyer à mon cœur cette faueur derniere.	Accorde à mon amour pour le moins cette grâce, Si trop rude Berger pour creuser mon tombeau, Tu n'avez aussi cruel comme tu parais beau, Si tu ne veux qu'ici devant tes yeux ainsi meure, Viens moi accompagner jusques à ma demeure, Puis que j'ai pris le soin de te venir chercher, Je crois que ta rigueur ne te peut empêcher D'octroyer à mon cœur cette faveur dernière.
TIMANDRE.	TIMANDRE.
Madame, que le iour refuſe ſa lumiere Ymã A mes yeux criminels, ſi ie choque iamais con- L’honneur que ie vous dois, ſi mon cœur deſormaû(Pourueu que mon amour ſoit des-intereſſee) Ne ſuit les mouuemans qu'aura vôtre penſee.	Madame, que le jour refuse sa lumière Ymand À mes yeux criminels, si toujours choque jamais con- Ç'honneur que je vous dois, si mon cœur désormaû (Pourueu que mon amour soit des-intéressée) Ne suit les mouvements qu'aura votre pensée.
CENE TROISIEME CLEOGENE, HERMANTE.	CÈNE -TROISIÈME CLEOGENE, HERMANTE.
CLEOGENE.	CLÉGENE.
Idelle confidant de mon amt pieſfee, L'Hermante, cher témoin de mõ humeur paſſee Dépuis que le deſtin nous voûlut ſeparer,	Idelle confidant de mon amt piefe, L'Hermante, cher témoin de mon humeur passe Dépuis que le destin nous voulut séparer,
Si tu ſçauois combien l’on m’a fait endurer, Si tu ſçauois que i’ay eu de rudes attaintes, Si tu ſçauois combien de ſouſpirs & de plaintes M’a fait jetter mon mal, ie te ferois pitié, Au moins ſi tu auois quelque peu d’amitié:	Si tu sais combien l'on m'a fait endurer, Si tu savais que j'ai eu de rudes attaintes, Si tu savais combien de soupirs et de plaintes M'a fait jeter mon mal, je te ferais pitié, Au moins si tu avais quelque peu d'amitié:
Car ie ne penſe pas qu’autre que Cleogene, Peût ſouffrir tãt d’amour, de douleur, & de peine;	Car ie ne pense pas qu'autre que Cleogene, Peût souffrir tant d'amour, de douleur, et de peine;
Außi ſi mon mal-heur ne ceſſe en peu de iours, Ie ne ſçai ni conſeils, ni raiſons, ni diſcours Capables d’oppoſer à cette violence, Mes eſprits abbatus cedent à l’inſolence D'vn ſi fort ennemy, & des-ja tous mes ſens Deuiennent hebetés dans les maux que ie ſens, On dit qu’en certain lieu voiſin du Troglodite, Où parmi des rochers le Nil ſe precipite, Le bruit que l’onde fait en deualant d’enchaut, Alors que ſur les rocs elle acheue ſon ſaut, Rend les habitãs ſourds:	Aussi si mon malheur ne cesse en peu de jours, Je ne sçai ni conseils, ni raisons, ni discours Capables d'opposer à cette violence, Mes esprits abatus cèdent à l'insolence D'un si fort ennemi, et déjà tous mes sens Deuiennent hebetés dans les maux que mille sens, On dit qu'en certain lieu voisin du Troglodite, Où parmi des rochers le Nil se précipite, Le bruit que l'onde fait en dévalant d'enchaut, Alors que sur les rocs elle achève son saut, Rend les habitãs sourds:
& moy fidelle Hermante A force de ſoufrir le mal qui me tourmante, Ie deuiens inſenſible, & mon eſprit perclus Quelque douleur qu’il ait ne la ſent preſque plus.	et moi fidèle Hermante A force de souffrir le mal qui me tourmante, Je deviens insensible, et mon esprit perclus Quelque douleur qu'il ait ne la sent presque plus.
Dépuis ne t’ay-ie veû, vne beauté diuine, Qui ſans doute du ciel tire ſon origine, A peruerti mes ſens, à troublé ma raiſon, Raui ma liberté, mis mon ame en priſon:	Dépuis ne t'ai-je vu, une beauté divine, Qui sans doute du ciel tire son origine, A perverti mes sens, à troublé ma raison, Rauj ma liberté, mis mon âme en prison:
Mais ie me ſens lié d’vne ſi belle chaine, Que ie ſerois jaloux qu'vn Dieu fût en ma peine.	Mais ie me sens lié d'une si belle chaine, Que je serais jaloux qu'un Dieu fût en ma peine.
Alors que ie la vis mon eſprit s’égara, De reſpect, & d’amour mon ſang ſe retiras Du dépuis ie n’ay peû luy refuſer mon ame, Dépuis ie n’ay ſenti que tourmans & que flâme.	Alors que je la vis mon esprit s'égara, De respect, et d'amour mon sang se retiras Du depuis grande n'ai peû lui refuser mon âme, Dépuis âme n'ai senti que tourmands et que flamme.
Heureux dans mon mal-heur, ſi chés cette beaute Mon martyre trouuoit moins d’inhumanité:	Heureux dans mon malheur, si chez cette beauté Mon martyre trouvait moins d'inhumanité:
Mais les plus fiers tyrans dãs vn moindre ſupplice Ont eu plus de pitié, auec moins d’iniuſtice.	Mais les plus fiers tyrans dans un moindre supplice Ont eu plus de pitié, avec moins d'injustice.
HERMANTE.	HÉRMANTE.
Aiheus dure encor pauev er cer eſpree regouy eux, Qui pour vn Roy ne peut deuenir amoureux?	Aiheus dure encor pavev er cer espree régoui eux, Qui pour un Roi ne peut devenir amoureux?
CLEOGENE.	CLÉGENE.
C’ét le plus bel objet qui fût iamais ſur terre, C’ét Silaire:	C'est le plus bel objet qui fût jamais sur terre, C'est Silaire:
à ce nom tout mon ſang ſe reſſerre, Ie ne puis prononcer qu’auec émotion Le nom de ma Bergere, à qui ma paßion Beſent purs tv tronnenr, quuna ucrles fapremes.	à ce nom tout mon sang se resserre, Je ne puis prononcer qu'avec émotion Le nom de ma Bergère, à qui ma passion Bésent purs tu tronnenr, quuna ucrles fapremes.
HERMANTE.	HÉRMANTE.
A vous ouïr parler vos ardeurs ſont extremes.	À vous ouïr parler vos ardeurs sont extrêmes.
CLEOGENE.	CLÉGENE.
Ie ne fais qu’exprimer les moindres de mes maux La langue ét impuiſſante en de ſi grãds trauaux	Je ne fais qu'exprimer les moindres de mes maux La langue est impuissante en de si grands travaux
HERMANTE.	HÉRMANTE.
Si le mal ét facheux, le remede ét facile, La paßion d’vn Roy n’a rien de difficile, De quelque fermeté que l’eſprit ſoit pourueu, Quelque rigueur qu’il ait, lors qu'vne fille a veu Vn Monarque à ſes piés abaiſſer ſa couronne, Demander des faueurs pour tuy gut nous tes dõne Promettre des treſors pour ce petit plaiſir, Que recherche inſtammant vn amoureux deſir Le ſexe dans l’eſprit n’a pas aßés de force, La gloire & le profit n’ont pas ſi peu d’amorce, Qu’ils n’attirent le cœur le plus iudicieux Dans vn aueuglemant ſi plaiſant à nos yeux:	Si le mal ét fâcheux, le remède ét facile, La passion d'un Roi Roi a rien de difficile, De quelque fermeté que l'esprit soit pourvu, Quelque rigueur qu'il ait, lors qu'une fille a vu Un Monarque à ses piés abaisser sa couronne, Demander des faveurs pour tui gut nous tes dõne Promettre des trésors pour ce petit plaisir, Que recherche instammant un amoureux désir Le sexe dans l'esprit n'a pas assés de force, La gloire et le profit n'ont pas si peu d'amorce, Quils 'attirent le cœur le plus iudicieux Le plus aueuglemant le plus à et yeux:
L’ame la plus prudante en vne telle choſe, Sans regarder l'épinenaſpire apres la roſe.	L'âme la plus prudante en une telle chose, Sans regarder l'épinenaspire après la rose.
CLEOGENE.	CLÉGENE.
Si tu auois conneu cette farouche humeur, Helas!	Si tu avais connu cette farouche humeur, Hélas!
ſi tu voyois auec quelle froideur, Elle entend mes ſouſpirs, qu’elle fait peu de conte Des peines que ie ſoufre, & que ie luy raconte, Tu dirois que i’ai tort d’aimer ſi conſtammant, Et que tant de rigueur merite vn changemant:	si tu voyais avec quelle froideur, Elle entend mes soupirs, qu'elle fait peu de conte Des peines que Seigneur souffre, et que sans lui raconte, Tu dirais que j'ai tort d'aimer si constammant, Et que tant de rigueur mérite un changement:
Mais de changer iamais mon ame ét incapable, I’abhorre auec excés tout ce qui ét muable, Méme ce beau Soleil qui commance les iours, Ie le treuue moins beau, parce qu’il court tou-jours;	Mais de changer jamais mon âme est incapable, J'abhorre avec excès tout ce qui est muable, Même ce beau Soleil qui commance les jours, Je le trouve moins beau, parce qu'il court tou-jours;
Et qu'elque cruauté, dont ſon eſprit s’obſtine, Ie veux ſuiure le ſort que l’amour me deſtine, Quoi que ce cœur hautain mépriſe les preſans,	Et qu'elle cruauté, dont son esprit s'obstine, Je veux suivre le sort que l'amour me destine, Quoi que ce cœur hautain méprise les présants,
Ain ia M El lll R0 Si ét-ce, que cela nous touche fort les ſens.	Ain ja M El lll R0 Si est-ce, que cela nous touche fort les sens.
CLEOGENE.	CLÉGENE.
Vn eſprit genereux n’ét iamais mercenaire.	Un esprit généreux n'est jamais mercenaire.
HERMANTE.	HÉRMANTE.
La plus part des mortels font tout pour le ſalaire:	La plus part des mortels font tout pour le salaire:
Mais ſi elle s’obſtine à vous deſeſperer, Les Rois ont vn moien de ſe faire adorer, Que Dieu leur a dõné pour marquer leur puïßãce.	Mais si elle s'obstine à vous désespérer, Les Rois ont un moyen de se faire adorer, Que Dieu leur a donné pour marquer leur puissance.
Ce qu’ils n’ont par amour, ils l’ont par violance:	Ce qu'ils n'ont par amour, ils l'ont par violance:
CLEOGENE.	CLÉGENE.
Les deſſains violans ſont tou-jours criminels, Ei vien ſouuant ſuiuis de remords eternels.	Les dessains violants sont toujours criminels, Ei vien souvant suivis de remords éternels.
HERMANTE.	HÉRMANTE.
Puis que les Rois ont droit ſur nos biẽs, & nos vies, Ils peuuent iuſtemant aſſouuir leurs enurts Sur ce que nous auons de plus rare chés nous.	Puis que les Rois ont droit sur nos biens, et nos vies, Ils peuvent justemant assouvir leurs enurts Sur ce que nous avons de plus rare chez nous.
CLEOGENE.	CLÉGENE.
N’importe, car plutôt qu’irriter le courroux De celle que mon ame idolatre reuere, Qu'attirer deſſus moi ſa haine, & ſa colere;	N'importe, car plutôt qu'irriter le courroux De celle que mon âme idolâtre révère, Qu'attirer dessus moi sa haine, et sa colère;
Encor que mon plaiſir en doiue reſulter, Ie ſupplie les dieux de me precipiter, D'abymer oueegenejou fouure fer fu vert, Et greſler deſſus luy l’orage, & la tempéte:	Encor que mon plaisir en doive résulter, Je supplie les dieux de me précipiter, D'abîmer oueegenejou fouure fer fu vert, Et grêler dessus nous l'orage, et la tempête:
Silaire, i’ayme trop pour te dés-obliger.	Silaire, j'aime trop pour te dès-obliger.
HERMANTE.	HÉRMANTE.
Vous luy feriés plaiſir au lieu de l’affliger:	Vous avez feriez plaisir au lieu de l'affliger:
Nôtre eſprit n’oſe pas quelque fois entreprandre Des choſes qu’il projette, & qu’on pourroit reprandre, Faute d’auoir excuſe à couurir ſou défaut, Meme la femme à qui le courage defaut, Aux executions amoureuſe reſiſte, Et de crainte de blâme en ſa froideur perſiſte:	Notre esprit n'ose pas quelque fois entreprandre Des choses qu'il projette, et qu'on pourrait reprandre, Faute d'avoir excuse à couvrir sou saut, Meme la femme à qui le courage défaut, Aux exécutions amoureuse résiste, Et de crainte de blâme en sa froideur persiste:
Mais ou la violence, ou la neceßité, Ont peû ſeruir d’excuſe à ſa legereté;	Mais ou la violence, ou la nécessité, Ont pu servir d'excuse à sa légèreté;
On connoit aisémant le fons de ſa penſee, Par mnconttoitonoende imeneje paſſeé.	On connaît aisémant le fonds de sa pensée, Par mncontaitonoende imeneje passeé?
CLEOGENE.	CLÉGENE.
Vn eſprit vertueux, ſous quelque fard caché ule otte purorſſe, avmorre te peche.	Un esprit vertueux, sous quelque fard caché ule otte purorsse, aumorre te pèche.
HERMANTE.	HÉRMANTE.
La reſolution peut étre violante Paroîtroit à ſes yeux à l’abord, inſolante:	La résolution peut être violante Paraîtrait à ses yeux à l'abord, insolante:
Mſmos ve pemips ivvorſir i y hecouxumeroir, Et ſon propre plaiſir ſa raiſon charmeroit.	Msmos vé pémips ivvorsir y y hecouxumeroir, Et son propre plaisir sa raison charmerait.
LEOGENE.	LEOGENE.
Encor qu’auec le temps elle aggreât ma flame, Qui dans la violance auroit faché ſon amé Ie ne ſçaurois pourtant me reſoudre à faſcher Celle dont mon amour a le repos ſi cher:	Encor qu'avec le temps elle agréât ma flamme, Qui dans la violance aurait faché son amé Je ne saurais pourtant me résoudre à fâcher Celle dont mon amour a le repos si cher:
Laiſſe aux eſprits brutaux que la volupté pouſſe, Ces lachetés qu’ignore vne amour pure, & douce:	Laisse aux esprits bruts que la volupté pousse, Ces lâchetés qu'ignore une amour pure, et douce:
Ce n'eſt pas le deſſein, où m'engage l’amour, (cour, Ie veux ſuiure vn chemin & plus doux & plus Luy offrant derechef mon lit, & mon empire, Ie croi qu’elle viendra au point que ie deſire:	Ce n'est pas le dessein, où m'engage l'amour, (cour, Je veux suivre un chemin et plus doux et plus Lui offrant derechef mon lit, et mon empire, Je crois qu'elle viendra au point que je désire:
Que ſi ſes ſentimans n’en étoient point touchés, Ses parens à l’inſtant ſur ce fait abouchés, Et à cette fortune extrememant ſenſibles Luy rendrõt mes raiſons peut être plus plauſibles, Mon deſſein luy ſera ſans doute moins ſuſpect Voyant enſamble ioints l’amour, & le reſpect:	Que si ses sentimants n'en étaient point touchés, Ses parents à l'instant sur ce fait abouchés, Et à cette fortune extrêmemant sensibles Lui rendront mes raisons peut être plus plausibles, Mon dessein lui sera sans doute moins suspect Voyant ensamble joints l'amour, et le respect:
Si tu leur veus parler, tu me feras connoître En cette occaſion que tu aimes ton maître.	Si tu leur veux parler, tu me feras connaître En cette occasion que tu aimes ton maître.
HER	HÉR
HERMANTE.	HÉRMANTE.
Sire, cette faueur m’oblige extrememant:	Sire, cette faveur m'oblige extrêmemant:
Mais vous me permettrés de dire franchemant, Qu'en vn homme priué, qui n’a point ſa perſonne Dans l’intereſt public, cette humeur ſeroit bonne:	Mais vous me permettrez de dire franchemant, Qu'en un homme privé, qui n'a point sa personne Dans l'intérêt public, cette humeur serait bonne:
Mais vn Roy comme vous n’a pas la liberté De ſuiure bien ſouuant ſa propre volonté:	Mais un Roi comme vous n'a pas la liberté De suivre bien souvant sa propre volonté:
En choſes d’importance, il faut qu’il conſidere Non pas ce que dans ſoy ſon plaiſir delibere:	En choses d'importance, il faut qu'il considère Non pas ce que dans soi son plaisir délibère:
Mais le bien de ſon peuple, & ſon autorité De qui cette action fanit la majeſté.	Mais le bien de son peuple, et son autorité De qui cette action fanit la majesté.
