JOLIENNE, ia ſemme.	JOLIENNE, ja semme.
mnangueme sM taut jouer de notre reſte:	ménangueme sM taut jouer de notre reste:
alL lons, bonne meine & mauvais jeu.	alL lons, bonne mène et mauvais jeu.
LEPINE.	LEPINE.
Hé!	Hé!
parbleu, voilà le Meûnier qui revient de Nemours;	parbleu, voilà le Meûnier qui revient de Nemours;
il lui a pris quelque remords de confcience, apparemment.	il lui a pris quelque remords de conscience, apparemment.
JULIEN.	JULIEN.
Je vians prendre congé de mon ancien ménage, & je tacſerai d’enporter de ſti-ci de quoi commencer à tenir le nouviau.	Je viants prendre congé de mon ancien ménage, et je tacserai d'enporter de sti-cy de quoi commencer à tenir le nouviau.
Quand on n’eſt pas bian d’un côté, il n’y a pas de mal à ſe torner de l'autre.	Quand on n'est pas bian d'un côté, il n'y a pas de mal à se torner de l'autre.
.	.
7 LEPINE.	7 LEPINE.
Serviteur à Monſieur.	Serviteur à Monsieur.
Julien.	Julien.
LIEMI.	LIEMI.
A.	A.
Ah!	Ah!
votro valet, Monſieur de Lépeine.	votro valet, Monsieur de Lépeine.
LEPINE.	LEPINE.
Hé, d’où diantre venez-vous donc t	Hé, d'où diantre venez-vous donc t
JULIEN.	JULIEN.
Je vians de voyager;	Je viants de voyager;
le monde eſt bian grand,	le monde est bian grand,
LEPINE.	LEPINE.
Oui vraiment, & vous aimez foit à voyages, vous, Monſieur Julien.	Oui vraiment, et vous aimez soit à voyages, vous, Monsieur Julien.
JU LIEN.	JU LIEN.
Drès que Julianne & moi j’avons queuque grabuge, je me divartis à ça, c’eſt ma couteume:	Drès que Julianne et moi j'avons queuque grabuge, je me divartis à ça, c'est ma couteume:
Tâtigué que de Villes & de Villages!	Tâtigué que de Villes et de Villages!
& ſi parmi tout ça charchez-moi une bonne femme, vous n’en trouverez morgué pas tant ſeulement la queue d’une.	et si parmi tout ça charchez-moi une bonne femme, vous n'en trouverez morgué pas tant seulement la queue d'une.
LEPINE.	LEPINE.
Vous êtes prévenu contre le ſexe, Monſieur Junen:	Vous êtes prévenu contre le sexe, Monsieur Junen:
jar pourtant ourdne qu'a Iscmours i’y avoic d’aſſez bonne pâte de filles, & qui promettoient.	jar pourtant ourdne qu'a Iscmours j'y avoive d'assez bonne pâte de filles, et qui promettaient.
J'ULIEN, à part.	J'ULIEN, à part.
A Nemours?	À Nemours?
ce drôle-là eſt ſorcier, ou bian la mêche eſt découvarte.	ce drôle-là est sorcier, ou bian la mêche est découvarte.
Faiſons bonne contenanee.	Faisons bonne contenance.
LEPINE.	LEPINE.
Vous y avez paſſé à Nemours:	Vous y avez passé à Nemours:
LULIEN.	LÙLIEN.
Oui, mais je n'y ai paſſé qu’en paſſant.	Oui, mais je n'y ai passé qu'en passant.
Comment ſe porte Juliane, Monſieur de Lépeine;	Comment se porte Juliane, Monsieur de Lépeine;
j'aime toujours cette maſque-la, queuque chagrin qu’alle me baille.	j'aime toujours cette masque-la, queuque chagrin qu'alleu me baille.
J’avons à cout bout de champ maille à partir enſemble;	J'avons à coût bout de champ maille à partir ensemble;
& velà dejà la troiſié me fois qu’alle me Iant delater la monom.	et velà déjà la troisié me fois qu'allé me Iant délater la monom.
LEPINE.	LEPINE.
Et vous déſertez toujours du côté de Nemours,, Monſieur Julien ?	Et vous dèsertez toujours du côté de Nemours, Monsieur Julien ?
JULIEN, à part.	JULIEN, à part.
Il a morgué queuque ſoupçon de l’affaire.	Il a morgué queuque soupçon de l'affaire.
LEPINE.	LEPINE.
Vous avez un grand foible pour cette Ville-là, Monſieur Julien.	Vous avez un grand faible pour cette Ville-là, Monsieur Julien.
JULIEN.	JULIEN.
Et vous itou, Monſieur de Lépeine, vous en parlez ſouvent:	Et vous itou, Monsieur de Lépeine, vous en parlez souvent:
y auriais-vous queuque connoiſſancez	y auriais-vous queuque connaissancez
D A M lin Mo Si j'y en ai?	À M M lin Mo Si j'y en ai?
J'y ai été Rat de Cave.	J'y ai été Rat de Cave.
J.	J.
ULIEN, à part.	ULIEN, à part.
Rat de Cave?	Rat de Cave?
Il ſe gauſſe pargué de moi.	Il se gausse pargué de moi.
LEPINE.	LEPINE.
Il y avoit dans ce tems-là une jolie fille dans une certaine hôtellerie, là;	Il y avait dans ce temps-là une jolie fille dans une certaine hôtellerie, là;
comment appellezvous?	comment appellezvous?
aidez-moi à dire.	aidez-moi à dire.
LULIEN.	LÙLIEN.
La fille de-’Ecu4	La fille de t'Écu4
LEPINE.	LEPINE.
Oui, juſtement, la fille de l'Ecu.	Oui, justement, la fille de l'Écu.
VULIEN, à part.	VULIEN, à part.
Ce drole-là me vout faire parler:	Ce drôle-là me vout faire parler:
défions-nous de ly.	défions-nous de li.
LEPINE.	LEPINE.
Elle s’appelle, je penſe, Mademoiſelle.	Elle s'appelle, je pense, Mademoiselle.
j'aurai oublié ſon nom, Mademoiſelle.	j'aurai oublié son nom, Mademoiselle.
Mademoiſelle.	Mademoiselle.
ULIEN.	ULIEN.
Mademoiſelle Margot.	Mademoiselle Margot.
LEPINE.	LEPINE.
Là voilà, Mademoiſelle Margot de l’Ecu, c’eſt elle-même.	Là voilà, Mademoiselle Margot de l'Écu, c'est elle-même.
JULIEN, à part.	JULIEN, à part.
Il me tire morgué les vars du nez;	Il me tire morgué les vars du nez;
baillons-nous de garde.	baillons-nous de garde.
LEPINE.	LEPINE.
C'étoit une aimable perſonne dans le tems que je l'aivûe.	C'était une aimable personne dans le temps que je l'aivue.
JULIEN.	JULIEN.
On.	On.
paiguemne, de reit pius que jamais:	paiguemne, de reit pius que jamais:
li vous la voyais, c’eſt un petit charme.	li vous la voyais, c'est un petit charme.
LEPINE.	LEPINE.
Ah!	Ah!
que j'ai été vivement amour eux d’elle, Mon ſieur Julien!	que j'ai été vivement amour eux d'elle, Mon eur Julien!
Dud Pas tant que moi, je gage;	Dud Pas tant que moi, je gage;
j’en pars l’eſprit, pie qu’il faut vous le dire.	j'en pars l'esprit, pie qu'il faut vous le dire.
LÉPINE.	LÉPINE.
Qui vraiment!	Qui vraiment!
Je vous en félieite.	Je vous en félieite.
Voilà donc la cauſe de vos fréquentes promenades, Monſieur Julien?	Voilà donc la cause de vos fréquentes promenades, Monsieur Julien?
DGEIAN;	DGEIAN;
aspurte Morgué, je jaſe trop:	aspurte Morgué, je jase trop:
mais je ne ſçaurois m’on tenir.	mais je ne saurais m'on tenir.
LEPTNE.	LEPTNE.
Et ſi Madame dulienne vient à içavoir.	Et si Madame dulienne vient à içavoir.
JULIEN.	JULIEN.
Oh!	Oh!
palſangué, ne Iy en parlez pas;	palsangué, ne Ii en parlez pas;
ne me jouez pas ce tour-là, Monſieur de Lépeine.	ne me jouez pas ce tour-là, Monsieur de Lépeine.
L'EPINE.	L'ÉPINE.
Promettez-moi done de ne vous plus oppoſer au mariage de mon maître avec votre niéce, & je vous promets, moi, de vous garder le ſecret.	Promettez-moi done de ne vous plus opposer au mariage de mon maître avec votre nièce, et je vous promets, moi, de vous garder le secret.
JULIEN.	JULIEN.
Pargué, de tout mon cœur.	Pargué, de tout mon cœur.
Touchez-là, voilà qui eſt fait, je baille ma parole:	Touchez-là, voilà qui est fait, je baille ma parole:
mais motus au moins.	mais motus au moins.
LEPINE.	LEPINE.
Je vous répons de moi.	Je vous réponds de moi.
Mais ſi d’ailleurs on venoit à découvrir.	Mais si d'ailleurs on venait à découvrir.
JULIEN.	JULIEN.
On ne ſçauroit, je ſis trop diſſimulé.	On ne saurait, je sis trop dissimulé.
Il y a morgué trois ans que ça dure, & parſonne ne ſe doute de rian, vous n’en ſçavez pas le plus principal vous-même.	Il y a morgué trois ans que ça dure, et parsonne ne se doute de rian, vous n'en savez pas le plus principal vous-même.
Oh!	Oh!
pour ce qui eſt de ça, ie ſis un ruſé mandeuvre.	pour ce qui est de ça, ie sis un rusé mandeuvre.
SCENE VIII.	SCÈNE VIII.
JULIEN, JOLIENNE, LEPINE, Me AGATHE.	JULIEN, JOLIENNE, LEPINE, Me AGATHE.
JULIENNE.	JULIENNE.
I1, aiii te vona, je peilie?	I1, aii te vona, je peilie?
& de quoi t’aL viſes-tu de revenir ici, bon vaurien?	et de quoi t'aL vises-tu de revenir ici, bon vaurien?
JOLIEN.	JOLIEN.
Madame Juliane!	Madame Juliane!
LEPINE.	LEPINE.
Voilà un mati bien reçſ eliez lui!	Voilà un mati bien reçs éliés lui!
Me AGATHE.	Me AGATHE.
On diſoit que vous étiez mort, Monſieur Julien, cela n’eſt donc past	On disait que vous étiez mort, Monsieur Julien, cela n'est donc past
JULLEN.	JULEN.
Moa dianiiant je lie le no pase,	Mo dianiant je lie le nô pase,
JULIENNE.	JULIENNE.
Hé!	Hé!
pourquoi me l’es-tu pas, dis?	pourquoi me l'es-tu pas, dis?
Jone ſçai qui me tient que je ne te déviſage.	Jone sais qui me tient que je ne te dévisage.
LEPINE.	LEPINE.
Hé, la, la, ſans emportement.	Hé, la, la, sans emportement.
a MM dIJ Vela toujours de vos magniéres, Madame Juliane.	à MM dIJ Elà toujours de vos magnières, Madame Juliane.
JULLENNE pleurant.	JULENE pleurant.
Il vaudroit bian mieux pour moi que tu le fuſſes, que non pas de mener la vie que tu menes.	Il vaudrait bian mieux pour moi que tu le fusses, que non pas de mener la vie que tu mènes.
Me AGATHE.	Me AGATHE.
Oht pour cela, Monſieur Julien;	Oh pour cela, Monsieur Julien;
vous êtes un mecuant nomie;	vous êtes un mécuant nomie;
d'’abanuomer comme çatous les ans une pauvre femme qui vous adoreroit ſi vous étiez raiſonnable.	d'abanuomer comme çatous les ans une pauvre femme qui vous adorerait si vous étiez raisonnable.
JULIENNE pleurant.	JULIENNE pleurant.
Vous ſçavez mieux que parſonne, ma comme.	Vous savez mieux que parsonne, ma comme.
Pontouaume pmu ſiovomuun mena faites;	Pontouaume pmu siovomuun mena faites;
& ſi pourtant l’autre jour, quand on nous vint dire qu’il étoit défunt, queule inquiétude eſt-ce que ça me donnit !	et si pourtant l'autre jour, quand on nous vint dire qu'il était défunt, queule inquiétude est-ce que ça me donnit !
je vous en fais juge.	je vous en fais juge.
M AGATHE.	M AGATHE.
Et moi, ma commere?	Et moi, ma commere?
il falloit nous voir;	il fallait nous voir;
nous étions toutes deux dans des impatiences de ſçavoir ce qui en étoit.	nous étions toutes deux dans des impatiences de savoir ce qui en était.
L’incertitude de ces choſes-là fait bien ſouffrir une pauvre femme, Monſieur de Lépine, LEPINE	L'incertitude de ces choses-là fait bien souffrir une pauvre femme, Monsieur de Lépine, LEPINE
LÉPINE.	LÉPINE.
Cela eſt vrai, tout le monde étoit d'une affliction.	Cela est vrai, tout le monde était d'une affliction.
Vous êtes furieuſement aimé, Monſieur Julien;	Vous êtes furieusement aimé, Monsieur Julien;
& quand vous êtes arrivé, je m’en allois chercher des menêtriers, pour nous aider ce ſoir à conſoler tout le Village.	et quand vous êtes arrivé, je m'en allais chercher des menêtriers, pour nous aider ce soir à consoler tout le Village.
JULIENNE.	JULIENNE.
Ne ſuis-je pas bien malheureuſe!	Ne suis-je pas bien malheureuse!
JULIEN.	JULIEN.
Entrons dals la maſſon, Madame oulianne, & nous parlerons.	Entrons dals la masson, Madame oulianne, et nous parlerons.
JULIENNE.	JULIENNE.
Dans la maiſon?	Dans la maison?
Oh!	Oh!
ne t’aviſes pas d’y mettre le pied, je ne veux pas que tu en approches.	ne t'avises pas d'y mettre le pied, je ne veux pas que tu en approches.
Si tu regardes la porte ſeulement.	Si tu regardes la porte seulement.
JOLIEN.	JOLIEN.
Comment?	Comment?
comment donc?	comment donc?
Qu’eſt-ce que cela ſignifie?	Qu'est-ce que cela signifie?
LEPINE.	LEPINE.
Le Meûnier ne ſera pas le Maître dans le MouMil yiui Monmonlioure	Le Meûnier ne sera pas le Maître dans le MouMil yivi Monmonlioure
JULIENNE.	JULIENNE.
J’y mettrois plutôt le feu que non pas qui le fût.	J'y mettrais plutôt le feu que non pas qui le fût.
JULIEN.	JULIEN.
Quelle enragée!	Quelle enragée!
Mais acoutez done, Madame ma femme, vous le prenez là ſur un ton.	Mais acoutez donce, Madame ma femme, vous le prenez là sur un ton.
JULIENNE.	JULIENNE.
Ta femme, moit moi ta ſemme!	Ta femme, moit moi ta semme!
Ah le bon traître!	Ah le bon traître!
Il croit parler à ſa cabaretière de Nemonis, ſla commere.	Il croit parler à sa cabaretière de Némonis, sla commere.
LEPINE.	LEPINE.
A la cabarctière de Nemours!	À la cabarctière de Nemours!
Ve La meine eſt inventée:	Ve La mène est inventée:
mais chut.	mais chut.
Me AGATHE.	Me AGATHE.
Etes-vous bien content de votre nouveau ménage, Monſieur Julien?	Êtes-vous bien content de votre nouveau ménage, Monsieur Julien?
JULIEN.	JULIEN.
Qu'eſt-ce que vous voulez dire avec votre nouMau luuno mrequuy touomarca uue ſanguo de vipère, Madame Agathe.	Qu'est-ce que vous voulez dire avec votre nouveau luuno mrequui touomarca ue sanguo de vipère, Madame Agathe.
Vous croyez les contes qu’on vous fait, Madame Julianne?	Vous croyez les contes qu'on vous fait, Madame Julianne?
JOLTENNE.	JOLTENE.
Des contes, bon pendard!	Des contes, bon pendard!
Oh !	Oh !
la gueule du Juge en pètera, tu ſeras pendu, je t’en répons.	la gueule du Juge en pètera, tu seras pendu, je t'en réponds.
JULIEN.	JULIEN.
Je ſerai pendu, moi?	Je serai pendu, moi?
Me AoAIIIE.	Me AoAIIE.
Oui, par votre cou, mon compere Julien.	Oui, par votre cou, mon compère Julien.
JULIEN.	JULIEN.
Madame Julianne.	Madame Julianne.
JULIENNE.	JULIENNE.
Tu m’as fait trop de fredaines, je veux devenir veuve.	Tu m'as fait trop de fredaines, je veux devenir veuve.
ſenduisilla ngaine.	senduisilla négaine.
MAGATHE.	MAGATHÉ.
Un debauché qui prend deux femmes;	Un débauché qui prend deux femmes;
au diable, au diable, point de miſéricorde.	au diable, au diable, point de miséricorde.
JULIEN.	JULIEN.
Par ma foi, vela deux méchantos carognes.	Par ma foi, vêla deux méchantos carognes.
JULIENNE, tuuis rvoyez ce mpon, cet uuoient qui nous injurie.	JULIENNE, tuuis rvoyez ce mpon, cet uuoient qui nous injurie.
M AGATAE.	M MAGATAE.
Ce débauché, ce miſerable!	Ce débauché, ce misérable!
Il perd le reſpect qu’il nous doit, ma commere.	Il perd le respect qu'il nous doit, ma commere.
JULIEN.	JULIEN.
Sonimene du leipeet i'ue me uonne au diable ſi vous me faites prendre un trieot, je le pardrai morgué, bian davantage, prenez-y gardo.	Sonimène du ipeet j'ue me ouvonne au diable si vous me faites prendre un trie, je le pardrai morgué, bian davantage, prenez-y gardo.
VULIENNE.	VULIENE.
Un trieot!	Un trieot!
au ſocours, à la ſorce, on me rouë de coups, on m’aſſaſſine, à la Juſtice, à la Juſtice.	au socours, à la sorce, on me roue de coups, on m'assassine, à la Justice, à la Justice.
M AGATHE.	M AGATHE.
Un tricot!	Un tricot!
bon, ferme, courage, ma commero, à la Juſtice, à la Juſtice.	bon, ferme, courage, ma comméro, à la Justice, à la Justice.
Bij	Bijj
SCENE IX.	SCÈNE IX.
JOLIEN, LEFINE.	JOLIEN, LÉSINE.
JULIEN.	JULIEN.
.	.
ccreu.	crécreu.
i auiiena cesps, Monſieur de IA Lépeine.	y ajiena cesps, Monsieur de JA Lépeine.
LEPINE.	LEPINE.
Oui vraſent, o je vous touve tort à plaindre d’avoir affaire à ces deux maſques-là.	Oui vrasent, ô je vous touve tort à plaindre d'avoir affaire à ces deux masques-là.
JULIEN.	JULIEN.
Moi!	Moi!
palſangué, je ne les craine point, je les mets à pis faire.	palsangué, je ne les craine point, je les mets à pis faire.
LEPINE.	LEPINE.
à il etoit vmi que vous euſiez epouſé cette Mademoiſelle Margot de l'Ecu, l'affaire ſeroit fucheuſe.	à il était vémi que vous eusiez épousé cette Mademoiselle Margot de l'Écu, l'affaire serait fucheuse.
JULIEN.	JULIEN.
Oh ça n’eſt morgué pas falt à demeurer, il n’y a encore que le Contrat de dreſſé, voyez-vous.	Oh ça n'est morgué pas falt à demeurer, il n'y a encore que le Contrat de dressé, voyez-vous.
LEPINE.	LEPINE.
Que le Conttat de dreſſe !	Que le Contâtat de dresse !
On Tee n’eſt qu’une bagatelle, on ne ſçauroit vous faire un crime que de l’intention, & je vois bien que cela n’ira qu’aux Galéres.	On Te n'est qu'une bagatelle, on ne saurait vous faire un crime que de l'intention, et je vois bien que cela n'ira qu'aux Galères.
ULIEN.	ULIEN.
Aux Galeres, Monſieur de Lépeine!	Aux Galères, Monsieur de Lépeine!
LEPINE.	LEPINE.
Oüi, à moins que votre femme n’eût pour ami quelque Juge qui eût l’adreſſe de donner un tour unuuune, oe de-voue ſune peuuse dau conſidération.	Oui, à moins que votre femme n'eût pour ami quelque Juge qui eût l'adresse de donner un tour unuuune, oe dévoue sune peuuse dav considération.
JULIEN.	JULIEN.
Alle eſt morguenne, aſſez malicieuſe pour ca Mais vela une extravagante eréature!	Alle est morguenne, assez malicieuse pour ca Mais vêla une extravagante eréature!
Alle voudroit être défaite de moi, je voudrois être débarraſſé d’elle;	Alle voudrait être défaite de moi, je voudrais être débarrassé d'elle;
qu’alle me paſſe veuf, je la paſſerai veuve.	qu'allé me passe veuf, je la passerai veuve.
Il m’eſt avis qu’il ne faudroit pour ça qu’un petit mot d’accommodement ſous ſeing privé;	Il m'est avis qu'il ne faudrait pour ça qu'un petit mot d'accommodement sous seing privé;
& quand je ſetions d’accorq uns fols, ce ne ſeroit l’affaire de parſonne;	et quand je sétions d'accorq uns fols, ce ne serait l'affaire de parsonne;
Qu’eſt-ce qui s’aviſeroit de nous plaider?	Qu'est-ce qui s'aviserait de nous plaider?
e.	e.
iM.	iM.
Vous avez raiſon;	Vous avez raison;
Mais Madame Julienne eſt une femme réguliere qui veut êtrè veuve dans toutes les formes;	Mais Madame Julienne est une femme régulière qui veut êtrè veuve dans toutes les formes;
c’eſt là ſa folie.	c'est là sa folie.
JULIEN.	JULIEN.
Ce ſeroit bian la mienne itou :	Ce serait bian la mienne itou :
mais commen s’y prendre?	mais commen s'y prendre?
LEPINE.	LEPINE.
Elle va faire ſa plainte, & l'on informera contre vous.	Elle va faire sa plainte, et l'on informera contre vous.
Je ne vous crois pas ici trop en sûreté, Monſieur Julien, ſi vous m’en croyez.	Je ne vous crois pas ici trop en sûreté, Monsieur Julien, si vous m'en croyez.
JULIEN.	JULIEN.
Parguenne, à bon chat, bon rat:	Parguenne, à bon chat, bon rat:
pls qu’alle B iij le prendcomme ca, je m’en vas l’y jouer d’un tour à quoi elle ne s’at:	pls qu'allèle B ijà le prendcomme ca, je m'en vas l'y jouer d'un tour à quoi elle ne s'at:
end pas:	end pas:
le Bailli eſt plus de mes amis que des ſians, allo n’a qu’à ſe bian tenir.	le Bailli est plus de mes amis que des siants, allo n'a qu'à se bian tenir.
a dss de dur Comment?	a dss de dur Comment?
Quel eſt votre deſſein?	Quel est votre dessein?
JULIEN.	JULIEN.
Tatigué, je n’en dirai mot de ſtila, en arrivera ce qui pourra, je varrons lequel ee ſera de nous deux qui aura plutôt l’eſprit de faire pendre l’autre.	Tatigué, je n'en dirai mot de styla, en arrivera ce qui pourra, je varrons lequel ce sera de nous deux qui aura plutôt l'esprit de faire pendre l'autre.
Votre valet, Monſieu de Lépine, juſqu’au revoir.	Votre valet, Monsieu de Lépine, jusqu'au revoir.
LEPINE.	LEPINE.
Je vous baiſe les mains, Monſieur Julien.	Je vous baise les mains, Monsieur Julien.
SCENE X.	SCÈNE X.
LEPINE, CHARLOT.	LEPINE, CHARLOT.
LEPINE, à part.	LEPINE, à part.
JOilà une agréable ſociété.	JOilà une agréable société.
Il y a d’heureux Y mariages dans le monde!	Il y a d'heureux Y mariages dans le monde!
CHARLOT, à part.	CHARLOT, à part.
L’amour & la jalouſie me feront devenir fou, moi qui ſis ſi ſage & ſi raiſonnable.	L'amour et la jalousie me feront devenir fou, moi qui sis si sage et si raisonnable.
LEPINE, à part.	LEPINE, à part.
Voilà le garçon du Moulin de Madame Julienne.	Voilà le garçon du Moulin de Madame Julienne.
Ah ventrebleu!	Ah ventrebleu!
ne ſeroit-ce point lui qui lui auroit donné dans la vuë, & qu’elle coucheroit en joue en cas de veuvage?	ne serait-ce point lui qui lui aurait donné dans la vue, et qu'elle coucherait en joue en cas de veuvage?
Source gallica.	Source galica.
bnf.	bnf.
fr ( Biblic ale de France	fr ( Biblic ale de France
CHARLOT,a part.	CHARLOT,a part.
N’eſt-ee pas-là le valet de ce Houberiau, qui fait l’amoureux de ma chère Colette?	N'est-ce là-là le valet de ce Houberiau, qui fait l'amoureux de ma chère Collette?
LEPINE, à part.	LEPINE, à part.
Que parle-t’il, de Colette?	Que parle-t-il, de Collette?
CHARLOT, à part.	CHARLOT, à part.
de ne l’y ocerai morgue pas mon chaptau ſe premier, je l’y en veux trop.	de ne l'y occérai morgue pas mon chaptau se premier, je l'y en veux trop.
LEPINE.	LEPINE.
Qu’eſt-ce que e’eſt done, Monſieur Charlot, vous me paroiſſez bien fier aujourd’hui ?	Qu'est-ce que j'est done, Monsieur Charlot, vous me paraissez bien fier aujourd'hui ?
CHARLOT.	CHARLOT.
Parguenne, comme de couteume, & ſi ça ne vous convient pas, je m’en gauſſe;	Parguenne, comme de couteume, et si ça ne vous convient pas, je m'en gausse;
je ne vous charchons pas, laiſſez-nous en repos.	je ne vous charchons pas, laissez-nous en repos.
LEPINE.	LEPINE.
Vous avez quelque choſe dans la tête, à ce qa d addo domibro ?	Vous avez quelque chose dans la tête, à ce qa d addo domibro ?
CHARLOT.	CHARLOT.
Ca eit vrai, il vous ſemble bian, fy ai la volonté de vous paumer la gueule, Monſieu de Lépeinc.	Ça eit vrai, il vous semble bian, fi ai la volonté de vous paumer la gueule, Monsieu de Lépeinc.
A moi ?	À moi ?
LEPINE.	LEPINE.
CHARLOT.	CHARLOT.
Oüi, palſanguenne à vous :	Oui, palsanguenne à vous :
vous êtes un débaucheux de filles.	vous êtes un débaucheux de filles.
Je ſis Garde-Moulin, le Meûnier n’y eſt pas, vous en voulez à la niéce;	Je sis Garde-Moulin, le Meûnier n'y est pas, vous en voulez à la nièce;
mais ſi vous me faites prendre un gourdin.	mais si vous me faites prendre un gourdin.
.	.
D.	D.
iiij	jijà
LEPINE.	LEPINE.
nu elſece à dile, un gouidn*.	nu ellese à dile, un gouidn*.
CHARLOT.	CHARLOT.
Je ne parle pas pour à ſtheure, c’oſt une magniere d’avertiſſement, pour en cas que vous y reveniais.	Je ne parle pas pour à stheure, c'ost une magnière d'avertissement, pour en cas que vous y reveniais.
LEPINE.	LEPINE.
o y le vieſorar quaiid n mo piana, Monſicur Charlot.	ô y le viesorar quaiid n mo piana, Monsieur Charlot.
CHARLOT.	CHARLOT.
Quand il vous plaira, Monſieur de Lépeine?	Quand il vous plaira, Monsieur de Lépeine?
LEPINE.	LEPINE.
Aſſurément, quand il me plaira.	Assurément, quand il me plaira.
Ailal is Me 27 Hé bian, revenez-y, ce ſont vos affaires, vous êtes le maître.	Ailal is Me 27 Hé bian, revenez-y, ce sont vos affaires, vous êtes le maître.
LEPINE.	LEPINE.
Et ſi vous vous aviſez de faire le raiſonneur, ſçavez-vous bien que voua vous attirerez mille Coupe de nueou yauol pueie atit t	Et si vous vous avisez de faire le raisonneur, Savez-vous bien que voua vous attirerez mille Coupe de nouveauté yauol tueie atit t
CHARLOT.	CHARLOT.
Mille coups de bâton l'c’eſt biaucoup, Monſieur de Lépeine.	Mille coups de bâton l'est biavcoup, Monsieur de Lépeine.
AATINE.	AATINE.
Vous les aurez, ſi vous raiſonnez.	Vous les aurez, si vous raisonnez.
CHARLOT.	CHARLOT.
Hé bian, je ne raiſonnerai point, vela qui eſt „ fini.	Hé bien, je ne raisonnerai point, vêla qui est „ fini.
LEPINE.	LEPINE.
Vous ferez ſagement;	Vous ferez sagement;
& pour vous faire voir qu’on ne vous craint guères, c’eſt que je veux btuu voue urottn que mou lauseto vpouse aujouta d’hui Colette;	et pour vous faire voir qu'on ne vous craint guères, c'est que je veux btu voue urotth que mou lauseto vouse aujouta d'hui Colette;
entendez-vous?	entendez-vous?
CHARLOT.	CHARLOT.
Il epouſe aujourd'hui Colette, Monſieur de Lépeine?	Il épouse aujourd'hui Colette, Monsieur de Lépeine?
LEFINE.	LÉSINE.
Qui, vous dis je.	Qui, vous dis -je.
CHARLOT.	CHARLOT.
Et il l’épouſe en vrai mariage?	Et il l'épouse en vrai mariage?
LEPINE.	LEPINE.
En vrai mariage.	En vrai mariage.
Le feſtin eſt commandé, les parens & les amis priés;	Le festin est commandé, les parents et les amis priés;
je m’en vais chercher les violons, moi.	je m'en vais chercher les violons, moi.
23  ulHOT.	23 ulHOT.
Hé!	Hé!
mais morgué, que votre maître ne faſſe pas cette ſotllesſa, il s’en repenchoit.	mais morgué, que votre maître ne fasse pas cette sotllessa, il s'en repenchait.
Colette eſt amoureùſt de moi, Monſieur de Lépeine.	Colette est amoureùst de moi, Monsieur de Lépeine.
LEPINE.	LEPINE.
Colette eſt amoureuſe de vous t	Colette est amoureuse de vous t
CHAREOT.	CHAREOT.
Drès le cerciau, vous dit-on, je l’ai élevée à la brochette;	Drès le cerciau, vous dit-on, je l'ai élevée à la brochette;
& tenez, la vela qui viant, je m’envais vous le faite-dire.	et tenez, la vêla qui viant, je m'envais vous le faite-dire.
Parbleu, je le voudrois de tout mon cœur, mon maître n’auroit quie ce qu’il metite.	Parbleu, je le voudrais de tout mon cœur, mon maître n'aurait quie ce qu'il metite.
dia	dia
SCENE XI.	SCÈNE XI.
COLETTE, LEPINE, CHARLOT.	COLETTE, LEPINE, CHARLOT.
COLETTE.	COLETTE.
DOn-jour, Charlot.	DOnjour, Charlot.
CHARLOT.	CHARLOT.
Comme alle me dit bon-ſour de bonne amitié, voyez-vous?	Comme allé me dit bonsour de bonne amitié, voyez-vous?
LEPINE.	LEPINE.
Cela eſt ſort tendre.	Cela est sort tendre.
COLETTE.	COLETTE.
Votre ſervante, Monſieur de Lépine.	Votre servante, Monsieur de Lépine.
LETINE.	LETINE.
Je vous baiſe bien les mains, Mademoiſelle Colette.	Je vous baise bien les mains, Mademoiselle Colette.
C.	Ç.
OLETTE.	OLETTE.
Queſt-ce donc, mon garçon?	Quest-ce donc, mon garçon?
tu me parois tout triſte?	tu me parais tout triste?
CIARLOT.	CIARLOT.
Hé!	Hé!
tatigué, comment ne le ſerois-je pas?	tatigué, comment ne le serais-je pas?
n’an veut bailler du croc en jambe à l’amour que j’avons l’un pour l’autre.	n'an veut bailler du croc en jambe à l'amour que j'avons l'un pour l'autre.
COLETTE.	COLETTE.
Nous avons de l’amour l'un pour l'autre!	Nous avons de l'amour l'un pour l'autre!
Qui t’a dit cela, Charlot?	Qui t'a dit cela, Charlot?
CHARLOT.	CHARLOT.
Hé!	Hé!
pargué, je ſens bian le mien, parſonne nu que faire de me le dire;	pargué, je sens bian le mien, parsonne nu que faire de me le dire;
& pour ce qui eſt du vôtre, il m’eſt avis que du depis quatre ans vous.	et pour ce qui est du vôtre, il m'est avis que du dépis quatre ans vous.
m’en avez baillé tant de ſignifiance.	m'en avez baillé tant de signifiance.
M Haye, haye, haye.	M Haie, haie, haie.
COLETTES Je t’ai donné des ſignifianees d’amour, moi!	COLETTES Je t'ai donné des signifiances d'amour, moi!
Hé!	Hé!
qu’oſt-ce que e'eſt que l’amour, Charlot, je ne le connois pas encore?	qu'ost-ce que elle est que l'amour, Charlot, je ne le connais pas encore?
CHARLOT.	CHARLOT.
Ot tatigne non, quaiie iguorante ralle en ſçait morgué bian plus qu’alle ne dit, Monſieu de Lépeine.	Ot tatigne non, quaiie iguorante rallé en sait morgué bian plus qu'allé ne dit, Monsieu de Lépeine.
COLETTE.	COLETTE.
