Chez BARBIN, au Palais, vis à vis le grand Portail de lu Sainté Chapelle, au ſigne de la Croix.	Chez BARBIN, au Palais, vis -à -vis le grand Portail de lu Sainté Chapelle, au signe de la Croix.
Vous les verriez touſiours l’vn à l’autrę contraire, Deſtruire aueuglement ce qu’auroit fait vn Frere, L’vn ſur l’autre touſiours former quelque attentat, Et changer tous les ans la face de l’Eſtat.	Vous les verriez toujours l'un à l'autrête contraire, Détruire aveuglement ce qu'aurait fait un Frère, L'un sur l'autre toujours former quelque attentat, Et changer tous les ans la face de l'État.
Ce terme limité que l’on veut leur preſcrire, Aceront feur vioſence en bornant leur Empire, Tous deux feront gemir les Peuples tour à tour, Pareils à ces torrens qui ne durant qu’vn jour, Plus leur cours eſt borné, plus ils font de rauage, Et par de grands degaſts ſignalent leur paſſage.	Ce terme limité que l'on veut leur prescrire, Aceront seur viosence en bornant leur Empire, Tous deux feront gémir les Peuples tour à tour, Pareils à ces torrents qui ne durant qu'un jour, Plus leur cours est borné, plus ils font de ravage, Et par de grands dégâts signalent leur passage.
TOCASTE.	TOCASTE.
On les verroit plâtoſt par de nobles projets, Se diſputer tous deux l’amour de leurs ſujets.	On les verrait plâtost par de nobles projets, Se disputer tous deux l'amour de leurs sujets.
Mais auoüez Creon, que toute voſtre peine, C’eſt de voir que la Paix rend voſtre attente vaine, Et qu’en vous eſloignant du Troſne ou vous tendez, Elle rend pour jamais vos deſſeins auortez.	Mais auoüez Creon, que toute vôtre peine, C'est de voir que la Paix rend votre attente vaine, Et qu'en vous éloignant du Trône ou vous tendez, Elle rend pour jamais vos desseins avortez.
Comme apres mes enfans le droit de la naiſſance, Fait tomber en vos mains la ſupréme puiſſance, Le ſang qui vous vnit aux deux Princes mes Fils, Vous fait trouuer en eux vos plus grands ennemis:	Comme après mes enfants le droit de la naissance, Fait tomber en vos mains la suprême puissance, Le sang qui vous unit aux deux Princes mes Fils, Vous fait trouver en eux vos plus grands ennemis:
Et voſtre ambition qui tend à leur Fortune, Vous donne pour tous deux vne haine commune;	Et votre ambition qui tend à leur Fortune, Vous donne pour tous deux une haine commune;
Vous inſpirez au Roy vos conſeils dangereux, Et vous en ſeruez vn pour les perdre tous deux.	Vous inspirez au Roi vos conseils dangereux, Et vous en servez un pour les perdre tous deux.
CREON.	CREON.
Ie ne me repais point de pareilles chimeres, Mes reſpects pour le Roy ſont ardens & ſinceres, Et mon ambition eſt de le maintenir Au Troſne ou vous croyez que ie veux paruenir.	Je ne me repais point de pareilles chimères, Mes respects pour le Roi sont ardents et sincères, Et mon ambition est de le maintenir Au Trône ou vous croyez que tu veux parvenir.
ne font uit la grandeur eſt le ſeul qui m’anime, Ie hay ſes ennemis, & c’eſt la tout mon crimes Ie ne m’en cache point, mais à ce que je voy, Chacun n’eſt pas icy criminel comme moy.	ne font uit la grandeur est le seul qui m'anime, Je hai ses ennemis, et c'est la tout mon crimes Je ne m'en cache point, mais à ce que je vois, Chacun n'est pas ici criminel comme moi.
IOCASTE.	JOCASTE.
Tant que pour ennemy le Roy n’aura qu’vn Frere, Sa perſonne, Creon, me ſera toûjours chere;	Tant que pour ennemi le Roi n'aura qu' Frere, Sa personne, Creon, me sera toujours chère;
De laſches Courtiſans peuuent bien le haïr, Mais vne Mere enfin ne peut pas ſe trahir.	De lâches Courtisans peuvent bien le haïr, Mais fort Mère enfin ne peut pas se trahir.
ANTIGONE.	ANTIGONE.
Vos intereſts icy lont conrormes aux noſtres, Les ennemis du Roy ne ſont pas tous les voſtres;	Vos intérêts ici lont conrormes aux nôtres, Les ennemis du Roi ne sont pas tous les vôtres;
Creon, vous eſtes Pere, & dans ces ennemis, Peut-eſtre ſongez-vous que vous auez vn Fils;	Creon, vous êtes Père, et dans ces ennemis, Peut-être songez-vous que vous avez un Fils;
On ſçait de quelle ardeur Hémon ſert Polinice.	On serait de quelle ardeur Hémon sert Polinice.
CREON.	CREON.
Oüy, je le ſçay, Madame, & je luy fais juſtice;	Oui, je le sais, Madame, et je lui fais justice;
e le dois en effet diſtinguer du commun;	Je le dois en effet distinguer du commun;
Mais c’eſt pour le haïr encor plus que pas vn;	Mais c'est pour le haïr encor plus que pas un;
Et ie ſouhaitterois dans ma juſte colere, Que chacun le haiſt comme le hait ſon Pere	Et ici souhaiterais dans ma juste colère, Que chacun le hait comme le hait son Père
ANTIGONE.	ANTIGONE.
Aprés tout ce qu’a fait la valeur de ſon bras, I'out le monde en ce point ne vous reſſemble pas.	Après tout ce qu'a fait la valeur de son bras, J'out le monde en ce point ne vous ressemble pas.
CREON.	CREON.
e le voy bien, Madame, & c’eſt ce qui m’afflige;	Je le vois bien, Madame, et c'est ce qui m'afflige;
Mais je ſçay bien à quoy ſa reuolte m’oblige, Et tous ces beaux exploits qui le font admirer, C’eſt ce qui me le fait juſtement abhorrer.	Mais je sais bien à quoi sa révolte m'oblige, Et tous ces beaux exploits qui le font admirer, C'est ce qui me le fait justement abhorrer.
La honte ſuit toûjours le party des rebelles, ceur grandes uetions lont ſes plus ciſhinelles;	La honte suit toujours le parti des rebelles, ceur grandes uetions lont ses plus cishinelles;
Ils ſignalent leur crime en ſignalant leur bras, it ia Oione n’eſt pomt ou les Rois ne ſont pas.	Ils signalent leur crime en signalant leur bras, it ja Oione n'est pompt ou les Rois ne sont pas.
ANTIGONE.	ANTIGONE.
Eſcoutez vn peu mieux la voix de la Nature.	Écoutez un peu mieux la voix de la Nature.
CREON.	CREON.
Plus l’offenſeur iu cit enur, plus je renlens l'ihjure.	Plus l'offenseur ju cit envr, plus je renlends l'ihjure.
ANTIGONE.	ANTIGONE.
Mais vn Pere à ce point doit il eſtre emporté?	Mais un Père à ce point doit il être emporté?
tons auez dop de hainc.	tons avez dop de hainc.
CREON.	CREON.
Et vous trop de bonté.	Et vous trop de bonté.
C’eſt trop parler, Madame, en faueur d’vn rebelle.	C'est trop parler, Madame, en faveur d'un rebelle.
ANTIGONE.	ANTIGONE.
L’innocence vaut bien que l'on parle pour eiſe.	L'innocence vaut bien que l'on parle pour eise.
CREON.	CREON.
Ie ſçay ce qui le rend innocent à vos yeur.	Je sais ce qui le rend innocent à vos yeur.
ANTIGONE.	ANTIGONE.
Et je ſçay quel ſujet vous le rend odieux.	Et je sais quel sujet vous le rend odieux.
CREON.	CREON.
L’amour a d’autres yeux que le commun des hom' mes.	L'amour a d'autres yeux que le commun des hom mes.
IOCASTE.	JOCASTE.
Vous abuſez, Creon, de l’eſtat ou nous ſommes, Tout vous ſemble permis, mais craignez mon courou Vos libertez enſin retomberoient ſur vous.	Vous abusez, Creon, de l'état ou nous sommes, Tout vous semble permis, mais craignez mon courou Vos libertés ensin retomberaient sur vous.
ANTIGONE.	ANTIGONE.
L’intereſt du public agit peu ſur ſon ame, Et l’amour du pays nous cache vne autre flamme, Ie la içais, illais, ercon, j’en aonorre le cours, Et vous ferez bien mieux de la cacher toûjours.	L'intérêt du public agit peu sur son âme, Et l'amour du pays nous cache une autre flamme, Je la içais, illais, ercon, j'en aonore le cours, Et vous ferez bien mieux de la cacher toujours.
CREON.	CREON.
Ie le feray, Madame, & je veux par auance, Vous eſpargner encor juſques à ma preſence, Auſſi bien mes deuoirs redoublent vos meſpris, Et je vais fane place a ce bien neureua lhat Vous ſçauez que le Roy m’appelle à ſon ſeruice, Adieu, faites venir Hemon & Polinice.	Je le ferai, Madame, et je veux par avance, Vous épargner encor jusqu' à ma présence, Aussi bien mes devoirs redoublent vos mépris, Et je vais fane place a ce bien neureua lhat Vous savez que le Roi m'appelle à son service, Adieu, faites venir Hémon et Polinice.
IOCASTE.	JOCASTE.
N’en doute pas meſchant, ils vont venir tous deux, Tous deux ils preuiendront tes deſſeins mal-heureux.	N'en doute pas méchant, ils vont venir tous deux, Tous deux ils préviendront tes desseins malheureux.
SCENEVI IOCASIE, ANTIGONE, OLYMPE.	SCENEUI JOCASIE, ANTIGONE, OLYMPE.
ANTIGONE.	ANTIGONE.
E perfide, à quel point ſon inſolence monte!	E perfide, à quel point son insolence monte!
I IOCASTE.	I JOCASTE.
Ses ſuperbes diſcours tourneront à ſa honte, Bien-toſt ſi nos deſirs ſont exaucez des Cieux, La Paix nous vangera de ces ambitieux.	Ses superbes discours tourneront à sa honte, Bientôt soi nos désirs sont exaucés des Cieux, La Paix nous vengera de ces ambitieux.
Mais il faut ſe haſter, chaque heure no us eſt chere, Appellons au plus viſte Hemon & voſtre Frere;	Mais il faut se hâter, chaque heure nô us est chère, Apelons au plus vite Hémon et votre Frère;
le ſuis pour ce deſſein preſte à leur accorder, Toutes les ſeûretez qu’ils pourront demander.	le suis pour ce dessein prête à leur accorder, Toutes les sûretés qu'ils pourront demander.
Et toy, ſi mes mal-heurs ont laſſé ta juſtice, Ciel, diſpoſe à la Paix le cœur de Polinice, cconue medtomphoymeee uulaspieers, it comme il faut enfin, fais parler mes douleurs.	Et toi, si mes malheurs ont lassé ta justice, Ciel, dispose à la Paix le cœur de Polinice, cconue medtomphoymeee uulaspieers, it comme il faut enfin, fais parler mes douleurs.
ANTIGONE, demeurant vn peu aprés ſa Mere.	ANTIGONE, demeurant un peu après sa Mère.
It ſi tu prens pitié d’vne flamme innocente,  Ciel !	It si tu prends pitié d'une flamme innocente, Ciel !
en ramenant Hemon à ſon Amante.	en ramenant Hémon à son Amante.
tamene le fidelle, & permets en ce iour, Qu’en retrouuant l’Amant je retrouue l’Amour.	tamène le fidèle, et permets en ce jour, Qu'en retrouvant l'Amant je retrouve l'Amour.
Fin du premier Acte.	Fin du premier Acte.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ANTIGONE, HEMON.	ANTIGONE, HEMON.
HEMON.	HÉMON.
E quoy!	E quoi!
vous me plaignez voſtre aimable pre H ence.	vous me plaignez votre aimable pré H ence.
Apres vn an entier de ſupplice & d’abſence, Ne m’auez-vous, Madame, appellé prés de vous, Que pour m’oſter ſi-toſt vn bien qui m’eſt ſi doux?	Après un an entier de supplice et d'absence, Ne m'avez-vous, Madame, appelé près de vous, Que pour m'ôter si-tôt un bien qui m'est si doux?
ANTIGONE.	ANTIGONE.
Et vouſez-vous li-toſt que j’abandonne vn Frere?	Et vousez-vous li-tôt que j'abandonne un Frère?
Ne dois.	Ne dois.
je pas au Temple accompagner ma Mere?	je pas au Temple accompagner ma Mère?
Et dois-je preferer, au gré de vos ſouhaits, Le ſoin de voſtre amour à celuy de la Paix?	Et dois-je préférer, au gré de vos souhaits, Le soin de votre amour à celui de la Paix?
HEMON.	HÉMON.
Madame, à mon bon-heur, c’eſt chercher trop d’o ſtacle;	Madame, à mon bonheur, c'est chercher trop d'ô stacle;
Ils iront bien ſans nous conſulter les Oracles, Permettez-que mon cœur en voyant vos beaux yeux, De l’eſtat de ſon ſort interroge ſes Dieux.	Ils iront bien sans nous consulter les Oracles, Permettez-que mon cœur en voyant vos beaux yeux, De l'état de son sort interroge ses Dieux.
Puis.	Puis.
je leur demander ſans eſtre temeraire, S’ils ont tous-jours pour moy leur douceur ordinaire ouffrent-ils ſans courroux mon ardente amitié, Et du mal qu’ils ont fait ont ils quelque pitié?	je leur demander sans être téméraire, S'ils ont tousjours pour moi leur douceur ordinaire ouffrent-ils sans courroux mon ardente amitié, Et du mal qu'ils ont fait ont ont quelque pitié?
Durant le triſte cours d’vne abſence cruelle, luez vous ſouhaitté que ie fuſſe fidelle?	Durant le triste cours d'une absence cruelle, luez -vous souhaité que sans fusse fidèle?
ongiez vous que la mort menaſſoit loin de vous, n Amant qui ne doit mourir qu’à vos genoux?	ongiez -vous que la mort menaçait loin de vous, n Amant qui ne doit mourir qu'à vos genoux?
h!	h!
d’vn ſi bel Objet quand vne ame eſt bleſſée;	d'un si bel Objet quand une âme est blessée;
Juand vn cœur juſqu à vous eſleue ſa penſée, Qu’il eſt doux d’adorer tant de diuins appas!	Juand un cœur jusqu' à vous élève sa pensée, Qu'il est doux d'adorer tant de divins appas!
Iais auſſi que l’on ſouffre en ne les voyant pas!	Jais aussi que l'on souffre en ne les voyant pas!
In moment loin de vous me duroit vne année;	In moment loin de vous me durait une année;
’aurois finy cent fois ma triſte deſtinée, i je n’euſſe ſongé juſques à mon retour, ue mon eſloignement vous prouuoit mon amour;	>aurais fini cent fois ma triste destinée, y je n'eusse songé jusqu' à mon retour, ès mon éloignement vous prouvait mon amour;
t que le ſouuenir de mon obeyſſance, ourroit en ma faueur parler en ſon ablence, t que penſant à moy vous penſeriez auſſi Qu’il faut aimer beaucoup pour obeïr ainſi.	t que le souvenir de mon obéissance, ourrait en ma faveur parler en son ablence, t que pensant à moi vous penseriez aussi Qu'il faut aimer beaucoup pour obéir ainsi.
ANTIGONE.	ANTIGONE.
lüy je préuoyois bien qu’vne ame ſi fidelle, rouueroit dans l’abſence vne peine cruelle, ut ſi mes ſentimens ſe doiuent deſcouurir, ſouhaitois, Hemon, qu’elle vous fit ſouffrir, t qu’eſtant loin de moy quelque ombre d’amertume, tous fit trouuer les jours plus longs que de couſtume, ſais ne vous plaignez pas, mon cœur chargé d’ennuy, Ie vous ſouhaittoit rien qu’il n’éprouuaſt en luy.	Lui je prévoyais bien qu'une âme si fidèle, rouverait dans l'absence une peine cruelle, ut si mes sentiments se doivent découvrir, souhaitais, Hémon, qu'elle vous fit souffrir, t 'étant loin de moi quelque ombre d'amertume, tous fit trouver les jours plus long que de me, sais ne vous plaignez pas, mon cœur chargé d'ennui, Je vous souhait rien qu'il n'éprouuast en lui.
ir tout depuis le temps que dure cette guerre, it que de gens armez vous couurez cette terre, Dieux!	ir tout depuis le temps que dure cette guerre, it que de gens armés vous couvrez cette terre, Dieux!
à quels tourmens mon cœur s’eſt veû ſoûmis, oyant des deux coſtez ſes plus tendres amis!	à quels tourments mon cœur s'est vu soumis, oyant des deux côtés ses plus tendres amis!
pors qu’on ſe ſent preſſé d’vne main inconnuë, Dn la craint ſans reſerue, on hait ſans retenuë, Jans tous ces mouuemens le cœur n’eſt pas contraint, Mais voyant attaquer mon pays & mon Frere, La main qui l’attaquoit ne m’eſtoit pas moins cheres, Mon cœur qui ne voyoit que mes Freres & vous, Ne haïſſoit perſonne, & je vous craignois tous.	pors qu'on se sent pressé d'une main inconnue, Dn la craint sans réserve, on hait sans retenue, Jans tous ces mouvements le cœur n'est pas contraint, Mais voyant attaquer mon pays et mon Frère, La main qui l'attaquait ne m'était pas moins chères, Mon cœur qui ne voyait que mes Frères et vous, Ne haïssait personne, et je vous craignais tous.
Mille objets de douleur deſchiroient mes entrailles, I’en voyois & dehors & dedans nos murailles, Gllaque anaut a mon cour luront Mmie combats, Et mille fois le jour je ſouffrois le trépas.	Mille objets de douleur déchiraient mes entrailles, J'en voyais et dehors et dedans nos murailles, Gllaque anaut à mon cour luront Mémie combats, Et mille fois le jour je souffrais le trépas.
HEMON.	HÉMON.
Mais enfin qu’ay-je fait en ce mal-heur extrême, Que ne m’ait ordonné ma Princeſſe elle-meſme?	Mais enfin qu'ai-je fait en ce malheur extrême, Que ne m'ait ordonné ma Princesse elle-même?
I'ay ſuiuy Polinice, & vous l’auez voulu, Vous me l’auez preſcrit par vn ordre abſolu.	J'ai suivi Polinice, et vous l'avez voulu, Vous me l'avez prescrit par un ordre absolu.
Ie luy voüay dés lors vne amitié ſincere, le quittay lnon l’ays j’aoandomnay mon pere, Sur moy par ce depart j’attiray ſon couroux, Et pour tout dire, enfin, je m’eſloignay de vous.	Je avait vue dès lors é amitié sincère, le quittai lnon l'ais j'aoandomnai mon père, Sur moi par ce départ j'attirai son courroux, Et pour tout dire, enfin, je m'éloignai de vous.
ANTIGONE.	ANTIGONE.
Ie m’en ſouuiens, Hemon, & je vous fais juſtice, C’eſt moy que vous ſeruiez en ſeruant Polinice;	Je m'en souviens, Hémon, et je vous fais justice, C'est moi que vous serviez en servant Polinice;
Il m’eſtoit cher alors comme il eſt aujourd’huy, Et ie prenois pour moy ce qu’on faiſoit pour luy.	Il m'était cher alors comme il est aujourd'hui, Et tu prenais pour moi ce qu'on faisait pour venir.
Nous nous aymions tous deux dés la plus tendre en fance, Et j’auois ſur ſon cœur vne entiere puiſſance;	Nous nous aimions tous deux dés la plus tendre en fance, Et j'avais sur son cœur une entière puissance;
Ie trouuois à luy plaire vne extréme douceur, Et les chagrins du Frere eſtoient ceux de la Sœur.	Je trouvais à peine plaire une extrême douceur, Et les chagrins du Frère étaient ceux de la Sœur.
Ie le cheris toûjours, encore qu’il m’oublie.	Je le chéris toujours, encore qu'il m'oublie.
HEMON.	HÉMON.
Non non ſon amitié ne s’eſt point affoiblie, Il vous cherit encor, mais ſes yeux ont appris, Que mon amour pour vous eſt bien d’vn autre prix.	Non non son amitié ne s'est point affaiblie, Il vous chérit encor, mais ses yeux ont appris, Que mon amour pour vous est bien d'un autre prix.
Quoy que ſon a mitié ſurpaſſe l’ordinaire, Il voit combien l’Amant l’emporte ſur le Frere, Et qu’auprés de l’amour dont je reſſens l’ardeur, la plus forte iſtit ieit au pius que ciedeur.	Quoi que son a mitié surpasse l'ordinaire, Il voit combien l'Amant l'emporte sur le Frère, Et qu'auprès de l'amour dont je ressens l'ardeur, la plus forte istit ieit au pius que ciedeur.
ANTIGONE.	ANTIGONE.
Mais enfin ſi ſur luy j’auois la moindre empire, I aymeroit la Paix, pour qui mon cœur ſouſpire, toſtre commun mal-heur en ſeroit adoucy;	Mais enfin si sur beau j'avais la moindre empire, I aimerait la Paix, pour qui mon cœur soupire, totre commun malheur en serait adouci;
e le verois Hemon, vous me verriez auſſi.	Je le verais Hémon, vous me verriez aussi.
HEMON.	HÉMON.
De cette affreuſe guerre il abhorre l’image, e l’ay veû ſouſpirer de douleur & de rage, ors que pour remonter au Troſne paternel, On le força de prendre vn chemin ſi cruel.	De cette affreuse guerre il abhorre l'image, e ay vu souspirer de douleur et de rage, ors que pour remonter au Trône paternel, On le força de prendre un chemin si cruel.
iſperons que le Ciel touché de nos miſeres, Ieflcuera Glen tore da vunae ses eTesco v.	ispérons que le Ciel touché de nos misères, Jeflcuera Glen tore da vunae ses éTesco v.
uiſſe t’il reſtablir l’amitié dans leur cœur, it conſeruer l’amour dans celuy de la Sœur.	uisse -t-il rétablir l'amitié dans leur cœur, it conserver l'amour dans celui de la Sœur.
ANTIGONE.	ANTIGONE.
Ielas!	Jélas!
ne doutez point que ce dernier ouurage, Je luy ſoit plus aiſé que de calmer leur rage;	ne doutez point que ce dernier ouvrage, Je lui soit plus aisé que de calmer leur rage;
e reu coimole toun deux, ce je reipondrois bien, que leur cœur cher Hemon, eſt plus dur que le mien.	 eu coaimole toun deux, ce je reipondrois bien, que leur cœur cher Hémon, est plus dur que le mien.
eis les Dieux quelquefois font de plus grands miracles.	évis les Dieux quelquefois font de plus grands miracles.
SCENE II.	SCÈNE II.
ANTIGONE, HEMON, OLYMPE.	ANTIGONE, HÉMON, OLYMPE.
ANTIGONE.	ANTIGONE.
E bien apprendrons nous ce qu’ont dit les Oracles?	E bien apprendrons -nous ce qu'ont dit les Oracles?
Que faut il faire?	Que faut -il faire?
OLYMPE.	OLYMPE.
Plelas.	Plelas.
ANTIGONE.	ANTIGONE.
Quoy?	Quoi?
Qu’en a t’on appri Eſt-ce la Guerre?	Qu'en a -t-on appri Est-ce la Guerre?
Olympe?	Olympe?
OLYMPE.	OLYMPE.
Ah!	Ah!
c’eſt encore p	c'est encore p
TIEMON.	TIEMON.
Quel eſt donc ce grand mal que leur courroux annonce	Quel est donc ce grand mal que leur courroux annonce
OLYMPE.	OLYMPE.
Prince pour en juger écoutez leur reſponce.	Prince pour en juger écoutez leur réponse.
Thebains pour n’auoir plus de guerres, Il faut par vn ordre fatal, Que le dernier du ſang Royal, Par ſon trépas enſanglante vos terres.	Thebains pour n'avoir plus de guerres, Il faut par un ordre fatal, Que le dernier du sang Royal, Par son trépas ensanglante vos terres.
ANTIGONE.	ANTIGONE.
O Dieux!	Ô Dieux!
que vous a fait ce ſang infortuné, Et pourquoy tout entier l’auez vous condamné!	que vous a fait ce sang infortuné, Et pourquoi tout entier l'avez -vous condamné!
N’eſtes-vous pas contens de la mort de mon Pere, Tout noſtre ſang doit-il ſubir voſtre colere?	N'êtes-vous pas contents de la mort de mon Père, Tout nôtre sang doit-il subir votre colère?
IIL RONV.	IIL RONV.
Madame, cét Arreſt ne vous regarde pas, Voſtre vertu vous met a couuert du trépas.	Madame, cet Arrêt ne vous regarde pas, Votre vertu vous met a couvert du trépas.
Les Dieux ſçauent trop bien connoiſtre l’innocence.	Les Dieux sçauent trop bien connaître l'innocence.
ANTIGONE.	ANTIGONE.
Et ce n’eſt par pour moy que je crains leur vangeance, Mon innocence, Hémon, ſeroit vn foible appuy, Fille d’Oedipe, il faut que je meure pour luy.	Et ce n'est par pour moi que je crains leur vengeance, Mon innocence, Hémon, serait un faible appui, Fille d'Oedipe, il faut que je meure pour lui.
Ie l’attens cette mort, & ie l’attens ſans plaintes, Et s’il faut auoüer le ſujet de mes craintes, C’eſt pour vous que je crains.	Je l'attends cette mort, et ainsi l'attends sans plaintes, Et s'il faut auoüer le sujet de mes craintes, C'est pour vous que je crains.
Oüy, cher Hemon, pou vous, De ce ſang mal-heureux vous ſortez comme nous;	Oui, cher Hémon, pour vous, De ce sang malheureux vous sortez comme nous;
Et ie ne vois que trop que le courroux celeſte, Vous rendra comme a nous cét honneur bien funeſte, Et fera regreter aux Princes des Thebains, De n’eſtre pas lortis du dermier des humains.	Et petit ne vois que trop que le courroux celeste, Vous rendra comme à nous cet honneur bien funeste, Et fera régréter aux Princes des Thebains, De n'être pas lortis du dermier des humains.
HEMON.	HÉMON.
Peut-on ſe repentir d’vn ſi grand auantage?	Peut-on se repentir d'un si grand avantage?
In ſi noble trépas flate trop mon courage, Et du flig de ſes Roys il eſt beau d’eſtre iſſu, Oût-on rendre ce ſang ſi-toſt qu’on l’a receu.	In si noble trépas flatte trop mon courage, Et du flig de ses Rois il est beau d'être issu, Oût-on rendre ce sang sitôt qu'on l'a reçu.
ANTIGONE.	ANTIGONE.
Et quoy ſi parmy nous on a fait quelque offence, Le Ciel doit-il ſur vous en prendre la vangeance, Et n’eſt-ce pas aſſez du Pere & des enfans, Jans qu’il aille plus loin chercher des innocens?	Et quoi si parmi nous on a fait quelque offense, Le Ciel doit-il sur vous en prendre la vengeance, Et n'est-ce pas assez du Père et des enfants, Jans qu'il aille plus loin cher des innocents?
L’eſt à nous à payer pour les crimes des noſtres, Puniſſez-nous grands Dieux, mais eſpargnez les autres.	L'est à nous à payer pour les crimes des nôtres, Punissez-nous grands Dieux, mais épargnez les autres.
Mon Pere, cher Hemon, vous va perdre aujourd’huy, Et je vous pers peut-eſtre encore plus que luy.	Mon Père, cher Hémon, vous va perdre aujourd'hui, Et je vous perd peut-être encore plus que lui.
Le Ciel punit ſur vous, & ſur voſtre famille, Et les crimes du Pere & l’amour de la Fille, Et ce funeſte amour vous nuit encore plus, Que les crimes d’Oedipe & le ſang de Laius.	Le Ciel punit sur vous, et sur votre famille, Et les crimes du Père et l'amour de la Fille, Et ce funeste amour vous nuit encore plus, Que les crimes d'Oedipe et le sang de Laidius.
HEMON.	HÉMON.
Quoy mon amour, Madame?	Quoi mon amour, Madame?
Et qu’a t’il de funeſte?	Et qu'a t'il de funeste?
Eſt-ce vn crime qu’aimer vne beauté celeſte?	Est-ce un crime qu'aimer une beauté céleste?
Et puiſque ſans colere il eſt receu de vous, En quoy peut-il du Ciel meriter le couroux?	Et puisque sans colère il est reçu de vous, En quoi peut-il du Ciel mériter le courroux?
Vous ſeule en mes ſouſpirs eſtes intereſſée, C’eſt à vous à juger s’il vous ont offensée, Tels que ſeront pour eux vos Arreſts tout-puiſſans, hs feront criiſleis ou leront innocens.	Vous seule en mes soupirs êtes intéressée, C'est à vous à juger s'il vous ont offensée, Tels que seront pour eux vos Arrêts tout-puissants, hs feront criisle ou leront innocents.
Auſſi quand iuſqu’à vous i’oſay porter ma flamme, Vos yeux ſeuls imprimoient la terreur dans mon ame, Et ie craignois bien plus d’offenſer vos appas, Que le couroux des Dieux que ie n’offenſois pas.	Aussi quand jusqu'à vous j'osais porter ma flamme, Vos yeux seuls imprimaient la terreur dans mon âme, Et appris craignais bien plus d'offenser vos appas, Que le courroux des Dieux que je n'offensais pas.
ANTIGONE.	ANTIGONE.
Autant que voſtre amour voſtre erreur eſt extrême, Et vous les offenſiez beaucoup plus que moy-meſme;	Autant que votre amour votre erreur est extrême, Et vous les offensiez beaucoup plus que moi-même;
Quelque rigueur pour vous qui paruſt en mes yeux, Helas!	Quelque rigueur pour vous qui parût en mes yeux, Hélas!
ils approuuoient ce qui faſchoit les Dieux, Oüy, ces Dieux ennemis de toute ma famille, Auſſi bien que le Pere en deteſtoient la Fille, Vous aimaſtes, Hemon, l’obiet de leur couroux, Et leur haine pour moy s’eſtendit iuſqu’à vous.	ils approuvaient ce qui fâchait les Dieux, Oui, ces Dieux ennemis de toute ma famille, Aussi bien que le Père en détestaient la Fille, Vous aimâtes, Hémon, l'objet de leur courroux, Et leur haine pour moi s'étendit jusqu'à vous.
C’eſt-là de vos mal-heurs le funeſte principe, Fuyez, Hemon, fuyez de la Fille d’Oedipe, Taſchez de n’aimer plus, pour plaire aux immortels, Et la Fille & la ſœur de tant de Criminels.	C'est-là de vos malheurs le funeste principe, Fuyez, Hémon, fuyez de la Fille d'Oedipe, Tâchez de n'aimer plus, pour plaire aux immortels, Et la Fille et la sœur de tant de Criminels.
Le crime en ſa famille.	Le crime en sa famille.
HEMON.	HÉMON.
Ah!	Ah!
Madame leur crime Ne fait que releuer voſtre vertu ſublime, Puiſque par vn effort dont les Dieux ſont ialoux, Vous brillez d’vn éclat qui ne vient que de vous.	Madame leur crime Ne fait que relever votre vertu sublime, Puisque par un effort dont les Dieux sont jaloux, Vous brillez d'un éclat qui ne vient que de vous.
Que le Ciel à ſon gré de ma perte diſpoſe, I'en cheriray touſiours & l’vne & l’autre cauſe, Glorieux de mourir pour le ſang de mes Roys, Et plus heureux encor de mourir ſous vos lois.	Que le Ciel à son gré de ma perte dispose, J'en chérirai toujours et l'une et l'autre cause, Glorieux de mourir pour le sang de mes Rois, Et plus heureux encor de mourir sous vos lois.
Pluſt aux Dieux ſeulement que voſtre amant fidelle, Puſt auoir de leur haine vne cauſe nouuelle, Et que pour vous aymer meritant leur courroux, Il puſt mourir encor pour eſtre aymé de vous.	Plût aux Dieux seulement que votre amant fidèle, Pût avoir de leur haine une cause nouvelle, Et que pour vous aimer méritant leur courroux, Il pût mourir encor pour être aimé de vous.
Auſſi-bien que ferois-ie en ce commun naufrage, Pourrois-ie me reſoudre a viure d'adantage, En vain les Dieux voudroient differer mon trépas, Mon deſeſpoir feroit ce qu’ils ne feroient pas, Mais peut-eſtre en ce point noſtre frayeur eſt vaine, Attendons.	Aussi-bien que ferais-je en ce commun naufrage, Pourrais-je me résoudre a vivre d'adantage, En vain les Dieux voudraient différer mon trépas, Mon désespoir ferait ce qu'ils ne feraient pas, Mais peut-être en ce point notre frayeur est vaine, Attendons.
Mais voicy Polinico & la Reine.	Mais voici Polinico et la Reine.
SCENE III.	SCÈNE III.
IOCASTE, POLINICE, ANIIGONE,IEMON.	JOCASTE, POLINICE, ANIGONE,IEMON.
POLINICE.	POLINICE.
Adame au nom des Dieux, ceſſez de m’arreſter, Vl Ie vois bien que la Paix ne peut s’executer.	Adame au nom des Dieux, cessez de m'arrêter, Vl Je vois bien que la Paix ne peut s'exécuter.
eſperois que du Ciel la Iuſtice infinie, oudroit ſe déclarer contre la tyrannie, t que laſſé de voir tant reſpandre de ſang, rendroit à chacun ſon legitime rang.	espérais que du Ciel la Justice infinie, oudrait se déclarer contre la tyrannie, t que lassé de voir tant répandre de sang, rendrait à chacun son légitime rang.
