A GENEROSITE ARESIILNNI TRAGEDIE.	À GÉNÉROSITÉ ARESILNNI TRAGÉDIE.
Si voſtre aueuglement n’eſtoit point volontaire, Vous aur iez le Soleil tout entier dans les yeux?	Si votre aveuglément n'était point volontaire, Vous aur iez le Soleil tout entier dans les yeux?
Quoy vous imaginer vn Qieu chaſſe des Cieux, Dont la race ait puny l’infame gloutonnie, N’eſt-ce pas dementir la puiſſance infinie, Et tous les attributs de la diuinité;	Quoi vous imaginer un Qieu chasse des Cieux, Dont la race ait puni l'infâme gloutonnie, N'est-ce pas démentir la puissance infinie, Et tous les attributs de la divinité;
Car ſi Saturne a ſçeu de toute Eternité Luy deuoix naiſtre vn fils qui rauiroit ſon ſieptre, Et n'a pen l’empeſho.	Car si Saturne a su de toute Éternité Lui dévoix naître un fils qui ravirait son siètre, Et n'a pen l'empêho.
APOLLINAIRE.	APOLLINAIRE.
Il a deu le permettre, Et n’a peu s’oppoſer aus volontez du ſort, Qui ſouuẽt donneaus dieux des ſouhaits pour la mort	Il a dev le permettre, Et n'a pu s'opposer aussi volontés du sort, Qui souvent donneaus dieux des souhaits pour la mort
ADRIAN.	ADRIAN.
Quelle eſt donc leur grandeur, s’ils ne font rien paraiſtre, Qui porte leur nature au deſſus de noſtre eſtre, Que leur vie immortelle & ſouuent dites vous, Ils tiendroient à faueur de mourir comme nous.	Quelle est donc leur grandeur, s'ils ne font rien paraître, Qui porte leur nature au dessus de notre être, Que leur vie immortelle et souvent dites -vous, Ils tiendraient à faveur de mourir comme nous.
Ie plains ces pauures Dieux qu’eſtonne la foibleſſe, Quuuiupurete foumne Oisurfejpoirpreſſe, Où’ignorance regne & dont la cruauté Toime te uernier tran à vne diintte.	Je plains ces pauvres Dieux qu'étonne la faiblesse, Quuuiupurete Ooumne Oisurféjpoirpresse, Où ignorance règne et dont la cruauté Toime te uernier tran à une diinte.
APOPLINAIRE.	APOPLINAIRE.
Cà parlons d’autre choſe, haiſſez vous la vie?	Çà parlons d'autre chose, haïssez -vous la vie?
ADRIAN.	ADRIAN.
I’attends auec plaiſir qu’elle me ſoit rauie, 113 (uepumn ut cour & uu tung quei e tiens On voudra par mamort effraier les Chreſtiens, Mais Dieu qui des mortels ſçait rompre l’entrepriſe Rendra mon ſang fecond pour peupler ſon Egliſe.	J'attends était plaisir qu'elle me soit ravie, 113 (upumn ut cour et ut tung quei e tiens On voudra par mamort effrayer les Chrétiens, Mais Dieu qui des mortels sait rompre l'entreprise Rendra mon sang fécond pour peupler son Église.
APOLLINAIRE.	APOLLINAIRE.
Au moins conſiderez le genre du treſpas, Mourir d’vn coup de lance au milieu des combats Eſt vn ſort glorieux mais que la main barbare D’vn in fame bourreau voſtre teſte ſepare, Sur le ſang des meurtriers, & aux yeux de la c C’eſt adjeuter la honte à la perie du jour.	Au moins considérez le genre du trépas, Mourir d'un coup de lance au milieu des combats Estait sort glorieux mais que la main barbare D'un in famé bourreau votre tête sépare, Sur le sang des meurtriers, et aux yeux de la ç 'est ajeuter la honte à la périe du jour.
ADRAN.	ADRAN.
Qui meunt innocemment meurt ſans ignominie.	Qui meunt innocemment meurt sans ignominie.
APOLLINAIRE.	APOLLINAIRE.
Dejoutir la limce mjo ine quennte, Et vous mourrez touſiours criminel en ce point.	Déjoutir la limée mo iné quennte, Et vous mourrez toujours criminel en ce point.
ADRIAN.	ADRIAN.
Son edit eſt iniuſte & ne m’oblige point.	Son édit est injuste et ne m'oblige point.
APOLLINAIRE.	APOLLINAIRE.
Eſt-ce à nous d’en iuger?	Est-ce à nous d'en juger?
ADRIAN.	ADRIAN.
Oüy dans cette occurrence, Ou vieu prend mien jelour je mot en balance, Mais nous perdons du temps & nous n’aduan çons rie, Monſieur n’en parlons plus, it veux mourir chreſtien.	Oui dans cette occurrence, Ou vieu prend mien jelour je mot en balance, Mais nous perdons du temps et nous n'avan çons rie, Monsieur n'en parlons plus, it veux mourir chrétien.
APOLLINAIRE.	APOLLINAIRE.
I’execute à regrit vn ordre qui m’afflige.	J'exécecute à regrit un ordre qui m'afflige.
ADRIAN.	ADRIAN.
I’accepte auec plaiſir vn arreſt qui m’oblige, Plus il a de rigueur d’autant plus m’eſt il doux.	J'accepte avec plaisir un arrêt qui m'oblige, Plus il a de rigueur d'autant plus m'est il doux.
TIEODORE.	TIEODORE.
Helas mon cher couſin ayez pitié de vous, Ne vous obſtinéz point dedans cette humeur noire, Où penſez vous aller?	Hélas mon cher cousin ayez pitié de vous, Ne vous obstinéz point dedans cette humeur noire, Où pensez vous aller?
A l'immortalité.	À l'immortalité.
ADRIAN.	ADRIAN.
Au mattire, à la gloire,	Au mattire, à la gloire,
THEODORE.	THÉODORE.
Ie vois bien auiourd’huy Que c'eſt fait de mon frere & qu’il n'a plus d’appuy, Helas, i’ay dit ſouuent en ſoulageant ma peine, Par le recit flatteur d’vne eſperance vaine, I'eſpere en mon couſin il a trop de credit, Pour ne moderer pas la rigueur d’vn Edit, Et dans ce grand pouuoir que ne peut-il pas fairt, Pour adoucir le Prince en faueur de mon frere, Mais voſtre deſeſpoir vous va perdre tous deux.	Je vois bien aujourd'hui Que c'est fait de mon frère et qu'il n'a plus d'appui, Hélas, j'ai dit souvent en soulageant ma peine, Par le récit flatteur d'une espérance vaine, J'espère en mon cousin il a trop de crédit, Pour ne modérer pas la rigueur d'un Édit, Et dans ce grand pendant que ne peut-il pas fair, Pour adoucir le Prince en faveur de mon frère, Mais votre désespoir vous va perdre tous deux.
ADRIAN.	ADRIAN.
Si le jour de la foy vous entroit dans les yeux, Bien loing de conceuoir cette iniuſte triſteſſe, nous es ma Natatie auntz meſme aſtigreſſe:	Si le jour de la foi vous entrait dans les yeux, Bien loin de concevoir cette injuste tristesse, nous es ma Natie aunts même astigresse:
Mais ce n’eſt pas le lieu de nous entretenir, Entrons dans la priſon.	Mais ce n'est pas le lieu de nous entretenir, Entrons dans la prison.
THEODORE.	THÉODORE.
Ce ſeroit me punir Dene eſtrange façon, s te me fucuit comme elle, Suiure vne folle erreur & deuenir truelle, Non non i’auray touſiours meſme reſſentiment, Et n’entreray iamais dans voſtre aueuglement.	Ce serait me punir Dene étrange façon, s' on me fucuit comme elle, Suiure v folle erreur et devenir truelle, Non non j'aurai toujours même ressentiment, Et n'entrerai jamais dans votre aveuglement.
ADRIAN.	ADRIAN.
Eſclatantes maiſons des Princes de la terre, Palais diuertiſſants où l'or couure la pierre, Cabinets enrichis, baſtimens enchantez, Vous n’auez rien d’eſgal parmy vos vanitez Aux eitraits ue ce lieu, citte routte relente, Ces cachots empeſtez d'vne haleine puante, Ces groites à Lyons, ces manoirs de crapaux, Ces vieux paroirs fumez ces humides caueaux Ont des charmes ſecrets dont la douceur m'attire, Enfin à te moment comn nce mon martire, Ie voy deſia les fers que i’ay tant ſouhaiïez, I’approche des liens dont furent garottez Tant d’illuſtres martirs, ie touche leurs entraues, Et baiſe aues reſpect les vorroux de leurs caues.	Éclatantes maisons des Princes de la terre, Palais divertissant où l'or couvre la pierre, Cabinets enrichis, bâtiments enchantez, Vous n'avez rien d'égal parmi vos vanités Aux eitraits aise ce lieu, citte routte relente, Ces cachots empestez d'une haleine puante, Ces groites à Lyons, ces manoirs de crapaux, Ces vieux paroirs fumés ces humides caveaux Ont des charmes secrets dont la douceur m'attire, Enfin à te moment com née mon martyre, Je vois desya les fers que j'ai tant que, J'a des liens dont furent a Tant illustres martyrs, ie touche les entraues, Et baise aues respect les vorroux de leurs caues.
R AI.	R AI.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
MARTIAN ſeul.	MARTIAN seul.
Raſiers enſeuelis ſortez de vos tombeaux, DR’allumez-vous encore infortunez flambeaux, Et d’vne prompte ardeur embrazez ma poictrine;	Rasiers ensevelis sortez de vos tombeaux, DR'allumez-vous encore infortuné flambeaux, Et d'une prompte ardeur embrasez ma poitrine;
I’ayme encor Natalie & mon amour s’obſine A former des deſſeins où la raiſon ſe pert, Vn rayon d’eſperance à mes yeux s’eſt offers, Et comme ſi deſia Nat alie eſtoit veufue.	J'aime encor Natalie et mon amour s'obsine A former des desseins où la raison se pert, Un rayon d'espérance à mes yeux s'est offerts, Et comme si déjà Nat alie était veuve.
Ce feu precipité qui dans mon cœur s’eſttue Me promet ſa conqueſte, & traiſue puiſſamment Mes ſens enſorcelez dedans l’aueuglement Arreſte eſprit trompeur qui flattes man courage Dans l’eſpoir incertain d’vn pretesdu veu fuage,	Ce feu précipité qui dans mon cœur s'esttue Me promet sa conquête, et traisue puissamment Mes sens ensorcelez dedans l'aveuglement Arrête esprit trompeur qui flattes man courage Dans l'espoir incertain d'un prétesdu vu fumage,
Adrian vit encor & l’Arreſt de ſa mort, N’adonciroit en rien les rigueurs de mon ſert, Natalit à mes vœux touſiours inexorable, Payeroit de meſpru ma flame impitoyable;	Adrian vit encor et l'Arrêt de sa mort, N'adoncirait en rien les rigueurs de mon sert, Natalit à mes vœux toujours inexorable, Payerait de mespru ma flamme impitoyable;
Et l’amour ne pouuant faire breche à ſon cœur, Cette ingrate beauté ruroit de ma doultur, Il me doibt ſouuenir de mes premiers ſeruices, Et ſans m'abandonner à de nouueaux ſupplices, La plus grande fineſſe eſi de n’eſperer rien, Ceſſez douc tout à l’heure indiſcrettes penſées, Qui nourriſſez de vent mes flammes inſenſées, Et n’importunez plus crluy que la raiſon Veut charitablement detiurer de priſon!	Et l'amour ne pouvant faire brèche à son cœur, Cette ingrate beauté rurait de ma doultur, Il me doibt souvenir de mes premiers services, Et sans m'abandonner à de nouveaux supplices, La plus grande finesse esi de n'espérer rien, Cessez douc tout à l'heure indiscrettes pensées, Qui nourrissez de vent mes flammes insensées, Et n'importunés plus crlui que la raison Veut charitablement détirement de prison!
Helas elle le veut, mais ma chaiſne eſt trop forte, Et malgré ſes conſeils ma paßion l’importe:	Hélas elle le veut, mais ma chaîne est trop forte, Et malgré ses conseils ma passion l'importe:
Ouy ie reſuë touſiours à cet obiit vainqueur.	Oui ici rêve toujours à cet objet vainqueur.
Ie luy dreſſe vn Autel dans vn coin de mon cœur, où la ſecrette ardeur, contre qui ie m'irrite, D’vn culte opiniaſire adore ſon merite;	Je était dresse un Autel dans un coin de mon cœur, où la secrète ardeur, contre qui toujours m'irrite, D' culte opiniasire adore son mérite;
Ie me trahis moy-meſme, & ie change en poiſon Ce dont les qualitez rendent la gueriſon, Ma chaiſne ſe großit alors qu’on me l’arrache, Vne main lie encor ce que l’autre détache, Et ie treuue à la fin que ie me ſuis laſſé, Contre vn torrent rapide & n’ay rien aduancé.	Je me trahis moi-même, et ainsi change en poison Ce dont les qualités rendent la guérison, Ma chaîne se grossit alors qu'on me l'arrache, Une main lie encor ce que l'autre détache, Et a treuue à la fin que sans me suis lassé, Contre un torrent rapide et n'ai rien avancé.
C’eſt bien plus à propes, aimable Natalie, Dnbeyr ſans contrainte à veſtre trannie,	C'est bien plus à propes, aimable Natalie, Dnbeir sans contrainte à votre trannie,
Et puiſque Martian ne peut viure ſans vous, De ne combattre plus contre vn eſpoir ſi doux, Par l’importunité d’vne longue pourſuitte, On obtient les faueurs qu’on refuſe au merite, Et le temps grand ouurier de mille changements Soulage toſt ou tard les trauaux des amans, Et pourroit elle bien meſpriſer ma requeſte, Quand mon faſcheux riual aura laiſſé la teſte Sous le fer des bourreaux, & qu’elle pourra voir De mon fidelle amour l’admirable pouuoir, Qu’elle enuiſagera ſa conſtante durée, Qu’vn Hymen rigoureux n’aur a point alterée, Et qui conſerue encor de violens braſiers Apres vn deſeſpoir de traixe mois entiers?	Et puisque Martian ne peut vivre sans vous, De ne combattre plus contre un espoir si doux, Par l'importunité d'une longue poursuite, On obtient les faveurs qu'on refuse au mérite, Et le temps grand ouvrier de mille changements Soulage tôt ou tard les travaux des amants, Et pourrait -elle bien mépriser ma requête, Quand mon fâcheux rival aura laissé la tête Sous le fer des bourreaux, et qu'elle pourra voir De mon fidèle amour l'admirable pouvoir, Qu'elle envisagera sa constante durée, Qu' Hymen rigoureux n'aur a point alterée, Et qui conserve encor de violens brasiers a désespoir de traixe mois entiers?
Non elle aura pitié des tourmens que i’endure, Et i’oſe preſumer qu’eu cette conioncture, Se voyant ſans eſpoux & ſans election, Elle pourra m’armer par inclination, Ou que l’ambition ſe gliſſant dans ſon ame, Elle fera des vœux pour rappeler ma flamme.	Non elle aura pitié des tourments que j'endure, Et j'ose présumer qu'eu cette conioncture, Se voyant sans époux et sans élection, Elle pourra m'armer par inclination, Ou que l'ambition se glissant dans son âme, Elle fera des vœux pour rappeler ma flamme.
Et ioindre aux attraits charmans de ſa grande beaut L’eſclat de ma ſortune & de ma dignité, Mais ſi ſon cœur er fin re fuſe cette amorce, Ie pourray me reſoudre à la rauir de force, Et deuſſe-ie irriter contre moy tous les Dieux, Contenter iion amour & mourir à ſes yeux.	Et joindre aux attraits charmants de sa grande beaut L'éclat de ma sortune et de ma dignité, Mais si son cœur er fin re use cette amorce, Je pourrai me résoudre à la ravir de force, Et dusse-je irriter contre moi tous les Dieux, Contenter jion amour et mourir à ses yeux.
SCENE MAX(MIAN, APOLLINAIRE, MARTIAN.	SCÈNE MAXXMIAN, APOLLINAIRE, MARTIAN.
MAXIMIAN.	MAXIMIAN.
T bien noſtre Adrian perſiſte r’il encore 4 L Dans le meſpris des Dieux que mon empire henore, 4 S’obſtine t’il touſiours dans l'erreur des Chreſtiens?	 bien nôtre Adrian persiste r'il encore 4 L Dans le mépris des Dieux que mon empire henore, 4 S'obstine t'il toujours dans l'erreur des Chrétiens?
APOLLINAIRE.	APOLLINAIRE.
Ouy Seigneur, il triomphe au milieu des liens, lb niiat nos rigueurs in brant nos mendets, Ny l’eſpoir des faueurs.	Oui Seigneur, il triomphe au milieu des liens, l' abiat nos rigueurs in brant nos mendets, Ni l'espoir des faveurs.
ny la peur des diſgraces, Rien ne peut esbranſler ſa funeſte vertu.	Ne la peur des disgrâces, Rien ne peut ébranler sa funeste vertu.
MAXIMIAN.	MAXIMIAN.
De diuers mouuemeuts mon eſprit coinbatu Flotte entre la pitié, la colere & la haine, Ie ne puis ſans regret perdre vn tel Capitaine.	De divers mouuemeuts mon esprit coinbattu Flotte entre la pitié, la colère et la haine, Je ne puis sans regret perdre un tel Capitaine.
Et l’intereſt des Dieux combat ſi fort le mien, Qu’il faut ſouffrir ſa perte, ou ſou ffrir vn chreſtien, Triſte neceßité, mais iuſte tyrannie!	Et l'intérêt des Dieux combat si fort le mien, Qu'il faut souffrir sa perte, ou sou frir un chrétien, Triste nécessité, mais juste tyrannie!
Puiſque ma cruauté par ſoy-meſme eſt punie, Et qu’vn deſtin cruel me force à me rauir.	Puisque ma cruauté par soi-même est punie, Et qu'in destin cruel me force à me ravir.
Vn guerrier que i’eſtime & qui peut me ſeruir.	Un guerrier que j'estime et qui peut me servir.
APOLLINAIRE.	APOLLINAIRE.
Seigneur, il eſt à vous, vous le pouuez abſoudre.	Seigneur, il est à vous, vous le pouvez absoudre.
MAXMIAN.	MAXMIAN.
Mais ſon impunité m'expoſeroit au foudre, Tout Chreſtien me dort eſire v.	Mais son impunité m'exposerait au foudre, Tout Chrestien me dort esire v.
obiet odieux, I’ay iuré leur d ffaite & ie la dou aux Oieux.	objet odieux, J'ai juré leur d aite et je la dou aux Yeux.
ATOLLINAINE.	ATOLINAINE.
Les dieux ſeroient atetints d’vne iuſte triſteſſe Si vous verſiez au ſang pour vn trait be t'uneſſe, Et priuiez voſire eſiat d’vn gentieux appuy.	Les dieux seraient atétints d'une juste tristesse Si vous versiez au sang pour un trait be t'unesse, Et priviez vosire esiat d'un gentieux appui.
Qui ſe renara demaio lobſtine aujou d buy.	Qui se renara demaio lobstine aujou d' hui.
Qui condamne εη ſon Cαuν ιe trenſport ttmeraire, Qui l'expoſe aux rigueurs d’vne haute colère, Et qui viendroit offrui l’entens aux immor tels, S’il pouroit ſans rougie s'approcher des Autels, Qui viendroit a vos prras ſe declarer coupable, S’il pouuoit eſchapper la binte inéuitable, Qu'apres vn chongement ſi public & ſi promt.	Qui condamne son Cαuν ιe trendsport tenmeraire, Qui l'expose aux rigueurs d'une haute colère, Et qui viendrait offrui l'entends aux immor tels, S'il pourrait sans rougie s'approcher des Autels, Qui viendrait à vos prras se déclarer coupable, S'il pouuoit échapper la binte inéuitable, Qu'après un chongement si public et si promt.
Vn retour trop haſte luy mettroit ſui le front, P.	Un retour trop hâte lui mettrait sous le front, P.
rmettez luy, Stigneur vn repentir bonneſte, 'suffrez que ſans oppropre il conſetue ſa teſte, Et fuje les ſoupçons qu’il craint plus que la mort, O vn homme ſans courage ou d’vn eſprit peu fort.	rémettez femme, Stigneur un repentir bonnête, ' usuffrez que sans oppropre il consetue sa tête, Et fuje les soupçons qu'il craint plus que la mort, Ô un homme sans courage ou d'un esprit peu fort.
e tr MARTIAN.	Je tr MARTIAN.
rvuez pas mauuais, Seigneur ſi ie m’oppoſe .	ruvez pas mauvais, Seigneur si tu m'oppose .
d au gereux conſeils qu'apollinaire ex poſe, ſi m' interuſſant pour les Dieux & pour vous llume rian c vn he en noſtre cœur vn genereux courroux.	d au gereux conseils qu'apollinaire ex pose, si m' intéressant pour les Dieux et pour vous lume rian ç un hé en notre cœur un généreux courroux.
ſt Chreſtien & nous venons d’apprendre veux repentir le preſſe de ſe rendre, Mais que la honte ſeule en retarde l'effect;	st Chrétien et nous venons d'apprendre veux repentir le presse de se rendre, Mais que la honte seule en retarde l'effet;
Paiſſante coniecture, apres vn tet forfait Qui le rend criminel außi bien comme infame La honte de thanger peut entrer en ſon ame, Celuy qui des bourreaux attend la cruauté Peut craindre les ſoupçons d’vne legereté, Et dans le triſte eſtat où ſon orguëil le plenge, Preſſe de vreys dangers s’alarmer pour vn ſonge:	Paissante coniecture, après un tet forfait Qui le rend criminel aussi bien comme infâme La honte de tranger peut entrer en son âme, Celui qui des bourreaux attend la cruauté Peut craindre les soupçons d'une légèreté, Et dans le triste état où son orgueil le plenge, Presse de vite dangers s'alarmer pour un songe:
Car erfin cetti honte a peu de fondement, L’inconſtance eſt louable en cet cueuement, Et l’obſtination ne peus eſtre ſaiuie, Que d’vn long des-honneur & d’vne courte vie:	Car erfin cet honte a pu de fondement, L'inconstance est louable en cet cuement, Et l'obstination ne pus être saisie, Que d'un long des-honneur et d'une courte vie:
Mais ne preſumons pas que le temps puiſſe rien Sur l’eſprit endurcy d’vn ſuperbe Chreſtien.	Mais ne présumons pas que le temps puisse rien Sur l'esprit endurci d'un superbe Chrétien.
Dans ſon illuſion d’heure en heure il s’obſtine, Et loing de s’eſbrauler ſon trreur prend racine.	Dans son illusion d'heure en heure il s'obstine, Et loin de s'ébrauler son trreur prend racine.
Ie ſçay que lu valeur qu’Adrian a fait voir, De mes fortes raiſons affoiblit le pouuoir, Qu'vn tendre ſentiment vous preſente l’image De ſa force guerriere & de ſon grand courage, Et fait ſonner ſi haut les exploicts de ſon bras, Que ſon crime aupres d’eux ne ſe découure pas.	Je sais que lu valeur qu'Adrian a fait voir, De mes fortes raisons affaiblit le pouvoir, Qu' tendre sentiment vous présente l'image De sa force guerrière et de son grand courage, Et fait sonner si haut les exploits de son bras, Que son crime auprès d'eux ne se découvre pas.
Con ſiderez Stigneur combien eſt redoutable La temeraire ardeur d’vn genereux coupable, Et vous reſſ.	Con sidérez Stigneur combien est redoutable La téméraire ardeur d'un généreux coupable, Et vous rés.
uuenez du deſtin ſolemnel.	uuenez du destin solennel.
Qui promet aux hreſtiens vn empire eteruel, Que peut-eſtre ces temps touchent l’heure fatale	Qui promet aux hrestiens un empire étervel, Que peut-être ces temps touchent l'heure fatale
Qui les dout aſſeurer de l'Aigle Imperiale.	Qui les dout assurer de l'Aigle Impériale.
Et que pour entreprendre vn deſſein ſi hardy, Adrian chaque iour par vos ſoings aggrandy, Dimbraſſant le party de cette infame ſicte, Rend ſa foy dangereuſe & ſa valeur ſuſpecte.	Et que pour entreprendre un dessein si hardi, Adrian chaque jour par vos soings aggrandi, Dimbrassant le parti de cette infâme sicte, Rend sa foi dangereuse et sa valeur suspecte.
APOLLINAIRE.	APOLLINAIRE.
Vraymeut vous nous contez d’agreables terrreurs, Ignorez vous encor quels ſont nos tmperturs, Pour craindre les deſſeins d’vne troupt impuiſſante Que noſtre ſeul abord rempliroit d eſpouuante:	Vraimeut vous nous contez d'agréables terrreurs, Ignorez -vous encor quels sont nos terturs, Pour craindre les desseins d'une troupt impuissante Que notre seul abord remplirait d épouvante:
Mais vous ne ſçauez pas l’inter pretation Du glorieux ſujet de leur ambition:	Mais vous ne savez pas l'inter prétation Du glorieux sujet de leur ambition:
Ce Royaume ettrnel pour le quel ils ſouſpirent, Dans l’attente du quel ſans regret ils expirent, N'eſt qu’vne ihuſion de leur entendement, Qui ſe figure vn Ciel deſſus le firmament.	Ce Royaume ettrel pour le quel ils soupirent, Dans l'attente du quel sans regret ils expirent, N'est qu'une jusion de leur entendement, Qui se figure un Ciel dessus le firmament.
Où de ce corps mortel leurs ames deliurées, Soient eternellement de Nectar enniurées, Où des plus doux obiets l’amas delicieu x Contente leur eſprit & recrée leurs yeux.	Où de ce corps mortel leurs âmes délivres, Soient éternellement de Nectar enniurées, Où des plus doux objets l'amas délicieu x Contente leur esprit et recrée leurs yeux.
Ne leur enuions point ce bién ima, inaire.	Ne leur envions point ce bién ima, inaire.
MAXIMIAN.	MAXIMIAN.
Si faut-il qu’Adrian ſe reſoude à me plaire, Ou qu’en punition de ſa temerité, I’appaiſe dans ſon ſang mon eſprit irrité?	Si faut-il qu'Adrian se resoude à me plaire, Ou qu'en punition de sa témérité, J'apaise dans son sang mon esprit irrité?
Placide donnez ordre afin qu’on nous l’ameine.	Placide donnez ordre afin qu'on nous l'amène.
CENE III.	CÈNE III.
MAAIMIANN,ATOLLINAIRE, MARTIAN	MAIMIANN,ATOLINAIRE, MARTIAN
MAXIMIAN.	MAXIMIAN.
N quel eſtonnement, en quelle horrible peine, LO Dieux!	N quel étonnement, en quelle horrible peine, LO Dieux!
reduiſez vous mon cœur irreſolu!	réduisez -vous mon cœur irrésolu!
Que me ſert cette gloire & l’Empire abſolu, Que i’ay ſur l’Unsuers ſi i’entre en eſclauage De la haine, l’amour, la tendreſſ & la rage, Aueugles poſſeſſeurs d’vne ame ſans clarté Et Bourreaux inſolents d'vn tœur ſans liberté.	Que me sert cette gloire et l'Empire absolu, Que j'ai sur l'Unsuers si j'entre en esclavage De la haine, l'amour, la tendress et la rage, Aveugles possesseurs d'une âme sans clarté Et Bourreaux insolents d'un tœur sans liberté.
APOLLINAIRE.	APOLLINAIRE.
Seigneur vous allez faire vn couy irreparable, La raiſon d' Adrian n’eſt point encor traitable, La fureur le conduit & dans ſon entretien  MNO J Taa dlvas dna Jelmie Il peut dans ſa chaleur laſcher quelque blaſpheme, Ll vuin mtitin faus nouit en vn voutroux extremes Differez de le voir.	Seigneur vous allez faire un couy irréparable, La raison d' Adrian n'est point encor traitable, La fureur le conduit et dans son entretien MNO Y Fa dluivas dna Jelmie Il peut dans sa chaleur lâcher quelque blâme, Llasvin titin faus nouit en un voutroux extrêmes Différez de le voir.
MAXIMIAN.	MAXIMIAN.
Martian qu’en dis-tu?	Martian qu'en dis-tu?
MARTIAN.	MARTIAN.
Qu'enuers luy la pitié n’eſt point vne vertu, Qu’on luy fait trop de grace & qu’il faut tout.	Qu'envers Seigneur la pitié n'est point une vertu, Qu'on tu fait trop de grâce et qu'il faut tout.
l'heure, Qu'il offre aux immortels de l’encens ou qu’il meure Qu’il ſoit fait leur victime ou n'en refuſe pas, Qu'il marche vers le Temple, ou qu'il toure au trépas.	l'heure, Qu'il offre aux immortels de l'encens ou qu'il meure Qu'il soit fait leur victime ou n'en refuse pas, Qu'il marche vers le Temple, ou qu'il toure au trépas.
Qu'il quitte ſon erreur, ou qu’il perde la vie.	Qu'il quitte son erreur, ou qu'il perde la vie.
APOLLINAIRE.	APOLLINAIRE.
Il eſt iuſte en effet qu’elle luy ſoit rauie, Si pour le retirer de ſon aueu glement, La bonté de Cæſar, l’effroy du chaſtiment, Les offres, les bren faicts, l’artifice, les larmes, Et mide autres moyens ſont de trop foibles armes, Mais s’il nous reſte eusor quelque voye à tenter, On ſçait trop ce qu’il vaut pour rien precipiter, Sa vie a trop ſeruy pour endurer ſans honte, Qu’il la perde à nos yeux par vne mort trop prompte, Et nous regretterions vn ſang ſi pretisux, Qu’on pouuoit meſnuger ſans offenſer les Dieux, Seuuenez vous Seigntur qu'il n’eſt point de victoire, Plus digne du triomphe & plus pleine de gloire, Que celle qui s’obtient à quel prix que ce ſoit, Sur l’eſprit d'vn Chreſtien que la fureur deçoit, Que le Ciel vous en offre vn moyen fauorable, Que pour y parutuir toute voye eſt loüable, Et que vous deuez faire vn genereux effort, Pour tirer Adrian des ongles de la mort, Mais il entre Seigneur.	Il est juste en effet qu'elle femme soit ravie, Si pour le retirer de son aveu glement, La bonté de César, l'effrois du châtiment, Les offres, les bren faits, l'artifice, les larmes, Et mide à moyens sont de trop faibles armes, Mais s'il nous reste eusor quelque voie à tenter, On était trop ce qu'il vaut pour rien précipiter, Sa vie a trop servi pour endurer sans honte, Qu'il la perde à nos yeux par une mort trop prompte, Et nous regretterions un sang si pretisux, on pouuoit m ' on les Dieux, Seuuenez vous Pr qu'il est point de victoire, Plus digne du re et plus pleine de voir, Que celle qui 'on quel prix ou ce soit, Sur mes d' Amen que la fureur deçoit, Que le Ciel sans en offre n se fauorable, Que pour y parutuir toute voie est le, Et que vous deuez ie généreux effort, Pour tirer Adrian des il de la mort, N' il entre Seigneur.
SCENE IV ADRIAN, MAXIMIAN, APOLLINAIRE, MARTIAN, PLACIDE.	SCÈNE IV ADRIAN, MAXIMIAN, APOLLINAIRE, MARTIAN, PLACIDE.
MAXIMIAI	MAXIMIAI
JCiel!	JCiel!
ſe peut-il faire Que l’ennemy dis Dieux, l objet de ma colere, Omiuati, qu’vn Chreſtien ſe preſente à mis jeux?	se peut-il faire Que l'ennemi dis Dieux, l' objet de ma colère, Omiuati, qu'un Chrétien se présente à mis jeux?
ADRIAN.	ADRIAN.
Par vos ordres Seigneur on m’ameine en ces lieux.	Par vos ordres Seigneur on m'amène en ces lieux.
MAXIMIAN.	MAXIMIAN.
Miſerable Adrian, ie plains ta deſſinée, Que ton funeſie erreur va rendre infortunée.	Misérable Adrian, était plains ta dessinée, Que ton funesie erreur va rendre infortunée.
Et dans le ſentiment d’vne tendre pitté, Ie t’offre le pardon auec mon amitié.	Et dans le sentiment d'une tendre pitté, Je t'offre le pardon avec mon amitié.
dulardaare Il faut que le pardon preſuppoſe le crims, Et tout ce que i’ay fait me paroiſt legitime, On ne pardonne point vne bonne acti,n.	dulardaare Il faut que le pardon presuppose le crims, Et tout ce que j'ai fait me paraît légitime, On ne pardonne point une bonne acti,n.
MAXIMIAN.	MAXIMIAN.
Chreſtien, n’abuſe pas de ma compaßion, Penſe que ie me fais par vn effort extréme, Injuſte enuers le Ciel, injuſte enuers moy-mefme, Et que ſi ia raiſon ne veut ouurir les yeux.	Chrétien, n'abuse pas de ma compassion, Pense que je me fais par un effort extrême, Injuste envers le Ciel, injuste envers moi-même, Et que si ja raison ne veut ouvrir les yeux.
Ie me feray iuſtict auſſi biin qu’à nos Disux.	Je me ferai justict aussi by qu'à nos Disux.
ADRIAN.	ADRIAN.
L’effect m’en ſera doux mon ame eſt toute preſte, D'affronter les Bourreaux & leur offrir ma teſte;	L'effet m'en sera doux mon âme est toute prête, D'affronter les Bourreaux et leur offrir ma tête;
Et rauy d’eſperer vn ſi precieux ſort, Ie bay voſtre pitié qui retarde ma mort,	Et ravi d'espérer un si précieux sort, Je bais votre pitié qui retarde ma mort,
na tus aaes Prodigieux effect de ſon extrauagance.	na tus a Prodigieux effet de son extravagance.
MARTIAN.	MARTIAN.
