Q Source gallica.	Q Source galica.
Nous hacheront merde comine cran à parter.	Nous hacheront merde comine cran à parter.
Et peut eſtre d’entré ẽtſ ſerons nous reiettez.	Et peut -être d'entré ients serons nous rejettez.
dracip.	dracip.
Il nous faut tellement deſguiſer le viſage Qu’on nous prenne pluſtoſt pour quelque Iean potage:	Il nous faut tellement déguiser le visage Qu'on nous prenne plutôt pour quelque Jean potage:
Ou pour des Spacamonts, que pour d’honneſtes gens Qui eſtoient honnorez de tant de courtiſans.	Ou pour des Spaconts, que pour d'honnêtes gens Qui étaient honorez de tant de courtisans.
Teruobat.	Tervobat.
Noſtre premier meſtier nous ſeruira de maſque Et nous deliurera d’vne telle bourraſque:	Notre premier métier nous servira de masque Et nous délivrera d'une telle bourrasque:
leleprendrayl nitat d’vn lonnerte Iipler C’eſt comme vous ſçauez tout mon premier meſtier.	leleprendrayl nitat d'un lonnerte Jipler C'est comme vous savez tout mon premier métier.
Dracip.	Dracip.
Et moy ie reprendray mon antienne pratique, Qui eſtoit de crier dedans vne boutique, Michel, me diſoit-on, quitte ta belle, & crie.	Et moi ie reprendrai mon antienne pratique, Qui était de crier dedans une boutique, Michel, me disait-on, quitte ta belle, et crie.
Monſieur, botte portée, ou botte de hazard;	Monsieur, botte portée, ou botte de hasard;
Et par ce que i eſtois tout le plus grand bauard Qui iamais ait eſté dans la Sauaterie, Or vous ſçaurez comment ie quittay ce meſtier Auant que d’obtenir celuy de Maltotier, C’eſt que conformément à l’Eſtat que ie porte Ie deſrobay, de la on me mit à la porte.	Et par ce que j' étais tout le plus grand bavard Qui jamais ait été dans la Savaterie, Or vous saurez comment grande quittai ce métier Avant que d'obtenir celui de Maltôtier, C'est que conformément à l'État que je porte Ie dérobai, de la on me mit à la porte.
Et quoy que ma Maiſtreſſe euſt bonne volonté De ne pouuoir ſouffrir que l’on m’euſt mal traitté, Et qu’elle m’aymaſt plus que ſon vieil cocu meſme, Elle ne pût pourtant par tout ſon ſtratageme Empeſcher que mon maiſtre à qui i'auois volé, Deux petis ſoio far quenne muit bienquerelle, Et qu.	Et quoi que ma Maîtresse eût bonne volonté De ne pouvoir souffrir que l'on m'eût mal traité, Et qu'elle m'aimât plus que son vieil cocu même, Elle ne pût pourtant par tout son stratagème Empêcher que mon maître à qui j'avais volé, Deux petis soio far quenne muit bienquerelle, Et qu.
ayant bien couru pour tacher de me battre Enfin il me chaſſa me donnant cinq & quatre;	ayant bien couru pour tacher de me battre Enfin il me chassa me donnant cinq et quatre;
Ie m’en vais achepter quelque ſale tablier.	Je m'en vais achetter quelque sale tablier.
Auec l’habit poiſſé d’vn Maiſtre Cordonnier.	Avec l'habit poissé d'être Maître Cordonnier.
Telbuod.	Telbuod.
Il ne faut point penſer qu'on vous puiſſe connoiſtre Quand auec cét habit on vous verra paroiſtre Vous ſçauez quand à moy, cela n’eſt point nouueau, Que iamais ie ne fus autre que Maquereau, Et que pour le preſent n’en connoiſſant plus guerre Pour me bien deſguiſer ie ne ſçaurois que faire, Car ie n’ayplus du tout de filles ſous mes gages Pour me refaire encor fripier de pucelages.	Il ne faut point penser qu'on vous puisse connaître Quand avec cet habit on vous verra paraître Vous savez quand à moi, cela n'est point nouveau, Que jamais rien ne fus autre que Maquereau, Et que pour le présent n'en connaissant plus guerre Pour me bien déguiser quelque ne saurais que faire, Car ie n'aiplus du tout de filles sous mes gages Pour me refaire encor fripier de pucelages.
Ah!	Ah!
la vache eſt à moy!	la vache est à moi!
ie vendray des Chanſons, (Car ie laiſſeray vendre aux femmes des chifons) Ce n’eſt pas mon meſtier, mais bien des Maquerelles Apres quelles n’ont plus connoiſſance de belles, Et de ce pas ie vais pour mes quatre ou cinq ſous Aenepeer des Onanions pour erier auec vous.	ie vendrai des Chansons, (Carque rai vendre aux femmes des chifons) Ce n'est pas mon métier, mais bien des Maquerelles Apres quelles n'ont plus connaissance de belles, Et de ce pas un vais pour mes quatre ou cinq sous Aenepeer des Onanions pour erier avec vous.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
SIOBSED ſeul.	SIOBSED seul.
TOILA qui eſt eſtrange!	TOILA qui est range!
on ne ſçait reconnoiſtre Les deſſeins de Paris par eſpion ny traiſtre Le Bourgeois eſt armé, & par vn grondement Chacun parle à la fois, mais tous diuerſement;	on ne sais reconnaître Les desseins de Paris par espion ni traître Le Bourgeois est armé, et par un grondement Chacun parle à la fois, mais tous diversement;
L’vn dit, on va au pain, l’autre dit, à la guerre, L’vn ſieger S.	L'un dit, on va au pain, l'autre dit, à la guerre, L'un siéger S.
Germ ain, l’autre ayme mieux ſe taire Mais le plus gros bruit eſt que ſans doute demain Tout le Pariſien ſort pour ſieger S.	Germ ain, l'autre aime mieux se taire Mais le plus gros bruit est que sans doute demain Tout le Parisien sort pour siéger S.
Germain, Ie ne ſçaurois que dire à Nirazam mon Maiſtre Qu’il cherche vn eſpion ie ne le veux plus eſtre.	Germain, Je ne saurais que dire à Nirazam mon Maître Qu'il cherche un espion ie ne le veux plus être.
Il veuit ſçauoir au vray ce que ieru t'arie y Comment le ſçaura-il?	Il vit Savoir au vrai ce que jerv t'arie y Comment le saura-il?
ie ne l’ay point apris, Cependant, il vaut mieux que ie luy faſſe entendre Ce que l’on dit, affin qu’il ſonge à ſe deffendre;	Je ne l'ai point appris, Appendant, il vaut mieux que ie tu fasse entendre Ce que l'on dit, afin qu'il songe à se défendre;
Mais, Dieu!	Mais, Dieu!
quelqu’vn s’aduance, helas ie ſuis perdu Certes ie ſuis trouſſé ſi l’on m’a entendu Ah, c’eſt mon Maiſtre elui.	quelqu'un s'avance, hélas je suis perdu Certes tu suis troussé si l'on m'a entendu Ah, c'est mon Maître elle.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
NRAZAM, YREMED, NALETAC, SIOBSED.	NRAZAM, YREMED, NALETAC, SIOBSED.
NIRAZAM.	NIRAZAM.
Hé bien qu’elle nouuelle?	Hé bien qu'elle nouvelle?
La ville de Paris eſt elle encor rebelle?	La ville de Paris est elle encor rebelle?
Siobsed.	Siobséd.
Monſieur pluſque iamais dans deux heures au plus, el memlamelneos	Monsieur plusque jamais dans deux heures au plus, elle memlamelne
Naletac.	Naletac.
Ah!	Ah!
nous ſommes perdus.	nous sommes perdus.
Treme'd.	Treme elle.
es tu bien aſſeuré de ce que tu rapportes.	es tu bien assuré de ce que tu rapportes.
Siobsed.	Siobséd.
Quoy?	Quoi?
apres auoir veu les Pariſiens aux portes Auec des armes, pains, poudres, munitions, Beaucoup d’artillerie, auec force canons?	après avoir vu les Parisiens aux portes Avec des armes, pains, poudres, munitions, Beaucoup d'artillerie, avec force canons?
Apres vn bruit confus de cette populace:	Après un bruit confus de cette populace:
Parmy nos ennemis il faut nous faire place Il faut ſans differer en prenant S.	Parmi nos ennemis il faut nous faire place Il faut sans différer en prenant S.
Germain Amener vif ou mort ce traiſtre Nirazam.	Germain Amener vif ou mort ce traître Nirazam.
Ie l’aurons ce voleus, & en deſpit dũ Prince, Qui a tant rauagé noſtre pauure Prouince, Iely apprendons bien qu’auecques noſtre argent On ne doit deſrober vn Roy ſecretement.	Je l'aurons ce voleus, et en dépit dum Prince, Qui a tant ravagé notre pauvre Province, Jely apprendons bien qu'avecques notre argent On ne doit dérober un Roy secrètement.
Helas!	Hélas!
quand i’entendois du peuple la menace Qui eſtoit contre vous dviſc mortene aduace Ah que ie pleignois bien voſtre ma lheureux ſort!	quand j'entendais du peuple la menace Qui était contre vous dusc mortène avace Ah que ie pleignois bien vôtre ma lheureux sort.
Nirazam.	Nirazam.
Desbois mon bon amy ne me plains pas ſi fort.	Desbois mon bon ami ne me plains pas si fort.
Ah ie crains.	Ah belle crains.
Siobsed.	Siobséd.
Nirazam.	Nirazam.
Que crains tu?	Que crains tu?
crains tu qu’on te delaiſſe?	crains tu qu'on te délaisse?
D i Helas non!	D y Hélas non!
mais ie crains que ma pauure Maiſtreſſe Que i'allois viſiter de deux iours en deux iours Pour ma trop longue abſence eſteigne ſes amours:	mais ainsi crains que ma pauvre Maîtresse Que j'allais visiter de deux jours en deux iours Pour ma trop longue absence éteigne ses amours:
et vne perte encor que ie crois ſans pareille, C'eſt que ie ne ſois plus Cheualier de la Treille, Car tous les Cheualiers ſans gouſter mes raiſons Ne me ſouffriront point apres mes trahiſons, Et s’ils me connoiſſoient ſi traiſtre à ma patrie Il me degraderoient de la Cheualerie.	et une perte encor que ainsi crois sans pareille, C'est que tu ne sois plus Chevalier de la Treille, Car tous les Chevaliers sans goûter mes raisons Ne me souffriront point après mes trahisons, Et s'ils me connaissaient si traître à ma patrie Il me dégraderaient de la Chevalerie.
Yremee d.	Yremée d.
Queitce done quercutcno.	Queitce donc quercutcno.
juoprapale bien haut, Ou bien c’eſt vne alarme ou vn traiſtre nouueau.	juoprapale bien haut, Ou bien c'est une alarme ou un traître nouveau.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
DRACIP, TERVOBAT, NIRAZAM, YREMED.	DRACIP, TERVOBAT, NIRAZAM, YREMED.
NALETAC, SIOBSED.	NALETAC, SIOBSED.
Dracip.	Dracip.
Botte à changer, Monſieur :	Botte à changer, Monsieur :
Monſieur botte portée.	Monsieur botte portée.
Nirazam.	Nirazam.
nb MNuiſis	né MNuisis
Teruobat.	Tervobat.
Caſaque ſupportée, Monſieur, habit d’eſté:	Casque supportée, Monsieur, habit d'été:
Bonnet quarré Monſieur.	Bonnet quarré Monsieur.
Naletac.	Naletac.
Que nous veut dire donc cét impudent crieur?	Que nous veut dire donc cet impudent crieur?
Teruobat.	Tervobat.
Monſieur, ſotanne neufve.	Monsieur, sotanne neuve.
Dracip.	Dracip.
I'ay de bonnes bottes.	J'ai de bonnes bottes.
Yreme d.	Yreme d.
I'eſtime qu’ils ſont forte.	J'estime qu'ils sont forte.
Nirazam.	Nirazam.
5 Si ie vous prens maraults.	5 Si ici vous prends maraults.
Des bottes de hazard.	Des bottes de hasard.
Dracip.	Dracip.
Momieur, voyez icy.	Momieur, voyez ici.
Naleiac.	Naleiac.
Ah bon Dieu qu’eſt cecy!	Ah bon Dieu qu'est ceci!
Teruobat.	Tervobat.
De bons chapeaux, Monſieur, habits de drap d’eſpagne.	De bons chapeaux, Monsieur, habits de drap d'espagne.
Oounv M ona dd oMiE.	Oounu M ona dd oMiE.
NIRAZAM, YREME'D, DRACIP, TERVOBAT, SIOBSED, TELBVOD.	NIRAZAM, YREME'D, DRACIP, TERVOBAT, SIOBSED, TÉLBVOD.
TELBVOD ENTRE, · CHANTANT.	TELBVOD ENTRE, Â CHANTANT.
Courante nommee la Princeſſe.	Courante nommée la Princesse.
ROYEZ vous galands malheureux Par des yeux languiſſans, des reſpects, & des vœux Teſmoigner l’ardeur de vos ux Par ma farine, Ie ſuis aymé de ma belle voiſine, D'vn peu de lard Ie mets vn pucelage en grand hazard.	ROYEZ -vous galants malheureux Par des yeux languissants, des respects, et des vœux Témoigner l'ardeur de vos ux Par ma farine, Je suis aimé de ma belle voisine, D'un peu de lard Je mets un pucelage en grand hasard.
Philis qu’vn amant eſt peu fin C’eſt la Chanſon du temps.	Philis qu'un amant est peu fin C'est la Chanson du temps.
De vous offrir des vœux quand vous mourez de faim Et que vous n’auez pas de paim, Chere Maiſtreſſe:	De vous offrir des vœux quand vous mourez de faim En que vous n'avez pas de paim, Chère Maîtresse:
Ie vous en aporte vn gros de Goneſſe Et pour l’auoir, Ie ne demande rien qu’vn peu d’eſpoir.	Je vous en aporte un gros de Gonesse Et pour l'avoir, Je ne demande rien qu'un peu d'espoir.
Chaſſez le coquet affamé Qui croit par vn ſonnet ou par vn bout rimé 2 ndre digne d’eſtre aymé,	Chassez le coquet affamé Qui croit par un sonnet ou par un bout rimé 2 ndre digne d'être aimé,
Dans la famine, Il faut des poix, du lard, de la farine Pour tout auoir, Ie ne demande rien qu’vn peu deſpoir.	Dans la famine, Il faut des poix, du lard, de la farine Pour tout avoir, Je ne demande rien qu'un peu dépoir.
Adieu les bijoux du Palais, Les chanſons, les Romans, les beaux mots, les Poulets, Adieu la danſe & les balets Pour eſtre aymable, Il ne faut plus que tenir bonne table Vnvray galalld Ne ſe doit point trouuer ſans pain chaland.	Adieu les bijoux du Palais, Les chansons, les Romans, les beaux mots, les Poulets, Adieu la danse et les ballets Pour être aimable, Il ne faut plus que tenir bonne table Unvrai galalld Ne se doit point trouver sans pain chaland.
la Nirazam.	la Nirazam.
Pente ſolt des pendais qui dans ſoitre anemblée Viennent entremeſſer leur chetiue denrée, Il importe pourtant en ces extremitez De trouuer vn repaire à nos meſchancerez.	Pente solt des pendais qui dans soitre anemblée Viennent entremesser leur chétive denrée, Il importe pourtant en ces extrémités De trouver un repaire à nos méchancerez.
Yreme d Vous ſçauez mieux que moy qu’aucun lieu de la terre, Ne pourroit iamais eſtre aux voleurs ſalutaire, Vous nous auez rendu tellement odieux Par vos deportemens & deſſeins fartieux, Que ſi vous n’auez pas aux diables cognoiſſancé Nous fommes tous perdus ſans aucune eſperance.	Yreme d Vous savez mieux que moi qu'aucun lieu de la terre, Ne pourrait jamais été aux voleurs salutaire, Vous nous avez rendu tellement odieux Par vos déportements et desseins fartieux, Que si vous n'avez pas aux diables cognoissancé Nous fommes tous perdus sans aucune espérance.
Nirazam.	Nirazam.
I'en ay depuis long-temps au grand diable Pluton, et i’eſpere de luy quelque choſe de bon.	J'en ai depuis longtemps au grand diable Pluton, et j'espère de même quelque chose de bon.
Ie faiſois auec luy le plus ample trafique Que iamais fit ſorcier auec ſon art magique, Pourueu qu’il me donnaſt grand’quantité d’argent Ie luy ay accordé & preſté le ſerment Qu’il auroit les porteurs de cette marchandiſe, En ſuitte de cela aymant ma chalandiſe, Il me fit dans la France intendant des voleurs, Et de là ſont venus tant de monopoleurs, Car s’il me ſuggeroit par ſes grandes largeſſes Vn moyen d’amaſſer de nouuelles richeſſes Auſſi-toſt ie cherchois deux mille Partiſans Qui voloient hardiment les pauures payſans:	Je faisais avec deux le plus ample trafique Que jamais fit sorcier avec son art magique, Pourvu qu'il me donnât grand’ quantité d'argent Je a ay accordé et prêté le serment Qu'il aurait les porteurs de cette marchandise, En suite de cela aimant ma chalantise, Il me fit dans la France intendant des voleurs, Et de là sont venus tant de monopoleurs, Car s'il me suggérait par ses grandes largesses V en d'amasser de nouvelles richesses Aussi-tôt ie cherchais deux mille Partisans Qui volaient hardiment les pauvres paysans:
Ainſi pour chaque impoſt que i ay mis dans la France I'ay mis deux mils voleurs en ſa pleine puiſſance, Et comme compagnons de mes mechancetez, Aſſeurez vous d’auoir ce que vous meritez.	Ainsi pour chaque impôt que j' ai mis dans la France J'ai mis deux mils voleurs en sa pleine puissance, Et comme compagnons de mes méchancetés, Assurez -vous d'avoir ce que vous méritez.
Ouy, tenez pour certain quoy que le François faſſe Que parmy les demons vous aurez bonne place, Et generalement pour vous & vos commis I’y en ay retenuë & fait beaucoup d’amis.	Oui, tenez pour certain quoi que le Français fasse Que parmi les démons vous aurez bonne place, Et généralement pour vous et vos commis J'y en ai retenue et fait beaucoup d'amis.
Drabip.	Drabip.
Il faut pourtant nous taire, Nous irons auec eux.	Il faut pourtant nous taire, Nous irons toujours eux.
Telbuod.	Telbuod.
Voila bien noſtre affaire.	Voilà bien notre affaire.
Nirazam Allons donc au pluſtoſt voir meſſire Caron Qu’il nous faſſe parler à ſon maiſtre Pluton, Puiſque communement les cantons de la terre Sont armez contre nous pour nous faire la guerre.	Nirazam Allons donc au plustost voir messire Caron Qu'il nous fasse parler à son maître Pluton, Puisque communément les cantons de la terre Sont armés contre nous pour nous faire la guerre.
Siobſed.	Siobséd.
Allez, on vous fera vne Croix ſur le dos, I a France apres cela ſera plus en rẽpos, Quand à moy, ie m’en vais auec grande allegréſſe Iouir de ce bon-heur aupres de ma maiſtreſſe.	Allez, on vous fera une Croix sur le dos, I a France après cela sera plus en rẽpos, Quand à moi, une m'en vais sez grande allegrésse Jouir de ce bonheur auprès de ma maîtresse.
Teruobat.	Tervobat.
ouiuons ces autres cy.	ouivons ces autres cy.
Nirazam.	Nirazam.
He Caron oues tu?	He Caron êtes -tu?
Nalelac.	Nalelac.
Nous n’auons point encor trop long tems at tendu Peut-eſtre paſſe il quelqu’vn à l’autre riue.	Nous n'avons point encor trop long temps at tendu Peut-être passe il quelqu'un à l'autre rive.
Yreme'd.	Yreme'd.
Il nous faut donc iey attendre qu’il arriue.	Il nous faut donc iey attendre qu'il arrive.
Il ſort.	Il sort.
Caron, Draçip.	Caron, Draçip.
derriere la iapiſſerie.	derrière la japisserie.
On y va, on y va.	On y va, on y va.
Pluton, derriere, &c.	Pluton, derrière, etc.
Attens, ie veux paſſer pour ſçauoir qui eſt là, Ie crois voir vn grand train, ſçachons ce qu’il demande.	Attends, Seigneur veux passer pour savoir qui est là, Je crois voir un grand train, sachons ce qu'il demande.
SCENE SEPTIESME & derniere.	SCÈNE SEPTIÈME et dernière.
PLVTON, CARRON NIZARAM, YREME'D, TElCTODHT, DlerIeI, TELBVOD.	PLUTON, CARRRON NIZARAM, YREME'D, TÉlCTODHT, DlerIeI, TELBVOD.
Pluton.	Pluton.
Ah mon cher Nizaram vous auez groſſe bande?	Ah mon cher Nizaram vous avez grosse bande?
Nirazam.	Nirazam.
C’eſt Monſſeur Yreme d'& Monſſeur Naletac.	C'est Monsieur Yreme d'il Monsseur Naletac.
Pluton, Ces deux autres icy auecques leur biſſac, ne lone lle pue danrde voiere compagnie?	Pluton, Ces deux autres ici avec leur bissac, ne lone lèle pue danrde voière compagnie?
Nirazam.	Nirazam.
lis ſe font pas des michs, potir teſs ie les renie.	lis se font pas des michs, potir tess ie les renie.
Pluton.	Pluton.
C’eſt la Iean Telbuod, aſſeurément ce l’eſt.	C'est la Jean Telbuod, assurément ce l'est.
Telbuod.	Telbuod.
voue cirauen mhener, chcurbnoir vous plaiſt.	voue cirau mhener, chcurbnoir vous plaît.
Nirazam.	Nirazam.
Il eſt de dans la France en bien autre poſture,	Il est de dans la France en bien autre posture,
Pluton.	Pluton.
Ce ſont la Teroubat comme ie coniecture, C’eſt Telbuod & Dracip, ou ie ſuis abuſé.	Ce sont la Teroubat comme femme conjecture, C'est Telbuod et Dracip, ou que suis abusé.
Naletac.	Naletac.
A quoy bon, chacun d’eux ſeroit il deſguiſé?	À quoi bon, chacun d'eux serait -il déguisé?
Pluton.	Pluton.
Parce qu'ils ſçauent bien que par trop d’auarice, Ils ne m’ont point rendu vn fidele ſeruice,	Parce qu'ils savent bien que par trop d'avarice, Ils ne m'ont point rendu un fidèle service,
Cai Car au lieu d’engager beauconp d’autres humains, Dedans tous leurs impoſts fe ſeruans de leurs mains Ils ont au grand meſpris de mon noir diadeſme Pour faire vn plus grand gain voulu tout faire eux meſme Ailin a lles derpens ns le Ione ereilios Sans iamais m’acquerir que fort peu de commis.	Cai Me au lieu d'engager beauconp d'autres humains, Dedans tous leurs impôts feylieurs de leurs mains Ils ont au grand mépris de mon noir diadème Pour faire un plus grand gain voulu tout gai eux même Ailin a lles derpens nus le Ione ereilios Sans jamais m'acquérir que fort peu de commis.
Yreme'd.	Yreme'd.
Si cela eſt, mon Prince, ils ne ſont point capables, D’obtenir aux enfers de charges honorables:	Si cela est, mon Prince, ils ne sont point capables, D'obtenir aux enfers de charges honorables:
Mais ie ne ſçaurois croire en ces habillemens Quir s y puhle eceneraueans des parcilans, Au reſte ſondez les, & vous pourrez apprendre En quatre petits mots ce qu’ils ont dans le ventre.	Mais personne ne saurais croire en ces habillements Quir s y puhle eceneraueans des parcilants, Au reste sondez les, et vous pourrez apprendre En quatre petits mots ce qu'ils ont dans le ventre.
Pluton.	Pluton.
Viens ça icy bon homme, aproche, qui eſt tu?	Viens ça ici bon homme, approche, qui est tu?
Nomme moy ton parrain, & d’où tu es venu.	Nomme moi ton parrain, et d'où tu es venu.
Teruobat Moy:	Tervobat Moi:
le luis vit pauure homme à voſtre humble ſeruice, Il faut ſe conſoler, pauureté n’eſt point vice, On m’appelle la Broche, & mon premier meſtier (Que i’exerce à preſent) c’eſt celuy de Fripier.	le luis vit pauvre homme à votre humble service, Il faut se consoler, pauvreté n'est point vice, On m'appelle la Broche, et mon premier métier (Que j'exerce à présent) c'est celui de Fripier.
Pluton.	Pluton.
Et toy qui fais icy vne triſte grimace, Qui eſt tu!	Et toi qui fais ici une triste grimace, Qui est tu!
Telbuod.	Telbuod.
Qui ie ſuis?	Qui ie suis?
mon nom eſt la beſace, Normand de Nation, mon meſtier maquereau:	mon nom est la besace, Normand de Nation, mon métier maquereau:
Mais voyant que chez moy ie n’auois rien de beau Qu on le irequentore plus mon honneſte maiſon, I'ay pris auſſi l’eſtat de vendeur de Chanſon.	Mais voyant que chez moi je n'avais rien de beau Qu on le iquentore plus mon honnête maison, J'ai pris aussi l'état de vendeur de Chanson.
Pluton.	Pluton.
Et toy dis moy ton nom & ton meſtier ſans feinte,	Et toi dis -moi ton nom et ton métier sans feinte,
Dracip.	Dracip.
Ie ſuis vn Cordonnier on m’appelle la pointe,	Je suis un Cordonnier on m'appelle la pointe,
Nirazam.	Nirazam.
Voila de plaiſans noms.	Voilà de plaisants noms.
Naletac.	Naletac.
Auſſi bien ſuppoſez, Que ces droſles d’habits dont ils ſont deguiſez.	Aussi bien supposés, Que ces drôles d'habits dont ils sont déguisés.
Pluton.	Pluton.
La broche, eſt-ce pas vous qui par l’obeiſſance Que vous rendiez iadis à ma toute puiſſance, Pour auoir de l’aigent auez par tant de fois Mis tant & tant d’impoſts ſur le pauure Bourgeois.	La broche, est-ce pas vous qui par l'obéissance Que vous rendiez jadis à ma toute puissance, Pour avoir de l'aigent auez par tant de fois Mis tant et tant d'impôts sur le pauvre Bourgeois.
Au dvoenes l'Aſne.	Au dvoène l'Âne.
Ouy, ie ſuis vn Bourgeois, qu’infinité de droſles Ont fait mourir de faim par mille Monopoles.	Oui, Seigneur suis un Bourgeois, qu'infinité de drôles Ont fait mourir de faim par mille Monopoles.
Pluton.	Pluton.
Dis moy donc, n’eſt tu pas ce fameux partiſan Que Pay taiit entieny des brens du Payſan.	Dis -moi donc, n'est tu pas ce fameux partisan Que Pai taiit entieni des brens du Paysan.
La Broche.	La Broche.
Ouy ie ſuis payſan, & ne ſuis gueres riche Iugez ſi on eſt gueux quand on feſſe la miche.	Ou ie suis paysan, et ne suis guère riche Jugez si on est gueux quand on fesse la miche.
Pluton.	Pluton.
Ecia ne prouue pomt ta grande pauureté, Ie ne ris pas, dis moy la pure verité.	Écia ne prouve pomt ta grande pauvreté, Je ne ris pas, dis moi la pure vérité.
La Broche.	La Broche.
Ouy, ouy la verité eſt vne belle choſe Ie l’ay veuë autresfois elle eſt couleur de roſe.	Oui, oui la vérité est une belle chose Je l'ai vue autrefois elle est couleur de rose.
Flhlon.	Flhlon.
Ah!	Ah!
ſi i’entre en furie, on en verra beau ieu Ie te feray ietter dans vn horrible feu.	si j'entre en furie, on en verra beau jeu Je te ferai jeter dans un horrible feu.
La Broche.	La Broche.
Monſieur ie n’ay pas froid, ne bougez ie vous prie Ie n’en ay pas beſoin, ie vous en remerciet	Monsieur ici n'ai pas froid, ne bougez je vous prie Je n'en ai pas besoin, ie vous en remerciet
Pluton.	Pluton.
Peſte ſoit du coquin qui ſi impudemment Quand ie parle ſe rit de mon commandement, Toy, à ce que tu dis, qui t’appelles la Pointe, Reſpons:	Peste soit du coquin qui si impudemment Quand Je parle se rit de mon commandement, Toi, à ce que tu dis, qui t'appelles la Pointe, Respons:
mais ſouuiens toy que ſi ta contrepointe Tu receuras de moy vn iuſte chaſtiment, A ce que ie diray reſpons directement.	mais souviens toi que si ta contrepointe Tu recevras de moi un juste châtiment, À ce que personne dirai répons directement.
La poincte.	La pointe.
Sicargumentaris, toy qui te dis la pointe, Reſpons.	Sicargumentaris, toi qui te dis la pointe, Responds.
Mais ſouuiens toy queſi tu contre pointe?	Mais souviens toi quéi tu contre pointe?
Tu receuras de moy vn iuſte chaſtiment Nego conſequentiam, de ce bel argument.	Tu recevras de moi un juste châtiment Négo conséquentiam, de ce bel argument.
Pluton.	Pluton.
marauit que veux tu dire auec ta conſe quence Quoy?	maravit que veux tu dire avec ta conse quence Quoi?
tu te ris encor de mon interrogance?	tu te ris encor de mon interrogance?
La poincte.	La pointe.
Sic argamentar is, adinterrogatum, Quoy tu te ris encore?	Sic argamentar is, adinterrogatum, Quoi tu te ris encore?
concedo le totum.	concédo le totum.
deit luton.	deit luton.
Tu te gauſſes de moy auec ton ie l’accorde?	Tu te gausses de moi avec ton jours l'accorde?
Tu ne te tairas point ſi ie ne prens la corde?	Tu ne te tairas point si ici ne prends la corde?
Concedo.	Concedo.
La pointé.	La pointé.
Fiuion.	Fivon.
Ce pendart me feroit enrager.	Ce pendard me ferait enrager.
La pointe.	La pointe.
Tranſeat.	Transeat.
Pluton.	Pluton.
Ah!	Ah!
tantoſt ie te feray changer, Mais voyons celuy-cy, il pourra nous apprendre Ce que de-ces deux-là, ie n’ay point ſçeu entendre La bezace;	tantôt ie te ferai changer, Mais voyons celui-cy, il pourra nous apprendre Ce que de-ces deux-là, notre n'ai point su entendre La bezace;
du moins ç’eſt la ton ſobriquet, Car ie veois Telbuod ſous ton plaiſant roquet Dis moy en bonne foy, mais dis ſans raillerie, Nent ce pomt toyqui as pai mine volleries Fait mourir le ſoldat, ruiné le bourgeois elpuiſé tout l’argent du pauure villageois?	du moins ç'est la ton sobriquet, Car ie veois Telbuod sous ton plaisant roquet Dis moi en bonne foi, mais dis sans raillerie, Nent ce pompt toiqui as pai mine volleries Fait mourir le soldat, ruiné le bourgeois elpuisé tout l'argent du pauvre village?
S.	S.
1 La Bezace.	1 La Bezace.
Dedans vn ſeul cayer, Monſieur, l’y en a quatre à quatre Et ie les vends vn ſol ſans rien du tout rabattre.	Dedans un seul cayer, Monsieur, l'y en a quatre à quatre Et ie les vends un sol sans rien du tout rabattre.
Pluton.	Pluton.
Quel ruſtau eſt cela?	Quel rûtau est cela?
tu n’as point de raiſon, Reſpons, ſans me parler de ta vieille chanſon.	tu n'as point de raison, Responds, sans me parler de ta vieille chanson.
La Begace.	La Bégace.
Vous ſçauez mieux que moy point d’argẽt point de ſuiſſe Sans payer ma chanſon, croyez vous que ie puiſſe Pour quelque grand mercy donner ce qu’on me vend?	Vous savez mieux que moi point d'argien point de suisse Sans payer ma chanson, croyez vous que toute puisse Pour quelque grand merci donner ce qu'on me vend?
EBieseere Ie n’ay iamais connu vn pareil impudent.	EBieseere Je n'ai jamais connu un pareil impudent.
La bezace.	La bezace.
Oüy Monſieur i'en connois, mais ie vous dis de belles Et ie vous en promets deux qui ſeront pucelles.	Oui Monsieur j'en connais, mais ainsi vous dis de belles Et tu vous en promets deux qui seront pucelles.
Pluton.	Pluton.
Voyla de vrays maraults qui ſans doute ont iuré De ſe mocquer d’vn Roy qui doit eſtre adoré, re ne ſçaurois jouniit de cet qæ Limpudence Qui par des alibis meſpriſent ma puiſſance Caron prenez les moy, & que de grands tourmens Leurs ſeruent auiourd’huy de iuſtes chaſtimens.	Voilà de vrais maraults qui sans doute ont juré De se moquer d'un Roi qui doit être adoré, re ne saurais jouniit de cet qæ Limpudence Qui par des alibis méprisent ma puissance Caron prenez les moi, et que de grands tourments Leurs servent aujourd'hui de justes châtiments.
Caron.	Caron.
Hé, la Pointe viens çà, la proche & la Bezace Approchez-vous Vrayement vous auez bonne grace De vous railler ainſi de mon Prince Pluton.	Hé, la Pointe viens çà, la proche et la Bezace Approchez-vous Vraiement vous avez bonne grâce De vous railler ainsi de mon Prince Pluton.
La DYotne, La Bezace à bien dit, qu’il n’y faiſoit pas bon, Qu’on nous maltraitteroit au Royaume des Diables.	La DYotne, La Bezace à bien dit, qu'il n'y faisait pas bon, Qu'on nous maltraiterait au Royaume des Diables.
