A TRESILLVSTRE ET TRES-GENEREVX Prince Monſeigneur de Vaudemont.	À TRESILLVSTRE ET TRÈS-GÉNÉREUX Prince Monseigneur de Vaudemont.
LARDY.	LARDY.
Voſtre forfaict commis m’eſt encore caché.	Votre forfait commis m'est encore caché.
MAVRICE.	MAURICE.
Mais le Ciel de ſon œil deſcouure mon peché, Cagane le ſçait bien, qui compagnon d’offences Sera faict compagnon aux celeſtes vengeances, Ces innocens espris tout fraichement meurtris Demandent la iuſtice ai celeſte pourprh.	Mais le Ciel de son œil découvre mon péché, Cagane le sait bien, qui compagnon d'offens Sera fait compagnon aux célestes vengeances, Ces innocents épris tout fraîchement meurtris Demandent la justice ai celeste pourprh.
PHILIPIQVE.	PHILIPIQUE.
Auez vous pour cela veu parmy la nuict ſombreQuelque ſpectacle aſfreux, quelqu’vne de leur ombre,	Avez -vous pour cela veu mi la nuit sombreQuelque spectacle asfreux, quelqu'une de leur ombre,
Sire dictes le moy.	Sire dictes le moi.
MAVRICE.	MAURICE.
Dans mes tremblans poulmons, A ce ſeul ſouuenir renaiſſent des glaçons, Las Philipique helas, ceste ſeule penſée Rend tous mes jens iroublez, & mon ame incenſée,	Dans mes tremblants poulons, À ce seul souvenir renaissent des glaçons, Las Philipique hélas, cette seule pensée Rend tous mes jens iroublés, et mon âme incensée,
B iiii	 Biiji
O triſte ſouuenir, ô l’armoyeux penſer, Eſcoutés ſi i’ay point cauſe de lamenter.	Ô triste souvenir, ô l'armoy penser, Escoutés si j'ai point cause de lamenter.
Ceſtoit quant à minuict la courriere argentée, A là maiſon des Dieux de diamans ſemée, Que tous les animaux, & les hommes laſſez Du ſomme Letheen ont les deux yeux preſſez, Quant voicy l’Eternel armé de ſon tonnerre Faiſant ce me ſembloit branſler toute la terre, Qui ſ’apparuſt à moy, ie friſſonné d’horreur, Car deuant luy marchoit l’effroy, & la terreur, Ses yeux eſtoient de feu, ſa face rayonnante Me ſembloit de deſdain quelque peu palliſſante, Les fers, les foüets, les feux, les abiſmes, les morts, La faim, la ſoif, l’exil,, les malheurs, les efforts Le ceinturoient autour, & entr’ouurant ſa bouche, Il approche enflambé de ma tremblante couche.	Cestoit quant à minuict la courrière argentée, A maison des Dieux de diamants semée, Que tous les animaux, et les hommes lassez Du somme Letheen ont les deux yeux pressez, Quant voici l'Eternel armé de son tonnerre Faisant ce me semblait branler toute la terre, Qui s'apparût à moi, notre frissonné d'horreur, Car devant mille marchait l'effroi, et la terreur, Ses yeux étaient de feu, sa face rayonnante Me semblait de dédain quelque peu pallissante, Les fers,les santé, Les feux, les assis, les morts, La faim, à moi, lexil, les malheurs, La morts Le ceinturoient autour, et entr’a fa bouche, Il le enflambé de ma tremblante ur.
Malheureux ce dict-il, ô trois fois malheureux Paiſible tu iouys du doux preſent des Cieux Deſſus vn lict mollet tu hume à longue haleine, Le ſommeil doux-charmeur de ta cuiſante peine, Sans d’vn œil preuoyant regarde ce meſchef, Que ie va tout à coup darder deſſus ton chef.	Malheureux ce dit-il, ô trois fois malheureux Paisible tu jouis du doux présent des Cieux Dessus un lit mollet tu hume à longue haleine, Le sommeil doux-charmeur de ta cuisante peine, Sans d'un œil prévoyant regarde ce mèches, Que tu va tout à coup darder dessus ton chef.
Dis moy traiſtre dis moy, quelle vaine esperance, T’a de tes maux paſſez osté la ſouuenance?	Dis -moi traître dis -moi, quelle vaine espérance, T'a de tes maux passez ôté la souvenance?
Ne te ſouuient il plus des Soudars maſſacrez, Des ſignes que i’ay ia par pluſieurs fois monſtrez De mon bruſlant courroux, de mon ire boüillante, Et tu vis en repos ſans que rien t'espouuante, Eſueïle eſueille toy, penſe par quelle mortTu me veux appaiſer, & effacer ce tert.	Ne te souvient il plus des Soudars massacrez, Des signes que j'ai ia par plusieurs fois montrez De mon brûlant courroux, de mon ire bouillante, Et tu vis en repos sans que rien t'épouvante, Esueïle le toi, pense par quelle mortTu me veux apaiser, et effacer ce tert.
Si tu veux eſſayer quelque dague ennemie Qui t'oste le repos de ceſte douce vie, Ou bien ſi tu deſire, & ſi tu ayme mieux Estre faict le butin d’vn peuple furieux, Ouſi ie veux bannir bien loing de ceſte terre Toy, tes enfans tendrets, & ton espouſe chere, Afin que vous erriez chetifs, & que les Cieux Se bandent contre vous, vous ſoient iniurieux, Que l’Element herbu malgré ſoy vous ſupporte, Que vous alliez cherchant le pain de porte en porte, Vagabonds, esplorez, & que meſme les eaux Ne vous reçoiuent pas dans leurs venteux bateaux, Que des vents coniurez l’haleine bourſouflante, N’excite incontinent l’horreur d’vne tourmente, Ou ſi Vulcan lié à ton doré plancher Ie vous face en monceaux luy ſeruir de bucher, Ou ſi voulant fuyr en quelque antre ſauuageIe te face esprouuer d’vne Louue la rage, Mais cela eſt trop doux, mon ire ne peut pas Esteindre ſa fureur dans vn ſimple trespas, Il faut que tous les maux, qu'vn monde de detreſſeTe tourmente agité, te bourelle, te preſſe.	Si tu veux essayer quelque dague ennemie Qui t'ôte le repos de cette douce vie, Ou bien si tu désire, et si tu aime mieux Étre fait le butin d'Un peuple furieux, Ousi ie veux bannir bien loing de cette terre Toi, tes enfants tendrets, et ton épouse chère, Afin que vous erriez chétifs, et que les Cieux Se bandent contre vous, vous soient injurieux, Que l'Élément herbu gré soi vous supporte, Que vous alliez cherchant le pain de porte en porte, Vagabonds, rez, et que même les eaux Ne vous reçoiuent pas dans leurs venteux bateaux, Que des et que Uhaleine boursouflante, excite incontinent re tourmente, Ou si Vulcan Ne ton doré plancher Ie vous re en ç lui servir de bûcher, Ou si voulant fuir en quelque antre sauuageIe te face esprouuer d Louue a rage, Mais cela est trop doux, mon ire ne peut pas Le sa ur dans v simpletrépas, Il faut que tous les m, qu'gn monde de detresseTe tourmente agité, te bourelle, te presse.
Maurice ie te dis que deuant que le iour Ait caché ſa lueur dans le moite ſeiour, Tu te verras chaßé, & reduit en ſeruage Tu verras tes Soudarts d’vn allumé courage Mettre le feu par tout, & en despit de toy Creer ton ſeruiteur de ton Empire Roy Qui enflé du ſuccez de fortune prospere, Te fera depiteux mordre des dents la terres.	Maurice ie te dis que devant que le jour Ait caché sa lueur dans le moite seiour, Tu te verras chassé, et réduit en servage Tu verras tes Soudarts d' Humé courage Mettre le feu par tout, et en dépit de toi Crevre ton serviteur de ton Empire Roi Qui enflé du succès de fortune prospère, Te fera dépiteux mordre des dents la terres.
B –	 B
Toy qui a ſoubs ton ioug mis l’Empire Romain, Qui ploye maintenant ſoubs ta Royalle main, Ce iour, ce meſme iour, deſcheu de ta puiſſanceOn ne te voudra veoir, n'y rendre obeyſſance.	Toi qui a sous ton joug mis l'Empire Romain, Qui ploie maintenant soups ta Royalle main, Ce jour, ce même jour, descheu de ta puissanceOn ne te voudra voir, n'y rendre obéissance.
Ouiras tu pauuret en quel lieu bocager En quel antre eſcarté fuiras tu le danger, Si tu prens du Soleil la maiſon matineuſe, Si tu le va trouuer vers ſa couche nuiteuſe Ie te ſuis, ie te ſuis, tu ne dois eſperer, Que tu puiſſe en fuyant le trespas euiter Tu mourras, tu mouras, ta dextre parricide S’ira ſouler en l’Or du fleuue Acherontide, Ou ie t’appelleray en mon Throſne plus ſainct Si ie vois que tu ſois de repentance attainct Or ſus donc tu mouras c’eſt choſe reſolüe, Tes larmes, & tes cris ſe perdent en la nüe, Et pour te faire encor de cela plus certainVn appellé Phocas ſe doit lauer la main Dans ton ſang i’alliſſant comme en vne fontaine Ta femme &t tes enfans encourront meſme peine.	Ouviras tu pauvret en quel lieu bocager En quel antre écarté fuiras tu le danger, Si tu prends du Soleil la maison matineuse, Si tu le va trouver vers sa couche nuiteuse Je te suis, je te suis, tu ne dois espérer, Que tu puisse en fuyant le trépas éviter Tu mourras, tu mouras, ta dextre parricide S'ira soûler en l'Or du fleuve Acherontide, Ou Roi Rappellerai en mon Toue plus sainct Siie vois que tu sois de ra y Or en mon tu mouras est chose plu, Tes larmes, et tes soi se perdent en la que, Et pour tu soi encor de re plus certainVn appellé Phocas se doit ta la in Dansut sangriallissant comme en fontaine Ta femme tes enfans encourront as peine.
Il euſt dict, & ſoudain ſe tournant vers les Cie Außi toſt ſ'enuola, & ſ'osta de mes yeux, Plus viste qu'vn efetair, plus vn te quun tonnerre Que ſur les monts astrez quelquefois il deſerre Las!	Il eût dit, et soudain se tournant vers les Cie Aussi tôt s'envola, et s'ôta de mes yeux, Plus te qu'un efetair, plus un te quun tonnerre Que sur les monts astrez quelquefois il déserre Las!
qui est ce Phocas, Philippe dis le moy, Qui me doit maſſacrer, & puis ſe faire Roy.	qui est ce Phocas, Philippe dis le moi, Qui me doit massacrer, et puis se faire Roi.
PHILIPIQVE.	PHILIPIQUE.
Vn Phocas depiteux a dedans vostre armée Semble par des preſens les vouloir allaicter?	Un Phocas dépiteux a dedans votre armée Semble par des présents les vouloir allaicter?
Il leue le ſoureil, & ſe faict respecter, Mais ce n'eſt qu'vn coüard, & la guerrriere audace Ne priſt tamais cnez luy jd Martiatepiace.	Il lève le soureil, et se fait respecter, Mais ce n'est qu'un couard, et la guerrière audace Ne prît toujours cédés y cy Martiatepiace.
MAVRICE.	MAURICE.
» La cruauté touſiours accompagne la peur, „ Elle ne loge pas dedans vn braue cœur.	" La cruauté toujours accompagne la peur, „ Elle ne loge pas dedans un brave cœur.
C’eſt luy donc le cruel, qui ſe doit faire maistre De mon ſceptre qui va à ſa main ſe ſoubmettre.	C'est assez donc le cruel, qui se doit faire maître De mon sceptre qui va à sa main se soumettre.
LARDY.	LARDY.
Qu'vn Roy ſoit commandé d’vn ſimple ſeruiteur?	Qu'un Roi soit commandé d'un simple serviteur?
MAVRICE.	MAURICE.
C’eſt du Ciel conmre la vengeame rigueur.	C'est du Ciel commère la vengeame rigueur.
PHILIPIQVE.	PHILIPIQUE.
conje Qvous que le peuple enduraſt ceste iniure,	conje Qvous que le peuple endurât cette injure,
MAVRICE.	MAURICE.
C’eſt luy qui luy fera la premiere ouuerture,	C'est lui qui qui fera la première ouverture,
LARDY.	LARDY.
Si le peuple animé conspire contre vous Nous auons des amis qui ſe ioindront à nous,	Si le peuple animé conspire contre vous Nous avons des amis qui se joindront à nous,
MAVRICE.	MAURICE.
» Tout le monde eſt amy à ceux que la fortune .	" Tout le monde est ami à ceux que la fortune .
Enfle d’heureux ſuccez, & ſe rend opportune, Phocas naura que trop de peuples pour fonder Son regne commencé:	Enfle d'heureux succès, et se rend opportune, Phocas naura que trop de peuples pour fonder Son règne commencé:
puis au Throſne monter Chacun luy aidera, c’eſt du Ciel la vengeance Rien ne peut en cela la terrestre puiſſance.	puis au Trône monter Chacun sens aidera, c'est du Ciel la vengeance Rien ne peut en cela la terrestre puissance.
Ie mourray, ie le ſçay, & ia mon œil noircy Apeine de Phœbus voit le front eſclaircy, Le cizeau eſt ouuert de la mortelle Parque, I’ay ia vn pied planté dans l’infernale barque, L’arrest eſt prononcé au palais ſouuerain, Las!	Je mourrai, Seigneur le sais, et ja mon œil noirci Apeine de Phœbus voit le front éclairci, Le cizeau est ouvert de la mortelle Parque, J'ai ia un pieds planté dans l'infernale barque, L'arrêt est prononcé au palais souverain, Las!
ce n’eſt pas la mort qui cauſe mon deſdainIe l’ay bien merité, & l’Astrée iustice Sur tous les maux puniſt le crime d’auarice, Mais ce qui me faict mal, pire que n’eſt la mort, C’eſt de mes enfançons le trop cuiſant remord, Faudra il ah Seigneur!	ce n'est pas la mort qui cause mon desdainIe c'ai bien mérité, et l'Astrée justice Sur tous les maux punît le crime d'avarice, Mais ce qui me fait mal, pire que n'est la mort, C'est de mes enfançons le trop cuisant remord, Faudra il ah Seigneur!
que ces creaturettes Sentent ainſi que moy les mortelles ſagettes!	que ces créaturettes Sent ainsi que moi les mortelles sagettes!
LARDY.	LARDY.
Vn fantoſme vaguant par les obſcures nuicts Peut il tant en vn Roy ammonceler d’ennuis, Qu’il banniſe de luy tout plaiſir, toute ioye, Et d’vn rongeant ſoucy, le face eſtre la proye.	Un fantôme vaguant par les obscures nuits Peut il tant en un Roi amonceler d'ennuis, Qu'il bannise de lui tout plaisir, toute joie, Et d'un rongeant souci, le face être la proie.
Ah!	Ah!
Sire, reueſtez vostre maſle vigueur, Chaſſez bien loing de vous ceste nocturne peur, Que diroient vos ſubiects, ſi pour vn faux image Qui vous eſt apparu, vous perdiez le courage Voz ennemis bandés ſe moqueroient de vous, Vous ſertez la riſée, & la fable de tous.	Sire, reuestez votre mâle vigueur, Chassez bien loin de vous cette nocturne peur, Que diraient vos sujets, si pour un faux image Qui vous est apparu, vous perdiez le courage Voz ennemis bandez se moqueraient de vous, Vous sertez la risée, et la fable de tous.
Si quelqu’vn vient pour vous cauſer quelque dõmage Qu’il ſente vostre effort au Martial courage Confortez vous d'espoir, & reprenez le teinct, Dont i’ay veu autrefois vostre viſage peinct Ne nous tourmentons pas nous meſme en ce monde, La terre en elle aſſez est de douleurs feconde.	Si quelqu'un vient pour vous causer quelque dommage Qu'il sente votre effort au Martial courage Confortez vous d'espoir, et reprenez le teinct, Dont j'ai vu autrefois vôtre visage peinct Ne nous tourmentons pas nous -même en ce monde, La terre en elle assez est de douleurs féconde.
MAVRICE Ie ſuis tout plain de mort, & de iour, & de nuict Aux champs, en la maiſon, ce mal poignant me ſuit,	MAURICE -Je suis tout plain de mort, et de jour, et de nuit Aux champs, en la maison, ce mal poignant me suit,
PHILIPIQVE.	PHILIPIQUE.
Pourquoy chagrinez vous ceſte plaiſante vie Eſclaue de ſoucy la tenant aſſeruie, Vous auez du moyen de prendre voz esbas, Sans treſſuer d’ahan en ces mortels combas, Le Pactole Indien ne roule dans ſon onde Tant de ſablons iaunis par la lampe du monde, Que vous auez, heureux, de treſors amaſſez Qui font vn riche mont l’vn ſur l’autre entaſſez Les citadins de l’air fourniſſent vostre table, Tous les iours par deux fois en cent metz variable.	Pourquoi chagrinez vous cette plaisante vie Esclave de souci la tenant asservie, Vous avez du moyen de prendre voz ébas, Sans tressuer d'ahan en ces mortels combas, Le Pactole Indien ne roule dans son onde Tant de sablons jaunis par la lampe du monde, Que vous avez, heureux, de trésors amassez Qui font un riche mont l'un sur l'autre entassez Les citadins de l'air fournissent votre table, Tous les jours par deux fois en cent metz variable.
Les animaux des bois donnent leur part außi Et ce que Neptun tient de plus rare & choiſi Soubs l’humide maiſon de ſon onde chenüe Ne ſe pourmeine en l’eau ſans qu’il y contribüe.	Les animaux des bois donnent leur part aussi Et ce que Neptun tient de plus rare et choisi Oubs l'humide maison de son onde chenue Ne se pourmeine en l'eau sans qu'il y contribue.
Le Harpeur Amphyon ioignant à ſes costez ra Lutn charme-ſoucy, decoupe des motez, Qui chantez par ſa vois fretillardement douce Les faicts doux compagnons de ſon remuant pouce.	Le Harpeur Amphyon joignant à ses côtés ra Lut charme-soucy, decoupe des motés, Qui chantez par sa vois fretillardement douce Les faits doux compagnons de son remuant pouce.
MAVRICE.	MAURICE.
Cela ne peut tollir mon malheur obstiné, Ie ne puis eſchapper, il eſt predeſtiné » Außi le miel confi dans l’humaine lieſſe » Neſçauroit detramper l'aigreur d’vne triſteſſe».	Cela ne peut tollir mon malheur obstiné, Je ne puis échapper, il est prédestiné " Aussi le miel confi dans l'humaine liesse " Nesçauroit détramper l'aigreur d'une tristesse ".
SCENE SECONDE.	SCÈNE SECONDE.
MAVRICE.	MAURICE.
LARDY.	LARDY.
ASTROLOGVE.	ASTROLOGUE.
L’HERMITE HERODIAN.	L'HÉRMITE HÉRODIAN.
MESSAGER DE O MDCONGEN DE.	MESSAGER DE Ô MDCONGEN DE.
GYPTE.	GYPTE.
L’ESCVYER.	L'ÉCUYER.
I L’ASTROLOGVE.	I J'ASTROLOGUE.
Ardonnez Empereur ſi mon viſage affreux Porte peinct ſur le front quelque cas douloureus Moy des long temps verſez au mestier des Estoilles Ie les ay veus trembler dans les celeſtes voiles, I’ay veu du globe ardant deſcendre des fuſeaux Qui flambeus ſe fondoient aux tours de voz chaſteaus vn comete crinem errant parmy ta ptaine Du Royaume Etheré, chaque nuict ſe pourmeine Trainant auecque ſoy pluſieurs houpes de feux, Preſage trop certain de la rançœur des Cieux.	Ardonnez Empereur si mon visage affreux Porte peinct sur le front quelque cas douloureus Moi des long temps versez au métier des Étoilles Je les ai vus trembler dans les célestes voiles, J'ai vu du globe ardant descendre des fuseaux Qui flambeus se fondaient aux tours de vocés chasteaus un comète crinemb errant parmi ta putaine Du Royaume Éthéré, chaque nuit se pour Se auecque ne Trieurs houpes de feux, Presage trop certain de la rançœur des Cieux.
MAVRICE.	MAURICE.
Penſe tu que ce feu, que ce brandon Celeste Prediſe contre moy quelque choſe funeſte.	Pense tu que ce feu, que ce brandon Céleste Predise contre moi quelque chose funeste.
L’ASTROLOGVE.	L'ASTROLOGUE.
Dieu Prophete aſſeuré, qui encloſt en ſes mains L'infortuné destin de nous pauures humains, Vueille loing destourner ſur le Payen Empire Ces embraſez flambeaux meſſagers de ſon ire, Mais ie crains qu’vn malheur ne talonne vos pas, Et de quelqu’vn des vostres ourdiſſe le treſpas.	Dieu Prophète assuré, qui enclôt en ses mains L'infortuné destin de nous pauvres humains, Vueille loing détourner sur le Payen Empire Ces embrasez flambeaux messagers de son frère, Mais un crains qu'à malheur ne talonne vos pas, Et de quelqu'un des vôtres ourdisse le trépas.
MAVRICE.	MAURICE.
Du grand pere Ocean ſur la moitenſe riue Tant de flots blanchiſſans l’vn ſur l’autre n’arriue, Quand les venteus eſprits, horriblement grondans Creuſe ſon eſtomac, & baloient ſes flans, Que ie ſens arriuer de monceaux de triſteſſes Qui font ſurgir touſiours des nouuelles detreſſes Le Ciel nous monſtre helas!	Du grand père Ocean sur la moitense rive Tant de flots blanchissants l'un sur l'autre n'arrive, Quand les venteus esprits, horriblement gronds Creuse son estomac, et balaient ses flans, Que ie se arriuer de monceaux de tristesses Qui font surgir toujours des nouvelles detresses Le Ciel nous montre hélas!
ſon front plein de courroux, La terre veut außi ſe bander contre nous, Des pays plus loingtains enclos dedans ſa maſſe Lon me vient annoncer du grand Dien la menace, Mais qui eſt cestuy cy qui faict luire en ſa main, Les eſclairs furieux d’vn acier inhumain.	son front plein de courroux, La terre veut aussi se bander contre nous, Des pays plus loingtains enclos dedans sa masse Lon me vient annoncer du grand Dien la menace, Mais qui est celui cy qui fait luire en sa main, Les éclairs furieux d'un acier inhumain.
L’HERMITE.	L'HÉRMITE.
Quel vent me portera ſur la teste pointüe Du Caucaſin rocher voiſine de la nüe, Pour euiter la charge impoſée ſur moy, D’annoncer les malheurs du lamentable Roy.	Quel vent me portera sur la tête pointue Du Caucasin rocher voisine de la nue, Pour éviter la charge imposée sur moi, D'annoncer les malheurs du lamentable Roy.
Sus, ſus, eſcoute moy, que ma voix deſerrée Penetre du Soleil l’vne & l’autre contrée.	Sus, sus, écoute -moi, que ma voix deserrée Pénétre du Soleil l'une et l'autre contrée.
Que la terre ſ'entre-ouure, afin que l’AcheronEntende les accens de mon deſastré ſon.	Que la terre s'entre-ouure, afin que l'AcheronEntende les accends de mon désastré son.
Tu mourras malheureux, mais helas!	Tu mourras malheureux, mais hélas!
ce qui bouche Le canal qui retient la voix dedans ma bouche, C’eſt qu’aux yeux maternels en pieces eſcartez Tes fils perdront du iour les celestes clartez.	ce qui bouche Le canal qui retient la voix dedans ma bouche, C'est qu'aux yeux maternels en pièces écartés Tes fils perdront du jour les célestes clarté.
Que fußiez vous pluſtost quelque berger champestre, Que ce que le deſtin vous faict maintenant eſtre.	Que fussiez -vous plutôt quelque berger champêtre, Que ce que le destin vous fait maintenant été.
Ta femme te ſera compagne en ton malheur, Combien que ſeul tu ſois de ton crime l’autheur, Mais n’attend ſi tu veux le boüillonnant courage Du tyran eſchaufé, ie verſeray l’orage, Du Ciel venge-pechez, & peut estre tes fils N’y ta femme apres toy ne ſeront deconfis, Ca approche de moy ta poitrine inhumaine, En y baignant ce fer i’accourciray la peine, Que tu as merite par tes damnables faicts, Voila, voila les fruicts des auares forfaicts.	Ta femme te sera compagne en ton malheur, Combien que seul tu sois de ton crime l'auteur, Mais n'attend si tu veux le bouillonnant courage Du tyran échauffé, Seigneur verserai l'orage, Du Ciel venge-péchez, et peut -être tes fils N'y ta femme après toi ne seront déconfis, Ca approche de moi ta poitrine inhumaine, En y baignant ce fer ce ferai la peine, Que tu as mérite par tes damnables faits, Voila, voila les voilà les auares fruits.
LARDY.	LARDY.
Ouſu eſt cetuy cy, que tong ja tom biſage,	Ousu est celui celui, que tong a tom bisage,
L’HERMITE.	L'HÉRMITE.
C’eſt vne ire des Cieux, ce n’eſt pas vne rage.	C'est une ire des Cieux, ce n'est pas une rage.
LARDY.	LARDY.
Oſe tu ſot vieillard, oſe tu contre vn Roy Darder iniurieux ta blasphemante voy?	Ose tu sot vieillard, ose tu contre un Roi Darder injurieux ta blasphéante vois?
L’HERMITE.	L'HÉRMITE.
Qui n’a reueré Dieu faut il qu'on le reuere?	Qui n'a révéré Dieu faut -il qu'on le révère?
LARDI.	LARDY.
Qui t’a appris des Cieux la future colere,, » Le futur eſt caché, & pas vn des mort elz " N’ouure le cabinet des ſecretz immortelz	Qui t'a appris des Cieux la future colère, " Le futur est caché, et pas un des mort élés " N'ouvre le cabinet des secrets immortelés
L’HERMITE.	L'HÉRMITE.
Rien n’eſt caché à Dieu, qui decouure aux Prophetes Ouſi Les choſes qui ſe font, celles qui ſeront faictes.	Rien n'est caché à Dieu, qui découvre aux Prophètes Ôjusi Les choses qui se font, celles qui seront faites.
MAVRICE.	MAURICE.
Mes Princes laißez le, qu’on ne l'offence pas, Di moy vieillard l'eſtat de mon proche treſpas.	Mes Princes laisse le, qu'on ne l'offense pas, Dis moi vieillard l'état de mon proche trépas.
L’HERMITE.	L'HÉRMITE.
Rien ne peuſt que la mort deuelopper ton ame, Mais tu y conduiras tes enfans et ta femme.	Rien ne pût que la mort développer ton âme, Mais tu y conduiras tes enfants et ta femme.
MAVRICE.	MAURICE.
Ie me garantiré auecque mes amis, Des deſſeins animés de mes fiers ennemis.	Je me garantiré était mes amis, Des desseins animés de mes fiers ennemis.
L’HERMITE.	L'HÉRMITE.
Tu as beau bigarrer tes pleines de gendarmes Faire mirer le Ciel au luſtre de leurs armes.	Tu as beau bigarrer tes pleines de gendarmes Faire mirer le Ciel au lustre de leurs armes.
Encore que le ſoir le midy le reſueil, Ceux qui voyent ſix mois tournoyer le Soleil, Viennent à ton ſecours, du vent de ſon haleine, damne tont puijjam decouurira ta plente, Vn fleuue larmoyeux, diſtillant de tes yeux, Peut plus que tes efforts faire ployer les Cieux.	Encore que le soir le midi le réveil, Ceux qui voient six mois tournoyer le Soleil, Viennent à ton secours, du vent de son haleine, damne tont puijjam découvrira ta plente, Un fleuve larmoyeux, distillant de tes yeux, Peut plus que tes efforts faire ployer les Cieux.
HERODIAN.	HÉRODIAN.
Quoyll’hostel du grand Dieu encerné d’vn orage, N'a il encor verſé ſa puniſſante rage Sur nous mortels chetifs, & l’enſouffré flambeau Ne nous a renuerſé ſous le poudreux tombeau.	Quoilà hôtel du grand Dieu encerné d'un orage, N'a il encor versé sa punissante rage Sur nous mortels chétifs, et l'ensouffré flambeau Ne nous a renversé sous le poudreux tombeau.
Ie penſois que le Ciel auiourd huy ſe deut fendre, Et que ia l’eternel ſoit prez pour en deſcendre, Tant de tiſons de feux, ont esté decouuers Noncer auancoureurs la mort de l’vniuers Ou ſi ce n'eſt la mort, & le decez du monde, Frince c'est contre vous que la machine ronde, Du Palais eſtoillez vomit ſes chauds courrous Empereur il est temps las!	Je pensais que le Ciel aujourd' Unui se déut fendre, Et que ja l'éternel soit pré pour en cendre, Tant de tisons de feux, ont été découvers Noncer avancoureurs la mort de l'univers Ou si ce n'est la mort, et le décès du monde, Frince c'est contre vous que la machine ronde, Du Palais étoillez vomit ses chauds courrous Empereur il est temps las!
de penſer à vous, Que i’ay craincte pour vous, & que ma paſle face, Prend à ce ſouuenir de renaiſſante glace.	de penser à vous, Que j'ai crainte pour vous, et que ma pâle face, Prend à ce souvenir de renaissante glace.
MAVRICE.	MAURICE.
Comme vn flot animé ſur le plancher marin, Pouſſe ſon compagnon, & l’autre ſon voiſin, Ou somme de Titan la rayonnante flamme Finiſſant vn beau iour, vn autre iour entame, Ainſi mon mal ſe ſuit, & le malheur mourant Eſt le commencement d’vn autre renaiſſant, Le ſommeil ne cloſt plus ma paupiere iumelle, Mron fonge mesponnante, & mon ume murtelle Pour me plus torturer Neptun fourniſt ſes eaux, Et de tous les costez on m’annonce des maux.	Comme un flot animé sur le plancher marin, Pousse son compagnon, et l'autre son voisin, Ou somme de Titan la rayonnante flamme Finissant un beau jour, un autre jour entame, Ainsi mon mal se suit, et le malheur mourant Est le commencement d'un autre renaissant, Le sommeil ne clôt plus ma paupière jumelle, Mron fonge méponnante, et mon âme murtelle Pour me plus torturer Neptun fournît ses eaux, Et de tous les côtés on m'annonce des maux.
MESSAGER DE THRACE.	MESSAGER DE -THRACE.
Empereur ie ne ſçay ſi la celeſte face, Ne veut plus œillader ſur noſtre pauure Thrace, Mais quaſi tous les iours quelque monſtre nouueau Espouuante nos yeux, nous troublant le cerueau, Nostre commune mere en maux opiniaſtre Ne nous produict rien plus que des fruicts de maran Encor n’aguere encor, regardés ſ’il vous plaiſt, Vne femme à porté c’eſt enfant contrefaict, Que ie viens vous monſtrer, choſe prodigieuſe, qui uace de maux la terre vicieuſe, Voyez comme ſon chef n’est qu’vn charnu monceau, Et comme il eſt priué de ſon double flambeau L’eſtomac cheuelu auec le chef s’aſſemble, Et d’vn confus chaos ſont peſle meſle enſemble, Rien n’apparoist des mains, n’y des ſourcils voutez, Ses pieds honteus ne ſont l’vn de l’autre eſcartez, Ains d’vn poiſſon marin hors de l’humaine taille, Ont ce ſemble empruntez, & la queüe, & l’eſcaille.	Empereur homme ne sais si la céleste face, Ne veut plus œillader sur notre pauvre Thrace, Mais quasi tous les jours quelque monstre nouveau Espouvante nos yeux, nous troublant le cerveau, Notre commune mère en maux opiniâtre Ne nous produit rien plus que des fruits de maran Encor aguere encor, regardez s'il vous plaît, Re femme porté est enfant contrefaict, Que ie viens vous monstrer, chose g, qui a de maux la terre vicieuse, Voyez comme son chef est charnu monceau, Et comme il est priué de son double flambeau estomac cheuelu auec le chef assemble, Et confus chaos sont pèle mêle ensemble, Rien apparoist des mains, y des sourcils voûtez, Ses pieds honteus ne sont de ' est, Ains poisson marin hors de humaine taille, Ont ce semble empruntez, et la queüe, et écaille.
MAVRICE.	MAURICE.
Dieu du Ciel qu’eſt-ce là, ô faict prodigieux, Et comment oſez vous en repaiſtre vos yeux, Sans donner aux enfers ſa plaine iouyſſance, Car ie croy que c’eſt là qu’il aura pris naiſſance, Percez de vos poignards ce charnu peloton, Il ne tient rien d’humain, c’eſt vn mauuais Demons, Phœbus à ſon regard tourneroit en arriere, Reprenant d’Orient la naiſſante cariere, Priuez le tout à faict de la lampe du iour, Il n'eſt digne iouyr du terrestre ſeiour.	Dieu du Ciel qu'est-ce là, ô fait prodigieux, Et comment osez -vous en repaître vos yeux, Sans donner aux enfers sa plaine jouissance, Car ie croy que c'est là qu'il aura pris naissance, Percez de vos poignards ce charnu peloton, Il ne tient rien d'humain, c'est un mauvais Demons, Bus à son regard tournerait en arrière, Reprenant d'Orient la naissante cariere, Privez le tout à fait de la lampe du jour, Il n'est digne jouir du terrestre seiour.
Quel autre Meſſager blanchi par le viſage Vlent encor me greuer?	Quel autre Messager blanchi par le visage Vlent encor me greuer?
des tournés ſon meſſage, Faictes l'yßir dehors, ie n’en veus plus ouyr, Ie ſçay que ce n’eſt rien, qui peuue reſiouyr.	des tournés son message, Faictes l'issir dehors, il n'en veux plus ouïr, Je sais que ce n'est rien, qui peuve réjouir.
PHILIPIQVE.	PHILIPIQUE.
