ACT EVRS.	ACT EURS.
E n’eſt donc qu’à deſſein de nourrir voſtre ennuy QQue vous vous diſpenſez de me ſuiure aujourd’huy, C’eſt pour eſtre chagrin, reſueur, melancholique Que vous me ſuppoſez vne affaire publique, Et le bien d’eſtre ſeul touche plus voſtre eſprit Que les empreſſemens d’vn Roy qui vous cherit;	E n'est donc qu'à dessein de nourrir votre ennui QQue vous vous dispensez de me suivre aujourd'hui, C'est pour être chagrin, rêveur, mélancolique Que vous me supposez une affaire publique, Et le bien d'être seul touche plus quelque esprit Que les empressements d'un Roi qui vous chérit;
Ce procedé m’eſtonne, & pour ne vous rien taire, Cette faſcheuſe humeur commence à me déplaire;	Ce procédé m'étonne, et pour ne vous rien taire, Cette fâcheuse humeur commence à me déplaire;
Ie ſuis jaloux de voir que toute ma faueur N’ait pû iuſques icy vaincre voſtre froideur, Que les Dieux nous ayant formez ce que nous ſommes, Les Rois puiſſent ſi peu pour le bon-heur des hommes, Puis qu’auec tout l’effort du pouuoir Souuerain, Ie ne puis rendre heureux l’ouurage de ma main;	Je suis jaloux de voir que toute ma faveur N'ait pu jusques ici vaincre votre froideur, Que les Dieux nous ayant formés ce que nous sommes, Les Rois puissent si peu pour le bonheur des hommes, Puis qu'avec tout l'effort du pouvoir Souverain, Je ne puis rendre heureux l'ouvrage de ma main;
Souhaittez, demandez, eſprouuez mon eſtime Par tout ce qu’vn ſujet peut ſouhaitter ſans crime;	Souhaitez, demandez, éprouvez mon estime Par tout ce qu'un sujet peut souhaiter sans crime;
Ne me déguiſez rien, ouurez moy voſtre cœur, Parlez, que vous faut-il?	Ne me déguisez rien, ouvrez -moi votre cœur, Parlez, que vous faut-il?
MONCADE.	MONCADE.
Pardonnez-moy, Seigneur, Si ſur vn tel diſcours, ie ne ſçay que reſpondre, Cet excez de bontez doit ſi fort me confondre Que ie croirois, grand Roy, l’auoir peu merité, S’il laiſſoit mon efprit dans quelque liberté, Il le faut toutefois, mon ſilence eſt vn orime, Il faut qu’à vos genoux, Monarque magnanime, Ic iure que mes yeux ont dementy mon cœur, S’ils n’ont pas aſſez bien exprimé mon bon-heur:	Pardonnez-moi, Seigneur, Si sur un tel discours, je ne sais que répondre, Cet excès de bontés doit si fort me confondre Que ie croirais, grand Roi, l'avoir peu mérité, S'il laissait mon efprit dans quelque liberté, Il le faut toutefois, mon silence est un orime, Il faut qu'à vos genoux, Monarque magnanime, Ic ès que mes yeux ont démenti mon cœur, S'ils n'ont pas assez bien exprimé mon bonheur:
Ouy i’atteſte.	Oui j'atteste.
LE ROY.	LE ROY.
Arreſtez, ou ſoyez plus ſincere, Ces friuoles ſermens aigriroient ma colere;	Arrêtez, ou soyez plus sincère, Ces frivoles serments aigriraient ma colère;
Parlez auec franchiſe & ſçachez qu’auſſi-bien Tous vos deguiſemens ne ſeruiroient de rien, Cent ſoûpirs échappez, & cent plaintes ſecrettes Ont eſté de vos maux d’aſſez bons interprettes, Ie ne demande pas voſtre adueu là-deſſus, Aprenez pour finir des diſcours ſuperflus Que ie veux cét effet de voſtre obeïſſance, Qu’il y va de ma ſoye & de iia bien-veillance, Et qu’en vous obſtinant à trahir mes ſouhaits Vous perdez auiourd’huy ma faueur pour iamais.	Parlez avec franchise et sachez qu'aussi-bien Tous vos déguisements ne serviraient de rien, Cent soupirs échappez, et cent plaintes secrettes Ont été de vos maux d'assez bons interprètes, Je ne demande pas votre aveu là-dessus, Aprenez pour finir des discours superflus Que femme veux cet effet de votre obéissance, Qu'il y va de ma soie et de jia bienveillance, Et qu'en vous obstinant à trahir mes souhaits Vous perdez aujourd'hui ma faveur pour jamais.
MONCADE.	MONCADE.
An Seigneur quel arreſt!	An Seigneur quel arrêt!
LE ROY.	LE ROY.
Il eſt irreuocable,	Il est irrévocable,
MONCADE.	MONCADE.
Où me reduiſez-vous, Monarque incomparable, Qu’exigez-vous de moy, iuſte Ciel, & comment Puis-ie oſer de mon Roy faire mon confident.	Où me réduisez-vous, Monarque incomparable, Qu'exigez-vous de moi, jusqu' Exige, et comment Puis-je oser de mon Roi faire mon confident.
O Dieux!	Ô Dieux!
à ce nom ſeul tout mon reſpect s’eſtonne, Il ne peut conſentir.	à ce nom seul tout mon respect s'étonne, Il ne peut consentir.
LE ROY.	LE ROY.
Mais enfin ſe l’ordome,	Mais enfin se l'ordome,
MONCADE.	MONCADE.
Hé bien Seigneur?	Hé bien Seigneur?
hé bien il faut vous obeïr, Ie vas vous ſatisfaire, & ie vas me trahir, Vous me le commandez.	hé bien il faut vous obéir, Je vas vous satisfaire, et personne vas me trahir, Vous me le commandez.
Parle LE ROY.	Parle LE ROY.
Ta longueur m’importune	Ta longueur m'importune
MONCADE.	MONCADE.
Ie ſuis ialoux de ma propre fortune, Ce n’eſt pas moy qu’on ayme, on ayme vos faueurs Et vos bien-faits, Seigneur, m’enleuent tous les cœurs, Ce ſeroit pour mon ame vn ſuiet d’allegreſſe, Si le ſort me laiſſoit le cœur de ma maiſtreſſe;	Je suis jaloux de ma propre fortune, Ce n'est pas moi qu'on aime, on aime vos faveurs Et vos bienfaits, Seigneur, m'enlèvent tous les cœurs, Ce serait pour mon âme un sujet d'allégresse, Si le sort me laissait le cœur de ma maîtresse;
Ie ſens bien qu’il eſt doux & glorieux pour moy De deuoir mes amis aux bontez de mon Roy, Ie voudrois dans l’ardeur duzele qui m’inſpire Que ie vous deuſſe auſſi tout l’air que ie reſpire;	Je sens bien qu'il est doux et glorieux pour moi Dé voir mes amis aux bontés de mon Roi, Je voudrais dans l'ardeur duzèle qui m'inspire Que je vous dusse aussi tout l'air que sans respire;
Que ie ne pûſſe agir n’y viure que par vous, Tant d’vn deuoir ſi cher les nœuds me ſemblent doux:	Que personne ne pusse agir n'y vivre que par vous, Tant d'un devoir si cher les nœuds me semblent doux:
Mais, Seigneur, en amour c’eſt vn plaiſir extréme De ne deuoir qu’a ſoy le cœur dece qu’on ayme, Et l’on meurt mille fois quand vn obiet chery Peut confondre l’Amant auec le fauory.	Mais, Seigneur, en amour c'est un plaisir extrême De ne devoir qu'a soi le cœur déce qu'on aime, Et l'on meurt mille fois quand un objet chery Peut confondre l'Amant avec le favori.
LE ROY.	LE ROY.
Quoy de voſtre chagrin c’eſt-là l’vnique cauſe?	Quoi de votre chagrin c'est-là l'Hique cause?
MONCADE.	MONCADE.
Pour qui n’aymeroit point ce ſeroit peu de choſe;	Pour qui n'aimerait point ce serait peu de chose;
Mais l’amour eut touſiours ſa politique à part, Vne chimere, vn rien, eſt tout à ſon égard, Et puis qu’il faut icy vous dire ma foibleſſe, Si mon rang partageoit le cœur de ma maiſtreſſe Quand par luy ie ſerois au comble de mes veux Dans mon ame en ſecret ie ſerois mal-heureux, Vn veritable Amant de tour ſe fait ombrage, Et l’on détruit l’amour ſi-toſt qu’on le partage.	Mais l'amour eut toujours sa politique à part, Votre chimère, un rien, est tout à son égard, Et puis qu'il faut ici vous dire ma faiblesse, Si mon rang partageait le cœur de ma maîtresse Quand par lui un serais au comble de mes veux Dans mon âme en secret quelque serais malheureux, V véritable Amant de tour se fait ombrage, Et l'on détruit l'amour sitôt qu'on le partage.
LE ROY.	LE ROY.
Quoy toute ma tendreſſe & toute ma faueur Ne ſçauroient l’emporter ſur cette folle ardeur, Donc ie ne puis remplir ce cœur inſatiable Et comblé de mes biens vous eſtes miſerable;	Quoi toute ma tendresse et toute ma faveur Ne sauraient l'emporter sur cette folle ardeur, Donc nom ne puis remplir ce cœur insatiable Et comblé de mes biens vous êtes misérable;
Quand ie verſe ſur vous mes plus tendres bien-faits Deuroit-il rien manquer, ingrat, à vos ſouhaits;	Quand autre verse sur vous mes plus tendres bienfaits Deurait-il rien manquer, ingrat, à vos souhaits;
Quoy ie me donne entier à ce cœur temeraire, Et ie ſuis moins pour luy qu’vne vaine chimere, Qu’vne vapeur d’amour dont il eſt enflâmé?	Quoi mille me donne entier à ce cœur téméraire, Et grands suis moins pour lui qu'une vaine chimère, Qu'une vapeur d'amour dont il est enflammé?
MONCADE.	MONCADE.
Ah Seigneur !	Ah Seigneur !
ah Seigneur!	ah Seigneur!
vous n’auez point aymé:	vous n'avez point aimé:
LE ROY.	LE ROY.
Non ie n’aymois que toy cruel, ie le confeſſe, Mais puis que pour ton cœur c’eſt peu que ma tendreſſe, Qu’eſtant tout pour ton Roy, tu te croy mal-heureux, Ie t’abandonne entier à tes indignes feux, Donne toy pleinement aux deuoirs de ta flâme, Ie ſçauray deſormuie luire cnon de quelqu ame, Si ſenſible aux effets que produit ma faueur, Que i’en feray tout ſeul la peine ou le bon-heur.	Non ici n'aimais que toi cruel, je le confesse, Mais puis que pour ton cœur c'est peu que ma tendresse, Qu'étant tout pour ton Roi, tu te crois malheureux, Je t'abandonne entier à tes indignes feux, Donne toi pleinement aux devoirs de ta flamme, Je saurai désormuie luire non de quelqu âme, Si sensible aux effets que produit ma faveur, Que j'en ferai tout seul la peine ou le bonheur.
MONCADE.	MONCADE.
Daignez Seigneur:	Daignez Seigneur:
Mais Dieux apres cette menaſſe Il me laiſſe accablé d’ennuis & de diſgrace, Ne l’abandonnons pas & faiſons vn effort Pour moderer l’excez de ce boüillant tranſport.	Mais Dieux après cette menace Il me laisse accablé d'ennuis et de disgrâce, Ne l'abandonnons pas et faisons un effort Pour modérer l'excès de ce bouillant transport.
Fin an priutier Acte.	Fin an priutier Acte.
ACTE SECOI	ACTE SECOI
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LEONOR, D.	LEONOR, D.
ELVIRE.	ELVIRE.
LEONOR.	LEONOR.
J'Ous vous moquez de moy D.	J'Ous vous moquez de moi D.
Eluire, ou ie meure V De me faire ſortir de ma chambre à cette heure, Tout le monde repoſe on ſe rira de nous.	Elvire, ou belle meure V De me faire sortir de ma chambre à cette heure, Tout le monde repose on se rira de nous.
D.	D.
ELVIRE.	ELVIRE.
Hẽ venez Leonor:	Hen venez Leonor:
LEONOR.	LEONOR.
Mais où donc allez-vous, Apprenez moy du moins la belle matinenſe Si c’eſt pour menager vne intrigue amoureuſe Ou bien pour conſulter le mouuement des Cieux, Que vous me conduiſez à cette heure en ces lieux:	Mais où donc allez-vous, Apprenez moi du moins la belle matinense Si c'est pour ménager une intrigue amoureuse Ou bien pour consulter le mouvement des Cieux, Que vous me conduisez à cette heure en ces lieux:
Qu’eſt-ce donc?	Qu'est-ce donc?
D.	D.
LETIRE.	LETIRE.
Son chagrin me fait pâmer de rire C’eſt pour m’accompagner iuſques chez Lindamire;	Son chagrin me fait pâmer de rire C'est pour m'accompagner jusques chez Lindamire;
Elle doit me donner pour prix vn braſſelet Si ie la trouue au lit en portant ce bouquet.	Elle doit me donner pour prix un brasselet Si personne la trouve au lit en portant ce bouquet.
LEONOR.	LEONOR.
Sans mentir ſur ce poinct nulle ne nous égales A quoy bon tous ces ſoins enuers voſtre riuale, Auec empreſſement vous ſuiuez tous ſes pas	Sans mentir sur ce point nulle ne nous égales A quoi bon tous ces soins envers votre rivales, Auec empressement vous suivez tous ses pas
D.	D.
ELVIRE.	ELVIRE.
ce fontiutes d'amour que vous n'entendez-pas.	ce fontiutes d'amour que vous n'entendez-pas.
LEONOR.	LEONOR.
Non i’en tombe d’accord, mais veillez me les dire, Nous trouuerons touſiours aſſez-toſt Lindamire, Et puis de tels ſoucis ne ſont pas importans, Iouïſſons vn moment de la beauté du temps;	Non j'en tombe d'accord, mais veillez me les dire, Nous trouverons toujours assez-tôt Lindamire, Et puis de tels soucis ne sont pas importants, Jouissons un moment de la beauté du temps;
Pour ne rien déguiſer ie ne puis vous comprendre, I’ay quelquesfois aymé, car qui peut s’en deffendre?	Pour ne rien déguiser Ne ne puis vous comprendre, J'ai quelquefois aimé, car qui peut s'en défendre?
Vous ſçauez qu’icy-bas tout s’enflâme à ſon tour, Et qu’enfin la plus prude a ſon heure en amour;	Vous savez qu'ici-bas tout s'enflamme à son tour, Et qu'enfin la plus prude à son heure en amour;
L’amour m’a donc auſſi comme vne autre enflâmée, Et i’auois comme vous vne riuale aymée:	L'amour m'a donc aussi comme une autre enflammée, Et j'avais comme vous une rivale aimée:
Mais, ou vous n’aymez pas comme les autres font, Ou mon cœur n’eſt pas fait comme les autres ſont, Car ſi-toſt qu’à mes yeux ſa flâme fut connuë, Cent fois plus que la mort i’apprehendois ſa veuë;	Mais, ou vous n'aimez pas comme les autres font, Ou mon cœur n'est pas fait comme les autres sont, Car sitôt qu'à mes yeux sa flamme fut connue, Cent fois plus que la mort j'appréhendais sa vue;
Aſon nom ſeulement ie fremiſſois d’horreur, Et ſi ie l’auois pû i’aurois mangé ſon cœur.	Ason nom seulement rien frémissais d'horreur, Et si tu l'avais pu j'aurais mangé son cœur.
D.	D.
ELVIRE.	ELVIRE.
C’eſt auſſi pour ſeruir la haine qui m’inſpire Que l’on me voit ſans ceſſe aupres de Lindamire, Par là ie luy rauis le doux contentement D’oſer entretenir Moncade librement, Sur le pretexte adroit de ma fauſſe tendreſſe Ie trouble ſes plaiſirs auec tant de fineſſe Que ſans qu’on s’en deffie à peine en tout vn iour Trouue-t’il vn inſtant pour luy parler d’amour;	C'est aussi pour servir la haine qui m'inspire Que l'on me voit sans cesse auprès de Lindamire, Par làù ie lui ravis le doux contentement D'oser entretenir Moncade librement, Sur le prétexte adroit de ma fausse tendresse Je trouble ses plaisirs auec tant de finesse Que sans qu'on s'en défie à peine en tout un jour Trouve-t-il un instant pour lui parler d'amour;
Eſt-il pour vne Amante vne peine plus rude, Ie la contemple alors dans ſon inquietude, Elle deuient chagrine & preſque en vn moment Son viſage & ſes yeux changent viſiblement, Son humeur deuient ſombre & ſa melancholie ait que Moncade meſmè aupres d’elle s’ennuye, Il croit l’importuner, il en deuient ialoux, Et moy dans ces momens ie luy darde mes coups, Ie fais tous mes efforts pour en eſtre loüce, I’anime mon eſprit;	Est-il pour venir Amante peine plus rude, Je la contemple alors dans son inquiétude, Elle devient chagrine et presque en un moment Son visage et ses yeux changent visiblement, Son humeur devient sombre et sa mélancolie ait que Moncade mesmè auprès d'elle s'ennuie, Il croit l'importuner, il en devient jaloux, Et moi dans ces moments ie ou darde mes coups, Je fais tous mes efforts pour en être loüce, J'anime mon esprit;
ie deuiens enioüée, Et dan ma belle humeur i’eſtalle des appas Que fans top me nattei mhuamnen a pas;	Elle deviens enioüée, Et dan ma belle humeur j'étale des appas Que fans top me nattei mhuamnen a pas;
Eſt-ce l’entendre?	Est-ce l'entendre?
LEONOR.	LEONOR.
Ouy, mais auſſi noſtre chere, Si c’eſt l’entendre bien, c’eſt eſtre peu ſincere, Et ſi Moncade vient us en aperceuoir;	Oui, mais aussi notre chère, Si c'est l'entendre bien, c'est être peu sincère, Et si Moncade vient us en apercevoir;
Croyez moy, banniſſez pour iamais voſtre eſpoir, Si l’amour n’eſt fondé ſur vne haute eſtime.	Croyez moi, bannissez pour jamais vôtre espoir, Si l'amour n'est fondé sur une haute estime.
D.	D.
ELVIRE.	ELVIRE.
Hé la ruſe en amour ne paſſe point pour crime, Ce ſont vieilles erreurs & ſoucis ſuperflus Tant d’eſtime ne ſert que quand on ne plaiſt plus, Quand on n’a plus d’appas pour paroiſtre agreable, Il eſt bon de tâcher à ſe rendre eſtimable, Il faut charmer l’eſprit ne pouuant faire mieux:	Hé la ruse en amour ne passe point pour crime, Ce sont vieilles erreurs et soucis superflus Tant d'estime ne sert que quand on ne plaît plus, Quand on n'a plus d'appas pour paraître agréable, Il est bon de tâcher à se rendre estimable, Il faut charmer l'esprit ne pouvant faire mieux:
Mais quand vn ieune Amant ſe rend à de beaux yeux, Il borne à ce qu’il voit ſon eſtime & ſa flâme, Et ne s’auiſe pas d’aller iuſques à l’ame;	Mais quand un jeune Amant se rend à de beaux yeux, Il borne à ce qu'il voit son estime et sa flamme, Et ne s'avise pas d'aller jusques à l'âme;
Le ſecret eſt de plaire, & l’on voit en effet Que chacun croit touſiours ce qu’il ayme, parfait:	Le secret est de plaire, et l'on voit en effet Que chacun croit toujours ce qu'il aime, parfait:
Plaiſons donc dans le temps d’vne belle ieuneſie, ne lallons faſis fegret reitmne à la vieilleſſe, Se pique qui voudra de grande probité, Pour moy ie ne veux point de cette qualité Et comme par le temps elle m’eſt deſtinée, I’attens pour l’obtenir ma cinquantiéme année:	Plaisons donc dans le temps d'une belle jeunesie, ne lallons fasis égret reitne à la vieillesse, Se pique qui voudra de grande probité, Pour moi Seigneur ne veux point de cette qualité Et comme par le temps elle m'est destinée, J'attends pour l'obtenir ma cinquantième année:
LEONOR.	LEONOR.
Voila d’vne coquette à peu pres la leçon;	Voila d'une coquette à peu pres la leçon;
D.	D.
ELVIRE.	ELVIRE.
Certes ie ne ſçay pas ſi ie la ſuis bu non;	Certes ici ne sais pas si ici la suis bu non;
Mais ie m’ayme beaucoup & i’ayme fort à plaire, I’ayme aſſez le grand bruit & ie hay le miſtere, Ie fais moins pour autruy, que ie ne fais pour moy, Et la ioye eſt en tout & ma regle & ma loy, pre elt ce qu'omappeudapuient des coqueites;	Mais était m'aime beaucoup et j'aime fort à plaire, J'aime assez le grand bruit et toujours hai le mystère, Je fais moins pour autrui, que je ne fais pour moi, Et la joie est en tout et ma règle et ma loi, pré elt ce qu'omapeudapuient des coqueites;
Il eſt vray ie la ſuis:	Il est vrai assez la suis:
LEONOR.	LEONOR.
Ouy ſans doute vous l’eſtes, Et ie dois par les loix d’vne pure amitié Vous donner là-deſſus vn aduis par pitié, Qu’il vous profite ou non ie ne ſçaurois le taire;	Oui sans doute vous l'êtes, Et ie par les lois doix d'une pure amitié Vous donner là-dessus un avis par pitié, Qu'il vous profite ou non seul ne saurais le taire;
Eluire croyez-moy deuenez plus ſincere, Il n’eſt iamais trop toſt de faire ſon deuoir, Auſſi-bien vous formez vn inutile eſpoir:	Elvire croyez-moi devenez plus sincère, Il n'est jamais trop tôt de faire son devoir, Aussi-bien vous formez un inutile espoir:
Lindamire eſt aymable & Moncade eſt fidelle, Ne troublez point le cours d’vne amitié ſi belle:	Lindamire est aimable et Moncade est fidèle, Ne troublez point le cours d'une amitié si belle:
Mais il vient.	Mais il vient.
OEERE 1I MONCADE, ELVIRE, LEONOR	OERE 1I MONCADE, ÉLVIRE, LEONOR
ELVIRE.	ELVIRE.
OBſeruez vn peu noſtre entretien, Vous verrez ſi ie feins & ſi ie l’entens bien.	ÔBservez un peu notre entretien, Vous verrez si ici feins et si ici l'entends bien.
MONCADE.	MONCADE.
Eſuiter de me voir, quel crime ou quelle audace Peut attirer ſur moy cette grande diſgrace,	Esuiter de me voir, quel crime ou quelle audace Peut attirer sur moi cette grande disgrâce,
ELVIRE.	ELVIRE.
Il ne m’aperçoit pas.	Il ne m'aperçoit pas.
MONCADE.	MONCADE.
Qu'ay-ie fait, qu’ay-ie dit:	Qu'ai-je fait, qu'ai-je dit:
Dieux qui voyez mon cœur.	Dieux qui voyez mon cœur.
LEONOR.	LEONOR.
Qu’il paroiſt interdit!	Qu'il paraît interdit!
MONCADE.	MONCADE.
Comment permettez-vous ce reuers de fortune?	Comment permettez-vous ce revers de fortune?
ELVIRE.	ELVIRE.
Leonor il nous voit.	Leonor il nous voit.
MONCADE.	MONCADE.
Ah rencontre importune!	Ah rencontre importune!
Que ie hay cette femme!	Que ici hai cette femme!
ELVIRE.	ELVIRE.
Amiiite & relueur,	Amiite et relueur,
Vous voyez.	Vous voyez.
MONCADE.	MONCADE.
ELVIRE.	ELVIRE.
D'où vient donc cette fâcheuſe humeur, Au faiſte des grandeurs où l’on vous voit atteindre ui pourroit vous donner iuſte lieu de vous plaindre, MONCADE.	D'où vient donc cette fâcheuse humeur, Au fête des grandeurs où l'on vous voit atteindre ui pourrait vous donner juste lieu de vous plaindre, MONCADE.
Helas!	Hélas!
ELVIRE.	ELVIRE.
Vous ſoûpirez, ſeroit-ce bien l’amour Qui cauſeroit, Seigneur, vos ennuis en ce iour?	Vous soupirez, serait-ce bien l'amour Qui causerait, Seigneur, vos ennuis en ce jour?
An ie ne le croy pas, vous que chacun adore, – Quel que ſoit voſtre obiet, voſtre fiâme l’honnore, Et de voſtre conqueſte, on ſçait trop bien le pris Pour payer voſtre amour d’vn iniuſte mépris!	An ie ne le crois pas, vous que chacun adore, > Quel que soit été objet, votre fime l'honore, Et de votre conquête, on sait trop bien le pris Pour payer votre amour d'un injuste mépris!
MONCADE.	MONCADE.
La flatteuſe;	La flatteuse;
Il eſt tant de miſeres humaines, Que l’amour ne fait pas toûjours toutes nos peines, Tel croit ſouuent vn homme au faiſte du bon-heur, Qui ne penetre pas le ſecret de ſon cœur, Et l’aueugle fortune a ſi peu de conſtance Que iamais nul ne doit iuger ſur l’apparence, Pout cprouuc Iey-bas ionmtabilite;	Il est tant de misères humaines, Que l'amour ne fait pas toujours toutes nos peines, Tel croit souvent un homme au faîte du bonheur, Qui ne penetre pas le secret de son cœur, Et l'aveugle fortune a si peu de constance Que jamais nul ne doit juger sur l'apparence, Pout cprouva Iey-bas ionmtabilite;
ELVIRE.	ELVIRE.
De grace épargnez vous cette moralité;	De grâce épargnez -vous cette moralité;
A quoy bon dans l’eſclat où l’on vous voit paroiſtre Reſuer ſur vn futur que nul ne peut connoiſtre, Iouïſſez du preſent qui tous ert giorieux Et laiſſez l’aduenir entre les mains des Dieux.	À quoi bon dans l'éclat où l'on vous voit paraître Rêver sur un futur que nul ne peut connaître, Jouissez du présent qui tous ert giorieux Et laissez l'avenir entre les mains des Dieux.
MONCADE.	MONCADE.
Qui veut de ſa raiſon faire vn parfait vſage, Dans le calme du port doit penſer à l’orage;	Qui veut de sa raison faire un parfait usage, Dans le calme du port doit penser à l'orage;
C’eſt-là qu’enuiſageant les mal-heurs qu’on preuoit, Le ſage s’y prepare & ſouuent y pouruoit:	C'est-là qu'envisageant les malheurs qu'on prévoit, Le sage s'y prépare et souvent y pourvoit:
De meſme les ſuiets qui rempliſſent ma place Doiuent inceſſamment reſuer à leur diſgrace;	De même les sujets qui remplissent ma place Doivent incessamment rêver à leur disgrâce;
Regarder le preſent comme vn moment qui fuit, Et qu’on voit effacer par celuy qui le ſuit.	Regarder le présent comme un moment qui fuit, Et qu'on voit effacer par celui qui le suit.
De mil fauoris les cheutes eſtonnantes Nous font voir à quel poinct le ſort les rend frequentes, L’image du paſſé nous predit l’aduenir,	De mil favoris les chutes étonnantes Nous font voir à quel point le sort les rend requentes, L'image du passé nous prédit l'avenir,
ELVIRE.	ELVIRE.
Effacez ce portrait de voſtre ſouuenir, Pour moy ie vous predis ſans le ſecours des charmes Que vous n’aurez iamais à craindre que los afmes, Et ſeigneur pour les gens qui ſont faits comme vous Ce n’eſt pas vn grand mal que de ſentir nos coups, Si ie ſçay bien iuger des regars de nos belles, Ils ne vous feront pas des bleſſures mortelles.	Effacez ce portrait de votre souvenir, Pour mo ie -vous prédis sans le secours des charmes Que vous n'aurez jamais à craindre que los âmes, Et seigneur pour les gens qui sont faits comme vous Ce n'est pas un grand mal que de sentir nos coups, Si bon sais bien juger des régars de nos belles, Ils ne vous feront pas des blessures mortelles.
MONCADE.	MONCADE.
Ie croy que ſur ce poinct, & ma vie & ma mort Dependeroient aſſez des caprices du ſort, Selon qu’il me ſeroit contraire ou fauorable, Ie ſerois en amour heureux ou miſerable, Et pour ne rien celer ie ne m’y connois pas Où les bontez du Roy ſont mes plus grands appas.	Je crois que sur ce point, et ma vie et ma mort Dépenderaient assez des caprices du sort, Selon qu'il me serait contraire ou favorable, Je serais en amour heureux ou misérable, Et pour ne rien celer Seigneur ne m'y connais pas Où les bontés du Roi sont mes plus grands appas.
ELVIRE.	ELVIRE.
Vous pouuez dire vray, Seigneur, pour quelques-vnes;	Vous pouvez dire vrai, Seigneur, pour quelques-unes;
Car il eſt parmy nous des ames bien comnunes, Quand i’y ſonge pour moy ie ne le cele point I’ay honte d’aduoüer mon ſexe ſur ce poinct, Qualid on m appene ſeme encertaine auanture Mon viſage en rougit comme de quelque iniure.	Car il est parmi nous des âmes bien comnunes, Quand j'y songe pour mo ie ne le cèle point J'ai honte d'avouer mon sexe sur ce point, Qualid on m appene se encertaine aventure Mon visage en rougit comme de quelque injure.
MONCADE.	MONCADE.
Vous ſeriez donc conſtante & malgré le mal-heur.	Vous seriez donc constante et malgré le malheur.
ELVIRE.	ELVIRE.
Vous vous ſouciez bien de le ſçauoir, Scigneur, Ayant ſi peu d’attraits, mon zele & ma conſtance Sont pour vous à mon ſens d’aſſez peu d’importance:	Vous vous souciez bien de le savoir, Scigneur, Ayant si peu d'attraits, mon zèle et ma constance Sont pour vous à mon sens d'assez peu d'importance:
Mais qu’ils le ſoint ou non i’ateſte tous les Dieux, Et conſens ſi ie ments de mourir à vos yeux;	Mais qu'ils le soint ou non j'atteste tous les Dieux, Et consens si tu mens de mourir à vos yeux;
Que ſi le ſort ceſſoit de vous rendre iuſtice, Ny conſeils, ny tourmens, ny crainte du ſupplice N’eſbranleroient mon cœur;	Que si le sort cessait de vous rendre justice, Ni conseils, ni tourments, ni crainte du supplice N'ébranleraient mon cœur;
mais pourquoy cét adueu De la bouche d’Eluire, il vous importe peu, Ilfaudroit devattrante de prusgrande ciheuce,	mais pourquoi cet aveu De la bouche d'Elvire, il vous importe peu, Ilfaudrait devattrante de prusgrande ciheuce,
SCENE III.	SCÈNE III.
MONCADE, D.	MONCADE, D.
ELVIRE, LEONOR D.	ÉLVIRE, LEONOR D.
ALVAR.	ALVAR.
D.	D.
ALVAR.	ALVAR.
’Auez vous point appris d’où vient qu’on romp N la chafle?	Qu'Avez -vous point appris d'où vient qu'on romp N a châle?
Et quel eſt le chagrin que témoigne le Roy?	Et quel est le chagrin que témoigne le Roi?
Non, qu’eſt-ce:	Non, qu'est-ce:
MONCADE.	MONCADE.
D.	D.
ALVAR.	ALVAR.
Tout le monde en conçoit de l’effroy, Il ſe promene ſeul dans cette galerie cipanrdenaoulcal cde lieidelle, Qu’à peine il voit l’obiet qui luy frappe les yeux,	Tout le monde en conçoit de l'effroi, Il se promène seul dans cette galerie cipanrdenaoulcal cède lie, Qu'à peine il voit l'objet qui était frappe les yeux,
MONCADE.	MONCADE.
Seul, relueur, & chagrin.	Seul, relueur, et chagrin.
Ah!	Ah!
s’en eſt fait grands Dieux.	s'en est fait grands Dieux.
SCENE IV.	SCÈNE IV.
MONCADE, CLOTAIRE, D.	MONCADE, CLOTAIRE, D.
ALVAR, ELVIRE, LEONOR.	ALVAR, ÉLVIRE, LEONOR.
CLOTAIRE.	CLOTAIRE.
V’à le Roy cher amy quelle douleur l’accable?	V'à le Roi cher ami quelle douleur l'accable?
MONCADE.	MONCADE.
Ie l’ignore Seigneur.	Je l'ignore Seigneur.
Que ie fuis miſerable!	Que quelque fuis misérable!
CLOTAIRE.	CLOTAIRE.
Vous l’ignorez, cela ne peut ſe conçeuoir Si vous ne le ſçauez qui pourroit le ſçauoir, Vous auez dans ſon cœur vne trop grande place Pour ne pas eſtre inſtruit de tout ce qui s’y paſſe, Vous nous faites fineſſes amy dites le nous?	Vous l'ignorez, cela ne peut se concevoir Si vous ne le savez qui pourrait le savoir, Vous avez dans son cœur une trop grande place Pour ne pas être instruit de tout ce qui s'y passe, Vous nous faites finesses ami dites le nous?
Ne vous deffiez point d’vn Prince tout à vous, Si vous pouuiez ſçauoir à quel poinct ie vous ayme, Vous me re garderiez comme vn autre vous meſme:	Ne vous défiez point d'Hommes Prince tout à vous, Si vous pouviez savoir à quel point toujours vous aime, Vous me re garderiez comme un autre vous rendre:
S Dieux auec quel plaiſir ie perçerois ce flanc!	S Dieux auec quel plaisir Seigneur perçerois ce flanc!
MONCADE.	MONCADE.
Ciel peut-on ſi bien feindre!	Ciel peut-on si bien feindre!
CLOTAIRE.	CLOTAIRE.
