TAVTE DETI MERMET	TAUTE DETI MERMET
AIIIEIICALO Mais, ſerieuſement que voulez-vous qu’on faſſe?	ÀIIIEICALO Mais, sérieusement que voulez-vous qu'on fasse?
ALCESTE.	ALCESTE.
Ie veux qu’on loit ſincere, & qu’en Home d’honeur, On ne laſche aucun mos qui ne parte du cœur.	Je veux qu'on loit sincère, et qu'en Home d'honeur, On ne lâche aucun mos qui ne parte du cœur.
PHILINTE.	PHILINTE.
Lors qu’vn Homme vous vient embraſſer avec ioye, Il faut bien le payer de la meſme monoye, Repundre, comine ou peut, a lcs einprencmens, Et rendre offre pour offre, & ſermens pour ſermens.	Lors qu'un Homme vous vient embrasser avec joie, Il faut bien le payer de la même monoie, Répundre, comine ou peut, à lcs einprencmens, Et rendre offre pour offre, et serments pour serments.
ALCESTE.	ALCESTE.
Non ie ne puis ſouffrir cette lâche méthode Qu’affectent la pluſpart de vos Gens à la mode;	Non ici ne puis souffrir cette lâche méthode Qu'affectent la plupart de vos Gens à la modèle;
Et ie ne hay rientant, que les contorſions Ces affables Donneurs d’embraſſades friuoles, Ces obligeans Diſeurs d’inutiles paroles, Qui de ciuilitez, auec tous, font combat, Et traitent du meſme air, l’honneſte Hõme, & le Fæ.	Et petit ne hais rientant, que les contorsions Ces affables Donneurs d'embrassades frivoles, Ces obligeants Diseurs d'inutiles paroles, Qui de civilités, avec tous, font combat, Et traitent du même air, l'honnête Homme, et le Fæ.
Quel avantage a-t’on qu’vn Homme vous careſſe, Vous iure amitié, foy zele, eſtime, tendreſſe, Et vous faſſe de vous, vn éloge éclatant, Lors qu’au premier Faquin, il court en faire autant?	Quel avantage a-t-on qu'un Homme vous caresse, Vous jure amitié, fo zele, estime, tendresse, Et vous fasse de vous, un éloge éclatant, Lors qu'au premier Faquin, il court en faire autant?
Non non, il n’eſt point d’Ame vn peu bien ſitüée, Qui veuille d’vne eſtime, ainſi, proſtituée;	Non non, il n'est point d'Ame un peu bien située, Qui veuille d'une estime, ainsi, prostituée;
Et la plus glorieuſe a des regars peu chers, Dés qu’on voit qu’on nous meſle avec tout l’Vniuers.	Et la plus glorieuse a des regars peu chers, Dés qu'on voit qu'on nous mêle avec tout l'Univers.
Sur quelque preference, vne eſtime ſe fonde, Et c’eſt n’eſtimer rien, qu’eſtimer tout le Monde.	Sur quelque préférence, une estime se fonde, Et c'est n'estimer rien, qu'estimer tout le Monde.
Pais que vous y donnez, dans ces vices du Temps, Morbleu, vous n’eſtes pas pour eſtre de mes Gens;	Pais que vous y donnez, dans ces vices du Temps, Morbleu, vous n'êtes pas pour être de mes Gens;
Ie refuſe d’vn Cœur la vaſte complaiſance, Qui ne fait de Mérite aucune diference;	Je refuse d'un Cœur la vaste complaisance, Qui ne fait de Mérite aucune diérence;
Ie veux qu’on me diſtingue, & pour le trancher net, L’Amy du Genre Humain n’eſt point du tout mõ fait.	Je veux qu'on me distingue, et pour le trancher net, L'Ami du Genre Humain n'est point du tout mon fait.
PHILINTE.	PHILINTE.
liais quad on ert du Mioue;	liais quad on ert du Mioue;
Praut bien que ron rende Quelques Dehors ciuils, que l’Vſage demande.	Praut bien que ron rende Quelques Dehors civils, que l'Usage demande.
ALCESTE.	ALCESTE.
Non, vous dis-je, on devroit châtier, ſans pitié, Ce Commerce honteux de Semblans d’Amitié:	Non, vous dis-je, on devrait châtier, sans pitié, Ce Commerce honteux de Semblants d'Amitié:
Ie veux que l’on ſoit Homme, & qu’en toute rẽcontre morond do hottre cœurjdas los dilcodrs ſe monſtre:	Je veux que l'on soit Homme, et qu'en toute rẽcontre morond do hottre cœurjà los dilcodrs se montre:
Que ce ſoit luy qui parle, & que nos Sentimens Ne ſe maſquent iamais, ſous de vains Complimens.	Que ce soit Seigneur qui parle, et que nos Sentiments Ne se masquent jamais, sous de vains Compliments.
PHILINTE.	PHILINTE.
Il eſt bien des endroits, où la pleine Franchiſe Deuiendroit ridicule, & ſeroit peu permiſe;	Il est bien des endroits, où la pleine Franchise Deuiendroit ridicule, et serait peu permise;
Et, par fois n’en déplaiſe à voſtre auſtere Honneur, Il eſt bon de cacher ce qu’on a dans le cœur.	Et, par fois n'en déplaise à votre austère Honneur, Il est bon de cacher ce qu'on a dans le cœur.
Seroit-il à propos & de la Bienſeance, De dire a mille bens rour ce que d’eux, on penſe?	Serait-il à propos et de la Bienseance, De dire à mille bens rour ce que d'eux, on pense?
Et quãd on a quelqu’vn qu’on hait ou qui déplaiſt, Iuy doit on declarer la choſe comme elle eſt?	Et quand on a quelqu'une qu'on hait ou qui déplaît, Jui doit on déclarer la chose comme elle est?
Cuy.	Cuy.
ALCESTE.	ALCESTE.
PHILINTE.	PHILINTE.
Quoy!	Quoi!
vous iriez dire à la vielle Emilie, Qu’à ſon âge, il fied mal de faire la jolie?	vous iriez dire à la vielle Emilie, Qu'à son âge, il sied mal de faire la jolie?
Et que le blanc qu’elle a, ſcandaliſe chacun,	Et que le blanc qu'elle a, scandalise chacun,
Sans doute.	Sans doute.
ALCESTE.	ALCESTE.
PHILINTE.	PHILINTE.
A Dorilas, qu’il eſt trop importun:	À Dorilas, qu'il est trop importun:
Et qu’il n’eſt à la Cour, oreille qu’il ne laſſe, A conter ſa brauoure, & l’éclat de ſa Race?	Et qu'il n'est à la Cour, oreille qu'il ne lasse, A conter sa bravoure, et l'éclat de sa Race?
Fort bien.	Fort bien.
AGESTE.	AGÊTE.
TIIIEITL.	TIIIEITL.
Vous vous moquez.	Vous vous moquez.
ALCESTE.	ALCESTE.
Ie ne me moque point, Et ie vais népargner perſonne ſur ce poinct.	Je ne me moque point, Et ainsi vais népargner personne sur ce point.
Mes yeux ſont trop bleſſez, & la Cour, & la Ville, Ne m’offrent rien qu’obiets à m’eſchaufer la Bile:	Mes yeux sont trop blessés, et la Cour, et la Ville, Ne m'offrent rien qu'objets à m'échauffer la Bile:
I’entre en vne humeur noire, en vn chagrin profond.	J'entre en une humeur noire, en un chagrin profond.
Quand ie vois viure entr’eux, les Hõmes cõm’ils fõt;	Quand beau vois vivre entr'eux, les Hommes cõm’ils sont;
Ie ne trouue, par tout, que lâche Flaterie, Qu’Iniuſtice, Intéreſt, Trahiſon, Fourberie;	Je ne trouve, par tout, que lâche Flaterie, Qu'Iniustice, Intérêt, Trahison, Fourberie;
Ie n’y puis plus tenir, i’enrage, & mon deſſein eſt de rompre en viſiere à tout le Genre-Humain.	Je n'y puis plus tenir, j'enrage, et mon dessein est de rompre en visière à tout le Genre-Humain.
PHILINTE.	PHILINTE.
Ce chagrin Philoſophe eſt vn peu trop ſauuage, le ris des noirs accez où le vous envilage;	Ce chagrin Philosophe est un peu trop sauvage, le ris des noirs accès où le vous envilage;
Ie crois voir, en nous deux, ſous mémes ſoins nouris, Ces deux Freres que peint l’ecole des Maris, Dont.	Je crois voir, en nous deux, sous mêmes soins nouris, Ces deux Frères que peint l'école des Maris, Dont.
ALCESTE.	ALCESTE.
Mon Dieu, laiſſons-là, vos comparaiſons fades.	Mon Dieu, laissons-là, vos comparaisons fades.
PHILINTE.	PHILINTE.
Non, tout de bon, quittez toutes ces incartades, Le Monde.	Non, tout de bon, quittez toutes ces incartades, Le Monde.
par vos ſoins, ne ſe chargera pas, Et puis que la Franchiſe a, pour vous tant d’appas, Ie vous diray tout franc, que cette maladie, l'ar tout ou vous allez, donne la comédie,	par vos soins, ne se chargera pas, Et puis que la Franchise a, pour vous tant d'appas, Je vous dirai tout franc, que cette maladie, l'ar tout ou vous allez, donne la comédie,
ALCESTE.	ALCESTE.
demande, rant mieux, morbleu, tant mieux, c’eſt ce que ie Ce m’eſt vn fort bon ſigne & ma ioye en eſt grande:	demande, rant mieux, morbleu, tant mieux, c'est ce que je Ce m'est un fort bon signe et ma joie en est grande:
rous les Hommes me ſont, à tel point odieux, Que lelerols luene deltre lage à lenis jeux.	rous les Hommes me sont, à tel point odieux, Que lélérols luène déltre lage à lenis jeux.
PMILINIE.	PMILINIE.
Vous voulez vn grand mal à la Nature Humaine!	Vous voulez un grand mal à la Nature Humaine!
ALCESTE.	ALCESTE.
Oüy, i’ay conçeu pour elle, vne éfroyable haine:	Oui, j'ai conçu pour elle, une éfroyable haine:
PHILINTE.	PHILINTE.
P'etts les paurres Morteijlans duns caceptien, Seront envelopez dans cette auerſion?	P'ets les paurres Morteijlants duns cacptien, Seront enveloppés dans cette aversion?
Encor, en eſt il bien, dans le ſiecle où nous ſommes.	Encor, en est -il bien, dans le siècle où nous sommes.
ALCESTE.	ALCESTE.
Non, elle eſt generale, & ie hais tous les hommes:	Non, elle est générale, et Seigneur hais tous les hommes:
Les vns, parce qu’ils ſont méchans, & mal-faiſans;	Les uns, parce qu'ils sont méchants, et mal-faisans;
Et les autres, pour eſtre aux Méchans, complaiſans, Et n’auoir pas, pour eux, cés haines vigoureuſes Que doit donner le Vice aux Ames vertueuſes.	Et les autres, pour être aux Méchants, complaisants, Et n'avoir pas, pour eux, cez haines vigoureuses Que doit donner le Vice aux Âmes vertueuses.
De cette Complaiſance on voit l’iniuſte excés, Pour le franc Scelerat avec qui i’ay procés:	De cette Complaisance on voit l'injuste excès, Pour le franc Scélérat avec qui j'ai procès:
Au trauers de ſon maſque, on voit à plein le rraiſtre, P'ar tout, il eſt connu pour tout ce qu’il peut-eſtre;	Au travers de son masque, on voit à plein le rraistre, P'ar tout, il est connu pour tout ce qu'il peut-être;
Et ſes roulemens d’yeux, & ſon ton radoucy.	Et ses roulements d'yeux, et son ton radouci.
N’impoſent qu’à des Gens qui ne ſont point d’icy.	N'imposent qu'à des Gens qui ne sont point d'ici.
On ſçait que ce Pié-plat, digne qu’on le confonde, Par de ſales emplois, s’eſt pouſſé dans le Monde:	On sais que ce Pié-plat, digne qu'on le confonde, Par de sales emplois, s'est poussé dans le Monde:
Et que, par eux, ſon Sort, de ſplendeur reueſtu, Fait gronder le Mérite, & rougir la Vertu, Quelques titres hõteux qu'en tous neux on iuy uone Son miſerable Honneur ne voit, pour luy, perſonne.	Et que, par eux, son Sort, de splendeur revêtu, Fait gronder le Mérite, et rougir la Vertu, Quelques titres honteux qu'en tous neux on ju uone Son y Honneur ne voit, pour lui, personne.
Nomme-le Fourbe, Infame, & Scelerat maudit, rout le Monde en conuient, & nul n’y contredit, Cependant, ſa grimace eſt, par tout bien venuë, On l’accueille, on luy rit;	Nomme-le Fourbe, Infâme, et Scélérat maudit, rout le Monde en convient, et nul n'y contredit, Cependant, sa grimace est, par tout bien venue, On l'accueille, on était rit;
par tout, il s’inſinuë;	par tout, il s'insinue;
Et s’il eſt, par la Brigue, vn Rang à diſputer, Sur le plus honneſte Homme, ou le voit l’emporter.	Et s'il est, par la Brigue, un Rang à disputer, Sur le plus honnête Homme, ou le voit l'emporter.
reſtebleu, ce me ſont de mortelles bleſſeures, De voir qu’auec le Vice on garde des meſures, Et, parrois, il me prend des ſouuemens ioudains, De fuir, dans vn Deſert, l’approche des humains.	restebleu, ce me sont de mortelles blessures, De voir qu'avec le Vice on garde des mesures, Et, parrais, il me prend des souvements joudains, De fuir, dans un Désert, l'approche des humains.
PHÏLINTE.	PHLINTE.
Mon Dieu, des Mœurs du remps, mettons nous moins en peine, Et faiſons vn peu grace à la Nature Humaine;	Mon Dieu, des Mœurs du remps, mettons nous moins en peine, Et faisons un peu grâce à la Nature Humaine;
Ne l’examinons point dans la grande rigueur, Et voyons ſes defauts:	Ne l'examinons point dans la grande rigueur, Et voyons ses défauts:
auec quelque douceur.	Les quelque douceur.
Il faut, parmy le Monde, vne vertu traitable, A force de Sageſſe on peut eſtre blâmable, La parfaite Raiſon fuit toute extremité;	Il faut, parmi le Monde, une vertu traitable, À force de Sagesse on peut être blâmable, La parfaite Raison fuit toute extrémité;
Et veut que l’on ſoit ſage auec ſobrieté.	Et veut que l'on soit sage était sobriété.
Cette grande roideur des Vertus des vieux Ages, Heurte trop noſtre Siecle, & les communs Vſages, Elle veut aux Mortels, trop de perfection, Il faut fléchir au remps, ſans obſtinatjon;	Cette grande roideur des Vertus des vieux Ages, Heurte trop notre Siècle, et les communs Ages, Elle veut aux Mortels, trop de perfection, Il faut fléchir au remps, sans obstinatjon;
Et c’eſt vne folie, à nulle autre, ſeconde, De vouloir ſe meſler de cortiger le Monde, I’obſerue, comme vous, cent choſes, tous les iours, Qui pourroient mieux aller, prenant vn autre cours:	Et c'est assez folie, à nulle autre, seconde, De vouloir se mêler de cortiger le Monde, J'observe, comme vous, cent choses, tous les jours, Qui pourraient mieux aller, prenant un autre cours:
Mais quoy qu’à chaque pas, ie puiſſe voir pareſtre, En courroux, comine vous, on ne me voit point eſtre;	Mais quoi qu’à chaque pas, on puisse voir paraître, En courroux, comine vous, on ne me voit point être;
Ie prens, tout doucemẽt, les Hommes comme ils sõt;	Je prends, tout doucemment, les Hommes comme ils sont;
I’accoûtume mon Ame à ſouffrir ce qu’ils font;	J'accoutume mon Âme à souffrir ce qu'ils font;
Et ie crois qu’à la Cour, de meſme qu’à la Ville, Mon Elegme eſt Philoſophe, autant que voſtre Bile.	Et beau crois qu'à la Cour, de même qu'à la Ville, Mon Elegme est Philosophe, autant que votre Bile.
ALCESTE.	ALCESTE.
Mais ce Flegme, Monſieur, qui raiſonne ſi bien, Ce flegme, pourra t’il ne s’échaufer de rien?	Mais ce Flegme, Monsieur, qui raisonne si bien, Ce flegme, pourra t'il ne s'échauffer de rien?
Et s’il faut, par hazard qu’vn Amy vous trahiſſe, Que pour auoir vos Biens, on dreſſe vn artifice, Ou qu’on tâche à ſemer de méchans bruits de vous, Verrez vous tout cela, ſans vous mettre en courroux?	Et s'il faut, par hasard qu'un Ami vous trahisse, Que pour avoir vos Biens, on dresse un artifice, Ou qu'on tâche à semer de méchants bruits de vous, Verrez -vous tout cela, sans vous mettre en courroux?
PHILINTE.	PHILINTE.
Oüy, ie vois ces Defauts dont voſtre ame murmure, Comme Vices vnis à l’Humaine Nature;	Oui, Seigneur vois ces Défauts dont votre âme murmure, Comme Vices unis à l'Humaine Nature;
Et mon eſprit, enfin, n’eſt pas plus offencé, De voir vn Homme fourbe, iniuſte, intereſſé, Que de voir des Vautours affamez de carnage, Des Singes mal-faiſans, & des Loups pleins de rage.	Et mon esprit, enfin, n'est pas plus offensé, De voir un Homme fourbe, injuste, intéressé, Que de voir des Vautours affamés de carnage, Des Singes mal-faisans, et des Loups pleins de rage.
ALCESTE.	ALCESTE.
Ie me verray trahir, mettre en pleces, voler, Sans que ie ſois.	Je me verrai trahir, mettre en pleces, voler, Sans que personne sois.
Morbleu, ie ne veux point parler, rant ce raiſonnement eſt plein d’impertinence.	Morbleu, Madame ne veux point parler, rant ce raisonnement est plein d'impertinence.
PHILINTE.	PHILINTE.
Ma foy, vous ferez bien de garder le ſilence;	Ma foi, vous ferez bien de garder le silence;
Guutie vuuie partit, ccſtes in peumolos Et donnez au Procez vne part de vos ſoins.	Guutie vie partit, cctes in peumolos Et donnez au Procès une part de vos soins.
ALCESIL.	ÀLCESIL.
Ie n’en donneray point, c’eſt vne choſe dite.	Je n'en donnerai point, c'est une chose dite.
PHILINTE.	PHILINTE.
Mais qui voulez vous, donc, qui, pour vous ſollicite?	Mais qui voulez -vous, donc, qui, pour vous sollicite?
ALCESTE.	ALCESTE.
ui le veux y la ſearton, mombummiditi, Iequité.	Oui le veux y la sarton, mombummiditi, Jequité.
PHILINTE.	PHILINTE.
Aucun Iuge, par vous, ne ſera viſité?	Aucun Juge, par vous, ne sera visité?
ALCESTE.	ALCESTE.
Non, eſt-ce que ma cauſe eſt iniuſte, ou douteuſe?	Non, est-ce que ma cause est injuste, ou douteuse?
PHILINTE.	PHILINTE.
I’en demeure d’accord, mais la Brigue eſt fâcheuſe.	J'en demeure d'accord, mais la Brigue est fâcheuse.
ALCESTE.	ALCESTE.
Non i’ay réſolu de n’en pas faire vn pas;	Non j'ai résolu de n'en pas faire un pas;
I’ay tort, ou i’ay raiſon.	J'ai tort, ou j'ai raison.
PHILINTE.	PHILINTE.
Ne vous y fiez pas.	Ne vous y fiez pas.
nu a de lue Ie ne remûray point.	nu a de lue Je ne remuirai point.
PHILINTE.	PHILINTE.
Voſtre partie eſt forte, Et peut par ſa Cabale, entraiſner.	Votre partie est forte, Et peut par sa Cabale, entraîner.
ALCESTE.	ALCESTE.
Il n’importe.	Il n'importe.
PHILINTE.	PHILINTE.
vous vous tromperez.	vous vous tromperez.
ALCESTE.	ALCESTE.
Soit, i’en veux voir le ſuccez,	Soit, j'en veux voir le succès,
Mais.	Mais.
PHILINTE.	PHILINTE.
iid a d d lai I’auray le plaiſir de perdre mon Procez,	jid a dès lai J'aurai le plaisir de perdre mon Procès,
Mais, enfin.	Mais, enfin.
PHILINTE.	PHILINTE.
ALCESTE.	ALCESTE.
Ie verray dans cette Plai lerie, Si les Hommes auront aſſez d’éfronterie, Seront aſſez méchans, ſcelerats, & peruers, Pour me faire iniuſtice aux yeux de l’Vniuers.	Je verrai dans cette Plai lerie, Si les Hommes auront assez d'éfronterie, Seront assez méchants, scélérats, et pervers, Pour me faire injustice aux yeux de l'Univers.
Quel Homme!	Quel Homme!
PHILINTE.	PHILINTE.
ALCESTE.	ALCESTE.
Ie voudrois, m’en couſtaſt il grand’choſe, Pour la beauté du Fait, auoir perdu ma Cauſe.	Je voudrais, m'en coûtât il grand'chose, Pour la beauté du Fait, avoir perdu ma Causse.
PHILINTE.	PHILINTE.
On ſe riroit de vous, Alceſte, tour de bon, Si l’on vous entendoit parler de la façon.	On se rirait de vous, Alteste, tour de bon, Si l'on vous entendait parler de la façon.
ALCESTE.	ALCESTE.
Pant pis pouu qui lnoit.	Pant pis pis qui lnoit.
PHILINTE.	PHILINTE.
Mais cette rectitude Que vous voulez en tout, auec exactitude, Cette pleine Droiture où vous vous renfermez, La trouuez vous icy, dans ce que vous aimez?	Mais cette rectitude Que vous voulez en tout, avec exactitude, Cette pleine Droiture où vous vous renfermez, La trouvez vous ici, dans ce que vous aimez?
Ie m’étonne, pour moy, qu’eſtant comme il le ſemble, Vous, & le Genre Humain, ſi fort broüillez enſemble, Malgré tout ce qui peut vous le rendre odieux, Vous ayez pris, chez luy, ce qui charme vos yeux, Et ce qui me ſurprend, encore, dauantage, C’eſt cet eſtrange Chois où voſtre Cœur s’engage.	Je m'étonne, pour moi, qu'étant comme il le semble, Vous, et le Genre Humain, si fort brouillez ensemble, Malgré tout ce qui peut vous le rendre odieux, Vous ayez pris, chez lui, ce qui charme vos yeux, Et ce qui me surprend, encore, davantage, C'est cet étrange Chois où votre Cœur s'engage.
La ſincére Eliante a du penchant pour vous, La prude Arſinoé vous voit d’vn œil fort doux:	La sincère Éliante a du penchant pour vous, La prude Arsinové vous voit d' œil fort doux:
Cependant à leurs vœux, voſtre ame ſe refuſe, randis qu’en ſes liens Celimene l’amuſe, De qui l’humeur coquette, & l’eſprit médiſant, Semble ſi fort donner dans les Mœurs d’à preſent.	Cependant à leurs vœux, votre âme se refuse, randis qu'en ses liens Celimène l'amuse, De qui l'humeur coquette, et l'esprit médisant, Semble si fort donner dans les Mœurs d'à présent.
D’où vient que leur portant vne haine mortelle.	D'où vient que leur portant une haine mortelle.
Vous pouuez bien ſouffrir ce qu’en tient cette Belle?	Vous pouvez bien souffrir ce qu'en tient cette Belle?
Ne ſont ce plus Defauts dans vn Obiet ſi doux?	Ne sont ce plus Défauts dans un Obiet si doux?
Ne les voyez-vous pas?	Ne les voyez-vous pas?
ou les excuſez-vous?	ou les excusez-vous?
ALCESTE.	ALCESTE.
Non, l’amour que ie ſens pour cette ieune Veuue, Ne ferme point mes yeux aux defauts qu’õ luy treuue, Et ie ſuis, quelque ardeur qu’elle m’ait pû douner, Le premier à les voir, comme à les condamner.	Non, l'amour que je sens pour cette jeune Veuve, Ne ferme point mes yeux aux défauts qu' en trouve, Et ie suis, quelque ardeur qu'elle m'ait pu douner, Le premier à les voir, comme à les condamner.
Mais auec tout cela?	Mais avec tout cela?
quoy que le pume rarte;	quoi que le pume rarte;
Ie confeſſe mon foible, elle a l’art de me plaire;	Je confesse mon faible, elle a l'art de me plaire;
I’ay beau voir ſes defauts & iay beau l’en blaſmer, En depit qu’on en ait elle ſe fait aimer;	J'ai beau voir ses défauts et iay beau l'en blâmer, En dépit qu'on en ait elle se fait aimer;
Sa grace eſt la plus forte, &, ſans doute, ma flame, De ces Vices du remps pourra purger ſon ame.	Sa grâce est la plus forte, et, sans doute, ma flamme, De ces Vices du remps pourra purger son âme.
PHILINTE.	PHILINTE.
Si vous faites cela, vous ne ferez pas peu.	Si vous faites cela, vous ne ferez pas peu.
Vous croyez eſtre donc, aimé d’elle?	Vous croyez être donc, aimé d'elle?
ALCESTE.	ALCESTE.
Oüy parbleu?	Oui parbleu?
Ie ne l’aimerois pas, ſi ie ne croyois l’eſtre,	Je ne l'aimerais pas, si ici ne croyais l'être,
PHILINTE.	PHILINTE.
Mais ſi ſon amitié, pour vous, ſe fait pareſtre.	Mais si son amitié, pour vous, se fait paraître.
D’où vient que vos Riuaux vous cauſent de l’ennuy?	D'où vient que vos Rivaux vous causent de l'ennui?
ALCESTE e cit quuneourbie utcenle veut qu'o rule cout à luy;	ALCESTE eût quit quuneourbie utcenle veut qu'ô rule coût à lui;
Et ie ne viens icy, qu’â deſſein de luy dire rout ce que là deſſus, ma paſſion m’inſpire.	Et ici ne viens ici, qu'as dessein de lui dire rout ce que là -dessus, ma passion m'inspire.
PHILINTE.	PHILINTE.
Pour moy, ſi ie n’auois qu’à former des deſirs, La Couſine Eliante auroit tous mes ſoûpirs, Son Cœur, qui vous eſtime, eſt ſolide, & ſincere;	Pour moi, si beau n'avais qu'à former des désirs, La Cousine Éliante aurait tous mes soupirs, Son Cœur, qui vous estime, est solide, et sincère;
ne ce endis prascorormeseſtoit mieux voure aſfaire.	ne ce endis prascorormesestoit mieux voure asfaire.
ALCESTE.	ALCESTE.
Il eſt vray, ma Raiſon me le dit chaque iour;	Il est vrai, ma Raison me le dit chaque jour;
Mais la Raiſon n’eſt pas ce qui regle l’Amour.	Mais la Raison n'est pas ce qui règle l'Amour.
PHILINTÉ.	PHILINT.
Ie crains fort peu vos feux;	Je crains fort peu vos feux;
& l’eſpoir où vous eſtes, Pourroit.	et l'espoir où vous êtes, Pourrait.
SCENE II ORONTE, ALCESIE, TTIEINTE.	SCÈNE II ORONTE, ALCESIE, TTIEINTE.
ORONTE l’Ay ſçeu là bas que, pour quelques Emplettes Eliante eſt ſortie, & Celimene auſſi:	ORONTE l'Ai su là bas que, pour quelques Emplettes Éliante est sortie, et Celimène aussi:
Mais, comme l’on m’a dit que vous eſtiez icy, J’ay monté, pour vous dire, & d’vn cœur veritable, Que i’ay conçeu pour vous vne eſtime incroyable;	Mais, comme l'on m'a dit que vous étiez ici, J'ai monté, pour vous dire, et d'un cœur véritable, Que j'ai conçu pour vous estime incroyable;
Et que, depuis long-temps, cette eſtime m’a mis Dans vn ardent deſir d’eſtre de vos Amis.	Et que, depuis longtemps, cette estime m'a mis Dans un ardent désir d'être de vos Amis.
Ouy, mon Cœur, au Mérite, aima à rendre iuſtice, Et ie brûle qu’vn nœud d’Amitié nous vniſſe:	Oui, mon Cœur, au Mérite, aima à rendre justice, Et notre brûle qu'amour nœud d'Amitié nous unisse:
Ie crois qu’vn Amy chaud, & de ma Qualité, N'eit pas, anemement;	Je crois qu'un Ami chaud, et de ma Qualité, N'éit pas, anemement;
pouz eſtre reiette.	pourrez être reiette.
C’eſt à vous, s’il vous plaiſt, que ce diſcours s’adreſſe.	C'est à vous, s'il vous plaît, que ce discours s'adresse.
En cét endroit Alceſte paret tout neneur, & ſemble n’entendre pas qu’Oronte luy parle.	En cet endroit Alceste paret tout neneur, et semble n'entendre pas qu'Orontefois parle.
ALCEIE.	ÀLCEIE.
A moy, Monſieur?	À moi, Monsieur?
e da a la d de.	 ea a la d de.
A vous.	À vous.
Trouuez vous qu’il vous bleſſe?	Trouvez -vous qu'il vous blesse?
ALCESTE.	ALCESTE.
Non pas, mais la ſurpriſe eſt fort grande pour moy, Et ie n’attendois pas l’honneur que ie reçoy.	Non pas, mais la surprise est fort grande pour moi, Et ici n'attendais pas l'honneur que ie reçoy.
ORONTE L’eſtime où ie vous tiẽs ne doit point vous ſurprẽdre, Et de tout l’Vniuers, vous la pouuez prétendre.	ORONTE L'estime où je vous tiens ne doit point vous surprendre, Et de tout l'Univers, vous la pouvez prétendre.
Monncine.	Monncine.
ALCESTE.	ALCESTE.
ORONTE.	ORONTE.
L’Eſtat n’a rien qui ne ſoit au deſſous Du Merite éclatant que l’on découure en vous	L'État n'a rien qui ne soit au dessous Du Mérite éclatant que l'on découvre en vous
Monſieur.	Monsieur.
l le da lua	l le da lua
ORONTE.	ORONTE.
Oüy, de ma part, ie vous tiens preferable A tout ce que i’y vois de plus conſiderable.	Oui, de ma part, je vous tiens préférable À tout ce que j'y vois de plus considérable.
Monſieur.	Monsieur.
ALCESTE.	ALCESTE.
ORONTE.	ORONTE.
Sois je du Ciel écraſé, ſi je mens;	Sois -je du Ciel écrasé, si je mens;
Et pour vous confiimer icy mes Sentimens, Souſfrez qu’à cœur ouuert, Mõſieur, ie vous embraſſe, Et qu’en voſtre Anutié, ie vous demande place.	Et pour vous confiimer ici mes Sentiments, Sousfrez qu'à cœur ouvert, Mõsieur, je vous embrasse, Et qu'en votre Anutié, je vous demande place.
rouchez-là, s’il vous plaiſt vous me la promettez Voſtre Amitié?	rouchez-là, s'il vous plaît vous me la promettez Votre Amitié?
nle na l de Monſieur.	nle na l de Monsieur.
ORONTE.	ORONTE.
Quoylvous y reſiſtez,	Quoilvous y résistez,
ALCESTE.	ALCESTE.
Mõſieur, c’eſt trop d’hõneur que vous me voulez faire Mais l’Amitié demande vn peu plus de myſtere, Et c’eſt, aſſeurément, en profaner le nom, Que de vouloir le mettre à toute occaſion.	Monssieur, c'est trop d'honneur que vous me voulez faire Mais l'Amitié demande un peu plus de mystère, Et c'est, assurément, en profaner le nom, Que de vouloir le mettre à toute occasion.
Auec lumiere & chois, cette vnion veut naiſtre, Auant que nous lier, il faut nous mieux conpaiſtre, Et nous pourrions auoir telles complexions, Que tous deux, du marché, nous nous repentirions.	Avec lumière et chois, cette Amion veut naître, Avant que nous lier, il faut nous mieux conpaître, Et nous pourrions avoir telles complexions, Que tous deux, du marché, nous nous repentirions.
ORONTE.	ORONTE.
Parbleu, c’eſt là deſſus parler en Homme ſage, Et ie vous en eſtime, encore, dauantage:	Parbleu, c'est là dessus parler en Homme sage, Et tu vous en estime, encore, davantage:
Soufrons, donc, que le rẽps forme des nœuds ſi doux.	Soufrons, donc, que le rẽps forme des nœuds si doux.
Mais, cependant, ie m’offre entierement à vous;	Mais, cependant, Seigneur m'offre entièrement à vous;
S’il faut faire à la Cour, pour vous, quel qu’ouuerture, On ſçait, qu’auprés du Roy, ie fais quelque Figure, Il m’ecoute, & dans tout, il en vſe, ma foy, Le plus honeſtement du monde, auecque moy.	S'il faut faire à la Cour, pour vous, quel qu'ouverture, On sait, qu'auprès du Roi, je fais quelque Figure, Il m'ecte, et dans tout, il en use, ma foi, Le plus honnêtement du monde, avec moi.
Enfin, ie ſuis à vous, de toutes les manieres;	Enfin, Seigneur suis à vous, de toutes les manières;
Et, comme voſtre eſprit a de grandes lumieres, Ie viens, pour commencer, entre nous, ce beau nœud, Vous montrer vn Sonnet, que i’ay fait depuis peu, Et ſçauoir s’il eſt bon qu’au Public ie l’expoſe.	Et, comme votre esprit a de grandes lumières, Je viens, pour commencer, entre nous, ce beau nœud, Vous montrer un Sonnet, que j'ai fait depuis peu, Et savoir s'il est bon qu'au Public ie l'expose.
ACCEJTE.	ACCEJTE.
