AILITI Maot.	ÀILITI Maot.
j'en ay d'autles ſecrets que tu ne pouras croire, Je ne ſçay ſi mon cœur ſe ſeroit démenty, Je ſens ce que fainais je n’avois reſſenty.	j'en ai d'autles secrets que tu ne pourras croire, Je ne sais si mon cœur se serait démenti, Je sens ce que fainais je n'avais ressenti.
LEPIDE.	LÉPIDE.
Vous, Seigneur?	Vous, Seigneur?
SCIPION.	SCIPION.
Je te veux ouvrir toute mona:	Je te veux ouvrir toute mona:
ne, Je ne ſçay ſi je dois donner le nom de flâme A ce trouble mortel dont je ſuis agité;	ne, Je ne sais si je dois donner le nom de flamme À ce trouble mortel dont je suis agité;
Qu’on l’ignore à jamais dans la poſterité?	Qu'on l'ignore à jamais dans la postérité?
Que toy ſeul ſois témoin de ma foibleſſe extrême?	Que toi seul sois témoin de ma faiblesse extrême?
Lepide, quelquefois j’ay pitié de moy-même, Je combats, mais en vain un rapide penchant, Qni de tous mes choits en toujouis triomphant;	Lépide, quelquefois j'ai pitié de moi-même, Je combats, mais en vain un rapide penchant, Quni de tous mes choits en toujouis triomphant;
Je rougis d’en ſentir les mottelles atteintes, ay voulu te cacher mon deſordre, mes craintes;	Je rougis d'en sentir les mottelles atteintes, ai voulu te cacher mon désordre, mes craintes;
Mais il faut t’avoüer mon foible avec douleur.	Mais il faut t'avouer mon faible avec douleur.
La priſe de Zama coûte cher à mon cœur.	La prise de Zama coûte cher à mon cœur.
LEPIDE.	LÉPIDE.
Je vous entends, Seigneur, des atteintes ſi vives Sont de l’amour.	Je vous entends, Seigneur, des atteintes si vives Sont de l'amour.
SCIPION.	SCIPION.
Ecoûte, une de mes captives, Je tremble ſeulement d’en prononcer le nom, A ſoumis, a vaincu le cœur de Scipion;	Écoute, une de mes captives, Je tremble seulement d'en prononcer le nom, A soumis, a vaincu le cœur de Scipion;
Pourois-je t’en tracer une aſſez vive image?	Pourrais-je t'en tracer une assez vive image?
Un charme ébloüiſſant brille ſur ſon viſage, Un air plein de grandeur, une noble fierté, L'éclat & la douceur jointe à la majeſté, Mille & mille vertus, une grace infinie.	Un charme éblouissant brille sur son visage, Un air plein de grandeur, une noble fierté, L'éclat et la douceur jointe à la majesté, Mille et mille vertus, une grâce infinie.
Enfin ne dois-tu pas reconnoître Iſperie.	Enfin ne dois-tu pas reconnaître Ispérie.
LEPIDE.	LÉPIDE.
Herqui pouroit la von tans eu enle Iaipiis.	Herqui pourrait la von tans eu enle Jaipiis.
Seigneur, avec raiſon vous en eſtes épris, Ses yeux.	Seigneur, avec raison vous en êtes épris, Ses yeux.
SCIPION.	SCIPION.
Ne flates point mon panchant, ma foibleſſe, Et loin de me laiſſer languir dans la moleſſe, Contre un feu ſi fatal prête-moy du ſecours, Sauve moy, s’il ſe peut, de l’ablme où je cours:	Ne flatte point mon penchant, ma faiblesse, Et loin de me laisser languir dans la mollesse, Contre un feu si fatal prête-moi du secours, Sauve moi, s'il se peut, de l'ablme où je cours:
D'Iſperie, il eſt vray, je redoutois la veuë, le ſentois à ſes yeux mon ame trop émeuë, ’ay voulu l’éviter, vaine précaution!	D'Ispérie, il est vrai, je redoutais la vue, le sentais à ses yeux mon âme trop émue, 'ai voulue l'éviter, vaine précaution!
Par l’abſence j’ay cru vaincre ma paſſion, j’ay tenu quelque temps contre de ſi doux charmes;	Par l'absence j'ai cru vaincre ma passion, j'ai tenu quelque temps contre de si doux charmes;
Mais enfin je la vis, elle verſoit des larmes, C’eſtoit pour ſon Amant, & j’en fus offenſé, D’un mouvement jaloux je me ſentis preſſé, Et ſes pleurs, ſes ſoûpirs, ſa langueur, ſa triſteſſe, Me fitent vivement reſſentir ma foibleſſe, Je n’en ſuis plus le maître, & malgré mes effort Je ſuccombe, Lepide, à de ſi doux tranſports.	Mais enfin je la vis, elle versait des larmes, C'était pour son Amant, et j'en fus offensé, D'un mouvement jaloux je me sentis pressé, Et ses pleurs, ses soupirs, sa langueur, sa tristesse, Me fitent vivement ressentir ma faiblesse, Je n'en suis plus le maître, et malgré mes effort Je succombe, Lépide, à de si doux transports.
LEPIDE.	LÉPIDE.
Il eſt vray qu’elle eſt belle, & digne d’eſtfe aimée,	Il est vrai qu'elle est belle, et digne d'estée aimée,
SCIPION.	SCIPION.
Plus je reſiſte, & plus j’en ay l’ame charmée, L’effort que je me fais irrite mes deſirs, Prés d’elle je contrains, j’étouffe mes ſoûpirs:	Plus je résiste, et plus j'en ai l'âme charmée, L'effort que je me fais irrite mes désirs, Prés d'elle je contrains, j'étouffe mes soupirs:
Mais dieux!	Mais dieux!
elle eſt ſans ceſſe en de triſtes allarmes, Je me vois aujourd’huy la cauſe de ſes larmes, Ma fatale victoire a trahy ſes deſſeins, Elle doit me haïr, Lepide, & je le crains.	elle est sans cesse en de tristes alarmes, Je me vois aujourd'hui la cause de ses larmes, Ma fatale victoire a trahi ses desseins, Elle doit me haïr, Lépide, et je le crains.
LEPIDE.	LÉPIDE.
vVous pouriez vois, seiglieur, vorſe name ſompée, Du Prince Lucejus elle eſt préocupée, Vous l’avez enlevée aux bras de cet époux.	vOus pourriez vois, seiglieur, vorse name sompée, Du Prince Lucejus elle est préoccupée, Vous l'avez enlevée aux bras de cet époux.
CIPION.	CIPION.
Il l'épouſoit?	Il l'épousait?
ah Ciel!	ah Ciel!
que ſon ſort étoit doux?	que son sort était doux?
Qu’il alloit eſtre heureux?	Qu'il allait être heureux?
& qu’Iſperie eſt belle?	et qu'Ispérie est belle?
Eſt-il dans l’univers rien qui ſoit digne d’elle?	Est-il dans l'univers rien qui soit digne d'elle?
Mais que veut Aanibal?	Mais que veut Aanibal?
quel accord, quel traité?	quel accord, quel traité?
Voudra-t-il de ſa Niéce avoir la liberté?	Voudra-t-il de sa Nièce avoir la liberté?
Eſt-ce pour Lucejus, pour elle, ou pour Cartage Qu’il vient.	Est-ce pour Lucejus, pour elle, ou pour Carthage Qu'il vient.
dure à jamais plûtôt ſon eſclavage!	dure à jamais plutôt son esclavage!
Apprens que Scipion ne la rendra jamais, auue cis leus, au couen .	Apprends que Scipion ne la rendra jamais, aveu cis lus, au couen .
i.	y.
paix;	paix;
Ainſi donc plus d’accord, ny même d’entreveuë.	Ainsi donc plus d'accord, ni Seigneur d'entrevue.
LEPIDE.	LÉPIDE.
Mais vous l’avez promiſe, & dans peu la venut D’Annibal en ce Camp.	Mais vous l'avez promise, et dans peu la venut D'Hannibal en ce Camp.
SCIPION.	SCIPION.
Il eſt vray, j’ay promis D'entendre le plus fier de tous nos ennemis;	Il est vrai, j'ai promis D'entendre le plus fier de tous nos ennemis;
Mais jé dois pour ma gloire oublier Iſperie, Je dois la regarder en mortelle ennemle, La Niéce d’Annibal tenteroit ma vertu?	Mais jé dois pour ma gloire oublier Ispérie, Je dois la regarder en mortelle ennemle, La Nièce d'Hannibal tenterait ma vertu?
Le plus grand ennemy que jamais Rome ait eu?	Le plus grand ennemi que jamais Rome ait eu?
Non, Lepide, aujourd’huy je dois briſer ma chaîne,	Non, Lépide, aujourd'hui je dois briser ma chaîne,
LEPIDE.	LÉPIDE.
Seigneur portez vos vœux du côté d’Erixene.	Seigneur portez vos vœux du côté d'Erixène.
Elle eſt fille d’Hannon ennemy d’Annibal, Dans Cartage ce Chef fut toujours ſon rival.	Elle est fille d'Hannon ennemi d'Hannibal, Dans Carthage ce Chef fut toujours son rival.
Toujours dans le Senat à ce Heros contraire, Dans Rome il n’eut jamais de plus grand adverſaire, Et s'oppoſant ſans ceſſe à ſes juſtes deſſeins, Il paroiſſoit plûtôt l’allié des Romains;	Toujours dans le Sénat à ce Héros contraire, Dans Rome il n'eut jamais de plus grand adversaire, Et s'opposant sans cesse à ses justes desseins, Il paraissait plutôt l'allié des Romains;
Aux charmes d’Iſperie oppoſez Erixene, Et pienez un amour conforme à vôtre haine, Elle peut balancer vos deſirs à ſon tour, Et même elle pouroit répondre à vôtre amour.	Aux charmes d'Ispérie opposez Erixène, Et pienez un amour conforme à votre haine, Elle peut balancer vos désirs à son tour, Et même elle pourrait répondre à votre amour.
Erixene!	Erixène!
SCIPION.	SCIPION.
LEPIDE.	LÉPIDE.
Oüy, Seigneur, & j’ay eru le connoître, Toute ſa fierté tombe en nous voyant paroître:	Oui, Seigneur, et j'ai erv le connaître, Toute sa fierté tombe en nous voyant paraître:
Quand on parle de vous, il le faut avoüer, Elle prend du plaiſir, Seigneur, à vous loüer, Et lotſque vos regards tournent vers Iſperie, Elle voudroit bien voir ſes charmes effacez, Elle la hait enfin, en eſt-ce pas aſſez?	Quand on parle de vous, il le faut avouer, Elle prend du plaisir, Seigneur, à vous louer, Et lotsque vos regards tournent vers Ispérie, Elle voudrait bien voir ses charmes effacés, Elle la hait enfin, en est-ce pas assez?
SCIPION.	SCIPION.
Elle hait Iſperie, ah Ciel!	Elle hait Ispérie, ah Ciel!
quelle injuſtice?	quelle injustice?
Par qu’elle jalouſie, ou plûtôt quel caprice, Malgré tant de beautez cette Erixene hait Ce que la main des Dieux forma de plus parfait.	Par quelle jalousie, ou plutôt quel caprice, Malgré tant de beautés cette Erixène hait Ce que la main des Dieux forma de plus parfait.
Je m’égare, Lepide, & tu vois ma foibleſſe, C’eſt envain que je veux déguiſer ma tendreſſe;	Je m'égare, Lépide, et tu vois ma faiblesse, C'est envain que je veux déguiser ma tendresse;
Apprenons cependant ce qu’Aurilcar a fait, Peut-eſtre qu’Iſperie aura ſçû quel projet Annibal peut former, & qu'elle eſt ſa conduite, De ſes deſſeins ſans doute elle doit eſtre inſtruite;	Apprenons cependant ce qu'Aurilcar a fait, Peut-être qu'Ispérie aura su quel projet Hannibal peut former, et qu'elle est sa conduite, De ses desseins sans doute elle doit être instruite;
veux ſondet ſon cœur, je veux eſtre éclairey Des ſecretes raiſons qui l’amenent icy.	veux sondet son cœur, je veux être éclairei Des secrètes raisons qui l'amènent ici.
ACTE II.	ACTE II.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ISPERIE, ERMILIE.	ISPERIE, ERMILIE.
8 ET ISPERIE ANGUIRAIS-je toujours en des craintes mortelles?	8 ET ISPERIE ANGUIRAIS-je toujours en des craintes mortelles?
Du Prince Lucejus on n’a point de nouvelles, Aurilear m’a parlé ſans m’avoir rien appris Qui puiſſe redonner le calme à mes eſprits;	Du Prince Lucejus on n'a point de nouvelles, Aurilear m'a parlé sans m'avoir rien appris Qui puisse redonner le calme à mes esprits;
Il m’apprend qu’Annibal, ce Heros que j’honore, Viendra;	Il m'apprend qu'Hannibal, ce Héros que j'honore, Viendra;
mais Lucejus ne paroît point encore;	mais Lucejus ne paraît point encore;
Devoit-il pas aller au devant de ſes pas?	Devait-il pas aller au devant de ses pas?
Le joindre dans ſon Camp, y mener ſes ſoldats?	Le joindre dans son Camp, y mener ses soldats?
Que fait-il?	Que fait-il?
en quels lieux avec indifference, Depuis deux mois entiers ſouffre-t-il mon abſence?	en quels lieux avec indifférence, Depuis deux mois entiers souffre-t-il mon absence?
Il n’oſe tien tentu il n’a rien entrepris, Sans doute que mon cœur eſt d’un trop foible prix;	Il n'ose tien tentu il n'a rien entrepris, Sans doute que mon cœur est d'un trop faible prix;
Et ne devoit-il pas au peril de ſa teſte, Ravir à Scipion une telle conqueſte;	Et ne devait-il pas au péril de sa tête, Ravir à Scipion une telle conquête;
Il n’a rien fait encor pour me prouver ſa foy, Je ne merite pas qu’il s’expoſe pour moy.	Il n'a rien fait encor pour me prouver sa foi, Je ne mérite pas qu'il s'expose pour moi.
DI.	DI.
ERMILIE.	ERMILIE.
Eh?	Eh?
pouvez-vous douter que ce Prince vous aime, Madamé, rapellez ſon deſeſpoir extrême, Quand Zama pris d’aſſaut le ſépara de vous:	pouvez-vous douter que ce Prince vous aime, Madamé, rappelez son désespoir extrême, Quand Zama pris d'assaut le sépara de vous:
Ce malheureux Amant dans ſon juſte couroux, Guidé par ſa fureur s’alloit ôter la vie, 2 Je deſarmay ſon bras au ſeul nom d’Iſperie, Et peut-eſtre.	Ce malheureux Amant dans son juste courroux, Guidé par sa fureur s'allait ôter la vie, 2 Je désarmai son bras au seul nom d'Ispérie, Et peut-être.
ISPERIE.	ISPERIE.
Dequoy viens-tu m’entretenir?	Dequoy viens-tu m'entretenir?
Pourquoy me rapeller ce triſte ſouvenir?	Pourquoi me rappeler ce triste souvenir?
O nuit!	Ô nuit!
qui preceda la fatale journée Qui devoit éclairer un heureux hymenée!	qui précéda la fatale journée Qui devait éclairer un heureux hyménée!
Au lieu de me livrer au malheur qui me ſuit, Que n’es-tu devenuë.	Au lieu de me livrer au malheur qui me suit, Que n'es-tu devenue.
une éternelle nuit?	une éternelle nuit?
Lors qu’on vint nous donner de ſi vives allarmes, Que tout retentiſloit de l’affreux bruit des armes, Que le fer à la main je vis tant de ſoldats En foule en mon Palais précipiter leurs pas;	Lors qu'on vint nous donner de si vives alarmes, Que tout retentislait de l'affreux bruit des armes, Que le fer à la main je vis tant de soldats En foule en mon Palais précipiter leurs pas;
Il t’en doit ſouvenir, dans tes bras Ermilie Je demeuray long-temps immobile & ſans vie, Scipion m’aperçlit, ſon zele officieux Me prêta du ſecours, me fit ouvrir les yeux, A ſon air, à ſon port je connus ce grand homme, La terreur de Cartage & la gloire de Romne, Et ſans qu’il eût beſoin qu’on prononçât ſon nom, Son front majeſtueux découvſScipion, Depuis de mille ſoins je luy ſuis redevable;	Il t'en doit souvenir, dans tes bras Ermilie Je demeurai longtemps immobile et sans vie, Scipion m'aperçlit, son zèle officieux Me prêta du secours, me fit ouvrir les yeux, À son air, à son port je connus ce grand homme, La terreur de Carthage et la gloire de Romaine, Et sans qu'il eût besoin qu'on prononçât son nom, Son front majestueux découvsScipion, Depuis de mille soins je lui suis redevable;
Cependant aujourd’huy c’eſt luy ſeul qui m’accable Il fait couler mes pleurs malgré tant de vertus, Et ſans luy je ſerois unie à Lucejus.	Cependant aujourd'hui c'est lui seul qui m'accable Il fait couler mes pleurs malgré tant de vertus, Et sans lui je serais unie à Lucejus.
2	2
ERMILIE.	ERMILIE.
Madame pouvez-vous murmurer de ſa chaîne?	Madame pouvez-vous murmurer de sa chaîne?
Ce Heros vous regarde & traite en ſouveraine, Vôtre nom dans Zama ſeroit moins reſpecté, Vous eſtes dans ſon Camp en pleine liberté, Sans gardes, ſans témoins, il met toute ſa gloire A vous faire oublier cette triſte victoite, Et ſi je m’en raporte à des regards plus doux, Le ſeul reſpect n’eſt pas tout ce qu’il ſent pour vous.	Ce Héros vous regarde et traite en souveraine, Votre nom dans Zama serait moins respecté, Vous êtes dans son Camp en pleine liberté, Sans gardes, sans témoins, il met toute sa gloire À vous faire oublier cette triste victoite, Et si je m'en rapporte à des regards plus doux, Le seul respect a pas tout ce qu'il sent pour vous.
ISPERIE.	ISPERIE.
Helas!	Hélas!
trop attentive à mon deſtin funeſte, Je ſonge à mon Amant & néglige le reſte, Tous les autres objets me touchent foiblement, Qu’un cœur eſt malheureux d’aimer ſi teudrement?	trop attentive à mon destin funeste, Je songe à mon Amant et néglige le reste, Tous les autres objets me touchent faiblement, Qu'un cœur est malheureux d'aimer si teudrement?
Mais ce Prince m’oublie & j’en ſuis outragée, Il n’y faut plus penſer pour en eſtre vangée, Dans un lâche repos s’il eſt enſevely, Il merite ma haine, ou plûtôt mon oubly;	Mais ce Prince m'oublie et j'en suis outragée, Il n'y faut plus penser pour en être vengée, Dans un lâche repos s'il est enseveli, Il mérite ma haine, ou plutôt mon oubli;
Me laiſſer ſi long-temps languir dans l’eſclavage?	Me laisser si longtemps languir dans l'esclavage?
Eſt-ce faute d’amour, ou faute de courage?	Est-ce faute d'amour, ou faute de courage?
Tous deux également me donnent de l’effroy, S’il manque de courage eſt-il digne de moy?	Tous deux également me donnent de l'effroi, S'il manque de courage est-il digne de moi?
Ce penſer contre luy me revolte, m’indigne, Et s’il manque d’amour en ſera-il plus digne?	Ce penser contre même me révolte, m'indigne, Et s'il manque d'amour en sera-il plus digne?
Mais que vois-je teſt-ce luy ?	Mais que vois-je test-ce même ?
grands Dieux !	grands Dieux !
, * 2 24.	, * 2 24.
:	:
i* πæ2 2 -- Source gallica.	j* æ2 2 -- Source gaillica.
bnf.	bnf.
fr ( Bibliothèque nationale de Francé	fr ( Bibliothèque nationale de Francé
SCENE II.	SCÈNE II.
LUCEJUS, ISPERIE, EMILIE, CELSUS.	LUCEJEUS, ISPERIE, EMILIE, CELS.
N'En doutez plus, Madame, & connoiſſez aujourd’huy Lucejus:	N'En doutez plus, Madame, et connaissez aujourd'hui Lucejus:
Le fidele Celſus fût captif de mon pere, Il le renvoya libre, & j’en ay le ſalaire, Ceit luy qui m a conauit prés de vous en cę lieux, je viens omer vos lcis;	Le fidèle Celsus fût captif de mon père, Il le renvoya libre, et j'en ai le salaire, Cit lui qui m' a conavit prés de vous en ç lieux, je viens ömer vos lis;
ou mouin u vos jeux.	ou mouin u vos jeux.
ISPERIE.	ISPERIE.
Ciel!	Ciel!
qu’entens-je?	qu'entends-je?
LUCEJUS.	LÙCEJEUS.
Voila le ſujet qui m’ameine, Mes ſoldats ſont cachez dans la foreſt prochaine, Juſqu’au prés de ce Camp nous ſommes parvenus Par des lieux écartez, des chemins inconnus, Je n’ay pris avec moy que des troupes d’élite, Indibilis m’attend, il en a la conduite, Avecque un Camp volant Mandonius le ſuit, Nous devons attaquer ce quartier cette nuit;	Voila le sujet qui m'amène, Mes soldats sont cachés dans la forêt prochaine, Jusqu'au prés de ce Camp nous sommes parvenus Par des lieux écartés, des chemins inconnus, Je n'ai pris avec moi que des troupes d'élite, Indibilis m'attend, il en a la conduite, Avec un Camp volant Mandonius le suit, Nous devons attaquer ce quartier cette nuit;
le n’ay fié qu’à moy le ſoin de reconnoiſtte, En quel endroit du Camp vos tentes pouvoient être, Je le ſçais à preſent, & j’en rends grace aux Dieux, Il faudra profiter & du temps & des lieux, Et ſi le Ciel répond à ce que je projete, Tout le Camp d’Annibal nous offre une retraite, Il n’eſt pas loin d’icy;	le n'ai fié qu'à moi le soin de reconnoistte, En quel endroit du Camp vos tentes pouvaient être, Je le sais à présent, et j'en rends grâce aux Dieux, Il faudra profiter et du temps et des lieux, Et si le Ciel répond à ce que je projette, Tout le Camp d'Hannibal nous offre une retraite, Il n'est pas loin d'ici;
mais j’ay voulu ſans luy Tenter ce grand effort que je fais aujourd’huy;	mais j'ai voulu sans mou Renter ce grand effort que je fais aujourd'hui;
Je craignois qu’Annibal par ſa lente prudence Ne ſervit mal ma flâme & mon impatience:	Je craignais qu'Hannibal par sa lente prudence Ne servît mal ma flamme et mon impatience:
Ainſi, ſans differer.	Ainsi, sans différer.
Madame, vous tremblez;	Madame, vous tremblez;
Vos ſens ſont interdits, vos eſprits ſont troublez, Vous he répondez rien, & vous verſez des larmes,	Vos sens sont interdits, vos esprits sont troublés, Vous hé répondez rien, et vous versez des larmes,
ISPERIE.	ISPERIE.
Que je ſenens pour vous de mortenes anarmes 3 Qu'aſlez-vous entreprendre?	Que je senends pour vous de mortenes anarmes 3 Qu'aslez-vous entreprendre?
& qui peut m’aſſurer Du ſuccés.	et qui peut m'assurer Du succès.
LUCEJUS.	LÙCEJEUS.
Ouy, Madame, il faut tout eſperer, A quiconque aime bien il n’eſt rien d’impoſſible, L'ardeur de vous ſervir doit me rendre invincible, erle loit me tranit, oun je meuis au moins, Madame, vos beaux yeux en ſeront les témoins, J'auray fait mon devoir s’il ni’en coûte la vie, Du moins je la perdray pour ſauver Iſperie.	Oui, Madame, il faut tout espérer, À quiconque aime bien il n'est rien d'impossible, L'ardeur de vous servir doit me rendre invincible, erle loit me tranit, oun je meuis au moins, Madame, vos beaux yeux en seront les témoins, J'aurai fait mon devoir s'il nien souste la vie, Du moins je la perdrai pour sauver Ispérie.
ISPERIE.	ISPERIE.
Et c’eſt ce que je crains, que pourez-vous, ah Dieux?	Et c'est ce que je crains, que pourrez-vous, ah Dieux?
vous allez auaquerun caip victoneux, Vous perirez, Seigneur, & tout me le fait croire, Vous allez contre vous irriter la victoire, Je vous verray ſanglant, & tout percé de coups, Tomber peut-être.	vous allez avaquerun caip victoneux, Vous périrez, Seigneur, et tout me le fait croire, Vous allez contre vous irriter la victoire, Je vous verrai sanglant, et tout percé de coups, Tomber peut-être.
Si je puis.	Si je puis.
LUCEJUS.	LÙCEJEUS.
Helas!	Hélas!
que mon ſort ſera doux	que mon sort sera doux
ISPERIE.	ISPERIE.
Non, Seigneur, gardez-vous d’entrepreudre, Si je l’ay ſouhalté, je dois vous le défeudre;	Non, Seigneur, gardez-vous d'entrepreudre, Si je l'ai souhalté, je dois vous le défeudre;
L’oin de vous j’accuſois vôtre trop de lenteur, J'allois juſqu’à douter même de vôtre cœur:	Loin de vous j'accusais votre trop de lenteur, J'allais jusqu'à douter même de votre cœur:
Pardonnet-moy, j'étois injuſte, criminelle, De ſoupçonner ce cœur genereux & fidelle:	Pardonnet-moi, j'étais injuste, criminelle, De soupçonner ce cœur généreux et fidèle:
Mals enfin, grace au Ciel, je vous vois de retour, Et je rettouve en vous un Hetos plein d’amour, C’eſt aſſez.	Mals enfin, grâce au Ciel, je vous vois de retour, Et je retouve en vous un Hétos plein d'amour, C'est assez.
LUEEJUS.	LUEEJUS.
Non, Madame, il faur tantôt me ſuivre, Ou choiſir de me voir dans peu ceſſer de vivre, Diſſipez vos chagrins, & n’ayez point d’effroy, Cette entrepriſe eſt digne & de vous & de moy.	Non, Madame, il saur tantôt me suivre, Ou choisir de me voir dans peu cesser de vivre, Dissipez vos chagrins, et n'ayez point d'effroi, Cette entreprise est digne et de vous et de moi.
Hé quoy donc Selpion vous peut voir à toute heuVous le ſouſſrez helas!	Hé quoi donc Selpion vous peut voir à toute heuVous le soussrez hélas!
quand il faut que je meure, Il joüit des momens qui m’eſtoient deſtinez, Je Cor deiolu de vous ote jeuse ſsostensl, Vous le voyez ſouvent, pardonnez-moy, Madame, L’éelat de ſa grandeur pouroit toucher une ame, Il a trop de vettus, & ion tranſport jaloux.	quand il faut que je meure, Il jouit des moments qui m'étaient destinés, Je Cor deiolu de vous ote jeuse ssostensl, Vous le voyez souvent, pardonnez-moi, Madame, L'éelat de sa grandeur pourrait toucher une âme, Il a trop de vettus, et an sport jaloux.
ISPERIE.	ISPERIE.
Il a tout le reſpect que j’attendrois de vous, Sa bonté, ſa elemence, enlevent mon eſtime, Je ne m’en défens point puiſqu’elle eſt legitime?	Il a tout le respect que j'attendrais de vous, Sa bonté, sa élémence, enlèvent mon estime, Je ne m'en défends point puisqu'elle est légitime?
Mais enfin Scipion n’eſt point vôtre rival, Il n’aime que la gloire, & ne hait qu’Annibal.	Mais enfin Scipion n'est point votre rival, Il n'aime que la gloire, et ne hait qu'Hannibal.
LUCEJUS.	LÙCEJEUS.
Moy, je hay ce Romain dont vous portez la chaint, Et pour luy mon eſtime eſt égale à ma haine;	Moi, je hais ce Romain dont vous portez la chaint, Et pour lu mon estime est égale à ma haine;
Mais, Madame, ſongez qu’il fait tous nos malheura, Vous devez le haïr, il vous coûts des pleurs, Il nous a ſepatez, & je ſuis à la gêne, De vous voir dans ſon Camp encor porter ſa chalne.	Mais, Madame, songez qu'il fait tous nos malheura, Vous devez le haïr, il vous coûts des pleurs, Il nous a sepattez, et je suis à la gêne, De vous voir dans son Camp encor porter sa chalne.
Non, non, & cette nuit il en faudra ſortir, Ou j’itay.	Non, non, et cette nuit il en faudra sortir, Ou j'itai.
ISPERIE.	ISPERIE.
Non, Seigneur, je n’y puis conſentir, Annibal vient bien-tôt, attendons ſa venue, Aprenons le ſuccés d’une telle entrevüe, Il va parler de paix, j’auray la liberté, Et novs ſeross tous deux compris dans le traité;	Non, Seigneur, je n'y puis consentir, Hannibal vient bientôt, attendons sa venue, Aprenons le succès d'une telle entrevue, Il va parler de paix, j'aurai la liberté, Et nous seross tous deux compris dans le traité;
Peut-eſtre ſans riſquer une ſi chere vie Demain en liberté vous verrez Iſperie, Ne précipitez rien, Seigneur, retirez-vous, Je tremble qu’en ces lieux quelqu’un ne vienne à nous;	Peut-être sans risquer une si chère vie Demain en liberté vous verrez Ispérie, Ne précipitez rien, Seigneur, retirez-vous, Je tremble qu'en ces lieux quelqu'un ne vienne à nous;
Si vous tardez long-temps on peut vous y ſurprendre;	Si vous tardez longtemps on peut vous y surprendre;
Sut tout, au nom des Dieux, avant que d’entreprendre, Si j'ay ſur vôtre cœur de veritables droits, e pretenos vous parler une Ieconde fois, Seigneur ſuivez Celſus en qui je me confie, Il poura dans ſa tente aſſurer vôtre vie, Attendez quelque temps.	Sut tout, au nom des Dieux, avant que d'entreprendre, Si j'ai sur votre cœur de véritables droits, e pretenos vous parler une Jéconde fois, Seigneur suivez Celsus en qui je me confie, Il pourra dans sa tente assurer votre vie, Attendez quelque temps.
LUCEJUS.	LÙCEJEUS.
Madame j’obéis.	Madame j'obéis.
Mais enfin, ſi vos-vœux & les miens ſont trahis Vous partirez.	Mais enfin, si vos-vœux et les miens sont trahis Vous partirez.
ISPERIE.	ISPERIE.
Seigneur, je promets de vous ſuivre, Et même de muiril ſi vous ceſſez de vivre.	Seigneur, je promets de vous suivre, Et même de muiril si vous cessez de vivre.
& 16 E Il fort avee Celſus.	et 16 E Il fort avée Celsus.
SCENE III.	SCÈNE III.
NSIERIE, ERMILIE.	NSIERIE, ERMILIE.
ISPERIE.	ISPERIE.
Preſent je reſpire!	Présent je respire!
il a rempli mes vœux, A ACet Amant que je vois ſidelle & genereux, De tant de mouvemens dont j’avois l’ame atteinte, Il ne me reſte plus que l’amour & la crainte;	il a rempli mes vœux, A CEt Amant que je vois sidelle et généreux, De tant de mouvements dont j'avais l'âme atteinte, Il ne me reste plus que l'amour et la crainte;
Mais helas!	Mais hélas!
quelle eſt vive & ſenſible à mon cœur?	quelle est vive et sensible à mon cœur?
Ie ſens mille tranſports de joye & de douleur, Il eſt digne de moy, je dois trop le connoſtrei Mais il va s’expoſer, &perira peut-eſtre;	Je sens mille transports de joie et de douleur, Il est digne de moi, je dois trop le connaîtrei Mais il va s'exposer, etperira peut-être;
Que dis-je, ſon amour va tenter un effort Qui luy feia trouver Scipion & la mort;	Que dis-je, son amour va tenter un effort Qui lui fejà trouver Scipion et la mort;
Juſtes Dieux?	Justes Dieux?
détournez ce funeſte préſage!	détournez ce funeste présage!
Inſpirez Annibal pour la paix de Caitage !	Inspirez Hannibal pour la paix de Caitage !
C’eſt ma ſeule eſperance en cette occaſion, Et ſur tout portez y le cœur de Scipion:	C'est ma seule espérance en cette occasion, Et sur tout portez y le cœur de Scipion:
Il vient, que me veut-il?	Il vient, que me veut-il?
SCENE IV.	SCÈNE IV.
SCIPION, ISPERIE,ERMILIE,	SCIPION, ISPERIE,ERMILIE,
SCIPION.	SCIPION.
E vous cherchois, Madame;	E vous cherchais, Madame;
Mais quel trouble uouveau frape & ſaiſit vôtre ame!	Mais quel trouble ouveau frappe et saisit votre âme!
Etonnée, interdite, à mon premier abord, Je vois combien pour moy vous vous faites d’effort.	Étonnée, interdite, à mon premier abord, Je vois combien pour moi vous vous faites d'effort.
ISPERIE.	ISPERIE.
Seigneur, ne croyez pas.	Seigneur, ne croyez pas.
QCIPION.	QCIPION.
Ma preſence vous gêne, Et je ſeray toujours l’objet de vôtre haine, Je la merite peu cepeudant.	Ma présence vous gêne, Et je serai toujours l'objet de votre haine, Je la mérite peu cepeudant.
ISPERIE.	ISPERIE.
Moy, Seigneur?	Moy, Seigneur?
Vous haïr?	Vous haïr?
mon reſpect vous répond de mon cœur, Et j’ay pour vos vertus une ſi haute eſtime.	mon respect vous répond de mon cœur, Et j'ai pour vos vertus une si haute estime.
SCIPION.	SCIPION.
