A PARIS, .	À PARIS, .
Sur le bruit de la mort du Roy de Trace, celuy de Smyrne attaque la frontiere, & victorieux prend le Chaſteau où Oronte auoit mis ces deux enfans, qui furent faits priſonniers d’Arban ſoldat de Smyrne.	Sur le bruit de la mort du Roi de Trace, celui de Smyrne attaque la frontière, et victorieux prend le Château où Oronte avait mis ces deux enfants, qui furent faits prisonniers d'Arban soldat de Smyrne.
En ces entrefaites le Roy de Trace reuient en conualeſcence, & denonce au Roy de Smyrne vne guerre mortelle, ſi promptement il ne luy renuoye ces deux priſonniers, lequel les fait chercher curieuſement;	En ces entrefaites le Roi de Trace revient en convalescence, et denonce au Roi de Smyrne fl guerre mortelle, si promptement il ne lui renvoie ces deux prisonniers, lequel les fait chercher curieusement;
mais Arban en ayant le vent les mene ſecrettement aux montagnes de Smyrne, où il les habille en Bergers de peur qu’ils ne ſoient reconnus, & changeant leur nom appelle Filis Cloris, & Tirſis Niſe.	mais Arban en ayant le vent les mene secrètement aux montagnes de Smyrne, où il les habille en Bergers de peur qu'ils ne soient reconnus, et changeant leur nom appelle Filis Cloris, et Tirs Nise.
Ainſi deſguiſez il met Cloris eutte les mains de Meliſſe vieux Berger, & conduit Niſe chez le Paſteur Damete, afin que ſeparez on euſt plus de peine à les deſcouurir:	Ainsi déguisez il met Cloris eutte les mains de Melisse vieux Berger, et conduit Nise chez le Pasteur Damette, afin que séparez on eût plus de peine à les découvrir:
& non content de ce les fait croire morts l’vn à l’autre, tromperie qui les plongea en extremes triſteſles.	et non content de ce les fait croire morts l'un à l'autre, tromperie qui les plongea en extrêmes tristes.
Pendant cecy le Roy de Trace entre dans l’Iſle de Smyrne pour venger la perte de ces petits amants, ce qui cauſe que Meliſſe quitte le pays de Smyrne, s’en va eu l’Iſle de Scire d’où ſes anceſtres eſtoient ſortis, & y mene Cloris, qui ne ſçauoit pas que ce fuſt ſon pays, où eſtans arriuez Meliſſe fait connoiſſance auec Ormin & Sirene.	Pendant ceci le Roi de Trace entre dans l'Île de Smyrne pour venger la perte de ces petits amants, ce qui cause que Melisse quitte le pays de Smyrne, s'en va eu l'Île de Scire d'où ses ancêtres étaient sortis, et y mene Cloris, qui ne savait pas que ce fût son pays, où étant arrivez Melisse fait connaissance avec Orin et Sirène.
D'autre coſté Niſe qui auoit eſté baillé à Damete, eſtant ſut vn vaiſſeau eſt pouſſé par l’orage ſur la plage de l’Iſle de Scire;	D'autre côté Nise qui avait été baillé à Damète, étant sut un vaisseau est poussé par l'orage sur la plage de l'Île de Scire;
où ayant pris terre, encore eſtonné de cet euenement il entend vne voix lamentable qui le remplit de compaſſion:	où ayant pris terre, encore étonné de cet événement il entend un voix lamentable qui le remplit de compassion:
il entre dans la foreſt voiſine d’où il iuge que viennent ces plaintes, & là treuue vn Centaure en deuoir de forcer vne Bergere nommée Celie, il prend ſa defenſe, & vn Berger nommé Aminte chaſſant aux enuirons, au bruit qu’il entend le vient ſeconder.	il entre dans la forêt voisine d'où il juge que viennent ces plaintes, et là trouve un Centaure en devoir de forcer une Bergère nommée Célie, il prend sa défense, et un Berger nommé Aminte chassant aux environs, au bruit qu'il entend le vient seconder.
Le combat eſt yæſomtetot.	Le combat est yæsomtetot.
ſauglant:	savant:
mais comme le Centaure ſe met en deuoir de leur donner le dernier coup, ſa maſſue eſt arreſtée par les branches d’vn arbre, ce qui cauſa ſa fuitte:	mais comme le Centaure se met en devoir de leur donner le dernier coup, sa massue est arrêtée par les branches d'H arbre, ce qui causa sa fuite:
ces Bergers le pourſuiuent courageuſement, mais ſi affoiblis par la perte de leur ſang, qu’ils tombent tous deux à terre:	ces Bergers le poursuivent courageusement, mais si affaiblis par la perte de leur sang, qu'ils tombent tous deux à terre:
Celie les voyant à ſon occaſion en vn ſi grand danger deleur vie, treuue moyen de rompre ſes liens, & ſans ſe ſouuenit qu’elle eſt nuë va ſoulager ceux qui l’ont deliurée.	Celie les voyant à son occasion en un si grand danger déleur vie, trouve moyen de rompre ses liens, et sans se souvenit qu'elle est nue va soulager ceux qui l'ont délivrée.
Quelques Bergers & Nymphes accourus au bruit portent les bleſſez en la maiſon de Sirene, où Celie continuë à les ſolliciter, & en fin deuient amoureuſe de tous deux.	Quelques Bergers et Nymphes accourus au bruit portent les blessés en la maison de Sirène, où Cel continue à les solliciter, et en fin devient amoureuse de tous deux.
Aminte employe vne vielle Bergere nommée Nerée pour parler à Celie en faueur de Niſe.	Aminte emploie une vielle Bergère nommée Nerée pour parler à Celie en faveur de Nise.
Niſe baille à Nerée le collier qu’il auoit autrefois receu du Roy de Trace pour preſenter à Celie.	Nise baille à Nerée le collier qu'il avait autrefois reçu du Roi de Trace pour présenter à Célie.
Cloris reuenaut d’vn voyage auec Meliſſe, voit le cercle entre les mains de Nerée, le recognoiſt, & luy demande par quel moyen il eſt entre ſes mains, Nerée luy monſtre Niſe qui luy auoit baillé:	Cloris revenaut d'une voyage avec Mélisse, voit le cercle entre les mains de Nerée, le reconnaît, et lui demande par quel moyen il est entre ses mains, Nerée était montre Nise qui luitaît baillé:
Cloris le cõſiderant apperçoit que c’eſt ſon Tirſis:	Cloris le cõsiderant aperçoit que c'est son Tirsis:
Niſe s’eſtant vn peu eſcatté pour aller au deuãt d’Aminte, eſt tout eſtõné de ne voir plus Nerée ny Cloris où il les auoit laiſſées.	Nise s'étant un peu escatté pour aller au devant d'Aminte, est tout estõné de ne voir plus Nerée ni Cloris où il les avait laissées.
Pendaut qu’il les cherche, il voit Celie couchée au pied d’vn arbre, où pẽſant qu’elle dormiſt s’approche pour la regarder, & la voyant ſans mouuemẽt croit qu’elle eſt morte:	Pend qu'il les cherche, il voit Celie couchée au pied d'un arbre, où pusant qu'elle dormît s'approche pour la regarder, et la voyant sans mouvement croit qu'elle est morte:
en fin elle reuient de ſois eſuanouiſſement, penſant neantmoins eſtre en l’autre monde.	en fin elle revient de sois évanouissement, pensant néanmoins été en l'autre monde.
Filin petit Paſteur apportououuunt quo biontote meurt, ce qui fait courir Celie pour la ſecourir, & Niſe eſt retenu par ce Berger, qui luy rend de la part de Cloris ſa part du collier rejoint auec l’autre moitié.	Filin petit Pasteur apportououuunt quo biontote meurt, ce qui fait courir Celie pour la secourir, et Nise est retenu par ce Berger, qui lui rend de la part de Cloris sa part du collier rejoint avec l'autre moitié.
Niſe voyant ce cercle, & ſçachant en quelle peine eſt Cloris, iette le collier de, qui le porte auſſi toſt à Oronte, le meſme qui auoit enleué Tirſis & Filis, qui eſtoit depuis peu reuenu en cette Iſle pour faire payer le tribut que ce peuple deuoit à ſon Roy.	Nise voyant ce cercle, et sachant en quelle peine est Cloris, jette le collier de, qui le porte aussi tôt à Oronte, le même qui avait enlevé Tirsis et Filis, qui était depuis peu revenu en cette Île pour faire payer le tribut que ce peuple devait à son Roi.
Oronte fait diligente perquiſition de celuy qui auoit ainſi prophané l’image du Prince grauée ſut ce collier, pour le punir de mort.	Oronte fait diligente perquisition de celui qui avait ainsi prophané l'image du Prince gravée sut ce collier, pour le punir de mort.
Ayant attentiuement conſideré ce cercle, recognoiſt que c’eſt celuy que le Roy auoit donné à ces deux enfans perdus.	Ayant attentivement considéré ce cercle, reconnaît que c'est celui que le Roi avait donné à ces deux enfants perdus.
En meſme temps Tirſis ſe preſente deuant Oronte, & s’accuſe, diſant que le collier eſt à luy :	En même temps Tirsis se présente devant Oronte, et s'accuse, disant que le collier est à venir :
Cloris de meſme declare qu’il luy appartient:	Cloris de même déclare qu'il avait appartient:
& Tirſis luy maintient que non, & que c’eſt luy qui l’a ietté par terre.	et Tirsis Seigneur maintient que non, et que c'est lui qui l'a jeté par terre.
Oronte eſtonné de cette diſpute, conçoit quelque opinion que ce ſont les enfans qu’on croyoit perdus:	Oronte étonné de cette dispute, conçoit quelque opinion que ce sont les enfants qu'on croyait perdus:
Il s’en eſclaircit en fin par le recit que Meliſſe luy fait de ce qu’il en ſçait:	Il s'en éclaircit en fin par le récit que Melisse avait fait de ce qu'il en sait:
Il diſſimule l’aiſe qu’il en reſſent, & feignant de les vouloit faire mourir, les fait conduire au Temple, où ſur le poinct qu’ils croyent receuoir le coup d’vne mort violente, ils entendent prononcer l'arreſt de leur liberté & de celle de l’Iſle de Scire, & ſont mariez en	Il dissimule l'aise qu'il en ressent, et feignant de les voulait faire mourir, les fait conduire au Temple, où sur le point qu'ils croient recevoir le coup d'une mort violente, ils entendent prononcer l'arrêt de leur liberté et de celle de l'Île de Scire, et sont mariés en
LA N d S4 VSOE.	LA N d S4 VOSE.
PROLOGVE.	PROLOGUE.
Tiduuite da Caual.	Tidute da Caval.
Maritle	Maritle
2 Emeurez mes viſtes cheuaux, Moderez vnpeu vos trauaux, Tant que ie ſçache vne merueille Qui ſur la terre eſt ſans pareille, Et ce qui peut ſi puiſſamment Changer en vn petit moment Par vne vertu ſans ſeconde Toute la face de ce monde.	2 Emeurez mes vite chevaux, Modérez vnpeu vos travaux, Tant que ie éclache toujours merveille Qui sur la terre est sans pareille, Et ce qui peut si puissamment Changer en un petit moment Par une vertu sans seconde Toute la face de ce monde.
Que cependant ces inconnus Qui ſous nous cheminent tous nus Poſſedant plus qu’à l’ordinaire Le bel Aſtre qui les eſclaire Iouyſſent plus long temps du iour.	Que cependant ces inconnus Qui sous nous cheminent tous nus Possédant plus qu'à l'ordinaire Le bel Astre qui les éclaire Jouissent plus long temps du jour.
Filles ailees de ma Cour,	Filles ailées de ma Cour,
Betite famille volante A me bien ſeruir vigilante, D’vn egal & d’vn iuſte poids Suſpendez encor vne fois Sur Atlas à l’eſchine forte Les eßieux du char qui me porte.	Bétite famille volante À me bien servir vigilante, D'elle égal et d'un juste poids Suspendez encor une fois Sur Atlas à l'échine forte Les évieux du char qui me porte.
Qu'il y puiſſe autant arreſter Que lors que le grand Iupiter Preßé d’vne amoureuſe peine Ait Hercule au ventre d’Alcmene;	Qu'il y puisse autant arrêter Que lors que le grand Jupiter Pressé d'une amoureuse peine Ait Hercule au ventre d'Alcène;
Cet Aſtre au viſte moiuement Qui vous diſtingue également Ne ſçauroit treuuer a redire Si contre l’ordre ie deſire D'eſtendre mon voile icy bas Plus long temps que ie ne dois pas, Luy meſme amoureux de la gloire Pour voir la fin d’vne victoire Eſclairant l’Hebreu combatant, dodeute quala paſMnee On ait fort peu de connoiſſançe, Qu’en mon nom & mes qualitez On treuue plus d’obſcuritez	Cet Astre au vite moiuement Qui vous distingue également Ne saurait trouver a redire Si contre l'ordre des désire D'étendre mon voile ici bas Plus long temps que ieans dois pas, Luy même amoureux de la gloire Pour voir la fin d'une victoire Éclairant l'Hebreu combattant, dodute quala pasMnee On ait fort peu de connoissançe, Qu'en mon nom et mes qualités On trouve plus d'obscurités
Qu'en ma robe & ſur mon viſage, Mais qu’on regarde l’equipage De mes courſiers pleins de ſplendeur, Puis on connoiſtra magrandeur.	Qu'en ma robe et sur mon visage, Mais qu'on regarde l'équipage De mes cours pleins de splendeur, Puis on connaîtra magrandeur.
La ſimplicité du vulgaire M’accuſe d’aider à mal faire, D'eſtre la ſource de l’erreur, Miſerable mere d’horreur, Et des enchantemens nourrice;	La simplicité du vulgaire M'accuse d'aider à mal faire, D'être la source de l'erreur, Misérable mère d'horreur, Et des enchantements nourrice;
Pluſtoſt ie produy le delice, Les maux plus cuiſans i'adoucy, Loing des cœurs ic bannis auſsy Le ſoin autheur de la triſteſſe, Et ie ſuis en fin la Deeſſe Qui fait que l’vniuers reſſent Du ſommeil le charme puiſſant.	Plutôt ie produi le délice, Les maux plus cuisants j'adouci, Loin des cœurs ic aussi aussi Le soin auteur de la tristesse, Et tu suis en fin la Déesse Qui fait que l'univers ressent Du sommeil le charme puissant.
Ie ſuis cette vaillante Reyne Des fraiſches ombres ſouueraine:	Je suis cette vaillante Reine Des fraîches ombres souveraine:
La Lune qui va ſous ma loy, Et conduit les Aſtres ſous moy, Dans vn clair harnois enfermée En dreſſe vne puïſſante armée:	La Lune qui va sous ma loi, Et conduit les Âtres sous moi, Dans un clair harnois enfermée En dresse une puissante armée:
Ainſi forte d’obſcurité 2	Ainsi forte d'obscurité 2
E FR.	E FR.
2 2 Puis ſur ſon char victorieuſe CT.	2 2 Puis sur son char victorieuse CT.
Ie triomphe au Ciel glorieuſe:	Je triomphe au Ciel glorieuse:
C’eſt moy qui fay voir aux mortels Entre des ſaphirs eternels Des eſcarboucles immortelles:	C'est moi qui fais voir aux mortels Entre des saphirs éternels Des escarboucles immortelles:
Ie fay d’vn feu mille eſtincelles Par des miracles nompareils, Et d’vn ſoleil mille ſoleils.	Je fais d'un feu mille étincelles Par des miracles nompareils, Et d'un soleil mille soleils.
Vous à qui l’Amour fait laguerre, Ie ſuis la fille de la Terre, Ie ſuis la Nuict que vous aimez, Cette Nuict que vous reclamez, Voſtre fidele ſecretaire Des larcins que permet Cythere:	Vous à qui l'Amour fait laguerre, Je suis la fille de la Terre, Je suis la Nuit que vous aimez, Cette Nuit que vous réclamez, Votre fidèle secrétaire Des larcins que permet Cysthère:
Que de fois vous auez eſté Couuerts de mon obſcurité Accomplir aux heures ſecrettes Les deſſeins de vos amourettes!	Que de fois vous avez été Couverts de mon obscurité Accomplir aux heures secrètes Les desseins de vos amourettes!
Et vous encor ieunes Beautez.	Et vous encor jeunes Beautez.
Quels plaiſirs auez-vous gouſtez:	Quels plaisirs avez-vous goûtez:
Et combien lors qu’eſtans fermées Vos belles paupieres charmées Par mon fils frere de la Mort,	Et combien lors qu'étant fermées Vos belles paupières charmées Par mon fils frère de la Mort,
Vous a-t'il fait voir hien-peureuſes Mille viſions amoureuſes?	Vous a-t'-il fait voir hien-peureuses Mille visions amoureuses?
Il ſembloit vous ollurir les Cieux.	Il semblait vous ollurir les Cieux.
Vous Heros aux cœurs magnanimes Qlle vous deuez faire d’eſtimes De moy qui ſelllé ay le pouuoir Dé fairé eternellemient voir D’vn traict d’or au celeſte liure Ces ames ſi dignes de viure Entre mes ſignes lumineux!	Vous Héros aux cœurs magnanimes Ille vous devez faire d'estimes De moi qui selllé ai le pouvoir Dé fairé éternellemient voir D'un trait d'or au céleste livre Ces âmes si dignes de vivre Entre mes signes lumineux!
Ainſi reluit entre mes feux, Outre mille autres que i'enſerre, Le chaſſe-monſtres de la Terré.	Ainsi reluit entre mes feux, Outre mille autres que j'enserre, Le chasse-monstres de la Terré.
Beautez que ie contemple icy Vous me deuez cherir ainſi, Vous qui portez ſur le viſage Des Amours la viuante image.	Beautez que personne contemple ici Vous me devez chérir ainsi, Vous qui portez sur le visage Des Amours la vivante image.
Si i’imite auecque mes feux Ceux qui paroiſſent dans vos yeux, Ne le treuuez pas tant eſtrange, Venus qui prés de moy ſe range S’eſtime heureuſe infiniment De m’accompagner ſeulement,	Si j'imite auecque mes feux Ceux qui paraissent dans vos yeux, Ne le trouvez pas tant étrange, Venus qui près de moi se range S'estime heureuse infiniment De m'accompagner seulement,
Le.	Le.
TA.	TA.
NVICT.	NVICT.
Et d’eſtre la derniere Eſtoille Qui paroiſſe deſſus mon voille.	Et d'être la dernière Étoille Qui paraisse dessus mon voilà.
Mais quel accident ſi nouueau Paroiſt ſur le bord de cette eau?	Mais quel accident si nouveau Paraît sur le bord de cette eau?
Qui de vous pourra me le dire?	Qui de vous pourra me le dire?
N’eſt-ce pas le fleuue de Scire, Où par vne fatale loy La Nef de Trace que ie voy De mats & de voilles rompuë S'eſt malheureuſement perduë?	N'est-ce pas le fleuve de Scire, Où par une fatale loi La Nef de Trace que je vois De mats et de voilles rompue S'est malheureusement perdue?
I’ay veu d’vn effort merueilleux Depuis peu les flots orgueilleux S’eſleuer de l’onde ſalée Iuſque dans la voüte eſtoillée, Et qui ſembloient audacieux Chercher des riuages aux Cieux:	J'ai vu d'Han effort merveilleux Depuis peu les flots orgueilleux S'élever de l'onde salée Jusque dans la vite étoilée, Et qui semblaient audacieux Chercher des rivages aux Cieux:
Le celeſte L'auphin à l’heure Et les poiſjons qui font demeure D'eſcailles luiſantes couuers Au plus haut lieu de l’vniuers Pouuoient bien ſeiouer ſans peine Dedans l’eau de la mer prochaine.	Le céleste L'auphin à l'heure Et les poisions qui font demeure D'écailles luisantes couvert Au plus haut lieu de l'Univers Pouvaient bien séjouer sans peine Dans l'eau de la mer prochaine.
En meſme temps i’ay veu dans l’air	En même temps j'ai vu dans l'air
Augures par trop veritables Des tempestes eſpouuantables, Qui rempliſſoient à tous momens L'Iſle d’infinis tremblemtens:	Augures par trop véritables Des tempêtes épouvantables, Qui remplissaient à tous moments L'Île d'infinis tremblements:
On voyoit tomber peſle-meſle L’orage de pluye & de greſle, I'oyois vn tonnerre à trauers, Trompette du grand vniuers, Grondant annoncer par l’armée Trop confusément animée De ces elements obſtinez Les deffis des vents mutinez:	On voyait tomber pèle-mêle L'orage de pluie et de grêle, J'oyais un tonnerre à travers, Trompette du grand vniuers, Grondant annoncer par l'armée Trop confusément animée De ces éléments obstinez Les défis des vents mutinés:
Les tourbillons, & les nuages Guerriers enfantez des orages Combattoient ſi cruellement Qu’ils embraſoient le firmament, Et ſortoit des playes ſanglantes Que faiſoient leurs fleches volantes Vn fleuue de ſang tout gelé.	Les tourbillons, et les nuages Guerriers enfantez des orages Combattaient si cruellement Qu'ils embrasaient le firmament, Et sortait des plaies sanglantes Que faisaient leurs flèches volantes Un fleuve de sang tout gelé.
Qui des Dieux ſe ſeroit meſlé D’vne force ſurnaturelle De mettre à fin cette querelle?	Qui des Dieux se serait mêlé D'une force surnaturelle De mettre à fin cette querelle?
Quel flambeau m’eſclaire le front?	Quel flambeau m'éclaire le front?
Et qui dans ſi peu d’heure fond	Et qui dans si peu d'heure fond
La greſle, & mon manteau reſſuye Des moites humeurs de la pluye:	La grêle, et mon manteau ressuie Des moites humeurs de la pluie:
Maintenant tout eſt en repos, Lamer ne pouſſe plus de flots, L'eau rit, la terre en ſes prairies Deſcouure plus d’herbes fleuries Que moy d’eſtoilles au Printemps;	Maintenant tout est en repos, Lamer ne pousse plus de flots, L'eau rit, la terre en ses prairies Découvre plus d'herbes fleuries Que moi d'étoilles au Printemps;
Tout rend icy les yeux contents, Rien n’eſpouuante plus les ames, Tous les traits, les feux & les flames Dont eſt remply ce beau ſejour, Sont traits d’honneur, & feux d’amour, Gentil miracle qui procede De vos beautez à qui tout cede:	Tout rend ici les yeux contents, Rien n'épouvante plus les âmes, Tous les traits, les feux et les flammes Dont est rempli ce beau séjour, Sont traits d'honneur, et feux d'amour, Gentil miracle qui procède De vos beautés à qui tout cède:
C’eſt vous Belles qui par vos yeux Formez vn ſouſris gracieux, Non pour ſigne de vent ny d’onde, Mais d’vn calme pour tout le monde.	C'est vous Belles qui par vos yeux Formez un sousris grâce, Non pour signe de vent ton d'onde, Mais d'un calme pour tout le monde.
D’ou vient ce grand feu tout nouueau Qui brillant d’vn luſtre ſi beau M'eſclaire, & m’esblouyt la veuë?	D'ou vient ce grand feu tout nouveau Qui brillant d'un lustre si beau M'éclaire, et m'éblouit la vue?
Hal i’ay beau de mille yeux pourueuë Ainſi qu’vn grand paon glorieux Rouer pompeuſe dans ces lieux,	Hal j'ai beau de mille yeux pourvue Ainsi qu'un grand paon glorieux Rouer pompeuse dans ces lieux,
Ie ne pren point d’elle la loy,	Je ne pren point d'elle la loi,
Ils manquent pourtant de puiſſance Pour bien admirer la naiſſance De ce paradis ſans pareil Que vous va donner le Soleil.	Ils manquent pourtant de puissance Pour bien admirer la naissance De ce paradis sans pareil Que vous va donner le Soleil.
Le voicy, ie voy ſa lumiere Qui recommence ſa carriere, Ceteternel peintre des Dieux De vermeil colore les Cieux;	Le voici, on vois sa lumière Qui recommence sa carrière, Ceternel peintre des Dieux De vermeil colore les Cieux;
Le voila qui trempant encore Dedans les couleurs de l'Aurore Le bout de ſon luiſant pinceau Trace d’vn beau iour le tableau Sur vn champ d’azur vn peu ſombre, Meſlant la lumiere auec l’ombre, Et le pourpre auec l’orengé.	Le voilà qui trempant encore Dedans la couleurs de l'Aurore Le bout de son luisant pinceau Trace d'un beau jour le tableau Sur un champ d'azur un peu sombre, Mêlant la lumière avec l'ombre, Et le pourpre avec l'orengé.
Deſia tout ce lieu s’eſt changé, I'entens ces courſiers dont l'haleine Chaſſant mes ombres de la plaine Les contraint de s’eſuanouir.	Déjà tout ce lieu s'est changé, J'entends ces coursiers dont l'haleine Chassant mes ombres de la plaine Les contraint de s'évanouir.
Beautez qui me voyez fuir, Ie ne haſte point ma carriere De honte de voir la courriere De l’Aſtre qui vient apres moy,	Beautés qui me voyez fuir, Je ne hâte point ma carrière De honte de voir la courrière De l'Astre qui vient après moi,
Ma iuſte cour ſe eſt ordonnée Par l’eternelle Destinée, Ie fuy de vous, rares Beautez, Ie fuy de vos yeux les clairtez, Non crainte d’encourir vn blaſme En ſuccombant deſſous leur flame, Veu qu'Apollon ſe tient heureux Que les feux cedent à vos feux, Mais ie fuy pour aller ſous l’onde Au ſe ruice d’vn autre monde.	Ma juste cour se est ordonnée Par l'éternelle Destinée, Je fui de vous, rares Beautés, Je fuis de vos yeux les clairtez, Non crainte d'encourir un blâme En succombant dessous leur flamme, Veu qu'Apollon se tient heureux Que les feux cèdent à vos feux, Mais votre fuis pour aller sous l'onde Au se ruice d'un autre monde.
Cherenfant, Sommeil gracieux, GardeZ pour vn temps que ces lieux Ne tombent ſous voſtre puiſſance:	Chérenfant, Sommeil gracieux, Gardez pour un temps que ces lieux Ne tombent sous votre puissance:
Et vous agreable Silence, Venez les caquets appaiſer, Empeſchez de trop deuiſer, Ennemy du bruit aux harangues, Nouez ſi bien toutes ces langues, Qu'on puiſſe apprendre les ſoucis Et de Filis & de Tirſis.	Et vous agréable Silence, Venez les caquets apaiser, Empêchés de trop deviser, Ennemi du bruit aux harangues, Nouez si bien toutes ces langues, Qu'on puisse apprendre les soucis Et de Filis et de Tirsis.
Et vous petite troupe brune, Filles de l’Air, & de la Lune, Nymphes qui verſez les couleurs Deſſus l’herbe, & deſſus les fleurs,	Et vous petite troupe brune, Filles de l'Air, et de la Lune, Nymphes qui versez les couleurs Dessus l'herbe, et dessus les fleurs,
Fermez vos cruches argentées Dont les plantes ſont humectées, Car les campagnes & les prez Se ſont aſſez deſalterez.	Fermez vos cruches argentées Dont les plantes sont humectées, Car les campagnes et les prez Se sont assez désaltérez.
DeſpeſcheZ-vous fideles Heures, Quittez promptement ces demeures, Paſſez legerement le pas Par où ie vas regner là bas:	Despèchez-vous fidèles Heures, Quittez promptement ces demeures, Passez légèrement le pas Par où a vas régner là bas:
Suiuez Deeſſe de Cynthie, Suiuez voſtre danſe infinie Au mouuement harmonieux Que font les roulements des Cieux, Et cedez, touſiours en cadence, A voſtre frere qui s'auance.	Suivez Déesse de Cynthie, Suivez votre danse infinie Au mouvement harmonieux Que font les roulements des Cieux, Et cédez, toujours en cadence, A vôtre re qui s'avance.
LANVTET fait le Prologue.	LANVTET fait le Prologue.
MELISSE, Paſteur de Smyrne, pere preſomptif de Cloris.	MÉLISSE, Pasteur de Smyrne, père présomptif de Cloris.
SIRENE, pere de Filis & d’Aminte.	SIRÈNE, père de Filis et d'Aminte.
CLO RelojEis lous le Mon de Cloris, fiancée de Tirſis.	CLO RelojEis lous le Mon de Cloris, fiancée de Tirs.
CELIE, fille d’Ormin, Amante de Niſe & d’Aminte.	CELIE, fille d'Ormin, Amante de Nise et d'Aminte.
ONMITEpCede Miloccdeecne.	ONMITEpCède Miloccecne.
ONONTE, Capitaine du grand Roy de Trace.	ONONTE, Capitaine du grand Roi de Trace.
PERINDE, ſoldat d’Oronte.	PERINDE, soldat d'Oronte.
SERPILLE.	SERPILLE.
NEREE, (vieilles Bergeres.	NERE, (vieilles Bergères.
FILIN, ieune Berger.	FILIN, jeune Berger.
NARETE, vieux Paſteur.	NARETE, vieux Pasteur.
La Scene eſt en l’Iſle de Scire.	La Scène est en l'Isle de Scire.
De JE coM 5 LAS SCIRE.	De JE conn 5 LAS SCIRE.
2 PIE-PASTORALE.	2 PIE-PASTORALE.
EPREMIER SCENE PREMIERE.	EPREMIER SCÈNE PREMIÈRE.
494 IE B 2 MELISSE.	494 IE B 2 MÉLISSE.
N fin le iour commence à dißipper Diadgda les ombres, Et rendre la couleur à ces riuages ſombres, Le Zephire a deſia reſueillé les oyſeaux Quis’eſtoiẽt endormis au doux bruit de ces eaux, - --.	N fin le jour commence à dissipper Diadgda les ombres, Et rendre la couleur à ces rivages sombres, Lé Phire a déjà resueillé les oiseaux Quuis'étaient endormis au doux bruit de ces eaux, - --.
c------------ ---	ç-ce -est-
Pour venir adorer la lumiere naiſſante, Et faire en la voyan tleur muſique innocente:	Pour venir adorer la lumière naissante, Et faire en la voyan tleur musique innocente:
Mais qu’elle eſt deſia grãde aux valõs d’alẽtour, Que la Lune eſt confuſe & pâle à ſon retour, Et qui la vit iamais ſortir du ſein de l’onde Si claire et ſi plaisãte aux yeux de tout le mõde?	Mais qu'elle est déjà grande aux valons dont alẽtour, Que la Lune est confuse et pâle à son retour, Et qui la vit jamais sortir du sein de l'onde Si claire et si plaisante aux yeux de tout le monde?
L’Aurore en nous donnant cet eſmailgracieux Semble auoir deſrobé les eſtoilles des Cieux.	L'Aurore en nous donnant cet esmailgracieux Semble avoir dérobé les étoilles des Cieux.
O beaux chãps enrichis des mains de la Nâture, Que vous me preſentez vne aimable peinture:	Ô beaux chans enrichis des mains de la Nâture, Que vous me présentez aimable peinture:
Sans doute l’on peut dire en vous voyãt ſibeaux, Que vos fleurs ſont autant de celeſtes flambeaux Dont les viues clartez à nos yeux deſcouuertes Compoſent l’ornement de ces campagnes vertes.	Sans doute l'on peut dire en vous voyant sibeaux, Que vos fleurs sont autant de célestes flambeaux Dont les vives clartés à nos yeux découvertes Composent l'ornement de ces campagnes vertes.
SIRENE.	SIRÈNE.
Meliſſe ie l’aduouë, vn ſi prompt changement Laiſſe encor à mon ame vn iuſte eſtonnement:	Mélisse ici l'avoue, un si prompt changement Laisse encor à mon âme un juste étonnement:
Ie croyois cette nuict que iamais la lumiere Ne pouuoitreuenir en ſa beauté premiere, Et que tous les efforts de l’orage aſſemblez Redonnoient le cahos aux Elemens troublez, Les ondes s’eſleuans au deſſus des nuages Sembloientaller au Ciel demander des riuages,	Je croyais cette nuit que jamais la lumière Ne pouuoitreuenir en sa beauté première, Et que tous les efforts de l'orage assemblés Rédonnaient le cahos aux Éléments troublés, Les ondes s'esleuans au dessus des nuages Semblaientaller au Ciel demander des rivages,
D DC Vn tonnerre effroyable eſclatant dans les airs Esbloüyſſoit nos yeux du feu de ſes eſclairs, Les vẽts troubloiẽt les eaux, la nuict & le ſilẽce, Neptune eſpouuanté craignoit leur violence;	 DEC Un tonnerre effroyable éclatant dans les airs Esbloüyssoit nos yeux du feu de ses éclairs, Les vẽts troublaient les eût, la nuit et le silence, Neptune espouuanté craignait leur violence;
La terre en ce deſordre auoit des tremblemens, Et n’oſoit s’aſſeurer deſſus ſes fondemens:	La terre en ce désordre avait des tremblemens, Et n'osait s'assurer dessus ses fondements:
Außi comme le iour ne faiſoit que de naiſtre, Ie craignois de porter la teſte à la feneſtre, Et croyois rencontrer nos voiſins effroyez Nos arbres abbatus, & nos champs foudroyez Mais de tant de beauté la campagne pourueué̈ Dißippe mes ſoupçons, & contente ma veuë:	Aussi comme le jour ne faisait que de naître, Je craignais de porter la tête à la fenêtre, Et croyais rencontrer nos voisins effroyez Nos arbres abatus, et nos champs foudroyez Mais de tant de beauté la campagne pourueué̈ Divipe mes soupçons, et contente ma vue:
Ie voy que ces rameaux ſont außi peu froiſſe:	Je vois que ces rameaux sont aussi peu froisse:
