RAPINIER OU L'INTERESSE', COMEDIE.	RAPINIER OU L'INTERÈSSE', COMÉDIE.
IE ne pels plus marchen, He laqan vo t’en direæs cocbeς qu’il approche	JE ne pels plus marchen, He laqan vo t'en direæs cocbe qu'il approche
LA RAPINIERE, Lrire iuy ladime où;	LA RAPINIÈRE, Lrire jui ladime où;
des ſiepes, la Reche!	des sièpes, la Rèche!
Nori lrca dll vous p’eit, les lonneun du lonla Lec zoro, de parlla quaveeqne mon Cemmis trvais crani, er vie petirs n 6 2 veustous ſapoleiees	Nori lrca dll vous p'éit, les lonnun du lonla Lec zoro, de parlla quaveque mon Cemmis tris trani, er vie petirs n 6 2 vuûtous sapoleiees
ISABELLE.	ISABELLE.
Il n’eſt pas néceſſaire, Monſieur, j’ay mon Caroſſe icy prés, qui nous ſuit.	Il n'est pas nécessaire, Monsieur, j'ai mon Carosse ici près, qui nous suit.
Et j’ay quelque viſite à reudre avant la nuit,	Et j'ai quelque visite à revdre avant la nuit,
LA RAPIN:	LA RAPIN:
RE.	RE.
Tout ce qu’il vous plaira.	Tout ce qu'il vous plaira.
je cede tout aux belles, Et ſuis comme le bois, de quoy l’on fait les vielles, Toujouis de bon accoia, vous pouilez cependant, Intrer & vous aſſeoir-toûjours, en l’attendant.	je cède tout aux belles, Et suis comme le bois, de quoi l'on fait les vielles, Toujouis de bon accoia, vous pouilez cependant, Intrer et vous asseoir-toûjours, en l'attendant.
LEONORE.	LEONORE.
Ah!	Ah!
quel charmant plaiſir on goûte à la campagne, Mon oncle.	quel charmant plaisir on goûte à la campagne, Mon oncle.
Dote de mvn se Mer ices L’on appelle ainſi dans la Romagne, on coumn qui lur nous à lesemain.	Dote de mvn se Mer jusées L'on appelle ainsi dans la Romagne, on coumn qui lur nous à lesemain.
ISABELLE.	ISABELLE.
J'entens.	J'entends.
LEONORE.	LEONORE.
La belle promenade?	La belle promenade?
Ah, l’agréable tems!	Ah, l'agréable temps!
Donnez vous le plaiſir quelque jour, je vous prie, Dſien moocer lentis ldou la Mante, Ces tapis émaillez entourez de ruiſſeaux, L'ombrage des peupliers, le chant de mille oyſeaux, Ont eu pour nous ce ſoir une douceur extreme.	Donnez -vous le plaisir quelque jour, je vous prie, Dsien moocer lentis lou la Mante, Ces tapis émaillez entourez de ruisseaux, L'ombrage des peupliers, le chant de mille oiseaux, Ont eu pour nous ce soir une douceur extrême.
LA RAPINIERE.	LA RAPINIERE.
Chacun ſelon ſon goût, en trouue ett tt pil aime.	Chacun selon son goût, en trouve ett tt el aime.
Noui ne devons jamais diſputer ſur les gouts:	Noui ne devons jamais disputer sur les gouts:
Les vus siment piquant, les autres aiment doux, Et chacuu le nattaus daus celte ancience, 4 Croid tolljours, que l’on doit au ſien la préſtrencii	Les vu si piquant, les autres aiment doux, Et chacu le nattaus daus celte ancience, 4 Croid tolljours, que l'on doit au sien la préstrencii
LEONORE.	LEONORE.
le ſçay ce que l'on peut me dire ſur ce poinct.	le sais ce que l'on peut me dire sur ce point.
auſais enſin le bon ſens.	ausais ensin le bon sens.
LA RAPINIERE.	LA RAPINIERE.
Vous ne counoiſſer!	Vous ne counaisser!
Source gallica.	Source galica.
bnffr ( Bibliothèque nationale de France me pumus que nou goute y'a gigner des piſtolles.	bnffr ( Bibliothèque nationale de France me pumus que nou voute y'a gigner des pistoles.
Moy?	Moi?
non.	non.
LRONORE.	LRONORE.
ISABELLE.	ISABELLE.
Ni moy non plus.	Ni -moi non plus.
LA RAPINIERE.	LA RAPINIERE.
Vous êtes donc des folles, De vouloir raiſonner ſur le fait des plaiſirs?	Vous êtes donc des folles, De vouloir raisonner sur le fait des plaisirs?
Celuy du gain doit ſeul faire tous nos deſirs.	Celui du gain doit seul faire tous nos désirs.
Il eſt jour de marché demain, ſans plus attendre, le veux moy même icy vous le faire comprendre.	Il est jour de marché demain, sans plus attendre, le veux moi -même ici vous le faire comprendre.
&t je vous feray voir pour divertiſſement, Le proſit qu’on y fait en un jour ſeulement.	et je vous ferai voir pour divertissement, Le prosit qu'on y fait en un jour seulement.
Madame, voulez vous être de la partie?	Madame, voulez -vous être de la partie?
ISABELLE.	ISABELLE.
en ſerois ſant mentir, Monſieur, mal diveſtie:	en serais sant mentir, Monsieur, mal divestie:
Car tous les gains du moûde ont pour moy peu d’appas.	Car tous les gains du moude ont pour moi peu d'appas.
Oh, ohi LA RAPINIERE.	Oh, ohi LA RAPINIERE.
ISAPELLE.	ISAPELLE.
Celuy du jeutement ne plaie pue.	Celui du jeutement ne plaie pue.
LA AAEINIENE.	LA AAEINIENE.
Le gout de grin eſt bon, de quelque endtoit qu’il vienne;	Le goût de grin est bon, de quelque endtait qu'il vienne;
It pour moy j'eus toljours l’ame veſpaſienne.	It pour moi j'eus toljours l'âme vespasienne.
L'EONORE.	L'ENORE.
Mais Padie, demain pourra-t’ou pas vous voir, A quelqee heure du jour?	Mais Padie, demain pourra-t-ou pas vous voir, À quelquee heure du jour?
BARELLE.	BARELE.
se:	se:
.	.
Il-2.	Il-2.
2 ey ſeray rua pdaroir.	2 ei serai rua pdaroir.
Nous allons au phatiu voir une me.	Nous allons au phativ voir une me.
irie, A tuus inile dicy.	irie, A tuus inile dicy.
PEONORE.	PEONORE.
ice, ie vous prie en	ice, Seigneur vous prie en
ISABELLE.	ISABELLE.
le le veux;	le le veux;
Mrnos freres peut-etue, en ſeront-ils ious deux.	Mrnos frères peut-être, en seront-ils jous deux.
Tant mieux.	Tant mieux.
LEONORE.	LEONORE.
LA RAPINIERE.	LA RAPINIERE.
Ah!	Ah!
s’il vous plaît, Mãdame, point de frere.	s'il vous plaît, Mandame, point de frère.
M dae.	M dae.
Monſieur, le mien n’a point uu viſage à déplaire.	Monsieur, le mien n'a point u visage à déplaire.
]	]
Tant pis.	Tant pis.
LA RAFINIENE EM.	LA RAFINIENE EM.
LEONORE.	LEONORE.
Il eſt galant, ſpirituel, bien-fait.	Il est galant, spirituel, bienfait.
Aahe Pis.	Aahe Pis.
LA RAPINIERE bu.	LA RAPINIERE bu.
LEONORE.	LEONORE.
Qui ſçait donner grace à tout ce qu’il ſait.	Qui sais donner grâce à tout ce qu'il sait.
Tant pis.	Tant pis.
LA RAPINIERE haut.	LA RAPINIERE haut.
ISABELLE.	ISABELLE.
Tant pis, Monſieur?	Tant pis, Monsieur?
DA RCMTTNTERE.	DA RCMTTNTERE.
Ouy dà tant pis, Madame.	Oui dà tant pis, Madame.
TJABELLE.	TJABELLE.
Et pourquoy l voes n’avez ni maiſtreſſe ni ſemme,	Et pourquoi l voes n'avez ni maîtresse ni semme,
Quelque jonr.	Quelque jonr.
ISABELLE.	ISABELLE.
Bon, voicy mon caroſſe, à demain.	Bon, voici mon carosse, à demain.
LA RAPINIERE bai.	LA RAPINIERE bai.
La Civilité veut que j’offre icy ma main, Et pour tacher de plaire à l’objet que l’on aime, Il firiſe derober quelque choſe à ſoy mems.	La Civilité veut que j'offre ici ma main, Et pour tacher de plaire à l'objet que l'on aime, Il firise dérober quelque chose à soi méms.
SCENE IX.	SCÈNE IX.
LA RAPINIERE, LA ROCHE, ONCROCLETEON.	LA RAPINIÈRE, LA ROCHE, ONCROCLETEON.
LA RAPINIERE.	LA RAPINIERE.
An que voije:	An que voije:
ou le bt;	ou le bt;
que veut diie AvA cecy?	que veut diie AvA ceci?
LAROCHE.	LAROCHÉ.
C'eſt un faquin, Monlieur, que j’ay ſurpris icy, Avecque Ve cartaut.	C'est un faquin, Monlieur, que j'ai surpris ici, Avec Ve cartaut.
LA RAPINIERE.	LA RAPINIERE.
dell lei	dell lei
LA ROCHE Du vin d’Eſpagne.	LA ROCHE Du vin d'Espagne.
LA RATINIERE au Cuhueur.	LA RATINIÈRE au Cuhueur.
Sçais-tu qu’à nous tromper, on perd plus qu’on ne gagne?	Sais-tu qu'à nous tromper, on perd plus qu'on ne gagne?
LAIAUR.	LAIAUR.
Monfieur, c’eſt un preſent, que deux de vos amis Vous envoyent, ainſi qu’ils vous avoient promis.	Monfieur, c'est un présent, que deux de vos amis Vous envoient, ainsi qu'ils vous avaient promis.
Ce ſout Meſſieurs Pazzi.	Ce sout Messieurs Pasi.
LA RAPINIERE.	LA RAPINIERE.
Qui que ce ſoit, n’importe;	Qui que ce soit, n'importe;
hentsetoiobotoisses.	hentsétoiobotoisses.
ger à la ponei Et j’aime mieux l’avoir par conſiſcation, Que de leur en avoir quelque obligation.	ger à la poney Et j'aime mieux l'avoir par consiscation, Que de leur en avoir quelque obligation.
LECROCHEIEOR.	LECROCHÉIEOR.
Mais jaruais dureté n’approcha de la vôtre.	Mais jaruais dureté n'approcha de la vôtre.
L'A¬ RAPINTERE.	L'ALLE RAPINTERE.
He bien,je leur permec?	He bien,je leur permec?
a tu patoyer an laus,  Die leur, des à preſcot je le tiens déclaré.	a tu patoyer an laus, Die leur, des à prescot je le tiens déclaré.
Pon!	Pon!
LE CAMCHETEUR.	LE CAMCHÉTEUR.
.	.
i--- L LA IASource gallica.	y- LÀ LA JASource galica.
bnffr ( Bibliothèque nationale de France	bnffr ( Bibliothèque nationale de France
LA RAPINIERE.	LA RAPINIERE.
ls [aamaspa, nms.	ls [azamaspa, nus.
LE CROCHETEUR.	LE CROCHETEUR.
Quel altéré!	Quel altéré!
Payez en donc le pors, il eſt à virο adreſe,	Payez -en donc le pors, il est à virο adresse,
LA RAPINIERE.	LA RAPINIERE.
Ceux qui t’eut employé, te payeront.	Ceux qui t'eût employé, te payeront.
LE CROCHETEUR A part.	LE CROCHETEUR A part.
Sera grande à ſervir ce vilain.	Sera grande à servir ce vilain.
La preſſe	La presse
LAROCHE.	LAROCHÉ.
Serviteur.	Serviteur.
LE CROCHETEUR.	LE CROCHETEUR.
Que la ſiévre te ſerre & re ronge le cœur, Ladre, maudit avare, au diable, & que la peſte Lépande u jour iur toy ce qu'elle a de ſaneſte.	Que la sièvre te serre et re ronge le cœur, Ladre, maudit avare, au diable, et que la peste Lépande u jour jur toi ce qu'elle a de saneste.
Illisitilite pertie	Illisitilite pertie
VAEhie.	VAEhie.
22.	22.
O1 G DOCUMENT REPRODUII	O1 G DOCUMENT REPRODUI
Source gallica.	Source galica.
bnffr ( Bibliothèque nationale de France	bnffr ( Bibliothèque nationale de France
PARTIE DU	PARTIE DU
uoi R2 quilει:	Quoi R2 quilει:
au berra2 L A2	au berra2 L A2
SCLA IREMTERE.	SCLA IREMTERE.
*12 LARAPINTERE' fil2 fEν oIrdSt PiSSDhl E– ali proy qoir cu rous licud le mort qui me pourſuit.	*12 LARAPINTERE fil2 fE oIrdSt PiSSDhl E ali proi qoir cv rous licud le mort qui me poursuit.
Je n’ay preſque point clos l’œil darque I Je ſuis tout inquiet, certain chagrin me ronge:	Je n'ai presque point clos l'œil darque I Je suis tout inquiet, certain chagrin me ronge:
Le peu que j’ay dormy, s’eſt paſſé 'ay rêvé qun mialgri ia De ſuneſteil nvit.	Le peu que j'ai dormi, s'est passé ' ais rêvé qu' mialgri ja De sunesteil névit.
tour en ſonge.	tour en songe.
On avoit a ners eux.	On avait à ners eux.
ay vu ocia ra Migent, nargent.	ai vu ocia ra Migent, nargent.
1u.	1u.
Fdélilées, auiſemblées, Introduites chet mu vet ur monſtrueux loup;	Fdélilées, auisemblées, Introduites chet mu vêt ur monstrueux loup;
Enſin ce ſonge aſfreux me fatigue beaucoup.	Ensin ce songe asfreux me fatigue beaucoup.
Cet homme, qu'hier au ſoir je trouvay dans la ruë, 1.	Cet homme, qu'hier au soir je trouvai dans la rue, 1.
Ne revient à l'eſprit;	Ne revient à l'esprit;
mon ame toute émuë, 21 Paur appaiſer ſon trouble, en vain veut s’eſforeer, Ho ne ſcaurois jamais m’empecher d'y penſer.	mon âme toute émue, 21 Paur appaiser son trouble, en vain veut s'éforeer, Ho ne saurais jamais m'empêcher d'y penser.
1 lje veux ſur un party preſſentir Lſonore, Poiepres, luy montrer à quel poinct je Fadocos	1 lje veux sur un parti pressentir Lsonore, Poieprès, Seigneur montrer à quel point je Fadocos
Mais pour y réuſſir, je prétens qu’en çe jour, L’inreret ſerre, icy de guids à mon amouta.	Mais pour y réussir, je prétends qu'en çe jour, L'inreret serre, ici de guids à mon amouta.
nni- Les biens aſſez ſouvent nous tiennent lieu de charmes, *TSAR *.	nni- Les biens assez souvent nous tiennent lieu de charmes, *TSAR *.
*6* V.	*6* V.
I Ils épargnent ſouvent bien des ſoins & des larmes, Et tel ſe, rend heureu par ſes nombreux éeus, Qui ponr ſes grands deffauts a auroir que dex reburs.	I Ils épargnent souvent bien des soins et des larmes, Et tel se, rend heureu par ses nombreux épars, Qui ponr ses grands défauts à auroir que dex reburs.
Je vex luy faire voit les grands gaius d.	Je vex même faire voit les grands gaius d.
uuc anpit,C Par l’engageant eſſay d’une, ſeule journée:	Uuc anpit,C Par l'engageant essai d'une, seule journée:
J’ay choiſi celle-cy fa vorable:	J'ai choisi celle-cy fa vorable:
à mes voruχγ· γονηκοη Et j'eſpere obtenir par là,ce que je veux.	à mes voruχγ· γονηκοη Et j'espère obtenir par là, que je veux.
Voyons en l’attendant, ne qu'aura fait la Roche, Si le maiché va bien.	Voyons en l'attendant, ne qu'aura fait la Roche, Si le maiché va bien.
Mais un hamme sappiſe,, che, naac-iycot,, a.	Mais un hamme sapise, che, naaci-cicot, a.
2.	2.
P.	P.
ca, xci Qui me paroit,avoir deſſein de me parlęr.	ca, xci Qui me parait,avoir dessein de me parlumr.
2132153 On couſpire aujourd’huy ſaus doute à me voler.	2132153 On couspire aujourd'hui saus doute à me voler.
do nod au sibori oct renar ucsvaua Y70 792:	do nod au sibori act renar ussvaua Y70 792:
IePaQoPeu.	JePaQoPu.
IIa ma;	IIa ma;
As, 2 εnuſιοτει εἰιεν οηεὲις vοn?	As, 2 εnusιοτει εἰιεν οηεὲις sen?
οε y aηις, hα2ε εε LAR H TIERE, ASMIN vêt dix Balvihesla ra en Gentiſbomme ruiné.	À y afin, hα2ε hommes AR H IERE, ASMIN vêt dix Balvihésla ra en Gentisbomme ruiné.
JASMIN.	JASMIN.
.	.
213:	213:
27 *40 ""πιινν?	27 *40 ""πιινν?
2itο) 21 L'le faut aborder d'une d oucé maniere.	2itude) 21 L'le faut aborder d'une d oucé manière.
à part.	à part.
Mouſeur, p'emvous pa.	Mouseur, p'emvous pa.
Mſonſięur la RapinicL3AEM.	Msonsięur la RapinicL3AM.
Mizols-2** TRFINIET 3 στiΝæ?	Mizols-2* TRFINIET 3 στiΝæ?
υς	
LA RAPINIERE.	LA RAPINIERE.
Selon ?	Selon ?
pourquoy.	pourquoi.
Monſieur?	Monsieur?
je Ie counbii peuteus, Et peuleciie que non.	Je Ie counbi peuteus, Et peuleci que non.
JASMIN.	JASMIN.
C’eſt qu'hier je promiDe luy rendre ue Billet d’un de les bons amis.	C'est qu'hier je promiDe lui rendre ue Billet d'un de les bons amis.
LA RATANIERE.	LA RATANIÈRE.
Quel eſt-il cét amy?	Quel est-il cet ami?
à part.	à part.
Voyons la fourberie.	Voyons la fourberie.
ASMIN.	ASMIN.
Monſieur Harpin Banquier.	Monsieur Harpin Banquier.
LA RAPINIERE.	LA RAPINIERE.
Ah!	Ah!
Monſieur, je vous prie, nbconpn paley Cndet Certaine aſſaire icy m’occupe étrangement.	Monsieur, je vous prie, nbconpn ale Cndet Certaine assaire ici m'occupe étrangement.
Ca voyons, avez-vous beſoin de ion ſernice?	Ça voyons, avez-vous besoin de ion sernice?
ASMIN.	ASMIN.
Ouy, Mouſieur, vous pouvez me zendre un bon oſ ſice:	Oui, Mousieur, vous pouvez me zendre un bon os siée:
Et c’eſt pour ce ſujet que ndtre amy commun Se rend, ainſi que moy, pres de vous importun.	Et c'est pour ce sujet que nédtre ami commun Se rend, ainsi que moi, pres de vous importun.
Las ſa Ai.	Las sa Ai.
Oht voet ctes ches moys les Meîtres l'un & l'aatie?	Oht voet ctes chez mois les Meîtres l'un et l'aatie?
A.	A.
Et je ſuis ſerviteut.	Et je suis servitut.
JASMIN.	JASMIN.
uouneur, je ſuis le voce.	ouvouneur, je suis le voce.
LA RAPINIERE ue.	LA RAPINIERE ue.
Sur l’aſſunance que vορις ποωυεz deηκές, Mencur, de m’obliger, quedd vors en trorueriex Lecraſien;	Sur l'assunance que voit ποωυεz deηκές, Mencur, de m'obliger, qued vors en trorueriex Lécrasien;
ueus verlon llra xæx Armrler l.	Œueus verlon lâtra xæx Armrler l.
eſiin, alird iuiy, con ſεlωο͂ παιεατδιηy de ma pais, peur veu cſirſes ſirAln a C’i murmi qui a auud ilo mirire 1o nas aiar, ꝙ qie jeni coueuſe n'a las tuoau pirjobemticutle, is apuntueu tlo ruuiiuas ſœ lus aſains;	esjin, alird jui, con sεlωο͂ παιεατδιηy de ma pais, peur vu cires sirAln a C'y murmi qui a auud il mirire 1o nas aiar, qie jeni coueuse n'a las tuoût pirjobemticutle, is apuntueu tlo ruuiiuas sœud as ainsi;
O vaunafeionln Source gallica.	Ô vaunafeionln Source gallica.
bnt.	bnt.
fr (Bibliothèque nationale de France	fr (Bibliothèque nationale de France
ſible plaibr lemplor ma ſis, Mipuo,:	sible plaibr lemplor ma sis, Mipuo,:
ea 160229 ue1 Mrt SApitVI, HARRIA ONMEEIPAAT PhA.	ea 160229 ouve1 Mrt SApitVI, HARIA ONMEIPAT PhA.
O.	Ô.
squenques empioy?	squenques empioi?
l	l
622.	622.
ASAIN.	ÀSAIN.
Ouy, Monſieur, j’ay long-tems controllé, lęs Er ploits.	Oui, Monsieur, j'ai longtemps controlé, lois Er ploits.
32R1S.	32R1S.
A er:	À er:
ciav29	ciav29
LA RAAPINIERE.	LA RAPINIÈRE.
Ces ſouts dirmploiy.	Ces souts dirmploii.
ne ſont que bagrelles.	ne sont que bagrelles.
P192f 50125J.	P192f 50125.
5MIN.	5MIN.
es.	es.
2233 9 De plus, j'ay davame pois ans daus des-Gabelles Et ilu ſerri deux aus ſous Mooſienclſarclspon,	2233 9 De plus, j'ai davame pois ans daus des-Gabelles Et ilu serri deux au sous Moosienclsarclspon,
LA RAPINTERE à part.	LA RAPINTERE à part.
Ahte ci mer pouretie d acneve Mipou, ee anln l On le feroit juré daus l’ant dt toutberie.	Ahte cy mer pourrettie d acneve Mipou, ce anln l On le ferait juré daus l'ant dt toutbérie.
C C’eſt une bonne école aſſurément.	Ç C'est une bonne école assurément.
à Jaſmin.	à Jasmin.
THLOS JASMHIL CEJA Ma foy, On n’a pas graud Leſoiride lémcins avec moy.	THLOS JASMHIL CEA Ma foi, On n'a pas graud Lesoiride lémcins avec moi.
Il arrive ſouvent de certaines affaires, (qaid- 2 Oì ces geuine tour paain oi fascenuess.	Il arrive souvent de certaines affaires, (qaid- 2 Où ces geuine tour paain oi fascenuess.
2 Oùagur preuxa rila lage aaige ſgulcent DEeumn miaac:	2 Oùagur préuxa rila lage aaige ulcent DEeumn miaac:
a Maan Mna.	Ma Maan Mna.
C’eſt auiant de grang pour rons, 29e112io?	C'est aujant de grang pour rons, 29e12io?
ít a2d	ít a2d
LA RAPINIERE.	LA RAPINIERE.
2.	2.
51 100 !	51 100 !
2118E oyRe.	218E oyRe.
21032	21032
13TA SMIN.	13TA SMIN.
Aal drers Mll Eslom S’il ne tient qu’à jrrnoni ſça rona mii 1e.	Aal drers Mll Élom S'il ne tient qu'à jrnoni soupa ron mi 1e.
8123O.	8123O.
.	.
4.	4.
je vay dartnentêms, chez certains hoteliers Sur la rouie, chez qui loyent Iraulirrirra d am [	je vais dartnentêms, chez certains hôteliers Sur la rouie, chez qui loient Iraulirrirra d am [
LMAEIIIERM Hé bim à qui I alinoeus dens ces hôtellerica?	LMAEIIERM Hé bim à qui I alinoeus dents ces hôtellerica?
Pendant que tout le monde eſt dans un plein tepos, feorient adroittement au milieu des balots.	Pendant que tout le monde est dans un plein tepos, feorient adroittement au milieu des balots.
On lac uenei, du ſard, uii fauubos, des ſauciſſes.	On lac uènei, du sard, ui faubos, des saucisses.
LARAPINIERE.	LARAPINIERE.
Ie ne puit admirer aſſez ces anifices;	Je ne puit admirer assez ces anifices;
Et ces in ventions ont dequoy me charmer.	Et ces in ventions ont dequoy me charmer.
ASMIN.	ASMIN.
41 De IEllel Mme Mai ſJeMj, Ml dilme Et les Procés-verbaux.	41 De IEllel Me Mai sJeMj, Ml dilme Et les Procès-verbaux.
faut voir.	faut voir.
ſur ma parole.	sur ma parole.
LA RAPINIERE.	LA RAPINIERE.
Entrer, pour commencer, vous ſerez le Conttolle.	Entrer, pour commencer, vous serez le Contolle.
SCENE III.	SCÈNE III.
LA RAPINIERE, LA ROCHE.	LA RAPINIERE, LA ROCHÉ.
LARAPINIERE.	LARAPINIERE.
E bien?	E bien?
ii le ti naum:	ji le ty naum:
te.	te.
Hé bien.	Hé bien.
Monſiour, cela ne va pasmal.	Monsieur, cela ne va pasmal.
AMATIRIERE te ſnijum paſſer à la gauo.	AMATIRIERE te snijum passer à la gavo.
Eſt-ce A vôtre place, incivil animal?	Est-ce À votre place, incivil animal?
LA RDCCHE.	LA RDCHÉ.
Excuſez, je iprenois la gauche pour la droite.	Excusez, je iprenais la gauche pour la droite.
LA RAPPINIERE.	LA RAPPINIÈRE.
Mmonmaner cut monney vonne, Depuis que cette porte eſt ouverte?	Mémonmander cut monney vonne, Depuis que cette porte est ouverte?
Lh ROCHE.	Lh ROCHÉ.
A plus de rrente ecuo.	À plus de rrente ecvo.
A combien?	À combien?
LA RAPINIÆRE.	LA RAPINIRE.
Bon voilà qui vn bigu;	Bon voilà qui un bigu;
LA ROGHE.	LA ROGHÉ.
Sacæçorx prer quelques drous quej’ai pris naneiur.	Sacæçorx prer quelques drous quej'ai pris nanéjur.
Oonme chapons, poulets, cufs, fruits, à l’avauture, Come ils ſe ſont trouvez, ainſi qu'hier au ſoir Vous m’aviez ordonne.	Oonme chapons, poulets, cufs, fruits, à l'aventure, Come ils se sont trouvez, ainsi qu'hier au soir Vous m'aviez ordonne.
LA RAPINIERE.	LA RAPINIERE.
C.	Ç.
a, nous allons les voir.	a, nous allons les voir.
LA ROCHE.	LA ROCHÉ.
J'ai ſaiſi deux cochons, qui devant cette porte Couioſent conmne sergens que le Démon emporte, Pour n’avoir pas payé les droits du Pié-fourché.	J'ai saisi deux cochons, qui devant cette porte Couiosent conmne sergents que le Démon emporte, Pour n'avoir pas payé les droits du Pié-fourché.
LARAFINIERE.	LARAFINIÈRE.
Et le Maître?	Et le Maître?
LAROCHE.	LAROCHÉ.
Il alloit pour les vendre au marché, Ft venoit aprés eux;	Il allait pour les vendre au marché, Fait venoit ès eux;
mais ces bêtes lâchées, Avant lui, trente pas étoient déja paſſées, Aiun jal Iefute la declaration, En l’accuſant toûjours de contravention;	mais ces bêtes lâchées, Avant lui, trente pas étaient déjà passées, Ajun jal Jefute la déclaration, En l'accusant toujours de contravention;
Et ſuis dans mon propos toûjours demeuré ferme.	Et suis dans mon propos toujours demeuré ferme.
LA RAPINIERE l’ombraſſant.	LA RAPINIERE l'ombrassant.
vontt commue Pou iuieis pront duue ſeimne .	vontât commue Pou juieis pront duue seimne .
Voilà de la façon, qu’on peut ſe rendre un jour, Digne des grands emplois, puis Fermier à-ſon tour.	Voilà de la façon, qu'on peut se rendre un jour, Digne des grands emplois, puis Fermier à-son tour.
Je parlerai de vous demain à l’aſſemblée.	Je parler de vous demain à l'assemblée.
LA ROCHE.	LA ROCHÉ.
Monſieur, vous ſçaves bien quoquotces aunée, On a rogné le tiers de mes appointemons, Qu'on ne me donne plus ni frais, ni logemeno, Et que la penſion-qu’il faut que je vous faſſe Eneor.	Monsieur, vous savez bien quoquotces aunée, On a rogné le tiers de mes appointemons, Qu'on ne me donne plus ni fais, ni logements, Et que la pension-qu'il faut que je vous fasse Énor.
LA RAPINIERE.	LA RAPINIERE.
Ouy, plaignea-vous, la CConr vous ſeragrace, Croyez-vous.	Oui, plaignea-vous, la CConr vous seragrace, Croyez-vous.
ctre ſeul qui faſſe penſion A celui qui vous donne une commiſſion Non, non, c’eſt une regle aujourd'hui génerale, Et perſonne n'a plus l’ame:	ctre seul qui fasse pension À celui qui vous donne une commission Non, non, c'est une règle aujourd'hui générale, Et personne n'a plus l'âme:
ſi libérale.	si libérale.
C ii Oi Fermier, maint l'employ, 1y.	Ç Ci Oi Fermier, maint l'emploi, 1i.
Il en, rerignt, roùjour au moivill 1 2 m 222u2.	Il en, rerignt, roùjour au moivill 1 2 mettre 222.
is, dany tien pour ſor Fût-il de ſes parens, fût-il ſoupappre fi G pas 2uy Même un certain, le çnoy, de feroit a lon pefe.	Çis, dani tien pour sor Fût-il de ses parents, fût-il soupappre fi G pas 2ui Même un certain, le çnoi, de ferait à lon pefe.
COCHE.	COCHÉ.
Ouy, c’eſt un Sous-fermier du traité du Tabac, Qui veus en arrachst, aut ab hos,, su ct hehie, Et aui d.	Oui, c'est un Sous-fermier du traité du Tabac, Qui veux en arrachet, aut ab hos, su ct héhie, Et aujà d.
a Pour Commis, que ſa ſour le la, femme.	à Pour Commis, que sa sour le la, femme.
Monliur, vous réglez-vous ſur ce ladre?	Monlivr, vous réglez-vous sur ce ladre?
ma116 2 fame!	ma16 2 famé!
Fût-il cent fois maudit de tout le genre huj 7 8la.	Fût-il cent fois maudit de tout le genre huj 7 8la.
2.	2.
32	32
LA RAPINIERE.	LA RAPINIERE.
Rentieze, & prenez ſoin d’inſtruire du Jaſmin.	Rentieze, et prenez soin d'instruire du Jasmin.
Ma niéce vicpia, il fant,, ſans me faiie connairre,, 4 parucemep tenta pa les yeux ont fait naitrę;	Ma nièce vicpia, il fant, sans me faiie connairre, 4 paruceme tenta pà les yeux ont fait naitrę;
parte.	parte.
Et je veux la ſonder, en parlant pour un fiels.	Et je veux la sonder, en parlant pour un fiels.
.	.
2x L l de	2x Lès de
2 BEAFRIX.	2 BEAFRIX.
IrtaraaspuexrrsM u ude, Ahhanmmmpiaypauer Me choass-szxps.	IrtaraaspuexersM u ude, Ahhanmmmpiaypauer Me chass-szxps.
, D'heriter que linu de.	, D'hériter que linu de.
mrrs, colis-fort.	mrs, colis-fort.
u1.	u1.
RILA AIRINLEMP.	RILA AIRINLEMP.
C.	Ç.
L2l Vols ignoiez le hien, nus ie Métem lui fus.	L2l Vols ignoyez le hien, nus Ah Mêtem lui fus.
32	32
2.	2.
15 1 *-.	15 1 *-.
Sourt T18	Sourt T18
LEONORE.	LEONORE.
Ie vous regarde auſſi comme mon propre pere;	Je vous regarde aussi comme mon propre père;
Ec ſur vos ſeuls deſirs réglant mes volontez, Je tâche à mériter vos extremes bontez.	Éc sur vos seuls désirs réglant mes volontés, Je tâche à mériter vos extrêmes bontés.
Depuls que ſur mon ſort vous avez eu puiſſance, J’ai fait vœu de vous rendre entiere obéïſſance;	Dépuls que sur mon sort vous avez eu puissance, J'ai fait vœu de vous rendre entière obéissance;
J’ai beni mille fois cet amour maternel, Qui vous tranſmit ſur nous le pouvoir paternel:	J'ai béni mille fois cet amour maternel, Qui vous transmit sur nous le pouvoir paternel:
Heureuſe en mes malheurs, que le ciel pitoyable M'ait fait trouver en vous ce qui ſemble incroyable, C’eſt à dire un vrai pere, un zélé bienfaicteur, Au lieu d un monſtre avare & d’un perſécuteur.	Heureuse en mes malheurs, que le ciel pitoyable M'ait fait trouver en vous ce qui semble incroyable, C'est à dire un vrai père, un zélé bienfaiteur, Au lieu d un monstre avare et d'un persécuteur.
On ſçait quelles gens ſont les tuteurs d’ordinaire, Les deniers des mineurs ne ſortent jamais guere D'entre leurs mains, entiers comme ils les ont reçeus;	On sçait quelles gens sont les tuteurs d'ordinaire, Les deniers des mineurs ne sortent jamais guère D'entre leurs mains, entiers comme ils les ont reçus;
Ils y trouvent ſans ceſſe à rapiner deſſus.	Ils y trouvent sans cesse à rapiner dessus.
