A ROLEI.	À ROLEI.
pluſieurs furent renverſez dans la foulle cul par deſſus tête, & foulez aux pieds;	plusieurs furent renversés dans la foulle cul par dessus tête, et foulez aux pieds;
je fus malheurcarcineit da hombre, & mon chapeau, ma perruque, & ma canne demeurerent étendus ſur le Champ de Ba	je fus malheurcarcineit da hombre, et mon chapeau, ma perruque, et ma cane demeurèrent étendus sur le Champ de Ba
ANGELIQUE.	ANGELIQUE.
Vous futes bienneureux de vous en ſauver,	Vous futes bienneureux de vous en sauver,
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Oh, palſambleu, quand on a du cœur, & doe jauintey ou ne demeuit pas en chemin.	Oh, palsambleu, quand on a du cœur, et doe jauintey ou ne demeuit pas en chemin.
MARTON à Madame Simonet.	MÁRTON à Madame Simonet.
Madame, vona une action vigoureuſe, au moins	Madame, vona une action vigoureuse, au moins
Me SIMOVET.	Me SIMOUET.
Vous ne m’aviez point encore conté tout cela, Monſieur.	Vous ne m'aviez point encore conté tout cela, Monsieur.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Quund ie peri eſt pane on n’y ſonge plus;	Quund grande péri est pane on n'y songe plus;
& puis je ſuis modeſte moi, Madame, je n’aime point à faire trophée de mes exploits.	et puis je suis modeste moi, Madame, je n'aime point à faire trophée de mes exploits.
Me SIMONET.	Me SIMONET.
La Renommée prendra le ſoin de les publier & d’élever vôtre gloire.	La Renommée prendra le soin de les publier et d'élever votre gloire.
Mr DE LA RICHARDIERE chante.	Mr DE LA RICHARDIERE chante.
On Deros que la Gloire eleve N’eſt qu'à demi recompensé Et c'est peu ſi l'Amour n'Aente, Ce que la Gloire a commencé.	On Déros que la Gloire élève N'est qu'à demi récompensé Et c'est peu si l'Amour n'Aente, Ce que la Gloire a commencé.
Me SIMONET.	Me SIMONET.
Allons jouër une reprile de Lanſquenct, Mr le Baron.	Allons jouer une reprile de Lansquenct, Mr le Baron.
LE BARON.	LE BARON.
Allons, Madame Ils rentrent tous.	Allons, Madame Ils rentrent tous.
SCENE VI.	SCÈNE VI.
MliRPON, EA ROOD vn Bragon,	MliRPON, EA ROD Ah Bragon,
MARTON.	MÁRTON.
Ona deux bonnes cervenles.	Ona deux bonnes cervenles.
Mais V qui vient ici ſi bruſquement.	Mais V qui vient ici si brusquement.
LA ROSE faiſant le petit Maître.	LA ROSE faisant le petit Maître.
Bon jour, mon enfant bon jour, bonjour.	Bon jour, mon enfant bon jour, bonjour.
MARTON.	MÁRTON.
Voilà un drôle qui ſe donnt de grands airs.	Voilà un drôle qui se donnât de grands airs.
Que ſouhaitez-vous, Monſ.	Que souhaitez-vous, Monsieur.
Hé.	Hé.
ouï.	ouï.
c’eſt lui même.	c'est lui -même.
c’eſt la Roſe!	c'est la Rose!
EA ROSEA ton ſervice, ma chere Marton;	EA ROSEA ton service, ma chère Marton;
tu avois peme à me reconnoître, n’eſt ce pas?	tu avais peme à me reconnaître, n'est -ce pas?
MARTON.	MÁRTON.
Je te prenois pour un petit Maître d’Eté.	Je te prenais pour un petit Maître d'Été.
LA ROSE.	LA ROSE.
Mor bleu laiſſe là ta comparaiſon fade;	Mor bleu laisse là ta comparaison fade;
conſidere moi bien;	considère moi bien;
voi cét air de petit General, hem, qu’en dis-tu?	voi cet air de petit Général, hem, qu'en dis-tu?
je croi ſans vanité que cela n’eſt pas indifferent:	je crois sans vanité que cela n'est pas indifférent:
Allons, mon aimable, mon adorable, ma Princeſſe, ma Reine, embraſſons nous;	Allons, mon aimable, mon adorable, ma Princesse, ma Reine, embrassons nous;
allons donc?	allons donc?
comment morbleu, tu fais reſiſtance!	comment morbleu, tu fais résistance!
ah tu veux être forcée.	ah tu veux être forcée.
Il veut baiſer Marton par force.	Il veut baiser Marton par force.
MAR	MAR
MARTON.	MÁRTON.
Doucement, doucement, Mr le Dragon!	Doucement, doucement, Mr le Dragon!
LA ROSE voulant encor baiſer Marton.	LA ROSE voulant encor baiser Marton.
Ah friponne, il faut que je te dragonniſe.	Ah friponne, il faut que je te dragonnise.
MANTONV.	MANTONV.
Tu ne t’arréteras pas?	Tu ne t'arrêteras pas?
LA ROSE.	LA ROSE.
mrorbieu depuis que je ſuis Guerrier, je ne reſpire que la bréche & l’aſſaut.	mrorbieu depuis que je suis Guerrier, je ne respire que la brèche et l'assaut.
MARTON.	MÁRTON.
Il croit être encor avec ſes Flamandes.	Il croit être encor avec ses Flamandes.
LA ROSE.	LA ROSE.
Ma foi ce ſont de bonne vivantes, qui à l’exemple de leurs maris, ne tiennent guere dèvant nous.	Ma foi ce sont de bonne vivantes, qui à l'exemple de leurs maris, ne tiennent guère dèvant nous.
Mais à propos, je te trouve bien impertinente de n’être pas venuë au devant de moi ?	Mais à propos, je te trouve bien impertinente de n'être pas venue au devant de moi ?
MARTON.	MÁRTON.
Au devant de toi!	Au devant de toi!
LA ROSE.	LA ROSE.
Ouï morbleu, c’eſt l’uſage:	Ouï morbleu, c'est l'usage:
toutes les Coquettes de Paris ſont en Fiacres ſur la route, qui attendent leurs Amants.	toutes les Coquettes de Paris sont en Fiacres sur la route, qui attendent leurs Amants.
MARTON.	MÁRTON.
Es-tu le mien dis, maroufle ?	Es-tu le mien dis, maroufle ?
LA ROSE.	LA ROSE.
Je prétens bien le devenir, & paſſer mon Quartier d’Hyver avec toi.	Je prétends bien le devenir, et passer mon Quartier d'Hiver avec toi.
MARTON.	MÁRTON.
Tu es encor plus impertinent que quand	Tu es encor plus impertinent que quand
tu es parti.	tu es parti.
Où eſt ton Capitaine, & nôtre jeunt petit Maltre ?	Où est ton Capitaine, et notre jeunt petit Maltre ?
LA ROSE.	LA ROSE.
Ils viendront ici tout à l’heure;	Ils viendront ici tout à l'heure;
ils ſont entrez chez le Baigneur pour ſe rafraichir un peu de la fatigue du voyage, car pour la Cainp egne ene acte douce, Marton, nous revenons tout entier.	ils sont entrez chez le Baigneur pour se rafraîchir un peu de la fatigue du voyage, car pour la Cainp ore ene acte douce, Marton, nous revenons tout entier.
MARTON.	MÁRTON.
Finiſſons ce diſcours	Finissons ce discours
LA ROSE.	LA ROSE.
Où eſt -ta Maîtreſſe.	Où est -ta Maîtresse.
Miallarelto Dans l’appartement de ſon Pere, qui jouë avec Mr de la Richardiere & Me Simonet.	Mialarelto Dans l'appartement de son Père, qui joue avec Mr de la Richardière et Me Simonet.
LA ROSE à part Me Simonet!	LA ROSE à part Me Simonet!
Ah morbleu, c’eſt une fermiere des menus plaiſirs de mon Maître!	Ah morbleu, c'est une fermière des menus plaisirs de mon Maître!
&.	et.
MARTON.	MÁRTON.
Que parles tu de plaiſirs?	Que parles tu de plaisirs?
LA ROSE.	LA ROSE.
je dis qu’au retour d’une Campagne.	je dis qu'au retour d'une Campagne.
un Amant eſt bien aiſe de trouver ſa Maîtreſſe toute ſeule pour jouïr en liberté des menus plaiſirs.	un Amant est bien aise de trouver sa Maîtresse toute seule pour jouir en liberté des menus plaisirs.
MARTON.	MÁRTON.
Jeat’entens!	Jeat attends!
& cours avertir Angelique que tues ici, afin qu’elle congedie la comAar	et cours avertir Angélique que tues ici, afin qu'elle congédie la comAar
LA ROSE, Gardes toi bien de parler de moi devant Madame Simonet.	LA ROSE, Gardes toi bien de parler de moi devant Madame Simet.
MARTON.	MÁRTON.
D’où vient ?	D'où vient ?
LA ROSE.	LA ROSE.
res jonis homhes en afrivant de l’Armée.	rés jonis hommhes en afrivant de l'Armée.
ſont courus, & je ſuis un peu fatigué.	sont courus, et je suis un peu fatigué.
MARTON.	MÁRTON.
Tu n’as rien à craindre.	Tu n'as rien à craindre.
LA ROSE.	LA ROSE.
Dis ſeurtinent quharrite pluſieurs Officiers de Dragons qui viennent de Flandre, nous ſerons bien toſt maîtres du terrain.	Dis seurtinent quarrite plusieurs Officiers de Dragons qui viennent de Flandre, nous serons bien tôt maîtres du terrain.
AARTON.	AARTON.
C’eſt aſſez, Elle ſort.	C'est assez, Elle sort.
SCENE VII.	SCÈNE VII.
LA ROSE ſeul.	LA ROSE seul.
Ai bien fait de prendre les devants;	Ai bien fait de prendre les devants;
y Me Simonet qui ſe flate que mon Maître l’adore, parce qu’ils font enſemble toutes les mines, les contorſions.	y Me Simonet qui se flatte que mon Maître l'adore, parce qu'ils font ensemble toutes les mines, les contorsions.
enfin tout ce qu’on fait quand on s’aime;	enfin tout ce qu'on fait quand on s'aime;
ſi elle je voyoit deſcendre ceans, elle ſe douteroit de l’amour qu’il a pour Angelique & cela pouroit gâter nos affaires, quand il l’aura épousée pour lors.	si elle je voyait descendre céans, elle se douterait de l'amour qu'il a pour Angélique et cela pourrait gâter nos affaires, quand il l'aura épousée pour lors.
J’entens du bruit éloignons nous.	J'entends du bruit éloignons nous.
SCENE VIII.	SCÈNE VIII.
Mr DE LA RICHARDIERE, Me SIMONET, LA ROSE.	Mr DE LA RICHARDIERE, Me SIMONT, LA ROSE.
Me SIMONET ſortant avec precipitation.	Me SIMONET sortant avec précipitation.
Aiſſez-moi aller ſeule, Monſieur, j’ai E mes l'orteurs.	Aissez-moi aller seule, Monsieur, j'ai E mes l'orteurs.
Mais qui eſt cet homme qui ſe retire?	Mais qui est cet homme qui se retire?
voyez un peu.	voyez un peu.
Mr DE LA RICHARDIERE allant aprés la Roſe, & le ramenans.	Mr DE LA RICHARDIERE allant après la Rose, et le ramenants.
Hé l’ami, viens çà.	Hé l'ami, viens çà.
LA ROSE à part.	LA ROSE à part.
Ah morbleu, me voila pris!	Ah morbleu, me voilà pris!
Dragon.	Dragon.
LA ROSE.	LA ROSE.
Me SIMONET.	Me SIMONET.
Tu es Dragon, mon enfant?	Tu es Dragon, mon enfant?
Me SIMONET.	Me SIMONET.
Où lont tes Offciers?	Où lont tes Offciers?
LA ROSE.	LA ROSE.
Il veut s’en aller.	Il veut s'en aller.
Ils arrivent, Madame:	Ils arrivent, Madame:
ſer viteur.	ser viteur.
Me SIMONET retenant la Roſe, & le regardant au viſage.	Me SIMONET retenant la Rose, et le regardant au visage.
reeice ui moment jetc prie;	reéice ui moment jetc prie;
dis-mol.	dis-mol.
ha !	ha !
n’eſt ce pas toi, la Roſe?	n'est ce pas toi, la Rose?
LA ROSE.	LA ROSE.
Non, Madame, ce n’eſt pas moi, comme vous voyez.	Non, Madame, ce n'est pas moi, comme vous voyez.
Me SIMONET.	Me SIMONET.
Que tu as bon air en Dragon!	Que tu as bon air en Dragon!
EA ROSE.	EA ROSE.
Ah, ah, depuis que je ſuis dans le Service j’ai bien changé.	Ah, ah, depuis que je suis dans le Service j'ai bien changé.
Me SIMONET.	Me SIMONET.
La Guerre tourne bien un homme.	La Guerre tourne bien un homme.
LA ROSE ſe donnant des airs.	LA ROSE se donnant des airs.
oulis vanſte nous avons l’air aſſez conquerant.	oulis vanste nous avons l'air assez conquérant.
Me SIMONET.	Me SIMONET.
Ou eſt ton Maître?	Ou est ton Maître?
L'hIeOBer.	L'hIeOBer.
Dites mon Capitaine, Madame, nous ſervons enſemble dans le meme Corps.	Dites mon Capitaine, Madame, nous servons ensemble dans le même Corps.
Me SIMONET.	Me SIMONET.
N’as tu rien à me dire de ſa part?	N'as tu rien à me dire de sa part?
LA ROSE.	LA ROSE.
Il lui parle vn particulier, Ouï.	Il lui parle un particulier, Ouï.
Mais écoutez.	Mais écoutez.
il faut que je vous	il faut que je vous
parle incognito;	parle incognito;
allez promptement chez vous, je m’y rendrai auſſi-toſt que j’aurai annoncé à Mr le Baron la venuë de ſon Fils:	allez promptement chez vous, je m'y rendrai aussitôt que j'aurai annoncé à Mr le Baron la venue de son Fils:
allez vites, allez.	allez vîtes, allez.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Peut on ſçavoir, Madame.	Peut on savoir, Madame.
AOOIMORET.	ÀOOIMORET.
Ett foit pruſquement.	Ett soit prusquement.
Adieu, Monſieur.	Adieu, Monsieur.
LA ROSE.	LA ROSE.
Je ſçavois bien que je la ferois courir.	Je Savais bien que je la ferais courir.
SCENE IX.	SCÈNE IX.
Mr DE LA RICHARDIERE,	Mr DE LA RICHARDIERE,
Mr DE LA RICHARDIER Einterdit, a part.	Mr DE LA RICHARDIER Einterdit, a part.
Ue veut dire ceci!	Que veut dire ceci!
Parler bas à ce Dragon, & me quitter ſi bruſqueiient:	Parler bas à ce Dragon, et me quitter si brusqueiient:
Que peut.	Que peut.
il lui avoir dit!	il lui avoir dit!
Il faut que je le ſçache:	Il faut que je le sçache:
L’ami, aprens-moi, & toute à l’heure, ce que tu viens de dire à cette Dame?	L'ami, apprends-moi, et toute à l'heure, ce que tu viens de dire à cette Dame?
LA ROSE fierement.	LA ROSE fièrement.
Morb’eu, pour qui me prenez-vous donc, Monſieur?	Morb'eu, pour qui me prenez-vous donc, Monsieur?
vous croyez peut-être parler à que que groſſe botte, ou à quelque Pierrot;	vous croyez peut-être parler à que que grosse botte, ou à quelque Pierrot;
mais, têtebieu, ſçachez que je ſuis un Dragon, & ui.	mais, têtebieu, sachez que je suis un Dragon, et e.
Dragon d’honneur, & de diſcrelion, entendez-vous, hé!	Dragon d'honneur, et de discrelion, entendez-vous, hé!
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Ne te fâche-pas, mon enfant;	Ne te fâche-pas, mon enfant;
j’ai d’étroites liaiſons d’amitié avec cette Dame, &.	j'ai d'étroites liaisons d'amitié avec cette Dame, et.
IA ROSE.	IA ROSE.
Ah tête!	Ah tête!
ah ventre!	ah ventre!
qu’entens-je!	qu'entends-je?
Il y auroit un mortel ſur la terre aſſez audacieux pour courir ſur nos brisées!	Il y aurait un mortel sur la terre assez audacieux pour courir sur nos brisées!
& vous ſeriez aſſez temeraire.	et vous seriez assez téméraire.
Par la mort ſi je le ſçavois!	Par la mort si je le savais!
je vous ſabrerois, percerois, criblerois!	je vous sabrerais, percerais, criblerais!
ha, ha, ha.	ha, ha, ha.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Quartier, Mr le Dragon, quartier!	Quartier, Mr le Dragon, quartier!
LA ROSE.	LA ROSE.
Point de quartier, morbleu, point de quartier;	Point de quartier, morbleu, point de quartier;
je vous apprendrai à vous oſer jouer aux Uragons.	je vous apprendrai à vous oser jouer aux Uragons.
M’en voila débarraſſe, & nous avons à preſent le champ libre.	M'en voilà débarrasse, et nous avons à présent le champ libre.
SCENE X.	SCÈNE X.
ERASTE, LE CHEVALIER, LA ROSE.	ERASTE, LE CHEVALIER, LA ROSE.
ERASTE.	ERASTE.
E.	E.
la Roſe, qu’eſt-ce qu’il y a donc?	la Rose, qu'est-ce qu'il y a donc?
TI LA ROSE croyant que c’eſt encor Mr de la Richardiere, va ſur lui.	TY LA ROSE croyant que c'est encor Mr de la Richardière, va sur lui.
Ah!	Ah!
vous y revenez ;	vous y revenez ;
ERASTE.	ERASTE.
A qui en veut donc ce maraut là!	À qui en veut donc ce maraud -là!
LA ROSE ſurpris & remettant ſon épée, Ah!	LA ROSE surpris et remettant son épée, Ah!
mon Capitaine, c’eſt vous!	mon Capitaine, c'est vous!
je rengaine.	je rengaine.
LE CHEVALIER.	LE CHEVALIER.
Pourquoi les armes à la main?	Pourquoi les armes à la main?
LA ROSE.	LA ROSE.
Pour lous rendre laitre du champ de bataille.	Pour lous rendre laitre du champ de bataille.
LE CHEVALIER.	LE CHEVALIER.
Explique toi?	Explique toi?
ERASTE.	ERASTE.
Que veux tu dire?	Que veux tu dire?
LA ROSE.	LA ROSE.
cha paroie ler deux mcommoues, Mr de la Richardiere & Me Simonet.	cha paroie ler deux mcommoues, Mr de la Richardière et Me Simonet.
Je les al laſt lortir plus vites.	Je les al last lortir plus vîtes.
ERASTE.	ERASTE.
Tu as bien fait:	Tu as bien fait:
as-tu parlé a Angélique?	as-tu parlé a Angélique?
LE CHEVALIER.	LE CHEVALIER.
As-tu vû mon Pere?	As-tu vu mon Père?
LA ROSE.	LA ROSE.
Non, Meſſieurs;	Non, Messieurs;
Marton eſt allée les avertir de ma venuë.	Marton est allée les avertir de ma venue.
Mais les voici	Mais les voici
SCENE XI.	SCÈNE XI.
LE BARON, ANGEL.	LE BARON, ANGEL.
MARTON, ERASIE M LE CIEVALIER,	MÁRTON, ERASIE ME CE CIEVALIÈR,
LE BARON.	LE BARON.
H que j’ai de joye de voir le CapitaiAYne & le Cornette de retour.	H que j'ai de joie de voir le CapitaiAYne et le Cornette de retour.
LE CHEVALIER courant embraſſer ſon Pere.	LE CHEVALIER courant embrasser son Père.
noircre, loumuu quejurous amoraſſe,	noircre, loumu quejurous amorasse,
LE BARON embraſſant ſon Fils.	LE BARON embrassant son Fils.
Monpauvre chevanler.	Monpauvre chevanler.
ERASTE à Mr le Baron.	ERASTE à Mr le Baron.
Monſieur, permettez-moi.	Monsieur, permettez-moi.
LE BARON embraſſant Eraſte.	LE BARON embrassant Éraste.
Eraſte, mon enfant.	Eraste, mon enfant.
LE CHEVALIER allant embraſſer ſa Sœur Ah!	LE CHEVALIER allant embrasser sa Sœur Ah!
ma Sœur.	ma Sœur.
ANGELIQUE allant a ſon Frere.	ANGELIQUE allant à son Frère.
Mon Frere.	Mon Frère.
LA ROSE ſautant au col de Marton, Ah!	LA ROSE sautant au col de Marton, Ah!
Marton.	Marton.
LE BARON.	LE BARON.
Que ne vous dois-je point, Eraſte, des ſoins que vous avez pris de mon Fils.	Que ne vous dois-je point, Éraste, des soins que vous avez pris de mon Fils.
ERASTE.	ERASTE.
Vous ne me devez rien, Monſieur, & je ne pouvois moins faire, ſi prés d’entrer dans tôtre alliance.	Vous ne me devez rien, Monsieur, et je ne pouvais moins faire, si près d'entrer dans totre alliance.
MARION.	MARION.
Bon jour, Mr le Chevailer.	Bon jour, Mr le Chevailer.
LE CHEVALIER.	LE CHEVALIER.
Il ſaute au col de Marton.	Il saute au col de Marton.
Hé, bon jour, ma pauvre Marton:	Hé, bon jour, ma pauvre Marton:
il faut que je te baiſe !	il faut que je te baise !
MARTON.	MÁRTON.
Fy donc, Mr te Cnevalier, ſy donc!	Fi donc, Mr te Cunevalier, sy donc!
comme vous me chiffonnez.	comme vous me chiffonnez.
LE CHEVACIER.	LE CHÉVACIÈR.
C’eſt ma maniere.	C'est ma manière.
LA ROSE.	LA ROSE.
Il y a beaucoup d’étourderies, dans les manieres de ces peties Meſſieurs.	Il y a beaucoup d'étourderies, dans les manières de ces pétiez Messieurs.
ERAOIEe* Que j’avois d’impatience d’être auprés de vous, Madame.	ERAIEe* Que j'avais d'impatience d'être auprès de vous, Madame.
ANGELIQUE.	ANGELIQUE.
rotre abſence m’a causé de peine;	rotre absence m'a causé de peine;
Eraſte.	Eraste.
ERASTE.	ERASTE.
Je brûlois.	Je brûlais.
LE CHEVALIER.	LE CHEVALIER.
Ma Sœur, voilà l’Amant le plus brûlant.	Ma Sœur, voilà l'Amant le plus brûlant.
l’Ami le plus chaud.	l'Ami le plus chaud.
Quand m’acquitterez vous envers lui?	Quand m'acquitterez -vous envers lui?
ANGELIQUE.	ANGELIQUE.
Moy, vous acquitter, mon Frere!	Moi, vous acquitter, mon Frère!
comment?	comment?
LE CHEVALIER.	LE CHEVALIER.
En l’épouſant.	En l'épousant.
Mon Pere a promis à	Mon Père a promis à
mon Capitaine qu’il vous marieroit avec lui ſi toſt que la Campagne ſeroit faite, & que nous ſerions de retour.	mon Capitaine qu'il vous marierait avec lui si tôt que la Campagne serait faite, et que nous serions de retour.
LE BARON Ouï, mes enfans j’ai donné ma parole, elle emmimaoie, d je pretens dés aujourd’hui vous tendre tous contens.	LE BARON Ouï, mes enfants j'ai donné ma parole, elle emmimaoie, d je pretens dés 'hui vous tendre tous contents.
ERASIE.	ERASIE.
Ah;	Ah;
Monſieur.	Monsieur.
ANGELIQUE.	ANGELIQUE.
Ah!	Ah!
mon Pere.	mon Père.
LE CHEVALIER.	LE CHEVALIER.
En Amour, comme en Guerre, les executions les plus promptes, ſont celles qui réüſſiſſent le mieux;	En Amour, comme en Guerre, les exécutions les plus promptes, sont celles qui réussissent le mieux;
mon Pere, ſans perdre de temps, envoyez chez võtre Nottaire.	mon Père, sans perdre de temps, envoyez chez votre Nottaire.
LE BARON.	LE BARON.
n bais moi meme ;	 nais moi -même ;
aum bienr m’a-t il fait ſçavoir qu’il avoit que que choſe de conſequence à me communiquer:	aum bienr m'a-t -il fait savoir qu'il avait que que chose de conséquence à me communiquer:
Che valier, je voudrois pouvoir auſſi te marier.	Che valier, je voudrais pouvoir aussi te marier.
MARTON.	MÁRTON.
Le marier!	Le marier!
ce n’eſt encor q’’un Amant à la brochette.	ce n'est encor q'un Amant à la brochette.
LE CHEVALIER.	LE CHEVALIER.
Oh, palſanbleu, avans que d’épouſer, je prétens faire cinq ou ſix Campagnes, autant de Maîtreſſes, ſans les avant res de routes;	Oh, palsanbleu, avants que d'épouser, je prétends faire cinq ou six Campagnes, autant de Maîtresses, sans les avant rés de routes;
& quand je ſerai fatigué de la Guerre & las de l’Amour, je ferai penitence dans le Mariage.	et quand je serai fatigué de la Guerre et las de l'Amour, je ferai pénitence dans le Mariage.
LA ROSE.	LA ROSE.
C eſt la regle.	Ç est la règle.
LE BARON.	LE BARON.
Ne vous ennuyez pas, je reviendrai tout à l’heure.	Ne vous ennuyez pas, je reviendrai tout à l'heure.
SCENE XII.	SCÈNE XII.
ERASTE,ANGELIQUE, MARTON LE CHEVALIER, LA ROSE.	ERASTE,ANGELIQUE, MÁRTON LE CHEVALIER, LA ROSE.
ERASTE.	ERASTE.
Mhaume, quena lenelta vee.	Mhaume, quena lenelta vée.
IVR ANGELIQUE.	JUR ANGELIQUE.
Eraſte, quel bonheur.	Eraste, quel bonheur.
LE CHEVALIER.	LE CHEVALIER.
Hé morbleu banniſlez les complimens, vous voilà mariez autant vaut.	Hé morbleu bannislez les compliments, vous voilà mariez autant vaut.
LA ROSE à part.	LA ROSE à part.
Mon Maître ſera bien-toſt Capitaine Mimeur, on va l’attacner au corps de la Place.	Mon Maître sera bientôt Capitaine Mimeur, on va l'attacner au corps de la Place.
LE CHEVALIER.	LE CHEVALIER.
La Roſe, tu couche Marton en jouë je le voi bien, ſera-t.	La Rose, tu couche Marton en joue je le vois bien, sera-t.
elle difficile à emporter?	elle difficile à emporter?
LA ROSE.	LA ROSE.
J’ai déja reconnû le tetrain, & bruſqué les dehors, j’ai reçû même quelques coups aux approches, & la Place ma paru meurtriere;	J'ai déjà reconnu le tetrain, et brusqué les dehors, j'ai reçu même quelques coups aux approches, et la Place ma paru meurtrière;
mais comme ce n’eſt pas la premiere que i’ai priſe;	mais comme ce n'est pas la première que j'ai prise;
un aſſaut general m’en rendra le Maître.	un assaut général m'en rendra le Maître.
MAR	MAR
MARTON.	MÁRTON.
Quand le Nottaire aura ſigné les Artieles de la Capitulation, cela pourra arriver, autrement.	Quand le Nottaire aura signé les Artieles de la Capitulation, cela pourra arriver, autrement.
Ouïe?	Ouïe?
PI IOSE.	PI JOSÉ.
Quï.	Quoi.
MARION.	MARION.
LA ROSE.	LA ROSE.
Morbleu quand j’y aurai une fois mis le Siege.	Morbleu quand j'y aurai une fois mis le Siège.
MARTON.	MÁRTON.
nno, je te le ſerarbien lever,	nno, je te le serarbien lever,
To12 LA ROSE.	To12 LA ROSE.
MARTONOuï, moi.	MARTONOuil, moi.
LA ROSE.	LA ROSE.
Morbleu nous nous verrons à l’occaſion.	Morbleu nous nous verrons à l'occasion.
MARTON.	MÁRTON.
Mort de ma vie je te rendrai bien ton reſte.	Mort de ma vie je te rendrai bien ton reste.
LE CHEVALIER.	LE CHEVALIER.
Marton me paroiſt une aſſez bonne Dragonne mon Capitaine, Iluut l'ihcorporer dans nôtre Regiment.	Marton me paraît une assez bonne Dragonne mon Capitaine, Iluut l'ihcorporer dans notre Regiment.
MARTON.	MÁRTON.
Je ne ſerois pas la premiere qui auroit ſeryi le Roy.	Je ne serais pas la première qui aurait séri le Roi.
LE CHEVALIER.	LE CHEVALIER.
Elle eſt plaiſante, Dieu me damne.	Elle est plaisante, Dieu me damne.
ANGELIQUE.	ANGELIQUE.
Chevaller, vous jurez ì	Chevaller, vous jurez 
LE CHEVALIER.	LE CHEVALIER.
Moi, je jure :	Moi, je jure :
non, le diable m’emporte.	non, le diable m'emporte.
LA ROSE.	LA ROSE.
Non, Madame, ce n’eſt pas la jurer;	Non, Madame, ce n'est pas la jurer;
c’eſt une politeſſe de langage que l’on contracte avec Meſdames les Flamandes;	c'est une politesse de langage que l'on contracte avec Mesdames les Flamandes;
bon, elles en diſent blen d’autres:	bon, elles en disent blen d'autres:
ce ſont elles qui m’ont façonné, moi.	ce sont elles qui m'ont façonné, moi.
MARTON.	MÁRTON.
Tu es fort mal inſtruit.	Tu es fort mal instruit.
ANGELIQUE.	ANGELIQUE.
Ah!	Ah!
Eraſte, ne ſervez pius en Flandre.	Eraste, ne servez pius en Flandre.
MTARION.	MTARION.
Hé, Madame, que Monſieur vous ſerve bien ſeulement, il aura aſſez d’affaires.	Hé, Madame, que Monsieur vous serve bien seulement, il aura assez d'affaires.
LA ROSE, Comment, morbleu, tu voudrois que ta Maîtreſſe empêchaſt le Service du Roy?	LA ROSE, Comment, morbleu, tu voudrais que ta Maîtresse empêchât le Service du Roi?
AARIONN.	AARION.
Quand on ſe marie on devroit pendre l’épée au croc, & ſe donner tout entler à ſa hemme.	Quand on se marie on devrait pendre l'épée au croc, et se donner tout entler à sa hémme.
Qu’en dites vous, Mr le Chevalier?	Qu'en dites -vous, Mr le Chevalier?
LE CHEVALIER.	LE CHEVALIER.
J’aimerois mieux reprendre le pétit colet que de m’obliger à cela	J'aimerais mieux reprendre le pétit colt que de m'obliger à cela
MARTON.	MÁRTON.
Vous mocquez vous, Monſieurt un Abé devient Dragon;	Vous moquez -vous, Monsieurt un Abé devient Dragon;
mais un Dragon ne devient point Abé.	mais un Dragon ne devient point Abé.
LE CHEVALIER.	LE CHEVALIER.
Tant pis:	Tant pis:
la regularité de vie de ces petits Abez fringans & damerets, me plaiſt aſſez:	la régularité de vie de ces petits Abez fringans et damerets, me plaît assez:
ils vont mediter aux Tuilleries;	ils vont méditer aux Tuilleries;
l’Opera leur ſert de Putim;	L'Opera leur sert de Putim;
ie Cabaret de Refectoir;	Elle Cabaret de Refectoir;
& le Caffé de Retraites.	et le Caffé de Retraites.
LA ROSE.	LA ROSE.
vona une regularite de vie bien auſtere!	vona une régularité de vie bien austère!
oh, ce n’eſt pas là l’intention du Fondateur.	oh, ce n'est pas là l'intention du Fondateur.
ANGELIQUE.	ANGELIQUE.
Montons là haut, nous ſerons mieux que dans cette Salle.	Montons là haut, nous serons mieux que dans cette Salle.
Marton, qu’on ne me faſſe parler perſonne.	Marton, qu'on ne me fasse parler personne.
LE CHEVALIER.	LE CHEVALIER.
Ra Roſe, fais le Suiſſe, & garde bien la Porte, qu’il n’entre ici que mon Pere & le Nottaire.	Ra Rose, fais le Suisse, et garde bien la Porte, qu'il n'entre ici que mon Père et le Nottaire.
LA ROSE.	LA ROSE.
C’eſt aſſez, Monſieur.	C'est assez, Monsieur.
LE CHEVALIER.	LE CHEVALIER.
Quand ils ſeront venus, tu iras chercher les Hauts bois de la Compagnie, avec nos Muſiciens & nos Danſeurs Dragons, on ne leur a donné congé de venir à Paris que pour nous divertir:	Quand ils seront venus, tu iras chercher les Hauts bois de la Compagnie, avec nos Musiciens et nos Dans Dragons, on ne leur a donné congé de venir à Paris que pour nous divertir:
ils doivent être arrivez.	ils doivent être arrivés.
LA ROSE Je les ai rencontrez au Fauxbourg de Paris, avec ces Flamandes qu’ils ont épousées, qui ſouffloient le brandevin.	LA ROSE Je les ai rencontrez au Faubourg de Paris, avec ces Flamandes qu'ils ont épousées, qui soufflaient le brandevin.
Elles boivent.	Elles boivent.
