A MADMOISELLE M.	À MADMOISELLE M.
Que tu vois le iour, Que par luy ſeul tu tien ton eſtre Que ſans luy tu ne pouuois naiſtre, Que c’eſt luy qui nous fait aimer Qu’il ſçay l’art de nous emflamer, Et qu’encor qu’il ne voye goute Il nous ſçay conduire à la route, Qu’il faut ſuiure pour les plaiſirs Animant nos plus chers deſirs, Il fait palpiter noſtre foye Il meine au ſeiour de la ioye, Enfin par ce diuin enfant On ce voit ſouuent triomphant, De l’aimable obiet qui nous charme Et pourtant luy ſeul nous deſarme, Et quand on ſe voit triomphant On ne le doit qu’à cette enfant, Oüy cet aueugle qui nous guide Donne de l’eſprit au ſtupide, Il fait que le plus ignorant Pres d’vne maiſtreſſe eſt ſçauant, Et qui rend toutes nos parolles Plaine d’illuſtres hiperbolles,	Que tu vois le jour, Que par lui même tu tien ton être Que sans vis tu ne pouvais naître, Que c'est beau qui nous fait aimer Qu'il sais l'art de nous emfflamer, Et qu'encore qu'il ne voie goute Il nous sais conduire à la route, Qu'il faut suivre pour les plaisirs Animant nos plus chers désirs, Il fait palpiter quelque foie Il mène au seigneur de la joie, Enfin par ce divin enfant On ce voit souvent triomphant, De l'aimable objet qui nous charme Et pourtant deux seul nous désarme, Et quand on se voit triomphant On ne le doit qu'à cette enfant, Oüy cet aueugle qui nous guide Donne de ' à ce, Il fait que le plus ignorant Pres en fa est sçauant, Et qui rend ils nous parolles Qui nillustres a,
GVILLOT.	GUILOT.
Ah, ceſt trop hiperboliſer Ie m’en vois a mon tour iazer, Scachés que la belle Angelique	Ah, cet trop hyperboliser Je m'en vois à mon tour jaser, Scachez que la belle Angélique
LE DOCTEVR.	LE DOCTEUR.
Si c’eſt ſa beauté qui vous pique,	Si c'est sa beauté qui vous pique,
GVILLOT.	GUILOT.
Comment dont le ne diray llen L’amour.	Comment dont le ne dirai llen 'amour.
LE D'OCTEVR.	LE D'OCTEUR.
Ainſi qu’il fait du bien, Il fait du mal & de la peine Et met noſtre cœur à la gene, Il porte nos intentions Souuent aux baſſes actions, Il nous preſente des abimes Qui nous font tomber dans les crimes, Et bien ſouuent nous y tombons A lors que moins nous y penſons,	Ainsi qu'il fait du bien, Il fait du mal et de la peine Et met notre cœur à la gène, Il porte nos intentions Souvent aux basses actions, Il nous présente des abimes Qui nous font tomber dans les crimes, Et bien souvent nous y tombons À lors que moins nous y pensons,
GVILLOT Parleras-tu toute ta vie,	GUILOT Parleras-tu toute ta vie,
LE DOCTEVR.	LE DOCTEUR.
Non ma fraſe eſt bien toſt finio, Ie ne vous diray plus qu’vn mot Scachés braue Cointe Gumlot -*4-	Non ma fraze est bien tôt finio, Je ne vous dirai plus qu'un mot Scachez brave Cointe Gumlot *4-
GVILLOT Scachés Docteur qui n’en ſçay guerre Que ta langue eſt vne harangere,	GUILOT Scachez Docteur qui n'en sais guerre Que ta langue est une harangère,
LE DOCTEVR Scachés.	LE DOCTEUR Scachés.
LE DOCTEVR.	LE DOCTEUR.
Comprenés.	Comprenez.
LE DOCTEVR Aprenés.	LE DOCTEUR Aprenés.
.	.
.	.
GVILLOT Que peux tu m’aprendre,	GUILOT Que peux tu m'apprendre,
LE DOCTEVR En toutes choſes d’exceller	LE DOCTEUR En toutes choses d'exceller
GVILLOT Boureau ie ne veux que parler,	GUILOT Boureau avait ne veux que parler,
LE DOCTEVR Parlés ie ſuis tout preſt d’entendrs C iiij	LE DOCTEUR Parlés je suis tout prêt d'entendrs Ç iiij
IVILLOT.	IVILOT.
Donnés.	Donnès.
	
LE DOCTEVR.	LE DOCTEUR.
Ie vous donne audiance, anmin que vous l’aues voulu,	Je vous donne audience, anmin que vous l'avez voulu,
SVILLOT.	SVILOT.
Dit moy traiſtre as tu reſolu, De m’eſtourdir en cette place	Dit moi traître as tu résolu, De m'étourdir en cette place
LE DOCTEVR.	LE DOCTEUR.
Enfin mon ſilence ſe laſſe, vous parles trop Rronſieur Guillot	Enfin mon silence se lasse, vous parles trop Rronsieur Guillot
GVILLOT.	GUILOT.
le veux	le veux
LE DOCTEVR.	LE DOCTEUR.
Vous ne diray plus mot, Il faut qu’à mon tour ie m’explique	Vous ne dirai plus mot, Il faut qu'à mon tour mot m'explique
AVILEOT Iaime voſtre fille Angelique,	AUILEOT Jaime votre fille Angélique,
LE DOCTEVR Quoy c’eſt l’obiet de vos ſouhaits Pouchés, vous ne l’auray iamais.	LE DOCTEUR Quoi c'est l'objet de vos souhaits Pouchés, vous ne l'aurai jamais.
SCENNE VII.	SCÈNE VII.
RAGOTIN	RAGOTIN
O v IR ROT DVS voila bien dans nos afy faires,	Ô v ITE ROT DUS voilà bien dans nos afi saires,
RAGOTIN Nos maux ſont extraordinaires lamais ie ne vis tel parleur,	RAGOTIN Nos maux sont extraordinaires lamais sens ne vis tel parleur,
GVILLOT Ah!	GUILOT Ah!
quel enragé de Docteur, Et quel grand cracheur d’epigrãme Il ma penſé voinir ſon ame, Au nez dans ſon chien d’entretien?	quel enragé de Docteur, Et quel grand cracheur d'epigrãme Il ma pensé voin son âme, Au nez dans son chien d'entretien?
Pour vn Docteur qui ne ſçay rien, Il fait valoir vne ſotiſe Commre vn Docteur qui doctoriſe, Mais pourtant en doctoriſant Il ma rendu fort mal content, Le diable emporte ſa doctrine Luy meſme & ſa maudite mine, De m’auoir ainſi refuſé Lobiet dont ie ſuis embraſé, Ec cene ou tout mon ioin s’aplique	Pour un Docteur qui ne sais rien, Il fait valoir un sotise Commère un Docteur qui doctorise, Mais pourtant en doctorisant Il ma rendu fort mal content, Le diable emporte sa doctrine Luy même et sa maudite mine, De m'avoir ainsi refusé Lobjet dont Vous Vous embrasé, Ec cène ou tout mon join s'applique
SCENNE VIII.	SCÈNE VIII.
Le Baron de la TOPINIERE, TARASQVIN, GVILLOT, & RAGOTIN.	Le Baron de la TOPINIERE, TARASVIN, GUILLOT, et RAGOTIN.
LA TOPINIERE.	LA TOPINIÈRE.
Vy i’ayme l’illuſtre Angelique, Et quiconque en aprochera Il eſt certain qu’il perira, Ie m’en vay luy couper la trame de puiole ſuy mangeray l’ame,	Vi j'aime l'illustre Angélique, Et quiconque en approchera Il est certain qu'il périra, Je m'en vais lui couper la trame de puiole su mangerai l'âme,
GVILLOT ſe cachant Ou me ſuis ie venu fouret	GUILOT se cachant Ou me suis ici venu fouret
RAGOTIN.	RAGOTIN.
Mronfier On fioda va deuorer, Nous ſommes à la boucherie	Mronfier On fioda va dévorer, Nous sommes à la boucherie
LA TOPINIERE.	LA TOPINIÈRE.
Si quelqu’vn dedans ma furie, Oſe ſe preſenter à moy Sans doute il en mourra d’effroy, Me voila dedans vne rage Qui va faire de tout carnage, Où ſont ils tous ces amoureux Qui cherchentelobiet de mes veux, Afin que ſur eux mon eſpée Atrape ſa franche lipée,	Si quelqu'un dedans ma furie, Ose se présenter à moi Sans doute il en mourra d'effroi, Me voilà dedans une rage Qui va faire de tout carnage, Où sont ils tous ces amoureux Qui cherchentelobjet de mes veux, Afin que sur eux mon épée Atrape sa franche lipée,
TARASQVIN.	TARASQUIN.
Mais qui s’oſeroit preſenter la vous qui icaues tout dompter,	Mais qui s'oserait présenter la vous qui icaves tout dompter,
LA TOPINIERE.	LA TOPINIÈRE.
Le Comte de la Guillotiere Eſprouuera mon humeur fiere,	Le Comte de la Guillotière Éprouvera mon humeur fête,
TARASQVIN Pour Monſieur ſon valet Ra - ------ - Ie luy veux coupet le gigot, Et le incitre lar la llticre	TARASQVIN Pour Monsieur son valet Ra - -elle-à -Dire -luiirez coupet le gigot, Et le incitre lar la llticre
RAGOTIN Adieu pauure Ragotiniere, Quel horible coupe iaret	RAGOTIN Adieu pauvre Ragotinière, Quel horible coupe jaret
GVILLOT.	GUILOT.
Ragot tel Maiſtre tel valet,	Ragot tel Maître tel valet,
ET TOTINIERE.	ET TOTINIERE.
Qui va la.	Qui va la.
RAGOTIN.	RAGOTIN.
Monſieur ie trepaſſe	Monsieur quelque trepasse
LA TOPINIERE.	LA TOPINIÈRE.
Allons viſte faiſons mains baſſe, Tuons tout, maſſacrons, briſons, Rompons, caſſons, exterminbns, Eſgorgons, mettons, tout par terre Liutons à tous amans la guerre, Ie veux d’vn regard plain d’horreur Les immoler à ma fureur, Que la moindre de mes conqueſtes Soit d’abattre cent mille teſtes, De couper & iambes, & bras Ce ſont là mes petits combas, Mon courage eſtant ſans meſure Ie deffais toute la nature, Quand ma valeur lance ces traits - .	Allons vite faisons mains basse, Tuons tout, massacrons, brisons, Rompons, cassons, exterminbns, Égorgons, mettons, tout par terre Liutons à tous amants la guerre, Je veux d'un regard plain d'horreur Les immoler à ma fureur, Que la moindre de mes conquêtes Soit d'abattre cent mille têtes, De couper et jambes, et bras Ce sont là mes petits combas, Mon courage étant sans mes Lieux étant sans mes lieux, Quand ma valeur ance ces traits - .
C.	Ç.
Et quand ie veux ie la refais, 37 Mais quelque vaillant qu’on puiſſe eſtre L’amour eſt touſiours noſtre Maiſtre, Puis qu’on ſe rend ou toſt ou tart A ce petit chien de Baſtart, Voy donc celle qui tient mon ame Dis luy que ſon aſpect m’enflame, Et que ie ne puis viure heureux Qu'alors que ie vois ces beaux yeux, Son port, ſon ait, ſa bonne mine Cette douceur qui m’aſſaſſine, Enfin tous ſes charmes diuers Qui font que ie ſuis dans ces fers, Va voir ſi la belle eſt viſible Mon cœur eſt percè comme vncrible, ve la pomte de les atraits	Et quand tu veux rien la refais, 37 Mais quelque vaillant qu'on puisse être L'amour est toujours notre Maître, Puis qu'on se rend ou tôt ou tart A ce petit chien de Bât, Vois donc celle qui tient mon âme Diseau que son aspect m'enflamme, Et que je ne puis vivre heureux Qu'alors que sans vois ces beaux yeux, Son port, son ait, sa bonne mine Cette douceur qui m'assassine, Enfin tous ses charmes divers Qui font que je suis dans ces fers, Ces voir si Mon belle est visible Mon cœur est percé la vncrible, de les pomte de les atraits
TARASQVIN l’appelant Hola miracle des obiets,	TARASQUIN l'appelant Holà miracle des objets,
ANGELIQVE.	ANGELIQUE.
Que veut on.	Que veut on.
TARASQVIN.	TARASQUIN.
Beauté printanniere Le Baron de la Topiniere, Deſire vous voir vn momens	Beauté printannière Le Baron de la Topinière, Désire vous voir un moments
LA TOPINIERE Aprochés doux charme des charmes Comme on vous doit rendre les armes, Le fenix de tous les guerriers Vient mettre à vos pieds ſes lauriers, Mon bras plus craint que le tonnerre Ma ſçeu gagner toute la terre, I’ay tout ſoûmis à mon couroux Il ne reſte done plus que vous.	LA TOPINIÈRE Aprochez doux charme des charmes Comme on vous doit rendre les armes, Le fenix de tous les guerriers Vient mettre à vos pieds ses lauriers, Mon bras plus craint que le tonnerre Ma che ver toute la terre, J'ai tout soumis à mon courroux Il ne reste done plus que vous.
Mais voſtre beauté ſans ſeconde Eſt plus forte que tout le monde, Pourtant telle que vous ſoyés Car me voyant la plus cruelle Peut dire quelle en à dans l’aille, Iuges donc il vous en tiendres -- ----	Mais votre beauté sans seconde Est plus forte que tout le monde, Pourtant telle que vous soyez Car me voyant la plus cruelle Peut dire quelle en à dans l'aille, Juges donc il vous en tiendrez -- --
ANGELIQVE Ie me donnerés bien de garde De vous, quoy que ie vous regarde, Euſſiès vous cent fois plus d’apas Baron vous ne me tenès pas.	ANGELIQUE -JE me donnerez bien de garde De vous, quoi que je vous regarde, Eussiès vous cent fois plus d'appas Baron vous ne me tenès pas.
SCENNE A.	SCÈNE A.
GVILLOT, RAGOTIN TRRASQVIN, la TOPINIER	GUILOT, RAGOTIN TRASVIN, la TOPINIER
L 4 LA TOTITIERE.	 4 LA TOTITIERE.
Ie crains icy quelque ſurpriſe	Je crains ici quelque surprise
TARASQ 11 Ie crains quelque coups de baſton,	TARASQ 11 Je crains quelque coups de bâton,
GVILLOT.	GUILOT.
Euitons la contuſion,	Éviterons la contusion,
D	D
S’il ſe peut en faiſant le braue, RAGOTIN.	S'il se peut en faisant le brave, RAGOTIN.
Songès que ie ſuis voſtre eſclaue, Et que ſi vous faites le ſot A Dieu, vous & voſtre Ragot, Ce Baron de la Topiniere Eſt vn rude traine rapiere, Nous aurons icy du qu’as tu	Songès que je suis votre esclave, Et que si vous faites le sot À Dieu, vous et reste Ragot, Ce Baron de la Topinière Est un rude traine rapière, Nous aurons ici du qu'as tu
GVILLOT.	GUILOT.
u ne ſeras lamais bacu, En la preſence de ton Maiſtre	Tout ne seras lamais bacu, En la présence de ton Maître
RAGOTIN.	RAGOTIN.
Vous fuirés des premiers peut eſtre,	Vous fuirez des premiers peut être,
d Asa e da Tu m’as bien la mine ie croy De fuir auſſy toſt comme moy,	 Asa eût Ta Tu m'as bien la mine Je crois De fuir aussi tôt comme moi,
TARASQVIN.	TARASQUIN.
Ah, Monſieur le Baron ie tremble Et croy que nous tremblons enſemble,	Ah, Monsieur le Baron ici tremble Et crois que nous tremblons ensemble,
LA TOPINIERE.	LA TOPINIÈRE.
Ie ne tremble pas mais i’ay peur.	Je ne tremble pas mais j'ai peur.
Ah, que n’ay ie vn peu plus de cœur,	Ah, que n'ai ieurs peu plus de cœur,
GVILLOT.	GUILOT.
Que n’ay ie vn peu plus de courage L’on re verroit faire carnage, R -	Que n'ai ie un peu plus de courage L'on re verrait faire carnage, R -
TARASQVIN.	TARASQUIN.
Pour éuiter ces carnaſſiers le m’en vay ruir tout des premiers,	Pour éviter ces carnassiers le m'en vais ruir tout des premiers,
LA TOPINIERE.	LA TOPINIÈRE.
Ne croy pas qu’icy ie demeure la cay luia aun tcus a nueuroy	Ne crois pas qu'ic ie demeure la cai luia aun tcus a nueur
SCENNE XT.	SCÈNE XT.
RAGOTIN.	RAGOTIN.
E peur par moy d’eſtre aſſaïlly 2Comme il'ont hape le tailly,	E peur par moi d'être assaïlli 2Comme il'ont hape le tailly,
GVILLOT Quand on voit ma mine cruelle.	GUILOT Quand on voit ma mine cruelle.
	
RAGOTIN.	RAGOTIN.
Ils ont enfillé la venelle, ciais s’iis reuenoient fur leurs pas	Ils ont enfillé la venelle, ciais s'iis revenaient fur leurs pas
GVILLOT.	GUILOT.
Ie croy qu’il ne reuiendrons pas, Que ferons nous?	Je crois qu'il ne reviendrons pas, Que ferons nous?
RAGOTIN.	RAGOTIN.
Ie viens d’aprendre	Je viens d'apprendre
D ii Que Monſieur le Docteur eſt tendre, Sur l’article de bien chanter Il faut donc l’experimenter, Chantant tous deux comme des anges Faiſant d’admirables meſlanges, De nos voix, pour toucher le cœur De ce vieil barbon de Docteur, Peut eſtre que noſtre muſique Vous pourra gagner Angelique, Cherchons donc vn air, promptement lmcrurisomomoudo uiquonlola,	 Déjà Donc Monsieur le Docteur est tendre, Sur l'article de bien chanter Il faut donc l'expérimenter, Chant tous deux comme des anges Faisant d'admirables mélanges, De nos voix, pour toucher le cœur De ce vieil barbon de Docteur, Peut être que notre musique Vous pourra gagner Angélique, Cherchons donc un air, promptement lmcrurisomomoudo uiquonlola,
GVILLOT.	GUILOT.
Mais quel air dirons nous, regarde	Mais quel air dirons nous, regarde
RAGOTIN.	RAGOTIN.
Monſieur nous dirons la guinbarde,	Monsieur nous dirons la guinbarde,
GVILLOT.	GUILOT.
Que veux tu dire eſprit bouru	Que veux tu dire esprit bouru
LeslaolTles.	LeslaolTles.
Nous dirons donc l’enturlu,	Nous dirons donc l'enturlu,
GVILLOT N’enſçay tu pas vne délite	GUILOT N'ensai tu pas une délite
RAGOTIN.	RAGOTIN.
dit l'airde toutes les chunſuns qui nomme - 47 c- - 4 - -- neaues vousponle ven mraryderite »	dit l'airde toutes les chunsuns qui nomme - 47 çrite 4 - -- neaues vousponle ven mraryderite "
BVILLOT.	BVILOT.
ru ne ſcay point d’autre chançon	ru ne sais point d'autre chançon
RAGOTIN.	RAGOTIN.
Diſons, helas Iean helas don	Disons, hélas -Jean hélas don
GVILLOT Va ta forte fieure quartaine	GUILOT Va ta forte fièvre quartaine
RITOCTIIV.	RITOCTIIV.
Ou bien, turlututu renguene,	Ou bien, turlutu renguène,
CVILLOT Ragot vous me deſplaiſés fort	CUILOT Ragot vous me déplaisez fort
RAGOTIN.	RAGOTIN.
Leandre eſtoit deſſus le bort,	Léandre était dessus le bort,
GVI LLOT Sont cela des chanſons nouuelles	GUI LLOT Sont cela des chansons nouuelles
RAGOTIN Les plus vieilles font les plus belles, Mais vous ne trouués rien de bon Voulés vous vn quand dira ton,	RAGOTIN Les plus vieilles font les plus belles, Mais vous ne trouvez rien de bon Voulez vous un quand dira ton,
GVILLOT I’en veux vne toute nouuelle	GUILOT J'en veux une toute nouvelle
RAGOTIN Qui eſt celuy la qui m’apelle,	RAGOTIN Qui est celui la qui m'appelle,
GVILLOT Il faut qu’il ait l’eſprit perdu	GUILOT Il faut qu'il ait l'esprit perdu
RAGOTIN Ah, i’en ſcais vne d’vn pendu, Qui va bien eſtre voſtre affaire	RAGOTIN Ah, j'en sais une d'un pendu, Qui va bien être votre affaire
GVILLOT Ragot ſi tu ne te veux taire, Ie te donneray mille coups	GUILOT Ragot si tu ne te veux taire, Je te donnerai mille coups
delna dexv Petite brunette aux yeux doux,	déla dexv Petite brunette aux yeux doux,
GVILEOT.	GUILEOT.
Tu ne te tairas pas, i’enrage	Tu ne te tairas pas, j'enrage
CALOTTN Ie n’en diray pas dauantage,	CALOTTN Je n'en dirai pas davantage,
GVILLOT Luirre llioj parron vin Moment	GUILOT Luirre llioj parron vin Moment
RAGOTIN.	RAGOTIN.
Autant en emporte le vent,	Autant en emporte le vent,
GVILLOT Chanter encor ame indiſcrette	GUILOT Chanter encor âme indiscrète
RAGOTIN L’autre iour dame Guillemette	RAGOTIN L'autre jour dame Guillemette
GVILLOT Le traiſtre eſt auſſi grand chanteur Que le Docteur eſt grand parleur, Va que la tempeſte t’entraiſne Docteur de la Samaritaine, Sans toy i’auray bien la vertu n cin fane vne gene Miiprumplu,	GUILOT Le traître est aussi grand chanteur Que le Docteur est grand parleur, Va que la tempête t'entraîne Docteur de la Samaritaine, Sans toi j'aurai bien la vertu n in fane une gene Miiprumplu,
RAGOTIN.	RAGOTIN.
Nous la chanterons donc enſemble	Nous la chanterons donc ensemble
GVIL LOT Tu ne dis pas ſi bon me ſemble,	GUIL LOT Tu ne dis pas si bon me semble,
RAGOTIN Il vous ſemblera bon ou non Ie veux eſtre de la chanſon,	RAGOTIN Il vous semblera bon ou non Je veux être de la chanson,
GVILEOT Attens, ie croy que i’en tiens vne	GUILEOT Attends, je crois que j'en tiens une
RAGOIIN Elle ne ſera pas commune,	RAGOIN Elle ne sera pas commune,
GVILLOT du llas qu’'a me iuidrelege	GUILOT du lâlas qu'a me juidrelège
RAGOTIN Commancez donc le premier mot,	RAGOTIN Commancez donc le premier mot,
GVILLOT commence la moitié du couplet ſeul, & Ragotin & luy le chantent en ſemble.	GUILOT commence la moitié du couplet seul, et Ragotin et était le chantent en semble.
GVILLOT.	GUILOT.
Chançon.	Chançon.
Chere friponne d’Angelique Mouche quoquine qui me pique, Vous aués excroqué mon cœur Eſcornifleuſe de mon ame Obiet aimable ſuborneur, Al raut que Ountde vots entuuie, RAGOTIN.	Chère friponne d'Angélique Mouche quoquine qui me pique, Vous avez excroqué mon cœur Escornifleuse de mon âme Obiet aimable suborneur, Al raut que Ountde vots entuie, RAGOTIN.
Nous venons de chanter la voſtre Chantons donc s’il vous plaiſt la noſtre,	Nous venons de chanter la vôtre Chantons donc s'il vous plaît la nôtre,
SVILLOT.	SVILOT.
Allons Ragotin ie le veux	Allons Ragotin ie le veux
RAGOTIN.	RAGOTIN.
Ah, ie la tiens par les cheueux, Ie commence ſi bon vous ſemble Et puis nous chanterons enſemble,	Ah, Seigneur la tiens par les cheveux, Je commence si bon vous semble Et puis nous chanterons ensemble,
SCENNE XII.	SCÈNE XII.
LA TOTINMERE, TARASQVIN,	LA TOTINMERE, TARASQUIN,
LA TOPINIERE.	LA TOPINIÈRE.
Il faut qu’ils meurent tout de bon	Il faut qu'ils meurent tout de bon
RAGOTIN.	RAGOTIN.
Voicy bien vn autre chanſon, Monſieur ſouffrés que ie reculle de vous failie fante Pereuiie,	Voici bien un autre chanson, Monsieur souffrés que ici reculle de vous failie santé Pereuiie,
GVILLOT.	GUILOT.
Ragotin ne me quitte pas	Ragotin ne me quitte pas
RAGOTIN.	RAGOTIN.
Monſieur ie crains trop le trepas, Permettés moy que ie m’en aille	Monsieur ainsi crains trop le trépas, Permettés moi que tu m'en aille
GVILLOT.	GUILOT.
Ie crains auſſi cette canaille,	Je crains aussi cette canaille,
LA TOPINIERE.	LA TOPINIÈRE.
Commençons par le Sieur Guillot Et nous finirons par Ragot.	Commençons par le Sieur Guillot Et nous finirons par Ragot.
GVILLOT Ragouin inettons lous en garde	GUILOT Ragouin inertons lous en garde
RAGOTIN.	RAGOTIN.
Moy Monſieur helas ie n’ay garde,	Moi Monsieur hélas Madame n'ai garde,
RAGOTIN Monfſeur le vay cret à Taide Au meurtre, vn Diable nous poſſede,	RAGOTIN Monfseur le vais cret à Taide Au meurtre, un Diable nous possède,
LA TOPINLERE Quelqu’vn, à la force, au voleur	LA TOPINLERE Quelqu'un, à la force, au voleur
SCENNE XIII.	SCÈNE XIII.
LE DOCTEVR Vi peut cauſer cette rumeur,	LE DOCTEUR Vi peut causer cette rumeur,
GVILLOT.	GUILOT.
Ce drolle qui veut voſtre fille Mais il faut qu’icy le l’eſtriiſe, LA	Ce drolle qui veut votre fille Mais il faut qu'ici le l'étriise, LA
LA TOPINIERE par deſſus le Docteur Ce n’eſt rien qu’vn quoquin Monſieur	LA TOPINIÈRE par dessus le Docteur Ce n'est rien qu'un quoquin Monsieur
GVILLOT par deſſus le Docteur C’eſt vn archy faquin Docteur,	GUILOT par dessus le Docteur C'est un archi faquin Docteur,
LE DOCTEVR La de monſtration m’outrage N’en faites donc pas dauantage,	LE DOCTEUR La de montration m'outrage N'en faites donc pas davantage,
RAGOTIN.	RAGOTIN.
Helas où nous fourerons nous	Hélas où nous fourerons nous
TARASQIN.	TARASÊQIN.
Nous alons auoir mille coups.	Nous allons avoir mille coups.
SCENNE XIV.	SCÈNE XIV.
LEANDNE	LEANDNE
Vi fait ce bruit quel tintamare Ah, vous aurés cent coups de barie, Ie vous fracaſſeray les bras Il parle aux Amans Ridicules & les frape.	Vi fait ce bruit quel tintamare Ah, vous aurez cent coups de barie, Je vous fracasserai les bras Il parle aux Amants Ridicules et les frappe.
Des Galans Ridicules s'enfuiant diſent:	Des Galants Ridicules s'enfuyant disent:
Que nous ne vous attendons pas,	Que nous ne vous attendons pas,
LE DOCTEVR Comme ils gagnent tous la guerite omuiqui les doue eit dence,	LE DOCTEUR Comme ils gagnent tous la guérite omuiqui les doue eit denee,
LE ANDRE Comment, eſtre perturbateurs De ce grand Docteur des Docteurs,	LE ANDRÉ Comment, être perturbateurs De ce grand Docteur des Docteurs,
LE DOCTEVR Mais qui vange l momentute	LE DOCTEUR Mais qui venge l momentute
LEANDRE Quoy s’adreſſer à la ſcience, O dieux qu’elle temerité	LÉANDRE Quoi s'adresser à la science, Ô dieux elle temerité
LE DOCTEVR Vous que i’ay tantoſt rebuté, Ati do ell Ele ne cele aence Que faut il pour vous que ie face,	LE DOCTEUR Vous que j'ai tantôt rebuté, Ati do él Éle ne cèle aence Que faut il pour vous que sans face,
LEANDRE M’acorder Tobiet de mes veux Si vous voulés me rendre heureux,	LÉANDRE M'acorder Tobjet de mes veux Si vous voulez me rendre heureux,
LE DOCTEVR Oüy ie vous l’acorde Leandre	LE DOCTEUR Oui je vous l'acorde Leandre
LEIECDRE Tout vient à point qui peut attendre, Monſieur-----	LEICDRE Tout vient à point qui peut attendre, Monsieur-
L'E DOCTEVR Ma fille aprochés vous Leandre ſeta voſtre eſpoux,	L'E DOCTEUR Ma fille approchez vous Léandre seta votre époux,
SCENNE derniere.	SCÈNE dernière.
