POLYEVCTE, Seigneur d’Armenie, gendre de Felix,	POLYEUCTE, Seigneur d'Arménie, gendre de Félix,
Vous ſçauez quelle fut cette grande iournée Que ſa perte pour nous rendit ſi fortunée, Où l’Empereur captif par ſa main dégagé R’aſſeura ſon party deſia découragé Tandis que ſa vertu ſuccomba ſous le nombre :	Vous savez quelle fut cette grande journée Que sa perte pour nous rendit si fortunée, Où l'Empereur captif par sa main dégagé R'assura son parti déjà découragé Tandis que sa vertu succomba sous le nombre :
Vous ſçauez les honneurs qu’on fit faire à ſon ombre Apres qu’entre les morts on ne le peut trouuer Le Roy de Perſe auſſi l’auoit fait enleuer, Teſmoin de ſes hauts faits, encor qu’à ſon dommage, Il en voulut tout mort connoiſtre le viſage, On le mit dans ſa tente, où tout percé de coups Chacun plaignit ſon ſort bien qu’il en fut jaloux.	Vous savez les honneurs qu'on fit faire à son ombre Après qu'entre les morts on ne le peut trouver Le Roi de Perse aussi l'avait fait enlever, Témoin de ses hauts faits, encor qu'à son dommage, Il en voulut tout mort connaître le visage, On le mit dans sa tente, où tout percé de coups Chacun plaignit son sort bien qu'il en fut jaloux.
Là bien-toſt il monſtra quelque ſigne de vie, Ce genereux Monarque en eut l’ame rauie, Et vaiucn qu’il eſtoit oublia ſon malheur Pour dans ſon autheur meſme honorer la valeur ;	Là bientôt il montra quelque signe de vie, Ce généreux Monarque en eut l'âme ravie, Et vaiucn qu'il était oublia son malheur Pour dans son auteur même honorer la valeur ;
Il en fit prendre ſoin, la cure en fut ſectette, Et comme au bout d’vn mois ſa ſanté fut parfaite, 1 21 Il offrit dignitez, alliance, threſors, Et pour gagner Seuere il fit cent vains efforts.	Il en fit prendre soin, la cure en fut sectette, Et comme au bout d'un mois sa santé fut parfaite, 1 21 Il offrit dignités, alliance, trésors, Et pour gagner Seuère il fit cent vains efforts.
Apres auoir comblé ſes refus de loüange, Il enuoye a Decie en propoſer l’échange, Et ſoudain l’Empereur tranſporté de plaiſir Oſfre au Perſe ſon frere & cent Chefs à choifir.	Après avoir comblé ses refus de louange, Il envoie a Décie en proposer l'échange, Et soudain l'Empereur transporté de plaisir Osfre au Perse son frère et cent Chefs à choisir.
Ainſi reuint au camp le valeureux Seuere De ſa haute vertu receuoir le ſalaire, La faneur de Decie en fut le digne prix, De nouueau l’on combat, & nous ſommes ſurpris.	Ainsi revint au camp le valeureux Sévère De sa haute vertu recevoir le salaire, La faneur de Décie en fut le digne prix, De nouveau l'on combat, et nous sommes surpris.
.	.
Ce malheur toutesfois ſert à-croiſtre ſa gloire, Luy ſeul reſtablit l’ordre, & gagne la victoite, Mais ſi belle & ſi pleine, & par tant de beaux Ifaits Qu'on nous offre tribut, & nous faiſons la Palas.	Ce malheur toutefois sert à-croître sa gloire, Lui seul rétablit l'ordre, et gagne la victoite, Mais si belle et si pleine, et par tant de beaux Ifaits Qu'on nous offre tribut, et nous faisons la Palas.
L’Empereur luy temoigne vne amour infinie, Et rauy du ſuccez l’enuoye en Armenie, Il vient en apporter la nouuelle en ces lieux, Et par vn ſacrifice en rendre grace aux Dieux.	L'Empereur homme témoigne une amour infinie, Et ravi du succès l'envoie en Arménie, Il vient en apporter la nouvelle en ces lieux, Et par un sacrifice en rendre grâce aux Dieux.
FELIX.	FELIX.
O Ciel!	Ô Ciel!
en quel eſtat ma fortune eſt reduite!	en quel état ma fortune est réduite!
ALBIN.	ÀLBIN.
Voilà ce que i’ay ſçeu d’vn homme de ſa ſuite, Et i’ay couru, Seigneur, pour vous y dilpoſer.	Voilà ce que j'ai su d'un homme de sa suite, Et j'ai couru, Seigneur, pour vous y dilposer.
FELIX.	FELIX.
Ah!	Ah!
ſans doute, ma fille, il vient pour t’eſpouſer, L’ordre d’vn facrifice eſt pour luy peu de choſe:	sans doute, ma fille, il vient pour t'épouser, L'ordre d'un sacrifice est pour quelque peu de chose:
C’eſt vn pretexte faux dont l'amnour eſt la cauſe.	C'est un prétexte faux dont l'amnour est la cause.
PAVLINE.	PAULINE.
Cela pourroit bien eſtre, il m’aymoit cherement.	Cela pourrait bien être, il m'aimait chèrement.
FELIX.	FELIX.
Que ne permettra-t il à ſon reſſentiment!	Que ne permettra-t -il à son ressentiment!
Et iuſques à quel poinct ne porte ſa vengeance Vne iuſte colere auec tant de puiſſance:	Et jusques à quel point ne porte sa vengeance Ône juste colère auec Roi de puissance:
Il nous perdra, ma fille.	Il nous perdra, ma fille.
PAVLINE.	PAULINE.
Il eſt trop genereux.	Il est trop généreux.
FELIX.	FELIX.
Tu veux flatter en vain vn pere malheureux, Il nous perdra, ma fille.	Tu veux flatter en vain un père malheureux, Il nous perdra, ma fille.
Ah!	Ah!
regret qui me tuë De n’auoir pas aimé la vertu toute nuë!	regret qui me tue De n'avoir pas aimé la vertu toute nue!
Ah!	Ah!
Pauline, en effet tu m’as trop obey, Ton courage eſtoit bon, ron deuoir l’a ttahy.	Pauline, en effet tu m'as trop obéi, Ton courage était bon, ron devoir l'a tahi.
Que ta rebellion m’euſt eſté fauorable!	Que ta rébellion m'eût été favorable!
Qu'elle m’euſt garanty d’vn eſtat déplorable!	Qu'elle m'eût garanti d'un état déplorable!
Si quelque eſpoir me reſte, il n’eſt plus auiourd’huy Qu'en l’abſolu pouuoir qu’il re donnoit ſur Iuy :	Si quelque espoir me reste, il n'est plus aujourd'hui Qu'en l'absolu pouvoir qu'il re donnait sur Jui :
Ménage en ma faueur l'amour qui le puneue, Et d’où prouient mon mal fay ſortir le remede.	Ménage en ma faveur l'amour qui le punève, Et d'où provient mon mal fais sortir le remède.
PAVLINE.	PAULINE.
Moy, moy, que ie reuoye vn ſi puiſſant vainqueur Et m’expoſe à des yeux qui me percent le cœur ?	Moi, moi, que ici revoie un si puissant vainqueur Et m'expose à des yeux qui me percent le cœur ?
Mon pere, ie ſuis femme:	Mon père, ie suis femme:
& ie ſçay ma foibleſſe, Ie ſens deſia mon cœur qui pour luy s’intereſſe, Et pouſſera ſans doute en dépit de ma foy Quelque ſouſpir indigne & de vous & de moy.	et ie sais ma faiblesse, Je sens déjà mon cœur qui pour lui s'intéresse, Et poussera sans doute en dépit de ma foi Quelque soupir indigne et de vous et de moi.
Ie ne le vetray point.	Je ne le vétrai point.
FELIX.	FELIX.
R’aſſeure vn peu ton ame.	R'assure un peu ton âme.
PAVLINE.	PAULINE.
Il eſt touſiours aymable, & ie ſuis touſiours femme, Dans le pouuoir ſur moy que ſes regards ont eu Ie ne me répons pas de toute ma vertu.	Il est toujours aimable, et Seigneur suis toujours femme, Dans le pouvoir sur moi que ses regards ont eu Je ne me réponds pas de toute ma vertu.
le ne le vurraj poles.	le ne le vuraj pôles.
FELIX.	FELIX.
Il faut le voir, ma fille, Ou tu trahis ton pere & toute ta famille.	Il faut le voir, ma fille, Ou tu trahis ton père et toute ta famille.
PAVLINE.	PAULINE.
C’eſt à moy d’obeyr puis que vous commandez, Mais voyez le peril où vous me hazardez.	C'est à moi d'obéir puis que vous commandez, Mais voyez le péril où vous me hasardez.
FELIX.	FELIX.
Ta vertu m’eſt connuë.	Ta vertu m'est connue.
2 L PAVLINE.	2 L PAULINE.
Elle vaincra ſans doute, Ce n’eſt pas le ſuccez que mon ame redoute, Ie crains ce dur combat & ces troubles puiſſans Que fait deſia chez moy la reuolte des ſens.	Elle vaincra sans doute, Ce n'est pas le succès que mon âme redoute, Je crains ce dur combat et ces troubles puissants Que fait déjà chez moi la révolte des sens.
Mais puiſqu’il faut combatre va ennemy que i’ayme.	Mais puisqu'il faut combattre va ennemi que j'aime.
Souffrez que ie me puiſſe armer contre moymeſme, Le qu'vn peude lom me plepale alcven.	Souffrez que personne me puisse armer contre moymesme, Le qu'ap peude lom me pleale alcen.
FELIX.	FELIX.
Iuſqu’au deuant des murs ie vay le receuoir, R’appelle cependant tes forces eſtonnées, Et ſonge qu’en tes mains tu tiens nos deſtinées.	Jusqu'au devant des murs te vais le recevoir, Rappelle cependant tes forces étonnées, Et songe qu'en tes mains tu tiens nos destinées.
PAVLINE.	PAULINE.
Ouy, ie vay de nouueau dompter mes ſentimens Pour ſeruir de victime à vos commandemens.	Oui, Seigneur vay de nouveau dompter mes sentiments Pour servir de victime à vos commandements.
Fin du premier Acte.	Fin du premier Acte.
AETLASCENE PREMIERE.	AETLASCENE PREMIÈRE.
SEVERE, FABIAN.	SÈVRE, FABIAN.
SEVERE.	SÈVRE.
Ependant que Felix donne ordre au ſacrifice, Pourray-je prendre vn temps à mes vœux ſi propice, Pourray-je voir Pauline & rendre à ſes beaux yeux L’hommage ſouuerain que l’on va rendre aux Cieun.	Ependant que Félix donne ordre au sacrifice, Pourrai-je prendre un temps à mes vœux si propice, Pourrai-je voir Pauline et rendre à ses beaux yeux L'hommage souverain que l'on va rendre aux Cieun.
Ie ne t’ay point celé que c’eſt ce qui m’améne, Du reſte mon elprit ne s'en met guere en peine, Ie viens ſacrifier, mais c’eſt à ſes beautez Que ie viens immoler toutes mes volontez.	Je ne t'ai point celé que c'est ce qui m'amène, Du reste mon elprit ne s'en met guère en peine, Je viens sacrifier, mais c'est à ses beautés Que ie ainsi immoler toutes mes volontés.
FABIAN.	FABIAN.
Vous la verrez, Seigneur.	Vous la verrez, Seigneur.
SEVERE.	SÈVRE.
Ah!	Ah!
quel comble de joye?	quel comble de joie?
Cét adorable objet conſent que ie la voye:	Cet adorable objet consent que ici la voie:
Mais ay-je ſur ſon ame encor quelque pouuoir?	Mais ai-je sur son âme encor quelque pouvoir?
En luy parlant de moy l’as-tu veu s’émouuoir?	En tu parlant de moi l'as-tu vu s'émouvoir?
Quel trouble, quel tranſport luy cauſe ma venuë?	Quel trouble, quel transports lui cause ma venue?
Puis-je tout eſperer de cette heureuſe veuë?	Puis-je tout espérer de cette heureuse vue?
Car ie voudrois mourir plutoſt que d’abuſer Des lettres de faueur que i’ay pour l’eſpouſer;	Car ie voudrais mourir plutôt que d'abuser Des lettres de faveur que j'ai pour l'épouser;
Elles ſont pour Felix, non pour triompher d’elle Iamais à ſes deſirs mon cœur ne fut rebelle, ni ni inon mauaure fort auoit changé le ſien, Ie me vaincrois moymeſme & ne pretendrois rien, 2 121	Elles sont pour Félix, non pour triompher d'elle Jamais à ses désirs mon cœur ne fut rebelle, ni ni inon maure fort avait changé le sien, Je me vaincrais moymesme et ne prétendrais rien, 2 121
PABIAN.	PABIAN.
Vous la verrez, c’eſt tout ce que ie vous puis dire.	Vous la verrez, c'est tout ce que je vous puis dire.
SEVERE.	SÈVRE.
D’où vient que tu fremis, & que ton cœur ſoûpire?	D'où vient que tu frémis, et que ton cœur soupire?
Ne m’ayme-t-elle plus?	Ne m'aime-t-elle plus?
eſclaircy-moy ce point.	éclairci-moi ce point.
FABIAN.	FABIAN.
M’en croirez vous, Seigneur?	M'en croirez -vous, Seigneur?
ne la reuoyez point, Portez en lieu plus haut l’honneur de vos careſſes, Vous trouuerez à Rome aſſez d’autres maiadenles 5 Et dans ce haut degré de puiſſance & d’honneur M1 Les plus grands y tiendront voſtre amour à bon-heur.	ne la revoyez point, Portez en lieu plus haut l'honneur de vos caresses, Vous trouverez à Rome assez d'autres madenles 5 Et dans ce haut degré de puissance et d'honneur M1 Les plus grands y tiendront votre amour à bonheur.
EVERE.	EUERE.
Qu'à des penſers ſi bas mon ame ſe rauale?	Qu'à des pensers si bas mon âme se ravale?
B vj Que ie tienne Pauline à mon ſort inégale!	 Que ie tienne Pauline à mon sort inégale!
Elle en a mieux vſé, ie la dois imiter, Ie n’ayme mon bon heur que pour la meritet.	Elle en a mieux usé, ie la dois imiter, Je n'aime mon bon heur que pour la méritet.
Voyons-la, Fabian, ton diſcours m’importune;	Voyons-la, Fabian, ton discours m'importune;
Allons mettre à ſes pieds cette haute fortune, Ie l’ay dans les combats trouuée heureuſement En cherchant vne mort digne de ſon amant, iinin ce rang eit nen, cette iaueur eſt ſſenue.	Allons mettre à ses pieds cette haute fortune, Je l'ai dans les combats trouvée heureusement En cherchant une mort digne de son amant, jin ce rang eit nen, cette javeur est sensenue.
Et ie n’ay rien enfin que d’elle ie ne tienne.	Et ici n'ai rien enfin que d'elle avait ne tienne.
FABIAN.	FABIAN.
Non, mais encor vn coup ne la reuoyez point.	Non, mais encor un coup ne la revoyez point.
SEVERE.	SÈVRE.
Ah!	Ah!
c’en eſt trop, enfin eſclaircy-moy ce point, As-tu veu des lolueurs quand tu l'en as priée?	c'en est trop, enfin éclairci-moi ce point, As-tu vu des lolueurs quand tu l'en as priée?
FABIAN.	FABIAN.
Ie tremble à vous le dire, elſe eſt.	Je tremble à vous le dire, else est.
SEVERE.	SÈVRE.
Quoy?	Quoi?
Mariée.	Mariée.
FABIAN.	FABIAN.
SEVERE.	SÈVRE.
couſtren-moy, rabian, ce coup de loudre eſt grand, Et frappe d’autant plus que plus il me ſurprend.	coutren-moi, rabian, ce coup de loudre est grand, Et frappe d'autant plus que plus il me surprend.
FABIAN.	FABIAN.
Seigneur, qu’eſt deuenu ce genereux courage?	Seigneur, qu'est devenu ce généreux courage?
SEVERE.	SÈVRE.
La conſtance eſt icy d’vn difficile vſage, De pareils deſplaiſirs accablent vn grand cœur, La vertu la plus maſle en perd toute vigueur.	La constance est ici d'une difficile usage, De pareils déplaisirs accablent un grand cœur, La vertu la plus mâle en perd toute vigueur.
Et quand d’vn feu ſi beau les ames ſont épriſes, La mort les trouble moins qne de telles ſurpriſes.	Et quand d'un feu si beau les âmes sont éprises, La mort les trouble moins qne de telles surprises.
I'ay de la peine encor à croire tes diſcours, Pauline eſt mariée!	J'ai de la peine encor à croire tes discours, Pauline est mariée!
FABIAN.	FABIAN.
Ouy, depuis quinze iours.	Oui, depuis quinze jours.
Polyeucte, vn Seigneur des premiers d’Armenie Gouſte de ſon Hymen la douceur infinie.	Polieute, un Seigneur des premiers d'Arménie Goûte de son Hymen la douceur infinie.
SEVERE.	SÈVRE.
Ie ne la puis du moins blaſmer d'vn mauuais choix, Polyeucte a du nom, & ſort du ſang des Rois.	Je ne la puis du moins blâmer d'un mauvais choix, Polieute a du nom, et sort du sang des Rois.
Foibles ſoulagemens d’vn malheur ſans remede, Pauline, ie verray qu’vn autre vous poſſede!	Faibles soulagements d'un malheur sans remède, Pauline, Elle verrai qu'un autre vous possède!
O Ciel qui malgré-moy me renuoyez au iour, O ſort qui redonniez l’eſpoir à mon amour, Reprenez la faueur que vous m’auez preſtée, En rendez-moy la mort que vous m’auez oſtét Voyons la touiesfois, & dans ce triſte lieu Acheuons de mourir en luy diſant Adieu, Que mon cœur chez les morts emportant ſon image, De ſon dernier ſoûpir luy puiſſe faire hommage.	Ô Ciel qui malgré-moi me renvoyez au jour, Ô sort qui redonniez l'espoir à mon amour, Reprenez la faveur que vous m'avez prêtée, En rendez-moi la mort que vous m'avez ostét Oyons la touiesfois, et dans ce triste lieu Achevons de mourir en lui disant Adieu, Que mon cœur chez les morts emportant son image, De son dernier soupir lui puisse faire hommage.
FABIAN.	FABIAN.
Seigneur, conſiderez.	Seigneur, considérez.
SEVERE.	SÈVRE.
Tout eſt' conſideré.	Tout est considéré.
Quel deſordre peut craindre vn cœur deſeſperé?	Quel désordre peut craindre un cœur désespéré?
N’y conſent-elle pas?	N'y consent-elle pas?
FABIAN.	FABIAN.
Ouy, Seigneur, mais.	Oui, Seigneur, mais.
SEVERE.	SÈVRE.
N’importe.	N'importe.
FABIAN.	FABIAN.
Cette viue douleur en deuiendra plus forte.	Cette vive douleur en deviendra plus forte.
SEVERE.	SÈVRE.
nt ce mea pas vi mai que le vueiſſe guerir.	naît ce mea pas vi mai que le vueisse guérir.
Ie ne veux que la voir, ſoûpirer & mourir.	Je ne veux que la voir, soupirer et mourir.
FABIAN.	FABIAN.
Vous vous échapperez ſans doute en ſa preſence Vn amant qui perd tout n’a plus de complaiſance, Dans vn telentretien il iuit la paſſion, Et ne pouſſe qu’injure & qu’imprecation.	Vous vous échapperez sans doute en sa présence Un amant qui perd tout n'a plus de complaisance, Dans un telentretien il juit la passion, Et ne pousse qu'injure et qu'imprécation.
SEVERE.	SÈVRE.
Iuge autrement de moy, mon reſpect dure encore, Tout violent qu’il eſt mon deſeſpoir l’adore, Quels reproches auſſi peuuent m’eſtre permis?	Juge autrement de moi, mon respect dure encore, Tout violent qu'il est mon désespoir l'adore, Quels reproches aussi peuvent m'être permis?
Dequoy puis-je aceuſer qui ne m’a rien promis?	Dequoy puis-je acuser qui ne m'a rien promis?
Elle n’eſt point parjure, elle n’eſt point legere, Son deuoir m’a trahy, mon malheur, & ſon pere.	Elle n'est point parjure, elle n'est point légère, Son devoir m'a trahi, mon malheur, et son père.
Mais ſon deuoir fut iuſte, & ſon pere eut raiſon, 2 I’impute à mon malheur toute la trahiſon, Vn peu moins de fortune & plutoſt arriuée Euſt gagné l’vn par l’autre & me l’euſt conſeruét, Trop heureux, mais trop tard, ie n’ay pût l'acquerir, Laiſſe-la moy donc voir, ſoûpirer, & mourir,	Mais son devoir fut juste, et son père eut raison, 2 J'impute à mon malheur toute la trahison, Un peu moins de fortune et plutôt arrivée Eutôt gagné l'un par l'autre et me l'eût conservet, Trop heureux, mais trop tard, elle n'ai pût l'acquérir, Laisse-la moi donc voir, mai, et mourir,
FABIAN.	FABIAN.
Ouy, ie vay l’aſſeurer qu’en ce malheur extréme, Vous eſtes aſſez fort pour vous vaincre vous* meſme;	Oui, Seigneur vais l'assurer qu'en ce malheur extrême, Vous êtes assez fort pour vous vaincre vous* même;
Elle a craint comme moy ces premiers mouuemens Qu’vne perte impreueuë arrache aux vrays amans Et dont la violence excite aſſez de trouble;	Elle a crainte comme moi ces premiers mouvements Qu'une perte impreueuë arrache aux vrais amants Et dont la violence excite assez de trouble;
Sans que l’objet preſent l’irrite & le redouble,	Sans que l'objet présent l'irrite et le redouble,
S’EVERE.	S'EURE.
Fabian, ie la voy.	Fabian, Seigneur la vois.
FABIAN.	FABIAN.
Seigneur, ſouuenez-vous.	Seigneur, souvenez-vous.
SEVERE.	SÈVRE.
Helas, elle ayme vn autre, vn autre eſt ſon eſpoux.	Hélas, elle aime un autre, un autre est son époux.
SCENE II.	SCÈNE II.
SEVERE, PAVLINE, STRATONICE, FABIAN.	SÈVRE, PAULINE, STRATONICE, FABIAN.
,ie l’ayme Seuere, & n’en fais point d’excuſe,;	Çie l'aime Seuère, et n'en fais point d'excuse,;
Que tout autre que moy vous flatte & vous abuſe, Pauline a l’ame noble & parle à cœur ouuert, Le bruit de voſtre mort n’eſt point ce qui vous:	Que tout autre que moi vous flatte et vous abuse, Pauline a l'âme noble et parle à cœur ouvert, Le bruit de votre mort n'est point ce qui vous:
perd, Si Ciel en mon choix eut mis mon Hymenée A vous ſeules vertus ie me ſerois donnee, Et toutes la rigeur de voſtre premier ſort Contre voſtre merite euſt fait vn vain effort, Ie découurois en vous d’aſſez illuſtres marques Pour vous preferer meſme aux plus heureux Monarques:	perd, Si Ciel en mon choix eut mis mon Hyménée À vous seules vertus ie me serais donnée, Et toutes la rigeur de votre premier sort Contre votre mérite eût fait un vain effort, Je découvrais en vous d'assez illustres marques Pour vous préférer même aux plus heureux Monarques:
Mais puiſque mon deuoir m’impoſoit d’autres loix, De quelque amant pour moy, qu’euſt mon pere fait choix, Quand à ce grand pouuoir que la valeur vous donne.	Mais puisque mon devoir m'imposait d'autres lois, De quelque amant pour moi, qu'eût mon père fait choix, Quand à ce grand pouvoir que la valeur vous donne.
Vous auriez adjouſte l’eſclat d’vne Couronne, Quand ie vous aurois veu, quand ie l’aurois hayI'en aurois ſoûpiré, mais i’aurois obey, Et ſur mes paſſions la raiſon ſouueraine Euſt blâmé mes ſoûpirs & diſſipé ma haine.	Vous auriez ajoute l'éclat d'une Couronne, Quand je vous aurais vu, quand Elle l'aurais haïen aurais soupiré, mais j'aurais obéis, Et sur mes passions la raison souveraine Eut blâmé mes soupirs et dissipé ma haine.
SEVERE.	SÈVRE.
Que vous eſtes heureuſe, & qu’vn peu de ſoûpirs Vous acquite aiſément de tous vos déplaiſirs Ainſi de vos deſirs touſiours Reine abſoluë, Les plus grands changemens vous trouuent reſoluë, De la plus forte amour vous portez vos eſprits Iuſqu’à l’indifference, & peut-eſtre au mépris, Et voſtre fermeté fait ſucceder ſans peine La faueur au mépris, & l’amour à la haine.	Que vous êtes heureuse, et qu'un peu de soupirs Vous acquite aisément de tous vos déplaisirs Ainsi de vos désirs toujours Reine absolue, Les plus grands changements vous trouvent résolue, De la plus forte amour vous portez vos esprits Jusqu'à l'indifférence, et peut-être au mépris, Et votre fermeté fait succéder sans peine La faveur au mépris, et l'amour à la haine.
Qu’vn peu de voſtre humeur ou de voſtre vertu Soulageroit les maux de ce cœur abbatu!	Qu'un peu de votre humeur ou de votre vertu Soulagerait les maux de ce cœur abattu!
Vn ſoûpir, vne larme à regret épanduë M’auroit deſia guery de vous auoir perduë, Ma raiſon pourroit tout ſur l’amour affoibly.	Un soupir, une larme à regret épandue M'aurait déjà guéri de vous avoir perdue, Ma raison pourrait tout sur l'amour affaibli.
Et de l’indifference iroit iuſqu'à l'oubly, Et mon feu deſormais ſe reglant ſur le voſtre, Ie me tiendrois heureux entre les bras d’vn autre, O trop aymable objet qui m’auez trop charmé, Eſt ce là comme on ayme, & m’auez-vous aymé?	Et de l'indifférence irait jusqu'à l'oubli, Et mon feu désormais se réglant sur le vôtre, Je me tiendrais heureux entre les bras d'un autre, AIS trop aimable objet qui m'avez trop charmé, Est -ce là comme on aime, et m'avez-vous aimé?
PAVLINE.	PAULINE.
Ie vous aymay, Seuere, & ſi dedans mon ame Ie pouuois eſtouffer le reſte de ma flame, Dieux, que j’éuiterois de rigoureux tourmens !	Je vous aimai, Suère, et si dedans mon âme Je pouvais étouffer le reste de ma flamme, Dieux, que j'éviterais de rigoureux tourments !
Ma raiſon, il eſt vray, dompte mes mouuemens, Mais quelque authorité que ſur eux elle ait priſe, Elle n’y regne pas, elle les tyranniſe, Et quoy que le dehors ſoit ſans émotion, Le dedans n’eſt que trouble & que ſedition, Vn ie ne ſçay quel charme encor vers vous m’emporte, 43 Voſtre merite eſt grand ſi ma raiſon eſt forte, Ie le vois encor tel qu’il alluma mes feux D’autant plus puiſſammenr ſolliciter mes vœux, Qu’il eſt enuironné de puiſſance & de gloire, Qu’en tous lieux apres vous il traiſne la victoire, Que i’en ſçay mieux le prix, & qu’il n’a point deceu Le genereux eſpoir que i’en auois conceu.	Ma raison, il est vrai, dompte mes mouvements, Mais quelque autorité que sur eux elle ait prise, Elle n'y règne pas, elle les tyrannise, Et quoi que le dehors soit sans émotion, Le dedans n'est que trouble et que sédition, Ven çne rai quel charme encor vers vous m'emporte, 43 Votre mérite est grand si ma raison est forte, Je le vois encor tel qu'il alluma mes feux D'autant plus puissamenr solliciter mes vœux, Qu'il est environné de puissance et de gloire, Qu'en tous lieux après vous il traîne la victoire, Que j'en sais mieux le prix, et qu'il na point deceu Le ' espoir que en au conceu.
Mais ce meſme deuoir qui le vainquit dans Rome Et qui me range icy deſſous les loix d’vn homme Repouſſe encor ſi bien l’effort de tant d’appas Qu’il déchire mon ame & ne l’ébranſle pas.	Mais ce même devoir qui le vainquit dans Rome Et qui me range ici dessous les lois d'un homme Repousse encor si bien l'effort de tant d'appas Qu'il déchire mon âme et ne l'ébranle pas.
C’eſt cette vertu meſme à nos deſirs cruelle Que vous loüiez alors en blaſphemant contre elle, Plaignez-vous-en encor, mais loüez ſa rigueur Qui triomphe à la fois de vous & de mon cœur.	C'est cette vertu même à nos désirs cruelle Que vous louiez alors en blasphémant contre elle, Plaignez-vous-en encor, mais louez sa rigueur Qui triomphe à la fois de vous et de mon cœur.
De plus bas ſentimes n’auroient pas meritée Cette parfaite amour que’vous m’auez portée.	De plus bas sentîmes n'auraient pas méritée Cette parfaite amour que'vous m'avez portée.
SEVERE.	SÈVRE.
Ah, Pauline, excuſez vne aueugle douleur Qui ne connoit plus rien que l’excez du malheur, Ie nommois inconſtance & prenois pour des crimes D’vn vertueux deuoir les efforts legitimes.	Ah, Pauline, excusez une aveugle douleur Qui ne connaît plus rien que l'excès du malheur, Je nommais inconstance et prenais pour des crimes D'Un vertueux devoir les efforts légitimes.
De graee, monſtrez moins à mes ſens deſolez La grandeur de ma perte & ce que vous valez, Et cachant par pitié cette vertu ſi rarc Qui redouble mes feux lors qu’elle nous ſepare, Faites voir des defauts qui puiſſent à leur tour Affoiblir ma douleur auecque mon amour.	De grace, montrez moins à mes sens désolés La grandeur de ma perte et ce que vous valez, Et cachant par pitié cette vertu si rarc Qui redouble mes feux lors qu'elle nous sépare, Faites voir des défauts qui puissent à leur tour Affaiblir ma douleur avec mon amour.
PAVLINE.	PAULINE.
Helas!	Hélas!
cette vertu quoy qu’enfin inuincible Ne laiſſe que trop voir vne ame trop ſenſible, Ces pleurs en ſont témoins & ces lâches ſoûpirs Qu’arrachent de nos feux les cruels ſouuenirs, Trop rigoureux effets d’vne aimable preſence Contre qui mon deuoir a trop peu de deffenſe, Mais ſi vous eſtimez ce vertueux deuoir, Conſeruez-m’en la gloire & ceſſez de me voir, Eſpargnez-moy des pleurs qui coulent à ma honte, Eſpargnez moy des leux qu'a legret ie ſurmonte, Enfin eſpargnez-moy ces triſtes entretiens Qui ne font qu’irriter vos tourmens & les miens.	cette vertu quoi qu'enfin invincible Ne laisse que trop voir une âme trop sensible, Ces pleurs en sont témoins et ces lâches soupirs Qu'arrachent de nos feux les cruels souvenirs, Trop rigoureux effets d'une aimable présence Contre qui mon devoir à trop peu de défense, Mais si vous estimez ce vertueux devoir, Conservez-m'en la gloire et cessez de me voir, Épargnez-moi des pleurs qui coulent à ma honte, Épargnez -moi des leux qu'a l' a surmonte, Enfin épargnez-moi ces tristes entretiens Qui ne font qu'irriter vos tourments et les miens.
SEVERE.	SÈVRE.
Que ie me priue ainſi du ſeul bien qui me reſte!	Que ie me prive ainsi du seul bien qui me reste!
PAVLINE.	PAULINE.
Sauuez-vous d’vne;	Sauvez-vous d'une;
veuë à tous les deux fuheſte.	vue à tous les deux fuheste.
SEVERE.	SÈVRE.
Quel prix de mon uuiuni quei naut de mes trauaux!	Quel prix de mon ouviuni quei naut de mes travaux!
AIVLIN LE C’eſt le remede ſeul qui peut guerir nos maux.	ÀIVLIN LE C'est le remède seul qui peut guérir nos maux.
EVERE.	EUERE.
Ie veux mourir des miens, aymez-en la memoire.	Je veux mourir des miens, aimez-en la mémoire.
PAPBINE.	PAPBINE.
Je veux guerir des miens, ils ſoüilleroient me gloire.	Je veux guérir des miens, ils soüilleroient me gloire.
on a l'iio n	on a l'io n
SEVERE.	SÈVRE.
Ah, puis que voſtre gloire en prononce l’Arreſt Il faut que mon honneur cede à ſon intereſt, D’vn cœur comme le mien qu’eſt-ce qu’elle n’obtienne?	Ah, puis que votre gloire en prononce l'Arrêt Il faut que mon honneur cède à son intérêt, D'un cœur comme le mien qu'est-ce qu'elle n'obtienne?
2 Vous réueillez les ſoins que ie dois à la mienne, Adieu, ie vay chercher au milieu des combats Cette immortalité que donne vn beau trépas, Et remplir dignement par vne mort pompeuſe De mes premiers exploits l’attente auantageuſe, Si toutesfois apres ce coup mortel du ſort I’ay de la vie aſſez pour chercher vne mort.	2 Vous réveillez les soins que femme dois à la mienne, Adieu, ie tu chercher au milieu des combats Cette immortalité que donne un beau trépas, Et remplir dignement par une mort pompeuse De mes premiers exploits l'attente avantageuse, Si toutefois après ce coup mortel du sort J'ai de la vie assez pour chercher une mort.
PAVLINE.	PAULINE.
