2 TuE LES TESEDROVL L Man.	2 TuE LES TESEDROUL L An.
S’il eust ſceu que le vin est le Roy de franchize, Tous ſes imitateurs ſeroient icy venus.	S'il eût su que le vin est le Roi de franchise, Tous ses imitateurs seraient ici venus.
Calyante.	Calyante.
C’eſt à cauſe d’amou, quoueurort trouppe Aux beautez de la terre erige des autels.	C'est à cause d'amou, quoueurort troupe Aux beautés de la terre erige des autels.
Guillaume.	Guillaume.
On recognoist bien mieux a leſclat dvne couppe Tout ce que fait Bacchus auecque les mortels,	On reconnaît bien mieux a lesclat dune couppe Tout ce que fait Bacchus auecque les mortels,
Calyante.	Calyante.
Tout adore içy bas cette fureur diuine, Et l'horreur de la mort y trouue des appas.	Tout adore içi bas cette fureur divine, Et l'horreur de la mort y trouve des appas.
Calkissalaime.	Calkissalaime.
Cette liqueur eſt bien vnɇ autre medecine Pour iouër vne trouſſe, au pouuoir du treſpas.	Cette liqueur est bien vnɇ autre médecine Pour jouer un trousse, au pouvoir du trépas.
Calyante.	Calyante.
Quand la fidelité minutte vn mariage On ne voit rien d’eſgal au bon-heur d’vn amans.	Quand la fidélité minute un mariage On ne voit rien d'égal au bonheur d'Homme amants.
Guillaume.	Guillaume.
Quand de mille poinçons ma gorge a le triage, Tout n’a rien de pareil à ce contentement.	Quand de mille poinçons ma gorge a le triage, Tout n'a rien de pareil à ce contentement.
Calyante.	Calyante.
C’est en l’honneur d’amour qu’vne ame genereuſe	C'est en l'honneur d'amour qu'une âme généreuse
C ii	Ç Ci
S TONS	 SONS
Guillaume.	Guillaume.
Cent verres animez du vin de Fougereuze, On prochranon de in finmontaltxera	Cent verres animés du vin de Fougereze, On prochanon de in finmontaltxera
Calyante.	Calyante.
Que ie cheris l’honneur de mon ame captiue.	Que ici chéris l'honneur de mon âme captive.
Guillaume.	Guillaume.
Que ie bois à mon aiſe aſsis ſur cette riue.	Que ici bois à mon aise assis sur cette rive.
Aaare Mais que ie ſuis heureux en ſi belle priſon.	Aaare Mais que ici suis heureux en si belle prison.
GIIHAuIIIC.	GIIHAuIIC.
Printemps preparez-vous à me faire raiſon.	Printemps préparez-vous à me faire raison.
Calyante.	Calyante.
Mais, ſources de criſtal, n’auez-vous point de trace Où l’œil de mon bel Ange ait laiſſé des attraits.	Mais, sources de cristal, n'avez-vous point de trace Où l'œil de mon bel Ange ait laissé des attraits.
MIAIECERAMS O ruiſſeaux, ſi Bacchus vous auoit fait la gracs De-cous faire de vin, ie boirois à longs tratts.	MIAICERAMS Ô ruisseaux, si Bacchus vous avait fait la grâces De-cous faire de vin, votre boirais à longs tratts.
Calyante.	Calyante.
Si la couleur du lys, ſi l’eſclat de ſes roſes Pouuoient repreſenter vn peu de ſa beauté,	Si la couleur du lys, si l'éclat de ses roses Pouvaient représenter un peu de sa beauté,
Guillaume.	Guillaume.
Mais ſi toures ces fleurs, par des metamorphoſes, Me fourniſſoient du vin pour boire à leur Janté.	Mais si toures ces fleurs, par des métamorphoses, Me fournissaient du vin pour boire à leur Janté.
Calyariee.	Calyarie.
Mais objets impuiſſans de mon inquietude, Vous n'auez de l’amour que pour la ſolitude, Vous voulez bien iouyr de pleurs e de ſouſpirs, Vous faictes bien l’amour aux graces des Zephirs, Et vous ne ſouffrez pas que le feu de mon ame Puiſſe ſe faire voir aux beaux yeux de ma Bame;	Mais objets impuissants de mon inquiétude, Vous n'avez de l'amour que pour la solitude, Vous voulez bien jouir de pleurs est de soupirs, Vous faites bien l'amour aux grâces des Zéphyrs, Et vous ne souffrez pas que le feu de mon âme Puisse se faire voir aux beaux yeux de ma Bâme;
Dant mon aueuglement vous me menstrez le iou Ie ne vois que vos feux, & ie bruſle d’amour:	Dant mon aveuglément vous me montrez le jou Je ne vois que vos feux, et toujours brûle d'amour:
Si Diane, du moins, eſclairoit aux ſupplices, Si l’on rendoit hommage à d’autres Artenices, Si tout ce que la nuict a de plus radieux Pouuoit me figures vn rayon de ſes yeux, Si ſes Nymphes aimoient d’vne aſſez bonne grace Pour me peindre l’amour comme il eſt dans ſa face, Que le Cieltireroit de vœux de mon amour, Que ma felicité ſeroit bien de retour, Et que les plus heureux ſeroient dignes de haines, Au prix uu pœu qu'on fait à de ſi belles petnes;	Si Diane, du moins, éclairait aux supplices, Si l'on rendait hommage à d'autres Artenices, Si tout ce que la nuit a de plus radieux Pouvait me figures un rayon de ses yeux, Si ses Nymphes aimaient d'une assez bonne grâce Pour me peindre l'amour comme il est dans sa face, Que le Cieltirerait de vœux de mon amour, Que ma félicité serait bien de retour, Et que les plus heureux seraient dignes de haines, Au prix œu qu'on fait à de si belles petues;
Que ce beau naturel, Artenice, Ah!	Que ce beau naturel, Artenice, Ah!
beau noms Que Cipris d conquis pour faire ſon renom.	beau noms Que Cipris d' conquis pour faire son renom.
Artenicé.	Artenicé.
Calyante.	Calyante.
2haume.	2haume.
Artenice.	Arténice.
Calyante.	Calyante.
Artenice.	Arténice.
Guillaurie.	Guillaurie.
Artenice.	Arténice.
Calyante.	Calyante.
ler e peuns quamuocene quifmuencapiraees	ler e uns quamuocène quifmuencapiraères
Guillaume.	Guillaume.
Non, ie n’ay point d’echo que ceux des cabarets?	Non, Seigneur n'ai point d'écho que ceux des cabarets?
Dites moy, vos amours ſont-ils blancs ou clatrets.	Dites -moi, vos amours sont-ils blancs ou clattrets.
Guillaume.	Guillaume.
Calyante.	Calyante.
Guillaume.	Guillaume.
Calyante.	Calyante.
Caljallce.	Caljaillce.
Eh, nous ſommes enſemble.	Eh, nous sommes ensemble.
Guillaume.	Guillaume.
Eſt-ce point quelque Amãt dõt le port vous reſſemble.	Est-ce point quelque Amants donner le port vous ressemble.
Guillaume.	Guillaume.
Calyante.	Calyante.
Guillaume.	Guillaume.
Calyante.	Calyante.
Calyante.	Calyante.
Eſt-ce vn ſonge.	Est-ce un songe.
Guillaume.	Guillaume.
Carj ante.	Carj ante.
Eſt-ce toy que Nature auoit ſi bien fourny Guillaume.	Est-ce toi que Nature avait si bien fourni Guillaume.
Guillaume.	Guillaume.
Nenny.	Nenni.
Calyante, & bien ouy c'eſt moy-meſme.	Calyante, et bien oui c'est moi-même.
Calyante.	Calyante.
O teſmoignage heureux de mon bon-heur extreſme, Et quoy, cher compagnon, de tant de beaux hazards Que nos cœurs ont franchy dans l’orage de Mars, Eſt-il vray que c’eſt toy qui gouuerne:	Ô témoignage heureux de mon bonheur extrême, Et quoi, cher compagnon, de tant de beaux hasards Que nos cœurs ont franchi dans l'orage de Mars, Est-il vrai que c'est toi qui gouverne:
vne ame Que i’ay miſe en depos dans les yeux de ma Dame?	une âme Que j'ai mise en dépos dans les yeux de ma Dame?
Tu vois vn Caualier que trop de liberté A rangé dans le point de la captiuité;	Tu vois un Cavalier que trop de liberté A rangé dans le point de la captivité;
I’ay change mes habits pour conſeruer ma flame, I’ay déguiſé le corps aux veritez de l’ame:	J'ai change mes habits pour conserver ma flamme, J'ai déguisé le corps aux vérités de l'âme:
De te dire les coups que ce coup genereux A franchy, pour auoir l’heur d’eſtre malheureux, De dire les dangers qu'vne guerre importune Destinoit à mes maux, auecque l’infortune, Ie n’oſerois venir à cette verité, De peur dems porter tuſqu'a tinfinire ;	De te dire les coups que ce coup généreux À franchi, pour avoir l'heur d'être malheureux, De dire les dangers qu'une guerre importune Destinait à mes maux, auecque l'infortune, Je n'oserais venir à cette vérité, De peur dems porter t'a tinfinire ;
Suffiſe ſeulement de te faire le gage De mon affection, par ce nouueau langage.	Suffise seulement de te faire le gage De mon affection, par ce nouveau langage.
Guillaume.	Guillaume.
Auez vous des treſors pour me recompenſer.	Avez -vous des trésors pour me récompenser.
Calyante.	Calyante.
Tu m’obligeras plus que ie ne puis penſers Mais ſi ie vois iamais ma fortune meilleure, Si la grace du ſort me garde vne bonne heure, Aſſeure ton bon-heur que l’onbly n'aura rien Qui puiſſe m'empeſcher de te faire du bien.	Tu m'obligeras plus que je ne puis pensers Mais si ici vois jamais ma fortune meilleure, Si la grâce du sort me garde une bonne heure, Assure ton bonheur que l'onbli n'aura rien Qui puisse m'empêcher de te faire du bien.
Guillaume.	Guillaume.
Si le ſoin de gaigner eſtoit l’heur ou i’afpire, Ie voudrois ſeulement m’acquerir vn Empire.	Si le soin de gagner était l'heur ou j'afire, Je voudrais seulement m'acquérir un Empire.
Voilà ce bras vainqueur ſous qui flechit la terre;	Voilà ce bras vainqueur sous qui fléchit la terre;
Voilà le cout elas qui paſſe pour tonnerre, Voilà ce grand courage à qui tout ſe ſoubmet, Et voicy le ſacraire ou la gloire ſe met:	Voilà le coût élas qui passe pour tonnerre, Voilà ce grand courage à qui tout se soumet, Et voici le sacraire ou la gloire se met:
I’ay monstré tant de fois à l’Europe & l’Affrique;	J'ai montré tant de fois à l'Europe et l'Afrique;
Que mon nom a vaincu l’Aſie & l’Amerique:	Que mon nom a vaincu l'Asie et l'Amérique:
Ie fais plus de terreur d’vn ſeul de mes regards, Que n'en feroit Belonne auecque tous ſes dards;	Je fais plus de terreur d'vn seul de mes regards, Que n'en ferait Belonne auecque tous ses dards;
Tout ce que la Nature a produit de funeſte La flamme, le poiſon, la famine, la peſte, Les plus fameux exploits de ces vieux Empereurs, Ce que Pantagruël a fait dans ſes fureurs, Tout ce que Rabelais raconte de miracles, Ce que nous ont predit les plus fameux Oracles, Les illuſtres du temps, & ceux de l’aduenir, Ce que l’hiſtoire donne à nostre ſouuenir;	Tout ce que la Nature a produit de funeste La flamme, le poison, la famine, la peste, Les plus fameux exploits de ces vieux Empereurs, Ce que Pantagruel a fait dans ses fureurs, Tout ce que Rabelais raconte de miracles, Ce que nous ont prédit les plus fameux Oracles, Les illustres du temps, et ceux de l'avenir, Ce que l'histoire donne à notre souvenir;
Bref, tout ce qui verra la Nature diſſoudre, Moy, Mars, & Iupiter, nous mettons tout en poudre;	Bref, tout ce qui verra la Nature dissoudre, Moi, Mars, et Jupiter, nous mettons tout en poudre;
Ie ſuis auec les Dieux en ſi bonne amitié, Que noſtre bon Vulcain forge tout à moitié;	Je suis avec les Dieux en si bonne amitié, Que notre bon Vulcain forge tout à moitié;
I’ay fait tour ce qu’on dit de faux sde veritable, Et cent mille fois plus:	J'ai fait tour ce qu'on dit de faux séd véritable, Et cent mille fois plus:
mais c’eſtoit à la tabls Comme les autres Dieux, i’aime bien le Nectar, Alexandre n’eſtoit que mon frere baſtard:	mais c'était à la tabls Comme les autres Dieux, j'aime bien le Nectar, Alexandre n'était que mon frère bâtard:
Mais i’aime toutefois, comme il a ſuit, à boire, C’est par là ſeulement que ie cherche la gloire;	Mais j'aime toutefois, comme il a suit, à boire, C'est par là seulement que ie cherche la gloire;
Ipocrate a raiſon de nous faire des loix Qui nous font enyurer vne fois tous les mois;	Ipocrate à raison de nous faire des lois Qui nous font enivrer une fois tous les mois;
Ie fais plus qu’il ne dit, & ma raiſon meilleure Me fait faire le vœu de m’yurer à toute heure:	Je fais plus qu'il ne dit, et ma raison meilleure Me fait faire le vœu de m'yurer à toute heure:
Enfin ie ſuis content, gros, & gras, en bon point, Ie n’ay d’autre ſoucy que de n'en auoir point;	Enfin ie suis content, gros, et gras, en bon point, Je n'ai d'autre souci que de n'en avoir point;
Et apres rout cela, vostre caprice penſe Que ma vie a beſoin de quelque recompenſe:	Et après rout cela, votre caprice pense Que ma vie a besoin de quelque récompense:
Toutefois ie conſens que mon humilité Reçoiue pour object vostre captiuité, Ouurez moy franchement les traits de voſtre flamme, And peNpamnoimen noanno umue paimomume, Noſtre prudence ordonne aux choſes d’icy bas Ce que les hommes font, & ce qu’ils ne font pas.	Toutefois ie consens que mon humilité Reçoive pour object votre captivité, Ouvrez moi franchement les traits de votre flamme, Ands peNpamnoimen nogno umve paimomume, Notre prudence ordonne aux choses d'ici bas Ce que les hommes font, et ce qu'ils ne font pas.
Calyante.	Calyante.
Aimable confident de mon inquietude, Dont l’amitié ſe donne à mon ingratitude, Si i auois reſerué quelque choſe du cœur Dont le feu de ma Reine eſt deſia le vainqueur, Si les traits de ſon œil n’euſſent pas eu la force De prendre ce butin anecque ſon amorce, Que i’aurois de plaiſir à t'en faire vn preſant, Qu'vn choix ſi glorieux me ſembleroit plaiſant?	Aimable confident de mon inquiétude, Dont l'amitié se donne à mon ingratitude, Si j' allais réservé quelque chose du cœur Dont le feu de ma Reine est déjà le vainqueur, Si les traits de son œil n'eussent pas eu la force De prendre ce butin anecque son amorce, Que j'aurais de plaisir à t'en faire un presant, Qu'être choix si glorieux me semblerait plaisant?
Mois tu n'ignore pas qu'Amour a dauantage	Mois -tu n'ignore pas qu'Amour a davantage
1 Que tour ce que les Dieux ont pris pour leur partage, Et qu en donnant moname à ton gouuernement C’eſt ce que tu demande a mon conſentement:	1 Que tour ce que les Dieux ont pris pour leur partage, Et qu en donnant moname à ton gouvernement C'est ce que tu demande à mon consentement:
M'aime tu comme il ſaut,	M'aime tu comme il saut,
Guillaume.	Guillaume.
Comme ie fais ma femme.	Comme ici fais ma femme.
Calyante.	Calyante.
Trouue donc le moyen de raffraiſchir ma flamme, Et puiſque l’ennemy de mon Ange & de moy A choiſi tes conſeils pour luy faire laloy, Que tu lie & deſtie auprez de ſa puiſſance, Que ton ſoin me contraigne à la recognoiſſance Quand tu verras ces yeux ou preſide l’amour, Dis luy ſecrettement que ie ſuis de retour, Entretiens ſes penſees des ſouspirs & des larmes Que i'espands ſi ſouuent en l’honneur de ſes charmes, Que ie me ſuis trahy moy-meſme pour la voir, Et que ma paßion a tout, fors le pouuotr?	Trouve donc le moyen de raffraischir ma flamme, Et puisque l'ennemi de mon Ange et de moi A choisi tes conseils pour lui faire laloi, Que tu lie et destie auprez de sa puissance, Que ton soin me contraigne à la reconnaissance Quand tu verras ces yeux ou preside l'amour, Dis lui secrètement que sans suis de retour, Entretiens ses pensées des soupirs et des larmes Que j'épands si souvent en l'honneur de ses charmes, Que ie me suis trahi moi-même passion a tout, Et que ma passion à tout, fors le pouuotr?
En vn mot ſouuiens toyy ſi ta prudence m'aime, De comparer ce ſoin à l qmour de rõy meſme.	En un mot souviens toii si ta prudence m'aime, De comparer ce soin à l qmour de ren mesme.
Au reſte, ſi tu veux m'obliger doublement, Remarque dans ſes yeux ſon méçontentement, Dis luy que ſi ma mort ne la rendoit ſenſible, Que pour baiſer ſes pas ie ferois l’impoſsible, Que i'irois autrauers des fleches & des dards, Pour iouyr de quelqu’vn de ſes chastes regards;	Au reste, si tu veux m'obliger doublement, Remarque dans ses yeux son méçontentement, Dis lui que si ma mort ne la rendait sensible, Que pour baiser ses pas un ferais l'impossible, Que j'irais autravers des flèches et des dards, Pour jouir de quelqu'vn de ses chastes regards;
Quand elle aura cogneu mon ame par ta bouche, Regarde dans ſon teint comment cela la touche, Prends garde ſi l’amour retient enſeuelis Sous vn peu de rougeur, ſes roſes & ſes lis, Compte tous ſes ſouspirs, & te donne la gloire D'âpporter mon ſalut dans ta belle memoire,	Quand elle aura connu mon âme par ta bouche, Regarde dans son teint comment cela la touche, Prends garde si l'amour retient ensevelis Sous un peu de rougeur, ses roses et ses lis, Compte tous ses soupirs, et te donne la gloire D'âpporter mon salut dans ta belle mémoire,
Guillaume.	Guillaume.
Tout ce que l’artifice aura d’inuentions, Ce qu'on ne fiſt iamais aux autres paſsions, Les mouuemens des ſens, de l’ame, & du viſage, Tous les vices d’vn fol, & les vertus d’vn ſage, Pont et quon nonmne peur, & te qnitne peur pas;	Tout ce que l'artifice aura d'inventions, Ce qu'on ne fît jamais aux autres passions, Les mouvements des sens, de l'âme, et du visage, Tous les vices d'un fol, et les vertus d'un sage, Pont et quon nonmne peur, et te qnitne peur pas;
I'en vais faire vn preſent à ſes diuins appas.	J'en vais faire un présent à ses divins appas.
Calyante.	Calyante.
Cependant laiſſe moy dans ce petit empire, Ou Flore ouure ſon ſein aux baiſers de Zephire;	Cependant laisse moi dans ce petit empire, Ou Flore ouvre ou sein aux baisers de Zéphire;
Il ſemble que ces fleurs ordonnent dans ces lieux De l’enuie à la terre, & de l’amour aux Cieux, C’est afin de les voir, que la nuict & ſes voiles Se laiſſent ſurmonter à l’eſclat des Eſtoilles;	Il semble que ces fleurs ordonnent dans ces lieux De l'envie à la terre, et de l'amour aux Cieux, C'est afin de les voir, que la nuit et ses voiles Se laissent surmonter à l'éclat des Étoilles;
C’eſt icy, ce me ſemble, où l’empire amoureux Aſſemble à ſon plaiſir le nombre des heureux.	C'est ici, ce me semble, où l'empire amoureux Assemble à son plaisir le nombre des heureux.
A voir ce beau ſeiour, on diroit qu'Hymence Prepare des lauriers à noſtre deſtinee:	À voir ce beau séjour, on dirait qu'Hymence Prépare des lauriers à notre destinée:
Mais ie donne ma vie à de foibles appas, Bien que de leur douceur i'attende le trespas:	Mais était donne ma vie à de faibles appas, Bien que de leur douceur j'attende le trépas:
Et puiſque le malheur m'eſtoigne d'Artenice, Ne flattez plus, beaux lieux, l’eſtat de mon ſupplice,	Et puisque le malheur m'étoigne d'Artenice, Ne flattez plus, beaux lieux, l'état de mon supplice,
D iij	 Dijà
Si ce n’eſt que cette onde arreste vn peu ſon cours Pour imiter le feu de mes ſainctes amours:	Si ce n'est que cette onde arrête un peu son cours Pour imiter le feu de mes saintes amours:
Et vous, belles forests;	Et vous, belles forêts;
ne poſſedez point d’arbres Où mon regret ne ſoit trace comme en des marbres;	ne possédez point d'arbres Où mon regret ne soit trace comme en des marbres;
Images des beautez de la meſme beauté, Pitoyables teſmoins de ma fidelité;	Images des beautés de la même beauté, Pitoyables témoins de ma fidélité;
Beaux portraits animez par les yeux de mon An;	Beaux portraits animés par les yeux de mon An;
Qui meritez ſi bien vn peu de ſa loüangé, Beaux Myrthes amoureux, de qui le ſacré pris A logé ſa puiſſance au ſein de ma Cipris, St ie ne puis iouyr des beautez de ſa face, Au moins permettez moy que i'en baiſe la trace;	Qui méritez si bien un peu de sa louangé, Beaux Myrte amoureux, de qui le sacré pris A logé sa puissance au sein de ma Cipris, St ie ne puis jouir des beautés de sa face, Au moins permettez moi que j'en baise la trace;
Ie ne m'eſtonne plus de tout voſtre pouuoir, Puiſque les Deitez ont voulu vous auoir.	Je ne m'étonne plus de tout votre pouvoir, Puisque les Dités ont voulu vous avoir.
Si ces oiſeaux eſtoient d’vne humeur charitable, e, Qu’ils m'entretiendroient bien d’vn bien ſi ſouhastable;	Si ces oiseaux étaient d'une humeur charitable, eût, Qu'ils m'entretiendraient bien d'un bien si souhastable;
Cet Echo qui demeure en ce valen ſecret, Voudroit perdre bien-toſt le titre de diſcret Ponrinstruire ces pois de laimaple ſupplice Où m’a violenté l’abſence d’Artenice:	Cet Écho qui demeure en ce valen secret, Voudrait perdre bientôt le titre de discret Ponrinstruire ces pois de laimaple supplice Où m'a violenté l'absence d'Artenice:
manis:	manis:
qui pient me Aronolerin te uoux engretiens	qui pient me Aronolerin te uoux engretiens
La Magicienne amoureuſe de luy Vn genie aſſeuré qui trauaille à ton bien.	La Magicienne amoureuse de Seigneur Un génie assuré qui travaille à ton bien.
Calyante.	Calyante.
Les remedes humains jont ns de benme mimes Pour defendre vn mortel des mortelles allarmes	Les remèdes humains jont ns de benme mimes Pour défendre un mortel des mortelles allarmes
La Magicienne.	La Magicienne.
L'art que nous profeſſons eſt inuiſible aux yeux;	L'art que nous professons est invisible aux yeux;
Son pouuoir abſolu ne deſpend que des Cieux, C’eſt ainſi que ie ſçay que ra paſsion aimę Sans auoir conſulté d’Oracle que moy meſme;	Son pouvoir absolu ne dépend que des Cieux, C’est ainsi que ie sçay que ra passion aim Sans avoir consulté d'Oracle que moi -même;
Calyantei, eſt-il vrdy que l’amoureux deuoir Donne des trahiſons à ton propre pouuoir?	Calysante, est-il vrdi que l'amoureux devoir Donne des trahisons à ton propre pouvoir?
N’es tu pat cet amant dont le ſaint artifice Déguiſe tes habits pour touyr d’Artenice?	N'es tu pat cet amant dont le saint artifice Déguise tes habits pour touir d'Artenice?
av eſtece po ja ceunte qui ie jaif recnerenes.	au ance pô ja ceunte qui Seigneur jais recnerenes.
La puiſſance d’vn Dieu qui ne ſe peut cacher?	La puissance d'un Dieu qui ne se peut cacher?
Calyante.	Calyante.
Ie confeſſe qu’amour a l’ame toute nuë, Ie vois bien que ma flame eſt maintenant cognuë;	Je confesse qu'amour a l'âme toute nue, Je vois bien que ma flamme est maintenant connue;
Amour, ce doux enfant, ne cele pas ſon feu, Les mouuemens des yeux parlent touſiours vn peu;	Amour, ce doux enfant, ne cèle pas son feu, Les mouvements des yeux parlent toujours un peu;
Touſiours quelque ſouſpir annonce par ſa bouche Que l’ams a reſſenty quelque traict qui la touche;	Toujours quelque soupir annonce par sa bouche Que l'ams a ressenti quelque trait qui la touche;
Touſiours ie ne ſçay quoy de tant de paſsions, Se declare au deceu de nos intentions.	Toujours rien ne sais quoi de tant de passions, Se déclare au déçu de nos intentions.
Noſtre ame ſe dérobe au vœu de la prudence, Nous ne commandons pas à noſtre confidence;	Notre âme se dérobe au vœu de la prudence, Nous ne commandons pas à notre confidence;
L’ame n’a point de loix qui puiſſe reformer Vn esprit inſenſé de ce qui fait aimer;	L'âme n'a point de lois qui puisse réformer Un esprit insensé de ce qui fait aimer;
S’il eſt vray que voſtre art paiſſe guerir ma peine;	S'il est vrai que votre art paisse guérir ma peine;
Dites moy le moyen de m’oſter de la geſne, Sacrifiez ma vie aux rayons de ces yeux, - ---- ---- -- ---4.	Dites -moi le moyen de m'ôter de la gêne, Sacrifiez ma vie aux rayons de ces yeux, -moi -- -- -- -ne,
Dont l’abſence me range à la haine des Cieux.	Dont l'absence me range à la haine des Cieux.
La Magicienne.	La Magicienne.
Vſez de mon mestier, & croyez que mes charmes Seruent de monumens aux plus viues allarmes;	Vsez de mon métier, et croyez que mes charmes Servent de monuments aux plus vives alarmes;
Prenez ce braſſelet, c’eſt par luy que le ſort Que voit, ſans eſtre veu, vous ſaune de la mort.	Prenez ce brasselet, c'est par autre que le sort Que voit, sans être vu, vous sa de la mort.
Calyante en s’accommodant le braſſelet enchanté frauduleuſement;	Calyante en s'accommodant le brasselet enchanté frauduleusement;
Enfin il faudra que les charmes Seruent à celle qui les a, Puiſque le pouuoir de mes armes Ne peut pas operer cela.	Enfin il faudra que les charmes Servent à celle qui les a, Puisque le pouvoir de mes armes Ne peut pas opérer cela.
La Magicienne.	La Magicienne.
Enfin il faudra que les charmes Seruent à celle qui les a, Puiſque le pouuoir de mes armes dve peut pa eperer celd.	Enfin il faudra que les charmes Servent à celle qui les a, Puisque le pouvoir de mes armes dès peu pa eèrer celd.
Il rend à vostre amour vn remede plauſible, Par où vous verrez tout, & ſerez inuiſible.	Il rend à votre amour un remède plausible, Par où vous verrez tout, et serez invisible.
Calyante charmé à l’aduantage de l’amour de la Magicienne ſeulement.	Calyante charmé à l'avantage de l'amour de la Magicienne seulement.
An prix de qui l’amour n’eſt plus qu'vne foibleſſe La grace des beautez va ſacrer à vos traits Les adorations de ſes propres attraits?	An prix de qui l'amour n'est plus qu'une faiblesse La grâce des beautés va sacrer à vos traits Les adorations de ses propres attraits?
.	.
82 Mais c’eſt peu qu’vn mortel pour deſcrire des Anges, C’est trop peu deſormais pour vous que des loüanges, Il vous faut des autels, & n'eſt permis qu'aux Dieux De rendre la franchiſe aux pouuoir de vos yeux, pumjupvenen d trdomvesquarpuudedes Vous qui de mon amour eſtes l’ame premiere.	82 Mais c'est peu qu'un mortel pour décrire des Anges, C'est trop peu désormais pour vous que des louanges, Il vous faut des autels, et n'est permis qu'aux Dieux De rendre la franchise aux pouvoir de vos yeux, pumjupven d trdomvesquarpuudedes Vous qui de mon amour êtes l'âme première.
La Magicienne.	La Magicienne.
Vous qui ttrez mon ame auecque vos regards, Vous où Mars & l’Amour ont logé tous leurs dards.	Vous qui ttrez mon âme avec vos regards, Vous où Mars et l'Amour ont logé tous leurs dards.
Calyante.	Calyante.
Vous que ma paßion d ſi bien adoree.	Vous que ma passion d si bien adorée.
La Magicienne.	La Magicienne.
n qudnnanae autibinte dungeer	n qudnnanae autibinte dungeer
Calyante.	Calyante.
v ou pour qui jainmiere a yair mepucag iones	v ou pour qui jainmière a yair mepucag iones
La Magicienne.	La Magicienne.
Vous qui repreſentez l'image de l'amour.	Vous qui représentez l'image de l'amour.
Calyante.	Calyante.
Vous dõt les ieunes yeux dõnent des loix aux Parques,	Vous dont les jeunes yeux donner des lois aux Parques,
Veus que mon cœur a mis au nombre des Monarques.	Vous que mon cœur a mis au nombre des Monarques.
Calyante.	Calyante.
En vn mot, vous moy-meſme,	En un mot, vous moi-même,
La Magicienne.	La Magicienne.
.	.
3 Enfin moy-meſme vous;	3 Enfin moi-même vous;
vaagunsa dui ells ſtjait jatons.	vaagunsa dui elle sthait jatons.
Calyante.	Calyante.
Permettez que ceſein de laict & d’allebastre Soit le butin ſacré de ma bouche idolâtre.	Permettez que cesein de lait et d'allébastre Soit le butin sacré de ma bouche idolâtre.
3 La Magicienne.	3 La Magicienne.
Que mon ame s’allie auéc ſes belles mains Qui deuroient duoir eu le ſceptre des humains.	Que mon âme s'allie avaient du belles mains Qui devraient duoir eu le sceptre des humains.
Calyante.	Calyante.
Ouet honore à genoux à vn eternel hommage Ce viſage où l’amour a laiſſé ſon image.	Ouet honore à genoux à un éternel hommage Ce visage où l'amour a laissé son image.
La Magicienne.	La Magicienne.
Que ie ſucce à loiſir l’air que vous reſpirez	Que ie ruée à loisir l'air que vous respirez
Calyanté.	Calyanté.
hulummmmoucœumoe quonous pouspirez	hulummmmoucœumoe quonous pouspirés
La Magicienne.	La Magicienne.
Que ie baïſe ces lys	Que ici baïse ces lys
Calyanté.	Calyanté.
Que i’adore ces roſes, Où la grace a rangé toures les belles choſes;	Que j'adore ces roses, Où la grâce a rangé toures les belles choses;
Que ce teint me rauit, ie penſe que les Dieux Puitteront leurs autels pour en faire à vos yeux.	Que ce teint me ravit, ie pense que les Dieux Puitteront leurs autels pour en faire à vos yeux.
La Magicienne.	La Magicienne.
Que vous eſtes heureux, iecrois que les Deeſſes Deſcendroient des cieux pour eſtre vos Maiſtreſſes.	Que vous êtes heureux, iecrois que les Déesses Descendraient des cieux pour être vos Maîtresses.
Q.	Q.
.	.
f.	f.
T - -t-- .	T - -t- .
90	90
Calyante.	Calyante.
Que ie ſuis glorieux d’estre digne de vous, Sttes mieux pous aimoneni, ten deutendrois jalous.	Que ie suis glorieux d'être digne de vous, Sttes mieux pous aimoni, ten détendrais jalous.
La Magicienne.	La Magicienne.
Que ie me reſiouys de donner de l’enuie Aux feux paſsionnez de voſtre ame rauie.	Que ie me réjouis de donner de l'envie Aux feux passion de votre âme ravie.
Calyante.	Calyante.
Que mon cœur a d’honneur à dire ie ſuis pris.	Que mon cœur a d'honneur à dire je suis pris.
RRsienndan C’eſt ainſi que les Dieux font hommage à Cipris,	RRsienndan C'est ainsi que les Dieux font hommage à Cipris,
Calyante.	Calyante.
Allons, rure treſor de nos ames bleſſees, Marier les effects auecque nos penſees.	Allons, rassure trésor de nos âmes blessées, Marier les effets auecque nos pensées.
DEVEMIOSIONE On aimoit en Colombe, on baiſoit comme vn Ange, Les faueurs conſistoient à faire vne loüange:	DEUEMIOSIONE On aimait en Colombe, on baisait comme un Ange, Les faveurs consistaient à faire été lange:
Quand ſon ame ſe voué à des impietez, Elle ne conçoit rien que des extremitez, Et ſon corps eſt vn fen qui conſomme noſtre aage Auant que nous ſoyons voüez au mariage;	Quand son âme se voué à des impiétés, Elle ne conçoit rien que des extrémités, Et son corps est un sen qui consomme notre âge Avant que nous soyons val au mariage;
La beauté qui nous pippe eſt ſorctere des ſens, Et ne ſert que de piege à des cœurs innocens;	La beauté qui nous pipe est sorctère des sens, Et ne sert que de piège à des cœurs innocents;
