A v	À v
Les forts brauent les impuiſſans, Les vaincus ſont obeïſſans, La Iuſti&s eſtouffe la rage:	Les forts bravent les impuissants, Les vaincus sont obéissants, La Iustiets étouffe la rage:
Il les faut rompre ſous le faix:	Il les faut rompre sous le faix:
Le tonnerre finit l’orage, Et la guerre apporte la paix.	Le tonnerre finit l'orage, Et la guerre apporte la paix.
Henry détourne icy tes yeux, Et regardant ces triſtes lieux Conſacrez à ta ſepulture, Conſidere comme ton cœur Se lâche, & contre ſa nature Reçoit vn ennemy vainqueur.	Henri détourne ici tes yeux, Et regardant ces tristes lieux Consacrez à ta sépulture, Considère comme ton cœur Se lâche, et contre sa nature Reçoit ennemi vainqueur.
Toutesfois grand Aſtre des Roys, Celle qui te print autresfois Encore impunément te braue, Ton cœur ne luy reſſiſte pas, Et demeure touſiours eſclaue De ſes victorieux appas.	Toutefois grand Astre des Rois, Celle qui te prînt autrefois Encore impunément te brave, Ton cœur ne lui résiste pas, Et demeure toujours esclaue De ses victorieux appas.
Grande Reyne en faueur des Lyi, Auec luy preſque enſeuelis, N’offenſez point ſes funerailles, Pour l’auoir, à quoy le deſſein De venir rompre des murailles, Si vous l’aueZ dans voſtre ſein?	Grande Reine en faveur des Lynés, Avec der presque ensevelis, N'offensez point ses funérailles, Pour l'avoir, à quoi le dessein De venir rompre des murailles, Si vous l'avez dans votre sein?
Merueilleux changement du ſort, Ce grand Roy que deuant ſa mort Vous gaigniez auecques des larmes, Eſt-il puiſſant auiourd’huy, Qu’il vous faille employer des armes Pour auoir empire ſur luy?	Merveilleux changement du sort, Ce grand Roi que devant sa mort Vous gagniez avec des larmes, Est-il puissant aujourd'hui, Qu'il vous faille employer des armes Pour avoir empire sur lui!
Quoy que ce grand cœur genereux, Pertete en reſpett umontena Ait flechy deuant voſtre face, Il n’eſt point ſi fort abbatu, Que ſon Fils n’y trouue vne place Où faire luyre ſa vertu.	Quoi que ce grand cœur généreux, Pertète en respett umonta Ait fléchi devant votre face, Il n'est point si fort abattu, Que son Fils n'y trouve une place Où faire suivre sa vertu.
Nous croyons que ces reuoltez, A noſtre abord épouuantez	Nous croyons que ces révoltés, A notre abord épouvantez
Se deffendront mal à la breſche:	Se défendront mal à la brèche:
Et qui fera comparaiſon De vingt canons contre vne fléches Dira que nous auons raiſon.	Et qui fera comparaison De vingt canons contre une flèches Dira que nous avons raison.
CER PAIX DE PAANNEE M.	CER PAIX DE PANE ME.
DC.	DC.
XX.	XX.
DE.	DE.
A paix trop long temps deſolée s Reuient aux pompes de la Cour, Et retire du Mauſolée Les ieux, les dances, & l’amour, Au ſeul éclat de nos épées Les tempeſtes ſont diſſipées, Tous nos bruis ſont enſeuelis:	À paix trop long temps désolée s' Euient aux pompes de la Cour, Et retire du Mausolée Les jeux, les dances, et l'amour, Au seul éclat de nos épées Les tempêtes sont dissipées, Tous nos bruis sont ensevelis:
Mon prince a fait ceſſer la guerre, Et la grace a rendu la terré Pleine de Palmes & de Lys Noſtre eſtat d’vn triſte viſage Deſeſperé de ſon ſalut, Sans le Roy ne trouuoit l’vſage D’aucun remede qui valut, Grand Roy que vos vertus ſont grandes, Et bien dignes de nos offrandes!	Mon prince a fait cesser la guerre, Et la grâce a rendu la terré Pleine de Palmes et de Lys Notre état d'un triste visage Désespéré de son salut, Sans le Roi ne trouvait l'usage D'aucun remède qui valut, Grand Roi que vos vertus sont grandes, Et bien dignes de nos offrandes!
Que vos trauaux ont eu de fruict!	Que vos travaux ont eu de fruit!
Toute la terre en eſt ſemée, Et la voix de la Renommée N'en ſçauroit faire aſſez de bruict.	Toute la terre en est semée, Et la voix de la Renommée N'en saurait faire assez de bruit.
Et bien races denaturées, Qu’auez vous plus à murmurer?	Et bien races dénaturées, Qu'avez -vous plus à murmurer?
Les fureurs ſe ſont retirées, Le deſordre n'a peu durer, Vos eſtendars ſont noſtre proye, Vos flâmes ſont nos feux de ioye,	Les fureurs se sont retirées, Le désordre n'a peu durer, Vos étendards sont nos proie, Vos flammes sont nos feux de joie,
Dans vos victorieuſes Ames, Si la clemence l’euſt permis, Et plus de ſang, & plus de larmes Euſſent marqué ſes ennemis, Et dirois bien à quels ſupplices S’attendoient leurs noires malices:	Dans vos victorieuses Ames, Si la clémence l'eût permis, Et plus de sang, et plus de larmes Eussent marqué ses ennemis, Et dirais bien à quels supplices S'attendaient leurs noires malices:
Mais il eſt las de les punir, Il eſt honteux de leur diffame, Et ſeroit faché que ſon ame En euſt gardé le ſouuenir.	Mais il est las de les punir, Il est honteux de leur diffame, Et serait fâché que son âme En eût gardé le souvenir.
Il ſuffit que la paix eſt ferme, Que ces eſprits audacieux Ont en fin acheué le terme De leurs complots ſeditieux:	Il suffit que la paix est ferme, Que ces esprits audacieux Ont en fin achevé le terme De leurs complots séditieux:
AJ'Medaammfannmes Ny ſa vertu, ny ſa fortune, Que le Ciel rit à ſon plaiſir, Que ſa gloire a laiſsé l’enuie, Et que ſa grandeur aſſouuie Le Roy triomphe du malheur:	AUAJMedaammfannmes Ni sa vertu, ni sa fortune, Que le Ciel rit à son plaisir, Que sa gloire a laissé l'envie, Et que sa grandeur assouuie Le Roi triomphe du malheur:
Et iamais on a veu Monarque Qui grauaſt de meilleure marque Son iugement, ny ſa valeur.	Et jamais on a vu Monarque Qui gravât de meilleure marque Son jugement, Seigneur sa valeur.
La trahiſon confuſe & bleſme, Ne ſçait plus ſurquoy rauager, Le Roy a mis tout ce qu’il ayme Loin de la honte & du danger, Il a reprimé la licence Dont on preſſoit ſon innocence, Et ſes deſſeins labourieux, E ne ſont point à l’aduanture, Et fait voir que ſa creature Eſtoit auſſi celle des Dieux.	La trahison confuse et blême, Ne sait plus surquoi ravager, Le Roi a mis tout ce qu'il aime Loin de la honte et du danger, Il a reprimé la licence Dont on pressait son innocence, Et ses desseins labourieux, E ne sont point à l'aventure, Et fait voir que sa créature Était aussi celle des Dieux.
Inſtrumens de flâme & de fer, Que vos races enſeuelies Se recachent dedans l’enfer:	Instruments de flamme et de fer, Que vos races ensevelies Se recachent dedans l'enfer:
Auſſi bien nos Dieux tutelaires, Dont ces reuolteZ ordinaires Ont armé nos mains tant de fois, Iurent que le premier rebelle Sera la victime eternelle De l’iniure de tous nos Roys.	Aussi bien nos Dieux tutélaires, Dont ces révoltés ordinaires Ont armé nos mains tant de fois, Jurent que le premier rebelle Sera la victime éternelle De l'injure de tous nos Rois.
Eſperer encore des graces Et croire en de pareils forfaits, Que vous ny vos futures races Puiſſiez iamais trouuer de paix:	Espérer encore des grâces Et croire en de pareils forfaits, Que vous seul vos futures races Puissiez jamais trouver de paix:
C’eſt douter que vos felonnies Ne ſoient proches d’eſtre punies, C’eſt ne ſçauoir point de priſon, S’imaginer qu’un a deux teſtes, Que le Ciel n’a point de tempeſtes, Où qu’il ayme la trahiſon.	C'est douter que vos félonnies Ne soient proches d'être punies, C'est ne savoir point de prison, S'imaginer qu'un a deux têtes, Que le Ciel n'a point de tempêtes, Où qu'il aime la trahison.
Mais ie faux en mes defiances, Noſtre mal vous a fait partir, Et ie croy que vos conſciences L’ont fait auec du repentir.	Mais était faux en mes défiances, Notre mal vous a fait partir, Et personne crois que vos consciences L'ont fait avec du repentir.
Auriez-vous bien la barbarie, De confeſſer que la furie Vous ait fait venir ſans remors Au trauers du fer & des flâmes, Où tant de genereuſes ames Ont accreu le nombre des morts?	Auriez-vous bien la barbarie, De confesser que la furie Vous ait fait venir sans remors Au travers du fer et des flammes, Où tant de généreuses âmes Ont accreu le nombre des morts?
Ie dis de quel ſanglant orage L'Enferſe desborda ſur nous, Et voulut mal à mon courage De m’auoir fait venir aux coups;	Je dis de quel sanglant orage L'Enferse déborda sur nous, Et voulut mal à mon courage De m'avoir fait venir aux coups;
La campagne eſtoit allumée, L’air gros de bruict & de fumée, Le Ciel confus de nos débas, Le iour triſte de noſtre gloire, Et le ſang fit rougir le Loyre De la honte de vos combats.	La campagne était allumée, L'air gros de bruit et de fumée, Le Ciel confus de nos débas, Le jour triste de notre gloire, Et le sang fit rougir le Loire De la honte de vos combats.
C’eſt aſſez fait de funerailles, On void vn aſſez grand tableau De cheuaux, d’hommes, de murailles, Que la flâme a ietté dans l’eau, C’eſt aſſez, le Ciel s’en irrite:	C'est assez fait de funérailles, On voit un assez grand tableau De chevaux, d'hommes, de murailles, Que la flamme a jeté dans l'eau, C'est assez, le Ciel s'en irrite:
Et de quelque ſi grand merite Dont l’honneur flatte nos explois, Il n’eſt rien de tel que de viure Sous vn Roy tranquille, & de ſuiure La ſaincte Majeſté des loix.	Et de quelque si grand mérite Dont l'honneur flatte nos exploits, Il n'est rien de tel que de vivre Sous un Roi tranquille, et de suivre La sainte Majesté des lois.
1 ESTREINES.	1 ÉTREINES.
Y.	Y.
E deſſein que j’auois de ſalüer le Roy,  Et de luy faire vn don de mes vers & de moy, D’vne vieille couſtume aux preſens ordonnée, Attendoit que le remps recommança a l’année, Mais mon iuſte deuoir ne s’eſt pû retenir, Ie trouue que ce iour eſt trop long à venir, Et ce n’eſt point icy le temps ny la coutume, A qui ie donne loy de gouuerner ma plume:	E dessein que j'avais de saluer le Roi, Et de sens faire vn don de mes vers et de moi, D'une vieille coutume aux présents ordonnée, Atendait que le remps recommança à l'année, Mais mon juste devoir ne s'est pu retenir, Je trouve que ce jour est trop long à venir, Et ce n'est point ici le temps a la coutume, A qui avait donne loi de gouverner ma plume:
Quelque iour de l’année, où ie reſpire l’air, C’eſt de ce fils des Dieux de qui ie dois parler, Mon ame en adorant à cet obiect s’arreſte,	Quelque jour de l'année, où apprendre respire l'air, C'est de ce fils des Dieux de qui ie dois parler, Mon âme en adorant à cet objet s'arrête,
Et mon eſprit en faict mon trauail & ma feſte, Tout ce que la nature à de rare & de beau, Ce qui vit au Soleil, qui dort dans le tombeau, Tout ce que peû le Ciel pour obliger la terre, Les pla ſirs de la paix, les vertus de la guerre, Les roſes, des rochers,les ombres, les ruiſſeaux, Le murmure des vents, & le bruit des oiſeaux, Le veſtement d’Iris, & le teint de l’Aurore, Les attraits de Venus, ny les douceurs de Flore:	Et mon esprit en fait mon travail et ma fête, Tout ce que la nature à de rare et de beau, Ce qui vit au Soleil, qui dort dans le tombeau, Tout ce que pu le Ciel pour obliger la terre, Les pla sirs de la paix, les vertus de la guerre, Les roses, des rochers,les ombres, les ruisseaux, Le murmure des vents, et le bruit des oiseaux, Le vêtement d'Iris, et le teint de l'Aurore, Les attraits de Venus, ni les douceurs de Lore:
Tout ce que tout les Dieux ont de cher & de doux, Grand Prince, ne peut point ſe comparer à vous.	Tout ce que tout les Dieux ont de cher et de doux, Grand Prince, ne peut point se comparer à vous.
Cezar auprés de vous, perd ce renom d’Auguſte, Mars celuy de Vaillant, Themis celuy de Iuſte:	Cezar auprès de vous, perd ce renom d'Auguste, Mars celui de Vaillant, Themis celui de Juste:
La vertu n’eut jamais de mouuemens ſi ſaincts Qu'elle en a rencontré dans vos heureux deſſeins:	La vertu n'eut jamais de mouvements si saints Qu'elle en a rencontré dans vos heureux desseins:
C’eſt par où dans nos cœurs ſon amitié s’imprime, C’eſt pour l’amour de vous que nous quittons le crime, L’exemple de vos mœurs force plus que la loy, Et voſtre ſaincte vie authoriſe la foy, Lors que ces grands deſſeins, à qui l’Europe entiere Pour vn mois d’exercice eſtoit peu de matiere, Furent mis au tombeau du plus vaillant Heros, Dont le ſein de la terre ait iamais eu les os:	C'est par où dans nos cœurs son amitié s'imprime, C'est pour l'amour de vous que nous quittons le crime, L'exemple de vos mœurs force plus que la loi, Et votre sainte vie autorise la foi, Lors que ces grands desseins, à qui l'Europe entière Pour un mois d'exercice était peu de matière, Furent mis au tombeau du plus vaillant Héros, Dont le sein de la terre ait jamais eu les os:
La vertu s’en alloit, mais vous l’auez ſuiuie, Et retenant de luy la couronne & la vie, Il vous pleut d’arreſter auecques vous auſſi Les belles qualitez qui l’honoroient icy:	La vertu s'en allait, mais vous l'avez suivie, Et retenant de lui a couronne et la vie, Il vous pleut d'arrêter avec vous aussi Les belles qualités qui l'honoraient ici:
Ie croyois l’Vniuers perdu dans ceſte perte, Que la terre aprés luy demeureroit deſerte, Que l’air ſeroit touſiours de tempeſte allumé, Que le Ciel dans l’enfer ſe verroit abiſmé, Et que les Elemens ſans ordre & ſans lumiere, Reuiendroient en l'honneur de ſa maſſe premiere,	Je croyais l'Univers perdu dans cette perte, Que la terre après avoir demeurerait déserte, Que l'air serait toujours de tempête allumé, Que le Ciel dans l'enfer se verrait abîmé, Et que les Éléments sans ordre et sans lumière, Reviendraient en l'honneur de sa masse première,
Sa gloire alloit du pair auec les immortels, Et pour luy tous nos cœurs n’étoient que des Autels:	Sa gloire allait du pair avec les immortels, Et pour lui tous nos cœurs n'étaient que des Autels:
Tous les peuples Chrétiens l’auoieut fait leur arbitre, Iamais autre que luy ne poſſeda ce tiltre:	Tous les peuples Chrétiens l'avoiut fait leur arbitre, Jamais autre que Se ne posséda ce titre:
Sa vertu luy gaigna tous ces noms glorieux Que noſtre fantéſie accorde aux demy-Dieux Les plus grands Roys trouuoient du merite à luy plaire, Tout aymoit ſa faueur, tous craignoient ſa colere, Ainſi que ce Soleil penchant vers le tombeau, Iettoit ſur l'Vniuers l’œil plus grand & plus beau, Sa valeur trop long temps honteuſement oyſiue, Meditoit d’arracher ſon myrthe & ſon oliue:	Sa vertu lui gagna tous ces noms glorieux Que notre fantésie accorde aux demi-Dieux Les plus grands Rois trouvaient du mérite à lui plaire, Tout ait sa faveur, tous craignaient sa colère, Ainsi que ce Soleil penchant vers le tombeau, Iettoit sur l'Univers l'œil plus grand et plus beau, Sa valeur trop long temps honteusement oisive, Méditait d'arracher son myrte et son olive:
Le bruit de ſes deſſeins par l’Europe voloit, Chacun de ſes proiects differamment parloit, Tous les Roys ſes voiſins pendoient ſur la balance, Egalement douteux où fondroit ſa vaillance:	Le bruit de ses desseins par l'Europe volait, Chacun de ses proiects différemment parlait, Tous les Rois ses voisins pendaient sur la balance, Également douteux où fondrait sa vaillance:
Son courage rioyt, de voir que la terreur Se meſtoit parmy tous dans leur confuſe erreur:	Son courage rioyt, de voir que la terreur Se mestoit parmi tous dans leur confuse erreur:
Son bien s’alloit borner de la terre & de l’onde, Et ſans vous ſç’euſt eſté le plus grand Roy du monde:	Son bien s'allait borner de la terre et de l'onde, Et sans vous s'eût été le plus grand Roi du monde:
Que ſans vous ſon trépas eut causé de mal’heurs!	Que sans vous son trépas eut causé de malheurs!
Qu’il nous eut fait verſer, & de ſang, & de pleurs!	Qu'il nous eut fait verser, et de sang, et de pleurs!
Mais grace au Roy des Cieux, tout preuoyant & ſage, Dont vous eſtes icy la plus parfaite image, Nous ſommes conſolez, & le meſme cercueil, Qui r’enferma ſes os, r'enferma noſtre dueil:	Mais grâce au Roi des Cieux, tout prévoyant et sage, Dont vous êtes ici la plus parfaite image, Nous sommes consolez, et le même cercueil, Qui renferma ses os, renferma notre deuil:
Les arts, & les plaiſirs, les autels, & les armes, Ont preſque du regret d’auoir ietté des larmes, Quel de tous les plus grands, & des plus braues Roys, Aſſeuré mieux que vous l’autorité des loix?	Les arts, et les plaisirs, les autels, et les armes, Ont presque du regret d'avoir jeté des larmes, Quel de tous les plus grands, et des plus braves Rois, Assuré mieux que vous l'autorité des lois?
Voſtre Empire nous ſçait ſi doucement contraindre, Que les plus libertins ont plaiſir à vous craindre?	Votre Empire nous craindre si doucement contraindre, Que les plus libertins ont plaisir à vous craindre?
L'ame la plus ſauuage à pour vous de l’amour,	L'âme la plus sauvage à pour vous de l'amour,
Quel	Quel
Quel ſi grand Roy n’eſt point ialoux de voſtre Cœur?	Quel si grand Roi n'est point jaloux de votre Cœur?
Et les Dieux contemplans voſtre adorable vie, Si vous n’eſtiez leur fils vous porteroient enuie:	Et les Dieux contemplants votre adorable vie, Si vous n'étiez leur fils vous porteraient envie:
Le Soleil eſt rauy quand ſon œil vous reluit, Et ne voudroit iamais de repos ny de nuict:	Le Soleil est ravi quand son œil vous reluit, Et ne voudrait jamais de repos ni de nuict:
Ses rayons n’ayment point à chaſſer le nuage, Que pour n’eſtre empeſchez de vous voir en viſage, C’eſt pour l’amour de vous qu’il bâtiſt ſes maiſons, Qu'il rompit ces Kaos, qu’il changea les ſaiſons, Qu’il nous fit diſcerner le Ciel d’auecques l’onde, Et mit le grand éclat de la lumiere au monde:	Ses rayons n'aiment point à chasser le nuage, Que pour n'être empêchez de vous voir en visage, C'est pour l'amour de vous qu'il bâtît ses maisons, Qu'il rompit ces Os, qu'il changea les saisons, Qu'il nous fit discerner le Ciel d'avecques l'onde, Et mit le grand éclat de la lumière au monde:
Pour vous ſon feu s’occupe à ce metail peſant, Pourtous dedans le Louure à vos yeux reluiſant.	Pour vous son feu s'occupe à ce métail pesant, Pourtous dedans le Louvre à vos yeux reluisant.
Et pour ſa fantéſie en nos vergers errante, Forme le gris de lin, l’orange, l’amarante, Et ſçachant que vos yeux ſe plaiſent aux couleurs, Il vous peint ſon amour dans la face des fleurs:	Et pour sa fantésie en nos vergers errante, Forme le gris de lin, l'orange, l'amarante, Et sachant que vos yeux se plaisent aux couleurs, Il vous peint son amour dans la face des fleurs:
Que cet arbre fut gay, quand aux riues de Loyre Il vit les monumens grauez pour voſtre gloire, Sentant que ſon deuoir touchoit voſtre grandeur, Il n’éclaira iamais auecque tant d’ardeur, Es reçeu comme encens l’honorable fumée, Que le canon donnoit à voſtre renommée:	Que cet arbre fut gai, quand aux rives de Loire Il vit les monuments gravés pour votre gloire, Sentant que son devoir touchait votre grandeur, Il n'éclaira jamais auecque tant d'ardeur, Es reçu comme encens l'honorable fumée, Que le canon donnait à votre renommée:
Le Fleuue de ſon lict alors fit vn cercueil, Qui de vos ennemis fut le ſanglant accueil, Et redoubla ſes pas pour conter à Neptune, Ce que voſtre vertu fit faire à la fortune:	Le Fleuue de son lit alors fit un cercueil, Qui de vos ennemis fut le sanglant accueil, Et redoubla ses pas pour conter à Neptune, Ce que vôtre vertu fit faire à la fortune:
Neptune reïouy de vos ſuccez heureux, Rendit de voſtre nom tous ſes flots amoureux, Et d’vn char empané fendant ſes routes calmes, Vint planter ſur ſes bords vne foreſt de paimes, Et le Ciel glorieux d'vn ſi iuſte bon heur, Ouec affection fit feſte à voſtre honneur:	Neptune reïouy de vos succez heureux, Rendit de votre nom tous ses flots amoureux, Et d'un char empané fendant ses routes calmes, Vint planter sur ses bords une forêt de paimes, Et le Ciel glorieux d'un si juste bon heur, Ouec affection fit fête à votre honneur:
142 Mars n’a point faict encor vne ſi belle proye, Et vante ce iour la, plus que la nuict de Troye, Voyant voſtre ieuneſſe en nos ſanglaus combats Dans le ſain du peril rechercher ſes ébats:	142 Mars n'a point fait encor une si belle proie, Et vante ce jour la, plus que la nuit de Troie, Voyant votre jeunesse en nos sanglaus combats Dans le sain du péril rechercher ses ébats:
Que nous euſmes de peur qu’vn excez de courage Ne vous mit au haZard d’un general naufrage:	Que nous eûmes de peur qu'autre excès de courage Ne vous mit au hasard d'un général naufrage:
Benit ſoit ce grand Dieu, qui d’vn ſoin paternel Garde à voſtre gonie vn bon heur eternel:	Bénit soit ce grand Dieu, qui d'un soin paternel Garde à votre gonie un bon heur éternel:
Il a faict vil pour vous ce que la terre admire, Et n’a pas mieux fondé le Ciel que voſtre Empire, Ce ſage & grand eſprit que voſtre ſainct deſir Pour le ſalut commun nous a daigné choiſir:	Il a fait vil pour vous ce que la terre admire, Et n'a pas mieux fondé le Ciel que votre Empire, Ce sage et grand esprit que votre saint désir Pour le salut commun nous a daigné choisir:
Ce grand Dieu nous fait voir auec trop d’aſſeurance, Que le deſtin du Ciel eſt celuy de la france, Que vos plus grands deſſeins arriuent à leur port, Et que vous & les Dieux n’auez qu’vn meſme ſort:	Ce grand Dieu nous fait voir avec trop d'assurance, Que le destin du Ciel est celui de la france, Que vos plus grands desseins arrivent à leur port, Et que vous et les Dieux n'avez qu'Un même sort:
On dit que ce grand Siege où tous les Dieux repoſent, Et d’vn conſeil ſecret de vos deſſeins diſpoſent, Ce grand pourpris d’azur, d’où cent mille flambeaux Eſclattent à nos yeux ſi puiſſans & ſi beaux, Eut autrefois beſoin, qu’vn mortel prit l’audace De ſe charger du faix de ſa peſante maſſe:	On dit que ce grand Siège où tous les Dieux reposent, Et d'un conseil secret de vos desseins disposent, Ce grand pourpris d'azur, d'où cent mille flambeaux Esclattent à nos yeux si puissants et si beaux, Eut autrefois besoin, qu'à mortel prit l'audace De se charger du faix de sa pesante masse:
Atlas s’auantura de ſouſtenir les Cieux, Autrement la Nature euſt veu tomber les Dieux:	Atlas s'aventura de soutenir les Cieux, Autrement la Nature eût vu tomber les Dieux:
Ce n’eſt point qu’en effet celeſte machine Se trouue quelquesfois proche de ſa ruine, Ny que iamais vn hemme à noſtre ſort pareil, Ait penetré les airs, ny touché le Soleil:	Ce n'est point qu'en effet celeste machine Se trouve quelquefois proche de sa ruine, Ni que jamais un homme à notre sort pareil, Ait penetré les airs, ni touché le Soleil:
Ceſte fable au vray ſens que la raiſon luy donne, Nous enſeigne qu'Atas eut la trempe ſi bonne, Et l’eſprit ſi hardy, qu’il oſa s’eſleuer Iuſqu’où mortel que luy ne pouucit arriuer:	Cette fable au vrai sens que la raison lui donne, Nous enseigne qu'Atas eut la trempe si bonne, Et l'esprit si hardi, qu'il osa s'élever Jusqu'où mortel que lui ne pouvit arriver:
Il ſçauoit les ſecrets d’Iris, & du Tonnerre,	Il sçauoit les secrets d'Iris, et du Tonnerre,
Grand Roy vous aueZ fait vn Ciel de voſtre Empire, Il eut vn bon Ailas, le voſtre n’eſt pas pire, Et chacun voit aſſez qu’en ſa comparaiſon, Voſtre amitié s’accorde auecques la raiſon:	Grand Roi vous avez fait un Ciel de votre Empire, Il eut un bon Ailas, le vôtre n'est pas pire, Et chacun voit assez qu'en sa comparaison, Votre amitié s'accorde auecques la raison:
Tant que voſtre faueur éclaira ſes pensées, Nos fortunes ne ſont d’aucun dueil menacées:	Tant que votre faveur éclaira ses pensées, Nos fortunes ne sont d'aucun deuil menacées:
Quoy que les factieux retrament de nouueau, Leurs complots en naiſſant trouueront leur tombeau, Et vous verrez touſiours durer à la Couronne, La paix, qu’a voſtre eſprit voſtre innocence donne:	Quoi que les factieux retrament de nouveau, Leurs complots en naissant trouveront leur tombeau, Et vous verrez toujours durer à la Couronne, La paix, qu'a votre esprit votre innocence donne:
Ainſi face le Ciel & iamais ſon courroux N’approche aucun danger, ny de luy, ny de vous.	Ainsi face le Ciel et jamais son courroux N'approche aucun danger, toujours de lui, ni de vous.
Et comme chaque eſtoile a pouuoir ſur la terre, L'Uniuers le croyoi.	Et comme chaque étoile a pouvoir sur la terre, L'Univers le croyoi.
ſon general appuy, Et pluſieurs potentats ſe repoſoient ſur luy:	son général appui, Et plusieurs potentats se reposaient sur beau:
La nature y reprit vne vertu ſeconde, Le deſtin luy laiſſa la conduite du monde, Et les Dieux par plaiſir mirent entre ſes mains L’ineuitable droict qu’ils ont ſur les humains.	La nature y reprit une vertu seconde, Le destin luy laissa la conduite du monde, Et les Dieux par plaisir mirent entre ses mains L'inévitable droit qu'ils ont sur les humains.
DDE AV PRINCE D’ORANGE.	DDE AU PRINCE D'ORANGE.
ESN eſprit lâche & mercenaire, E Qui d’vne gloire imaginaire, Flatte les cœurs ambitieux, Lors qui parle de vos loüanges, Met les hommes plus vicieux A la comparaiſon des Anges.	ESN esprit lâche et mercenaire, E Qui d'une gloire imaginaire, Flatte les cœurs ambitieux, Lors qui parle de vos louanges, Met les hommes plus vicieux A la comparaison des Anges.
Auſſi bien nüe & ſans appas.	Aussi bien nue et sans appas.
La pauure Muſe n’oſe pas, Parmy les Pompes où vous eſtes Faire venir la verité,	La pauvre Muse n'ose pas, Parmi les Pompes où vous êtes Faire venir la vérité,
Et ſi les bouches de Poëtes Ne quittent leur ſeuerité,	Et si les bouches de Poètes Ne quittent leur sévérité,
Elles demeureront muettes.	Elles demeureront muettes.
Prince, ie dis, ſans me loüer, Que le Ciel m’a voulu doüer D’vn eſprit que la France eſtime, Et qui ne fait point mal ſonner Vie loüange legime, Quand il trouue à qui la donner, Mais le vice à qui tout aſpire, Maitriſe auecque tant l’Empire Ceux qui gouuernent l’Vniuers:	Prince, Se dis, sans me louer, Que le Ciel m'a voulu doüer D'un esprit que la France estime, Et qui ne fait point mal sonner Ie loüange légime, Quand il trouve à qui la donner, Mais le vice à qui tout aspire, Maitrise avec tant l'Empire Ceux qui gouvernent l'Univers:
Que chez les plus heureux Monarques O honte de ce temps peruers!	Que chez les plus heureux Monarques Ô honte de ce temps pervers!
A peine ay ie trouué des marques Qui fuſſent dignes de mes vers.	À peine ai assez trouvé des marques Qui fussent dignes de mes vers.
Et depuis que la Cour aduouë Ces ames de cire & de bouë, etont vlamne peut empiapere Chacun attend qu’on le corrompe, Et les grands donnent le loyer Tant ſeulement à qui les trompe.	Et depuis que la Cour avoue Ces âmes de cire et de boue, etont vlamne peut empiapère Chacun attend qu'on le corrompe, Et les grands donnent le loyer Tant seulement à qui les trompe.
Lors que la force du deuoir Pouſſe mon ame à deceuoir Quelqu’vn a qui ie fais hommage, Si quelquefois pour vn mortel Ie tire vne immortelle image, C’eſt à fin qu’il ſe rende tel Qu'il ſe voit peint en mon ouurage.	Lors que la force du devoir Pousse mon âme à décevoir Quelqu'un a qui mis fais hommage, Si quelquefois pour un mortel Je tire une immortelle age, C'est à fin qu'il se rende tel Qu'il se voit peint en mon ouvrage.
Mais quand ie penſe à ta valeur, O que mon ſort à de mal’heur!	Mais quand ici pense à ta valeur, Ô que mon sort à de malheur!
Car meſme de nouueaux Orphées Ne pourroient en flattant les Dieux	Car même de nouveaux Orphées Ne pourraient en flattant les Dieux
Dire ſi bien, que tes Trophees Ne me citent encore mieux.	Dire si bien, que tes Trophelez Ne me citent encore mieux.
Quels vers faut-il que ie prepare?	Quels vers faut-il que ici prépare?
En quel ſi beau marbre de Pare Dois-ie grauer des monumens, Qui ſoient fidelles a ta gloire?	En quel si beau marbre de Pare Dois-je graver des monuments, Qui soient fidèles a ta gloire?
Quels ſi religie.	Quels si religie.
x ſermens, Iurant tes faits à la memoire Feront croire que ie ne mens?	Ux serments, Jurant tes faits à la mémoire Feront croire que je ne mens?
L'Eſpaigne mere de l’orgueil, Ne preparoit voſtre cercueil, Que de la corde & de la roüe, Et venoit auec des vaiſſeaux Qui portoient peintes ſur la prouë, Des potences & des bourreaux.	L'Espagne mère de l'orgueil, Ne préparait votre cercueil, Que de la corde et de la roue, Et venait avec des vaisseaux Qui portaient peintes sur la provue, Des potences et des bourreaux.
Ses trouppes à pleine licence, Venoit fouler voſtre innocence, Et l’appareil de ſes efforts Craignoit de manquer de matiere, Où vos champs tapiſſez de corps Manquoient pluſtoſt de cymetiere, Pour le ſepulchre de ſes morts.	Ses troupes à pleine licence, Venait fouler votre innocence, Et l'appareil de ses efforts Craignait de manquer de matière, Où vos champs tapissez de corps Manquaient plutôt de cymetière, Pour le sépulcre de ses morts.
Les voſtres que mordit ſa rage, Mourant diſoient en leurs courages:	Les vôtres que mordit sa rage, Mourant disaient en leurs courages:
O nos terres, ô nos clartez!	Ô nos terres, ô nos clartés!
Si vous n’eſtes plus aſſeruies, Ayant gaigné vos libertez, Nous voulons bien perdre nos vies.	Si vous n'êtes plus asservies, Ayant gagné vos libertés, Nous voulons bien perdre nos vies.
O vous que le deſtin d’honneur, Retira pour noſtre bon-heur, Belles ames ſoyes appriſes, Que l’horreur de vos corps deſtruits, N’a point rompu nos entrepriſes.	Ô vous que le destin d'honneur, Retira pour notre bonheur, Belles âmes soies apprises, Que l'horreur de vos corps détruits, N'a point rompu nos entreprises.
Part.	Part.
j.	j.
