A PARIS, Chez TOVSSAINT QVINET, au Palais dans la petite Salle ſous la montee de	À PARIS, Chez TOUSSAINT QUINET, au Palais dans la petite Salle sous la monte de
L’agreable printemps d’vne verte ieuneſſe S’encourt d’vn pas leger aux pieds de la vieilleſſe, Cette Parque entre deux ſe rencontre ſouuent Qui porte nos deſſeins ſur les aiſles du vent, L’homme s’euanouïſt, & ne deuient qu’vn ſonge, Le ſouuenir d’vn mort ne ſemble que menſonge, Il faut qu’vn doux Hymen, ſi ie vas finiſſant Dans la poſterité me face renaiſſant, Qu'vne espouſe ſans fard pres d’vn amant fidelle Imite en ſes baiſers la chaſte tourterelle.	L'agréable printemps d'une verte jeunesse S'encourt d'un pas léger aux pieds de la vieillesse, Cette Parque entre deux se rencontre souvent Qui porte nos desseins sur les ailes du vent, L'homme s'euanouïst, et ne devient qu'un songe, Le souvenir d'un mort ne semble que mensonge, Il faut qu'un doux Hymen, si ie as finissant Dans la postérité me face renaissant, Qu'une épouse sans fard pres d'un amant fidèle Imite en ses baisers la chaste tourterelle.
LE POETE.	LE POTE.
O belle inuention pour deuenir heureux Sur la fin de ſes iours & ſe rendre amoureux, Dece moyen depend vne mortelle guerre Qui fait que le mary ne regrette la terre, Preferant le ſeiour des ombres de là bas, Ne tenant rien icy plus doux que le treſpas:	Ô belle invention pour devenir heureux Sur la fin de ses jours et se rendre amoureux, Déce moyen dépend une mortelle guerre Qui fait que le mari ne regrette la terre, Préférant le séjour des ombres de là bas, Ne tenant rien ici plus doux que le trépas:
Si tu prens mon conſui demeure capitaine, Et te garde ſur tout de l’ambuſche certaine.	Si tu prends mon consui demeure capitaine, Et te garde sur tout de l'ambusche certaine.
LE CAPITAINE.	LE CAPITAINE.
Ie ſçay bien que l’Hymen ne pareſt qu’vn tourment Entre vous libertins portez au changement, L’amy dans ſon deſſein deſire l’aſsiſtance, Ne fais donc Amphion plus longue reſistance, Ce iourd’huy nous irons en vn lieu reueré, Poureſert content Zu vn Oruele aſſeuré:	Je sais bien que l'Hymen ne parêt qu'un tourment Entre vous libertins portez au changement, L'ami dans son dessein désire l'assistance, Ne fais donc Amphion plus longue résistance, Ce iourd’hui nous irons en un lieu reueré, Pouresert content Zu un Orèle assuré:
Allons & tu ſçauras le ſubiet du voyage.	Allons et tu sauras le sujet du voyage.
LR POETE.	LR POÈTE.
Ie ſuis deſia rauy de ce beau mariage.	Je suis déjà ravi de ce beau mariage.
ACTE	ACTE
ACTE DEVXIESME.	ACTE DEUXIÈME.
SCENVE PREMIERE.	SCENVE PREMIÈRE.
CELIDOR ſeul.	CELIDOR seul.
Ay tantoſt eſpreuué tous les traits amoureux, AVNN Quelqu’vn m’eſt fauorable & l’autre malheureux, Touſiours la lance au poing ie pares en la lice, Cheualier adorant la deeſſe d’Erice, Toutes les paßions que l’on feint à plaiſir Au ſortir du berceau me ſont venus ſaiſir, I’ay recherché par tout le bon heur de la vie, Dans l’obiet où le corps peut porter ſon enuie.	Ai tantôt espreuué tous les traits amoureux, AUN Quelqu'un m'est favorable et l'autre malheureux, Toujours la lance au poing parfois pares en la lice, Chevalier adorant la déesse d'Erice, Toutes les passions que l'on feint à plaisir Au sortir du berceau me sont venus saisir, J'ai recherché par tout le bon heur de la vie, Dans l'objet où le corps peut porter son envie.
Mais en nostre meſtier qui doit recompenſer Vn amour finiſſant il faut recommencer,	Mais en notre métier qui doit récompenser Un amour finissant il faut recommencer,
Et ne mãque à nos iours que le bien & la force, Nous treuuans abuſeZ par vne fauce amorce;	Et ne moque à nos jours que le bien et la force, Nous treuuans abuseZ par une fauce amorce;
L’exemple familier & la cauſe du mal Me font voir le chemin qui meine à l’hoſpital:	L'exemple familier et la cause du mal Me font voir le chemin qui mène à l'hôpital:
Ie me veux marier, c’eſt l’vnique remede, N’ayant qu’vne beauté qui ſeule me poſſede, De qui puis-ie a la cour faire vne election, Si ie vais m’embarquer dedans l’affection, L’ordinaire ſoupçon ſeruira de dispence, Point de bien, point d’argent, & beaucoup de despence:	Je me veux marier, c'est l'unique remède, N'ayant qu'une beauté qui seule me possède, De qui puis-je a la cour faire une élection, Si ie vais m'embarquer dedans l'affection, L'ordinaire soupçon servira de dispense, Point de bien, point d'argent, et beaucoup de dépense:
Si ie vais à Paris l’on veut vn officier, Vnhomme de finance, ou quelque Iuſticier, Toutefois maintenant le friſon de Polette Donne ſouuent la fieure au cœur d’vne caillette:	Si ici vais à Paris l'on veut un officier, Unhomme de finance, ou quelque Justicier, Toutefois maintenant le frison de Polette Donne souvent la fièvre au cœur d'une caillette:
Si i’oze hazarder l’orgueildu partiZ an, Ce n’eſt ce qui luy faut qu’vn pauure courtizan, L’vn & l’autre ſuiuant vne vmbre fugitiue, Qui tient entre ſes mains leur fortune captiue:	Si j'ose hasarder l'orgueildu partiz an, Ce n'est ce qui lui faut qu'un pauvre courtisan, L'un et l'autre suiuant vne vémbre fugitive, Qui tient entre ses mains leur fortune captive:
Si ie prens le tombeau de quelque vieux peché, Il faut rendre dans l’an ce que l’on a touché.	Si ici prends le tombeau de quelque vieux péché, Il faut rendre dans l'an ce que l'on a touché.
Si ie vais fureter vne vefue eſcroquee, Ma recherche außi bien ne ſera que mocquee:	Si grande vais fureter une vue escroquée, Ma recherche aussi bien ne sera que moque:
Bref mon aduis flottant demeure ſuspendu, Qui ſouſpire d’auoir ſi long temps attendu, Dans vn deſert ſacré demeure vne Sibile, Qui ſçait le mouuement de ce premier mobile;	Bref mon avis flottant demeure suspendu, Qui soupire d'avoir si long temps attendu, Dans un des sacré demeure une Sibile, Qui sait le mouvement de ce premier mobile;
Qui preuoit l’aduenir en l’ordre des ſaiſons, Quand le ſoleil s’en va par ſes douZe maiſons:	Qui prévoit l'avenir en l'ordre des saisons, Quand le soleil s'en va par ses douze maisons:
Meſme que l’on m'a dit qu'elle auoit cognoiſſance De ce terme dernier au point de la naiſſance.	Même que l'on m'a dit qu'elle avait connaissance De ce terme dernier au point de la naissance.
Ie la puis conſulter de l’Hymen proposé, Apres auoir vn peu ſon autel arosé D’vne iaune liqueur qui ſe nomme Luſtras le, Propre de rafraichir la gorge de Tantale:	Je la puis consulter de l'Hymen proposé, Après avoir un peu son autel arosé D'une jaune liqueur qui se nomme Lustras le, Propre de rafraîchir la gorge de Tantale:
C’eſt afin de ſçauoir tout le ſecret des Dieux, Sans elle on importune & la terre & les Cieux:	C'est afin de savoir tout le secret des Dieux, Sans elle on importune et la terre et les Cieux:
Marchons donc viſtement, deſia la nuict s’aproche, La Prophete pourroit me faire vne reproche	Marchons donc vite, déjà la nuit s'approche, La Prophète pourrait me faire une reproche
D’estre venu trop tard, car dans l’obſeurité I’appris que ſon demon eſt ſouuent irrité, Comment treuuer ce lieu ſi ie n’ay quelque guide La peur ne doit tomber qu’en vne ame timide:	D'être venu trop tard, car dans l'obseurité J'appris que son démon est souvent irrité, Comment trouver ce lieu si ie n'ai quelque guide La peur ne doit tomber qu'en une âme timide:
Ie ne veux compagnõ que les flambeaux du iour, Pour teſmoigner le ſoin qu’il a de mon amour.	Je ne veux compagnomme que les flambeaux du jour, Pour témoigner le soin qu'il a de mon amour.
Ce n’eſt pas aux enfers qu’il me faille deſcendre Pour reuoir les Troyẽs, ou l’ombre de Caſsãdre, Ce deſſein ne fut bon qu’à l’enfant deſiré Qui ſuiuit le rayon de ſon rameau doré, I’apperçoy le vallon de la grotte profonde, Mais on marche ſoudain la troupe vagabonde De Cheualiers errans dans l’eſpeſſeur du bois, I’eſtime en cognoiſtre vn à l’accent de ſa voix, Si ie ne ſuis trompé, voyla le (Capitaine Prest à ſe repoſer au bort d’vne fontaine, Et tout proche de luy le charmant Amphion Qui murmure des vers tous pleins de paßion.	Ce n'est pas aux enfers qu'il me faille descendre Pour revoir les Troyens, ou l'ombre de Cassendre, Ce dessein ne fut bon qu'à l'enfant désiré Qui suivit le rayon de son rameau doré, J'aperçois le vallon de la grotte profonde, Mais on marche soudain la troupe vagabonde De Chevaliers errants dans l'espesseur du bois, J'estime en connaître un à l'accent de sa voix, Si ainsi ne suis trompé, voila le (Capitaine Prêt à se reposer au bort d'une fontaine, Et tout proche de lui le charmant Amphion Qui murmure des vers tous pleins Amp.
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
DIALOGVE DE CELIDOR, DV CAPITAINE, DV POETE,	DIALOGUE DE CÉLIDOR, DU CAPITAINE, DU POTE,
CELIDOR.	CELIDOR.
Vel deſtin vous conduit en ce lieu ſolitaire?	Vel destin vous conduit en ce lieu solitaire?
Vous n’eſtes pas icy ſans beaucoup de myſtere.	Vous n'êtes pas ici sans beaucoup de mystère.
EETOEIE.	EETOEIE.
Ie croy pareillement qu’vn galand Celidor, Audeſert eſloigné cherche la toiſon d’or.	Je crois pareillement qu'un galant Célidor, Audesert éloigné cherche la toison d'or.
LE CAPITAINE.	LE CAPITAINE.
Ie ſuis rauy voyant de rencontre ſoudaine, Celidor & le Poëte auec le Capitaine.	Je suis ravi voyant de rencontre soudaine, Celidor et le Poète avec le Capitaine.
CELIDOR.	CELIDOR.
I'ay tenuce ſeiour incognu des mortels, B iij	J'ai tenuce séjour inconnu des mortels, B ijà
LE POETE.	LE POTE.
Toutefois tout autour ce ne ſont que cartels.	Toutefois tout autour ce ne sont que cartels.
Que de chifres graueZ en l’eſcorce des arbres, Qu'vne amoureuſe main a pris au lieu de marLE CAPITAINE.	Que de chifres gravés en l'écorce des arbres, Qu'une amoureuse main a pris au lieu de marLE CAPITAINE.
bres.	bres.
Moy ie treuue marchant le chemin tout battu:	Moi quelque trouve marchant le chemin tout battu:
CBLIDOR.	CBLIDOR.
L aduuenepea iueu at da verim Que l’on tient epineux à qui la voudra ſuiure.	L aduuenepea ju at da verim Que l'on tient épineux à qui la voudra suivre.
LE POETE.	LE POTE.
Ce ſeiour eſt fort beau pourueu qu’on puiſſe viure, Preuoyant qu’à ce ſoir chaſcun mourra de faim, Ie ne voy point icy ny bouteille ny pain, Cen'eſt pux temoyen de faue mauemenre.	Ce séjour est fort beau pourvu qu'on puisse vivre, Prévoyant qu'à ce soir chascun mourra de faim, Je ne vois point ic y bouteille avait pain, Cen'est pux temoyen de fave mauemenre.
LE CAPITAINE.	LE CAPITAINE.
Ne ſçauras tu iamais t'ẽpeſcher pour vne heure?	Ne sçauras tu jamais t'ẽpescher pour une heure?
LE POETE.	LE POTE.
Ne ſçais-tu que Bachus eſt noſtre pere à tous, Et ſans boire d’autant il ſe met en courrons:	Ne sçais-tu que Bachus est notre père à tous, Et sans boire d'autant il se met en courrons:
Le laurier d’Apollon ne garde ſa verdure, Qu'en vn lieu chaleureux eſloigné de froidure, -- --- L’ombrage le terniſt & le pampre odorant Duſrold & de t'ispher eſt tondoars ignorant.	Le laurier d'Apollon ne garde sa verdure, Qu'en un lieu chaleureux éloigné de froidure, -à- -- Dombrage le ternît et le pampre odorant Dusrold et de t'ispher est tondoars ignorant.
CELIDOR.	CELIDOR.
Maintenant que tu vois l’ardente canicule, Qui peut faire ceſſer le trauail d’vn Hercule.	Maintenant que tu vois l'ardente canicule, Qui peut faire cesser le travail d'un Hercule.
Ne vas-tu beniſſant les antres boccagers, Pour ſeruir de retraitte aux amoureux Bergers.	Ne vas-tu bénissant les antres bocagers, Pour servir de retraite aux amoureux Bergers.
LE POETE.	LE POTE.
Mais ſi ie ſuis long temps à l’ombre du boccage Ie deuiendray l’oiſeau que l’on a mis en cage, Auquel rien n’eſt donné qu’il ne ſçache parler.	Mais si ici suis long temps à l'ombre du bocage Je deviendrai l'oiseau que l'on a mis en cage, Auquel rien n'est donné qu'il ne sache parler.
LE CAPITAINE.	LE CAPITAINE.
Belle comparaiſon d’vn habitant de l’air, Et de ce large corps qui creue de ſa greſſe, Ave poutan pa fcauoir qui ſera ſa maiſtreſſe.	Belle comparaison d' Habitant de l'air, Et de ce large corps qui crève de sa gresse, Ave poutan pa savoir qui sera sa maîtresse.
CELIDOR.	CELIDOR.
C’eſt donc là le deſſein qui vous a fait venir.	C'est donc là le dessein qui vous a fait venir.
LE CAPITAINE.	LE CAPITAINE.
Ie proteſte n’auoir vn plus doux ſouuenir, Que celuy d’aborder vne antique preſtreſſe.	Je proteste n'avoir un plus doux souvenir, Que celui d'aborder une antique prêtresse.
Afin de retirer mon ame de detreſſe.	Afin de retirer mon âme de rettresse.
CELIDOR.	CELIDOR.
Allons de compagnie, & demeurons d’acort, De celuy de nous trois qui luy fera l’abort;	Allons de compagnie, et demeurons d'acort, De celui de nous trois qui lui fera l'abort;
Ce doit eſtre Amphion comme vn ſacre Poëte.	Ce doit être Amphion comme un sacre Poète.
Qui du ſecret des Cieux me ſemble l’interprete.	Qui du secret des Cieux me semble l'interprète.
LE POETE.	LE POTE.
Vous eſtes abuſez de iuger que ie ſois Aſſez fort que d’auoir creance dans ſa voix, Qui iuy peut inspirer la nouueſſe future De mes projets conceus au gré de l’aduenture.	Vous êtes abusés de juger que je sois Assez fort que d'avoir créance dans sa voix, Qui jui peut inspirer la nouuesse future De mes projets conçus au gré de l'aventure.
CELIDOR.	CELIDOR.
Pourquoy ſont ſi ſouuent les aſtres accuſez:	Pourquoi sont si souvent les astres accusés:
LE POETE.	LE POTE.
Ce n’eſt que pour punir les hommes abuſeZ Qui veulent penetrer en l’abyſme ſupreme De celuy qui tient tout caché dedans ſoy-mefme, Tous nos deſſeins diuers enfans de la raiſon Sont éclos du cerueau qui leur ſert de priſon, Chaſqu’vn ſe preſentant au choix dt u penſee La memoire de l’vn par l’autre eſt effacee.	Ce n'est que pour punir les hommes abuseZ Qui veulent pénétrer en l'abîme suprême De celui qui tient tout caché dedans soi-même, Tous nos desseins divers enfants de la raison Sont éclos du cerveau qui leur sert de prison, Châqu'un se présentant au choix dût u pensée La mémoire de l'vn par l'autre est effacée.
Ie despite l’effort du demon ancien, Et le ſoin vigilant de l’ange Gardien, De cognoiſtre vn progrez graué dedans mon ame, S il ne poit preceder vn eſfet de ma ſlame.	Je dépite l'effort du démon ancien, Et le soin vigilant de l'ange Gardien, De connaître un progr avé dedans mon âme, S il ne poit précéder un éfet de ma slamme.
CELIDOR.	CELIDOR.
De grace che ramy pourſui donc ce diſcours, Ie ſuis preſt de quitter celuy de mes amours.	De grâce che rami poursui donc ce discours, Je suis prêt de quitter celui de mes amours.
LE PSETE.	LE PSETE.
La libre volonté nous demeure eternelle, Soit en vne action ou ſaincte ou criminelle, C’est pourquoy le ſucces est touſiours incertain, Le vouloir d’auiourd’huy ne ſera pas demain:	La libre volonté nous demeure éternelle, Soit en une action ou sainte ou criminelle, C'est pourquoi le succès est toujours incertain, Le vouloir d'aujourd'hui ne sera pas demain:
Qui le pourra preuoir, & par quelle influence D'vn accident douteux ſe forme la ſcience, L’aſtre dominera ſur le corps ſeulement Pour eſtre composé de ce bas Element.	Qui le pourra prévoir, et par quelle influence D'un accident douteux se forme la science, L'astre dominera sur le corps seulement Pour Qui composé de ce bas Élément.
Nos maux viennent ſouuent d’vne œillade funeste, Que darde ſur nos chefs la planette cœleſte:	Nos maux viennent souvent d'une œillade funeste, Que darde sur nos chefs la planète cœleste:
Mais que le mouuement d’vn eſprit agiſſant, Impaßible, immortel, de ſoy meſme puiſſant:	Mais que le mouvement d'autre esprit agissant, Impasible, immortel, de soi -même puissant:
Par vn ſi foible effort reçoiue la contreinte, C’eſt l’infaillible erreur fondé ſur vne feinte:	Par un si faible effort reçoive la contreinte, C'est l'infaillible erreur fondé sur une feinte:
Le ſouuerain autheur qui ſçait noſtre deſſein Le change quand il veut, & l’arrache du ſein, Nous faiſant conceuoir vn autre tout contraire, Preuenant le vouloir afin de le diſtraire:	Le souverain auteur qui sait notre dessein Le change quand il veut, et l'arrache du sein, Nous faisant concevoir un autre tout contraire, Prévenant le vouloir afin de le distraire:
Tentejon pouiſaihons deenemin commence.	Tentejon pouvisaihons deenemin commence.
CRLIDOR.	CRLIDOR.
le voy vuen que tamour n eſt aont guiere aduancé.	le vois vuen que tamour n est aont guière avancé.
LE CAPITAINE.	LE CAPITAINE.
Nous aurons du plaiſir en ſa courte viſite, Le temps & la ſaiſon à cela nous inuite.	Nous aurons du plaisir en sa courte visite, Le temps et la saison à cela nous inuite.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
CELIDOR.	CELIDOR.
Roſterné deuant toy qui conceus l’aduenir, M Ie viens dire qu’Hymen ne me veut retenir Captif en ſes liens ſi ie ne t’importune Pour aprendre l’arreſt de ma bonne fortune:	Rosterné devant toi qui conçus l'avenir, M Ie viens dire qu'Hymen ne me veut retenir Captif en ses liens si personne ne t'importune Pour apendre l'arrêt de ma bonne fortune:
Le choix d’vne beauté remis entre tes mains, Comme à celle qui tient tout le ſort des humains.	Le choix d'une beauté remis entre tes mains, Comme à celle qui tient tout le sort des humains.
M'a forcé de ſonder ta volonté ſacree Touchant lelection de celle qui t'agree, Afin que ſi te ſuis aſſeuré de mon mieux, Ie puiſſe rechercher le regard de ſes yeux.	M'a forcé de sonder ta volonté sacre Touchant lelection de celle qui t'agrée, Afin que si te suis assuré de mon mieux, Je puisse rechercher le regard de ses yeux.
LA SIB’ILLE.	LA SIB'ILLE.
Melidor ie ſçay bien le ſubjet qui te neine, Mais ie ne puis donner de ſecours à ta peine, Qu’vn perfide Amphion ne s’eſloigne d’icy, C’eſt à toy deſormais d’en prendre le ſoucy, A Dien pour cete jon.	Mélidor ie sais bien le sujet qui te neine, Mais tu ne puis donner de secours à ta peine, Qu'un perfide Amphion ne s'éloigne d'ici, C'est à toi désormais d'en prendre le souci, A Dien pour cette jon.
LE POETE A LA SIBILLE.	LE POTE À LA SIBYLLE.
Quelle infame ſorciere Veut icy preſider à la couche nociere, Pourquoy nous abuſer ſur mon eſloignement, C’eſt que la verité ton langage dement.	Quelle infâme sorcière Veut ici présider à la couche nocière, Pourquoi nous abuser sur mon éloignement, C'est que la vérité ton langage dément.
Des credules efpris au ſon de ta parole Se treuuent ſatisfaits d’vne feinte friuole:	Des crédules épris au son de ta parole Se trouvent satisfaits d'une feinte frivole:
Pour moy ie cognois bien tes crimes ignorez, Et la punition des tourmens preparez.	Pour moi votre connais bien tes crimes ignorez, Et la punition des tourments préparés.
Ne voyons nous desja ta fumante cauerne, Qui nous va figurant la bouche de Lauerne, Ses hibous, ſes orfrais, ſes nocturnes oiſeaux Se vont entretenant de l’horreur de tes maux:	Ne voyons nous déjà ta fumante caverne, Qui nous va figurant la bouche de Laverne, Ses hibous, ses orfrais, ses nocturnes oiseaux Se vont entretenant de l'horreur de tes maux:
Le ſilence profond de ce deſert ſauuage, Fuyant va publier ſon malheur au riuage:	Le silence profond de ce des sauvage, Fuyant va publier son malheur au rivage:
Tu fais bien d’euiter les rayons du Soleil, Qui iamais icy bas n’ont rien veu de pareil:	Tu fais bien d'éviter les rayons du Soleil, Qui jamais ici bas n'ont rien vu de pareil:
Vne eternelle nuict doit couurir ce viſage, Afin que de la voir on en perde l’vſage.	Une éternelle nuit doit couvrir ce visage, Afin que de la voir on en perde l'usage.
LA SIBILE.	LA SIBILE.
Perfide, audacieux, temeraire, inſensé, Faut-il donc qu’vn mortel ſoit ſi fort aduancé, Qu’il oze blasphemer contre mon innocence?	Perfide, audacieux, téméraire, insensé, Faut-il donc qu'un mortel soit si fort avancé, Qu'ils oze blasphémer contre mon innocence?
O Ciel iuſte vengeur, prens-tu point cogmoiſſance De l’affront que me fait vn mortel ennemy, Ou bien ſi tu ne veux me venger qu’à demy, Tinnoquerdy ſondain l'infernale coborte Puniſſant l’impoſteur qui parle de la ſorte?	Ô Ciel juste vengeur, prends-tu point cogmoissance De l'affront que me fait un mortel ennemi, Ou bien si tu ne veux me venger qu'à demi, Tinnoquerdi sondain l'infernale coborte Punissant l'imposteur qui parle de la sorte?
LE POETE.	LE POTE.
Les Demons retenus au manoir de Pluton, Ne ſont pres de venir au gré d’vn Electon, Le Cerbere encheſné pour pour defendre l’entree N’oze pas remonter enſi belle contree:	Les Demons retenus au manoir de Pluton, Ne sont pres de venir au gré d'un Élécton, Le Cerbère enchesné pour pour défendre l'entre N'oze pas remonter ensi belle contrée:
Quel monſtre eſt aux enfers plus à craindre que toy, Si tu veux qu'vn chaſcun ſoit ſubmis à ta Loy.	Quel monstre est aux enfers plus à craindre que toi, Si tu veux qu'un chacun soit subis à ta Loi.
CELIDOR.	CELIDOR.
Finiſſons ce diſcort fait à mon preiudice, Meſme de ſon ſçauoir ie ne veux autre indice, Que d’auoir recognu tondiſcours precedent, de me trenut paintu par vn ſigneemdent.	Finissons ce discort fait à mon préjudice, Même de son savoir ici ne veux autre indice, Que d'avoir reconnu tondiscours précédent, de me trenut paintu par un signemèdent.
LE POETE.	LE POTE.
C’eſt en quoy ton eſprit ſe trompe dauantage Ignorant le projet de ce double langage, N’ayant iamais voulu que ie fuſſe preſent, Pour la facilité de t'aller abuſant.	C'est en quoi ton esprit se trompe davantage Ignorant le projet de ce double langage, N'ayant jamais voulu que sans fusse présent, Pour la facilité de t'aller abusant.
LE CAPITAINE.	LE CAPITAINE.
Si nous aimons tous deux vne ame curieuſe, Ie tiens que la tienne eſt ialouſe & enuieuſe, Nous bruſlons de deſir & tu veux amortir Ce qui doit eſtre fait ſans aucun repentir, NIEII Jorz llemlluale.	Si nous aimons tous deux avoir âme curieuse, Je tiens que la tienne est jalouse et envieuse, Nous brûlons de désir et tu veux amortir Ce qui doit été fait sans aucun repentir, NIEII Jorz llemlluale.
Sans teſmoigner pour nous vn ſoin ſi charitable.	Sans témoigner pour nous un soin si charitable.
CELIDOR.	CELIDOR.
I’appreuue ce diſcours, i’en voulois dire autant, L’on diroit que le Poëte eſt touſiours reſiſtant.	J'approuve ce discours, j'en voulais dire autant, L'on dirait que le Poète est toujours résistant.
LE POETE.	LE POTE.
Le Demon familier de la Sibille noire N’a pas eu le pouuoir de me donner à boire.	Le Démon familier de la Sibille noire N'a pas eu le pendant de me donner à boire.
A Dieu donc ie m’en vais au ſeiour du plaiſir, Quns le verrt tout picin, ou ton vont d ioiſir.	À Dieu donc mille m'en vais au séjour du plaisir, Quns le verrt tout picin, ou ton vont d oisir.
CELIDOR.	CELIDOR.
Allons nous repoſer au frais de ceſt vmbrage, La Sibille pourra diuertir ſon courage.	Allons nous reposer au frais de cet vambrage, La Sibille pourra divertir son courage.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE INEMIENE.	SCÈNE INEMIENE.
CELIDOR.	CELIDOR.
Ve ie faits vn effet contraire au ſentiment, I'ayme ſans auoir veu ce qui me fait amant, Ie veux ſuiure touſiours vne ombre fugitiue, Sans cog noiſtre l'objet de mon ame captiue, Ie cheris le portrait que moy-meſme i’ay peint, Toutefois en naiſſant mon ſubiet eſt eſteint:	Ve beau faits un effet contraire au sentiment, J'aime sans avoir vu ce qui me fait amant, Je veux suivre toujours une ombre fugitive, Sans cog naître l'objet de mon âme captive, Je chéris le portrait que moi-même j'ai peint, Toutefois en naissant mon sujet est éteint:
Mais peut il eſtre veu, puis qu’il eſt inuiſible, Ie mourray mille fois éprouuant l’impoßible, Où ie ſçauray bien toſt ſi ie ſuis enchanté:	Mais peut -il être vu, puis qu'il est invisible, Je mourrai mille fois éprouvant l'impoglible, Où ie Saurai bien tôt si tu suis enchanté:
C’eſt peut estre d’amour quelque ſonge inuenté, Pour me faire éprouuer le pouuoir de ſes charmet Afind'eſtre vaincu de ſes puiſſantes armes, Ie ſuis preſt de mourir d’vne ſi douce mort, Et ſi ie meurs d’amour ie beniray mon ſort, Pourquoy ſuis ie vaincu, ie n’ay point veu la breche, Ny reſſenty le coup de l’amoureuſe fleche, Le bel œilrauiſpau popomurocuinet, Et noſtre cœur reçoit ſon effet immortel.	C'est peut être d'amour quelque songe inventé, Pour me faire éprouver le pouvoir de ses charmet Afind'être vaincu de ses puissantes armes, Je suis prêt de mourir d'une si douce mort, Et si tu meurs d'amour je bénirai mon sort, Pourquoi suis ie vaincu, Seigneur n'ai point vu la brèche, Ny ressenti le coup de l'amoureuse flèche, Le bel œilrauispau popomurocuinet, Et quelque cœur reçoit son effet immortel.
LE CAPITAINE.	LE CAPITAINE.
Ie voybien que ton feu cherche quelque matiere Propre pour eſmouuoir vne chaleur entiere, Ne pouuant ſubſiſter ſans ce doux aliment Qui fait que noſtre cœur s’embraſe doucement.	Je voisbien que ton feu cherche quelque matière Propre pour émouvoir une chaleur entière, Ne pouvant subsister sans ce doux aliment Qui fait que notre cœur s'embrase doucement.
Comments'imager vne choſe ignrts, Noſtre felicité ne peut estre eſperee, Si nous n'en cognoiſſons la cauſe & le ſubiet.	Comments'imager une chose ignrts, Notre félicité ne peut être espère, Si nous n'en connaissons la cause et le sujet.
CELIDOR.	CELIDOR.
N’eſt il pas bien aisé de ſe feindre vn obiet, Aymable, gracieux, tout plein de courtoiſie, Vn ouurage conceu dans noſtre fantaiſie?	N'est il pas bien aisé de se feindre un objet, Aimable, grâce, tout plein de courtoisie, Un ouvrage conçu dans notre fantaisie?
LE CAPITAINE.	LE CAPITAINE.
Tu me parles d’vn ſonge, & ie chercher l’effet, Nature ne ſe plaiſt à l'ouurage imparfait, Ie voudrois poſſeder, & non ſans aſſeurance Repaiſtre mes deſirs de vent e d'eſperance,	Tu me parles d'Hommes songe, et ainsi chercher l'effet, Nature ne se plaît à l'ouvrage imparfait, Je voudrais posséder, et non sans assurance Repaistre mes désirs de vent d'espérance,
CELIDOR.	CELIDOR.
L’eſperance d’amour eſt vn fruict ſauoureux, Et qui vit ſans eſpoir ne peut estre amoureux.	L'espérance d'amour est un fruit savoureux, Et qui vit sans espoir ne peut être amoureux.
LR CAPITAINE.	LR CAPITAINE.
Ainſt qu vn empereur qui fiſi ſeruir à table Le ſenat d’vn festin qui n’eſtoit veritable.	Ainst qu' une empereur qui fisi servir à table Le sénat d'un festin qui n'était véritable.
CELIDOR.	CELIDOR.
Voudrois tu comparer l’appetit de manger Au feu qui va bruſlant vn amoureux berger?	Voudrais tu comparer l'appétit de manger Au feu qui va brûlant un amoureux berger?
LE CAPITAINE.	LE CAPITAINE.
Voudrois-tu ſoulager la violente fiebure Pourieuer vnpeud eauſur te vora de la leures Sous l’eſpoir incertain de ton illuſion Tu me veux abuſer de mon affection:	Voudrais-tu soulager la violente fiebure Pourieuer vnpeud eausur te vora de la lèvres Sous l'espoir incertain de ton illusion Tu me veux abuser de mon affection:
CELIDOR.	CELIDOR.
Qui voudroit oppoſer le nombre des obſtacles, A mour ne pourroit pas faire voir ſes miracles.	Qui voudrait opposer le nombre des obstacles, À mour ne pourrait pas faire voir ses miracles.
LE CAPITAINE.	LE CAPITAINE.
Mais tout ce que tu dis ſans l’auoir eſpreuué, Ce n’eſt que quand la nuict noſtre esprit a reſué.	Mais tout ce que tu dis sans l'avoir espreuué, Ce n'est que quand la nuit notre esprit a rêvé.
Ses amoureux baiſers d’vne bouche vermeille Seruent d’empeſchement que noſtre ame ſommeille, Sans eux on periroit, & l’eſtre renaiſſant Par la lo y du trespas s’en iroit finiſſant.	Ses amoureux baisers d'une bouche vermeille Servent d'empêchement que notre âme sommeille, Sans eux on périrait, et l'être renaissant Par la lo y du trépas s'en irait finissant.
CELIDOR.	CELIDOR.
La Nature vous est grandement obligee, Que par veſtre moyen elle ſoit ſoulagee, C’est pourquoy vos raiſons me vont perſuadant, Qu’il faut viure & mourir en ce deſir ardent, Et non point s’arreſter au gréde la penſee, Mais ie voy pres de nous la Sibille aduancee.	La Nature vous est grandement oblige, Que par veut moyen elle soit soulagée, C'est pourquoi vos raisons me vont persuadant, Qu'il faut vivre et mourir en ce désir ardent, Et non point s'arrêter au grède la pensée, Mais je vois pres de nous la Sibille avance.
EL XIESME.	ÉL XIESME.
LA SIBILE.	LA SIBILE.
