ARGVMENT SVR L’EMETIQVE PREPARE.	ARGUMENT SUR L'ÉMÉTIQUE PRÉPARE.
Ce rebelle homicide évitant la potence Veut encore appeller d’vne douce ſentence:	Ce rebelle homicide évitant la potence Veut encore appeler d'une douce sentence:
Qu’il ſoit mis pour vn temps au canton des Bourreaux	Qu'il soit mis pour un temps au canton des Bourreaux
LA VIEILLE.	LA VIEILLE.
Qu’il le merite bien, bon, bon.	Qu'il le mérite bien, bon, bon.
GARON la prenant.	GARON la prenant.
Afin de vous purger.	Afin de vous purger.
Allons aux eaux.	Allons aux eaux.
EACVS.	EACUS.
Aimant d’eſtre vangée, Prés des vindicatifs, qu’elle ſoit donc rangée, Sans paſſer par icy.	Aimant d'être vengée, Près des vindicatifs, qu'elle soit donc rangée, Sans passer par ici.
LA VIEILLE Irommeillant.	LA VIEILLE Irommeillant.
Guion, guion, guion.	Guion, guion, guion.
CARON.	CARON.
Guion, guion, guion, Faut en paſſer par là, voulez-vous de l’oignon, Pour pleurer à voſtre aiſe.	Guion, guion, guion, Faut en passer par là, voulez-vous de l'oignon, Pour pleurer à votre aise.
RADAMANTE parlant à l'Antimeine.	RADAMANTE parlant à l'Antimeine.
Et vous noſtre Emetique, Où vous placerons-nous, petit faux politique, Tirant à coups perdu ſans regarder commentVous vous laſſerez tout, on voit en vn moment Cent Ombres chez Caron, & ſur le bord de l’onde Se plaindre de vos coups qui dépeuplent le monde.	Et vous notre Emétique, Où vous placerons-nous, petit faux politique, Tirant à coups perdu sans regarder commentUous vous lasserez tout, on voit en un moment Cent Ombres chez Caron, et sur le bord de l'onde Se plaindre de vos coups qui dépeuplent le monde.
D’où vous vient cette audace, exerçant cét employ?	D'où vous vient cette audace, exerçant cet emploi?
Avez-vous quelque droit pour donner vne loy?	Avez-vous quelque droit pour donner une loi?
Eſtes-vous vn commis du party de la Parque?	Êtes-vous un commis du parti de la Parque?
CARON r'entre.	CARON rentre.
Meſſieurs, ie ne puis plus me ſervir de ma Barque, I'ay veu la Vieille & moy près de couler à fond, Faut faite, s’il vous plaiſt, comme les autres POIIt  Si l’on n’a pas de quoy m’en fournir vne neuve, Pour la ranetaſſer donnez-moy quelque trêve.	Messieurs, Madame ne puis plus me servir de ma Barque, J'ai vu la Vieille et moi près de couler à fond, Faut faite, s'il vous plaît, comme les autres POIIt Si l'on n'a pas de quoi m'en fournir une neuve, Pour la ranétasser donnez-moi quelque trêve.
RADAMANTE.	RADAMANTE.
Retenant l’Antimoine en ces lieux pour iamais, Curonte poue drepoſer deſorma s:	Retenant l'Antimoine en ces lieux pour jamais, Curonte poue dreposer désorma s:
Tu peux dés à preſent ne paſſer plus perſonne, Pour la recalfeutrer.	Tu peux dès à présent ne passer plus personne, Pour la recalfeutrer.
CARON.	CARON.
Voſtre penſée eſt bonne;	Votre pensée est bonne;
Car ſi vous relaſchiez ce petit Minnidon, Ma foy, ie laiſſerois la Barque à l’abandon.	Car si vous relâchiez ce petit Minnidon, Ma foi, tu laisserais la Barque à l'abandon.
RADAMANTE.	RADAMANTE.
De demeuter icy c’eſt ſon moindre ſupplice, Il faut ſçavoir de plus s’il a quelque complice, Qui pût à ſon abſence aller deſſus ſes pas, Et livret apr s luy les mortels au trépas:	De demeuter ici c'est son moindre supplice, Il faut savoir de plus s'il a quelque complice, Qui pût à son absence aller dessus ses pas, Et livret après si luy les mortels au trépas:
N’avez-vous point en haut la ſſe quelque Confrere?	N'avez-vous point en haut la sse quelque Confre?
qui ſoit de meſme humeur que Monſieur vôtre pere?	qui soit de même humeur que Monsieur votre père?
Répondez.	Répondez.
quoy vous, vous, quoy vous ne dites rien, Et vous hôchez la teſte:	quoi vous, vous, quoi vous ne dites rien, Et vous hôchez la tête:
ha!	ha!
ie reconnois bien Voſtre petit eſprit dans cette humeur rebelle.	Ne reconnais bien Votre petit esprit dans cette humeur rebelle.
CARON.	CARON.
Vrayment vrayment, vrayment, vous me la baillez belle, Mettez-moy dans vn trou pour iamais ce mutin.	Vraiment vraiment, vraiment, vous me la baillez belle, Mettez-moi dans un trou pour jamais ce mutin.
RADAMANTE.	RADAMANTE.
Faudroit auparavant conſulter ce deſtin, Car comm’il eſt iſſu de la celeſte race Peut-eſtre que Plutton luy donneroit ſa grace, Le iugeant comme vn muet.	Faudrait auparavant consulter ce destin, Car comm'il est issu de la céleste race Peut-être que Pluton ici donnerait sa grâce, Le jugeant comme un muet.
CARON.	CARON.
Iugez, iugez touſiours, qu’il ſoit mis dans les ſers, gardez-vous de ſa tours, s’il n’eſt fait priſonnier, il peut à tire d’aiſle Retourner par delà ſans prendre ma Naſſelle;	Jugez, jugez toujours, qu'il soit mis dans les sers, gardez-vous de sa tours, s'il n'est fait prisonnier, il peut à tire d'aile Retourner par delà sans prendre ma Nasselle;
Tous ces Dieux & demy ne valẽt pas trois blans Ie n’ay rien de leur peau, ſont mes paſſevolans.	Tous ces Dieux et demi ne valent pas trois blants Je n'ai rien de leur peau, sont mes passevolants.
Caron, Caron.	Caron, Caron.
On appelle.	On appelle.
CARON.	CARON.
Ceux-là pourront bien faire vn giſle, Car vn vaiſſeau rompu, n’eſt pas refait ſi viſte.	Ceux-là pourront bien faire un gîle, Car un vaisseau rompu, n'est pas refait si viste.
RADAMANTE.	RADAMANTE.
Va donc y travailler.	Va donc y travailler.
CARON.	CARON.
I’y vay Meſſieurs, ſur tous, Si ce drole s’en fuit, il va me mettre à bout, Ie renonce au meſtier.	J'y vais Messieurs, sur tous, Si ce drôle s'en fuit, il va me mettre à bout, Je renonce au métier.
Vous pouvez, s’il vous plaiſt, ambuler à voſtte aiſe, Cal le bag dieprite ſie vay y travailler.	Vous pouvez, s'il vous plaît, ambuler à vostte aise, Cal le bag dieprite sièie vais y travailler.
Parlant au luge en s’en allant.	Parlant au luge en s'en allant.
Gardez que ce Pinon n’aille funerailler.	Gardez que ce Pinon n'aille funérailler.
Il rentre & revient.	Il rentre et revient.
l’eſt là tout mon ſoucy, ie vous le recommande.	l'est là tout mon souci, je vous le recommande.
RADAMANTE.	RADAMANTE.
Pour ne pas debouter Caron de ſa demande, Nous le faut condamner, ainſi que de raiſon, A garder cependant vne eſtroitte priſon.	Pour ne pas débouter Caron de sa demande, Nous le faut condamner, ainsi que de raison, A garder cependant une étroite prison.
Caron coigne derriere le Theatre, tra vaillant à ſon Bag.	Caron coigne derrière le Théâtre, tra vaillant à son Bag.
Et Plutton informé de toute ſa conduitte Pourra bien empeſcher qu’il ne prenne la fuitte, Luy donnant ſeure garde, apres commodement Nous pourtons proceder aux fins de iugement.	Et Pluton informé de toute sa conduite Pourra bien empêcher qu'il ne prenne la fuite, Lui donnant sûre garde, après commodément Nous pourtons procéder aux fins de jugement.
Il rentre, & Caron revient d'vn coſté, & Mereurs apres lay couvert d'vn creſpe en Ombre.	Il rentre, et Caron revient d'un côté, et Mereurs après lay couvert d'un crêpe en Ombre.
Fin du premier Acte.	Fin du premier Acte.
ACTE II.	ACTE II.
CARON.	CARON.
A foy Meſſieurs, voyez, ma pochette eſt Mr gués, Mon argent eſt perdu, me faut avoir du cloud Perſonne ne répond, la peſte, ie ſuis fou, Tout le monde eſt party.	À foi Messieurs, voyez, ma pochette est Mr guz, Mon argent est perdu, me faut avoir du cloud Personne ne répond, la peste, Seigneur est fou, Tout le monde est parti.
MERCVRE taſtonnant.	MERCURE tâtonnant.
Où ſuis-ie donc bon homme Ie ne voy goutteicy.	Où suis-je donc bon homme Je ne vois goutteici.
CARON.	CARON.
Voila tout ainſi comme Ce chien de Partiſan, qui paſſe ſans payer.	Voilà tout ainsi comme Ce chien de Partisan, qui passe sans payer.
MERCVRE.	MERCURE.
Ie viens à petit bruit pour ne pas t’effrayer, Es-tu le Nautonnier de la cruelle Parque?	Je viens à petit bruit pour ne pas t'effrayer, Es-tu le Nautonnier de la cruelle Parque?
CARON.	CARON.
Oüy, Monſieur, ie le ſuis, & Nautonnier ſans Barque:	Oui, Monsieur, Madame le suis, et Nautonnier sans Barque:
Vn ieune jouvenceau, fils de pere incertain ue ie pourrois quaſi nommer fils de putain, M’a fait depuis trois mois plus faire l'exet- cice qu’en dix ans tous entiers.	Un jeune jouvenceau, fils de père incertain ue ie jais quasi nommer fils de putain, M'a fait depuis trois mois plus faire l'exét- ce qu'en dix ans tous entiers.
MERCVRE.	MERCURE.
Pour te rendre iuſtice, -je ſçavoir ſon nom, ie le feray punir?	Pour te rendre justice, -je savoir son nom, où le ferai punir?
CARON.	CARON.
On n’en parlera plus, ie m’en vay rajeunir, n Medecin fourré pour guerir tout le monde ous a livré par coips, ce petit chef de fronde ui giſt dans nos priſons pour vne bonne fois.	On n'en parlera plus, ie m'en vais rajeunir, n Édecin fourré pour guérir tout le monde ous à livré par coips, ce petit chef de fronde ui gît dans nos prisons pour une bonne fois.
MERCVRE.	MERCURE.
duu nom.	du nom.
CARON.	CARON.
C’eſt l’Antimoine.	C'est l'Antimoine.
MERCVRE.	MERCURE.
Hé!	Hé!
bon homme, tu crois Que cét enfant des Dieux, conduit dans l’innocence, Demeurera chez vous ſans appel de ſentence?	bon homme, tu crois Que cet enfant des Dieux, conduit dans l'innocence, Demeurera chez vous sans appel de sentence?
os luges ſeulement ont droit ſur les humains, Que le deſtin fatal leur livre entre les mains;	os luges seulement ont droit sur les humains, Que le destin fatal leur livre entre les mains;
Mals d’arreſter vn Dieu ſans ordie, & par contrainte, eſt aſſez attenter?	Mals d'arrêter un Dieu sans ordie, et par contrainte, est assez attenter?
CARON.	CARON.
Oſes-tu bien ſans crainte ſonſieur, qui que tu ſois, nous menaſſer icy?	Oses-tu bien sans crainte sonsieur, qui que tu sois, nous menacer ici?
fais le Rodomont, ie rodomonte auſſi, te dis en vn mot que parlant de la ſorte e feray paſſer par la petite porte loger avec luy.	fais le Rodomont, votre rodomonte aussi, te dis en un mot que parlant de la sorte e ferai passer par la petite porte loger avec lui.
MERCVRE.	MERCURE.
Caron, tut es mépris, Enviſage-moy bien, rapelle tes eſprits, Tu me prens pour vn autre.	Caron, tut es mépris, Envisage-moi bien, rappelle tes esprits, Tu me prends pour un autre.
CARON Ah non, ſans me méprendre Ie te connois fort bien;	CARON Ah non, sans me méprendre Je te connais fort bien;
ce que ie viens d’entendre Sent fort ſon Medecin, qui court le Stibion.	ce que ici viens d'entendre Sent fort son Médecin, qui court le Stibion.
Depuis que nous avons ce fameux champion, Nous voyons venir drud ſes mouches à la rûche Gayes comme porteurs d’eau, qui n’ont nylſceas ny cruche.	Depuis que nous avons ce fameux champion, Nous voyons venir drud ses mouches à la ruche Gayes comme porteurs d'eau, qui n'ont nylsceasrit cruche.
Faute de Scibion ils meurent tous de faim.	Faute de Scibion ils meurent tous de faim.
MERCVRE.	MERCURE.
Ie ne raiſonne plus, ça donne-moy la main Pour marcher dans ces lieux, ie ne peux m conduire Ne voyant que broüillards.	Je ne raisonne plus, ça donne-moi la main Pour marcher dans ces lieux, ie ne je ne peux Ne voyant que broüillards.
CARON ſe reculant oſte ſon bonnet.	CARON se reculant ôte son bonnet.
Vous n’avez rien qu’à dire Monſieur, où logez-vous, on vous le portera?	Vous n'avez rien qu'à dire Monsieur, où logez-vous, on vous le portera?
Il n’eſt ma foy pas ſot, il s’apprivoiſera Ce beſon ſort du nid, & dans ſon humeu niaiſe Il luy faut des valêts pour marcher à ſon aiſe:	Il n'est ma foi pas sot, il s'apprivoisera Ce beson sort du nid, et dans son humeu ni Il a faut des valêts pour marcher à son aise:
Vous falloit en partant, Monſieur le Medecin, Prendre en croupe avec vous quelqu’autre Car rabin, Qui portant vos faiſſeaux n’ayant plus voſtr mule, Il euſt fait faire place avec vne ſpatule, Et vous auriez au nez pû ſuivre gravement Voſtre Maſſe à Bedeau.	Vous fallait en partant, Monsieur le Médecin, Prendre en croupe avec vous quelqu'autre Car rabin, Qui portant vos faisseaux n'ayant plus vostr mule, Il eût fait faire place avec une spatule, Et vous au au nez pu suivre gravement Votre Masse à Bedeau.
L’eſtuy du lavement.	L'est du lavement.
MERCE	MERCE
MERCVRE.	MERCURE.
Allons ſans diſcourir, il eſt temps de ſe taire, Conduis-moy ieuiement.	Allons sans discourir, il est temps de se taire, Conduis-moi jeuiement.
CARON ſe recule & leve l'Aviron.	CARON se recule et leve 'Aviron.
Et va te faire faire Des conducteurs ailleurs, commande à tes valets.	Et va te faire faire Des conducteurs ailleurs, commande à tes valets.
MERCVRE le prend au collet.	MERCURE le prend au collet.
Ie ne viens pas icy pour danſer des Ballets, Marche.	Je ne viens pas ici pour danser des Ballets, Marche.
CARON crieAu voleur Plutton, Eacus, Radamante, A moy, ie ſuis perdu, la rage me tourmente, Volme pauvie Noener vatuer à la fin, Eſtant entre les mains de ce faux Medecin.	CARON crieAu voleur Pluton, Eacus, Radamante, À moi, sans suis perdu, la rage me tourmente, Volme pauvie Noener vatuer à la fin, Étant entre les mains de ce faux Médecin.
On appeule.	On appeule.
PLVTTON arriue, & Caron paroit immobils comme vne ſtatuë.	PLUTON arrive, et Caron parait immobils comme une statue.
Ayant eu pour partage Ces lleux inhabitez, ſans nul autre advantage, Mes ainez en repos contentent leurs deſirs, Et moy dans l’embartas éloigné des plaiſirs ſe redouble mes ſoins pour eſtablit quelqu’ordre, Et plus ie vais avant, & plus i'ay de deſordre:	Ayant eu pour partage Ces louleux inhabités, sans nul autre avantage, Mes aîné en repos contentent leurs désirs, Et moi dans l'embartas éloigné des plaisirs se redouble mes soins pour établit quelqu'ordre, Et plus jour vais avant, et plus j'ai de désordre:
Mes freres cependant gardent les doux objets, Et i’ay tout le rebut de leurs maudits ſujets;	Mes frères cependant gardent les doux objets, Et j'ai tout le rebut de leurs maudits sujets;
Ils tirent de leur peau leurs plaiſirs & delices, Et ſous vn calme faux les crimes & les vices, Courent de toutes parts pour eſtre moins vnis, It pour vn qu’on eſteint mille ſont impunis.	Ils tirent de leur peau leurs plaisirs et délices, Et sous un calme faux les crimes et les vices, Courent de toutes parts pour être moins unis, It pour un qu'on éteint mille sont impunis.
On appells.	On appels.
C iij Coron, Caron, Caron.	Ç iij Oron, Caron, Caron.
PLVTTON.	PLUTON.
Notonnier on t’appelle D'où vient que ce vieillard a quitté ſa naſſelle?	Notonnier on t'appelle D'où vient que ce vieillard a quitté sa nasselle?
Vn de la ſuitte de Plutton reIl eſt donc immobile, il ne nous répond rien, Parle Donc.	Un de la suite de Pluton rel est donc immobile, il ne nous répond rien, Parle Donc.
Plutton le touchant de ſon Sceptre.	Pluton le touchant de son Sceptre.
CAR ON ſe réveillant.	CAR ON se réveillant.
Ah!	Ah!
grand Roy, ce pauvre Galeries Pour s’eſtre declaré d’Antimoine heretique De prude en vn moment eſt venu frenetique.	grand Roi, ce pauvre Galeries Pour s'être déclaré d'Antimoine hérétique De prude en un moment est venu frénétique.
LVTTON.	LUTON.
Que dis-tu, parle mieux, car ie ne t’entend pas.	Que dis-tu, parle mieux, car ainsi ne t'entend pas.
CARON.	CARON.
Ce Bourreau ne pouvant me reduire au trépas, M’a ietté dans le nez quelque poudre aſſez fine, Et ſans ſçavoir comment, i’auray pris medecine.	Ce Bourreau ne pouvant me réduire au trépas, M'a jeté dans le nez quelque poudre assez fine, Et sans savoir comment, j'aurai pris médecine.
PLVTTON parlant à Mer cure inconnu.	PLUTON parlant à Mer cure inconnu.
Comment, dans mon Palais atraquer mon pouvoir?	Comment, dans mon Palais atraquer mon pouvoir?
Ah!	Ah!
Medecin fatal, en faiſant mon devoir, Comme vn autre Ixion tu ſeras ſur la rouë, Allons, prenez-le-moy.	Medecin fatal, en faisant mon devoir, Comme un autre Ixion tu seras sur la roue, Allons, prenez-le-moi.
MERCVRE à part.	MERCURE à part.
Quelque foux qui s’y ioué, Allons, découvrons nous, paroiſſons, il eſt temps, le n’aymerois pas trop ce joly paſſe-temps, oſtant ſon voile & prenant ſon Calucée.	Quelque foux qui s'y joué, Allons, découvrons nous, paraissons, il est temps, le n'aimerais pas trop ce joli passetemps, ôtant son voile et prenant son Calucée.
Gond Roy des antres noirs	Gond Roi des antres noirs
PLVTTON.	PLUTON.
Quoy voir icy Mercure.	Quoi voir ici Mercure.
CARON.	CARON.
Ah!	Ah!
le ruſé demon.	le rusé démon.
MERCVRE.	MERCURE.
L’iniuſte procedure Que l’on exerce icy contre vn ieune innocent M’empeſchoit de paroiſtre en mon habit decent, rainte qu’eſtant connu parent de cét eſclave On ne le fiſt cacher an muay de quelque cave, t qu’on nous dit après, que nous demandezvous?	L'injuste procédure Que l'on exerce ici contre un jeune innocent M'empêchait de paraître en mon habit décent, rainte qu'étant connu parent de cet esclave On ne le fît cher an muai de quelque cave, t 'on nous dit après, que nous demandezvous?
lous ne l’avons point veu	lous ne l'avons point vu
PLVTTON.	PLUTON.
Voſtre parent chez nous?	Votre parent chez nous?
MERCVRE.	MERCURE.
6 Oüy, grand Roy, l’Antimoine a Saturne pour Perc, ie viens de ſa part vous expoſer l’affaire, it obtenir de vous ſa iulle liberté.	6 Oui, grand Roi, l'Antimoine a Saturne pour Perc, sans viens de sa part vous exposer l'affaire, it obtenir de vous sa julle liberté.
CARON.	CARON.
Mereure devient bon, il a bien concerté vec les Medecins, n’aymant que les perſides,  chef de grands voleurs il paſſe aux homicides.	Mereure devient bon, il a bien concerté vec les Médecins, n'aimant que les persides, chef de grands voleurs il passe aux homicides.
7 PLVTTON.	7 PLUTTON.
L’on m’a déja parlé de ce pecit mutin renverſe luy ſeul les forces du deſtin, Il met impunément tout le monde par terre, Et fait à petit bruit vne ſanglante guerre, Saturne eſtant fort loin ne bleſſe qu’à demy;	L'on m'a déjà parlé de ce pécit mutin renverse lui même les forces du destin, Il met impunément tout le monde par terre, Et fait à petit bruit un sanglante guerre, Saturne étant fort loin ne blesse qu'à demi;
Mais pour achever tout, ce cruel ennemy.	Mais pour achever tout, ce cruel ennemi.
Couvert du vieux manteau du bon pere Sileine Prend le monde au collet, & leur fait perdi haleine, Il vous les pouſſe à bout, & par haut & p bas, Sous vne ſanté feinte, on les meine au trépas.	Couvert du vieux manteau du bon père Sileine Prend le monde au collet, et leur fait perdi haleine, Il vous les pousse à bout, et par haut et p as, Sous une santé feinte, on les mène au trépas.
Iupiter cependant, & tous tant que nous ſom mes, Nous perdons nos Eſtats, ſi nous perdons le hommes.	Jupiter cependant, et tous tant que nous som mes, Nous perdons nos États, si nous perdons le hommes.
Nous voyons chaque iour deſerter nos Autels, Et nous n’en aurons plus n’ayant plus de moi tels, Pour avoir des toiſons il faut conſerver l’oüaille Et ſi l’on veut des paux faut prendre la racaille,	Nous voyons chaque jour déserter nos Autels, Et nous n'en aurons plus n'ayant plus de moi tels, Pour avoir des toisons il faut conserver l'aille Et si l'on veut des paux faut prendre la racaille,
CARON.	CARON.
Mercure entendez-vous.	Mercure entendez-vous.
MERCVRE.	MERCURE.
Sans paroitre interde Si l’on veut m’écouter, tout ce qu’on voa dit Paroiſtra comme il eſt, c'eſt à dire vn me ſonge:	Sans paraître interde Si l'on veut m'écouter, tout ce qu'on voa dit Paraîtra comme il est, c'est à dire un me songe:
Des cœurs envenimez que la vengeance rong Trouvent toujours dequoy pouſſer vn aut à bout, Et pour ſe bien vanger, on fait argent tout.	Des cœurs envenimez que la vengeance rong Trouvent toujours dequoy pousser un aut à bout, Et pour se bien venger, on fait argent tout.
Ie me viens d’informer en paſſantaux écol ue certains Medecins ont trouvé cent bricoles Parmy leuts differends, & par bonne raiſon ay veu que la pluſpart n’en font point vn poiſon, I paroit en public, i’ay veu ſes privileges.	Je me viens d'informer en passantaux écol ue certains Médecins ont trouvé cent bricoles Parmi luts différends, et par bonne raison ai vu que la plupart n'en font point un poison, I parait en public, j'ai vu ses privilèges.
PLVTTON Ceux donc qui par faveur feroient des ſor tileges, Doivent paſſer pour bons, quoyque toûjours mauvais?	PLUTON Ceux donc qui par faveur feraient des sor tilèges, Doivent passer pour bons, quoique toujours mauvais?
6 Caron, Caron, Caron.	6 Caron, Caron, Caron.
On appelle.	On appelle.
1	1
CARON.	CARON.
C.	Ç.
a, ça, ça, ie m’en vais, Mais à propos, grand Roy, le débiis de ma Naſſe, Empeſche deſormais qu’aucune Ombre ne paſſe.	a, ça, ça, Seigneur m'en vais, Mais à propos, grand Roi, le débiis de ma Nasse, Empêche désormais qu'aucune Ombre ne passe.
PLVTTON.	PLUTON.
Hé, tu demeures-là.	Hé, tu demeures-là.
CARON.	CARON.
Ie ne peux travailles, Si du coffre d’épargne on ne me fait baiſler Quelque ſomme d’argent pour la remettre en ordre.	Je ne peux travailles, Si du coffre d'épargne on ne me fait baisler Quelque somme d'argent pour la remettre en ordre.
PLVTTON.	PLUTON.
Ie ne prux faire vn pas ſans voir quelque deſordre;	Je ne prux faire un pas sans voir quelque désordre;
Quoy, tu n’as pas d’argent pour avoir quelques cloux!	Quoi, tu n'as pas d'argent pour avoir quelques cloux!
CARON monεrant ſa poche I’en avois, il eſt vray, mais vous voy les tious Par où tout s’eſt coulé du profond de n pochet	CARON monεrant sa poche J'en avais, il est vrai, mais vous vois les tious Par où tout s'est coulé du profond de n ochet
PLVTTON.	PLUTON.
Caron nous cache là quelque anguille roche, Dis plûtoſt que Caron cherche à ſe repoſer, Et plutton pourroit bien peut eſtre diſpoſer De ce droit pour vn autre.	Caron nous cache là quelque anguille roche, Dis plutôt que Caron cherche à se reposer, Et pluton pourrait bien peut être disposer De ce droit pour un autre.
CARON.	CARON.
’Et pour ma recompenſ Voila donc mon brevet?	’Et pour ma recompens Voila donc mon brevet?
Ah!	Ah!
la belle ſentence Quelle iniuſtice, ô Dieux!	la belle sentence Quelle injustice, ô Dieux!
quoy, le grand Ro Plutton Ne redouteroit pas quelque grand dira-t’on?	quoi, le grand Ro Pluton Ne redouterait pas quelque grand dira-t-on?
Apres avoir moy ſeul exercé vingt offices, Mener les criminels aux lieux de leurs ſupplices, Paſſer & repaſſer le ſleuve à ous momens, Faire l’introducteur, & l’homme aux conplimens, 1 Eſtre Huiſſier au Parquet, Advocat, Secretaire, Greffier accuſateur, & ie me pourrois taire?	Après avoir moi seul exercé vingt offices, Mener les criminels aux lieux de leurs supplices, Passer et repasser le slève à ous moments, Faire l'introducteur, et l'homme aux conpliments, 1 Estre Huissier au Parquet, Aduocat, Secrétaire, Greffier accuser, et Seigneur me pourrais taire?
Quoy, dans l’âge où ie ſuis apres vn ſi lon temps, Non, ie n’en feray rien, le joly paſſetemps.	Quoi, dans l'âge où tu suis après un si lon temps, Non, ie j'en ferai rien, le joli passetemps.
PLVTTGN.	PLUTTGN.
De tous ces beaux emplois, le droit de bat telage.	De tous ces beaux emplois, le droit de bat telage.
117	117
MERCVRE.	MERCURE.
La iuſtice eſt icy comme dans vn village, In ſeul Baillif fait tout.	La justice est ici comme dans un village, In seul Baillif fait tout.
01 LVTON.	01 LUTON.
22 Suffit pout vn vieillard, puoy donc.	22 Suffit pout un vieillard, puoi donc.
l’on fait chez moy comme dans Vaugirard ?	l'on fait chez moi comme dans Vaugirard ?
2 uoy, dans mon Paclement, pour rendre la iuHice C1 16IR Va ſeul homme fait tout?	2 oi, dans mon Paclement, pour rendre la juHice C1 16IR Va seul homme fait tout?
Caron, ton avarice.	Caron, ton avarice.
’auſe tout ce deſordre:	Çàuse tout ce désordre:
où peut-on avoit mis es Huiſſiers, les Creffiers, Advocats & comar rouvez-moy Radamante, & qu’il vienne ſur I'heure, D ue Caron cependant retourne en ſa demeure, hclomene plarder maffes d’autruy, qu’il mette en eſtat ſa Naſſelle aujourd’huy.	où peut-on avait mis es Huissiers, les Creffiers, Advocats et comar rouvez-moi Radamante, et qu'il vienne sur J'heure, D' ue Don cependant retourne en sa demeure, hclomene plarder maffes d'autrui, qu'il mette en état sa Nasselle aujourd'hui.
MERCVRE.	MERCURE.
Vous eſtes mal ſeruy.	Vous êtes mal servi.
10	10
PLVTTON.	PLUTON.
1 Ie n’y ſçaurois que faire, n ne peut eſtablir aucun ordre en ces lieux, ctoyois que mes gens s’en acquitteroient mieux, es ayant retranchez & de nombre & de gages, deſſein d’arreſter leur grand libertinage;	1 Je n'y saurais que faire, n' a peut établir aucun ordre en ces lieux, ctoyais que mes gens s'en acquitteraient mieux, es ayant retranchés et de nombre et de gages, dessein d'arrêter leur grand libertinage;
pin de les rappeller à faire leur devoir.	pin de les rappeler à faire leur devoir.
jacun ſe divertit, & de tout ſon pouvoir.	jacun se divertit, et de tout son pouvoir.
ſtant le bois du feu, c’eſt le mettre à l’extreme ;	stant le bois du feu, c'est le mettre à l'extrême ;
ais pour petit qu’il ſoit, il eſt toûjours le meſme	ais pour petit qu'il soit, il est toujours le même
Radamante arrive.	Radamante arrive.
PLVTTON.	PLUTON.
Ie vois tout en deſordre, d’ou vient qu battellier Fait paſſer ce Palais comme ſon attellier?	Je vois tout en désordre, d'ou vient qu' attellier Fait passer ce Palais comme son attellier?
Vn ruſtre, vn Matelot qui ne ſçauroit pas lire, Se dit eſtre Advocat en cét illuſtre Empire:	Un rustre, un Matelot qui ne saurait pas lire, Se dit être Advocat en cet illustre Empire:
C’eſt ſe mocquer de moy, la moitié de me gens Ne ſont que Procureurs, Advocats ou Sergens, Greffiers, Solliciteurs, cent mille de leur ſorte Si ie n’en avois mis la pluſpait à la porte Tout mon Royaume enfin n’euſt eſté procez.	C'est se moquer de moi, la moitié de me gens Ne sont que Procureurs, Adocats ou Sergents, Greffiers, Solliciteurs, cent mille de leur sorte Si tu n'en avais mis la pluspait à la porte Tout mon Royaume enfin n'eût été procès.
RADAMANTE.	RADAMANTE.
En peu de mots, grand Roy, vous ſçaurti ce que c’eſt;	En peu de mots, grand Roi, vous saurti ce que c'est;
Depuis deux ou trois mois que le vin Eme tique:	Depuis deux ou trois mois que le vin Eme tique:
Nous a fait dans ces lieux redoubler la pra tique, D’vne Chambre au Conſeil nons en avons fat trois, Afin d’examiner tant de monde à la fois;	Nous a fait dans ces lieux redoubler la pra tique, D'une Chambre au Conseil nons en avons fat trois, Afin d'examiner tant de monde à la fois;
A moins de reſtablir les charges que l’on caſſe, Faudra pour quelque temps qu’aucun mortel ne paſſe;	À moins de rétablir les charges que l'on casse, Faudra pour quelque temps qu'aucun mortel ne passe;
Car nous ne ſçaurions ſeuls en venir bien bout.	Car nous ne saurions seuls en venir bien bout.
PLVTTON.	PLUTON.
Ce petit Mirmidon euſt enfin gâté tout.	Ce petit Mirmidon eût enfin gâté tout.
RADAMANTE.	RADAMANTE.
Quoy qu’il ſoit priſonnier par l’effort de ſe charmes Malgré tous vos ſoldats, vos gardes, vos gensd’armes, I court icy par tout, les ayant mis à bas.	Quo qu’il soit prisonnier par l'effort de se charmes Malgré tous vos soldats, vos gardes, vos gensd'armes, I court ici par tout, les ayant mis à bas.
PLVTTON.	PLUTON.
Faites le moy venir, allez-y de ce pasveux le voir de prés pour en faire iuſtice.	Faites le moi venir, allez-y de ce pasveux le voir de près pour en faire justice.
MERCVRE.	MERCURE.
De croire qu’vn enfant, quoyque plein de malice, uiſſe ainſi ſurmonrer tant de ſoldats armez.	De croire qu'un enfant, quoique plein de malice, uisse ainsi surmonrer tant de soldats armés.
PLVTTON.	PLUTON.
Il l’a fait ſans combat puis qu’il les a charmez.	Il l'a fait sans combat puis qu'il les a charmez.
On ameine le Medecin qui avoit amené l’Antimoine.	On âmeine le Médecin qui avait amené l'Antimoine.
EACVS.	EACUS.
Grand Roy, voicy l’autheur de la mutinerie, 'oicy le Medecin de l’antimoinerie, ui par vn iuſte Arreſt, comme vn homme de ſang, evoit près des cruels garder le premier rang.	Grand Roi, voici l'auteur de la mutinerie, ' oici le Médecin de l'antimoinerie, ui par un juste Arrêt, comme un homme de sang, euait près des cruels garder le premier rang.
