R IRE, Y.	 IRE, Y.
Ouf, tu m’eſtrangles, fat, laiſſe-le, comme il eſt.	Ouf, tu m'étrangles, fat, laisse-le, comme il est.
LA MONTAGNE.	LA MONTAGNE.
Souffrez qu’on peigne un peu.	Souffrez qu'on peigne un peu.
ERASTE.	ERASTE.
Sottiſe ſans pareille?	Sottise sans pareille?
Tu m’as, d’un coup de dent, preſque emporté l’oreille.	Tu m'as, d'un coup de dent, presque emporté l'oreille.
LA MONTAGNE.	LA MONTAGNE.
Vos canons.	Vos canons.
ERASTE.	ERASTE.
Laiſſe-les;	Laisse-les;
tu prens trop de ſoucy.	tu prends trop de souci.
Ln Mro Mill d NM.	Lenn Mro Mill d NM.
Ils ſont tout chifonnez.	Ils sont tout chifonnés.
ERASTE.	ERASTE.
Je veux qu’ils ſoient ainſi.	Je veux qu'ils soient ainsi.
LA MONTAGNE.	LA MONTAGNE.
Accordez-moy du moins, pour grace ſinguliere, Defotterco cnapeau, qu’on roit plein de pouſſiere.	Accordez-moi du moins, pour grâce singulière, Défotterco cnapeau, qu'on roit plein de poussière.
ERASTE.	ERASTE.
Frotte donc, puis qu'il faut que j’en paſſe par là.	Frotte donc, puis qu'il faut que j'en passe par là.
LA MONTAGNE.	LA MONTAGNE.
Le voulez-vous porter fait comme le voila?	Le voulez-vous porter fait comme le voilà?
ERASTE.	ERASTE.
Mon Dieu dépeſche-toy.	Mon Dieu dépêche-toi.
Da Mo MrAGME.	Da Mo MrAGME.
Ce ſeroit conſcience.	Ce serait conscience.
ERASTE aprés avoir attandu.	ERASTE après avoir attandu.
C’eſt aſſez.	C'est assez.
LA MONTAGNE.	LA MONTAGNE.
Donnez-vous un peu de patience.	Donnez-vous un peu de patience.
Huiciue.	Huiciue.
ERASTE.	ERASTE.
LAMONTAGNE.	LAMONTAGNE.
En quel lieu vous eſtes-vous fourré?	En quel lieu vous êtes-vous fourré?
ERASTE.	ERASTE.
T’es-tu de ce chapeau pour toûjours emparé?	T'es-tu de ce chapeau pour toujours emparé?
C’eſt fait.	C'est fait.
LAMONTAGNE.	LAMONTAGNE.
ERASTE.	ERASTE.
Donne-moydonc.	Donne-moidonc.
LA MONTAGNE laiſſant tomber le chapeau.	LA MONTAGNE laissant tomber le chapeau.
ERASTE.	ERASTE.
Le voila par terre:	Le voilà par terre:
Je ſuis fort avancé:	Je suis fort avancé:
que la fiévre te ſerre.	que la fièvre te serre.
EAMONIAONE Permettez qu’en deux coups j’oſte.	EAMONIANE Permettez qu'en deux coups j'ôte.
ERASTE.	ERASTE.
Il ne me plaiſt pas.	Il ne me plaît pas.
Au diantre tout valet qui vous eſt ſur les bras;	Au diantre tout valet qui vous est sur les bras;
Qui fatigue ſon Maiſtre, & ne fait que déplaire A force de vouloir trancher du neceſſaire.	Qui fatigue son Maître, et ne fait que déplaire A force de vouloir trancher du nécessaire.
SCENE II.	SCÈNE II.
ORPHISE, ALCIDOR, ERASTE.	ORPHISE, ALCIDOR, ERASTE.
LA MONTAGNE.	LA MONTAGNE.
Il la ſaluë comme elle paſſe, & elle en paſſant detourne la teſte.	Il la salue comme elle passe, et elle en passant détourne la tête.
Quoy, me voir en ces neun devantene paroiſtre, Et paſſer en feignant de ne me pas connoiſtre!	Quoi, me voir en ces neun devantène paraître, Et passer en feignant de ne me pas connaître!
Que croire?	Que croire?
qu’en dis-tu?	qu'en dis-tu?
parle donc, ſi tu veux.	parle donc, si tu veux.
ENASTE.	ENASTE.
Ais voy-je pas Orphiſe?	Ais vois-je pas Orphise?
ouy c’eſt elle, qui vient.	oui c'est elle, qui vient.
Où va-t-elle ſi viſte, & quel homme la tient?	Où va-t-elle si vite, et quel homme la tient?
LAMONTAGNE.	LAMONTAGNE.
Monſieur, je ne dis rien de peur d’eſtre fâcheux.	Monsieur, je ne dis rien de peur d'être fâcheux.
ERASTE.	ERASTE.
Et c’eſt l’eſtre en effet que de ne me rien dire Dans les extremitez d’un ſi cruel martyre.	Et c'est l'être en effet que de ne me rien dire Dans les extrémités d'un si cruel martyre.
Fais donc quelque réponce à mon cœur abbatu:	Fais donc quelque réponse à mon cœur abattu:
Que dois-je preſumer?	Que dois-je présumer?
parle, qu’en penſes-tu?	parle, qu'en penses-tu?
Dy- moy ton ſentiment.	Dis- moi ton sentiment.
LA MONTAGNE.	LA MONTAGNE.
Monſieur, je veux me raire.	Monsieur, je veux me raire.
Et ne defire point trancner du necellalle.	Et ne désire point trancner du necellalle.
ERASTE.	ERASTE.
rent l’impertinent!	rent l'impertinent!
va-t-en ſuivre leurs pas;	va-t-en suivre leurs pas;
Voy ce qu’ils deviendront, & ne les quitte pas.	Vois ce qu'ils deviendront, et ne les quitte pas.
LAMONIAS NE revenant.	LAMONIAS NE revenant.
Il faut ſuivre de loin?	Il faut suivre de loin?
ERASTE.	ERASTE.
Ouy.	Oui.
LAMONTAGNE revenant.	LAMONTAGNE revenant.
Sans que l’on me voye Ou faire aucun ſemblant qu’aprés eux on m’envoye?	Sans que l'on me voie Ou faire aucun semblant qu'après eux on m'envoie?
ERASIL.	ERASIL.
Non, tu feras bien mieux de leur donner avis, Que par mon ordre exples ils iont de toy fuivis.	Non, tu feras bien mieux de leur donner avis, Que par mon ordre exples ils jont de toi suivis.
LA MONTAGNE revenant.	LA MONTAGNE revenant.
Vous trouveray-je icy?	Vous trouverai-je ici?
DRASTE.	DRASTE.
Que le Ciel te confonde, Homme, à mon ſentiment, le plus fâcheux du monde.	Que le Ciel te confonde, Homme, à mon sentiment, le plus fâcheux du monde.
La Montagne s’en va.	La Montagne s'en va.
Ah!	Ah!
que je ſens de trouble, & qu’il m’euſt eſté doux, Qu’on me l’euſt fait manquer, ce fatal rendez-vous.	que je sens de trouble, et qu'il m'eût été doux, Qu'on me l'eût fait manquer, ce fatal rendez-vous.
Je penſois y trouver toutes choſes propices;	Je pensais y trouver toutes choses propices;
Et mes jena pous moncoury douvent des ſuplices.	Et mes jena pous moncouri douvent des suplices.
SCENE III.	SCÈNE III.
LYSANDRE, ERASTE.	LYSANDRE, ERASTE.
LYSANDRE.	LYSANDRE.
Ous ces arbres, de loin, mes yeux t’ont reconnu,  Cher Marquis, & d’abord je ſuis à toy venu.	Ous ces arbres, de loin, mes yeux t'ont reconnu, Cher Marquis, et d'abord je suis à toi venu.
Comme à de mes amis il faut que je te chante Oettain air, que j’ay fait, de petite courante, 42 Qui Qui de toute la Cour contente les experts, Et ſur qui plus de vingt ont déja fait des vers.	Comme à de mes amis il faut que je te chante Oettain air, que j'ai fait, de petite courante, 42 Qui Qui de toute la Cour contente les experts, Et sur qui plus de vingt ont déjà fait des vers.
J’ay le bien, la naiſſance, & quelque employ paſſable, Et fais figure en France aſſez conſiderable;	J'ai le bien, la naissance, et quelque emploi passable, Et fais figure en France assez considérable;
Mais je ne voudrois pas, pour tout ce que je ſuis, *e dvoir poine ruit cet ans quiey je te preduis.	Mais je ne voudrais pas, pour tout ce que je suis, *e dvoir poine ruit cet ans quie je te préduis.
La, la, hem, hem:	La, la, hem, hem:
écoute avec ſoin, je te prie.	écoute avec soin, je te prie.
N’eſt elle pas belle?	N'est elle pas belle?
ERASTE.	ERASTE.
Ah!	Ah!
LYSANDRE.	LYSANDRE.
Cette fin eſt jolie.	Cette fin est jolie.
Il rechante la fin quatre ou cinq fois de ſuite.	Il rechante la fin quatre ou cinq fois de suite.
Coiihent ianouves cu:	Coiihent janouves cv:
ERASTE.	ERASTE.
Fort belle aſſeurément.	Fort belle assurément.
LYSANDRE.	LYSANDRE.
Les pas que j’en ay faits n’ont pas moins d’agrément, Et ſur tout la figure a merveilleuſe grace.	Les pas que j'en ai faits n'ont pas moins d'agrément, Et sur tout la figure a merveilleuse grâce.
Il chante, parle & dance tout enſemble, & fait faire à Eraſte les figures de la femme.	Il chante, parle et dance tout ensemble, et fait faire à Éraste les figures de la femme.
T’en, l’homme paſſe ainſi:	T'en, l'homme passe ainsi:
puis la femme repaſſe:	puis la femme repasse:
Enſemble:	Ensemble:
puis on quitte, & la femme vient là.	puis on quitte, et la femme vient là.
Vois-tu ce petit trait de feinte que voila?	Vois-tu ce petit trait de feinte que voilà?
Ce fleuret?	Ce fleuret?
ces coupez courant aprés la belle?	ces coupez courant après la belle?
Doy a noy, lace a iuces en le premine larenc.	Dois a noi, lace a juces en le premine larenc.
Aprés avoir achevé.	Après avoir achevé.
Que r'en lemole Marquis?	Que r'en lémole Marquis?
ERASTE.	ERASTE.
Tous ces pas là ſont ſius.	Tous ces pas là sont sius.
LYSANDRE.	LYSANDRE.
Je me mocque, pour moy, des maiſtres Baladins.	Je me moque, pour moi, des maîtres Baladins.
On le voit.	On le voit.
ERASTE.	ERASTE.
LYSANDRE.	LYSANDRE.
Ees pas conc.	Ees pas conc.
ERASTE.	ERASTE.
N'ont rien qui ne ſurprenne.	N'ont rien qui ne surprenne.
LYSANDRE.	LYSANDRE.
Veux-tu, par amitié, que je te les apprenne?	Veux-tu, par amitié, que je te les apprenne?
ERASTE.	ERASTE.
Ma foy, pour le preſent, j’ay certain embarras.	Ma foi, pour le présent, j'ai certain embarras.
LYSANDRE.	LYSANDRE.
Et bien donc, ce ſera, lors que tu le voudras.	Et bien donc, ce sera, lors que tu le voudras.
Si j’avois deſſus moy ces paroles nouvelles, Nous les lirions enſemble, & verrions les plus belles.	Si j'avais dessus moi ces paroles nouvelles, Nous les lirions ensemble, et verrions les plus belles.
Une autre fois.	Une autre fois.
ERASTE.	ERASTE.
LYSANDRE.	LYSANDRE.
Adieu:	Adieu:
Baptiſte le tres cher N’a point veu ma courante, & je le vais chercher.	Baptiste le très cher N'a point vu ma courante, et je le vais chercher.
Nous avons, pour les airs, de grandes ſimpathies, Et je veux le prier d’y faire des parties.	Nous avons, pour les airs, de grandes sympathies, Et je veux le prier d'y faire des parties.
ERASTE.	ERASTE.
Ciel!	Ciel!
faut-il que le rang, dont on veut tout couvrit, De cent jots, tous les jouis, nous oonge à ſouffrir;	faut-il que le rang, dont on veut tout couvrit, De cent jots, tous les jouis, nous oonge à souffrir;
Et nous faſſe abaiſſer juſques aux complaiſances D’applaudir bien ſouvent à leurs impertinences?	Et nous fasse abaisser jusques aux complaisances D'applaudir bien souvent à leurs impertinences?
SCENE IV.	SCÈNE IV.
LAMONIAONE, ERASTE.	LAMONIAONE, ERASTE.
LAMONTAGNE.	LAMONTAGNE.
Onſieur, Orphiſe eſt ſeule, & vient de ce coſté.	Onsieur, Orphise est seule, et vient de ce côté.
ERASTE.	ERASTE.
Ah, d’un trouble bien grand je me ſens agité!	Ah, d'un trouble bien grand je me sens agité!
J’ay de l’amour encor pour la belle inhumaine, me mia larion vouuroit, que jeune de la Mlaine!	J'ai de l'amour encor pour la belle inhumaine, me mia larion vouait, que jeune de la Mlaine!
LAMONTAGNE.	LAMONTAGNE.
Monſieur, voſtre raiſon ne ſçait ce qu’elle veut;	Monsieur, votre raison ne sait ce qu'elle veut;
Ny ce que ſur un cœur une Maiſtreſſe peut.	Ni ce que sur ce cœur une Maîtresse peut.
Bien que de s’emporter on ait de juſtes cauſes, Une belle, d’un mots rajuſte bien des choſes.	Bien que de s'emporter on ait de justes causes, Une belle, d'un mots rajuste bien des choses.
ERASTE.	ERASTE.
Helas, je te l’avouë, & déja cet aſpect A toute mna colcie maphme le leipece.	Hélas, je te l'avoue, et déjà cet aspect A toute mna colcie maphme le lipèce.
SCENE v.	SCÈNE v.
onumm dnymidlx, LA MONTAGNE.	onumm dnymidlx, LA MONTAGNE.
ORPHISE.	ORPHISE.
U Oſtre front à mes yeux monſtre peu d’allegreſſe.	V Otre front à mes yeux montre peu d'allégresse.
Seroit-ce ma preſence, Eraſte, qui vous bleſſe?	Serait-ce ma présence, Eraste, qui vous blesse?
Qu’eſt-ce donc?	Qu'est-ce donc?
qu’avez-vous?	qu'avez-vous?
& ſur quels déplaiſirs, Lors que vous me voyez, pouſſez-vous des ſoûpirs?	et sur quels déplaisirs, Lors que vous me voyez, poussez-vous des soupirs?
ERASTE.	ERASTE.
Helas, pouvez-vous bien me demander, cruelle, Ce qui fait de mon cœur la triſteſſe mortelle?	Hélas, pouvez-vous bien me demander, cruelle, Ce qui fait de mon cœur la tristesse mortelle?
Et d’un eſprit méchant n’eſt ce pas un efſet, Que ſeindre d’ignorer ce que vous m’avez fait?	Et d'un esprit méchant n'est ce pas un Efset, Que seindre d'ignorer ce que vous m'avez fait?
Celuy dont l’entretien vous a fait, à ma veuë, Paſſer.	Celui dont l'entretien vous a fait, à ma vue, Passer.
ORPHISE riant.	ORPHISE riant.
C’eſt de cela, que voſtre ame eſt émeuë?	C'est de cela, que votre âme est émue?
ERASTE.	ERASTE.
Inſultez inhumaine, encor à mon malheur.	Insultez inhumaine, encor à mon malheur.
Allez, il vous ſied mal de railler ma douleur;	Allez, il vous sied mal de railler ma douleur;
Et d’abuſer, ingrate, à maltraiter ma flâme, Du foible, que pour vous, vous ſçavez, qu’a mon ame.	Et d'abuser, ingrate, à maltraiter ma flamme, Du faible, que pour vous, vous savez, qu'a mon âme.
ORPHISE.	ORPHISE.
Certes il en faut rire, & confeſſer icy, Que vous eſtes bien fou, de vous troubler ainſi.	Certes il en faut rire, et confesser ici, Que vous êtes bien fou, de vous troubler ainsi.
L’homme, dont vous parlez, loin qu’il puiſſe me plaire, Eſt un homme Fâcheux dont j’ay ſçeu me defaire;	L'homme, dont vous parlez, loin qu'il puisse me plaire, Est un homme Fâcheux dont j'ai su me défaire;
Un de ces importuns, & ſots officieux, Qui ne ſçauroient ſouffrir qu’on ſoit ſeule en des lieux;	Un de ces importuns, et sots officieux, Qui ne sauraient souffrir qu'on soit seule en des lieux;
Et viennent auſſi-toſt, avec un doux langage, Vous donner une main, contre qui l’on enrage.	Et viennent aussitôt, avec un doux langage, Vous donner une main, contre qui l'on enrage.
J’ay feint de m’en aller, pour cacher mon deſſein;	J'ai feint de m'en aller, pour cacher mon dessein;
Di ja qu’à mon caroſſe, il m’a preſté la main.	Dis j 'à mon carosse, il m'a prêté la main.
Je m’en ſuis promptement defaite de la ſorte, Et j’ay pour vous trouver, rentré par l’autre porte.	Je m'en suis promptement défaite de la sorte, Et j'ai pour vous trouver, rentré par l'autre porte.
ERASTE.	ERASTE.
A vos diſcours, Orphiſe, ajoûteray-je foy?	À vos discours, Orphise, ajouterai-je foi?
Et voſtre cœur eſt-il tout ſincere pour moy?	Et votre cœur est-il tout sincère pour moi?
ORPHISE.	ORPHISE.
Je vous trouve fort bon, de tenir ces paroles;	Je vous trouve fort bon, de tenir ces paroles;
Quand je me juſtiſie à vos plaintes frivoles.	Quand je me justisie à vos plaintes frivoles.
Je ſuis bien ſimple encor, & ma ſotte bonté.	Je suis bien simple encor, et ma sotte bonté.
ERASTE.	ERASTE.
Ah ne vous fâchez pas, trop ſevere beauté.	Ah ne vous fâchez pas, trop sévère beauté.
Je veux croire en aveugle, eſtant ſous voſtre empire, Tout ce que vous aurez la bonté de me dire.	Je veux croire en aveugle, étant sous votre empire, Tout ce que vous aurez la bonté de me dire.
Trompez, ſi vous voulez, un malheureux Amant;	Trompez, si vous voulez, un malheureux Amant;
j’auay pour vous ſeipect, juiqques au monument.	j'avai pour vous seipect, juiqques au monument.
Maltraitez mon amour, refuſez moy le voſtre;	Maltraitez mon amour, refusez moi le vôtre;
Expoſez à mes yeux letriomphe d’un autre, Ouy je ſouffriray tout de vos divins appas, J’en mourray, mais enfin je ne m’en plaindray pas.	Exposez à mes yeux lettriomphe d'un autre, Oui je souffrirai tout de vos divins appas, J'en mourrai, mais enfin je ne m'en plaindrai pas.
ORPHISE.	ORPHISE.
Quand de tels ſentimens regneront dans voſtre ame, Je ſçauray de ma part.	Quand de tels sentiments régneront dans votre âme, Je saurai de ma part.
SCENE VI.	SCÈNE VI.
ALCANDRE, ORPHISE, ERASTE, LA MONTAGNE.	ÀLCANDRE, ORPHISE, ERASTE, LA MONTAGNE.
ALCANDRE.	ÀLCANDRE.
94 M Arquis un mot.	94 M Arquis un mot.
Madame, De grace pardonnez, ſi je ſuis indiſcret, En oſant, devant vous, luy parler en ſecret.	Madame, De grâce pardonnez, si je suis indiscret, En osant, devant vous, lui parler en secret.
Avec peine, Marquis, je te fais la priere;	Avec peine, Marquis, je te fais la prière;
Mais un homme vient-là de me rompre en viſiere, Et je ſouhaite fort, pour ne rien reculer, Qu'a I heure de ma part, tu l’ailles appellers Tu ſçais, qu’en pareil cas, ce ſeroit avec joye, Que je te le rendrois en la même monnoye.	Mais un homme vient-là de me rompre en visière, Et je souhaite fort, pour ne rien reculer, Qu'a I heure de ma part, tu l'ailles appels Tu sais, qu'en pareil cas, ce serait avec joie, Que je te le rendrais en la même monnaie.
ERASTE Aprés avoir un peu demeure ſans parler.	ERASTE Après avoir un peu demeure sans parler.
Je ne veux point icy faire le Capitan;	Je ne veux point ici faire le Capitan;
Mais on m’a veu ſoldat, avant que Courtiſan.	Mais on m'a vu soldat, avant que Courtisan.
J’ay ſervi quatorze ans, & je croy eſtre en paſſe, De pouvoir d’un tel pas me tirer avec grace, Et de ne craindre point, qu’à quelque lâcheté Le refus de mon bras me puiſſe eſtre imputé.	J'ai servi quatorze ans, et je crois être en passe, De pouvoir d'un tel pas me tirer avec grâce, Et de ne craindre point, qu'à quelque lâcheté Le refus de mon bras me puisse être imputé.
Un duel met les gens en mauvaiſe poſture, Et noſtre Roy n’eſt pas un Monarque en peinture.	Un duel met les gens en mauvaise posture, Et notre Roi n'est pas un Monarque en peinture.
Il ſçait faire obeïr les plus grands de l’Eſtat, Et je trouve qu’il fait en digne Potentat.	Il sçait faire obéir les plus grands de l'État, Et je trouve qu'il fait en digne Potentat.
Quand il faut le ſervir, j’ay du cœur, pour le faîre :	Quand il faut le servir, j'ai du cœur, pour le frère :
Mais je ne m’en ſens point, quand il faut luy déplaire.	Mais je ne m'en sens point, quand il faut venir déplaire.
Je me fais de ſon ordre une ſupréme Loy.	Je me fais de son ordre une suprême Loi.
Pour luy deſobeïr, cherche un autre que moy.	Pour ra désobéir, cherche un autre que moi.
Je te parle, Vicomte, avec franchiſe entiere, Et ſuis ton ſerviteur en toute autre matiere, Adieu.	Je te parle, Vicomte, avec franchise entière, Et suis ton serviteur en toute autre matière, Adieu.
Cinquante fois au Diable les Fâcheux.	Cinquante fois au Diable les Fâcheux.
Ou donc s’eſt retiré cet objet de mes vœux?	Ou donc s'est retiré cet objet de mes vœux?
je ne ſçay.	je ne sais.
LA MONNTAGNE.	LA MONTAGNE.
ERA S TE.	ERA S TE.
Pour ſçavoir où la belle eſt allée, vat en cheichor purtouti juitans dans cette allée.	Pour savoir où la belle est allée, vat en cheichor purtouti juits dans cette allée.
Fin du premier Acte.	Fin du premier Acte.
BAL	BAL
DEUXIEME ENTRE’E.	DEUXIÈME ENTRE.
Des Curieux viennent qui tournent autour deluy pour le connoiſtre, & font qu’il ſe retire encore pour un moment.	Des Curieux viennent qui tournent autour délui pour le connaître, et font qu'il se retire encore pour un moment.
ACTE'	ACTE
ACTE II.	ACTE II.
SCENE I.	SCÈNE I.
ERASTE.	ERASTE.
Es Faſcheux à la fin ſe ſont-ils eſcartez?	Es Fâcheux à la fin se sont-ils écartés?
Je penſe qu’il en pleut icy de tous côtez.	Je pense qu'il en pleut ici de tous côtés.
Je les fuis, & les trouve, & pour ſecond martire, Je ne ſçaurois trouver celle que je deſire.	Je les fuis, et les trouve, et pour second martyre, Je ne saurais trouver celle que je désire.
Le tonnerre, & la pluye ont promptement paſſé, Et n’ont point, de ces lieux, le beau monde chaſſé.	Le tonnerre, et la pluie ont promptement passé, Et n'ont point, de ces lieux, le beau monde chassé.
Pluſt au Ciel, dans les dons que ſes ſoins y prodiguent, Qu’ils en euſſent chaſſé tous les gens, qui fatiguent?	Plût au Ciel, dans les dons que ses soins y prodiguent, Qu'ils en eussent chassé tous les gens, qui fatiguent?
Le Soleil baiſſe fort, & je ſuis eſtonné, Que mon Valet encor ne ſoit point retourné.	Le Soleil baisse fort, et je suis étonné, Que mon Valet encor ne soit point retourné.
CENE II.	CÈNE II.
ALCIPE, ERASTE.	ÀLCIPE, ERASTE.
Bonjour.	Bonjour.
ALCIPE.	ÀLCIPE.
ERASTE.	ERASTE.
Et quoy, toûjours ma flâme divertie?	Et quoi, toujours ma flamme divertie?
ALCIPE.	ÀLCIPE.
Conſole-moy, Marquis, d’une eſtrange partie, Qu’au Piquet je perdis, hier, contre un S.	Console-moi, Marquis, d'une étrange partie, Qu'au Piquet je perdis, hier, contre un S.
Bouvain, A qui je donnerois quinze points, & la main.	Bouvain, À qui je donnerais quinze points, et la main.
C’eſt C’eſt un coup enragé, qui depuis hier m’accable, Et qui feroit donner tous les Joüeurs au Diable;	C'est C'est un coup enragé, qui depuis hier m'accable, Et qui ferait donner tous les Joueurs au Diable;
Un coup aſſeurément à ſe pendre en public.	Un coup assurément à se pendre en public.
Il ne m’en faut que deux;	Il ne m'en faut que deux;
l’autre a beſoin d’un pic.	l'autre a besoin d'un pic.
Je donne;	Je donne;
il en prend ſix, & demande à refaire:	il en prend six, et demande à refaire:
Moy, me voyant de tout, je n’en voulus rien faire.	Moi, me voyant de tout, je n'en voulus rien faire.
Je porte l’as de trefle, admire mon malheur, L’as, le Roy, le valet, le huict, & dix de cœur;	Je porte l'as de trèfle, admire mon malheur, L'as, le Roi, le valet, le huit, et dix de cœur;
Et quitte, comme au point alloit la politique, Dame, & Roy de carreau;	Et quitte, comme au point allait la politique, Dame, et Roi de carreau;
dix, & Dame de pique.	dix, et Dame de pique.
Sur mes cinq cœurs portez la Dame arrive entor, Qui me fait juſtement une quinte major:	Sur mes cinq cœurs portez la Dame arrive entor, Qui me fait justement une quinte major:
Mais mon homme, avec l’as, non ſans ſurpriſe extréme, Des bas carreaux, ſur table, étale une ſixiéme.	Mais mon homme, avec l'as, non sans surprise extrême, Des bas carreaux, sur table, étale une sixième.
J’en avois écarté la Dame, avec le Roy;	J'en avais écarté la Dame, avec le Roi;
Mais luy fallant un pic, je ſortis hors d’effroy, Et croïois bien du moins faire deux points uniques.	Mais était fallant un pic, je sortis hors d'effroi, Et croïois bien du moins faire deux points uniques.
Avec les ſept carreaux, il avoit quatre piques;	Avec les sept carreaux, il avait quatre piques;
Et, jettant le dernier, m’a mis dans l’embarras, De ne ſcavoir lequel garder de mes deux as.	Et, jetant le dernier, m'a mis dans l'embarras, De ne savoir lequel garder de mes deux as.
J’ay jetté l’as de cœur, avec raiſon me ſemble;	J'ai jeté l'as de cœur, avec raison me semble;
Mais il avoit quitté quatre treſles enſemble, Et par un ſix de cœur je me ſuis veu capot, Sans pouvoir, de dépit, proferer un ſeul mot.	Mais il avait quitté quatre trèsles ensemble, Et par un six de cœur je me suis vu capot, Sans pouvoir, de dépit, proférer un seul mot.
Morbled lais ihoy farion de ce enap emojauſe.	Morbled ais ihoi farion de ce enap emojause.
A moins que l’avoir veu, peut-il eſtre croyable?	À moins que l'avoir vu, peut-il être croyable?
ERASTE.	ERASTE.
C’eſt dans le jeu, qu’on voit les plus grands coups du ſoit.	C'est dans le jeu, qu'on voit les plus grands coups du soit.
1	1
ALCIPE.	ÀLCIPE.
Parbleu tu jugeras, toy-même, ſi j’ay tort;	Parbleu tu jugeras, toi-même, si j'ai tort;
Et ſi c’eſt ſans raiſon, que ce coup me tranſpoite;	Et si c'est sans raison, que ce coup me transpoite;
Car voicy nos deux jeux, qu’exprés ſur moy je porte.	Car voici nos deux jeux, qu'exprès sur moi je porte.
Tien, c’eſt icy mon port, comme je te l’ay dit;	Tiens, c'est ici mon port, comme je te l'ai dit;
Et voicy.	Et voici.
ERASTE.	ERASTE.
J’ay compris le tout, par ton recit, Et voy de la juſſice au tranſport qui t’agite;	J'ai compris le tout, par ton récit, Et vois de la jusée au transport qui t'agite;
Mais, pour centaind uiloj inlaut que je te quitte:	Mais, pour centaind uiloj inlaut que je te quitte:
Adieu, conſole-toy, pourtant, de ton malheur.	Adieu, console-toi, pourtant, de ton malheur.
ALCIPE.	ÀLCIPE.
Qui?	Qui?
moy?	moi?
j’auray toûjours ce coup-là ſur le cœur:	j'aurai toujours ce coup-là sur le cœur:
Et c’eſt, pour ma raiſon, pis qu’un coup de tonnerre.	Et c'est, pour ma raison, pis qu'un coup de tonnerre.
je le veun lane, mey, voir à toute la terre, Il s’en va, & preſt à rentrer, il dit par reflexion.	je le veun lane, mei, voir à toute la terre, Il s'en va, et prêt à rentrer, il dit par réflexion.
Un ſix de cœur!	Un six de cœur!
deux points!	deux points!
ERASTIE.	ERASTIE.
En quel lieu ſommes-nous !	En quel lieu sommes-nous !
* De quelque part qu’on tourne, on ne voit que des faux.	* De quelque part qu'on tourne, on ne voit que des faux.
Ah!	Ah!
que tu fais languir ma juſte impatience.	que tu fais languir ma juste impatience.
SCENE III.	SCÈNE III.
LAMONTAGNE, ERASTE.	LAMONTAGNE, ERASTE.
E RRa IIs Mais me raportes-tu quelque nouvelle enfin?	E RRa IIs Mais me rapportes-tu quelque nouvelle enfin?
LA MONTAGNE.	LA MONTAGNE.
sans doute, & de l’objet qui fait voſtre deſtin, I’ay pur tin ordre exprés quelque choſe à vous dire.	sans doute, et de l'objet qui fait votre destin, J'ai pur tin ordre exprès quelque chose à vous dire.
ERASTE.	ERASTE.
Et quoy?	Et quoi?
déja mon cœur aprés ce mot ſoûpire, Parle.	déjà mon cœur après ce mot soupire, Parle.
LA MONTAGNE.	LA MONTAGNE.
souhaittez-vous de ſçavoir ce que c’eſt?	souhaitez-vous de savoir ce que c'est?
ERA	ERA
Ouy, dy vilte.	Oui, dis vilte.
ERASTE.	ERASTE.
L'A MONTAGNE.	L'A MONTAGNE.
Monſieur, attandez, s’il vous plaiſt.	Monsieur, attandez, s'il vous plaît.
Je me ſuis, à courir, preſque mis hors d’haleine.	Je me suis, à courir, presque mis hors d'haleine.
ERASTE.	ERASTE.
Prens-tu quelque plaiſir à me tenir en peîne?	Prends-tu quelque plaisir à me tenir en peîne?
LA MONTAGNE.	LA MONTAGNE.
Puiſque vous deſirez de ſçavoir promptement L’ordre que j’ay receu de cet objet charmant, Je vous diray.	Puisque vous désirez de savoir promptement L'ordre que j'ai reçu de cet objet charmant, Je vous dirai.
Ma foy, ſans vous vanter mon zeJ’ay bien fait du chemin, pour trouver cette belle, niMleate	Ma foi, sans vous vanter mon ze'ai bien fait du chemin, pour trouver cette belle, niMleate
E RASTE.	E RASTE.
Peſte ſoit fait de tes digreſſions.	Peste soit fait de tes digressions.
LAMONTAGNE.	LAMONTAGNE.
Ah!	Ah!
il faut moderer un peu ſes paſſions, Et Seneque.	il faut modérer un peu ses passions, Et Sénèque.
ERASTE.	ERASTE.
Seneque eſt un ſot dans ta bouche, Puis qu’il ne me dit rien de tout ce qui me touche.	Sénèque est un sot dans ta bouche, Puis qu'il ne me dit rien de tout ce qui me touche.
Dy-moy ton ordré, toſt.	Dis-moi ton ordré, tôt.
LAMONTAGNE.	LAMONTAGNE.
Pour contenter vos vœux, Voſtre Orphiſe.	Pour contenter vos vœux, Votre Orphise.
Une beſte eſt là dans vos cheveux.	Une bête est là dans vos cheveux.
Leiſſe.	Léisse.
ERAS TE.	ERAS TE.
LA MONTAGNE.	LA MONTAGNE.
Cette beauté de la part vous fait dire.	Cette beauté de la part vous fait dire.
Quoy?	Quoi?
6 ERASTE.	6 ERASTE.
LAMONTAGNE.	LAMONTAGNE.
Devinez.	Devinez.
ERASTE.	ERASTE.
Sçais tu que je ne veux pas rire?	Sais -tu que je ne veux pas rire?
B 6 La4* LAMONTAGNE.	 6 La4* LAMONTAGNE.
