LES GALANTES JERTVEVSES.	LES GALANTES JERTUEUSES.
DORANTE.	DORANTE.
La modeſtie icy veut trahir vos merites, Mais on croit ce qu’on void, & non ce que vous dites, Et dans ce ſentiment & iuſte & glorieux, Mon jugement s’accorde à celuy de mes yeux.	La modestie ici veut trahir vos mérites, Mais on croit ce qu'on void, et non ce que vous dites, Et dans ce sentiment et juste et glorieux, Mon jugement s'accorde à celui de mes yeux.
LILIANE.	LILIANE.
Vous n’en pouuiez donner vn plus clair témoignage, Que ce feruent amour où voſtre ame s’engage.	Vous n'en pouviez donner un plus clair témoignage, Que ce fervent amour où votre âme s'engage.
DORANTE.	DORANTE.
Et celuy que vos yeux font voir ſi clairement, En parle bien plus bas, mais plus eloquemmentt Lors que d vn fi beau coup nous nous ſentons atteindre, al eſt bien mal-aiſé de ſouffrir, & de feindre, La langue quelquesfois peut bien diſſimuler, Mais quand elle ſe taiſt les yeux ſcauent parIe1 Et le eœur trop preſſé des ardeurs de ſa flame, Monſtre par ſes ſouſpirs les bleſſures de l’ame.	Et celui que vos yeux font voir si clairement, En parle bien plus bas, mais plus éloquemment Lors que d' int fi beau coup nous nous sentons atteindre, al est bien malaisé de souffrir, et de feindre, La langue quelquefois peut bien dissimuler, Mais quand elle se taît les yeux scavent parIe1 Et le eœur trop pressé des ardeurs de sa flamme, Monstre par ses soupirs les blessures de l'âme.
CLARIGENE.	CLARIGENE.
Ah Madame!	Ah Madame!
tout beau;	tout beau;
ces termes affectez, Me-voulant eſprouuer offencent vos beautez;	ces termes affectez, Me-voulant éprouver offensent vos beautés;
Ie ne ſuis pas de ceux qu’vn iugement malade, Ou que l’ambition aiſement perſuade:	Je ne suis pas de ceux qu'un grandement malade, Ou que l'ambition aisément persuade:
ie peux bien entreprendre vn genereux deſſein, Mais en me faiſant noble on ne m’a pas fait vain, Et de quelque bon-heur dont vous flattiez ma vie,	Les peux bien entreprendre un généreux dessein, Mais en me faisant noble on ne m'a pas fait vain, Et de quelque bonheur dont vous flattiez ma vie,
lc icay que le raits pius de pitle que denuie.	lc ai que le raits pius de pidèle que denue.
DORANTE.	DORANTE.
Les cœurs que vous bleſſez ne vous l’aduoüeront pas.	Les cœurs que vous blessez ne vous l'avoueront pas.
CLARIGENE.	CLARIGENE.
Les voſtres font trop-hauts pour s’atreſter ſi bas;	Les vôtres font trop-hauts pour s'atrêter si bas;
Et quand bien ie pourrois leur donner quelque atteinte, Mon ame en ce beau choix auroit trop de coutrainte, Puis que l’égalité de vos perfections, Suſpendroit pour tous deux mes inclinations.	Et quand bien femme pourrais leur donner quelque atteinte, Mon âme en ce beau choix aurait trop de coutrainte, Puis que l'égalité de vos perfections, Suspendrait pour tous deux mes inclinations.
DORANTE.	DORANTE.
Ne diſſimulez point, ie dois à ma preſence, Moins qu’à vos ſentimens ce trait de complaiſance, Mais ie ne blâme pas cette diſcretion, Qui ſcait taire l’objet de voſtre affection;	Ne dissimulez point, une dois à ma présence, Moins qu'à vos sentiments ce trait de complaisance, Mais enfin ne blâme pas cette discrétion, Qui sait taire l'objet de votre affection;
de rappteuue au concraneree cronois luire vn crime, D'vſurper plus long-temps vn bien ſi legitime, Adieu ie vous le laiſſe.	de rappeuve au concranère cronais luire un crime, D'usurper plus longtemps un bien si légitime, Adieu pour vous le laisse.
A Liliane.	À Liliane.
LILIANE.	LILIANE.
Et genereuſement, Ie vous paye aujourd’huy du meſme compliment:	Et généreusement, Je vous paie aujourd'hui du même compliment:
Il eſt voſtre Madame, & cette deference, Vous oſtera peut-eſtre vne iniuſte creance, Ou du moins j’attendray qu’il ayt plus de loiſir, De dire librement celle qu’il veut choiſir, Adieu.	Il est votre Madame, et cette déférence, Vous ôtera peut-être injuste créance, Ou du moins j'attendrai qu'il ait plus de loisir, De dire librement celle qu'il veut choisir, Adieu.
Elles laiſſent toutes deux Clarigene,	Elles laissent toutes deux Clarigène,
CLARIGENE, ſeul.	CLARIGENE, seul.
Le beau tranſport, & le plaiſant caprice, Hé bien?	Le beau transport, et le plaisant caprice, Hé bien?
ne voila pas vn trait de ta malice.	ne voilà pas un trait de ta malice.
Amour, es tu conteit?	Amour, es tu conteit?
que deſires tu plus?	que désires -tu plus?
Mais croy tu pour cela que ie reſte confus?	Mais crois tu pour cela que ici reste confus?
Non non, ne penſe pas que le dépit m’emporte, Pour men deſeſperer i’ay l’ame vn peu trop forte, Er ſans auoir beſoin du fer, ou du poiſon, Mon addreſte ou l’oubly m’en fera la raiſon.	Non non, ne pense pas que le dépit m'emporte, Pour men désespérer j'ai l'âme un peu trop forte, Er sans avoir besoin du fera, ou du poison, Mon adreste ou l'oubli m'en fera la raison.
Fin du premier Acte.	Fin du premier Acte.
CIEXI.	CIEXI.
SCENE I.	SCÈNE I.
AR IOMANT, NERINE.	AR JOMANT, NERINE.
ARIOMANT.	ARIOMANT.
H'que tu m’es cruelle, eſtant ſi pi2 toyable!	H'A tu m'es cruelle, étant si pi2 toyable!
2 Laiſſe laiſſe acheuer le ſort d'vn miſerable, e.	2 Laisse laisse achever le sort d'H misérable, e.
Tu trahis mon sepos me penſant ſecourir, Et tu m’obligerois de me laiſſer mourir:	Tu trahis mon sepos me pensant secourir, Et tu m'obligerais de me laisser mourir:
, N’oppoſe pas Nerine vne main importune, A ce fer qui pourra finir mon infortune, Et ſcache-quand les Dieux nous rendent malheureux, Que ic coup qui nous tuë eſt le moins rigoureux:	, N'oppose pas Nerine se mme importune, À ce fer qui pourra finir mon infortune, Et sache-quand les Dieux nous rendent malheureux, Que ic coup qui nous tue est le moins rigoureux:
Souffre donc que ie meure, & qu'vne noble enuie, Satisfaſſe Dorante, en m'arrachant la vie;	Souffre donc que ainsi meure, et qu'une noble envie, Satisfasse Dorante, en m'arrachant la vie;
Puis qu’elle veut mon ſang ne me fait point ce tort.	Puis qu'elle veut mon sang ne me fait point ce tort.
D'epecner que du moins ie luy plaile en ma mora,	D'épecner que du moins Seigneur Seigneur plaile en ma mora,
NERINÉ.	NERIN.
Quittez Ariomant cette funeſte enuie, Qui vous porte ſans ceſſe au meſpris de la vie, Le deſeſpoir ſied mal ſur vn frent genereux, Il doit paroiſtre eſgal, bien qu’il ſoit malheureux;	Quittez Ariomant cette funeste envie, Qui vous porte sans cesse au mépris de la vie, Le désespoir sied mal sur un frent généreux, Il doit paraître égal, bien qu'il soit malheureux;
Et melme teſmoigner au plus fort de l’orage, Qu’il peut changer de ſort mais non pas de	Et melme témoigner au plus fort de l'orage, Qu'il peut changer de sort mais non pas de
courage.	courage.
ARIOMANT.	ARIOMANT.
Quoy Nerine, adorer vne ingratte beauté, Et pour tant de reſpects eſtre ſi mal traicté?	Quoi Nerine, adorer une ingrate beauté, Et pour tant de respects être si mal traité?
Luy rendre les deuoirs, & les ſoins d’vn eſclaue, Et ſoufffir plus long-temps que ſon orgueil me braue?	Lui rendre les devoirs, et les soins d'un esclave, Et souffir plus longtemps que son orgueil me brave?
Non non, ie ne le puis & ſes yeux inhumains, A ce ſanglant effort ſollicitent mes mains, As tu veu ſon abord quand ic l’ay demandée?	Non non, Madame ne le puis et ses yeux inhumains, À ce sanglant effort sollicitent mes mains, As tu veu son abord quand ic l'ai demandée?
Mes yeux l’ont humblement à peine regardée, Qu'vn meſpris à payé tant de ſoubmiſſions, Et de plus inſenſible à mes affections, Apres vn aſſez long.	Mes yeux l'ont humblement à peine regardée, Qu'un mépris à payé tant de soumission, Et de plus insensible à mes affections, Après un assez long.
& trop faſcheux ſilence, L’orgueilleuſe à la fin m’a rauy ſa preſence.	et trop fâcheux silence, L'orgueilleuse à la fin m'a ravi sa présence.
Et tu voudrois Nerine, apres ce traictement, Que ie fuſſe ſans cœur & ſans reſſentiment?	Et tu voudrais Nerine, après ce traitement, Que tu fusse sans cœur et sans ressentiment?
Ah!	Ah!
laiſſe moy finir vn ſort ſi deplorable, Il vaut iieux n’entre plus que d’ente miſerable;	laisse -moi finir un sort si déplorable, Il vaut jieux n'entre plus que d'ente misérable;
Et puis que mon deſſein s’accorde à la raiſon, Souffre que ie franchiſe vne double priſon, Et par vn melme-coup que cette main contente, Mon Amour, les Deſtins, mes Riuaux, & Dorante.	Et puis que mon dessein s'accorde à la raison, Souffre que je franchise une double prison, Et par un melme-coup que cette main contente, Mon Amour, les Destins, mes Rivaux, et Dorante.
NERINE.	NERINE.
Bien loin de témoigner ces tranſports violents, re vous conſeil lerois de les rendre plus lents, La femme en peu de temps s’appaiſe & ſe cour rouce, Tantoſt elle eſt cruelle, & tantoſt elle eſt douce, Et ſon humeur eſtant en ſon flus, & reflus, Bien fouuent elle fuit ce qu’elle ayme le plus:	Bien loin de témoigner ces transports violents, re vous conseil lerais de les rendre plus lents, La femme en peu de temps s'apaise et se cour rouée, Tantôt elle est cruelle, et tantôt elle est douce, Et son humeur étant en son flus, et reflus, Bien souvent elle fuit ce qu'elle aime le plus:
Quittez donc le dépit dont voſtre ame s’afflige, La nature en Dorante auroit fait vn prodige, Si dors qu’elle en receut le bien de la clarté, Elle euſt mis la conſtance auec que la beauté:	Quittez donc le dépit dont votre âme s'afflige, La nature en Dorante aurait fait un prodige, Si dors qu'elle en reçut le bien de la clarté, Elle eût mis la constance auec que la beauté:
Voulez vous adoucir ce cœur plein d’arrogance, Feignez de le traitter auec indifference, Cachez-luy le brazier dont vous eſtes eſpris, Et menne à la Tomeur aujouitez le meſpris, Auec que vos reſpects vous la rendez plus vaine, Et ce ſont vos deuoirs qui la font inhumaine.	Voulez -vous adoucir ce cœur plein d'arrogance, Feignez de le traiter avec indifférence, Cachez-lui le brasier dont vous êtes épris, Et menne à la Tomeur aujouités le mépris, Avec que vos respects vous la rendez plus vaine, Et ce sont vos devoirs qui la font inhumaine.
ARIOMANT.	ARIOMANT.
Auant que d’en venir à cette extremité, Nerine parle-luy de ma fidelité.	Avant que d'en venir à cette extrémité, Nerine parle-lui de ma fidélité.
MER MIOE.	MER MIOE.
Elle la cognoiſt trop, mais elle diſſimule, Et quoy qu'elle paroiſſe inſenſible elle bruſſe, imitez ſon humeur.	Elle la connaît trop, mais elle dissimule, Et quoi qu'elle paraisse insensible elle brusse, imitez son humeur.
ARTOMANE.	ARTOMANE.
Las qu'en dois-je eſperer.	Las qu'en dois-je espérer.
Tout.	Tout.
N ERINE.	 ÉRINE.
ARINMANT.	ARINMANT.
Mais peut-on trahir ce qu’on doit adorer.	Mais peut-on trahir ce qu'on doit adorer.
NERINE.	NERINE.
Vous nõmez trahizon ce qu’on appelle addreſſe, Et qu’importe comment on gaigne vne maiſtreſſe?	Vous nommez trahison ce qu'on appelle adresse, Et qu'importe comment on gagne une maîtresse?
Voulez-vous eſtre heureux?	Voulez-vous être heureux?
apprenez en ce iour, Qe les fuſes ront tour en matiele d’Aſour.	apprenez en ce jour, Qe les fuses ront tour en matiele d'Asour.
ARIOMANT.	ARIOMANT.
Tu fondes mon bon-heur ſur d’eſtrãges maximes, Mais la vertu ne peut s’acquerir par des crimes, Et malgré tes conſeils, ie veux croire en ce iour, Que l’amour ſeulement eſt le prix de l’Amour.	Tu fondes mon bonheur sur d'estrãges maximes, Mais la vertu ne peut s'acquérir par des crimes, Et malgré tes conseils, je veux croire en ce jour, Que l'amour seulement est le prix de l'Amour.
NERINE.	NERINE.
Puis qu'vn contraire effet detruit voſtre eſperãce, Vous conſeruez à tort cette iniuſte creance.	Puis qu'autre contraire effet détruit vôtre espérance, Vous conservez à tort cette injuste créance.
ARIOMANT.	ARIOMANT.
il eſt vray que ma flame irrite ſes deſdains.	il est vrai que ma flamme irrite ses dédains.
NERINE.	NERINE.
na qui ne veut guerir les remedes ſont vains.	na qui ne veut guérir les remèdes sont vains.
ARIOMANT.	ARIOMANT.
He bien Nerine, enfin que faut-il que le faſſe?	He bien Nerine, enfin que faut-il que le fasse?
Aymer.	Aimer.
NERINE.	NERINE.
MT CMANT.	MT CMANT.
Aymer, Nerine?	Aimer, Nerine?
explique toy de grace, J'ayme, & pour trop aymet ie me voy malheureux.	explique toi de grâce, J'aime, et pour trop aimet ie me vois malheureux.
NERINE.	NERINE.
Vous aymez il eſt vray, mais vn cœur rigoureux, Vn cœur que l’arrogance à fait inacceſſible Aymez, Ariomant, vn objet plus ſenſible, Ou ſi vous ne pouuez vous reſoudre à ce point, Feignez de le cherir, bien que vous n’aymiez point.	Vous aimez il est vrai, mais un cœur rigoureux, Un cœur que l'arrogance à fait inaccessible Aimez, Ariomant, un objet plus sensible, Ou si vous ne pouvez vous résoudre à ce point, Feignez de le chérir, bien que vous n'aimiez point.
Pour vaincre des rigueuis que l’on croit ſans pareilles.	Pour vaincre des rigueuis que l'on croit sans pareilles.
Souuent la jalouſie à produit de merueilles.	Souvent la jalousie à produit de merveilles.
ARIOMANT.	ARIOMANT.
ARIOMANT.	ARIOMANT.
Bien:	Bien:
puis que tu le veux, ayons-en le plaiſir;	puis que tu le veux, ayons-en le plaisir;
Mais pour ce beau deſſein, qui pourrons-nous choiſir?	Mais pour ce beau dessein, qui pourrons-nous choisir?
NERINE.	NERINE.
Liliane eſt fort propre à donner de l’ombrage,	Liliane est fort propre à donner de l'ombrage,
2i na lu la llir l Ouy:	2i na lu la llyr l u:
mais ſi tout à bon elle me rend volage?	mais si tout à bon elle me rend volage?
NERINE.	NERINE.
Le ſuccez de la feinte en ſera plus heureux, Car ſoit qu’vn changement diuertiſſe vos vœux, Ou que vous conſeruiez vne flame conſtante, Ce trait vous donnera Liliane, ou Dorante.	Le succès de la feinte en sera plus heureux, Car soit qu'un changement divertisse vos vœux, Ou que vous conserviez une flamme constante, Ce trait vous donnera Liliane, ou Dorante.
du le ne malane l.	du le ne malane l.
Ie pourray bien auſſi par ce trait hazardeux, Les penſant acquerit les perare toutes deux.	Je pourrai bien aussi par ce trait hasardeux, Les pensant acquérit les perare toutes deux.
NERINE.	NERINE.
Eſperez mieux du temps, & de mon artiſi ce.	Espérez mieux du temps, et de mon artisi ce.
ARIOMANT.	ARIOMANT.
Mais comment te payer ce ſignalé ſeruice?	Mais comment te payer ce signalé service?
Ru la liiua L’honneur que i’en recois me ſatisfait aſſez.	Ru la liva L'honneur que j'en reçois me satisfait assez.
ARIOMANT.	ARIOMANT.
Cette bague pourtant.	Cette bague pourtant.
NERINE.	NERINE.
Monſieur vous m’offencez, Le Ciel ne m a pas fait Pame n meicenaire.	Monsieur vous m'offensez, Le Ciel ne m a pas fait Pame n icenaire.
ARIOMANT.	ARIOMANT.
C’eſt que ce diamant n’a pas l’heur de vous plaire, Il eſt beau toutes fois, & net.	C'est que ce diamant n'a pas l'heur de vous plaire, Il est beau toute fois, et net.
N.	N.
ERINE, le prenant.	ÉRINE, le prenant.
amlihihient, Et pour mieux vous oſter ce mauuais ſentiment.	amlihihient, Et pour mieux vous ôter ce mauvais sentiment.
Que d’vn ſi beau preſent ie faſſe peu d’eſtime, Si ie le refuſois ie croirois faire vn crime;	Que d'un si beau présent apprendre fasse pu d'estime, Si tu le refusais un croirais faire un crime;
Ie l’acce pte Monſieur, mais auec que deſſein, De rendre à voſtre cœur le don de voſtre main, Vous gaignant vn threſor de pareille nature.	Je l'acce pte Monsieur, mais ainsi que dessein, De rendre à votre cœur le don de votre main, Vous gagnant un trésor de pareille nature.
ARIOMANT.	ARIOMANT.
Ah!	Ah!
tu me payerois auec trop d’vſure, ci ſans me le donner tu pouuois ſeuſement, Fleſchir en ma faueur vn cœur de diamant.	tu me payerais avec trop d'usure, cy sans me le donner tu pouvais eusement, Fleschir en ma faveur un cœur de diamant.
NERINE.	NERINE.
Ouy, ie vous veux gaigner cette ingratte maiſtreſſe.	Oui, Seigneur vous veux gagner cette ingrate maîtresse.
DIISTO ITE ACES Adieu:	DIISTO ITE ACES Adieu:
change en effet cette illuſtre promeſſe.	change en effet cette illustre promesse.
SCENE II.	SCÈNE II.
NERINE, ſeule.	NERINE, seule.
l Dieux qu’il part content!	Il Dieux qu'il part content!
que deux mots C quoy que vains, Font tomber aiſement les armes de ſes mains, Que ie ſuis eſloquente, ou que ie ſuis credule!	que deux mots Ç quoy que vains, Font tomber aisément les armes de ses mains, Que ie suis éloquente, ou que deux mots crédule!
D’auoir craint, & calmé ce tranſport ridicule?	D'avoir craint, et calmé ce transport ridicule?
Vn malheureux Amant court touſiours au treſpas, Il en fait les deſſeins, mais il ne les ſuit pas:	Un malheureux Amant court toujours au trépas, Il en fait les desseins, mais il ne les suit pas:
Nous preferons la mort au mal qui nous tourmente, Mais au point de nous prendre elle nous eſpouuente, Et les coups de ſes traits qu’on ne peut euiter.	Nous préférons la mort au mal qui nous tourmente, Mais au point de nous prendre elle nous espouuente, Et les coups de ses traits qu'on ne peut éviter.
Nous frappent aſſez toſt ſans la ſolliciter, Enfin quoy qu’il en ſoit, flattons vn peu ſa peine, Et taſchons pour le moins.	Nous frappent assez tôt sans la solliciter, Enfin quoi qu'il en soit, flattons un peu sa peine, Et tâchons pour le moins.
SCENE III.	SCÈNE III.
CLARIGENE, NERINE.	CLARIGENE, NERINE.
CLARIGENE, ſurprenant Nerine.	CLARIGENE, surprenant Nerine.
&Obliger Clarigene.	eTObliger Clarigène.
Ouy Nerine, aujourd’huy j’implore ton ſecours.	Oui Nerine, aujourd'hui j'implore ton secours.
NERINE.	NERINE.
Vous penſez me rallier auec que ce diſceurs, Et parce que le Ciel qui vous eſt fauorable, Rend cõme vôtre eſprit voſtre perſonne aymable, Vous croiriez offencer vos rares qualitez, Si vous teniez, de moy quelques felicitez:	Vous pensez me rallier avec que ce disceurs, Et parce que le Ciel qui vous est favorable, Rend comme votre esprit votre personne aimable, Vous croiriez offenser vos rares qualités, Si vous teniez, de moi quelques félicités:
Hé bien ne vous ſeruez que de voſtre merite, Mocquez-vous de mes ſoins, meſpriſez ma conduite;	Hé bien ne vous servez que de votre mérite, Moquez-vous de mes soins, méprisez ma conduite;
Mais ne faites pas tant du cheual eſchappé, D’auſſi galans que vous que l’Amour à frappé, Auec mille reſpects, & le genouïl en terre, M’ont demandé ſecours en cette douce guerre, Où la feinte l’addreſſe, & la ſubtilité, Triomphent plus ſouuent que fide lité.	Mais ne faites pas tant du cheval échappé, D'aussi galants que vous que l'Amour à frappé, Avec mille respects, et le genouil en terre, M'ont demandé secours en cette douce guerre, Où la feinte l'adresse, et la subtilité, Triomphent plus souvent que fide lité.
CLARIGENE.	CLARIGENE.
Nerine ie l’aduoue, & ie ſcay ta puiſſance.	Nerine ici l'avoue, et ainsi sais ta puissance.
NERINE.	NERINE.
Gauſſeur en voulez-vous faire l’experience?	Gausseur en voulez-vous faire l'expérience?
Ie le veuz.	Je le veux.
CLARIGENE.	CLARIGENE.
NERINE.	NERINE.
Mettez-vous dans le plus noble orgueil, Dont vous puiſſiez flatter les regards d’vn bel œil, N’eſpargnez point ſur vous les parfums, ny les poudres, Que l’amour dans vos yeux ſoit tout armé de foudres, I’oignez la bonne mine à tous ces ornemens, Que vos moindres diſcours ſoient de beaux complimens;	Mettez-vous dans le plus noble orgueil, Dont vous puissiez flatter les regards d'un bel œil, N'épargnez point sur vous les parfums, Seigneur les poudres, Que l'amour dans vos yeux soit tout armé de foudres, J'oignez la bonne mine à tous ces ornements, Que vos moindres discours soient de beaux compliments;
Apres en cet eſtat attaquez vne Dame, Rendez-luy vos deuoirs, faites vous tout de flame, Iettez mille ſouſpirs, comblez-la de preſens, Employez à l’aymer le plus beaux de vos ans, Que les traits de l’eſprit aident ceux du viſage, Enfin pour l’acquerir mettez tout en vſage, Quel que fidelité qu’on vous puiſſe iurer, Ie ne veux qu’vn moment pour vous deſeſperer.	Après en cet état attaquez une Dame, Rendez-lui vos devoirs, faites -vous tout de flamme, Jettez mille soupirs, combliez-la de présents, Employez à l'aimer le plus beaux de vos ans, Que les traits de l'esprit aident ceux du visage, Enfin pour l'acquérir mettez tout en usage, Quel que fidelité qu'on vous puisse jurer, Je ne veux qu'un moment pour vous désespérer.
CLARIGENE.	CLARIGENE.
Cette eſpreuue pour moy ſeroit trop dangereuſe, Dorante ſans cela m’eſt aſſez rigoureuſe, Et loin de te vouloir irriter contre moy, Ie ſcay que mon bon-heur ne depend que de t y:	Cette épreuve pour moi serait trop dangereuse, Dorante sans cela m'est assez rigoureuse, Et loin de te vouloir irriter contre moi, Je sais que mon bonheur ne dépend que de t y:
Auſſi ne ſuis-je pas ſi vain que tu le penſes, De tes ſoins ſeulement ie faits mes eſperances, Er s’il te faut de vœux & des ſoubsmiſſions, Pour te rendre propice à mes affections, Ie ſuis preſt ſur ce point de te rendre contente;	Aussi ne suis-je pas si vain que tu le penses, De tes soins seulement tu faits mes espérances, Er s'il te faut de vœux et des soubsmissions, Pour te rendre propice à mes affections, Je suis prêt sur ce point de te rendre contente;
Priner en ma faueur ſollicite Dorante:	Priner en ma faveur sollicite Dorante:
Mais helas ton eſprit autre part engagé.	Mais hélas ton esprit autre part engagé.
MEAIIL.	MEAIIL.
Vous à ſans y penſer deſia fort obligé.	Vous à sans y penser déjà fort obligé.
CLARIGENE.	CLARIGENE.
Obligé?	Obligé?
Dieux!	Dieux!
comment?	comment?
apprens-le moy Nerine, Car tantoſt tes deſſeins conſpiroient ma ruine, Et quãd ie ſuis entré, deux mots m’ont fait ſcauoir Qu’on t’auoit demandé ce que ie veux auoir.	apprends-le moi Nerine, Car tantôt tes desseins conspiraient ma ruine, Et quand mourants suis entré, deux mots m'ont fait savoir Qu'on t'avait demandé ce que tu veux avoir.
N ERINE.	 ÉRINE.
Il eſt vray qu’à l’inſtant que vous m’auez ſurpriſe, Ie parlois d’vn Amant que Dorante meſpriſe, liidis leu roms que Puj pria dloumgerton mal, Vous défont aujourd’hny d’vn importun Riual.	Il est vrai qu'à l'instant que vous m'avez surprise, Je parlais d'un Amant que Dorante méprise, liidis lu roms que Puj à dloumougerton mal, Vous défont aujourd'honneur d'vn importun Rival.
De qui?	De qui?
CLARIGENE.	CLARIGENE.
NERINE.	NERINE.
D’Ariomant qu’auec beaucoup d’addreſſe, I’ay porté maintenant à changer de maiſtreſſe, Soubs pretexte qu’auprez des ſuperbes eſprits, Il falloit quelques fois employer le meſpris.	D'Ariomant qu'avec beaucoup d'adresse, J'ai porté maintenant à changer de maîtresse, Sous prétexte qu'auprez des superbes esprits, Il fallait quelques fois employer le mépris.
CLARIGENE.	CLARIGENE.
Et le nouuel objet qui poſſede ſon ame, S’appelle?	Et le nouvel objet qui possède son âme, S'appelle?
CLARIGENE.	CLARIGENE.
Vne ſi belle flame, Pourroit authoriſer ſon infidelité, Si ie ne connoiſſois le bien qu’il a quitté, I’en ſuis rauy pourtant, & pour ce bon office, Reçoy.	Une si belle flamme, Pourrait autoriser son infidélité, Si grande ne connaissais le bien qu'il a quitté, J'en suis ravi pourtant, et pour ce bon office, Reçois.
Il preſente vne monſtre	Il présente une monstre
RE R llrE3 buss Qu’il eſt charmant!	RE R leurE3 buzz Qu'il est charmant!
CLARIGENE.	CLARIGENE.
Ce premier ſacrifice.	Ce premier sacrifice.
NERINE, la prenant.	NERINE, la prenant.
Que l’ouurage en eſt beau!	Que l'ouvrage en est beau!
qu’il eſt bien émaillé!	qu'il est bien émaillé!
CLARIGENE.	CLARIGENE.
n'’ent visy qu’ileſt fare, & lort bien tiauaiſſe;	n'ent visi qu'ilest sare, et lort bien tiavaisse;
Mais en comparaiſon de ce que tu merites, De ſemblables faueurs ſont encor trop petites.	Mais en comparaison de ce que tu mérites, De semblables faveurs sont encor trop petites.
NERINE.	NERINE.
icy comme mes yeux mon eſprit eſt confus, Et ſi vous eſtiez homme à ſouffrir vn refus, Comme indigne Monſieur d’vn preſent de la ſorte, Ie.	ici comme mes yeux mon esprit est confus, Et si vous étiez homme à souffrir un refus, Comme indigne Monsieur d'un présent de la sorte, Je.
mais ſur mes deſſeins voſtre deſir l’emporte, Dorante paroiſt.	mais sur mes desseins Rom désir l'emporte, Dorante paraît.
Et pour m’en reuancher au moins aſſeurez-vous.	Et pour m'en revancher au moins assurés-vous.
Que Dorante.	Que Dorante.
ahlbons Dieux, elle vient droit à nous, Sans doute elle à tout veu;	ahlbons Dieux, elle vient droit à nous, Sans doute elle à tout vu;
, la fatale rencontre.	, la fatale rencontre.
SCENE IIII.	SCÈNE IIII.
DORANTE, CLARIGENE, NERINE.	DORANTE, CLARIGENE, NERINE.
DORANTE, à Nerine.	DORANTE, à Nerine.
V’eſt-ce que vous teniez à preſent!	V'est-ce que vous teniez à présent!
en NERINE.	en NERINE.
Vne monſtre, Que Monſieur m’a prié de faire accommoder.	Une montre, Que Monsieur m'a prié de faire accommoder.
CLARIGENE.	CLARIGENE.
Nerine, que ce ſoit ſans vous incommoder, L’ouurage ne vaut pas, que vous preniez la peine, daulle.	Nerine, que ce soit sans vous incommoder, L'ouvrage ne vaut pas, que vous preniez la peine, daulle.
NERINE.	NERINE.
Ce m’eſt trop d’honneur de ſeruir Clarigene, Et nul n’egaſle icy l’ouurier que ie cõnnoy.	Ce m'est trop d'honneur de servir Clarigène, Et nul n'égasle ici l'ouvrier que Un comnoi.
CLARIGENE, à part.	CLARIGENE, à part.
Quelque addreſſe qu’il ait, il en a moins que toy.	Quelque adresse qu'il ait, il en a moins que toi.
de nil ia dss Doncques puis qu’à vos ſoins cette affaire eſt commiſe, Pour vous an acquiter n’uſez point de remiſe, Allez.	de nil ja dès Doncques puis qu'à vos soins cette affaire est commise, Pour vous an acquitter n'usez point de remise, Allez.
NERINE.	NERINE.
Ie vay Madame.	Je vais Madame.
En cette occaſion, L’amour la preſſe plus que- ma commiſſion.	En cette occasion, L'amour la presse plus que- ma commission.
SCENE V.	SCÈNE V.
DOMNIE CLARIGENE.	DOMNIE CLARIGENE.
„ DORANTE.	„ DORANTE.
Vrois-je du Ciel receu ce bon office, 23 Que ie peuſſe eſperer de vous rendre ſeruice ?	Vrois-je du Ciel reçu ce bon office, 23 Que tu pusse espérer de vous rendre service ?
En quoy puis-jeMonſieur vousdõner du ſecours?	En quoi puis-jeMonsieur vousdonne du secours?
Me iugez vous vtile au bien de vos amours?	Me jugez -vous vtyle au bien de vos amours?
Touchez vous Liliane?	Touchez -vous Liliane?
eſt-elle inexorable?	est-elle inexorable?
La faut-il à vos yeux rendre plus fauorable?	La faut-il à vos yeux rendre plus favorable?
Croyez-vous que ie puiſſe adoucir ſa rigueur?	Croyez-vous que ici puisse adoucir sa rigueur?
Ne ſcauriez vous trouuer le chemin de ſon ceſur ?	Ne sauriez vous trouver le chemin de son cesur ?
Parlez-moy librement, ne plaïgnez point ma peine, I’emploiray mon credit enuers cette inhumaine.	Parlez-moi librement, ne plaïgnez point ma peine, J'emploirai mon crédit envers cette inhumaine.
CLARIGENE.	CLARIGENE.
Ah Dorante!	Ah Dorante!
pourquoy me traittez-vous ainſi?	pourquoi me traitez-vous ainsi?
Liliane, Madame, eſt mon moindre ſoucy, Er vous ſcauez aſſez que iamais dans mon ame, Ie n’ay pû reccuoir cette importune flame, Que ma ciuilité bien plus que mon deſſein, Contre toute apparence à fait naiſtre en ſon ſein :	Liliane, Madame, est mon moindre souci, Er vous savez assez que jamais dans mon âme, Je n'ai pu recevoir cette importune flamme, Que ma civilité bien plus que mon dessein, Contre toute apparence à fait naître en son sein :
il eſt vray que i’ay ſceu qu’elle eſtoit aſſez vame, Pour croire que ſes yeux auoient cauſé ma peine, Mais le Ciel m’eſt teſmoing que malgré ſes efforts, Dorante ſeulement à cauſé mes tranſports.	il est vrai que j'ai su qu'elle était assez vame, Pour croire que ses yeux avaient causé ma peine, Mais le Ciel m'est témoin que malgré ses efforts, Dorante seulement à causé mes transports.
DORANTE.	DORANTE.
